"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.323552688109966,0.151347781353195,0.724781646741038,9.7,1.83409332025692,0.45576626160537,0.268959781114247,0.000350208476772385,1,0.636369418554876,0.926939812527159,0.600871888777059,0.994614274248464,0.894508074384024,0.915823150222243,0.964002520118869,0.973894496448705,0.947468071628132,0.978485525930922,0.997027518565576,0.972355618119142,0.920414257821445,0.929033089661203,0.939672489619133,0.910310729436705,0.979864399678332,0.986377531565898,0.194646871821687,0.987066622475342,0.92604502691839,2.43962191158127e-06,0.000400660645226745,1.02334313222582e-06,1.65423208625446e-05,7.18113037970897e-05,1.45031167171856e-05,4.27185940384736e-06,0.000123968352232694,2.54312355096528e-06,1.56837085976707e-06,1.65294040183797e-07,0.0115508343240874,6.66188711593223e-05,1.80089526927701e-07,4.35190166794799e-06,5.2709285473884e-07,8.61907774487414e-06,1.01213222491506e-06,4.0294645501886e-07,7.95092593099825e-06,4.55200352387456e-05,3.32784262537903e-05,4.48910620499747e-06,2.29675684976498e-06,3.95844343147069e-07,1.41212815995375e-05,3.45356626049935e-07,5.70570849336869e-05,2.90150576220839e-05,6.9368439688482e-05,2.20316410911795e-06,2.34513874928946e-07,9.52354850581451e-06,1.54011398579886e-06,3.83031842268387e-05,2.19165690973603e-07,7.70528377484035e-07,3.25352033402298e-06,8.00913527353579e-07,1.17884456950339e-06,6.51392678884405e-07,4.74750207226866e-06,1.05725368281849e-06,5.77220220525957e-07,4.18160063784064e-06,2.16283186763591e-06,9.90083388228577e-06,0.000163916793304777,1.55969594863873e-06,1.24205673304735e-05,4.80744678579317e-06,1.49465463600696e-05,1.49362388176525e-06,1.00900946501649e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56152897669285e-07,2.5377961088168e-06,5.97539722396e-07,9.51766306245849e-06,2.36129058578369e-05,3.91216127194096e-06,5.73318022810923e-07,9.67096610342631e-07,5.15036542331386e-05,0.000101165344725524,1.12498198674614e-05,7.22545692584456e-05,1.38804152411782e-06,2.4389823245682e-06,1.41118306490398e-06,1.70401277103897e-05,2.73927057962353e-05,1.97614250854789e-06,-1734.44555825915,0
1,0.308467944585174,0.151581421516019,0.785786778006404,9.7,1.45803275156228,0.484280495283059,0.266926483844355,0.0002437461589065,1,0.559443742425702,0.977348011352633,0.629742744689418,0.979659265220534,0.972871108061682,0.98708209443749,0.980048250294162,0.93787302417486,0.77668772884724,0.983306139153964,0.990776835656874,0.776422035406383,0.955871377666974,0.914627215977319,0.8362119237474,0.990843717937961,0.869686327645262,0.965850427405732,0.232817068756981,0.967371395996939,0.996295448091078,6.3510655332954e-07,1.75561103662162e-05,1.80779797233212e-06,6.41823712408019e-06,6.02768651010683e-05,1.02673354340581e-06,2.59417622820789e-07,0.000320510153482897,8.16041628108979e-06,8.36929164421704e-07,1.86982167809607e-07,0.0149095397240383,9.70489229520463e-05,2.81664367820156e-06,9.91677249980975e-06,4.83318931862029e-07,6.21669722969704e-06,6.28825185819429e-07,1.12840011369627e-07,0.00025426223128578,5.60483048813803e-05,4.63019822126782e-05,2.32718923391839e-05,2.77127808310734e-06,1.97632861310774e-07,1.1899335651876e-06,5.56312690570202e-07,6.07527249972603e-05,4.3662931519228e-05,0.000120141175555096,7.60904271443647e-07,2.26617274244416e-06,1.11919439198334e-06,2.31917059330797e-05,7.35633531388382e-06,1.70982014831703e-06,4.27247216132219e-06,1.43288522893899e-05,5.96039809306838e-07,5.55265809431621e-07,1.70745334982825e-05,1.95141541715322e-06,3.84775681899511e-06,6.37870299654979e-06,5.71909823166135e-05,4.22363441045495e-05,7.97097202462644e-06,0.000765109672207676,1.42680427863232e-07,1.4322021671968e-05,2.28494254599737e-06,2.11821405495741e-06,1.25482247781497e-06,1.19327632221953e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27912650073342e-07,1.66542828527919e-05,2.07318847881292e-07,2.90358686167257e-06,1.89144431115497e-05,1.00851966192499e-05,4.12193918140164e-07,1.64860498259355e-07,5.40975956842825e-05,0.000151336867121635,8.05930447179862e-06,0.000193190313875539,4.47418900606666e-07,4.11742816955826e-06,1.08794053595356e-05,1.03232313254279e-06,9.79070281405646e-05,9.19480898103832e-07,-1736.89839827144,0
1,0.297760628862399,0.143328951228445,0.734776620564607,9.7,1.46946841282387,0.466197052655178,0.252003563965064,0.000287824863692561,1,0.672691235023603,0.956620381571264,0.599243606605917,0.966279747233147,0.985805265889014,0.636736562307833,0.995904113950346,0.997435880804618,0.994049649872458,0.889471032704418,0.990002437232846,0.948088993695817,0.922871337630737,0.986786406440159,0.7349967691057,0.961650900258177,0.976828619201975,0.963223104769276,0.794592640062436,0.783872531739446,0.6634402733922,6.85364770125353e-07,0.000503585960872642,1.44447121004524e-06,6.4537469151032e-06,0.000169583007995779,2.43758910491057e-06,3.5565759015865e-07,0.000105425422098148,4.35918866487132e-06,1.0296163637125e-06,2.10343099285826e-05,0.0169860230500226,9.63250799749753e-05,1.39760908839853e-07,2.34292220261701e-05,2.7846440257948e-06,1.40098730789172e-05,1.59343772477275e-06,2.69924534504268e-07,6.01091026028647e-06,4.28665413510772e-05,6.01185088061458e-05,1.13674588659004e-05,6.64873458608916e-07,2.07045856703498e-07,2.40494004048266e-05,4.22813443744187e-06,5.672463955609e-05,3.1556568027939e-05,0.000134318485465768,7.28471060467606e-07,1.5624442490379e-06,1.67102418836382e-06,2.13882145730993e-05,2.52967378036425e-06,1.16102720259607e-06,8.73162664087755e-07,1.80308164176849e-07,4.547633409114e-06,4.45065157915332e-06,6.6985074589396e-06,1.34585192201762e-05,1.74934770677703e-06,3.40070912423897e-06,2.33522750970196e-05,1.0361194109152e-05,1.69800439472511e-07,0.000410469769564053,4.43977073477052e-06,2.28187472923862e-06,1.5581822830151e-05,5.08159545331593e-07,3.09376190223193e-06,2.30127996023538e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27858352759254e-06,2.94278946235158e-05,3.99497825753105e-06,1.42654898706072e-06,7.65398749517834e-06,1.10667298550623e-05,2.72957103503837e-07,1.32386133661948e-06,6.9137196969576e-05,0.000194532935828858,2.28812648422538e-06,8.06780275608705e-05,1.27188754906128e-06,2.22764980217272e-06,1.50112729832128e-07,4.39742029033136e-07,9.37892186402424e-05,2.68763040287606e-07,-1737.45023827362,0
1,0.262208255314181,0.170874261473173,0.716995911821323,9.7,1.88290826689554,0.460391400097011,0.273758392019595,0.000320052939305768,1,1.01905108380988,0.976945800521149,0.614345476994623,0.947742388181406,0.912044717502613,0.833105997566483,0.579858288670434,0.946643932264681,0.962994925553295,0.996078123477726,0.983335772907916,0.615320386390373,0.499750978471785,0.988129796105965,0.931057573860149,0.982303298496899,0.998983683260226,0.99308216202794,0.18216866824969,0.914348869308019,0.924080633039479,5.20644931113613e-07,0.000373590416997144,4.01616717583921e-07,3.95038408251326e-05,4.15424416020662e-05,1.51160836743895e-05,3.37142886248856e-07,0.000186478860438376,1.79118006450414e-05,2.85442144274332e-06,1.56626069551473e-05,0.0122375954059049,6.35973767586833e-05,2.29566142040478e-06,6.17768495858903e-06,1.24976281353666e-06,2.55318875284219e-06,1.07481282427484e-06,2.20985505883027e-08,4.0380298908623e-07,7.52130658678243e-05,2.7938150148806e-06,5.9543055136857e-05,6.1397083373867e-07,4.47271238512347e-08,2.21670986911505e-05,5.38942645260005e-06,2.71666094936079e-05,1.77271821877556e-06,0.000112116318886954,2.35508811450645e-06,3.32627391299632e-06,2.44026883366954e-06,3.94690195372483e-06,3.02246445280013e-05,1.09253571381307e-06,9.73735738832042e-06,3.71963767656145e-06,1.51388790115703e-06,1.59801641828015e-06,1.48749144452732e-05,1.64425257722093e-05,1.96543064732961e-06,1.37098435104947e-06,4.98002077229861e-06,0.000204071857093267,5.50340446653398e-06,0.00111581230616426,6.34020925861187e-07,2.3967233126464e-06,5.47338247851806e-07,1.69622428026864e-06,6.42953359108157e-06,1.16641840198824e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05883191700231e-07,3.21183634574018e-05,2.99988471389964e-07,4.73213936592101e-06,1.41610203053894e-05,3.72967690975147e-08,1.15275666306563e-07,3.04133387543929e-06,1.68466050827666e-05,7.05401669710086e-05,3.03411322153228e-05,7.26789645783316e-06,9.74205500716119e-06,7.17927801675882e-07,8.16649527247128e-06,1.38345925799508e-05,5.21230692300358e-05,5.7029921330692e-07,-1737.84701029172,0
1,0.269302091991452,0.168004468319975,0.710279173381896,9.7,1.83692874471289,0.45733847432377,0.26038884332489,0.000330316696363504,1,1.03380621880463,0.93469078900458,0.606592656674236,0.945167634181857,0.976147095640711,0.926148913070232,0.862276014700608,0.998262027568351,0.988326035630981,0.90685324378816,0.908199337232808,0.966585669544082,0.907003062167924,0.998217230037277,0.99542987053892,0.998618053142515,0.966632175155346,0.682975136879673,0.654792960607539,0.953101990692684,0.986261773993161,7.06187098007221e-07,0.000431783619185889,4.79337692317421e-05,1.76025599929903e-06,2.1993941090359e-05,8.96419110770505e-07,1.72842727907036e-06,0.000183355555471494,2.78159955494185e-05,2.18124285177737e-05,7.22161520592488e-07,0.0149956939998384,7.4460815061111e-05,1.01042584994352e-06,9.30744977854723e-06,1.08689558076939e-05,1.51971433086582e-05,8.36425281271644e-07,7.18297977305484e-08,2.17088990951238e-05,4.35607585230408e-05,4.41665235968388e-06,0.000101762915652888,2.73634513116563e-06,2.79142882200136e-07,1.92448848198049e-05,2.27063578487869e-06,0.000116266013372193,2.93125254036602e-05,2.71651352768339e-05,4.14497923935885e-06,2.20066884850129e-06,1.33141942960936e-06,5.77362428974498e-05,5.46743215856427e-05,1.22960789798786e-06,6.34427072274121e-06,5.31056373554447e-07,4.85581468831396e-05,6.38632552008012e-06,4.04830669955448e-06,1.33255869725926e-06,4.215557356059e-06,9.04518969203614e-06,1.55687438670088e-05,3.51643017910642e-06,5.8917963763519e-07,0.000714983258308796,1.30266015919147e-06,3.36466101117292e-06,1.49654773571283e-05,1.65216488883274e-06,4.58607507063992e-05,1.3866526601907e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1591221361277e-06,4.05486069000246e-06,5.78527085864519e-07,5.31800763360062e-05,1.16945213493604e-06,3.19210617532407e-06,2.3474978971607e-06,1.55800010442209e-07,3.42074121201782e-05,5.38174735229889e-05,1.98588890153143e-05,1.2903650900489e-05,7.37026834161953e-07,4.9743493093585e-07,9.86542528790466e-07,2.94536265384113e-06,2.49371941706463e-05,1.1387635328978e-06,-1738.63778852422,0
1,0.284352747508346,0.179621233260256,0.758065616916289,9.7,1.72496194402224,0.448123618802271,0.254600463258382,0.000348240350349466,1,0.928050570669057,0.980599583511701,0.597128203881742,0.990267943926554,0.982452054325796,0.930988938566247,0.954391434612361,0.998085639624544,0.89593550696179,0.998079853190502,0.96059508717296,0.993532996714932,0.853551266376464,0.992828706366641,0.898002850017206,0.953915800007228,0.992997914051183,0.91448849268124,0.648631659872573,0.955210763032206,0.997081744375632,4.21701838604631e-07,4.42985885156134e-06,5.13134923800369e-08,1.92137640318635e-05,0.000143411933448361,1.39110757721041e-06,1.26177200201238e-06,9.77739202811826e-05,4.20474364361634e-05,7.27329827146326e-07,9.48947930967526e-07,0.0126499359948727,2.67403668561609e-06,2.26137324087241e-06,9.49002400192373e-06,3.31172855024545e-07,9.21059465739703e-07,2.3130756735788e-07,7.51648866256045e-08,7.76337853155502e-07,7.84686477183564e-05,3.975183740583e-05,1.50316391435435e-06,1.38328025478596e-07,2.84932222454852e-07,2.18291477637228e-05,5.83175552387645e-07,0.000136949452651491,2.09487433874681e-05,0.000137266074768849,4.16787304303842e-05,6.88901951502057e-07,1.70831801030835e-06,1.71480648170496e-06,3.25861116211605e-05,8.5971065695593e-07,4.08036763442302e-06,6.20415435738689e-07,1.53319204055277e-05,9.25266283759641e-06,4.63914082080179e-06,8.4261203823242e-07,8.5228561148886e-06,6.4509385916992e-06,1.2696736297263e-05,3.02801082798245e-05,1.46417431791331e-06,0.000500705055402679,5.21718644586968e-06,3.15878182625443e-06,1.46412102420735e-06,6.19524461666193e-07,4.01839987615721e-05,4.70407058615949e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49016761791178e-07,0.000327519609466405,1.22601107404015e-06,1.13121788936307e-06,2.49077960418313e-06,1.06219660974224e-06,2.6153609537198e-07,3.04415456465532e-06,2.40408665697644e-05,2.48675107270504e-05,3.29092737028147e-05,6.29706068994351e-05,8.90130493333334e-06,9.60472347867177e-08,2.64738590407576e-06,5.82452255028578e-05,5.26139061970491e-05,8.39743327192101e-07,-1738.78422567056,0
1,0.318519692672724,0.153230915539881,0.768910411150735,9.7,1.65860643260268,0.468791166494657,0.26982428213881,0.000296647806314784,1,0.539525133572949,0.986674989731179,0.612817526970102,0.984606545370434,0.962690005455348,0.659223745881809,0.832880220896531,0.976132356809199,0.99648077156407,0.938660183502479,0.984039814221822,0.913809147227919,0.87366754083058,0.977095775331332,0.385720855263178,0.963567949997175,0.953613101264247,0.969018625975094,0.825303517362846,0.984529830372299,0.993036360014387,5.565785268566e-08,2.0564271291479e-05,1.54516255704277e-06,4.08069998996026e-06,4.85345588336426e-05,5.04232831409524e-06,1.14184134316487e-06,9.90531863944996e-05,7.54371643818004e-06,1.49665323834803e-06,4.10317634921077e-07,0.00560203644857903,2.35105667630558e-05,2.18404375917611e-06,5.52874967453045e-06,4.12648090216942e-07,1.53697314669582e-05,1.02697333876394e-06,6.50176312576367e-08,1.60695243859109e-05,2.72672907181782e-05,2.88983704918154e-05,1.92136332652799e-05,4.13083875516899e-07,2.11522477649567e-07,1.58517106142616e-05,1.54617142241574e-05,5.71772720995393e-05,1.18479840433667e-05,3.97869314203759e-05,2.22630435852752e-05,4.517507890338e-07,2.46103592783726e-06,1.87372065532145e-05,4.22973142961719e-05,2.26629699452287e-07,9.40181250222304e-07,1.71274182559988e-06,1.12258295393543e-05,1.96847250553115e-05,1.34777363415408e-05,4.67485094959728e-06,2.80932134772738e-07,3.50101460583641e-06,1.58031486251512e-06,1.1604781510843e-05,3.04937424023964e-06,0.00100721282498172,2.65170839386997e-07,1.14521425225606e-05,2.25600329762918e-06,1.06444658648904e-05,1.21727968364171e-05,0.000141122151557327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32104439970313e-07,0.000314438020191044,3.35962705318375e-07,6.74782137734e-07,1.91056577755848e-07,5.70777609146098e-07,2.8405526425388e-06,4.712487222292e-07,1.655467217183e-05,8.0994922077667e-05,4.09867585407018e-05,4.12649126049476e-05,2.35881003746569e-08,1.43041496892953e-06,2.30223517555985e-06,8.30544371804701e-05,1.16029902674876e-05,1.41181295888519e-06,-1739.23650036078,0
1,0.298884338297524,0.156452699420558,0.749963763765594,9.7,1.63067340340267,0.464371292646744,0.263262194326002,0.000325174483635159,1,0.578666754700391,0.966762089691545,0.567971409304899,0.943712761920415,0.962823340731887,0.686075605903552,0.994935798135325,0.982269557674746,0.990936282912763,0.960706771183395,0.946634084811474,0.914374640119863,0.870295199617964,0.98668676094411,0.887088202538726,0.960552737703113,0.995440865949936,0.998644586799066,0.765546364175076,0.999402542611188,0.91497895378565,1.03635223199126e-06,0.000350559618821919,2.4986348768477e-06,1.79254983689576e-06,1.151419092835e-05,2.26643902046694e-06,9.05682404786885e-07,0.000262766977163341,2.3990761856098e-05,2.19261791163708e-06,6.63780064437304e-07,0.0140105295540513,8.25674607765927e-05,2.68334803745012e-06,1.26716645625076e-06,1.74171846684815e-06,6.90026357524689e-06,3.89198409088446e-06,3.09043031583897e-07,1.40421413162392e-06,2.89376534472969e-06,4.16017665576222e-05,5.55162418311874e-05,6.63220217593725e-06,1.76648644082934e-07,7.19938003125081e-06,2.77265609750628e-07,2.79061975142928e-05,3.41135617510061e-05,5.06227752779511e-05,2.10869934918862e-07,1.12815567191827e-06,9.49596119937299e-06,6.18838697047893e-05,5.52945657518801e-05,5.4950035971282e-07,1.65904178425323e-06,1.11799999053696e-06,7.10163524559053e-06,1.35746071830139e-06,7.86975960674726e-07,4.50091756285568e-06,1.08533984024223e-06,1.50848028287286e-05,9.48434157057611e-07,3.41064222306697e-05,1.94935409122463e-06,0.000212642043107476,5.23687329729545e-07,6.89334363897066e-06,7.16476275211712e-07,5.53870549956046e-07,0.000113568205672158,1.00010665775711e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24164743598012e-08,7.94615360000394e-05,6.39899941016905e-05,1.00012592135494e-06,1.29020039228639e-05,1.06679290784685e-07,2.09072989895393e-06,1.07067173351701e-06,4.54732511789743e-05,0.000143348424918355,6.13057571471259e-06,8.84862907735972e-05,2.57991768009713e-06,1.45700980313471e-06,3.07482732170844e-07,8.74622864853053e-08,1.11543709068222e-05,1.9088664678515e-06,-1739.65265000021,0
1,0.306918226530162,0.155779038274334,0.772779115832411,9.7,1.8347564550055,0.471078818594445,0.264492336781361,0.000305963599495497,1,0.496712099095436,0.938553796292022,0.64699004184733,0.972646964735895,0.998606649847157,0.989986749611566,0.952444628373555,0.997018557376262,0.990988242626904,0.860929410749197,0.97412061339781,0.942850978018753,0.938924313837228,0.990287651423636,0.939684036094306,0.992566301959217,0.991989290739081,0.986845125981498,0.813429904400734,0.923485181866669,0.729678428808782,1.17206155883191e-07,0.000289698795057134,7.64453520179996e-06,3.9191968796951e-05,9.27568259912433e-05,6.718551865636e-07,3.92347698996408e-07,8.35953952220054e-05,5.45375274418392e-06,1.64608018842636e-06,1.43672946428596e-06,0.012043740224794,4.80956168604265e-06,7.84452176389676e-07,5.66311695587153e-06,5.53408403926453e-07,3.51678346632103e-06,5.27897959091563e-07,7.9570744017775e-08,4.72815263331495e-05,3.2726772975266e-05,1.79559437148615e-05,2.64429825293528e-06,1.36920431398996e-06,5.91285634689117e-08,9.75150044911398e-06,6.71197485877678e-07,3.26997189863147e-05,2.53144718156826e-05,1.77350173321223e-05,2.05194010396463e-05,4.22804761633499e-07,4.08483001322247e-06,3.76456829101249e-05,2.28998244948027e-05,8.8220069034797e-08,1.68881671873363e-05,1.43231690575209e-07,5.2437166639813e-05,2.28241832947136e-06,1.27879448220841e-05,6.75095520657659e-06,4.12336973228017e-07,1.46093247227654e-05,8.85712277416725e-07,7.34749269425882e-06,9.25993030620203e-07,5.71551595615483e-05,4.15920489718271e-07,9.45658826422722e-05,2.03564772483569e-05,5.81768163583634e-07,2.30241694558414e-06,1.94274065206974e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62218874644281e-08,1.39798817865574e-06,7.27458607129418e-07,1.9989262039757e-06,9.37246763810971e-06,2.44698668998137e-06,3.73646610142778e-07,5.22262597239846e-08,4.18291539812865e-05,0.000127481579836258,1.1048687333238e-06,8.34106392923684e-05,2.88661857635439e-07,2.51718959401278e-06,5.13355940048969e-06,1.02529786581744e-06,2.32805045595937e-05,4.53589989071491e-07,-1739.77883789001,0
1,0.248511039878755,0.169191542195732,0.732438065116549,9.7,1.66879342533453,0.462536663821119,0.260522136767469,0.000320870190380028,1,0.537883811862892,0.984968811081863,0.6031345432261,0.969588060288209,0.963729843702473,0.910136343141923,0.858409388936995,0.997415936269698,0.925592891388253,0.980673695300302,0.959422843440224,0.952734865916094,0.913102145170043,0.989724356955755,0.92011993082588,0.977958366845877,0.994470403654141,0.993859085423225,0.959656574162258,0.991221231988939,0.966487406055547,2.16330266759914e-07,0.00041322327247381,1.1483954704982e-07,6.07942133265159e-07,4.96461029135209e-05,2.08842046872788e-05,1.69863999230267e-06,0.000301783508297555,9.05416779755511e-07,2.01948061258491e-06,7.28521678288576e-07,0.0159831662768308,8.55758625644963e-05,1.47787593492255e-06,1.4653233933176e-05,1.57741567673148e-07,5.34326117545903e-06,8.33391788211544e-07,4.49040754174431e-08,4.98715486380817e-07,4.51046470328419e-05,3.74826775029285e-05,4.67946142228483e-05,4.35757748254043e-07,1.81079716173654e-07,2.66212812766218e-06,4.11211913877183e-06,1.04217737622977e-05,2.99283970400498e-05,2.85340182669054e-05,2.63895217771661e-07,8.05075981614195e-07,2.35585839037045e-06,2.12723889970121e-05,2.53532367286787e-06,9.54629973595523e-07,5.92577226210851e-06,3.7830822428192e-05,1.65264003875285e-06,1.58380295883721e-06,6.42234994411568e-06,5.02091236740969e-06,1.09894960982463e-06,3.48326669993884e-07,1.43051620113286e-06,8.72699516011278e-05,1.10444760457582e-05,0.00401718855383842,2.03021280461359e-06,6.53713063392558e-05,1.99540999581095e-07,8.47756667800142e-07,2.58148129967237e-06,4.47260803673404e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7470129913906e-06,8.25214137718941e-06,9.07712085186786e-07,1.86887555039787e-06,4.27949174670339e-06,6.67633690585648e-08,6.32868042268653e-07,1.82227944518449e-06,5.96080653112246e-05,0.000216156287953194,2.39852554985948e-06,0.000287725418594005,1.25333159386034e-07,8.2206120110276e-06,5.33821606391429e-07,2.75231813731256e-05,0.000100434954921876,2.13908621441442e-06,-1740.25048622246,0
