"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.308478878176958,0.155890361338865,0.725894103460902,9.7,1.59982963125627,0.452327398253785,0.267923894959018,0.000315897355115808,1,0.925015128330991,0.962041205350184,0.540351127725607,0.985144617991797,0.97770332987166,0.872785118121176,0.984553571223857,0.977421088385687,0.983876418857851,0.996161715868114,0.966924504531088,0.92582454976908,0.948270582921958,0.980678852755751,0.910118119307081,0.917484758176368,0.975817955320599,0.987696123694646,0.841056545183481,0.947951126633213,0.988127493502403,1.32745191866944e-06,4.95626553505205e-05,1.46244483231262e-05,3.2539179943936e-06,8.48694343610752e-05,7.59329531562256e-07,1.46401538995644e-06,0.000108677058238357,1.31705881282367e-05,8.74077940771976e-07,9.69550122909492e-08,0.0146602285303895,8.89891450191319e-05,5.02317269539799e-06,1.36081093928441e-05,5.82761990148389e-06,2.4276105707074e-06,2.32013024051e-07,1.75946107951534e-07,8.62440631895464e-06,9.70683752231957e-05,6.68575957807331e-06,2.84723372662728e-06,6.95362791726433e-08,6.58690021043575e-08,2.14335907330286e-05,1.26486887368881e-06,5.21379496629878e-05,6.21992114802462e-05,8.25815451723637e-05,3.50625728367348e-06,1.60452797432625e-06,5.87239758192023e-06,2.75746681034155e-07,3.96112355362094e-06,8.20094431743648e-06,3.04343758931138e-06,3.36465895063221e-06,1.30469741599738e-05,5.53258817255929e-06,2.08403655518635e-06,3.47959389173361e-07,2.61846719968368e-05,3.32906771497531e-06,3.08071451721613e-07,9.3796487985469e-06,4.3452133375097e-06,0.000658126614829982,9.83853612986869e-07,1.95790954123837e-05,2.02422472449157e-05,7.92014323615071e-07,3.90536948582491e-06,3.10702464824366e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57302441673277e-06,0.000367313859485119,1.24291287334181e-06,8.18227417780933e-05,6.03774073824961e-05,2.10722922088368e-05,5.48789109316921e-07,2.776774447315e-07,6.01397882377243e-05,0.000191092285023366,6.9607339099319e-06,3.53864934045513e-05,1.14542662791261e-06,5.5524705572672e-06,8.3528510975137e-06,0.000131902456567313,0.000109709941939306,6.44466586953055e-07,-1738.00799867165,0
1,0.300863300408793,0.148838584284013,0.769398132710424,9.7,1.85350609811934,0.444732713926841,0.269008386405037,0.000379533834618564,1,0.734098949901818,0.956705897209213,0.529666038520184,0.990119645890146,0.974960520169593,0.86487569664691,0.841026036022205,0.972580646192245,0.889861427862391,0.840551656535722,0.989411735085128,0.951849212048185,0.959000901441728,0.994889633526878,0.898557087624834,0.973674268501955,0.996994713060706,0.995721245996147,0.658276275846621,0.983788129667595,0.981755741095894,9.35967335304782e-06,0.000436713926395269,9.10914324888418e-06,1.90586758131751e-07,4.10459713179609e-05,3.12857356061954e-05,9.70802115270613e-08,0.000227646079938865,3.81511222890436e-05,1.87261613506308e-06,2.14017203225264e-07,0.00989835789519538,1.19531212763838e-06,8.52299528417946e-07,3.09871279283333e-05,1.15716453017846e-06,3.94390466872242e-06,4.59788381722561e-06,1.61802869399669e-07,3.0711678998773e-07,6.99377820988335e-05,4.76600091910864e-05,5.12030839003832e-06,8.59784983417176e-08,2.45123202483581e-07,7.19511968565225e-06,1.72062957742535e-07,6.22207854808193e-05,4.14046451032643e-05,8.06593885692586e-05,4.82774667785051e-05,1.58270777689564e-06,2.27790962416054e-06,5.62942126490543e-05,3.70028147272567e-05,1.24815292745197e-06,4.8478403809872e-06,5.8295661888865e-06,2.74673661644934e-06,3.07688087520239e-07,1.36498165190594e-06,9.04891590173692e-07,1.3625712944646e-06,4.5493957321481e-06,1.73186831129649e-06,2.06978917911172e-05,1.67091538136057e-06,7.42482017358478e-05,3.70890136478357e-06,7.95160970454904e-06,1.48750418854264e-05,1.65244094494492e-06,2.37982470746024e-05,1.89469874875556e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02620362335915e-06,7.18425363768929e-06,4.95754525382993e-07,1.81909924299392e-06,7.09877809271339e-05,8.25764794026627e-07,1.85085212063293e-07,5.94379655218368e-08,3.4992422992428e-05,0.000120037372119893,1.37053149722435e-05,7.21559542303477e-05,9.84400749377211e-08,1.81139149669071e-06,2.11697539283359e-06,1.49811607113251e-06,3.75623326826446e-05,3.27908072530099e-06,-1739.69722702069,0
1,0.294324162752362,0.14871971163503,0.698009256378677,9.7,1.86074038715302,0.460476328655219,0.272692440933249,0.000321760582133455,1,0.626348794932491,0.962914770425322,0.539164070121644,0.959195789248528,0.953516686107143,0.982351457845087,0.988223925560176,0.899775677355455,0.875227288403452,0.779103880426751,0.872588795958501,0.77337626522285,0.929544261808797,0.946498072656758,0.917405503035678,0.98181982507442,0.943255479592932,0.996088354288003,0.614490908362128,0.95630225126482,0.959576737438175,3.76594910749324e-06,0.000122145321699319,3.80873841354937e-06,5.35156470257297e-07,3.587527421627e-05,9.90537021148804e-06,1.27401880216112e-06,0.000108632663892831,1.1516623873126e-06,2.02431496772521e-06,2.26778307199148e-06,0.012941668312733,3.22178820373794e-07,5.07499530519427e-07,1.69850516313718e-05,4.35131373287794e-06,5.14460908441467e-06,1.34547048637874e-06,1.95221835432737e-07,0.00012069553240319,5.1315458608714e-05,4.03959606519751e-05,3.24430755680033e-05,6.19454561558823e-08,8.29335252631579e-08,1.36608681713883e-05,1.95457084975009e-06,7.09848397363882e-06,3.53639865375216e-05,4.93182657811805e-05,3.64585708355408e-05,5.6260946127749e-07,3.04764037840122e-06,5.31473013606387e-06,4.9882980373427e-05,9.76710165668098e-07,3.10757562689675e-07,6.53339835958205e-06,1.14425797421501e-05,7.81348317682185e-07,1.32711070984691e-05,7.20585203830832e-06,7.32934438719806e-06,1.62584171877531e-06,6.8047214501636e-06,1.94030179175922e-06,1.22889715374366e-06,0.000349695645945215,9.33207800143186e-07,5.58181220369671e-06,1.67472933356563e-05,5.27237753116639e-06,1.79983015222001e-05,1.12996473038482e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92866378117188e-07,3.42936567395933e-06,1.88403229850212e-06,4.34150667634321e-06,6.06443448118121e-06,5.14244996168665e-06,5.82269984394582e-07,1.32204753006388e-07,4.00631201827067e-05,0.000178303882681671,1.19217079094782e-07,3.65446973934266e-05,2.44373382049302e-07,1.19387472234922e-06,2.58665512891405e-06,5.00741635931888e-05,1.92159130040935e-06,5.81076432817133e-06,-1744.04174394901,0
1,0.29266984396382,0.142872542825714,0.732856909052476,9.7,1.7991606409312,0.45337948986335,0.258680417344419,0.000361151312123754,1,1.02522516303088,0.985482820929226,0.547928219121309,0.986321203091875,0.898359080614628,0.961364991512295,0.948484363715386,0.995998921500382,0.884675733516666,0.830317542233398,0.980359065674197,0.989755509466111,0.977314756924076,0.983997298633477,0.902389703721881,0.984613826478018,0.963498947496098,0.936620357535733,0.918776321997819,0.999398910243091,0.953676674130523,5.43412775015614e-06,0.0003135015487942,9.17746457352695e-07,2.65853100189097e-08,0.000112235177049166,1.40386075453428e-07,8.15225713402908e-07,0.000103351827904039,6.64555845845423e-06,0.000115716715181511,2.0084304125267e-07,0.0137834923971983,2.54884973904126e-07,5.81144796434923e-07,1.72560982751185e-05,1.59511287387146e-06,8.08746330077384e-06,6.7344678750859e-06,2.49392682291548e-07,2.83600364167571e-06,9.2239956674762e-05,4.04406207744667e-05,4.0942265092119e-05,7.81462971656995e-08,2.07744800803626e-07,2.25082396237045e-05,8.07531724138883e-07,9.27615557981973e-05,6.55481639067053e-05,3.47001370636083e-05,3.19802135153756e-06,4.35025398495007e-06,2.55136436734144e-06,1.93830891743895e-06,6.95781242367924e-05,4.6807407222877e-07,3.51688913758602e-06,3.35833623657992e-06,4.40459467342711e-06,2.27283905979635e-06,2.12373974051144e-05,3.01155990261897e-07,1.61929654214249e-06,7.02972257305261e-06,9.54896033426799e-06,2.19069010297924e-05,2.87280707659918e-06,0.000169311076302521,7.19070993650264e-07,1.51056682147317e-05,7.69730233271643e-07,1.03162320854482e-05,1.14139739034487e-05,6.87888626061331e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69703836361207e-07,4.23979464711764e-05,1.05948801015961e-06,2.45883810050545e-05,2.00706203708772e-06,3.52348952741e-07,3.17757434631239e-07,4.51747610999935e-06,5.22333644957216e-05,3.02468742208185e-05,7.89679640786372e-07,5.72409764823175e-05,6.01954514024939e-05,1.60355566582316e-06,3.21034089762916e-06,0.000100840300884003,2.16887369902211e-05,1.96383655757192e-06,-1744.34861485573,0
1,0.294890594905149,0.157365803193502,0.758472801257133,9.7,1.77322622966382,0.448583792267891,0.258299323108296,0.000401537554705912,1,0.69625155445581,0.970642065658859,0.524527234840467,0.804266320087313,0.969029954834417,0.910459192412194,0.989170937094572,0.99910308616987,0.96993841229058,0.918884570400751,0.957430635741215,0.841951035138617,0.653209560870108,0.998589225581983,0.826108190274115,0.947527082720213,0.957869705544381,0.938416018203709,0.441573113600527,0.965234778866656,0.991315529774932,2.72658608735214e-07,0.000373704603373169,1.62059048373297e-05,4.10658105064859e-06,8.36411751628964e-06,5.14719310767128e-07,3.93722505607e-07,0.000256346631301059,2.94372202423643e-05,2.21088724318677e-06,9.85022093963447e-06,0.0107287931843665,3.30573231671745e-07,1.84902815652986e-06,5.68191678592171e-06,4.78753681273618e-05,2.21139800158146e-06,1.49925426490006e-07,4.40263049084908e-07,6.94600402390116e-06,4.76033286679489e-05,3.39768427269984e-05,9.12336827821839e-06,2.09019411666966e-07,1.56094232455263e-07,1.18423068802488e-05,3.15838363111247e-06,4.21448990417039e-05,3.56891147747988e-05,0.000235028302944286,4.0444182969621e-05,2.05369775685846e-06,5.190342729469e-06,1.55904731137678e-06,5.02514125672115e-05,4.50161216243762e-06,4.70225686678853e-06,1.16222190062312e-06,1.53344591552345e-06,4.53315264660037e-06,3.50813171986034e-06,2.30217042890987e-05,1.68513131973786e-06,4.82225443643024e-07,4.42872055830374e-05,5.93447705364353e-06,2.70704986219548e-06,0.000319969248872114,3.24884610941443e-06,2.36490331182106e-06,3.18760949168124e-06,5.3478131600417e-07,1.32975775796495e-05,3.23897118244129e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46525658295737e-08,1.15428073469741e-05,3.30462784888404e-07,1.06116676896499e-05,8.712017049056e-05,3.72351921973388e-06,3.24813130662282e-07,6.53895081151447e-08,2.0788053596528e-05,6.59478652948628e-05,7.62361703231159e-08,2.16208397333295e-05,3.31590701558703e-07,2.62975421926295e-06,3.528992457343e-06,1.01096647183287e-05,1.63434152033407e-05,1.80770905278358e-06,-1744.6037884089,0
1,0.313590973689039,0.153008120994871,0.754091815709067,9.7,1.48737880629998,0.455213578294699,0.257764663647506,0.000313922788620502,1,0.862568889126383,0.954734877697514,0.536168264083183,0.968251153658082,0.967730859991779,0.73664485791018,0.822290020537366,0.95448158938713,0.985485712579997,0.605176847547275,0.966042329703198,0.850541780215809,0.695838115834439,0.990255295621772,0.87963402632256,0.920293384016333,0.988691113368678,0.934957164364481,0.981234394393377,0.830377992749126,0.962215438738416,7.41425458495843e-07,0.000485926371334014,4.67678541367823e-06,8.28760535629254e-05,0.00017253825908963,1.03012193778119e-06,6.92171625242707e-07,0.000345461057463699,6.26681166294318e-06,1.57955637928162e-06,1.73530496676419e-06,0.0177658834416629,3.05467651796172e-07,1.47953215459718e-06,6.0432367535663e-06,6.88557783426258e-07,5.02600163847895e-05,5.81033210827816e-06,1.1158101460781e-07,1.65321570156699e-05,7.22610496491696e-05,4.3838932027751e-06,1.08162896213028e-06,5.36605249832879e-06,4.4229600322593e-08,4.56128491790469e-06,7.11656508410294e-07,3.81545190535971e-05,1.45197312601441e-05,0.000100492197863493,5.71274887848867e-05,1.6746766789519e-06,7.63477248312967e-06,0.000107656231976205,4.98835916453998e-05,2.72660943277188e-06,6.64848293826926e-07,3.65741827782056e-06,1.91743455445588e-05,2.69456329382921e-06,1.49486015480168e-06,2.81556997590302e-06,4.69983961768667e-07,3.58303354464167e-06,1.2901729820731e-06,7.50988606693109e-05,2.05772590146948e-06,0.0019276906270813,4.65704094748093e-06,4.32916887661616e-07,3.17860155159809e-05,3.33921071891301e-06,1.88592738264341e-06,7.67495200897235e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93859755464311e-07,6.8273138720914e-06,5.2712681557598e-06,2.62324079646687e-06,3.23219496054193e-06,8.42243811347407e-07,9.17848732260294e-08,1.68644337717275e-06,6.13572904614909e-05,0.000146385248905225,6.44678408657789e-05,2.53479517257253e-05,8.04539608598982e-06,3.83551555058898e-06,8.4313300575603e-06,2.74118474503906e-06,1.0865348163201e-05,2.89194401917286e-06,-1746.20728902114,0
1,0.289964301200244,0.168062276021803,0.7462215115868,9.7,1.83018285972547,0.461282823014673,0.275138460658607,0.000274832208095322,1,0.477450211704832,0.961065841895985,0.544790677531326,0.986131449287924,0.961947768850489,0.99307900445313,0.985880675528769,0.988499796011152,0.969778886185212,0.919164577576082,0.97817674349505,0.972897505381707,0.834962029232199,0.982845067018079,0.91213312315309,0.87003375066194,0.926148184420133,0.887767974504554,0.950243285453588,0.964409051593155,0.984117481935793,5.09152281141905e-06,3.63390900639911e-05,8.87472300268924e-07,1.15917380586644e-05,2.46467581231655e-06,8.04710683866795e-07,1.22800665609858e-06,9.10330099493433e-05,4.8109824054187e-05,3.5460161935003e-07,1.83698787710445e-06,0.0126122951466811,5.61402867652939e-06,1.00016792467789e-06,1.44548880254529e-05,1.4190827718753e-05,1.17783588467753e-05,7.12498200846628e-06,4.61871367541936e-08,0.000101455250576558,4.06975056737403e-05,2.68607641992872e-05,2.15484512715944e-05,1.16254250166174e-07,1.97032583661757e-07,7.65519873970139e-06,4.11892469416905e-07,9.6881567545843e-06,2.83564613417611e-05,3.41800779379406e-05,8.04732150135605e-06,3.94238533514095e-07,2.42326629367662e-06,7.29338414824284e-06,2.6620397217112e-05,1.06243602449301e-06,2.58671881410397e-05,1.79529870041222e-06,3.19045578813385e-06,7.67687696225345e-06,5.6390290132241e-06,2.57048951853907e-06,7.25130089005787e-06,5.53574510767311e-05,9.18179986536293e-06,7.54535978022164e-06,6.73808572246614e-07,0.000145843289496781,1.09038660207377e-05,9.34456256462186e-06,1.91764157207032e-06,1.36333951317773e-07,4.65776004883692e-05,2.48205299058259e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41810478838958e-06,7.85704931422367e-06,1.26343822647221e-06,2.80470060168638e-06,3.21012259222693e-05,1.19205160567466e-08,2.08334686353241e-07,6.68417659047472e-08,2.02153340043233e-05,0.000153918637780199,6.89219732547621e-07,6.7103238258218e-05,2.34337712712167e-05,1.84568171908033e-06,2.21327987343838e-06,1.25756070099987e-05,2.01813573346742e-05,8.95571629859294e-07,-1746.49677868744,0
1,0.318294018717531,0.173062736006796,0.7408673201948,9.7,1.76710042944262,0.453369415007253,0.276103277050639,0.00028270621775915,1,0.508303786457338,0.958938981871695,0.526629858585852,0.968854702847902,0.981990614282362,0.940639248467887,0.989463162981104,0.979950914018326,0.994433414669019,0.911883552795355,0.694547173159179,0.961687711937556,0.901192816452472,0.88321891808612,0.924229483858671,0.97302559794485,0.998794249138705,0.956148294354565,0.2855194663031,0.995374114839708,0.97823783749226,1.70613150313378e-06,9.59170853551909e-06,2.37065222456894e-06,4.10932383020319e-06,7.25659197962682e-06,4.84121926757014e-06,1.1472781888129e-06,0.000202091588245693,4.24783637479563e-05,4.2184017445295e-07,1.73119796673738e-06,0.0116569589684953,1.15845681465342e-06,1.45741665074837e-07,1.80246666656399e-06,3.23324020804791e-07,3.04135137813694e-07,8.62510719332256e-06,2.02228648326152e-07,3.54508842530159e-06,3.93044099977464e-05,3.23895856500546e-05,2.38422744716328e-06,4.33549805575667e-07,2.25142169943759e-07,3.21478107815109e-06,1.58325300459572e-06,7.22397376711507e-06,1.71880409335749e-06,0.00014136607195595,1.89645712199089e-05,9.49251263065709e-07,1.88994937643115e-06,1.14288723438861e-06,4.19014568232985e-05,1.04373098219107e-06,2.02428024534242e-06,9.30242760635435e-07,3.09264919876589e-06,1.56009142652827e-06,2.00509996347371e-05,1.94395939235504e-06,8.48033521369528e-07,8.03302701216903e-07,1.78424719566287e-05,4.07386685273025e-05,6.43726191346215e-06,0.000175175650381169,2.33729404324361e-06,2.47590241945311e-06,6.32947162425931e-06,3.85535887155655e-06,1.5473893168675e-06,8.7687769819914e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49886617651803e-08,0.000328469975307951,7.38040747725474e-07,3.83737635659826e-06,7.21910988498366e-05,6.23186217322918e-08,1.06752651728015e-06,2.38916421349206e-07,2.13146783088084e-05,0.000172987578760428,5.3033461402333e-05,6.64772653530082e-05,1.22742499717745e-05,5.27705948958378e-07,1.28791032880512e-05,2.48221930148476e-05,5.97365925612973e-06,8.80503516461743e-07,-1747.19127120555,0
1,0.314055727132432,0.182055986069374,0.771677343036996,9.7,1.77792237827235,0.471042504920669,0.275107622651927,0.000206708702035982,1,0.740325382645924,0.989734719690501,0.558302644368472,0.858554797847728,0.983579667839344,0.485732744539013,0.96522821493279,0.993160661528744,0.961289084438876,0.939953874424476,0.997129278237984,0.987609910832073,0.905684750657911,0.973102572799644,0.876939413203124,0.986159516128538,0.983053844531837,0.929187876733916,0.856155101930018,0.867017332236579,0.99383740913954,6.01120183287313e-07,0.000137234718069581,7.77538556144399e-06,6.29931633991461e-07,3.31388463525333e-05,3.28946621374937e-07,1.37644619518284e-06,8.74491773801979e-05,2.05753433906979e-05,1.31131900966817e-05,1.80759323705423e-06,0.0128486092504149,4.6808813191006e-06,7.54746835486938e-07,9.74930310226351e-07,7.36261686083964e-06,2.13524944789011e-06,3.30505307497596e-06,2.63461501488486e-07,3.77895719329226e-05,7.47965383866914e-06,2.88915567518478e-05,3.12722593508594e-05,1.27990686620671e-07,1.17095939850065e-07,1.00195761756083e-05,1.24918816897351e-06,9.18161613943569e-05,2.79445983020352e-05,0.000105908465758217,1.99699091073443e-05,6.4299630978807e-06,2.33504893296392e-06,1.46039631759641e-06,1.00632132299242e-05,1.75374182904299e-06,8.215970206908e-06,1.19347952178503e-06,2.94407580834152e-06,1.44426662270679e-06,3.23277600805238e-06,1.80291345457048e-05,1.16803708132972e-06,1.17965810059936e-05,8.5061791891959e-06,9.0350065936546e-06,3.72252058606942e-07,0.0021885962119431,1.45845772926913e-06,1.24622132459342e-05,1.10599740712476e-06,3.91017123194366e-07,2.78558703088241e-06,3.40281022432087e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2027254620432e-07,6.84109874123384e-05,2.810416181876e-07,3.9006251408908e-06,7.3451980013659e-06,4.31086682370334e-07,3.8365986636994e-07,1.94894985577548e-06,1.55980282604981e-05,3.59202313733468e-05,1.08546967910737e-05,1.91701319090394e-05,1.97544950119066e-06,4.1442828599044e-06,5.08768326235475e-06,1.60320213642621e-06,3.82367317250039e-05,2.44459599917031e-06,-1747.69305880876,0
1,0.287462758470481,0.156379578880833,0.701493480673879,9.7,1.79544711911674,0.445792589924619,0.260257900120625,0.000343140553522738,1,0.445131307041525,0.93774702554617,0.536060135150367,0.985987988882547,0.697875869986743,0.96421501888809,0.897511852894571,0.988880342972156,0.807109322543567,0.828270894224848,0.994197704738121,0.41696932313473,0.997498593378068,0.99944075739245,0.804627330192185,0.997453079730558,0.957403865866913,0.972011315533112,0.986380022576979,0.983060880007708,0.978881643139552,6.97085100136525e-06,0.000215940531102028,5.37511286398902e-06,1.46132787403186e-06,0.00015149058390793,9.97687961964092e-06,1.24915684598905e-06,0.0001048920461628,1.19986204012227e-06,9.32968740021962e-06,1.76185373375749e-07,0.012464418403194,3.32714318144691e-07,2.04670665629352e-07,2.39791872986362e-05,1.10170196295484e-05,1.31916764714276e-06,3.76635348251144e-06,3.17073362298142e-07,4.26525044136959e-06,4.73321947004292e-05,3.05100802548504e-05,1.03522250278424e-05,8.09810668631821e-08,4.69746067682875e-08,8.46431756509703e-06,2.96273580984393e-06,9.44959216246795e-05,2.80917646581492e-05,3.76234084082377e-06,3.24711837806676e-05,7.29826370364126e-07,2.72026792985574e-06,4.34997476270346e-05,3.73514834590589e-05,1.59995622367337e-06,7.25048157841338e-07,4.75078254564112e-07,3.4377975856307e-06,1.98135030851804e-05,2.0005442435287e-05,5.00257293799349e-06,9.49183299300632e-06,4.07210060607078e-06,3.30275626707958e-06,4.00609114901217e-06,7.63361519581301e-07,0.000217083111098734,7.21447701596925e-07,4.39542108814035e-06,1.78714515910633e-05,3.52927007547824e-06,5.85234361597666e-06,1.58593653358744e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5450539998732e-06,5.19306724599388e-05,6.54679126512231e-06,3.89368762797637e-06,4.31782536665604e-06,8.26692522179288e-07,9.93793052164282e-07,6.48161458620437e-06,2.45582841408011e-05,3.31340926214874e-05,5.28267023685296e-07,5.1165475411019e-05,1.9195589392158e-06,1.36093826431168e-06,3.13314735557338e-07,7.80016383874712e-06,3.64964276059952e-06,2.72411556375075e-06,-1747.72431469568,0
