"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.294490081353637,0.165026295365391,0.687813011125988,9.7,1.68358936678446,0.450331759261778,0.259077243739499,0.000298067066326565,1,0.495612745355646,0.993169259995452,0.490591268760902,0.891923784464393,0.98724089640498,0.989774888587408,0.989265753986543,0.998777127464711,0.986412371884954,0.969357918250548,0.988697557292411,0.998195896269768,0.815852412359585,0.99449081713784,0.77320410466544,0.821819868220136,0.990753281835501,0.978782698355665,0.835581157632651,0.988098401191687,0.989169411211746,1.47553836803375e-06,1.88418750324452e-05,2.52872997706141e-05,1.3166277839057e-06,4.43980129125894e-05,3.17226136335625e-06,6.25914651644683e-07,9.98795520765619e-05,5.00291862066525e-05,9.62696702473287e-08,5.47304898491597e-06,0.0128626579041267,5.04361372370148e-05,1.05352057498897e-06,1.87736954374357e-05,0.00012379681740445,2.42126769911876e-06,7.1692971437591e-06,2.42204686879114e-07,1.63365268606703e-06,4.97256893731345e-05,3.77729465200465e-05,4.47977797555729e-05,8.50790905504139e-08,4.0529308959074e-07,7.26698151195599e-06,4.00959356155375e-07,7.17486079546357e-05,2.34979662177073e-05,6.25255800641346e-05,8.2424632913217e-06,3.20970552689309e-07,5.97715638034667e-07,6.19688261490013e-06,4.88819666535149e-05,4.17391693801805e-06,9.1190555429046e-06,2.17297182271287e-07,2.86149149572409e-06,1.97430406545982e-07,2.67562058962488e-06,9.06012677701921e-07,1.60716461365183e-06,1.79455096983732e-06,2.14014275219508e-05,3.40753524415281e-06,5.33748645588223e-06,0.00170474716679985,8.009403355401e-07,3.91782398566666e-06,3.0026234359919e-05,7.77058060316422e-08,1.81057090419976e-06,1.25102868844903e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78679310814832e-07,0.000316894287609222,2.31919127685481e-06,1.55467681983882e-06,7.55921706224773e-06,3.96873884644611e-06,1.97657249856198e-06,9.10006483823877e-07,2.79375181095621e-05,5.22262625312941e-05,2.19887351333975e-06,3.7204289646584e-05,1.43992158114764e-06,7.97765806253217e-07,4.94479415994647e-06,2.90712811181251e-07,9.6737300357254e-06,7.47493426228274e-07,-1730.01931880033,0
1,0.302342587486096,0.16638810833135,0.716939914810198,9.7,1.80312669405875,0.451992497525869,0.26493729147887,0.000363881513972367,1,0.520126730745377,0.979713396494917,0.494589541077623,0.966445018138829,0.993646917311568,0.844420194655817,0.893227268961723,0.989684446456001,0.955560510543533,0.893816085530864,0.968159652770825,0.913820167281137,0.97277784393927,0.978563577066692,0.891870369520727,0.972559577005286,0.990922201333282,0.887563118658829,0.97608092389247,0.988984133343225,0.962813529172873,3.04158532007915e-07,0.000364656513679371,4.72630064819539e-07,8.70630141054129e-06,1.48004510929388e-05,5.25032384538594e-06,5.32766871427308e-06,9.4133916986993e-05,7.16679140149026e-06,2.44054031341976e-06,3.04149464513721e-06,0.0112388889356631,7.89265324451078e-07,6.07647178113308e-06,6.6787927784684e-06,0.000127021789147104,1.40303247385623e-06,1.83713993867881e-06,3.86686827016524e-08,8.9608299665602e-06,3.35825610541772e-05,1.9245777534706e-05,4.00760836043747e-05,3.32069487654616e-06,1.81631653677416e-07,9.60622632550967e-06,5.15316110962871e-07,5.14331903493022e-05,2.61182155880548e-05,1.92577789329239e-05,2.89103174571139e-05,3.22429249959832e-07,3.57527756138111e-06,7.11181500645195e-06,4.06540593884855e-05,2.01503826058716e-06,1.30982670577073e-06,9.47212890047381e-07,6.73151803791388e-06,8.73475828863293e-07,8.3528698634923e-07,1.3524827786225e-06,8.96403620887658e-06,2.01795644641837e-06,1.30933882594503e-06,3.12417549452884e-05,6.7165695576385e-06,8.55872479097578e-05,5.1211788404101e-07,3.13164913706827e-05,2.62253289856908e-06,1.23886292190622e-06,5.60509761947347e-06,2.23518564878679e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48103054226935e-07,2.78850940803635e-05,5.51608666926383e-06,1.16870136060485e-05,4.75865651085715e-06,1.02887969203623e-07,1.03918177547088e-06,3.87560604786699e-06,4.42024581995094e-05,8.29470302902849e-05,2.12352944946428e-06,7.41992392157401e-05,2.28661333863462e-07,3.38895296296126e-07,1.17681648213701e-06,5.78668476289025e-08,6.98185991174567e-06,5.13713540974231e-06,-1731.56280779693,0
1,0.26360170882427,0.162585979836602,0.728935037008597,9.7,1.8311404960807,0.470444677515693,0.26978973263621,0.000324240673402236,1,0.497302782148412,0.927028875216885,0.50801807136136,0.985050725860688,0.994404220053739,0.943592456265825,0.918471638170039,0.999282383721027,0.602030954006735,0.991627535744955,0.958201506211036,0.993212538678608,0.985771386045181,0.99950724603433,0.265623153738251,0.988204880979149,0.874842866219696,0.990820336897662,0.931837360323181,0.848919266248051,0.903738256728176,3.39200323895139e-07,4.39646193278173e-05,1.76008740696174e-06,2.38442368552954e-07,4.92038215260109e-05,3.96851981633273e-06,3.58982741468857e-06,0.0002398108103683,1.46381624002579e-06,2.54166095498088e-06,8.79171833938833e-08,0.00390163738668111,9.3248264183395e-06,2.51509361959823e-06,5.96700771883031e-06,1.05767620159342e-06,1.8512643620761e-06,6.65048201055566e-06,1.93821612065402e-07,4.99248442917493e-06,3.70109881713671e-05,2.50515745374584e-05,3.41144592946734e-05,1.54993251479106e-06,3.14078507751057e-07,1.41199280918474e-05,1.5603439642328e-06,3.76502105379149e-05,1.93589757829797e-05,8.83741076813979e-06,2.08956727470403e-05,1.48810152230176e-06,2.40228582458726e-06,4.60937229149845e-05,2.15608984004967e-06,3.38878716441102e-06,4.00941780732167e-06,1.76917510287452e-07,1.17585931507946e-06,1.4159541330994e-06,4.87558365772587e-06,0.000112063541486248,1.58948299487987e-06,1.89438075047336e-06,4.66163708133314e-06,6.90381206827243e-05,6.97964676427416e-07,0.000799637334118325,1.92644166358764e-06,4.46824454236347e-05,1.02855745486739e-05,2.22251675734678e-07,1.22483799450953e-05,6.50616353507416e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37827636936424e-06,0.000286237869021269,5.06745810445917e-06,9.32182512883306e-06,8.01672245381833e-06,9.73652923511835e-08,1.36686918669667e-06,4.09886394445199e-06,5.80819225580814e-05,0.000123501247370959,1.08895985517156e-05,9.66258927977335e-06,9.09550680727818e-06,2.41208053097034e-06,5.80874615679933e-06,1.87547026475841e-06,7.88331988085287e-05,1.54347423688641e-06,-1731.84290811429,0
1,0.237641738862602,0.17662552042901,0.740123203579685,9.7,1.55259173183799,0.464897021820501,0.261332490546605,0.000282300799776025,1,0.668985709504826,0.986032960889062,0.502321457164356,0.756967052180506,0.979730958971139,0.970957752301001,0.949790176460501,0.96884703719861,0.994437696741379,0.908373759283059,0.357885423590196,0.944801211783137,0.785516612784744,0.96606091007307,0.933098519623645,0.932563764577978,0.97738821910026,0.650120711264851,0.903426786539529,0.940824622908501,0.959506184550619,1.13559105512829e-06,0.000426748522415633,6.22623070937417e-06,3.75523108200323e-06,1.54939601170082e-05,2.46554689360538e-06,4.32527798844214e-06,0.000119036039740977,1.36327430846328e-06,1.90545667473108e-06,1.45608924170814e-07,0.020123020105441,8.53308765293261e-05,3.78194299990959e-07,1.02775465991596e-05,4.7865525634216e-07,7.1324453425797e-07,7.5093278235175e-07,1.04769449794174e-07,5.39261407033047e-06,7.23159893011817e-05,2.257356378896e-05,7.76564453292327e-05,4.09179838448189e-07,3.40055631142558e-07,1.64581940206219e-06,3.18667795343586e-07,3.43763518970816e-05,4.58103314909169e-05,4.45227371068402e-05,2.13074365629655e-07,3.4598716512349e-06,2.2046034147214e-06,4.96079189028576e-05,7.60470642021787e-05,5.12692471456285e-06,7.51535025239254e-07,4.7436884475592e-07,3.92703317739275e-06,1.68920038924122e-06,7.33551292373392e-06,7.35271537482579e-05,2.6834087962524e-06,1.42461964638847e-05,2.08636091293347e-06,3.03268720812259e-06,1.99187954959672e-06,0.000229517779264968,4.50389882033409e-07,0.000237962628014739,3.33295459450752e-06,2.61201922847984e-07,2.92788681470219e-06,2.232612623675e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15722619742214e-07,2.96409854021941e-05,1.76890840098097e-06,5.3653809776563e-05,1.33608020968402e-05,1.62914769986081e-06,1.10245802827485e-06,1.73363866032241e-07,7.78778444469915e-05,0.000182692241449432,3.43351052502425e-07,7.15729606736791e-05,1.13260635511925e-06,1.15874330164503e-06,1.02645184376394e-06,2.05840986610021e-06,7.14131287881046e-06,9.0094635160664e-06,-1732.67289102607,0
1,0.309930668206572,0.145939716596564,0.78289957235385,9.7,1.78187881727294,0.459105177289847,0.249273713928253,0.000353760052188479,1,0.616110045627981,0.96977566476468,0.501055692284218,0.739438711478269,0.983492968219352,0.968238317546986,0.818133142787157,0.962232644474191,0.981273424100139,0.986699395579583,0.798820942292697,0.983701718252409,0.956468263240606,0.990195717670588,0.796499077939464,0.96364630730367,0.99909661791154,0.986971554668852,0.894058034747364,0.946660829325282,0.644683402744828,8.72444612195897e-07,4.71414219590595e-05,5.64796752541295e-06,2.90185267398924e-06,8.24177434858767e-05,1.25222739057684e-05,7.81296577177424e-07,0.000100929922688812,4.15991726396297e-05,1.45658390316319e-06,1.20150935562416e-06,0.0115065261614834,6.3302323553913e-05,3.49093149133404e-06,1.54005295760726e-05,2.54744879732836e-05,4.77762386266886e-06,1.87971888381068e-06,4.30014086694189e-08,9.41895123395906e-06,4.0615089171911e-05,3.02445133716299e-05,3.28746342116134e-06,2.30422306874428e-06,3.19154125955982e-07,8.75585718228797e-06,2.76277613802732e-06,0.00010018418659621,1.11163178065098e-05,1.34944566647846e-05,4.29501397062488e-06,1.05610766357661e-06,6.33433580541447e-07,2.62347344890536e-06,5.85450737201131e-06,5.21317458760064e-07,4.05786877189445e-07,1.70289018101908e-06,2.25085591319338e-06,2.04933713117218e-08,5.08439203321384e-06,1.53664660595459e-06,4.37521034625084e-06,1.20654424710892e-06,3.33028186048249e-06,0.000249004744115624,3.31130109493762e-06,0.000828665847696621,3.53438025410048e-06,7.68067124512708e-06,4.23026720489304e-06,5.46604056588025e-06,2.5426910397254e-05,4.08441847295223e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27498976759862e-07,0.000256059605443626,2.25386114824807e-06,2.72093121533322e-06,6.55790786122451e-07,8.60741072199348e-07,3.96194792300113e-07,3.61960612289385e-06,2.06333971198636e-05,2.09911431227418e-05,4.32607759636144e-05,3.0713263869227e-05,2.8582983609824e-06,1.57222836624855e-06,1.1383148574496e-06,6.70004034614928e-06,6.73499317363808e-05,4.8918352593053e-06,-1732.77009568363,0
1,0.271136754771243,0.147040484309995,0.728110626100429,9.7,1.55022617102112,0.469955269505644,0.2630499363859,0.000288880561082994,1,0.974555941560806,0.931645516888778,0.512247942820476,0.969011126108961,0.967420111853609,0.707745362865251,0.988182463611379,0.994365038150295,0.982069000843314,0.977339046630433,0.947396943673365,0.976916364302438,0.928567014571182,0.958778445089353,0.618042803895281,0.886058100445591,0.997967950512066,0.982233057627299,0.972814526430102,0.976175085883696,0.99486661852048,9.7298816945394e-08,0.000500640112717086,7.50410369985045e-07,8.34099364356713e-06,1.45217099954132e-05,4.82899638462148e-07,1.59774314856064e-06,0.000101702767015657,5.70255787705909e-07,8.25287414428608e-05,2.23377126240084e-06,0.0145304880094831,7.45183011462252e-05,6.50392120773149e-07,2.01630309166945e-05,1.14296568744706e-06,4.46923312461744e-05,4.79188355393209e-06,4.04727321634397e-07,4.6475980871074e-07,7.15937890330685e-05,7.15984712105775e-05,0.000134868813802435,1.0957737617458e-05,3.56604321419422e-07,3.82277813273929e-05,6.32211512508959e-06,8.10660432802122e-05,4.52643367265812e-05,0.000161078684008729,5.61664553089441e-06,5.19121305707377e-07,2.7048327156756e-07,1.18904061127548e-07,7.86979100424483e-05,5.20548365191799e-06,1.57425994383983e-06,3.71333414381805e-07,2.03855765395487e-06,4.40387011576101e-06,9.64101095842912e-07,1.4165935002065e-06,1.60361957433668e-05,1.8062161100143e-05,1.65084328501912e-05,5.57149576572889e-06,6.07588487939335e-07,0.000154409122189682,3.98461657430536e-06,1.64347836599909e-05,9.13738635535446e-07,8.02938918571155e-05,4.75181167885552e-06,4.35015224322671e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.09190524200293e-08,4.48097763015249e-06,1.21618726529508e-06,2.12837734422888e-06,7.3197886393125e-06,2.88991264506704e-07,1.01382930978179e-06,8.83797856219971e-07,7.18581867728949e-05,0.000111111415572694,6.92322858308828e-06,3.73033721563925e-06,7.37146650961445e-06,1.47712150615602e-06,5.35232506467959e-07,3.27078193043268e-05,7.87044711502113e-06,9.20917866941065e-06,-1733.20928092945,0
1,0.256843424280562,0.158169343655315,0.723703940298752,9.7,1.66036160068734,0.457020289315747,0.269807918886372,0.000316560749775459,1,0.974667012297706,0.951683767526952,0.498883810996173,0.921483446785834,0.954448280732396,0.762978354896183,0.989820187162983,0.979551122824287,0.170362137915959,0.918970097095827,0.998029779887663,0.85786075127514,0.960281528915037,0.998663939243601,0.924194512456257,0.97608898751533,0.980341730349434,0.986424312469072,0.647641181089035,0.951980889370718,0.942953670975958,1.40283697141189e-07,0.000327542127261781,1.40340134988636e-06,7.76117024580537e-06,0.000142912713005535,8.30078242146181e-07,3.06228208714051e-07,1.38034214930573e-05,2.2618598902162e-05,1.70544456018893e-06,5.76673410544446e-07,0.016909851248312,1.6881623980916e-05,6.53673162924768e-07,1.90774822343045e-05,1.34198406317822e-05,4.89094931982572e-06,9.21246114136838e-06,1.97570778707157e-06,2.66246167300119e-05,0.000100541873527994,8.08213350145572e-05,2.8884615991131e-05,2.42452670886158e-06,3.21044051496285e-07,0.00016619265410201,1.91652228249279e-05,0.000123872201811232,6.97914231279178e-05,8.49245122187648e-05,2.01029549771252e-06,1.56526624780362e-06,4.47730738559694e-07,6.60127764769692e-06,0.000106046399911883,1.47777878102718e-06,2.84696660856985e-07,3.66220241513702e-06,2.38785701785701e-06,8.32565282725524e-07,0.000137646707809222,8.56865071058941e-05,3.19183384168989e-06,1.54145026205319e-05,1.05685801033468e-05,2.82945093994335e-05,1.03399623206715e-06,9.46294864062482e-06,3.53613942158297e-06,2.51275258196777e-06,7.74739461063476e-05,6.04897670012939e-07,3.03054454502597e-05,1.40458456728156e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24036509104534e-07,0.000114578254664614,2.13184422907501e-06,1.86608002841945e-06,8.92251885553961e-06,3.58415124908672e-07,2.78910237162819e-06,1.95706653344056e-07,3.18412145212893e-05,0.000123996830824691,6.02851911204654e-06,2.91623954889864e-05,6.7235711394512e-05,2.92898683713268e-07,7.65892224487258e-06,7.91586939375029e-05,1.58645530303341e-06,7.53211612145405e-06,-1733.21494982312,0
1,0.309129661170274,0.153478650490419,0.747064851212426,9.7,1.87874552240322,0.45103578596718,0.264126914664242,0.000402581716973311,1,0.910443242664934,0.975920770364757,0.481970178102618,0.998998066380468,0.684488231210737,0.908847960747259,0.929951330548211,0.946664395754634,0.987851678566518,0.889662387040938,0.97608273848395,0.931017543912775,0.987721536794181,0.995785209599877,0.636390529817528,0.410450049996347,0.906485246623503,0.942568244140646,0.992933503244856,0.997960155959971,0.87525217227838,6.62759484884691e-07,0.000239289088232752,6.68623204868205e-05,6.1277186633368e-06,0.000101231803951898,3.7535164455361e-06,1.1577546789682e-06,0.000199143069464494,1.36563777108743e-05,2.31465320006926e-06,8.38832620022676e-08,0.00779390328475812,5.98561890968492e-08,1.15740525708886e-06,8.37598142614395e-06,2.71873581648032e-07,3.45482525988697e-06,4.66917768132091e-06,3.10972267439284e-07,2.09708153644139e-06,2.05889323123632e-05,2.65537420565394e-05,2.8539516795622e-06,5.29662902841618e-07,2.56994233204776e-08,1.10402092855799e-05,9.56939288463096e-07,1.79104891631142e-05,4.63219100275836e-05,4.00117646071336e-05,1.69128000746513e-05,8.72637902031955e-07,3.60675231248815e-06,9.05472360622086e-05,4.26133454237942e-06,5.06042156363029e-06,1.07318025893011e-05,3.81464344205033e-07,2.60514732150816e-06,2.28627575376899e-06,7.51176223668049e-06,7.96589993601184e-07,8.93781151596304e-06,1.11731196524592e-05,1.25697626590208e-06,7.41822867425689e-05,1.91495635628151e-06,0.000370550964583763,1.95493497337996e-06,2.24328931233869e-06,8.70405711340998e-06,1.13699475577199e-05,9.36726384951848e-06,2.61943905591331e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52474673190907e-08,2.29863730724641e-05,1.3064775057222e-06,2.13004000300076e-05,8.31886923341361e-06,5.87092110959303e-07,3.8176981805303e-07,2.06034642770886e-06,3.31342240121777e-05,0.000147987563392752,1.0840911037379e-06,2.48351421278224e-05,5.89978433766773e-07,4.03421381078876e-06,1.74023629097687e-06,4.04510277183374e-07,7.15324971968523e-05,1.63885009576244e-06,-1733.5127639825,0
1,0.248656101620693,0.174524528951205,0.724640327211244,9.7,1.84507890742053,0.457545969306848,0.268727024565873,0.000274926256283738,1,0.541639578318144,0.931931405803071,0.51635573030547,0.960812734269668,0.897302545836287,0.967381584128739,0.973415455658363,0.991261725025869,0.941481838430604,0.974861381622046,0.97277523170777,0.924272766717367,0.97377989488403,0.996621401721951,0.935739882007226,0.958671824861395,0.8368119326709,0.889087094397784,0.404729575005295,0.948208516069519,0.945666845899988,1.79121552572718e-07,0.000194767338121018,8.61327337085993e-06,3.41908978193764e-06,3.95230613990888e-05,1.09916404036231e-06,2.25754010345677e-06,0.000121611220990615,3.55955965357735e-06,3.79571471854137e-06,7.57244193152441e-06,0.0162571336765405,5.29707933857602e-06,1.61713951825663e-07,1.57664660154914e-06,1.58820120309589e-06,1.4690480869275e-06,7.44997321189199e-06,1.04466297410299e-07,1.81666121683997e-06,3.28523323446234e-05,2.87571581397001e-05,3.2639667487574e-05,8.7788835761983e-08,4.33170091966407e-07,9.00022208534985e-06,7.91857011798101e-07,6.68287070129588e-05,2.14002082760519e-05,6.89479647557425e-05,3.20384174739656e-05,4.39488441756166e-07,5.74744319750747e-06,1.29503434297249e-05,3.74030417399903e-05,2.24327923078683e-06,2.75215392582596e-06,5.10955834793355e-06,4.08812543402828e-06,8.70012288818852e-07,4.53129887550184e-05,4.34977898833497e-06,9.03200939977397e-07,3.77766799688653e-05,5.4697654049036e-06,1.52912153201728e-05,1.83606827727278e-06,0.0016438709214111,8.13575940904574e-08,1.72778144155644e-06,1.45930695463384e-06,7.76735480480234e-06,3.85632524252357e-05,1.89476658315477e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62123924385749e-06,2.18447314825339e-05,1.42216228016627e-06,1.18385872422874e-06,4.84302955942518e-06,6.54240635480528e-07,4.44198987167775e-06,5.11646782999745e-08,6.54592422940922e-05,0.000101157945605896,4.95101431593211e-06,9.32362153417701e-05,7.90772493446741e-07,2.54666497794579e-06,6.68671696808009e-07,4.85040064900204e-06,1.80433623371481e-06,2.93576896167205e-06,-1734.36940441904,0
1,0.254404109513438,0.160717726142662,0.681532077283373,9.7,1.57546308351077,0.464816410943561,0.274416973341461,0.000264762721200098,1,0.511735373910998,0.93182383679806,0.506336563524735,0.985049095708978,0.992740083233996,0.915316681275386,0.997096199623022,0.996272655575093,0.988232554093985,0.983319340097395,0.958154341495891,0.992556311631645,0.901904997688582,0.885039255493263,0.64539108782944,0.914994568722438,0.990745019462874,0.996064842520216,0.94544921688273,0.849774726750333,0.964512191257187,1.12663758861824e-06,0.000436791783909021,1.00733826693692e-06,9.88745644415021e-06,2.13576758676261e-05,3.82820175263627e-07,5.7237300362896e-06,0.000351522706460389,3.99348761100291e-05,8.96354847477902e-06,1.97774444008091e-06,0.0139875408066888,4.2559750915878e-07,2.92947639653705e-06,1.73562853146235e-05,8.9227290801797e-06,1.64615818090665e-06,1.61681851108648e-05,3.9627496031221e-06,5.04612529624985e-05,1.65673762590412e-06,5.39933866672308e-05,6.0562921429991e-05,1.08325094945031e-05,1.2989204036519e-07,2.09528686694135e-06,1.82711389229496e-06,1.01616429286305e-05,3.70571755244254e-05,1.50804725648883e-05,3.37705578725572e-07,2.03218478617698e-07,1.75034888585943e-06,5.50213698642014e-07,6.42333611650455e-05,2.20250123964422e-06,4.3173726968917e-06,6.77026363090248e-06,1.05921887075217e-06,4.83252159210465e-07,0.00058630870671984,1.80930762452933e-05,2.53471297493824e-06,8.12856540164393e-07,3.57084779025969e-06,2.59124731740465e-06,1.13726877784427e-06,0.00529821058787665,1.19016724149706e-07,2.78760121588832e-05,1.16652490508782e-06,2.76303318721333e-07,6.22921271446447e-05,5.10385791318572e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21222374255417e-07,3.21294139818216e-05,0.000164519974462008,6.9531870601333e-07,6.95508277619212e-05,4.68380172593542e-06,7.44114401169963e-07,6.68480310369057e-07,7.27226159243313e-05,0.000289146103785769,8.74570963374127e-06,4.02978365026837e-05,9.05768013229586e-05,1.67632509624767e-06,1.246580705806e-05,0.000142000206278151,5.10074573629502e-06,1.90663214667917e-06,-1734.58740145566,0
