"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.320548710920995,0.154090334735953,0.755673738636964,9.7,1.71357280846643,0.447747903861667,0.254650415786294,0.000344797773835316,1,0.533037493241326,0.962843389975288,0.575189804814838,0.995653822370407,0.957566856587929,0.957545582748687,0.991079334621174,0.976816321482137,0.978979370458696,0.837950779809976,0.99881943764219,0.975258529588213,0.668475105612861,0.838181218427903,0.938185943251046,0.549037725430249,0.921463665199877,0.950727816546773,0.924238498241737,0.996940992098215,0.969579295629338,1.33044252258902e-06,0.000385397035359539,4.03693208006234e-06,2.37805635596284e-05,5.74589170996885e-06,1.56978425788262e-05,1.4954974042163e-07,0.000107026550006985,5.62386940248783e-05,1.00411719639031e-05,1.49553424722765e-05,0.0144492215605019,1.60579298956911e-06,8.53849265034577e-07,4.75880260713532e-07,2.94049151656896e-06,8.51046786352005e-07,2.5645938708145e-05,6.42453582817437e-08,6.22352075243482e-06,4.04072366743791e-05,2.51898896840378e-07,3.08540015976455e-05,9.47670032338069e-08,1.84186376116379e-07,1.17250435999171e-05,7.6077128078571e-07,2.71742978358902e-05,5.3007641043676e-06,9.94476921102462e-05,8.89156732947373e-06,9.72979124778505e-07,1.5652465729942e-06,9.33079740649952e-06,3.56203136894083e-05,2.01960617010439e-07,1.07325521094664e-06,3.0131766194943e-07,1.51692828608502e-05,3.41509975208821e-07,4.78151738641181e-06,1.53642352354838e-05,1.53210773044044e-06,4.22186750888135e-05,1.46914102376156e-06,6.02365131764729e-05,5.25658747765554e-06,0.000271706983888206,1.24757364304337e-06,1.45575053389533e-05,8.1155668183985e-06,1.04942654116655e-07,7.61790907392262e-06,4.56667027547283e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20050641200278e-07,5.55268802974916e-06,5.2220623413596e-07,5.28785394913014e-05,1.80201222593734e-05,3.00116549551464e-06,1.18510346838475e-06,4.74633616245101e-07,1.59159869721025e-05,8.97084885216975e-05,3.64501163412536e-05,8.23404061953545e-05,1.38685413540722e-05,1.67148579279079e-06,1.15378045039582e-05,1.1740513798201e-05,3.26985531075798e-05,5.10621200612449e-07,-1759.67588519864,0
1,0.30184098846605,0.164760063290309,0.762671595331796,9.7,1.82176974419662,0.444133801637833,0.25321555442729,0.000402547873123099,1,0.6539835081134,0.958231136898878,0.570057255641068,0.995145587539521,0.520568672128157,0.946637158836551,0.954926125171962,0.988131279488324,0.996006539401262,0.987051885767701,0.962781024644361,0.968304181118631,0.722883750006079,0.899075732657483,0.888923882077202,0.979022635837445,0.994404689973655,0.916072077571436,0.899990749733667,0.934796177951901,0.9974316119469,9.2808978302578e-07,0.000113360128168821,5.69491098512991e-05,2.30359895013527e-06,9.54827209976365e-06,2.91208919882904e-06,1.66650120534256e-06,0.000110154105773128,9.57145610289034e-07,5.50711360209743e-06,2.25992555763452e-06,0.0111712304306606,5.54435597162676e-06,3.81304731410002e-06,4.5272059987832e-06,1.43908457679152e-06,1.69071898027087e-06,1.75898623327119e-05,3.46907089876597e-07,6.34977917597278e-06,1.98681175641361e-05,3.44606779190594e-05,5.61728129669262e-06,1.83218051070718e-06,2.1995279800545e-07,1.11311801790151e-05,3.79274774218254e-06,2.01554278913163e-05,3.03037446722914e-05,0.000162858569126961,2.89476907898962e-05,5.00886095917401e-07,6.54118339920427e-06,2.71979718718046e-05,2.73475380928775e-05,2.79513555009029e-06,1.79924630073107e-06,7.57386402413729e-06,6.70027962048422e-06,7.29128604146769e-07,8.75167423491335e-06,8.86047716639067e-07,5.46783472266984e-06,2.04521480538074e-05,2.27944289414768e-06,0.000831721000039456,1.08561764975074e-05,0.000184935175615715,1.78966481183066e-06,8.18477844078059e-06,3.92651215259033e-06,1.55352015972635e-06,1.98643391324172e-06,3.44956837086187e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38996685938632e-08,6.09801734921175e-05,7.45242508092006e-06,9.19704850312427e-07,6.2817030890903e-05,6.98648298399234e-08,4.04628993199798e-06,1.17929859285462e-06,4.47705070090387e-05,0.000103233560813571,7.51704603265797e-07,1.25189049383733e-05,8.44166702823102e-07,1.8893116513281e-06,6.53238520025867e-07,2.80647633687401e-05,3.04366511655262e-05,1.9366844370567e-06,-1760.99769800589,0
1,0.293582687686847,0.158287701425889,0.755827942985766,9.7,1.83072798470918,0.47369813796078,0.274585672961377,0.000290936558906602,1,0.581527396314651,0.972366059986597,0.630213015544917,0.989060939425337,0.943243286013143,0.955495363707469,0.99828666287893,0.981972987605695,0.90126333899933,0.950155613797814,0.990702593382427,0.944642671850541,0.61205024820236,0.999390741863618,0.957224997605674,0.878872890334242,0.964552522445458,0.964894842792123,0.906947030186719,0.99286816502526,0.853754977216389,1.93176650851823e-06,0.000274898546392177,3.77160845305294e-06,8.60142458021836e-05,6.95323327343711e-06,4.24631729021525e-07,1.28474635014781e-06,0.000113664952014436,4.49378617683919e-06,2.20475034764794e-06,7.47877045006017e-06,0.0122947067258074,6.98381675686458e-05,6.97219782880921e-07,1.58801495750873e-05,1.29158809549184e-05,2.06239646616886e-06,7.90011964932062e-06,9.53789940740698e-09,5.06011509162669e-06,4.06406249036369e-05,1.7884109039653e-06,4.31405031626591e-05,6.76176907327383e-06,2.05414899364976e-07,8.27849620493682e-06,2.90139951680941e-06,2.84162020555397e-05,9.71466241228666e-06,1.05624684352747e-05,6.80615068361107e-08,9.19864699450822e-07,4.77305005096687e-07,2.70331949382553e-05,4.31607523887995e-05,1.32486815953934e-06,1.47245592296603e-05,1.48860482983755e-07,2.25415248517667e-06,6.63784831272999e-07,1.96078695875157e-05,2.49757821112495e-05,3.28438804868543e-06,1.63708235186895e-06,7.06831021248392e-06,7.20628495713839e-06,5.97524235701239e-06,0.00202797920537906,1.6954182116107e-06,9.1060734251798e-05,9.02495161321769e-06,6.78066163116625e-06,1.17274167675991e-05,1.26990888650267e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08582755377839e-06,8.20162980276025e-05,6.50208518779255e-07,1.41245903198817e-06,1.79984899845819e-05,1.20672786650162e-06,3.22840690303134e-07,8.12167048339359e-07,4.44732030817738e-05,6.92881993659667e-05,3.35896050072682e-05,7.24460498769193e-05,1.12620304816842e-07,3.47143440120241e-06,3.0084320853852e-06,3.85829225475294e-05,1.51434713412152e-05,8.59870959441361e-06,-1761.32863661787,0
1,0.298248293501495,0.141460882459778,0.730554243942636,9.7,1.84602941428564,0.451855784956564,0.247725449290595,0.000366385534862255,1,0.604442471182006,0.991694415072012,0.616336365937391,0.951943861482271,0.984892771107151,0.973151616958599,0.839678063398621,0.985443713738638,0.997213215861215,0.900599336280702,0.984365688877276,0.991976559908155,0.9840336012439,0.959135426923298,0.923782804667748,0.990434363508363,0.995956779745721,0.938473168115455,0.372757369186554,0.97254765208572,0.988440090229742,2.9903841533051e-06,2.43582355644346e-05,2.92854807954737e-07,2.83681581033673e-06,6.8323473143346e-05,1.20721456884218e-05,3.88436379999568e-07,0.000113613820619734,4.8688994845479e-05,1.17574059340915e-05,4.65015689045738e-06,0.0136898025341451,5.40569230606887e-06,5.04321426860668e-06,1.45226746094123e-06,1.39187016311095e-05,4.12500994264567e-06,1.53862028943789e-05,8.54161636905835e-08,8.05171912075071e-07,4.86686794279713e-05,2.93225802619271e-05,3.48277715461855e-05,5.40498039528794e-07,8.73836113921051e-08,1.168569540237e-05,2.87101159738811e-06,3.24600035875503e-05,3.34131445549972e-05,8.3190598411182e-05,1.11071932103472e-06,2.1115903421401e-07,7.9107222768381e-06,2.04328592321525e-06,4.24563420844131e-05,1.47641177547815e-06,8.30132223749279e-06,9.79713096545429e-06,7.18363033700648e-05,1.24722438752172e-06,2.32153029061718e-05,0.000185933974219458,6.40817102433656e-07,3.1059852145802e-06,7.37673182191397e-06,0.000157944450790898,5.09227316729726e-06,0.00178205437497462,8.28910602202377e-07,7.18412714905612e-06,7.86438291342511e-06,2.78665406292334e-07,1.64680768433788e-06,3.18200328191924e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02317926358195e-06,0.000197285862305242,1.02733551139712e-05,3.34256461859949e-06,3.21257433175149e-06,6.22214498157994e-07,1.08145496582043e-06,1.55310056915224e-06,1.66291915232411e-05,0.000129706066586625,3.74286206648013e-07,9.1192847601483e-05,5.2026431760785e-05,1.66853500528076e-06,1.86661228610049e-06,1.7384033559586e-05,7.57072308829159e-06,3.18716478220932e-06,-1761.74706263234,0
1,0.269097195337907,0.167917774846994,0.772172730973654,9.7,1.5852222122564,0.444574719091399,0.265575111847148,0.000351709387314459,1,0.63459004703949,0.931685947672844,0.588520925399775,0.992607061870394,0.993005201759258,0.788488144866818,0.591537314258034,0.963301085702688,0.986507655407204,0.926746903317692,0.991105473484364,0.986284887456116,0.923274785699153,0.986730760590494,0.987871938496793,0.96942535052361,0.856203467785503,0.96280366779353,0.777670807346948,0.905161136299801,0.913627094237429,2.32296955706323e-06,0.0004714492935777,1.29423648248387e-05,5.49327110354908e-05,4.69453777855918e-05,1.61913579981617e-05,2.93138556082214e-07,0.000234620270629182,1.10686950956022e-05,1.45376049702886e-05,1.8278987669227e-07,0.0178513994416615,1.89939035667447e-06,4.30328322953337e-07,7.6497032025608e-06,3.36260155213756e-07,2.56646913791726e-05,1.24905708628823e-05,1.02324541089441e-07,2.82369364411543e-06,5.7588099611925e-05,3.11812012142168e-06,6.93092757554722e-05,1.58027534659418e-06,9.91582461196633e-07,2.24180387843235e-05,1.32279865402038e-05,4.87927871536529e-05,2.87905062845116e-05,0.000126446930131392,2.18781763445364e-07,1.4181676544113e-06,8.58708264998137e-06,6.74220422010795e-05,4.04187933175382e-05,3.57655435075288e-06,9.5827748354351e-06,9.77118299373462e-07,2.63174351274773e-06,5.04514635752604e-06,0.000200814112532107,2.36802620159458e-06,5.69152853288962e-06,1.70601386444263e-06,6.92087270102506e-06,1.41823203800993e-05,6.17427917405619e-06,0.000156449830539082,1.54365690106614e-06,6.62747619125088e-07,3.43234415580566e-06,1.43279089158912e-05,1.27485074303292e-05,3.1979963024068e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59374299119989e-07,2.95113294035786e-05,3.57437445852741e-07,2.48383631377308e-06,5.65617383465107e-06,1.24011701386624e-06,5.68227363708596e-07,1.10389995703177e-06,5.76402007013122e-05,0.000167703707844268,2.53353884588182e-05,3.19033403018745e-05,8.08536453001748e-05,2.03976289068735e-06,3.4342411409575e-06,2.46039539622313e-06,2.55400318881686e-05,6.52419274910691e-06,-1762.20585250698,0
1,0.283135487952616,0.170128920261442,0.823425267706135,9.7,1.6415696684168,0.449966868994467,0.249547754499208,0.000346027781103385,1,0.709144299492453,0.96335638865852,0.559258988914784,0.949185142289162,0.978205245236844,0.9675871080232,0.974596414007143,0.991332353398778,0.965372738326912,0.889258902353677,0.593128980539576,0.998020542426957,0.89972316953177,0.997156876774364,0.845731356936985,0.430836162390694,0.752118758024082,0.983029076155128,0.518584315599885,0.948873755855644,0.908266587391196,1.37910632152573e-07,8.5946336446094e-05,1.18398028815506e-06,5.7630693886644e-05,5.09840802328749e-05,2.4036307415228e-07,1.63603456229304e-06,5.02999678516317e-05,5.48725039561703e-05,2.19083685633391e-06,1.5360453752067e-06,0.0135361774869887,1.30150075373981e-05,7.59588699734258e-08,1.66634687712639e-05,4.52130556927133e-07,6.04052455425488e-07,2.58997762247508e-05,2.43059080721518e-07,2.1717332638805e-07,4.96803231147609e-05,3.7310686115281e-06,1.69263086223799e-05,5.60989120934341e-06,1.67273412712421e-07,1.32237551082257e-05,8.31054289400814e-07,9.31395755800058e-06,4.69634691786217e-05,6.66741059271771e-05,1.31231975202235e-05,1.88839536775538e-07,1.82734510757744e-06,4.08987664857869e-07,4.14553927249133e-05,2.34382388873432e-07,8.06548891858379e-07,2.51713272183431e-06,1.08945613250745e-05,3.80261563606662e-06,1.3046325549891e-05,2.74681903776498e-05,1.35734587330133e-05,0.00046500987406506,3.08621262424055e-06,4.67176890479242e-05,1.1033907345459e-05,0.00016822904658872,3.96156923637697e-06,1.08798923683323e-05,1.47394637033447e-05,2.57361009152859e-06,0.000159066609506056,4.09350347537639e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64231347436749e-07,0.000291908278004385,8.63383247385893e-06,2.18707887758206e-05,1.01948523235088e-05,5.71506174490762e-07,1.93514140043247e-06,4.1237055085439e-07,2.05764069702348e-05,0.000196977708290403,6.5686398515327e-08,4.58651681138113e-05,2.39102026223081e-07,1.78930434215135e-06,1.18528875366063e-06,4.6976371864903e-05,4.11922555174907e-05,3.04205875656454e-07,-1762.36763205642,0
1,0.307581690651818,0.177403359626193,0.778919625749797,9.7,1.72959005315327,0.450564301573038,0.263302683036001,0.000301095073148055,1,0.99503434929614,0.980362961078007,0.575627636392637,0.80698082677943,0.803449356107694,0.81597518021867,0.990934070241134,0.993338972722104,0.974344565405616,0.906130157990873,0.985640996312681,0.968598359090896,0.979312398424288,0.989714912487961,0.922290758662641,0.949895642022317,0.96832631805602,0.984756657763534,0.921548763668298,0.970278902516811,0.92015786343926,7.2543082506503e-07,0.000199517920853827,1.89079029863791e-05,6.2635403922451e-06,1.39620919378549e-05,2.93046525187692e-07,1.15541802247016e-06,9.6142728727867e-05,2.76482384304159e-05,3.36363040952119e-06,2.32610879529567e-06,0.0118871539194104,1.48815122063414e-05,2.57406557596155e-06,1.62057721162066e-05,5.24347989269184e-07,6.19258482186116e-06,2.20941707553179e-05,2.18259359714438e-07,9.92753389810083e-06,6.42486872973022e-05,6.31752247431525e-05,6.06959603271139e-05,1.68059887313503e-06,1.20331477993001e-07,2.13083385532802e-05,1.24636239488596e-06,0.000141601248456807,6.18891268613258e-05,1.93505740051467e-05,3.57246786665279e-05,2.12892136607417e-06,5.76595175170711e-06,8.76132469549684e-07,3.71170111106956e-05,8.04222736099528e-07,1.12599829217779e-06,4.94801373170458e-06,6.64488622071054e-06,3.81381996979963e-06,6.20307222257861e-05,3.65479515281534e-07,3.21419674997087e-05,7.93738876456269e-06,1.37355787712416e-07,1.73768438202399e-05,6.05442595829262e-06,0.00265689392709979,5.05827053158319e-06,2.43535633325556e-06,1.15108830759885e-06,8.00530587234539e-06,2.87567368863737e-05,6.36774569749055e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38643856827327e-07,0.000120834429787054,4.1884125844545e-06,3.9414963354129e-06,2.56950271259765e-05,8.1629572612936e-07,3.34947916400494e-06,3.44212795254522e-07,3.46261696136971e-05,6.61015030191693e-05,5.57702342439919e-06,2.66734465871259e-05,9.90160176150475e-06,9.3129450023304e-07,3.93272530743811e-06,0.000100384873664509,4.36731380004843e-05,2.08537286921259e-06,-1762.73767555508,0
1,0.269535998436024,0.164778589038642,0.803017604124721,9.7,1.53191778194288,0.457872486587292,0.24666380910375,0.000313483021179492,1,0.783432745897144,0.928214206560968,0.593745530576231,0.937587999941217,0.915900138942311,0.954424789827204,0.849820243523542,0.965860292923101,0.988375313670749,0.95177734919969,0.950962929209491,0.907712978369207,0.965336973200277,0.996033206956938,0.843798372719122,0.961701600149324,0.979487252310858,0.961463746890294,0.974330416396532,0.988481925112001,0.910161565109791,6.31083781784292e-07,0.000463472717181364,5.29395874260097e-07,4.06623156806589e-06,4.04759391673388e-05,3.24801093349578e-06,1.06985840199254e-06,0.000286083983270096,2.27555668941782e-05,2.96826375976452e-06,7.20501282233835e-07,0.0180992624019038,8.35010996650656e-05,3.44726432057119e-06,4.99574113967721e-06,5.03939295141116e-07,2.03139061088784e-06,2.08170976303801e-05,2.7407041605305e-07,1.7661561511817e-06,8.29011982591235e-05,1.39714086122973e-05,1.86508332248634e-05,2.65294703731469e-06,2.49501603700808e-07,1.23904732010803e-05,6.71787733047719e-06,6.56747907417133e-05,3.35975184237633e-06,6.86911722578845e-06,8.13410826818529e-06,3.15939943969552e-06,1.51323210813273e-06,4.75890148792635e-07,6.43617492838064e-05,2.75638002807889e-06,4.49522954668589e-07,5.13520487350443e-07,2.18503236236447e-06,2.24447247785034e-05,2.82360617582138e-05,4.29672930793145e-06,4.85091366543522e-05,0.000153296125228847,5.06569949886874e-06,4.76176182226837e-06,0.00015494101747524,0.000396230494728345,2.91915265238034e-05,1.88025656764684e-05,6.062424060367e-06,6.47140970077745e-06,3.82614991406937e-05,9.44316760041015e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9765366237643e-07,8.02907815341846e-07,8.26847131286128e-07,5.12176582188579e-05,2.81877138148583e-05,1.8507692691582e-07,1.13618173240103e-06,6.51377451977658e-07,3.67710662206991e-05,0.000182989529420844,7.05388795059646e-05,9.21733802978083e-05,8.95767437542191e-08,1.57980657811304e-06,9.61452879431234e-06,0.000119675256481536,1.68194912429567e-05,2.18069621727611e-06,-1762.96766767936,0
1,0.309411770312203,0.148321462584977,0.814540751341497,9.7,1.85279300084265,0.456772543377611,0.245386182961955,0.000396994240374554,1,0.675722720785116,0.977663838595342,0.579895561873871,0.978982898626303,0.974837466377117,0.948909776322723,0.90105342782713,0.972219346867593,0.989565648128123,0.957462118742927,0.961203773329954,0.980216999967692,0.931932905354351,0.63625449736999,0.91813083493159,0.95538997142592,0.989084641547179,0.990205162156273,0.967030380874905,0.945931652514011,0.925078159251673,7.70385143653698e-07,0.000376100427959693,1.29730646529119e-06,9.64502116308219e-06,4.29522204774734e-05,8.41117416239516e-07,7.95119521628594e-07,0.00012061102831123,1.11905794088541e-06,2.2804040329174e-06,3.88269058398477e-05,0.0115388022205144,6.8308538354255e-05,2.71967270296316e-06,7.46248936350044e-06,2.08649565912462e-06,2.53827116289768e-06,1.89814517542977e-05,2.5645235654818e-08,2.85030631497762e-06,3.77434678568601e-05,2.86983945651844e-05,2.76723504610789e-05,4.98331432905524e-07,2.53811175159221e-07,1.00744831617601e-05,5.73679661122827e-07,4.39693305789559e-05,1.52916564844361e-06,6.8416866492703e-05,2.87930485218139e-07,2.4086427013287e-06,1.76312157753973e-06,2.47028544176586e-07,4.18431400032406e-05,1.5160174771024e-06,3.55812482453328e-06,1.56238746894883e-06,5.16371218925248e-06,5.08595133274347e-06,2.07563873000222e-05,2.51094355667473e-05,3.78266358154183e-06,6.01605157292442e-06,2.33205836920493e-05,9.0990969993576e-05,1.93666118685718e-06,0.0006787483551652,2.22717954790829e-06,1.57691185313531e-05,5.84768624390943e-06,2.7042225567671e-06,3.29480282638644e-05,8.08605567571136e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92695211739135e-08,4.47130785460738e-07,1.1266364543086e-06,3.7132043975222e-06,1.28913944107318e-06,1.20045188102226e-06,1.12330680430627e-06,3.41992283720442e-07,4.62698698854791e-05,9.56038783090443e-05,1.41717698558486e-06,1.36024044972346e-05,9.06027447343688e-07,1.79696005891485e-06,4.43890792811472e-06,7.48608919977639e-05,1.13090247630841e-05,5.47463380706544e-07,-1763.90788814348,0
1,0.308487975392072,0.163227698552746,0.749351597569119,9.7,1.68582260884053,0.452682459283108,0.244266375239693,0.000319795501680755,1,0.498449345049032,0.951301109820557,0.593377324415257,0.996198871336323,0.973623504497969,0.85874257897437,0.628223833379515,0.944318679262854,0.99058929094826,0.974333750674123,0.983182914968758,0.953488558396647,0.975335673087357,0.995679757944138,0.969456831848482,0.993016441783834,0.964732812229285,0.97381918222848,0.951816258647557,0.991084846103662,0.983958983242627,8.5922813948308e-07,0.000315206812879301,5.3774497187926e-07,1.24141283371701e-06,7.59039281752328e-05,2.06360718052628e-06,1.42698794832206e-06,9.31785651582742e-05,1.56092062974532e-05,4.51349054002463e-06,1.01912066743287e-06,0.0170357244516833,1.58352470477611e-06,1.06675824503499e-06,1.09288734318039e-06,7.45023022610814e-06,2.43257994849771e-05,2.11650555501069e-05,5.16233977301554e-08,1.29510234458648e-05,3.08399706393604e-05,7.60582592170174e-07,1.38768687844259e-05,3.16805623331919e-06,1.23610995700786e-07,8.36967044408227e-06,6.18248617769104e-06,9.09523340783922e-05,1.96704172109313e-05,2.73179957177991e-05,1.66690787816288e-06,1.19600573159858e-06,3.32134691241614e-06,9.60102631708815e-07,1.97599677653442e-05,1.68846725138739e-06,2.04477743407533e-07,1.49463200789186e-06,1.12201296133542e-05,4.27397266391746e-07,0.000260199621636883,4.71443747764609e-06,5.64008969642791e-06,2.23657342083332e-06,2.17750775389848e-05,5.64236958959365e-05,6.61481706530696e-06,0.000137628479143746,2.43276894536136e-06,2.40432517309198e-05,1.01293040139905e-05,4.26510113001495e-06,7.36930112980491e-06,1.46016296946412e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29528529197976e-07,4.64092050310447e-05,9.33735856387782e-07,3.60553080077417e-05,5.72314124819859e-07,1.18602839539082e-06,6.47878985108908e-07,1.62030000394653e-06,3.07263088691389e-05,3.61629079855347e-05,2.50118687196484e-06,0.000126133261756797,4.85599250142197e-05,1.22840940220999e-06,1.32609974624315e-06,1.66930213493044e-05,3.29572000967295e-05,6.13301990315713e-07,-1764.42666708052,0
