"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.312487070822442,0.154258178261314,0.738547453087864,9.7,1.78426164954543,0.449721630240288,0.262011821858092,0.000365574102226283,1,0.552083701927722,0.979475265702242,0.540042119821831,0.964801288387992,0.865661262960384,0.788961654354378,0.955460438552995,0.685615328694818,0.546774509019638,0.934531657101264,0.966468728816652,0.908576169215762,0.740356860057994,0.822192402638643,0.870748057658429,0.726779462405028,0.986133675503825,0.850825877412233,0.953442854523645,0.976663116595711,0.941969633528256,1.62663274902552e-07,0.000338166684742326,1.21625066208868e-06,9.13810284585457e-06,7.30835467625026e-05,1.32708939737833e-06,2.8339370296156e-06,9.07834460351885e-05,7.08328971779124e-07,1.34211251479564e-05,2.72132643320942e-06,0.0110961062432967,1.6445991255724e-06,1.31485365353794e-06,5.36671605660689e-06,1.39286337621356e-06,1.94525144394338e-06,1.00750584393324e-05,1.18853403101876e-07,1.5209690903524e-05,3.47944292550972e-05,3.27369438602716e-05,3.24110512956502e-06,3.17926444551885e-07,5.13003298577327e-08,8.09085194943151e-06,9.65942859156713e-07,7.00731564714359e-06,1.97217808707161e-06,3.53046245370007e-05,2.11643457197731e-05,1.70058283454281e-06,2.49656367802917e-06,4.35140738982786e-05,4.64427413191219e-05,5.78902657731688e-06,1.27060275956891e-05,3.38107175656568e-07,1.04927278991655e-06,3.19229681624768e-07,3.95535223842105e-05,1.15766641925375e-06,4.32460625590195e-06,6.47860622599181e-06,3.22159769595066e-05,9.66790785083893e-06,9.4535649779585e-06,0.000283945880732857,4.22851945723839e-07,3.27586452745651e-05,2.61632158478834e-07,9.65659003852304e-06,2.40293701997604e-05,5.15292173285607e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14416437801715e-06,7.89162502178735e-07,1.77704794718939e-07,1.18844299643092e-06,1.42192196183274e-05,7.29811821628179e-06,2.33511651819629e-06,2.54756735631237e-06,5.09627253454276e-05,0.000129434603268625,4.12724731052683e-05,6.88919423139428e-05,1.6645446214128e-06,1.61743714854498e-06,7.37024879188209e-06,2.60252420698785e-05,2.6653356223157e-06,4.55011401691742e-06,-1748.48493932398,0
1,0.293799606687688,0.182180944571762,0.785767702133446,9.7,1.78046694775825,0.444993779940035,0.250758786769124,0.000372101661700477,1,0.539626994422937,0.969491942101401,0.524495304783784,0.907795118136785,0.912999998111648,0.961998216639038,0.640853947518985,0.959297775056452,0.961788501517662,0.980181518621791,0.996998336144348,0.958690743125623,0.905967653313064,0.719369434170942,0.952753465446438,0.997815157676208,0.974155587371018,0.972663240181256,0.712448598204314,0.993275113458042,0.931536115671047,1.3884855024044e-07,0.000329010901800864,2.23755947358792e-06,3.13327570824996e-05,4.80554963878693e-06,5.3111661444693e-06,2.44342386152713e-06,0.000101908957864588,7.41588864262475e-06,1.40783034395636e-05,2.47052662499638e-07,0.0117925723632972,5.38510715030712e-06,3.15967054805381e-06,9.90147768481935e-06,1.80338787311148e-06,9.7712402104818e-07,3.33523697994454e-06,8.7138160743938e-08,2.6621879024282e-06,3.310162098131e-05,3.62475189532774e-06,3.3009581591359e-05,3.12830629749763e-06,1.46808399173709e-07,1.18604824656388e-05,6.82291310943219e-07,2.08839714779993e-05,1.17396364664405e-05,3.98346085811467e-05,2.69723226845197e-05,1.82687027357668e-06,1.23179124563028e-06,2.08845869068822e-05,3.13232729834968e-05,4.62024581798787e-06,3.15556533676623e-06,4.68970185338973e-07,2.28643032301869e-06,7.55804425849752e-06,1.69597263269623e-05,1.66715787032276e-05,1.02205765169906e-06,9.19979247679868e-07,3.68503007782287e-07,4.19830053803967e-05,2.20524585716318e-05,4.73653254259259e-05,1.94956208784615e-06,3.67082998986869e-06,4.94732312040563e-06,2.90353275942983e-06,1.33306462694766e-05,1.58980854394694e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62110893817758e-07,3.96899922354154e-05,9.8513356634715e-07,5.21872990397488e-06,1.18262868716319e-05,6.29649301233007e-08,3.42950712822094e-07,6.84641743052077e-08,4.6740807163729e-05,0.000122467157457905,1.90375968769477e-05,2.46948940200009e-05,2.46726814280976e-06,6.2288341134036e-07,2.17497178682748e-06,2.14975767360104e-05,3.39519162034148e-05,1.12165692509732e-05,-1752.82209844595,0
1,0.245662628466225,0.140612037115429,0.734091309350167,9.7,1.89406859713433,0.477932595681051,0.269165839055651,0.00031252860727593,1,0.55271748468933,0.970904758968046,0.584474117639562,0.98717301608444,0.976025166944201,0.791431056308187,0.830487764970144,0.995942439200848,0.999130004403107,0.879055967267446,0.981911561603126,0.962599953786168,0.795578041869983,0.998937931731798,0.97726382076234,0.923802880262326,0.992707457479531,0.965977096530778,0.990105296204392,0.941013958977656,0.988753809119102,2.48825155870207e-07,4.38906570096926e-05,2.04036786626036e-06,4.54980707483258e-06,4.27251871923918e-05,3.37372749026281e-06,9.71941217552286e-07,0.000133952525375528,1.94652485853852e-06,3.52540472396958e-07,1.99749118167813e-06,0.0164329528012904,5.67108408473029e-06,4.55876576450349e-07,1.56640658023769e-05,3.12515011176081e-06,7.85245790537994e-06,4.70721891966884e-06,5.91283562941508e-07,8.45651655048732e-05,4.02267511843143e-05,2.16976060692158e-05,3.75820470512214e-05,8.99686106927535e-06,1.45622786261706e-07,1.48850551228242e-05,7.05130207543473e-08,6.13249832570765e-05,2.95971442631969e-05,9.98532559979445e-07,3.08897836839382e-05,2.54450336783866e-06,2.27270884998665e-06,2.76339276099734e-07,1.81997432155449e-05,1.92070503094172e-06,3.18252135177852e-06,6.05346057082922e-06,1.22506405839528e-05,4.61377987381397e-07,4.55834642596653e-05,1.03535776814781e-05,4.21696330671696e-06,9.90231669113778e-05,4.33134056431327e-06,8.03614233412426e-05,1.56462733278972e-06,0.000701958823679612,4.77749313283822e-06,5.61530611727143e-06,2.18580062934641e-05,1.90796111936234e-06,1.97976116273607e-05,8.5672068815335e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0768130619127e-07,1.11637731431179e-05,2.30529296738839e-06,5.89127405825747e-06,2.07848842220322e-05,5.4004272449104e-08,3.70638800175468e-07,1.51719426813701e-07,5.85954690122758e-05,4.92196304796108e-05,2.0776163507557e-06,1.69393303325654e-05,1.85794682728321e-06,1.95183220044042e-06,7.97028453506058e-07,7.5140044869163e-05,4.96101276230496e-05,1.81628123023754e-05,-1753.22197189138,0
1,0.318472973745022,0.151398665905803,0.824940452743992,9.7,1.57254127755524,0.479256360473912,0.274362333404389,0.000215557332055985,1,0.876125872849704,0.981282367007428,0.580131077409547,0.992637659657809,0.977330523105193,0.771948670901185,0.89054795977585,0.98773701888501,0.976160551737556,0.833917148262359,0.574028229664632,0.994629436674897,0.972387373071093,0.861238475505303,0.934299894081519,0.454994946377861,0.846910001720876,0.947443465257302,0.566219162957902,0.948179833452509,0.945771541150518,6.15759692208087e-07,0.00015559990341569,2.32889427531784e-05,3.72017495003498e-05,2.34765246403023e-06,9.61244604367359e-07,1.19239127056276e-06,6.36525817900706e-05,9.64128565327847e-06,1.78088752028532e-05,5.21123177873783e-08,0.0172073041874262,2.45762372068391e-05,8.27490380784759e-07,1.19916739207935e-05,1.56854963596285e-05,5.54089331268429e-06,2.42485229569872e-05,1.04836638591919e-07,1.68812830740989e-05,1.22361928163836e-05,3.10769679355857e-05,7.4986626711524e-05,2.85876228161333e-06,3.56917581397606e-07,1.19160325751681e-05,3.32639115286205e-07,1.90585822375863e-05,5.23089302664227e-05,0.000100677017533656,7.49508781017078e-07,2.00454088670064e-06,3.11821796249135e-06,2.53254559349236e-07,5.71257310061066e-05,3.78395298596347e-06,5.26092910810887e-05,1.55381675206898e-06,3.77842763745056e-06,7.73700517265381e-06,2.08222254122247e-05,2.64192306493252e-06,3.43908376164331e-07,4.20113983865315e-06,4.42326448868651e-06,1.73727464119896e-05,1.40348836023116e-05,0.000185847406826181,1.38981997328367e-07,2.65464353809591e-05,2.01110960844811e-06,5.55866114005843e-07,1.57559958542874e-06,7.08443493583951e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4594545077211e-06,8.19206750818451e-05,4.56509589298124e-06,2.91844912077115e-07,1.20011900481351e-05,9.17756957722859e-08,4.69573139893837e-07,2.31025783367788e-06,4.29889926326618e-05,0.000202031342576066,1.91421779848253e-06,4.88463442826633e-05,3.60372654677949e-07,1.81473010294476e-06,4.6069842984594e-06,1.91082910172253e-05,4.51724423716831e-06,3.08964645763864e-06,-1753.59703451561,0
1,0.27549233268212,0.15232331238178,0.765866046477724,9.7,1.85174648943836,0.456497151289435,0.247968800344928,0.000391467402462592,1,0.849575219264441,0.987641520610403,0.54389522988419,0.930830605783603,0.993371711998481,0.566998170732115,0.938212070994595,0.982037319235891,0.991746921511279,0.940180314410734,0.805395791031377,0.899316632817577,0.786866119837432,0.991147966688411,0.915114710750613,0.990482912951252,0.992982531602153,0.998662818292589,0.779096691444264,0.867981202527326,0.929980262576102,1.37555886740685e-06,0.00037540315325417,1.70193043807787e-06,1.75336524394664e-06,6.19033402515041e-05,3.43225380411472e-06,4.48639008555915e-06,0.000216919624952483,3.0289082323673e-06,2.18942121888846e-06,1.68128603136427e-06,0.012463762715961,3.66504078327621e-05,1.45465154174702e-06,5.65343114214591e-07,3.27556942646313e-08,5.72355400658504e-06,4.43601837010473e-06,7.07786843130642e-08,4.78424362059218e-07,2.81480977565272e-05,4.36226044734671e-05,3.48922611628291e-05,5.68163427641864e-06,1.36565960381957e-07,7.32670161129463e-06,8.87548564478663e-07,6.19245322463221e-05,3.1785191649339e-05,0.000119160900674023,2.33520387639531e-05,1.31117827602892e-06,5.89840351497839e-06,1.50008721738816e-07,3.07075217592541e-05,7.95709288400763e-06,3.03153060632278e-06,5.06694984969723e-07,3.79217375073152e-06,3.88425948655561e-06,8.00108336921146e-06,1.87034644457042e-05,9.1425998992181e-06,0.000179901831311106,1.84902735100982e-05,2.4686147000102e-05,1.71191098141413e-05,0.000658893026069752,6.32413519142635e-07,3.52048430277592e-06,5.22140257454007e-06,5.57820514671977e-06,1.3405403236627e-06,4.68445316767848e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30838182109138e-06,1.53182885288865e-05,1.95745276414564e-06,8.33171684772319e-07,2.56655737824188e-06,9.55382614151275e-08,9.9939028697413e-07,1.2747302887815e-06,4.18281791313565e-05,6.92979203444972e-05,5.63307993228154e-06,0.000104876855484327,8.55642199739521e-07,2.57280646461301e-06,4.15345856961706e-06,6.3288718692018e-05,3.18325100241556e-05,8.35660047731353e-06,-1753.72234918479,0
1,0.321879943185166,0.146875308863624,0.733974553428976,9.7,1.65976732936445,0.456399713302927,0.274952092705025,0.000320477828872354,1,1.19554553180739,0.936172354973842,0.539458416905017,0.996803506989315,0.778644429459407,0.969929936163852,0.995660104352745,0.977583464720902,0.997497071819829,0.992878235427193,0.982534627032844,0.853243749794495,0.957794491239058,0.992889688125519,0.731685058852937,0.819907789613346,0.984895946763052,0.904473110162269,0.453587167906532,0.943686990820938,0.984481927926086,1.19230290861329e-06,0.00038934184382289,7.17408315214876e-05,9.38570184511903e-05,3.69082974413481e-05,7.35221523577874e-07,8.29460402173738e-07,0.000120492699113116,6.89841626715817e-06,1.1053589524264e-06,2.60931040241492e-07,0.0114857591991161,4.39801879198652e-07,6.04454635503505e-07,2.39003924550958e-05,1.15742889441106e-06,4.03048331223553e-06,1.54837499534797e-05,3.86129258356678e-06,1.7055830083407e-05,4.7810966090851e-06,5.06114405626488e-06,6.33490458833801e-05,1.17705890098149e-07,8.11555101934186e-07,2.78419789241298e-05,9.10404862942641e-06,7.3317127108511e-05,4.95127463858206e-05,0.00035333148246589,4.00629863969924e-06,1.43402439707635e-06,2.63744603027747e-06,6.57368555403394e-07,6.53471492164688e-05,1.35981688878673e-05,1.22172427014741e-06,5.22356821200599e-06,6.32010978172563e-06,1.06722552600408e-05,1.53717573006359e-05,4.76786370809672e-06,2.57995460801526e-05,2.99968399779447e-06,8.8335138791885e-06,2.13802331096898e-05,1.10515702834449e-06,0.000249742135848627,3.32080203954524e-07,8.98684713700536e-06,1.21075175719383e-05,2.47259015786061e-06,4.27357524536127e-06,2.22745855445151e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44216076425939e-06,9.3229283991758e-06,3.32914975596759e-05,1.98633530878962e-06,1.93122458284727e-05,9.05644915636095e-06,2.815294191177e-07,1.24353488834482e-06,4.28683682169886e-05,0.00017564329332386,3.51425911039057e-05,1.90791796792988e-05,4.66037201235282e-05,9.25158410466392e-07,1.7599715149106e-06,4.84340479021781e-05,4.80275676687076e-05,5.55515174586679e-06,-1753.77885343548,0
1,0.288268534754463,0.172774732201674,0.749825876193698,9.7,1.90145168200526,0.446100844894192,0.278810315099367,0.000401569921707714,1,0.578819434898637,0.977116931056291,0.527245916780164,0.949487148967488,0.996173669217725,0.717775346442482,0.949760003155827,0.945425309995719,0.985355144830855,0.871970731242694,0.977876358415053,0.968859159680564,0.807536757894665,0.998893223044799,0.74921135710246,0.897322055575262,0.992113611966725,0.940753570941653,0.906260533847425,0.978602439187505,0.921243206539123,2.04328302657825e-07,0.000185070570094005,7.41973674086054e-07,2.54782188308242e-06,3.24392521698887e-05,3.82756960003732e-06,1.24190800337724e-06,0.00010887403305019,3.49097879373048e-06,3.33076546652698e-06,2.71585001906142e-07,0.00718871045069203,5.06065288628227e-05,8.68998305430036e-07,2.1614231478094e-05,1.94446810208967e-06,5.70344814338247e-06,1.02770754096141e-05,2.71149926137892e-07,1.59831840301497e-05,1.99965023204741e-05,2.98434896614691e-05,3.48416569787151e-05,2.34861058939976e-07,2.85290275678838e-07,7.15765864026527e-06,1.23182723752208e-06,6.4194872856928e-05,2.75065807613656e-05,0.000159042693413891,1.32179713439416e-06,3.79167516327453e-06,2.8124159408814e-06,5.27205533716457e-06,2.33338505454882e-05,2.30089364283838e-06,4.54442683794511e-07,8.98677055311362e-06,5.31382443809584e-07,7.2672628223e-07,1.14186605093287e-05,3.02522731672735e-06,8.21985826459154e-06,2.73247469189458e-05,5.15654389527223e-06,2.7642218633524e-05,6.16835992193544e-06,0.000210372393593411,7.56665697992662e-06,6.10617682669945e-06,7.69892141033431e-06,2.60652442774832e-05,2.82805211979208e-05,8.38286433986585e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67739933233697e-06,0.000132998977174294,2.5222033660142e-05,2.54740601372472e-07,6.89120387515426e-06,8.73516003498287e-06,1.07710987129311e-07,2.1895651516845e-07,4.64448521376176e-05,2.34251515030788e-05,6.95492283044619e-06,7.87089500200745e-05,7.34357107603236e-06,1.79869266027309e-06,7.06077232535386e-06,8.15615058215096e-05,3.11844896534131e-05,8.76197172679397e-06,-1754.09226574341,0
1,0.237302785064244,0.175258939603227,0.754023533228017,9.7,1.70410487714631,0.468927478518644,0.263679175891896,0.000317337122680103,1,0.835627739083922,0.965839031192223,0.575470722036333,0.984136379948275,0.952514408172444,0.701939531685188,0.993328619510975,0.978612174608384,0.909985756517064,0.98415152989047,0.994851215254599,0.993347614445418,0.789362718079197,0.994734308905609,0.830987006156233,0.962730086285392,0.986538995688985,0.960565357544504,0.0567041961594432,0.982715005654083,0.985635199322554,3.50846514562061e-07,0.000368951579128458,4.4765319891755e-06,2.08558847773635e-06,2.22859647606214e-05,1.03745197280391e-05,1.82783434804227e-06,0.000111601599693599,4.6706962682975e-06,8.56425412166949e-06,1.73122877984787e-06,0.0143201748352601,7.36355996213024e-05,3.95907911369974e-07,5.06247712381054e-06,3.52100551948001e-06,9.75874719734537e-07,2.64867575309106e-06,8.74361457492639e-08,8.0266972216428e-07,4.66835001833569e-05,6.21599144431556e-05,7.49971019103904e-05,4.69235379155489e-07,1.80670185101554e-07,2.3894579425319e-05,1.14336549266703e-05,3.67617832806693e-05,4.56720547954727e-05,0.000109250399824569,7.03051638087055e-07,4.6757010745068e-06,2.31236057940565e-07,4.92407313170872e-07,7.01467618885488e-05,6.56081779081487e-06,4.78482997859185e-06,6.12737681998337e-07,4.25336467966536e-06,5.63153462112684e-06,1.61176633545843e-05,2.10929430125684e-07,1.10328869270501e-06,6.08028343411574e-06,3.27899554498442e-06,1.49807416251454e-05,2.72178553614657e-06,0.000127295393613859,4.0814423820964e-05,1.12535168279025e-06,1.87763581403664e-06,1.69509037901804e-07,3.1419745558415e-06,1.65759071648511e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84960605034169e-07,1.61469645735936e-05,1.95934156469169e-06,4.97687931042125e-07,1.33543079788334e-06,9.675216119493e-08,1.69284928086821e-07,1.98043267704101e-07,4.72359319824504e-05,0.000140100419236,3.26149361137523e-06,4.64376796532634e-05,3.71296834109104e-07,2.1478905564719e-06,9.33734967138553e-06,3.21386394170727e-06,1.07647798416115e-05,1.69701372780128e-05,-1755.10932979202,0
1,0.309279374888443,0.176452089957698,0.761287683032813,9.7,1.50272218813499,0.472906781380756,0.272466974203584,0.000205069201639619,1,1.16678870596017,0.938392545110128,0.565904783732936,0.979821564262679,0.999839037064263,0.995435747802523,0.770332704466287,0.760320326012764,0.998640377360305,0.993285370025788,0.931169972193063,0.870742046105361,0.965840962618535,0.879936246242013,0.704718889383907,0.931695376658089,0.981235075422303,0.980579068379078,0.884552170564727,0.964348249467547,0.868888351188215,4.91205728123394e-06,0.000605769188896351,2.69983380657964e-05,4.47466274173329e-06,4.79043738760746e-05,2.05236383311422e-05,2.38414976152021e-06,0.00033584153867371,5.71787068155665e-05,1.96483128960087e-05,2.50944590877362e-07,0.0129235708044393,9.56796609112922e-05,2.14330305554659e-06,2.69256365966669e-05,2.23684583146259e-05,7.1847967451923e-05,2.57027026387637e-06,9.19130842475742e-07,2.48546517916882e-05,8.18828044642207e-05,8.61992940357229e-05,6.6756447498074e-05,6.4292493151146e-07,8.30296561716667e-08,3.14161037329178e-06,1.7838897795393e-07,9.30229135858825e-05,9.52520588653024e-05,7.90573915255568e-05,1.28013211551795e-07,1.17209623154698e-06,1.9577438011529e-06,0.000131038821603327,4.53553438774794e-05,9.11397015482791e-07,1.47824162564874e-06,4.4980841522269e-05,6.90815453346185e-06,7.77718928151637e-07,1.16445838371125e-05,1.44134442533238e-06,1.22207170241368e-06,4.68933931826972e-06,0.000126934420645537,0.000271109423965216,5.87364032370354e-06,3.04898621495166e-05,3.84500463690366e-07,3.972107698814e-06,9.26690205902241e-07,9.24924216115214e-07,1.95457840339114e-05,2.16531362193793e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51749586258263e-08,1.20867047190985e-05,1.45313720981379e-05,1.91642580873071e-06,4.49612226233632e-06,5.21776900167795e-07,4.07516155223143e-07,6.97140478206569e-06,2.84069685593212e-05,0.000183945856390157,1.88862908379849e-07,3.59510883160049e-05,1.22769108462472e-06,2.73846293476011e-06,1.57493824980543e-06,2.4452583950688e-06,3.79037302954697e-05,2.54359858869181e-05,-1755.22721803515,0
1,0.244575926914615,0.158105971025067,0.773940304637369,9.7,1.8176143866127,0.457634108192496,0.245899930600854,0.000336841474258157,1,1.17281043298827,0.990589214567671,0.560194643844459,0.982563472048639,0.855406711358054,0.967411718154745,0.961839989262957,0.999225312212852,0.859667529317274,0.93585519712403,0.652623662711905,0.76692304039375,0.923039049684567,0.983624732294173,0.91762445008403,0.753905373320986,0.994696617539868,0.961924096899877,0.374226969721375,0.971001159974103,0.988671081638059,1.57069670093118e-06,0.000175493453546983,3.45935605316744e-06,2.10535367104686e-06,5.52588325133582e-05,1.42187600208066e-06,3.51044355764485e-07,8.37594575949921e-05,8.59022117997288e-06,9.30709210014693e-06,7.17190994651518e-07,0.0163127793190177,1.11953071809901e-06,3.55204933189565e-06,2.10783389715042e-06,4.73492914511481e-07,4.13710666259098e-07,1.88857125722632e-05,1.20713961761578e-07,1.01373454886351e-05,5.29496036954469e-05,1.30547542030419e-05,2.73604664659598e-05,8.81582775130844e-06,2.18389965076255e-07,1.58510659425608e-05,3.9731048475645e-07,0.000198003676237965,8.27772261429213e-06,1.37939692037882e-05,5.68806177484927e-07,1.21519619207591e-06,1.23949568092034e-05,6.18803567326461e-06,7.40305428167279e-05,3.29690116938898e-06,1.61517139168194e-06,8.39126447391622e-06,2.22714745420821e-07,7.97160209085371e-07,6.98964319524277e-05,3.00835787231251e-07,1.5932051432842e-05,2.42710856800868e-06,7.25217593834654e-07,2.35682871114902e-06,1.56665769220348e-05,8.97828415789435e-05,1.38815245333524e-06,4.66661143806293e-06,6.20920148267569e-06,2.20432287535551e-06,9.80376031207431e-06,6.22982092028023e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26070708849814e-07,2.58492554709322e-06,6.64517676923548e-06,3.95859350138359e-05,7.52471316349517e-06,6.29396730455004e-07,4.24821228354155e-08,3.81641270338167e-07,4.06872344972587e-05,1.21331538459441e-05,4.52766057596611e-05,9.01598677093004e-05,4.48176488740451e-05,2.17756545608964e-06,1.56651866359699e-06,2.04048460285619e-05,1.56269886867998e-05,6.97599265769043e-06,-1755.51015393777,0
