"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.31160012333545,0.163549828631173,0.778493990270596,9.7,1.82290844489717,0.445122180886503,0.277508502215129,0.000390612277739639,1,0.601234220921921,0.96600064767525,0.541832191502821,0.9673767202535,0.813341102229679,0.280446431243227,0.989867229411437,0.994047457755997,0.833954595593995,0.89615402625186,0.988669035504592,0.747591903516342,0.984915771942894,0.993077769103686,0.430177325414985,0.972858951151336,0.992762308621818,0.871197706871716,0.887982265285399,0.988585244016725,0.982291082004912,8.58402588532821e-06,0.000298150946511878,3.12572139926312e-07,7.44150561766364e-07,8.11998522205853e-05,7.84179825322947e-06,5.40146325996723e-06,9.96784206708766e-05,1.21482135723344e-06,8.84392523134319e-08,5.07957051916839e-06,0.00434178463761539,6.0064894124449e-05,3.07968163984095e-06,5.52054282663527e-06,0.000132693285874445,3.55024681678862e-06,1.07625068392489e-06,8.25065590974149e-09,2.22468060029842e-06,1.43977841114182e-05,4.17900219639194e-05,2.3765738315876e-05,7.62038436170194e-07,2.33552250555754e-07,8.85439768377127e-06,8.42036075955937e-07,5.5884709439979e-05,3.2723483278719e-05,1.64684060913286e-05,4.34314064854569e-07,1.9309077451283e-06,1.18210882877339e-06,4.29223287794232e-07,2.99623318061275e-06,1.39778918802949e-06,2.48849596716595e-06,5.70862547734099e-06,9.21940940990614e-06,6.67032774595032e-06,8.27873816573401e-05,3.42039264034363e-06,1.15684607819932e-06,1.37574393314289e-07,4.71849677162192e-06,2.95512402422433e-05,1.47270880836277e-05,4.1614694463391e-05,2.32893407363259e-06,3.90306050654427e-06,5.70975675381955e-06,4.67680445630499e-07,8.46174649637876e-06,1.44293594175436e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22563188650857e-07,4.93089768068564e-05,5.95609315871455e-07,1.82914924697275e-07,6.3372730283981e-06,8.96465209148856e-06,4.34748925777155e-07,4.54367706951853e-06,3.93377602379402e-05,0.000103139548636307,3.28297248725594e-06,6.41856022763428e-05,1.13858668458259e-05,9.66911839536894e-07,1.77081098292832e-05,3.51731199419702e-07,8.68512221432463e-05,1.39596780185155e-06,-1742.15970715395,0
1,0.274209657036463,0.143336473948112,0.701078235915443,9.7,1.70737803535123,0.456369732938391,0.254018629231483,0.0003434027899439,1,0.845755893501171,0.983669300502262,0.561919932836103,0.912491088819929,0.772755469139013,0.784164778810423,0.980621271124892,0.995177643075314,0.886183626173484,0.940198184016869,0.994914958309554,0.845436184126556,0.737015361569815,0.997143014908152,0.787980719599304,0.779613773255669,0.972188861264106,0.999790171726268,0.986983665370137,0.978875312850843,0.982587334047881,4.48416095578746e-07,0.000323726113753458,3.28327011774894e-05,3.22529698106564e-07,5.4462839244065e-05,8.33888616033008e-06,2.02180593316419e-07,0.00011009230226588,3.69269078458773e-06,1.95928287429762e-06,6.3924560153846e-08,0.0147529883629621,4.99290981955366e-07,8.63031888846536e-07,4.44943814954901e-06,4.27298875588895e-07,2.45580293534342e-06,2.99252574152105e-06,2.28115396275978e-08,8.30019527732996e-07,4.62499672222141e-05,6.50112066350711e-07,7.25975791447433e-05,1.26641648221919e-07,2.28888441724741e-07,2.25715662841692e-05,2.85182804385091e-06,0.000101596021304314,9.64730116626301e-07,4.12549177842183e-05,4.62741365742964e-05,4.99852693618758e-07,9.43524882055477e-06,4.93122517035674e-05,4.9766426197195e-05,7.21009112220634e-07,2.10942968601811e-06,2.77982297067886e-06,9.26182986538437e-06,1.29985383722003e-06,6.01576291379011e-06,1.48610927981095e-05,3.12847828738392e-07,1.12662046896093e-05,5.71511390179662e-06,6.79680578377703e-06,2.74542145878605e-05,0.0016426237860306,0.000144446948446502,3.80083661866987e-06,4.41994178481448e-06,1.18487163469249e-05,4.63043845073614e-05,8.98249253727037e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13995907720338e-07,1.80179820571334e-05,1.35993484444674e-05,7.14014235919675e-05,5.78372093428326e-06,5.18240049069387e-06,1.39400446184472e-06,1.76310198224501e-06,5.27452983437473e-05,5.36055858853585e-05,6.49149617663333e-05,0.000295496389211061,7.20989807660449e-07,3.72377051074097e-06,2.09837050953113e-06,4.98619051154141e-05,4.33258501248682e-05,3.56317288385211e-07,-1742.17615759574,0
1,0.285127635092349,0.165862022059211,0.742375771908263,9.7,1.55542373383672,0.467576553609595,0.280254839250387,0.000275848530445613,1,0.721378995177468,0.94884932239168,0.538058643441347,0.986297586797112,0.937217449971671,0.958341148232028,0.991722343476426,0.980932961642956,0.968674188371711,0.98224870791777,0.986455974908731,0.8348501606649,0.955127823487514,0.999172113984446,0.892605804899695,0.907605001973422,0.992077379621053,0.866512437743474,0.10441132542332,0.954226964914879,0.875469971471444,6.44354141562027e-07,0.000191273071016783,4.84825410355914e-07,2.43016289623382e-06,3.79860398150875e-06,1.84422831161494e-05,8.45100292100496e-07,0.000179303357538059,9.22271544655061e-06,1.00814835678955e-05,1.99020427755685e-07,0.0147329491157918,1.79653598609748e-05,8.53958609303247e-07,1.14778483458757e-06,2.95357348039658e-06,1.29429925856391e-06,3.18422326746935e-06,7.67778299950524e-07,3.54713360401263e-07,8.7419634502388e-05,5.72473164772093e-05,4.8208586653077e-05,3.65791637941993e-07,2.10221563194342e-07,2.75200360653368e-05,2.94144360011291e-06,0.000153385223563756,5.38128899537035e-05,0.00022541067560279,3.98256928911597e-05,8.71646545620415e-07,1.21097615657381e-05,5.78859564596513e-06,2.99072299349072e-06,3.28605569456746e-06,7.76367495274856e-07,1.20854965948921e-07,2.15571895015563e-07,2.02568494909922e-06,2.03111473936281e-05,2.27526908316575e-05,9.45212228405538e-06,2.23016721904163e-05,4.67654374710283e-06,4.01262486665618e-06,1.09391289349487e-06,0.00119054215685286,2.87760462675133e-07,1.98345624454478e-06,1.11468710976626e-06,6.7799464096675e-07,1.48107139996266e-06,6.02620758856623e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70571738620813e-07,0.000304221521953739,7.93709597804201e-06,6.23385536992053e-06,7.36400143423048e-05,2.96915884931942e-08,4.29158361735408e-07,1.40891787994397e-06,5.51651077180807e-05,4.33885246862353e-05,2.99383572871604e-07,0.000305805915175875,9.34628006016891e-07,2.61133020453565e-06,6.4001174125078e-07,5.71321514524012e-06,0.000112123399293187,3.55401395161901e-07,-1743.38051693486,0
1,0.316634343155914,0.177360765648393,0.769101693884703,9.7,1.84129190658156,0.451322401330767,0.263282746689478,0.000320149207796541,1,0.823841300919812,0.97697176157455,0.510686450975836,0.97562749569128,0.959961167555245,0.987460979288049,0.969023306354843,0.795683091951948,0.997297999514812,0.920338568569838,0.987040136707092,0.894973325643753,0.793088341199026,0.977415818023283,0.849155048605792,0.965214459111659,0.999247396546903,0.994372729067118,0.721225284516793,0.680905215608564,0.991383518931107,1.72679444775164e-06,7.04008009558445e-06,1.0170032319366e-06,6.20412191091491e-06,2.54471420394143e-05,1.56459957542292e-05,8.77476663018062e-07,0.000114910914108183,1.05788146682435e-06,1.14398792209255e-05,3.36486732050933e-06,0.0094162473170253,1.56041647354334e-05,1.87977009321601e-07,3.20595684745746e-06,6.07366267842701e-06,6.74726783869733e-07,1.87013712738982e-06,1.13122807447402e-07,1.83940750817472e-06,3.53591761793786e-06,4.42612213934694e-05,6.64938302792787e-06,5.55868114506407e-07,1.2304499739713e-07,8.22551852751732e-06,4.76911466734674e-07,1.16674885939238e-05,4.32070129665103e-05,3.03666147087961e-05,1.15816290231644e-05,4.01189135387429e-07,7.85263959332535e-06,6.05960828675418e-06,5.70701892998985e-06,5.77439126016533e-07,2.5919004730565e-06,3.84501365823829e-07,1.54999072687018e-06,4.7418848312324e-06,1.7594381735086e-05,0.000110383103591466,6.22985008968794e-06,8.44574002667491e-06,2.32156289133061e-06,6.3892605094784e-05,9.82537557145789e-07,3.62597123866448e-05,1.87239912543885e-06,2.57853879882948e-05,3.83459472836266e-05,2.11618306941769e-05,2.10143948586765e-05,6.76190875869992e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15701942509734e-07,0.000282010809113123,6.25596162772675e-05,3.994887565434e-06,2.75466230054602e-05,4.25521732083527e-08,3.26880150271145e-07,4.62967983657032e-06,4.09544419722606e-05,0.000127213173006147,4.18470928012929e-06,4.76036302048315e-06,2.77962548324798e-05,1.89098505337267e-07,2.01363713258275e-06,1.26952451900954e-05,4.91963425445266e-05,1.67226813107444e-06,-1743.4216642096,0
1,0.303584019354126,0.142712041252394,0.741743396566608,9.7,1.88110413890336,0.458332038265584,0.277160490164579,0.0003758141419128,1,0.624941753796648,0.961505340938023,0.53439007289488,0.962698123825022,0.987315620102341,0.924599223603666,0.962410598069507,0.993681058601673,0.977472253537303,0.980355311062997,0.945911053138714,0.91979139827847,0.838576895992517,0.998155996541856,0.54954939635424,0.987187056134931,0.90756293894301,0.990806336142315,0.701539861744855,0.699213576021806,0.990980353549073,3.92510021436278e-07,2.61325615828105e-06,2.61032692098311e-06,2.72601747835583e-06,9.01027243580327e-05,9.93908009879507e-06,1.36882349206129e-07,0.000119464079325164,4.97680157113816e-06,3.6431568024659e-05,2.20248943058602e-06,0.00693678274477985,1.30654571528769e-05,1.32218296650762e-06,1.35080693734344e-05,1.4272160770158e-06,8.00956145606751e-06,1.86703550372338e-07,5.29825830253398e-07,6.93925685297836e-07,3.8949664272742e-05,2.97646866947004e-05,5.55965854854396e-06,8.74867124940405e-07,4.73990932939219e-08,1.17426632983538e-05,5.54281732273098e-06,5.91935740549051e-05,2.78002847377675e-05,7.68177877927587e-05,2.56954502805718e-05,4.51764996454487e-07,8.0816910487787e-07,1.45357783030058e-05,2.32008238172633e-05,6.88656467475295e-07,2.47643889311283e-06,8.46449784676524e-06,8.80114251938395e-06,6.56538045053676e-06,1.10084352986187e-05,2.55468566003241e-05,3.53880985885058e-07,1.07083861529119e-05,7.71879530179753e-06,5.11914730850256e-06,1.26234995208396e-07,0.000278975471954538,1.8736989229368e-06,2.92606195190027e-06,2.19190219313009e-06,1.09405118582842e-06,3.53757775219471e-06,6.96881747708243e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21942128277712e-07,0.000262149755987412,2.27769039170432e-06,1.18855692531542e-05,1.0108751764329e-05,5.20742883859243e-06,4.10507998706996e-07,1.1657129894361e-06,3.58971280170816e-05,4.22967074006895e-05,1.48516777352336e-05,6.68221259109094e-05,6.53896894737578e-07,4.4289224341142e-07,2.38944744841897e-06,3.48225866185402e-05,1.23383305426209e-05,1.01196702587785e-06,-1744.68667545008,0
1,0.301616439207086,0.155769057696624,0.754855375546012,9.7,1.61273160489691,0.487591952311767,0.271026872171507,0.000230235988523851,1,0.444492883052683,0.988573804969499,0.548078508170429,0.904453494458817,0.99239590833443,0.987475251329985,0.92568107979049,0.96772056813891,0.970035814096528,0.962138703095629,0.942650047545334,0.941980387202378,0.968466986612607,0.995063533570321,0.91603288499008,0.76835487682921,0.997698319341767,0.995548490381177,0.98556654708732,0.898784842018366,0.749098810737921,1.06262780637808e-07,0.00047247406958473,2.43290626697604e-06,1.16107623386141e-06,1.92224084553467e-05,6.32817291731736e-07,6.4655250940523e-06,9.55560193391044e-05,2.20230789994672e-06,4.15290505267309e-07,1.16657727229808e-06,0.014799770678706,1.45884251624985e-06,7.06160884603615e-07,1.20277881911361e-05,1.99645205417774e-07,7.33609600984077e-06,2.26118810509639e-06,1.08231441680819e-07,7.96156770990287e-06,1.94433002635894e-05,3.08194915340187e-05,4.00704708161814e-05,7.46458778104604e-06,1.21088357402243e-07,7.23117258956161e-06,1.7726486547303e-06,2.23408160122426e-05,6.84172325419155e-06,7.84824222632749e-06,1.95571321011409e-05,5.22611236969573e-07,1.20090277351498e-06,2.84339228792397e-07,9.31392225600153e-06,6.5135533237715e-07,2.0056890229033e-06,6.33185319278919e-06,3.78787660185853e-06,1.4826369972133e-06,5.96517223295024e-07,2.65261697808566e-06,1.00406021520757e-06,6.64961911953192e-06,3.77258137974106e-06,8.94094745426718e-05,5.81067631185215e-07,5.56303139704544e-05,1.06695015582988e-07,1.05668229714678e-06,1.1346566749483e-06,1.68171311398465e-06,3.05471614940227e-06,1.53996205559969e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14306367312256e-07,3.17159386071874e-05,4.25309656063957e-05,6.37253397757042e-06,4.89500371878288e-06,6.77909622773844e-07,1.57123882317768e-06,2.63607587716952e-06,5.01403745165629e-05,0.000181323190845644,5.3344950857283e-05,2.91859154123104e-05,1.44047925206333e-06,3.67049971545557e-06,4.58204856041609e-06,0.000125218969687066,7.58088443084028e-05,1.48654213519727e-06,-1744.9505623457,0
1,0.237642043513896,0.175549359520035,0.737954726252484,9.7,1.61554559222994,0.479123707349259,0.264060675717517,0.000278231427276904,1,1.10074676632743,0.967384146836,0.559969276680456,0.975102674716957,0.925529979154114,0.897325940365795,0.994002004240054,0.987963630276152,0.903630913267592,0.956044442514688,0.959886141326252,0.97394268689891,0.981709549889168,0.982011715895709,0.592762340426983,0.84677768463814,0.95124185729141,0.822444572939078,0.798529561262794,0.968384674645127,0.898861178657807,1.3544808946295e-06,0.000381885986671646,2.40253103668652e-06,8.48963401852744e-06,9.21269997173998e-05,3.62028768243929e-07,8.58812018493629e-07,0.000121516028049152,1.58429647721022e-05,1.36063943399105e-05,1.33026447233464e-07,0.0129373833668884,6.195916183563e-07,8.32368806041192e-07,2.96366983145937e-06,1.49118709655065e-08,8.60793016583549e-06,1.49470553692604e-06,2.648879391902e-07,1.13041057818352e-06,4.63899808760105e-05,1.1324343154329e-06,4.05298930329049e-05,1.3470025855899e-06,1.77646637174438e-07,3.51983413205086e-05,1.87126267277668e-07,9.88760383599071e-05,6.01435981352513e-05,4.17535726996425e-05,5.86916345066062e-05,1.12830788900978e-06,1.73667596836629e-06,5.1617144853028e-05,4.24961196175586e-05,4.24762431731786e-07,3.62062708693294e-06,1.29791120010505e-06,3.8343357280833e-05,3.36018344826407e-06,2.93243641323722e-05,1.19238444055297e-05,4.57950893312826e-06,6.79798566288023e-06,7.80766499290015e-06,2.73675781979836e-05,1.19884102869496e-05,0.000724869442238628,4.47059697377699e-06,1.3689796406234e-05,6.87705387859512e-06,3.01549629157985e-07,4.47403259065621e-06,3.47264763432079e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81239895956733e-08,1.23970911319072e-06,3.51766557159995e-06,6.44471582021605e-05,8.54427241729803e-06,5.48666421351701e-07,1.63777271102042e-06,6.50947195501692e-07,4.79745538752966e-05,0.00015303170772163,1.65721280586174e-06,2.68353756239607e-05,7.90905082058995e-07,8.85200875135632e-07,2.58453647012533e-06,2.08567317465434e-06,5.79810537146226e-05,2.78474016038972e-07,-1745.19043644017,0
1,0.315773130411611,0.161715453820643,0.756436029252812,9.7,1.57639795360495,0.446589222048569,0.259149910060593,0.000297319833119419,1,0.463734022895847,0.970429022766162,0.524655582449531,0.983424324100264,0.973420733602269,0.371581685658573,0.884645608954416,0.998351599515567,0.985714702542074,0.996126242885429,0.992424681023451,0.825301089973462,0.935436251197377,0.981828699737197,0.75857750794096,0.918716464669421,0.998604129097262,0.979523621805583,0.962081395571643,0.996810418099368,0.82177101074316,8.40780618643406e-07,0.000462715020386014,9.54328058883753e-07,1.82477000717412e-07,0.000116765627343573,9.46744077661611e-07,1.22047651140576e-06,0.000406218629202836,1.2203126670843e-05,3.61746152423115e-06,6.36702633342549e-07,0.0128744207643949,8.73303300223471e-05,8.81350956954609e-07,2.87673679170556e-06,3.06934014469655e-06,5.0272275766602e-07,4.48499634426728e-07,5.46002213775597e-07,1.75105700147949e-06,8.72450424660551e-06,3.54775270181657e-05,8.41538768598425e-06,6.57666065576358e-07,4.32011422425871e-07,2.18111426476535e-06,1.88950367752732e-05,2.03713661854669e-06,3.45243031829176e-05,0.000104693075443521,1.5541879404203e-06,5.91721128417899e-07,9.55501332807536e-06,1.82755275812059e-05,4.15202114153249e-05,4.44791467003627e-07,1.96632214403654e-07,6.01165626694163e-06,1.88793510126331e-06,9.11975556128198e-07,1.57850880993607e-05,6.93281770534389e-06,1.04674304977732e-06,1.22402611552893e-05,1.46526443157667e-05,1.69510415105041e-05,1.81026955098815e-06,0.000704594997904479,3.4107696862178e-06,9.53603082856879e-06,1.94718102289429e-06,1.96852063005439e-06,9.43384356646362e-05,8.30618362577182e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85822899425268e-06,1.50273970102663e-05,2.73168631174699e-05,3.80492644531883e-06,7.39700296281892e-06,9.52935525291385e-06,5.67623154030314e-07,2.75972598861945e-07,1.33278074535355e-05,0.000254505898710107,2.48908337215824e-06,0.000169324816347241,1.97381628464139e-07,3.21425910963961e-06,8.17046409322037e-07,7.26897840766203e-06,2.40961779939555e-05,1.8248710286833e-06,-1745.33062202862,0
1,0.322709493617539,0.143365148478896,0.773488335618172,9.7,1.80874308395871,0.460587991411998,0.253894319330125,0.000276422104534331,1,0.800228535852086,0.974470795210592,0.547819418720097,0.944516562142202,0.97629724789199,0.802612426064873,0.873909288575917,0.994386577824262,0.887108504667681,0.981748440294912,0.958936161857996,0.838634745417764,0.742085587971896,0.989124049385857,0.755324064626432,0.589423416765994,0.994042056890003,0.990630021183579,0.826165575519125,0.971159183822903,0.986210764420217,1.14422965650821e-06,0.000240647965777089,2.33368234065971e-06,4.58404700309179e-06,3.17635154876579e-05,8.01011789623277e-07,1.05977486136061e-07,0.000138964528095455,3.17538201524715e-05,2.45869448536061e-06,3.30444317845464e-07,0.0127100322668146,6.81120870912961e-07,4.33765330553298e-07,3.71242135168057e-06,3.5246967888016e-05,7.19705703832814e-05,3.06503413601883e-07,8.97399834561926e-08,9.16595288708618e-06,4.1585489887287e-05,2.15582618007252e-05,4.83168383432771e-05,4.77408252363304e-07,4.77377580699002e-08,1.00142682204884e-05,2.53700063027188e-06,7.81420330680713e-05,5.65205294946268e-06,3.23493036417904e-05,6.03653866344931e-07,1.96386532531463e-06,2.13863776076931e-06,8.56430898965463e-06,8.45226477984401e-06,1.02218184505951e-06,2.4902574356313e-07,1.97863512879436e-06,1.09795381187006e-05,3.36012321672468e-06,4.78367230247568e-05,3.61648923743331e-06,1.04847260287763e-05,8.56578233711485e-05,2.2272097549521e-06,7.61278991599365e-06,1.01077095133503e-06,0.000108375547153541,1.08668437488221e-06,3.03011552722858e-05,1.12591398479122e-06,1.95882512815768e-06,1.3434064077397e-05,3.08583652932468e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60915304573905e-08,5.01357228599794e-06,1.33900982056083e-05,2.7503988152851e-07,2.15117230936042e-06,3.45005246558513e-07,8.17476512881773e-07,1.17075883267256e-07,1.3039868215402e-05,4.28642699551241e-05,3.81978653824962e-06,3.39168659652233e-05,2.05154201895665e-05,1.94218144982897e-06,7.75105366156755e-06,1.0801929513375e-06,4.72225722274161e-07,9.88494896487423e-07,-1746.78516813011,0
1,0.298638861570211,0.169817491232702,0.732791747903927,9.7,1.84030453102321,0.464207025995756,0.269398116039948,0.000292507157564787,1,0.610577574079544,0.937570083978242,0.543438515223433,0.983230489800323,0.954396493033998,0.907729944555091,0.71972011053726,0.994367884415818,0.952595886369343,0.811352137493054,0.990415633451275,0.981645761756856,0.914319056287019,0.876550485480415,0.969348934545754,0.978770617047273,0.988945899827237,0.990464571036143,0.0969606035232687,0.799590606960257,0.996448832344444,6.93289926536123e-07,3.76154269994868e-05,1.25633780954088e-05,1.27277622365298e-06,5.71397551727467e-05,1.32345810232566e-06,3.27108439258116e-07,0.000112265935532686,2.40883320119694e-06,1.88557650466598e-05,5.38370994033246e-07,0.0133128958263144,5.08517382361817e-06,9.43917228095932e-07,1.22110894031138e-05,6.29878926064648e-07,4.98132056942735e-06,1.59728666427933e-06,1.28835214068151e-07,4.61011533224277e-07,2.15435423150832e-05,2.43034012732483e-05,1.35454341864347e-05,5.31122838665699e-07,1.76088938493043e-07,7.39419846532393e-06,3.16805081040905e-06,4.94783544707005e-05,3.98427384463275e-06,1.9936462306663e-05,2.33872019631157e-05,2.58830326663824e-06,9.0143800010309e-07,1.45059783010299e-06,3.30323098193168e-05,2.57375205799652e-07,2.44160911535635e-06,2.59940344341666e-06,4.49184376123778e-06,1.25034883686225e-06,7.3149624422221e-05,2.46685352884217e-06,2.12695803271354e-07,7.84404671737624e-06,8.95898930852594e-06,5.3174691002532e-07,5.87520561477394e-07,0.000307770826525298,9.23459078300449e-07,1.52602790492641e-05,8.16024765014691e-06,2.30937777489126e-07,4.62747445612859e-06,1.6767820245684e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00709930996197e-07,0.000246929488798102,1.54788565730801e-05,3.78742713726535e-06,8.76731220104599e-07,6.45848081167302e-08,1.40160524381766e-06,5.46758140504208e-08,4.16161900345097e-05,8.8977522516062e-05,3.30981109151341e-05,0.000137046182957788,4.90356636010091e-07,1.6957882574084e-06,1.63346327866822e-06,5.77585652061016e-06,9.39394121249863e-06,1.48903626731582e-06,-1746.84574616684,0
