"R0IN","alpha","gamma","sigma","psi","g","qua","quawh","qualow","rho","kappa","omega","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","loglik","loglik.se"
1.31578947368421,1,0.314289699929686,0.164347079911448,0.946133198984457,9.7,0.474312231498197,0.265402563694019,0.000203355654129237,1,0.860062484623729,0.935186954409262,0.950643146930662,0.981564158851202,0.952204978442974,0.967393806782501,0.985924277209321,0.965839537073123,0.952882782290039,0.968782619895936,0.93010083061769,0.870701874914348,0.9943706592603,0.82055287311434,0.976964142542565,0.958428484045143,0.968646895751245,0.964538792242802,0.975628533247679,1.42792090556564e-06,7.98459465875219e-06,2.85331869286206e-06,4.36302941024766e-06,6.21783996247857e-05,1.08604328930557e-06,5.94691678743047e-06,4.64638969757661e-05,8.8372389046009e-06,4.03324544728387e-06,8.6743315039675e-07,0.0283921829530281,2.66266215805865e-06,5.45105310493957e-06,9.23830650130681e-06,1.89730690379022e-06,6.34160526558226e-06,3.21338612007011e-07,1.74069147426024e-06,6.15833490662136e-06,7.37082290480356e-06,1.39585932442286e-05,2.40859672264405e-07,8.19608877931784e-07,7.10752701047393e-06,8.26320024620343e-07,5.4961114364844e-05,5.70218733812515e-06,0.000121598821101063,1.00117003107888e-06,8.84168434342841e-06,7.60479749924925e-06,2.20353148036467e-06,1.52820515872252e-05,1.24454825401079e-06,8.74337585770274e-07,2.29128319609507e-06,1.13019470120891e-06,1.93200859711521e-05,4.00514254923378e-06,2.66144766365301e-06,3.33327195607864e-06,6.71289138017021e-06,9.2647460889473e-06,6.95284583864305e-06,0.000246354579624088,2.5581133748107e-06,4.93077623996866e-06,3.15860325227977e-06,1.51205204257981e-06,4.29935313333488e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54352603091036e-07,1.45359219167137e-05,2.61179535787158e-06,2.48396413485583e-06,8.88742755031249e-06,4.99077008336162e-07,3.43793021024769e-06,9.53832100694834e-07,3.24844464668838e-05,8.25903552056829e-05,2.92224996669724e-06,3.69116305139692e-05,1.35038015228478e-06,2.3132255024759e-05,5.35628620820216e-06,1.85383274266964e-06,1.86298577078704e-05,-1687.39317126141,0
1.52631578947368,1,0.273523400385392,0.279000930912439,0.889963680732452,9.7,0.477442530645113,0.31854104002547,0.000105797828517469,1,0.799282318461842,0.952046160701513,0.952203211046677,0.964184137093936,0.90299686182949,0.964464064392659,0.964991720311223,0.976637137523437,0.957579239853741,0.970934585699913,0.942077129026874,0.899083910405188,0.991857209709499,0.795772819853355,0.97955355059116,0.992213711500945,0.987728735504094,0.914651466799234,0.991122046282734,2.73698384835099e-06,5.26544942754127e-06,4.02692018556075e-06,2.18294752766015e-06,4.93840908353001e-05,1.94392219958449e-06,6.89003677231198e-06,2.10695684796421e-05,6.62344822536618e-06,5.79380304793748e-06,2.0267675241469e-06,0.0207488980332652,2.74155025750075e-06,1.58891816417929e-06,7.76272507285613e-06,2.4752654076389e-06,1.91003651653308e-06,2.91405499952275e-07,2.51343705333348e-06,7.05720359075136e-06,7.04513671639253e-06,2.97186544487545e-05,9.09766748135675e-07,5.29226650149818e-07,4.2187361708384e-06,8.68981334978511e-07,0.000103571623059193,3.4367357118664e-06,0.000115146797542654,5.72015716828767e-07,4.78066480032756e-06,3.66964776397265e-06,1.70257097382696e-06,9.53870475923076e-06,4.89912992509031e-06,6.9757479389684e-07,7.25276049989131e-06,1.43579083975457e-06,1.14272803461131e-05,3.89106912328891e-06,5.98696908905836e-06,3.77964397366291e-06,3.38351590473899e-06,7.70287676116472e-06,6.5435707631503e-06,0.00043675872749895,2.14961669022416e-06,1.08823213982989e-05,3.98031965689553e-06,2.29562596469202e-06,6.18379476438212e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.07101076818646e-07,2.09275702722299e-06,4.60890807303452e-06,1.86965333095863e-06,1.1810223140179e-05,4.18279576760841e-07,2.08786557079133e-06,6.96316834875937e-07,2.50272838846953e-05,4.88712289474787e-05,1.85746561215254e-06,0.000111790900431091,5.96294707346534e-07,1.1719928269678e-05,7.91613745980103e-06,1.07538763668755e-06,1.20725969494308e-05,-1704.14736471709,0
1.63157894736842,1,0.336013744772727,0.0898703963352045,0.902863169861495,9.7,0.512428973337256,0.243808785312171,0.000288998188321453,1,0.744446888921941,0.948218463225444,0.951012140677061,0.976326249099839,0.931557548996206,0.957584275523522,0.989058310128489,0.973158779528128,0.96139770911841,0.958100444943691,0.960768059586588,0.893383152262559,0.984012533212555,0.900360260272843,0.959949760928264,0.97372879972777,0.985441542790249,0.926996232315717,0.97045801661883,1.73960808324615e-06,2.52863817376602e-05,1.9678694299224e-06,4.68082887005422e-06,2.03188412725085e-05,2.01170095721074e-06,5.09883451943701e-06,3.19191532847911e-05,7.40262422623833e-06,3.12850795446168e-06,1.39250596873886e-06,0.0320499495800284,3.86459516363496e-06,3.14576808287221e-06,8.0488470343557e-06,2.31269227786717e-06,7.39636712599351e-06,1.00077576863228e-06,3.98707343454802e-06,4.66318710708403e-06,5.1453802240606e-06,3.2033637200664e-05,3.76966806056911e-07,7.2968149543492e-07,4.65285396695329e-06,2.3567349917459e-06,3.20420362511884e-05,3.62519343798134e-06,7.6124803859425e-05,1.73283190421867e-06,5.35420397431322e-06,1.15314714668364e-06,1.81194343940599e-06,5.27961481932653e-06,2.13116206449119e-06,1.2186776426221e-06,7.25000435552562e-06,2.18850695609259e-06,1.88036861746887e-05,3.43557491323781e-06,5.81217288731228e-06,1.87324652605219e-06,3.36780711688803e-06,4.01549891422863e-06,6.35038421142964e-06,0.00034532154195692,3.16825797122576e-06,8.35090315854046e-06,2.84144577686124e-06,3.49794079437462e-06,8.00420723450584e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55831716254007e-07,8.23970835608944e-06,4.23290526598304e-06,4.22182174689169e-06,6.47858683042895e-06,3.61495541127736e-07,3.95681692689973e-06,3.14708674925868e-07,2.45028653397495e-05,5.39328564276272e-05,2.39307207836258e-06,0.00012586606761292,1.36637642223078e-06,1.5443388999018e-05,4.6977429750014e-06,2.87601809056296e-06,2.27798261638171e-05,-1706.42434155313,0
1.42105263157895,1,0.217862816483654,0.172725934955534,0.946614539138063,9.7,0.52967460340422,0.287070048419123,0.000154264851125894,1,0.672273206435351,0.991607294405742,0.951412483118097,0.966216912141548,0.898035663387735,0.972642610270953,0.972295865235185,0.97605764243372,0.967535342720232,0.971917148612244,0.943208324861797,0.893747925406906,0.99042000056245,0.805241704300664,0.980860638519532,0.994321878607598,0.987969796992464,0.920220016318949,0.993563608238901,2.36682662577182e-06,7.57009899689451e-06,3.87060614749131e-06,1.98412117335887e-06,4.44501205178254e-05,1.75118764195762e-06,6.924938505907e-06,2.55291266495712e-05,6.73544192619792e-06,7.33731892663647e-06,2.21311911706342e-06,0.0276400353675292,2.82141350347077e-06,2.66703651020783e-06,8.33796188041474e-06,1.8409098317781e-06,2.19487732194883e-06,3.28174718673575e-07,2.27645356121094e-06,7.80634482383314e-06,6.35952422868768e-06,2.58372730665716e-05,8.02530948708673e-07,4.60299473551193e-07,4.66071944921929e-06,9.60644128274522e-07,6.63217606970476e-05,4.36356616133735e-06,0.000118168698206848,5.4002205266284e-07,2.80346970350606e-06,3.68506254063785e-06,1.52767805034818e-06,9.31816592171924e-06,4.38383413558978e-06,6.46851661044795e-07,4.78525866807816e-06,1.58962549636531e-06,1.1834386898199e-05,2.98164002442327e-06,5.36898048540856e-06,5.42634882157117e-06,5.6542016494649e-06,8.93863479619327e-06,6.22655286616741e-06,0.000454271338138602,2.45031275100823e-06,1.15494913976303e-05,4.42913430645701e-06,2.38535300211231e-06,4.7765592129818e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03069388592797e-07,2.57476409563607e-06,2.73336227437863e-06,1.66499582549855e-06,1.27234319822704e-05,4.90370686929416e-07,2.31986398676602e-06,7.75575217424603e-07,2.41885550054818e-05,5.19947628648201e-05,1.7908994005219e-06,0.000109559839484074,3.81246813732e-07,1.26210197706497e-05,6.48282699738667e-06,1.29308264716876e-06,9.98610685492415e-06,-1695.14934177554,0
1,1,0.246693292557334,0.147835035464811,0.967710036064226,9.7,0.559649119180425,0.308242733159477,8.1604482510667e-05,1,0.189195805717362,0.990922147407973,0.961460700352653,0.975796093148044,0.932905541170858,0.949632226919146,0.968276760290845,0.951910559207577,0.897333611608471,0.98245801627573,0.968823445701677,0.93716744813484,0.985847835328889,0.797692963582506,0.985938559992457,0.989514041985658,0.941117921720269,0.903934077223579,0.97406439968589,2.02885000599641e-06,1.49940312538721e-05,3.80917721742354e-06,1.66286931094515e-06,3.41677938848953e-05,2.0553918921931e-06,3.21410425107154e-06,8.48757699180035e-05,4.5296048694638e-06,7.99002065744852e-06,4.96681807931006e-07,0.0448794409549438,5.20416896093802e-06,5.25042564141152e-06,6.76644698572658e-06,1.00672206056891e-06,4.34654355744785e-06,9.49667339994461e-07,5.3176917169685e-06,7.54135619558087e-06,6.13826496743876e-06,2.91308970665279e-05,2.83159122861773e-07,1.0319526883635e-06,4.54002801172872e-06,6.52733149086678e-07,4.93438468644089e-05,5.77003747039505e-06,0.000106676023101362,1.73518639884359e-06,3.30321883138588e-06,7.66998012790907e-06,8.13396230467849e-07,9.12005675290639e-06,2.42582702423684e-06,1.07664449893028e-06,8.32808051430073e-06,2.00585729249934e-06,1.2225733256742e-05,5.56899228636048e-06,1.15233518595249e-06,3.1393224441891e-06,3.87071617857429e-06,6.42456583427077e-06,5.08031484205856e-06,0.000106188350260951,1.81067796041206e-06,7.7788785918477e-06,3.93117252154119e-06,2.07537449882803e-06,3.74760579666776e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51858548165017e-07,5.88826311169847e-06,2.39644930305926e-06,4.17839191895229e-06,5.68434014338364e-06,1.88445869982529e-07,4.24960051552471e-06,1.14087974662751e-06,2.63104801977418e-05,2.67781128841851e-05,5.35597206746186e-06,9.46858670987511e-05,1.14865551133708e-06,2.24560734923569e-05,4.61302670607132e-06,1.63434987134661e-06,1.19149013156129e-05,-2316.57455512775,0
1.52631578947368,1,0.243929930161403,0.177938626058268,0.922808460522606,9.7,0.473737680697645,0.26277121476385,0.000266017669763935,1,0.876199898808782,0.991092941599507,0.961066447391655,0.984381194661714,0.96662786569655,0.97071954789813,0.981933508304864,0.966073872860626,0.949183774610616,0.971066304633771,0.930480621518324,0.872586279449128,0.993144528346617,0.848551035393546,0.965772198171666,0.972069044762424,0.960910991700127,0.96166974426181,0.976886664614305,1.68776723402557e-06,1.07388224663913e-05,3.91819141831701e-06,2.39300424837878e-06,4.81950430603942e-05,8.0185389765827e-07,7.64479428371812e-06,5.922322856521e-05,9.78754347170156e-06,3.57450785540313e-06,6.80294117558461e-07,0.0228498670243238,2.93022743851416e-06,4.27585787119345e-06,8.92739982465155e-06,1.31779468207067e-06,7.25878834384244e-06,4.85404622707602e-07,1.62230762125484e-06,7.85072400133331e-06,7.53336939540028e-06,1.37580197800625e-05,2.2470806950517e-07,8.04568529931061e-07,7.12082174193725e-06,7.40058283165017e-07,4.86632511178922e-05,5.71939082529142e-06,0.000114056168154127,1.00338055919255e-06,5.83828419897519e-06,6.2827058192164e-06,1.99133728059915e-06,1.60435273141023e-05,1.39382808823679e-06,1.0318142635626e-06,2.42997433242885e-06,1.38886983634133e-06,1.51273044599122e-05,4.31918582967267e-06,2.68399478363142e-06,2.99608198614405e-06,6.86437981232754e-06,1.73446675188666e-05,7.47418282276753e-06,0.000264983269475669,1.44055599989708e-06,3.03780248794701e-06,2.14996295476133e-06,1.73715539529646e-06,7.1529721719875e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47283832815993e-07,1.19243353401997e-05,2.03922603607103e-06,4.17211760130336e-06,1.24504461522101e-05,5.16073459234635e-07,2.19345486424607e-06,1.23668986122803e-06,2.6930293538737e-05,7.7802240206114e-05,3.22312917550204e-06,3.34499583277352e-05,1.07640102641964e-06,1.9550730906997e-05,3.86176800221378e-06,1.68083930615172e-06,1.76721231810008e-05,-1683.97498249732,0
1.21052631578947,1,0.251856581167871,0.148297679833248,0.978853803235578,9.7,0.583734572446568,0.365061575785817,6.62857456308665e-05,1,0.279085391063685,0.986214183959625,0.967584709081561,0.967898738542954,0.909928215060103,0.9667517237885,0.976760156924401,0.965696896523783,0.957324997203264,0.972013204696245,0.951768550498111,0.930428585000024,0.992467039996499,0.823591975799859,0.983693474475706,0.993958978883089,0.986671224151148,0.917472739319382,0.990705578696979,2.28202902735001e-06,6.67341496579633e-06,3.96694663652459e-06,2.72229608750785e-06,6.54016024395821e-05,2.46253990941368e-06,6.76029817392444e-06,2.24897190449666e-05,7.25261859832999e-06,6.15947086024988e-06,1.8954523414339e-06,0.0316743629798442,3.25990122353001e-06,3.36700359497682e-06,6.36713942721406e-06,1.89283728016918e-06,1.15728373671366e-06,3.33160361059507e-07,2.90581512220023e-06,6.63154266296543e-06,5.95754108148421e-06,2.31020415519639e-05,7.76044959835881e-07,4.49687608764869e-07,4.44183930587947e-06,1.07717958953882e-06,5.9552412709492e-05,4.50660610787962e-06,0.000141911704868975,6.0253588179115e-07,3.47597767464023e-06,3.7159085494625e-06,9.59776088481395e-07,1.04638823566887e-05,4.81296067071012e-06,6.00823264296074e-07,4.96096048735935e-06,1.24100154232284e-06,1.33097201068262e-05,2.5867353214344e-06,7.40825522762931e-06,9.94214615923308e-06,3.87969430737239e-06,7.83866340940796e-06,5.86253101222095e-06,0.000382125497938289,2.59468880147653e-06,1.01608815828552e-05,3.71964224657718e-06,1.73731007043886e-06,5.28079033428022e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01920732682422e-07,2.75532124101369e-06,3.37025807106106e-06,1.52704156914785e-06,1.58613538523447e-05,5.71918130009621e-07,2.05501205219108e-06,7.23305865795797e-07,2.41066408074462e-05,4.24245546214711e-05,1.74931179092107e-06,0.000116370214998113,4.31790764359517e-07,1.51643948020444e-05,5.72997543537612e-06,1.35864272216471e-06,1.30124129848894e-05,-2314.51196002955,0
1.63157894736842,1,0.250704367792065,0.161974844941348,0.757357459143587,9.7,0.472348457058474,0.254514415510159,0.000306970527205841,1,0.839782916799288,0.925397243047771,0.987105204186354,0.970950792345922,0.914491202639696,0.942064494581252,0.966207228217551,0.945957079880144,0.978737607944153,0.988912790054606,0.958628804918378,0.929219540114323,0.979418321085924,0.771278053954496,0.953574303613036,0.99083781965024,0.961204978932549,0.911305719791287,0.987572640636545,2.83452964639978e-06,2.28922546255558e-05,1.23901636165355e-06,1.49077876388915e-06,3.41536061741062e-05,1.77888638662576e-06,3.49764286634958e-06,1.02459479369505e-05,3.99841111748254e-06,8.86910514407604e-06,2.3284935660096e-06,0.0235375867186092,6.18739351614045e-06,1.51962968954707e-06,1.98818409978763e-05,8.24054101011519e-07,3.3359360219051e-06,8.75974242122225e-07,3.63917721865418e-06,9.09611907562056e-06,4.63709595737216e-06,2.39970658545915e-05,9.29308921654112e-07,4.65861403807949e-07,2.71190473771305e-06,1.6501642683567e-06,6.8815344423012e-05,2.68686819597339e-06,4.64465591838663e-05,2.51828167323086e-06,3.48512377999092e-06,3.49664779553199e-06,6.38161088761987e-07,7.32118733593658e-06,3.94332885733851e-06,1.46790492462256e-06,5.57528252255576e-06,2.24295245456958e-06,6.48296777192967e-06,6.38648568355656e-06,7.66587577908383e-06,6.22075961685519e-06,2.09148781011164e-06,2.73018333607519e-05,4.34826324059009e-06,0.00039449883342749,1.37429245318833e-06,7.09894208390797e-06,4.53656718800598e-06,3.07761429570417e-06,8.07839965027277e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64366474035506e-07,6.85499974496244e-06,4.4971448740458e-06,1.63030985279136e-06,3.21441330563883e-06,6.50836621530874e-07,1.19369089457726e-06,5.3407372184365e-07,3.54112457647971e-05,6.2048539255007e-05,1.55427104841592e-06,9.41351997934985e-05,5.37362161830201e-07,1.25578915170513e-05,1.99871735563941e-06,3.42715570778431e-06,2.35098918450421e-05,-2933.54229829214,0
1,1,0.464630450925689,0.107798117322744,0.984690896315291,9.7,0.509230679843932,0.261778210861073,0.000134103349925685,1,0.377684361288699,0.98942888514952,0.945351569507031,0.985159869200526,0.934138245555845,0.965242011107018,0.978955533257655,0.977298990108151,0.934480226629956,0.986635265433577,0.938270997617656,0.888682139090716,0.975095223789986,0.826607054202253,0.942929223083111,0.960514242520223,0.977088579149222,0.935308690206215,0.985013005570052,5.86070948551898e-07,1.61727965519847e-05,1.78969351811105e-06,1.1701955692238e-06,3.68134072331731e-05,4.30619709919024e-07,4.55113684659307e-06,7.79503994441283e-05,8.36223663233485e-06,9.15957593360905e-06,2.58097525013273e-06,0.0428989447367028,3.65175184471448e-06,3.78389142085642e-06,1.0431705487721e-05,1.33523096366784e-06,4.99125073831671e-06,6.91859498748556e-07,4.88892560689292e-06,1.12470128367754e-05,4.7154905442881e-06,1.24738203942884e-05,8.31992131964841e-07,6.96478353942703e-07,6.30805438132271e-06,2.25315149153563e-06,6.35264282067662e-05,2.47481696898702e-06,0.000122665463979022,1.83810754695151e-06,2.7726299783702e-06,4.53851779058139e-06,1.33256472167096e-06,1.54961709560458e-05,4.13314827835447e-06,1.2722096167982e-06,5.59550638898789e-06,1.94493361277821e-06,8.23672006634826e-06,4.81032684216585e-06,4.95474179482253e-06,3.83810786643359e-06,7.5521672185703e-06,1.63722241977441e-05,4.43991808443531e-06,0.000115760963386243,2.94512013181943e-06,6.62136267415648e-06,3.49687017108582e-06,2.53139944160221e-06,7.48213367432061e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25804142846401e-07,4.84621615654947e-06,1.91826826143744e-06,2.95155378079123e-06,5.36795772600139e-06,2.01339128629802e-07,1.01919928308422e-06,1.15617489889878e-06,3.5947124386874e-05,3.69828836244844e-05,2.67002939878507e-06,0.000121084473833032,6.84737906542298e-07,6.99230160163329e-06,5.10456572482302e-06,3.67265941332193e-06,1.87723205792199e-05,-1699.87105796711,0
1.73684210526316,1,0.332212506538596,0.10621803296438,0.788681352163509,9.7,0.471269107248521,0.236581238610906,0.000320256055991575,1,0.8694252415512,0.98135692858893,0.952190998908079,0.973670093736724,0.934318411985937,0.950511676516718,0.963823585270251,0.958519919285825,0.916395262167406,0.98350562956453,0.956068736526175,0.950933545228122,0.986318072140197,0.794531542619724,0.98802645549163,0.991333398021104,0.953516763516038,0.892390146429808,0.966481161751276,1.97012525949283e-06,1.41817006657027e-05,3.37143957686102e-06,2.15239240805947e-06,4.49128646706925e-05,2.3427744758142e-06,3.90364856598299e-06,6.85395177514537e-05,5.95563649127672e-06,6.7792407379103e-06,5.94899382188396e-07,0.0255667467683562,7.36909503178841e-06,4.89405278677258e-06,5.23125674849573e-06,9.01513898982295e-07,3.63667505642728e-06,1.06431824956501e-06,6.01483957991336e-06,7.4173666866154e-06,6.07581259428111e-06,3.39559317136332e-05,2.73616157295194e-07,1.04245807421942e-06,4.74944754562128e-06,5.83450904493189e-07,3.912047594103e-05,5.9513073622867e-06,0.000111082252518206,1.37838086686222e-06,3.63022018539754e-06,7.04778611720047e-06,7.21617386806826e-07,5.44113706559918e-06,4.09913818018719e-06,9.82503509338401e-07,6.76896203453761e-06,2.67549783264422e-06,8.46184310836575e-06,5.26966735207969e-06,1.04740854222196e-06,4.27935721042047e-06,3.19822212308415e-06,6.16650556784805e-06,5.24116747896564e-06,7.53979435874449e-05,1.51010062205951e-06,9.9161126128863e-06,2.95781316497727e-06,2.38404454114688e-06,3.58686258152031e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21604556945176e-07,4.66415177346538e-06,2.85403362049493e-06,3.92815453897093e-06,5.3700352554632e-06,2.4264909231234e-07,3.0714460059619e-06,1.00081564776003e-06,3.33078069276414e-05,2.78983961822718e-05,4.3045973625585e-06,0.000106618346423033,9.6046954067436e-07,1.64809570027095e-05,4.20432436855045e-06,1.59227587863959e-06,1.67576998855308e-05,-2318.91769578601,0
