gamma,alpha,sigma,psi,g,R0IN,qua,quawh,qualow,rho,kappa,omega,S1_0,S2_0,S3_0,S4_0,S5_0,S6_0,S7_0,S8_0,S9_0,S10_0,S11_0,S12_0,S13_0,S14_0,S15_0,S16_0,S17_0,E1_0,E2_0,E3_0,E4_0,E5_0,E6_0,E7_0,E8_0,E9_0,E10_0,E11_0,E12_0,E13_0,E14_0,E15_0,E16_0,E17_0,I1_0,I2_0,I3_0,I4_0,I5_0,I6_0,I7_0,I8_0,I9_0,I10_0,I11_0,I12_0,I13_0,I14_0,I15_0,I16_0,I17_0,R1_0,R2_0,R3_0,R4_0,R5_0,R6_0,R7_0,R8_0,R9_0,R10_0,R11_0,R12_0,R13_0,R14_0,R15_0,R16_0,R17_0,J1_0,J2_0,J3_0,J4_0,J5_0,J6_0,J7_0,J8_0,J9_0,J10_0,J11_0,J12_0,J13_0,J14_0,J15_0,J16_0,J17_0,P1_0,P2_0,P3_0,P4_0,P5_0,P6_0,P7_0,P8_0,P9_0,P10_0,P11_0,P12_0,P13_0,P14_0,P15_0,P16_0,P17_0,loglik,loglik.se
0.215789474,1,0.174838929,0.817306017,9.7,1.479648052,0.509324901,0.286587414,0.000189499,1,0.26918299,0.986392073,0.988189586,0.977097618,0.955887148,0.985299488,0.974256822,0.938735007,0.946436592,0.978404524,0.941834829,0.872046537,0.993501572,0.700648553,0.934397888,0.984210209,0.986849351,0.906300552,0.968803595,1.79E-06,3.32E-05,3.12E-06,1.66E-06,3.65E-05,1.48E-06,6.36E-06,8.05E-05,5.56E-06,6.77E-06,7.35E-07,0.021690087,3.12E-06,4.50E-06,1.29E-05,1.57E-06,3.12E-06,4.41E-07,3.09E-06,1.05E-05,6.05E-06,2.84E-05,4.97E-07,7.71E-07,2.84E-06,2.01E-06,3.82E-05,3.65E-06,6.61E-05,7.36E-07,2.25E-06,7.27E-06,1.81E-06,9.01E-06,2.54E-06,2.36E-06,3.35E-06,1.42E-06,1.22E-05,3.47E-06,4.82E-06,2.55E-06,3.54E-06,2.13E-05,3.28E-06,0.000155031,2.72E-06,1.15E-05,1.84E-06,1.23E-06,8.06E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04E-07,3.54E-06,2.83E-06,3.56E-06,7.27E-06,5.33E-07,5.04E-06,8.32E-07,4.37E-05,2.23E-05,4.44E-06,0.00010905,9.27E-07,2.29E-05,3.98E-06,4.64E-06,2.06E-05,-1684.894471,0
0.215789474,1,0.155486431,0.835268823,9.7,1.678438309,0.479146097,0.254291747,0.000327353,1,0.705940503,0.955376785,0.951820168,0.972691321,0.920410638,0.951966706,0.988067072,0.978522181,0.956212627,0.954012876,0.970806424,0.904641161,0.987443259,0.930970177,0.955257539,0.985659471,0.982210919,0.936275352,0.970725159,2.10E-06,1.67E-05,2.29E-06,3.18E-06,1.81E-05,2.74E-06,5.32E-06,3.60E-05,7.30E-06,3.35E-06,1.11E-06,0.027263617,4.17E-06,3.36E-06,5.21E-06,2.02E-06,8.99E-06,1.43E-06,4.06E-06,3.61E-06,4.26E-06,2.98E-05,6.03E-07,6.75E-07,6.39E-06,2.16E-06,3.77E-05,4.51E-06,0.000110286,1.32E-06,5.30E-06,9.59E-07,1.48E-06,5.35E-06,2.36E-06,1.34E-06,6.29E-06,1.51E-06,1.45E-05,2.81E-06,4.71E-06,1.98E-06,5.23E-06,3.32E-06,3.80E-06,0.000429127,3.03E-06,6.03E-06,4.75E-06,2.56E-06,6.68E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31E-07,7.69E-06,3.16E-06,4.26E-06,6.11E-06,2.51E-07,3.95E-06,3.15E-07,3.48E-05,8.52E-05,2.01E-06,0.000162101,1.52E-06,1.65E-05,5.81E-06,2.19E-06,2.13E-05,-1684.946173,0
0.239473684,1,0.182388403,0.873170196,9.7,1.687473626,0.465522257,0.264082759,0.000301026,1,0.942135277,0.970086841,0.952732813,0.982569163,0.963721511,0.977639826,0.978950552,0.966373946,0.942633047,0.965431555,0.941557385,0.862864879,0.994039405,0.854992473,0.97720799,0.966430077,0.962983643,0.960912558,0.974197891,1.42E-06,7.08E-06,2.51E-06,3.59E-06,6.51E-05,8.51E-07,7.03E-06,4.90E-05,8.62E-06,4.39E-06,1.11E-06,0.019291512,3.46E-06,4.64E-06,7.99E-06,1.63E-06,5.62E-06,3.97E-07,1.91E-06,5.74E-06,7.64E-06,1.04E-05,2.63E-07,1.16E-06,9.08E-06,5.85E-07,4.88E-05,6.28E-06,9.84E-05,1.02E-06,7.86E-06,7.63E-06,1.68E-06,1.79E-05,1.33E-06,1.12E-06,2.28E-06,1.25E-06,1.56E-05,4.43E-06,1.83E-06,2.89E-06,4.71E-06,1.07E-05,6.48E-06,0.000246484,2.18E-06,3.80E-06,1.90E-06,1.68E-06,3.20E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66E-07,1.30E-05,2.70E-06,3.63E-06,7.14E-06,5.73E-07,3.06E-06,1.29E-06,3.38E-05,9.64E-05,3.29E-06,4.36E-05,8.93E-07,1.62E-05,3.64E-06,1.85E-06,2.15E-05,-1685.342325,0
0.215789474,1,0.213575107,0.798170377,9.7,1.785251394,0.468090039,0.273071849,0.000280173,1,0.732148963,0.993527461,0.929417327,0.985903212,0.920967389,0.957946825,0.984665016,0.985170877,0.940114287,0.987118615,0.954676289,0.875963253,0.977268553,0.873547949,0.943256808,0.960931265,0.975142713,0.921753894,0.985291378,6.01E-07,9.85E-06,2.99E-06,1.09E-06,4.01E-05,7.78E-07,4.84E-06,7.71E-05,9.77E-06,8.06E-06,2.41E-06,0.018675442,3.23E-06,3.90E-06,7.82E-06,1.11E-06,4.26E-06,7.90E-07,4.66E-06,8.51E-06,4.28E-06,9.15E-06,7.05E-07,6.99E-07,5.45E-06,2.23E-06,5.79E-05,4.00E-06,7.99E-05,1.50E-06,2.50E-06,6.36E-06,1.80E-06,1.71E-05,3.29E-06,1.03E-06,5.70E-06,1.88E-06,7.12E-06,7.27E-06,6.79E-06,3.66E-06,8.88E-06,1.27E-05,3.46E-06,9.30E-05,1.91E-06,5.66E-06,2.83E-06,3.24E-06,7.25E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41E-07,5.20E-06,1.90E-06,2.48E-06,4.31E-06,2.21E-07,8.93E-07,1.18E-06,3.11E-05,3.27E-05,3.89E-06,8.30E-05,6.47E-07,8.01E-06,4.20E-06,4.02E-06,1.78E-05,-1685.918181,0
0.192105263,1,0.187491604,0.898760117,9.7,1.479716564,0.500125709,0.276834461,0.000237633,1,0.296544681,0.920846853,0.961609239,0.99346544,0.915050935,0.945271644,0.984311022,0.972093275,0.982335927,0.959176006,0.936115295,0.936427885,0.986317043,0.82102083,0.97401347,0.969351073,0.959413154,0.963863682,0.979956542,1.53E-06,8.14E-06,2.11E-06,3.84E-06,5.13E-05,8.97E-07,3.31E-06,2.51E-05,4.76E-06,5.51E-06,2.33E-06,0.027368491,6.15E-06,1.86E-06,8.54E-06,6.43E-07,7.71E-06,7.08E-07,4.02E-06,5.93E-06,7.11E-06,1.27E-05,1.24E-06,5.76E-07,6.73E-06,8.09E-07,5.76E-05,4.77E-06,0.00014251,1.45E-06,5.48E-06,3.70E-06,1.01E-06,1.86E-05,4.76E-06,8.46E-07,6.16E-06,2.65E-06,2.18E-05,6.45E-06,9.79E-06,4.20E-06,7.20E-06,1.42E-05,4.27E-06,0.000408502,1.72E-06,5.92E-06,4.80E-06,3.21E-06,3.25E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24E-06,1.15E-05,2.37E-06,3.34E-06,4.26E-06,2.35E-07,1.61E-06,4.48E-07,2.41E-05,5.44E-05,1.52E-06,4.50E-05,5.68E-07,1.95E-05,2.02E-06,1.94E-06,1.53E-05,-1685.940942,0
0.215789474,1,0.199364914,0.831128601,9.7,1.679243371,0.475271258,0.276603318,0.000275336,1,0.369790758,0.92286013,0.981531549,0.983211306,0.872249986,0.980469736,0.98173986,0.934472323,0.953759551,0.959932817,0.953863772,0.915213148,0.99504597,0.642748886,0.96270515,0.981679356,0.971408599,0.938756671,0.985586082,1.03E-06,3.19E-05,3.69E-06,4.36E-06,1.62E-05,1.70E-06,7.90E-06,4.02E-05,8.64E-06,6.19E-06,2.50E-06,0.015287959,5.15E-06,2.97E-06,1.39E-05,1.52E-06,1.01E-05,5.13E-07,2.90E-06,3.36E-06,4.11E-06,1.62E-05,7.30E-07,6.24E-07,6.26E-06,2.16E-06,6.32E-05,3.68E-06,6.00E-05,1.10E-06,6.26E-06,3.06E-06,2.06E-06,1.27E-05,5.16E-06,1.87E-06,5.01E-06,1.44E-06,2.13E-05,4.91E-06,4.05E-06,5.47E-06,7.22E-06,1.87E-05,2.34E-06,0.000296849,3.86E-06,3.60E-06,5.03E-06,8.30E-07,6.73E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42E-07,1.07E-05,1.75E-06,1.91E-06,1.17E-05,6.00E-07,1.97E-06,5.12E-07,4.11E-05,6.50E-05,2.55E-06,4.57E-05,4.00E-07,1.35E-05,5.13E-06,3.69E-06,1.77E-05,-1686.055722,0
0.215789474,1,0.210160785,0.812814648,9.7,1.486756084,0.507744474,0.304838858,0.000149117,1,0.299570594,0.996611897,0.971203881,0.968206625,0.92329568,0.943635988,0.986717312,0.961248643,0.922373886,0.953669531,0.969078074,0.895465475,0.980973419,0.755475371,0.971624329,0.985176361,0.982231581,0.973475537,0.987876744,1.67E-06,2.06E-05,2.52E-06,2.87E-06,4.54E-05,1.81E-06,3.90E-06,5.58E-05,7.44E-06,2.49E-06,2.28E-06,0.021181922,3.40E-06,4.09E-06,1.19E-05,1.62E-06,9.28E-06,7.92E-07,4.68E-06,5.60E-06,6.96E-06,1.65E-05,9.19E-07,3.21E-07,2.13E-06,1.04E-06,4.87E-05,4.18E-06,0.000157825,1.28E-06,6.58E-06,4.54E-06,2.14E-06,7.55E-06,2.92E-06,1.31E-06,5.37E-06,2.04E-06,1.50E-05,2.42E-06,6.68E-06,4.64E-06,1.33E-06,2.51E-05,3.74E-06,0.000149517,3.40E-06,6.24E-06,3.89E-06,2.94E-06,3.84E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42E-07,7.33E-06,3.23E-06,1.60E-06,3.11E-06,7.49E-07,1.09E-06,1.48E-06,2.18E-05,9.01E-05,2.52E-06,0.000152349,6.94E-07,9.52E-06,5.62E-06,1.70E-06,2.15E-05,-1686.583351,0
0.192105263,1,0.210948016,0.771694008,9.7,1.352755205,0.51810351,0.29343222,0.000148733,1,0.564714437,0.982632419,0.981921454,0.965433113,0.917272954,0.936088339,0.96531623,0.933024978,0.981929075,0.986754497,0.962738859,0.911269441,0.984658301,0.638530858,0.952830928,0.986619126,0.938620993,0.933278392,0.987526105,2.35E-06,2.50E-05,1.84E-06,1.49E-06,3.54E-05,1.57E-06,3.00E-06,1.14E-05,4.32E-06,8.17E-06,2.09E-06,0.028146121,4.24E-06,1.34E-06,1.35E-05,8.50E-07,3.37E-06,8.05E-07,3.97E-06,1.27E-05,4.19E-06,2.17E-05,6.21E-07,5.20E-07,3.84E-06,1.84E-06,8.47E-05,1.94E-06,5.73E-05,1.55E-06,3.00E-06,3.87E-06,9.04E-07,9.18E-06,4.56E-06,1.74E-06,5.46E-06,2.70E-06,1.17E-05,7.11E-06,5.11E-06,4.74E-06,2.35E-06,3.30E-05,3.71E-06,0.000427772,1.46E-06,6.22E-06,4.80E-06,3.35E-06,6.19E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45E-07,4.35E-06,4.32E-06,1.27E-06,3.38E-06,9.28E-07,1.49E-06,8.02E-07,5.02E-05,6.55E-05,1.66E-06,9.17E-05,5.42E-07,9.67E-06,1.94E-06,3.41E-06,2.74E-05,-1686.642794,0
0.215789474,1,0.200299703,0.870999064,9.7,1.872588251,0.459350714,0.270178609,0.000316523,1,0.524492121,0.965884149,0.953004058,0.97629532,0.970280773,0.95639429,0.968998885,0.974751899,0.968082067,0.981355357,0.933981365,0.909433057,0.989803063,0.874324511,0.958056474,0.95944024,0.945604861,0.94022679,0.984885006,8.81E-07,1.12E-05,3.26E-06,1.53E-06,3.40E-05,1.00E-06,1.86E-06,1.75E-05,3.72E-06,7.08E-06,1.01E-06,0.016262538,4.97E-06,1.22E-06,1.28E-05,6.73E-07,2.40E-06,3.57E-07,1.83E-06,1.06E-05,5.52E-06,9.19E-06,4.74E-07,7.46E-07,6.34E-06,2.07E-06,5.77E-05,2.17E-06,8.56E-05,4.93E-07,4.09E-06,1.82E-06,1.10E-06,1.30E-05,1.45E-06,1.04E-06,2.48E-06,8.48E-07,1.10E-05,4.97E-06,2.96E-06,1.78E-06,4.99E-06,1.11E-05,4.66E-06,0.000482141,1.00E-06,9.83E-06,3.23E-06,1.58E-06,1.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61E-07,2.47E-06,2.80E-06,3.12E-06,7.92E-06,2.87E-07,3.19E-06,7.93E-07,3.84E-05,5.43E-05,1.17E-06,9.62E-05,1.11E-06,2.41E-05,2.97E-06,3.84E-06,2.38E-05,-1687.511018,0
0.239473684,1,0.178360489,0.829386227,9.7,1.528904655,0.495193285,0.283713047,0.000184598,1,0.411557105,0.982372774,0.986047256,0.979678266,0.949433297,0.986087506,0.972842869,0.946232646,0.948168631,0.975711999,0.930786871,0.862507683,0.993181207,0.714684784,0.935625404,0.987770145,0.98693674,0.920206087,0.968640735,1.89E-06,2.58E-05,3.31E-06,1.80E-06,3.33E-05,1.63E-06,6.06E-06,8.21E-05,7.44E-06,7.57E-06,7.83E-07,0.020506356,3.84E-06,5.68E-06,1.63E-05,1.28E-06,4.00E-06,4.96E-07,2.73E-06,8.96E-06,5.95E-06,2.55E-05,6.80E-07,8.69E-07,3.13E-06,2.17E-06,4.60E-05,2.76E-06,7.83E-05,6.94E-07,2.39E-06,7.20E-06,1.55E-06,7.39E-06,2.87E-06,1.66E-06,4.10E-06,1.49E-06,8.47E-06,2.89E-06,3.74E-06,3.29E-06,2.77E-06,2.35E-05,3.36E-06,0.000180451,2.66E-06,9.73E-06,1.93E-06,1.20E-06,5.75E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61E-07,3.60E-06,3.90E-06,4.36E-06,1.22E-05,5.51E-07,3.93E-06,1.09E-06,3.95E-05,2.65E-05,3.86E-06,7.54E-05,8.66E-07,1.94E-05,5.44E-06,4.14E-06,1.44E-05,-1687.710753,0
