"sigma","alpha","gamma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","loglik","loglik.se"
0.168421052631579,1,0.332801897961582,0.897668691651812,9.7,1.23106485486598,0.511636635744729,0.292872660599306,0.000125883005841192,1,0.426661436682238,0.936431911390698,0.970870236310407,0.962429547165665,0.908748467106543,0.946134545933356,0.988516277300797,0.950367907070411,0.943267000389109,0.962183129675427,0.96061673138627,0.853516528520153,0.973989315924881,0.702153481719859,0.975626263379722,0.982945479917715,0.981849373132526,0.971179011338289,0.993445530314511,2.02076161833563e-06,2.12129572011731e-05,2.02151238639603e-06,2.84122108076459e-06,5.07182832572615e-05,2.00192422022726e-06,6.18850180340732e-06,5.5298578587632e-05,7.62877829619063e-06,3.97101149046851e-06,1.96567478770892e-06,0.0255293714080357,3.09597357175577e-06,4.1575312257691e-06,1.34753370189249e-05,1.33310483228739e-06,5.39367214628031e-06,9.15937747682971e-07,3.5395738301009e-06,5.08085666707238e-06,7.80831587452593e-06,2.421735133683e-05,7.29254773052258e-07,4.51754006719963e-07,1.39943835318715e-06,1.14952627800887e-06,7.70470275976872e-05,3.75243490198207e-06,0.000105838090413215,1.46813351926965e-06,7.01271829053424e-06,6.52244705800857e-06,2.02840598348924e-06,8.60472617332114e-06,3.73519046194408e-06,1.73669322420868e-06,8.78663998659545e-06,1.69141459621046e-06,1.37021249142581e-05,3.10435073800961e-06,6.30812701331059e-06,4.92949733991288e-06,1.57727151386759e-06,2.336947046165e-05,3.73711523023627e-06,0.000193911153286009,2.91010647841827e-06,5.65980287340907e-06,3.87690274794161e-06,2.9948949845193e-06,6.86030438621195e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32046583390465e-07,9.00154675513435e-06,3.2614221631963e-06,1.89208109580629e-06,3.42079542321176e-06,8.76612042658529e-07,8.78388355407287e-07,1.66121857730509e-06,2.64661189436391e-05,0.000115879522363509,4.42129391272968e-06,0.00014500273826433,9.02636161772135e-07,8.83194260181396e-06,4.37636219935123e-06,2.41797780786082e-06,1.97010400407243e-05,-2924.19575482175,0
0.215789473684211,1,0.334087938021294,0.868679525245472,9.7,1.67103687132026,0.460364501011958,0.306319205575043,0.000134412178525239,1,0.877913864076442,0.976210682490556,0.962130827570508,0.977318061216089,0.97315989257224,0.966242658644378,0.975704390901067,0.981343221821951,0.970304492941875,0.980097185403835,0.942087930616495,0.919583640331607,0.991118682562408,0.880305050193313,0.927451473763002,0.964710943459863,0.964499610662609,0.931156556830849,0.97739242461982,9.56204070345625e-07,1.04223472737411e-05,4.01400233539775e-06,1.35097060966435e-06,4.27553192652859e-05,1.10205791620594e-06,1.64106129504451e-06,1.44588211783808e-05,3.14107154883384e-06,4.84092275488749e-06,1.01436657768741e-06,0.0168579728830436,3.55676507670768e-06,1.53184401664439e-06,1.28109218475115e-05,5.61814789675112e-07,2.30366842429355e-06,4.69611535316796e-07,2.03700251052819e-06,8.02856912049868e-06,5.20069289882622e-06,7.54617810374515e-06,5.25043183103694e-07,1.11675161023647e-06,6.20114765795568e-06,2.91302513517945e-06,4.07545190266516e-05,1.70699977768498e-06,7.12756374404197e-05,6.07976565193649e-07,3.33693756162618e-06,1.38940149049397e-06,1.13551125577359e-06,1.4101736289456e-05,1.4480361189349e-06,8.96684767768526e-07,3.19774384683291e-06,8.9748079843959e-07,7.14418069578275e-06,6.8335948164365e-06,3.20761911110242e-06,2.15941503391506e-06,3.4652549698589e-06,1.23974845386683e-05,5.44879539300004e-06,0.000468839009998482,1.27618989988449e-06,1.12760984760357e-05,3.25835593103357e-06,1.44523364697685e-06,1.01941928091198e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78643081226051e-07,2.47274685799281e-06,3.35571498811362e-06,3.37001641101161e-06,9.39749692507542e-06,3.96602244057265e-07,3.08428757838213e-06,7.97062189592734e-07,3.56772457032216e-05,4.30615575646521e-05,8.7711294483993e-07,9.3526407764266e-05,1.29806582452666e-06,1.65259384544084e-05,2.83758045490743e-06,4.59022286634867e-06,2.72066020328858e-05,-2337.79923563125,0
0.215789473684211,1,0.327034567774989,0.924582208269478,9.7,1.56520150102831,0.466350200239579,0.303002862428942,0.00012758942950583,1,0.98909579430599,0.991027636036855,0.967585881449753,0.98397503429243,0.958581380765556,0.966066228959543,0.976202219265091,0.951069397703122,0.945756615131873,0.972297742761234,0.941232548870393,0.859782132360059,0.993144738140289,0.826989378603561,0.962840538023897,0.971880373893659,0.969797530732102,0.957093590333387,0.976654725843561,1.68679973914484e-06,8.6229102662437e-06,2.35727672855359e-06,2.8327656130226e-06,5.90621477052463e-05,8.9617189873743e-07,6.05317964635306e-06,5.57822409792635e-05,1.10416416428424e-05,5.11772408115543e-06,9.84635897778211e-07,0.0174236923058714,3.91381989932284e-06,4.01761350383462e-06,7.85867497674447e-06,1.33772908694504e-06,4.93234356922482e-06,4.45987217619332e-07,2.19966358706339e-06,5.64637845327246e-06,7.59549397183909e-06,1.1070840698747e-05,2.12124538166807e-07,1.03907549851595e-06,8.44682622278398e-06,8.02117524623464e-07,5.89784969395782e-05,4.87748505436664e-06,0.000123428020850046,1.0762296981407e-06,6.81728678081097e-06,6.21635526736193e-06,1.63722414178052e-06,1.3496396699942e-05,1.12202829817663e-06,9.08148880306532e-07,3.4154101227146e-06,1.21220467372098e-06,1.67724137466299e-05,3.84819831717501e-06,1.58603307264588e-06,3.8647644588686e-06,5.27825005959919e-06,1.11931615866334e-05,6.93556655680019e-06,0.000338540894903382,2.28057199141498e-06,3.4331630414962e-06,3.27808414247834e-06,1.60037915519111e-06,5.937724423052e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34594149613199e-07,1.18301481662491e-05,2.97396801535274e-06,2.80206773502879e-06,6.88822828985597e-06,4.30731642285356e-07,2.85585955230725e-06,1.43611851177164e-06,2.51470168394385e-05,0.000110125170473706,3.19086560938097e-06,2.97518986647863e-05,1.0920908086164e-06,1.72436025290505e-05,4.60770209357892e-06,1.41113348760967e-06,1.29771653180414e-05,-2323.09286502514,0
0.0736842105263158,1,0.502478123535564,0.946354139799891,9.7,1.93040898568201,0.467610421297971,0.230294224641977,0.000369850786760344,1,0.88021811623095,0.995726725869086,0.955999845311568,0.978599595684907,0.950064188441864,0.967373321550623,0.987210520794113,0.967598331685737,0.95047982321761,0.970220159684808,0.93589261829641,0.900123844029226,0.995973842453385,0.842659024815276,0.974354978708755,0.963079744538351,0.979348297616531,0.956564595622485,0.976618473839993,1.33876234717145e-06,7.70569101533253e-06,4.68162746976931e-06,3.57312520552627e-06,6.30654459477671e-05,7.8711346092467e-07,9.15115713045354e-06,5.35313931527031e-05,8.96078130770736e-06,6.12784332594116e-06,8.27707734341059e-07,0.0214989993283652,2.88670679150347e-06,3.74332055801247e-06,6.74109326798507e-06,1.39253460649683e-06,5.26868513728854e-06,3.37507823880743e-07,1.87214516701669e-06,5.79826793683168e-06,9.59618161085779e-06,1.08651353572785e-05,3.15863353323738e-07,1.05459902675119e-06,6.22771754572324e-06,9.0113309829149e-07,4.63332849917804e-05,4.50533520688672e-06,0.000136051342985208,1.59689580422061e-06,6.30960803717494e-06,5.11647614890228e-06,1.28649400671276e-06,1.37018037262067e-05,1.26271115066828e-06,1.00697981157175e-06,2.40398932577948e-06,1.77311681265047e-06,1.93924787701114e-05,4.20402421124513e-06,2.42055278220085e-06,3.66691598779856e-06,5.5535517189937e-06,1.14910947418733e-05,7.49742983747674e-06,0.000329289667241611,2.05966832852608e-06,3.66157520043739e-06,2.34757008970608e-06,1.41308097023709e-06,4.05741963976356e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57881298776931e-07,1.05802965035709e-05,3.15748306184104e-06,2.79387153327189e-06,9.83251303746199e-06,4.05547673768515e-07,4.01418002623333e-06,1.29876337569367e-06,2.95605556136036e-05,6.61043316295632e-05,2.44469613708341e-06,4.52562652683593e-05,1.33971912174477e-06,2.22127652446508e-05,3.87853769036802e-06,2.47734206030083e-06,1.53443976730295e-05,-1711.26075747137,0
0.144736842105263,1,0.436228745921406,0.969900260525966,9.7,1.41421548398116,0.465318809380225,0.267878593602129,0.000178710806332611,1,0.879109972864575,0.939879163675521,0.982271422074927,0.982381803884768,0.887753279278773,0.976199630833852,0.98008828081403,0.941971717327248,0.948662564579029,0.970835314656687,0.934639483439046,0.909683773372061,0.995424374030895,0.631028170851877,0.960372592561214,0.979870293676463,0.968749232820489,0.955756936111034,0.981693111528985,1.11868913536803e-06,2.57015633138991e-05,4.43623973595139e-06,4.3652442448102e-06,2.88402483393883e-05,1.19839056971597e-06,9.6602111079553e-06,3.4868914893084e-05,6.2962817456457e-06,4.86239623290554e-06,1.47511297821743e-06,0.0170031414562827,3.44666138347247e-06,1.92389169228977e-06,1.02107430499983e-05,1.73095983655276e-06,8.61294172862423e-06,5.81572604580673e-07,2.98627724134161e-06,3.01741633839207e-06,4.50850989988286e-06,1.70194447356877e-05,5.84680014692238e-07,5.10924606906568e-07,8.62342790121907e-06,1.78495077307249e-06,5.32702247380017e-05,2.08157921833271e-06,4.99309361569517e-05,8.64751719406879e-07,6.42597524988708e-06,3.63914270890017e-06,1.61729603743215e-06,1.54653571695365e-05,4.77217923830712e-06,1.75802872695664e-06,3.65639390133744e-06,1.2783179195309e-06,2.05807065271697e-05,3.37004786692624e-06,4.41865502375556e-06,4.50270605941696e-06,6.03321331178007e-06,2.05749803320778e-05,3.07037928382785e-06,0.000312157099333244,3.36410129151266e-06,3.13835532215484e-06,4.55981441683496e-06,6.84074914605412e-07,8.78413460571776e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20861830827493e-07,1.09199276333956e-05,1.71951872452946e-06,1.77527553230624e-06,1.37805040965236e-05,6.26220954798297e-07,1.94919123812785e-06,4.67091138314613e-07,3.26275433873278e-05,7.93786971658454e-05,2.61598840257797e-06,5.05604663567638e-05,3.80655365183684e-07,1.10332443417167e-05,5.22310705352872e-06,4.25135043826844e-06,1.84349230549632e-05,-1697.42194873482,0
0.05,1,0.821728415845682,0.948152367550592,9.7,2.16373134815309,0.472585783180565,0.225077172932695,0.000342290244322832,1,0.888486551836207,0.988901124279703,0.966202589860504,0.991046269512646,0.898648575769076,0.959652709728218,0.986750602487359,0.972369752286131,0.982056239370529,0.968785845430809,0.95083845090896,0.941328942951618,0.978663077175752,0.827445841016579,0.967984379240408,0.9614592802223,0.962126088612486,0.950122307650055,0.980117345216977,1.09051342596878e-06,1.17290470082428e-05,1.56174099679529e-06,3.32689342499576e-06,4.86550334562242e-05,7.23602630301871e-07,3.85164005006216e-06,2.64005181245537e-05,5.65263429176815e-06,3.82598614326828e-06,1.86102870716773e-06,0.0280611951088229,6.86169938540771e-06,1.91159923923868e-06,9.96534016661198e-06,6.29106879475727e-07,9.11056814727052e-06,9.68277376161804e-07,4.10592453431136e-06,4.76821674936843e-06,5.89718128722023e-06,1.058990141326e-05,8.48268660941177e-07,5.39092945160904e-07,7.38362981594682e-06,1.13949361093135e-06,4.49847595962764e-05,4.1133997333645e-06,0.000133892752643536,1.45412766776275e-06,4.66714687209251e-06,3.92972625255125e-06,7.22932603274946e-07,1.35394814461803e-05,4.01854665589404e-06,1.22795465593599e-06,5.39188003190612e-06,2.4603287271587e-06,2.42024914514726e-05,7.01425247951147e-06,1.04849595127218e-05,3.76945302150464e-06,8.30922458713218e-06,1.86525767516711e-05,5.95897076438677e-06,0.000337850534586151,1.65841914561357e-06,4.62720945813878e-06,3.12636067112107e-06,3.32120961300754e-06,2.33398269648827e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31990104981111e-07,9.69248050280844e-06,2.13297902067691e-06,2.78473252973933e-06,5.62616766565725e-06,1.971021027211e-07,1.62454308950045e-06,3.14469662025535e-07,2.00675821792229e-05,5.69583270649704e-05,1.52486112014784e-06,3.7562000766632e-05,5.21775452021258e-07,1.61923723803298e-05,2.51800108938504e-06,2.02518416634954e-06,1.01169805841297e-05,-1721.9483723049,0
0.05,1,0.934229359216133,0.959247957579949,9.7,1.88309613841333,0.475648450551555,0.227898474346849,0.000295919291899833,1,0.931580648980851,0.998818377427275,0.959662195793975,0.974711523705397,0.939362944127592,0.950332566367583,0.967499375770237,0.958542344537618,0.906991910285723,0.987242982325959,0.962023956169234,0.954328625002609,0.987396817670704,0.810411036680693,0.982214253118921,0.993442405928964,0.935654381397371,0.920476508124904,0.976159970106666,3.27987926328892e-06,1.48800528784802e-05,2.25902897186692e-06,2.11170019043879e-06,4.63638438704927e-05,2.13311620160713e-06,4.14879504606649e-06,6.25095029908626e-05,4.52652839354067e-06,7.17379085386447e-06,6.08244148855473e-07,0.032322113104527,5.97788627438472e-06,4.46622771144952e-06,6.41917285322988e-06,9.13463913311216e-07,4.948147056097e-06,1.13431969202606e-06,6.11692432699718e-06,6.8526210312734e-06,6.92509661623818e-06,3.16757452508409e-05,3.83306240095853e-07,1.21903775883761e-06,5.74949473687567e-06,5.09339015143938e-07,4.62898493867372e-05,5.6437467633081e-06,9.2211219951859e-05,1.96286718760575e-06,2.48401160785121e-06,5.46918335475379e-06,7.49492159209694e-07,6.38608157014855e-06,2.55986485488476e-06,1.17143534375088e-06,6.61226085093202e-06,2.0331756215295e-06,1.0663165465465e-05,4.66828277518812e-06,1.25052065070778e-06,3.01932945841334e-06,3.16691861897903e-06,4.00799126941002e-06,3.64101675421428e-06,9.1615389080787e-05,2.29983937561385e-06,1.14479767661759e-05,4.25123433870221e-06,2.62362403528714e-06,2.6140654757633e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55021533269339e-07,4.73096533864732e-06,3.322543606692e-06,3.90305553592714e-06,5.79105367741941e-06,2.3279402105897e-07,5.10021783174208e-06,1.20485095698223e-06,3.61366785230371e-05,5.09099833690146e-05,4.51364727378458e-06,0.00013191343880348,6.39920215130842e-07,2.03682635809571e-05,5.19471187918249e-06,1.47464298852184e-06,1.94494927784137e-05,-3554.97581992405,0
0.0973684210526316,1,0.335093722377004,0.862919872859071,9.7,1.88320993771713,0.470780512645509,0.241676479691232,0.000333285697449936,1,0.743433690829563,0.977365901244266,0.967421586119789,0.971065001180429,0.940113446102418,0.947818976927835,0.98147315129003,0.963982277363928,0.928903729456973,0.986840647638249,0.963781035572029,0.965933118549264,0.98568887129518,0.833433444930567,0.98353405217254,0.993103461735698,0.955577046881655,0.903951425833171,0.97407370016803,2.85660745535843e-06,1.42186710390507e-05,2.94443974802227e-06,2.17473105147322e-06,4.08713076652849e-05,1.77473249740112e-06,4.13012339256032e-06,8.33226074058697e-05,4.57777652434003e-06,7.54050735383141e-06,6.57560858626121e-07,0.0234933424158674,5.89190947767129e-06,7.67873038725245e-06,6.79637504678556e-06,1.20252162323328e-06,5.71079255987252e-06,9.92109584722974e-07,5.52836365530068e-06,9.54637735166205e-06,7.33481328792499e-06,2.95452582960759e-05,2.46534086006278e-07,1.09528569429627e-06,4.26039464227474e-06,5.34373531294756e-07,4.00960105698244e-05,6.55096982453117e-06,0.000108545449111228,2.04604016681204e-06,3.66282922790514e-06,6.57563128081859e-06,9.73852775526896e-07,5.041417125033e-06,2.35865786310081e-06,1.33788826570825e-06,6.51479783786467e-06,2.5268803875091e-06,2.07172386543e-05,7.1270506579307e-06,9.18735277539577e-07,3.14274612555088e-06,4.20684909626389e-06,6.00327559854914e-06,5.89779978400126e-06,8.24025061136296e-05,2.37893871222494e-06,7.60841776375913e-06,3.27127434847372e-06,1.8729558381957e-06,2.77442091991135e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04570379278389e-07,5.36059646096939e-06,2.41145386505021e-06,2.98588858271426e-06,5.10738928374892e-06,2.57990269989217e-07,4.1203304967322e-06,1.45287379213347e-06,2.62553923827281e-05,3.03893387072957e-05,4.23584821973142e-06,0.000101749684133597,1.30046121110076e-06,1.62370782313538e-05,3.0406988699015e-06,1.51964195047527e-06,1.17714575064593e-05,-2943.02125325797,0
0.05,1,0.950163300121805,0.980909666653188,9.7,2.22458219868921,0.457919546385228,0.232597078421598,0.0003149654222261,1,0.581986134729543,0.979628529515972,0.990490754595946,0.972677639446509,0.94832121803914,0.986195506376677,0.975566430171577,0.939844414323217,0.95294177591727,0.979423352442744,0.936853529548734,0.923705824529562,0.994274888799879,0.716842528610662,0.953472385249512,0.989034352653484,0.989379909644364,0.919666212043319,0.976837925767115,1.82885368595068e-06,1.68652674103007e-05,3.48263155636172e-06,2.05677394255453e-06,3.5755646613764e-05,1.56623252353976e-06,5.54580006086986e-06,7.50227578171307e-05,7.47614386446953e-06,4.47230317358479e-06,9.50289890210531e-07,0.0207609768505517,3.5455737593453e-06,3.79091394980871e-06,1.3985412581855e-05,1.58569967358923e-06,3.45428906765442e-06,4.59254749782183e-07,2.03681305659536e-06,8.4042259987188e-06,5.28135309524668e-06,2.00318556341864e-05,3.93394693442534e-07,8.19440882675458e-07,4.63562631765286e-06,2.01893882227577e-06,2.33742434952099e-05,2.99073140336004e-06,4.42832201171423e-05,6.84196304742201e-07,2.32609302511828e-06,8.75391562575323e-06,1.79820301380067e-06,5.52171301619319e-06,1.97670308704714e-06,1.7736605483956e-06,4.52411135219239e-06,1.49581840743814e-06,1.38585207245673e-05,3.84756170157445e-06,3.51338575886581e-06,2.73885867611725e-06,2.53177389201003e-06,3.24525175896151e-05,2.90693783346146e-06,0.000126008844602304,3.09900894224092e-06,6.80553395535632e-06,2.09033240856772e-06,9.20064325739755e-07,5.34632003093176e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24649586689048e-07,3.20270901432744e-06,2.9149950015772e-06,4.83357288998779e-06,8.81108168483383e-06,5.58275269399751e-07,3.59937323253299e-06,1.06742541084533e-06,2.68528199817547e-05,2.58725673152296e-05,4.16087115500454e-06,0.000118585209435076,1.10225446444464e-06,2.17733193724131e-05,5.06634823445525e-06,4.54029483752031e-06,1.59746347780478e-05,-3562.68958345293,0
0.0973684210526316,1,0.483369604527597,0.84154406245287,9.7,1.55789276044562,0.481494847932287,0.254265033446992,0.000222188083365077,1,0.904183373908796,0.986294471782696,0.969042287445585,0.989707811635163,0.883623514867257,0.956167435654724,0.984695392731023,0.973891165836709,0.980372235775054,0.967290603103759,0.955697816419735,0.944367426627822,0.984275424370885,0.850015535501764,0.965909194508719,0.970352433133567,0.954018907071313,0.974852109180549,0.979468920016948,7.51295041041967e-07,1.17992019215319e-05,1.73005774553771e-06,4.11396249749542e-06,7.21694743762191e-05,6.15336149003311e-07,3.20035849650773e-06,3.22275828764836e-05,4.12439474403073e-06,3.71899490624849e-06,2.10240537621736e-06,0.0258025464893628,6.18484771914588e-06,2.2727726625679e-06,9.74932734054271e-06,7.09339462102831e-07,9.26832712492627e-06,1.06939691749554e-06,4.22062371832903e-06,5.77742470857453e-06,6.43837469614042e-06,1.09805075035824e-05,1.05503377567242e-06,5.96740543613755e-07,6.38100138965563e-06,9.3930783362626e-07,5.23803508360344e-05,4.98619101807389e-06,0.000123134099450668,1.54663597390917e-06,5.39568139718101e-06,4.70689371114262e-06,8.81985878253558e-07,1.28715704754566e-05,4.26179882979686e-06,1.40982937496251e-06,6.44077145401262e-06,2.95453236198868e-06,2.1299197964676e-05,4.73781848465057e-06,6.9777278213561e-06,4.43899181873475e-06,7.17165882116302e-06,2.03279225438498e-05,5.36156077594937e-06,0.000409768148291336,1.80418409822927e-06,5.19468672401682e-06,3.7029183725523e-06,3.30479810479842e-06,1.958474116797e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.70417587255035e-07,9.49629734950144e-06,1.77405192115665e-06,2.99223963773134e-06,5.08898313197662e-06,2.13045410950307e-07,1.61388510236375e-06,3.87502307120907e-07,1.91617289022356e-05,7.79189655965733e-05,1.6411891701938e-06,3.60124488733205e-05,5.44742355683012e-07,1.41114510441029e-05,2.66013955369799e-06,1.78220015824579e-06,1.11178812270067e-05,-1695.98492063485,0
