"gamma","alpha","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","loglik","loglik.se"
0.0657894736842105,1,0.459556392629811,0.95374590193623,9.7,2.75195536469079,0.629069582143727,0.434702776109211,7.96349587214974e-05,1,0.23549591667882,0.961719554521825,0.977638369465817,0.967624980851465,0.962805694151142,0.985259861616655,0.967888464435318,0.965003903014054,0.937336850876806,0.981576850724873,0.937501286029236,0.885756864443591,0.985516773330304,0.686390171073839,0.959457436337522,0.987603404259689,0.974992787806092,0.903683906125914,0.954266033717488,3.51615750395653e-06,2.37569839382051e-05,3.67143435217215e-06,2.37142094992721e-06,4.13151566654019e-05,1.78616825381849e-06,7.10109010757806e-06,0.000132603975635274,6.61694947347325e-06,4.70735752318021e-06,4.47114100156874e-07,0.0184997801037213,1.56616389273034e-06,2.68397576069061e-06,1.84679970439828e-05,1.63224381420751e-06,4.40361785578801e-06,5.66954668899089e-07,2.24404381832168e-06,1.1051384745726e-05,3.76251752811472e-06,2.30237588001271e-05,6.494032881632e-07,8.24275461792164e-07,3.83940176556554e-06,1.96897146436827e-06,2.66484711153213e-05,2.458176005718e-06,9.17569286582716e-05,5.98597800010794e-07,2.36825912567283e-06,6.96948268688244e-06,2.99772673390427e-06,9.74121850129299e-06,1.35074161003473e-06,2.77068944739005e-06,3.5508509029627e-06,1.44455837621457e-06,8.32066442450494e-06,2.72155319783226e-06,4.26277493656641e-06,4.83467409833171e-06,4.45771847157619e-06,2.95983414580689e-05,2.04093506774106e-06,0.0002505451228215,3.6751647653517e-06,1.20263565566417e-05,1.19159944788119e-06,1.66050517832573e-06,5.76992700817374e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33486823798041e-07,7.03341665680409e-06,2.84613223031978e-06,3.93936543229838e-06,8.93302466803362e-06,4.94663082718596e-07,4.24897916562471e-06,6.75175124641625e-07,4.04190792322881e-05,4.40714095135521e-05,3.04482696917235e-06,0.000106137446286708,2.19804867106342e-06,1.82804613478787e-05,7.71095641273031e-06,3.63794331875188e-06,1.52788530790315e-05,-2360.1139266798,0
0.0815789473684211,1,0.340049185334316,0.961172340344042,9.7,2.08220619148075,0.582135774170906,0.343159680149097,0.000147623708732531,1,0.329844323561998,0.988869610471702,0.966314326670598,0.959512570453522,0.899318207861354,0.931255317360892,0.989909984062422,0.959272656287082,0.949008891450819,0.952995724449727,0.967714665046778,0.863296543999289,0.975467903434211,0.729748036766991,0.962250517449622,0.987702533633006,0.97702641788169,0.979435588519677,0.986434087932216,2.39900886861556e-06,2.66899180551143e-05,1.90128343836106e-06,3.08005259172873e-06,4.80808871092891e-05,1.65233268198977e-06,5.79512379861823e-06,7.90204441517466e-05,6.82026661306639e-06,1.74735735287961e-06,1.37949992437686e-06,0.0256543168998696,1.07505591137764e-06,3.93001621195848e-06,1.70701059052457e-05,1.82256124755747e-06,6.82042388697121e-06,1.05779217910887e-06,3.22130124653689e-06,5.78862990452172e-06,7.79422493587517e-06,2.0563676044512e-05,8.41813263219132e-07,2.26107393424642e-07,3.79783310665528e-06,1.36856763630683e-06,6.66752970964541e-05,5.14093944097427e-06,0.000201836998736976,1.79554708242628e-06,7.78539216850161e-06,5.45688513012883e-06,3.66199859557685e-06,1.1423827751821e-05,3.37183682103728e-06,2.16338567458349e-06,4.66713832415862e-06,1.80127598357719e-06,1.26650760274299e-05,1.6553008545631e-06,6.2512855337159e-06,6.24509607702665e-06,3.04135598764673e-06,2.27048632544869e-05,2.13514839380595e-06,0.000206460339888277,3.81268139506406e-06,7.85864987018272e-06,3.35243919165772e-06,3.80296106397618e-06,5.2531058921288e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.90874845620025e-07,1.30945335183334e-05,3.26357660400861e-06,1.20282393094196e-06,2.13193594603362e-06,1.02693300275153e-06,9.23602277304744e-07,1.73498561065245e-06,2.21388741277104e-05,0.000118283023108273,2.76928858715818e-06,0.000162566253188899,7.86721102034703e-07,1.27090722222142e-05,6.4512827767443e-06,2.29812047803937e-06,1.43551652757573e-05,-2333.49597890714,0
0.0657894736842105,1,0.298380533851079,0.984531765697423,9.7,3.35347757315407,0.563856465612206,0.316419274325921,0.000305502537012538,1,3.14643871134491,0.936227436140569,0.979267101425632,0.982645710665223,0.853054753853537,0.976326066113722,0.980993274925348,0.967758562740656,0.956418485147298,0.958956758923218,0.958683590030268,0.872393720741036,0.991746678020014,0.697316911033968,0.967299631576312,0.983713351483727,0.958781071734693,0.95957299912069,0.978724609037744,1.6522510433537e-06,3.59930679857502e-05,4.34737416871491e-06,4.40293894135726e-06,1.74624853084059e-05,1.36585862549636e-06,8.39122379261091e-06,7.81440125714161e-05,6.29002382664593e-06,3.23865713688524e-06,1.09015472984282e-06,0.0175317862349706,1.95591070318584e-06,1.56459712844783e-06,1.37170008785013e-05,3.0113537536299e-06,6.19695953947841e-06,8.57410896539342e-07,2.00338693589434e-06,3.84953940613736e-06,2.19819240902243e-06,1.32870713530927e-05,7.42203413919698e-07,5.14116154848858e-07,8.20834460635938e-06,2.30571552919675e-06,7.24152573479093e-05,3.73777312693395e-06,6.05937519841223e-05,8.58258225734454e-07,5.3335259873156e-06,4.5324446042298e-06,2.12405094064661e-06,1.15676594980718e-05,3.6008307650917e-06,3.23570924114899e-06,3.40555789247242e-06,1.30044155017239e-06,1.39305357768645e-05,3.76400467723662e-06,4.03454317040804e-06,1.27001541840105e-05,1.13032762463326e-05,1.98961958256587e-05,1.59818314877504e-06,0.000354913924448923,4.41522559390596e-06,5.97768816812532e-06,9.07966624885746e-06,1.53244524646267e-06,7.63077947626309e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02299921245384e-07,1.6083480363626e-05,9.39969908357347e-07,2.22702775718796e-06,1.21770122579037e-05,6.4515612639166e-07,1.98322602964208e-06,5.10718429531136e-07,5.17118958086774e-05,9.1768965020097e-05,1.96836183037124e-06,5.81334161618304e-05,5.16073805155083e-07,1.68422683757121e-05,8.79577063730737e-06,3.5545745341148e-06,2.49184169659785e-05,-1740.94983708281,0
0.05,1,0.248159755185685,0.98584003749485,9.7,3.77558271246119,0.555506972077667,0.278779796894166,0.000473326951646593,1,0.353617919193325,0.98863937851312,0.971281754585608,0.971091400429499,0.955890158100319,0.918304205869537,0.985704684141148,0.963289156627551,0.922726702633858,0.952873574672034,0.974421561100709,0.943736628034612,0.975244677893061,0.668840246658908,0.947466506533416,0.984338243995659,0.972580357193443,0.941493295425564,0.977598725232687,1.72145042959499e-06,2.30208937113764e-05,2.76273415204903e-06,3.4596906904395e-06,1.7695057447983e-05,1.13712722757328e-06,2.95019407121546e-06,9.11368148193639e-05,2.52335064466586e-06,2.30630794864148e-06,3.66978330025753e-07,0.0236441059041791,2.4241769678987e-06,3.13605596494238e-06,1.9540189882905e-05,1.15329662066571e-06,5.76318978550171e-06,9.43046933337566e-07,4.24766168860562e-06,3.91759738748372e-06,2.69244983067396e-06,2.01294490290624e-05,7.24138274955114e-07,1.15005648622395e-06,9.47327295903835e-06,1.51460814470359e-06,3.69079513441e-05,1.81185257708985e-06,7.36978548280843e-05,1.13675239266617e-06,9.69757213673238e-06,6.52699411094475e-06,1.35896037119832e-06,1.41046309873771e-05,2.25680669031978e-06,1.37176178288507e-06,4.50752593164943e-06,2.57293315369009e-06,1.50762933317275e-05,8.71762491793625e-06,2.25953268715252e-06,3.56251753575141e-06,1.18367695042177e-05,1.91394373716941e-05,2.137659192202e-06,0.000305505814947588,2.08187743753944e-06,5.92307944185905e-06,2.19295408873691e-06,3.8097893061172e-06,1.25005990225379e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52458869484339e-07,1.54958744301949e-05,1.31224669840774e-06,3.25861137748557e-06,4.89602228655802e-06,9.34904600188566e-07,4.1934997554904e-06,1.21625239704278e-06,4.54279646978442e-05,0.000125943713040604,3.88116634770853e-06,3.92224827746144e-05,1.31844635309406e-06,2.49825981933077e-05,5.1516464204305e-06,4.92963624864373e-06,1.42166996181715e-05,-1738.33964283852,0
0.0815789473684211,1,0.410212189911796,0.987592258022818,9.7,2.25588865280393,0.618038955580475,0.385990108717564,8.36872489997778e-05,1,0.871707079399606,0.965552735612843,0.970401804590889,0.981520876794225,0.934418508826443,0.935684310243248,0.983562843295782,0.971961814770735,0.958943903057331,0.98968973218619,0.97841535056579,0.930343404497899,0.975110419948241,0.697690296454645,0.976719249211354,0.971534236996921,0.973246445499412,0.887255013120526,0.974146305313675,9.17353511599601e-07,2.12154283433605e-05,2.15928594539003e-06,3.05799967961326e-06,3.94831654381676e-05,1.23090660275859e-06,6.01946427332185e-06,3.72325521922786e-05,9.28336228388518e-06,5.76041251111698e-06,5.6887689225138e-07,0.0233823359337282,5.63401583500911e-07,1.90030488473475e-06,1.18543751529704e-05,3.16929371678514e-06,1.4454668857452e-06,9.16917318374996e-07,4.32712612092665e-06,5.45582033700106e-06,5.4424972146945e-06,2.0952350568664e-05,4.70554114145421e-07,1.00523326658665e-06,1.08106944241354e-05,1.40791774883816e-06,3.52627375550149e-05,4.8852086919567e-06,0.000201978231037589,1.71835729954657e-06,3.40254611870939e-06,2.66259103292162e-06,1.81763023010859e-06,1.8654348308038e-05,1.28153030948369e-06,2.28617976560386e-06,6.95573318978039e-06,2.25149535692168e-06,3.8438286403862e-06,6.63351307148942e-06,1.75303272571461e-06,1.75926143652901e-06,9.01358736710994e-06,2.19751606455807e-05,2.5028860449482e-06,0.000630285627339609,3.92003422793458e-06,5.17607154081654e-06,3.14487329207439e-06,4.3215247743064e-06,5.42168839009522e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84402194055733e-07,8.66451602350874e-06,1.97341846779132e-06,3.42263574185516e-06,5.0720212155039e-06,1.0019841977646e-06,5.66201960939236e-06,9.75555785292613e-07,1.53802107339494e-05,5.70944863750735e-05,2.17716833328817e-06,7.76343187931424e-05,2.33749533835918e-06,2.62783068367786e-05,6.60561140701945e-06,1.18678924188356e-06,1.01882458816605e-05,-2352.33971569797,0
0.128947368421053,1,0.310642047635625,0.928460150484214,9.7,2.32842378893244,0.50572270073484,0.311706383887953,0.000252083992166656,1,1.90641188602891,0.946852597858237,0.964693839052885,0.97890770746647,0.958201850759156,0.954691929739269,0.981993253782038,0.976922588834013,0.956670788427183,0.968029215936584,0.95551272555676,0.866881706457754,0.990433440552141,0.818281497244552,0.955451088091095,0.971697062499155,0.9715880670271,0.958542611386046,0.956472930304312,1.7988227456565e-06,1.76536589735327e-05,3.55019423753664e-06,4.17484507122234e-06,4.26943074234552e-05,8.33873084696714e-07,6.92829191110017e-06,8.66681516560424e-05,9.81174832640837e-06,3.96369223489093e-06,5.65939290254318e-07,0.0133697397574353,1.41304193441492e-06,3.35646572020954e-06,1.56078823374036e-05,2.37433724278879e-06,6.20992051655745e-06,4.90826359061124e-07,1.22942893420021e-06,9.0508434119159e-06,9.40553512426361e-06,1.10516111476297e-05,4.44718325888482e-07,1.49459770670386e-06,5.88184745206782e-06,7.1049245196767e-07,3.50917587384935e-05,4.67069836283021e-06,0.000133666543213581,1.10709664118089e-06,6.48730210192883e-06,6.81329939017947e-06,2.85429871179479e-06,1.48067125777151e-05,1.05362210165527e-06,8.89082194502779e-07,2.37454259413155e-06,1.11027494365251e-06,1.25147124078605e-05,4.39753949093045e-06,1.92060151371966e-06,6.66101098560062e-06,7.17853217331972e-06,1.60217184095753e-05,4.41937033881218e-06,0.000379708218895097,3.41204517613159e-06,5.29103771156145e-06,1.21362522173054e-06,1.88942348553665e-06,4.49179778288012e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22870898047008e-07,1.58234983358014e-05,2.11447882422366e-06,2.89490757744115e-06,6.69680004909287e-06,5.97465876038749e-07,3.8753719686516e-06,1.14486884222795e-06,2.38750594584369e-05,0.000103945251934266,3.19221250482307e-06,4.94550619578975e-05,1.56389330534584e-06,1.71692306086128e-05,6.08579729159519e-06,1.80567905016834e-06,1.50775822719817e-05,-2311.56116054951,0
0.0973684210526316,1,0.364563062716335,0.951373773504192,9.7,2.4472632492721,0.527768813659441,0.329742264982154,0.00022906436131585,1,0.375925317759109,0.995590057226924,0.957988211739663,0.958242003930036,0.975475519897991,0.9845381439089,0.99291038642102,0.97254818039599,0.973525092590225,0.959160783319347,0.938158802220797,0.942673197133952,0.985440253715853,0.723203193205015,0.970443736701856,0.985069307652052,0.942231280261424,0.976329357746074,0.970942559071528,2.31219602963953e-06,2.60126092368539e-05,3.72137524702547e-06,2.73383377854797e-06,6.19722499848426e-05,1.48898474332915e-06,9.27562637228705e-07,7.23618263183554e-05,3.88086845203422e-06,3.67501295244877e-06,7.12099514441699e-07,0.0125470512380421,4.41452673361227e-06,5.90733134821601e-07,1.94730299329691e-05,5.35991117154299e-07,8.70104698129945e-06,6.67318868433649e-07,3.54311856440486e-06,5.60997540309834e-06,4.62698171309056e-06,1.75904142506596e-05,5.11589751808013e-07,1.15043289423482e-06,3.72019852553206e-06,1.62700515255285e-06,2.78869145687958e-05,5.74475867644273e-06,0.000259397505800535,8.84249258381779e-07,5.0620798436787e-06,2.82244126763391e-06,1.91779875805048e-06,1.07909339746294e-05,1.70818707125642e-06,2.7224277627708e-06,3.31557217011665e-06,1.27853367604558e-06,1.339402214713e-05,9.18249359032088e-06,1.47465221307566e-06,2.19746336226812e-06,4.95017196781531e-06,2.09583121457251e-05,1.90311157661084e-06,0.000376825060535322,3.0847038609625e-06,3.92917906347538e-06,1.18297000174441e-06,1.58094906281665e-06,5.89804398941071e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65682672357688e-07,2.30917514231284e-05,2.65536133632411e-06,4.00556903054673e-06,8.72296291074371e-06,6.23598718520671e-07,3.12030670395001e-06,6.4167354364067e-07,1.6214281967446e-05,9.72249593679718e-05,8.41743795728783e-07,0.00014187535025897,1.78474555348336e-06,1.42598365834473e-05,2.70063512133757e-06,1.44002763527899e-06,5.86885968587713e-06,-2331.57684955834,0
0.05,1,0.313465170963775,0.955557087620907,9.7,4.5659905258541,0.582861057096197,0.322238468196897,0.000354637903714612,1,3.39658848085271,0.990491036480388,0.945977590544512,0.979728320823526,0.961516873810139,0.952255792033826,0.984032409490331,0.975543784162208,0.942079274724376,0.978072946001161,0.9284836350112,0.89172984764306,0.990200916605206,0.822104229910519,0.973205082372712,0.979432334578501,0.954827452894953,0.961089604992421,0.969628984982725,2.15023614258715e-06,1.49234395646983e-05,3.50005670636407e-06,3.41453609815013e-06,6.14040242775001e-05,8.38715916122371e-07,7.41163393160843e-06,5.85756061804694e-05,8.91157702579522e-06,3.1943776829902e-06,4.47784464099397e-07,0.0184452252166888,1.20185614334215e-06,2.69595958623651e-06,1.23006744550034e-05,1.92979265444004e-06,6.0121609084688e-06,4.70127986756497e-07,1.09362362995533e-06,8.41433713838053e-06,7.53251659885604e-06,1.31633861509641e-05,3.23451730566743e-07,1.33716896252031e-06,8.06064835392284e-06,8.08667349469432e-07,3.66412807819954e-05,4.63566255732801e-06,9.97852583984852e-05,1.27084771915265e-06,6.95963896040715e-06,5.97699750530117e-06,2.40959186279386e-06,1.79105656816545e-05,1.21746756412487e-06,1.02538487686864e-06,2.47512523280261e-06,1.37577536632763e-06,1.38835689274858e-05,4.49593729749669e-06,2.10849604587089e-06,5.75174468133709e-06,7.44823820373457e-06,1.35601122423035e-05,4.23066744224253e-06,0.00035927483467412,3.77053617373455e-06,5.25934456682015e-06,2.00022626442263e-06,2.03184402515118e-06,5.06759927774287e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58289076219732e-07,2.13271754323161e-05,1.77833144331775e-06,3.03863754345089e-06,7.17214434283788e-06,6.30477910350847e-07,4.18210624562075e-06,1.18629837863555e-06,3.36207224108546e-05,0.000126676649372981,4.66655213273659e-06,4.63841759426934e-05,1.38298996565114e-06,2.33604172880045e-05,6.40495779774012e-06,1.57924183938276e-06,1.19847791913205e-05,-1753.36918416257,0
0.128947368421053,1,0.264557105435607,0.984334443775034,9.7,1.83190765342756,0.530276481149221,0.314728511967643,0.000185062120344528,1,0.372631469472287,0.981223965633842,0.960218594095795,0.985229546520955,0.893601629412459,0.942895414802747,0.981939371617551,0.981994378070962,0.973821798159106,0.966135443077253,0.960889477214775,0.923130330688359,0.983898213831656,0.871777775530635,0.96224488108787,0.973937545492262,0.959546305242619,0.961869357125543,0.975031111968527,1.61365360097107e-06,1.32437063682023e-05,2.21535622797506e-06,3.63887637021758e-06,5.61809996790915e-05,4.49953068058959e-07,4.30742037862655e-06,4.77547455582602e-05,2.72307885639273e-06,1.85375390735015e-06,1.00030419849155e-06,0.0224021371426594,3.67084381763723e-06,1.28187010231709e-06,1.18587811747115e-05,8.88569517653273e-07,5.7794133038715e-06,7.53553878781093e-07,5.26711136343755e-06,6.22057257747681e-06,6.44741862035341e-06,1.48334894220289e-05,1.23972569824041e-06,4.97738003297807e-07,8.74096255138552e-06,1.05281699470191e-06,4.75412777682119e-05,5.36879748953808e-06,0.000179592512575451,1.53973436639238e-06,4.35871749868307e-06,3.53135931121228e-06,1.58372374787169e-06,1.71050213503288e-05,3.50205628520665e-06,1.27419744022595e-06,6.44929102279305e-06,3.01964188754545e-06,1.54976599028011e-05,7.51151581369773e-06,6.4501483252797e-06,6.75779574658407e-06,1.00715257720913e-05,2.17509546382419e-05,2.95368951952527e-06,0.000381990988608613,2.26911275298707e-06,5.74873136055709e-06,3.78368378664045e-06,3.64931435007717e-06,3.38681619796523e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77671485608972e-07,1.12237678245584e-05,1.16358118023061e-06,2.35189050482931e-06,3.50830463846074e-06,2.31140992915774e-07,1.77885329173558e-06,4.60623575954695e-07,2.67783144929884e-05,8.59984812715854e-05,1.76761727539102e-06,5.12316128089212e-05,8.65402631877808e-07,1.55567560119518e-05,2.64176301356328e-06,2.63609535897781e-06,5.53241103306616e-06,-2309.65002027655,0
0.144736842105263,1,0.348275323553832,0.970035239657114,9.7,1.9037447601827,0.52164314541135,0.335588908319006,0.000152453299733891,1,0.754334125870196,0.988712137020717,0.95400727370523,0.957392847697478,0.91155961805984,0.968201938708702,0.964213431242399,0.98543200975238,0.947632636039995,0.979380597973459,0.939035250707017,0.916561780445496,0.987460638877987,0.793264001657547,0.972694132247104,0.993229280045418,0.976690812958573,0.883055357941356,0.988961843563286,2.94570104133925e-06,1.43704756287159e-05,5.62231488277107e-06,1.8287135605842e-06,4.195875931817e-05,2.02516402840188e-06,6.71003479573071e-06,4.22693429981421e-05,4.73382166644186e-06,5.61883167418722e-06,8.25094064822207e-07,0.0146059515084112,5.83352615060055e-07,1.42233927158116e-06,1.3412287069262e-05,2.2211460041321e-06,1.46024421403228e-06,4.94495231932951e-07,1.71236014388673e-06,8.14946044832166e-06,5.33649026063629e-06,2.45458760445168e-05,7.31217590473403e-07,5.02434225726428e-07,3.98430838082736e-06,9.95291851231639e-07,4.42029143547507e-05,4.31155958452675e-06,0.000139257486160951,5.57304338443538e-07,5.09219794687493e-06,4.04893569802918e-06,2.25587260776992e-06,1.24528851804824e-05,1.91421784862965e-06,4.83901141477707e-07,3.37625435229555e-06,1.3823557886595e-06,8.83586609373412e-06,3.21626355270305e-06,5.23418473040476e-06,9.26457825450219e-06,4.66214901568437e-06,1.44615840768759e-05,3.0997473505812e-06,0.000439055897258256,3.47743049661654e-06,1.12440881224967e-05,4.4518929374093e-06,2.28247880141734e-06,6.19721825960517e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18327340903869e-07,4.88903564604477e-06,4.38512709679088e-06,9.85637181197372e-07,1.22864331287506e-05,4.38858274644513e-07,2.71887457655756e-06,6.02295975382745e-07,3.29207478107474e-05,7.63408160354103e-05,1.58479887970238e-06,0.000135035503218694,3.61340389092374e-07,1.65227160681481e-05,7.69230317887712e-06,1.55034719877264e-06,8.28343167266534e-06,-1702.84395993348,0
