kappa,alpha,gamma,sigma,psi,g,R0IN,qua,quawh,qualow,rho,omega,S1_0,S2_0,S3_0,S4_0,S5_0,S6_0,S7_0,S8_0,S9_0,S10_0,S11_0,S12_0,S13_0,S14_0,S15_0,S16_0,S17_0,E1_0,E2_0,E3_0,E4_0,E5_0,E6_0,E7_0,E8_0,E9_0,E10_0,E11_0,E12_0,E13_0,E14_0,E15_0,E16_0,E17_0,I1_0,I2_0,I3_0,I4_0,I5_0,I6_0,I7_0,I8_0,I9_0,I10_0,I11_0,I12_0,I13_0,I14_0,I15_0,I16_0,I17_0,R1_0,R2_0,R3_0,R4_0,R5_0,R6_0,R7_0,R8_0,R9_0,R10_0,R11_0,R12_0,R13_0,R14_0,R15_0,R16_0,R17_0,J1_0,J2_0,J3_0,J4_0,J5_0,J6_0,J7_0,J8_0,J9_0,J10_0,J11_0,J12_0,J13_0,J14_0,J15_0,J16_0,J17_0,P1_0,P2_0,P3_0,P4_0,P5_0,P6_0,P7_0,P8_0,P9_0,P10_0,P11_0,P12_0,P13_0,P14_0,P15_0,P16_0,P17_0,loglik,loglik.se
1.194736842,1,0.325946323,0.136413502,0.803025632,9.7,1.87410407,0.4448134,0.242535213,0.000396195,1,0.986583274,0.968742947,0.959315084,0.89653101,0.93603513,0.986758588,0.973258153,0.935834424,0.950698351,0.97712006,0.906906409,0.97061351,0.785922941,0.977106768,0.984476863,0.971068983,0.970270741,0.985330797,2.29E-06,1.70E-05,1.78E-06,4.04E-06,5.31E-05,1.59E-06,4.58E-06,9.16E-05,5.81E-06,2.11E-06,1.43E-06,0.014860139,1.16E-06,1.91E-06,1.51E-05,1.30E-06,6.57E-06,9.72E-07,3.73E-06,6.07E-06,5.83E-06,2.13E-05,1.51E-06,2.92E-07,2.65E-06,8.29E-07,5.09E-05,6.05E-06,0.000150177,1.29E-06,8.02E-06,4.05E-06,3.19E-06,1.57E-05,2.31E-06,2.35E-06,5.40E-06,2.35E-06,1.04E-05,1.88E-06,4.60E-06,7.44E-06,3.08E-06,3.02E-05,2.41E-06,0.000233021,4.13E-06,6.88E-06,4.05E-06,3.05E-06,7.24E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29E-07,1.36E-05,2.82E-06,9.84E-07,1.58E-06,7.86E-07,8.36E-07,1.06E-06,1.77E-05,7.73E-05,2.02E-06,0.000145699,9.09E-07,1.33E-05,6.19E-06,2.29E-06,1.21E-05,-1680.985491,0
0.747368421,1,0.316242042,0.154145039,0.891011593,9.7,1.605967821,0.465606966,0.262859201,0.000248315,1,0.998715724,0.969265077,0.971439621,0.946731108,0.947939498,0.951828268,0.984397005,0.920191133,0.98567468,0.984252194,0.956192011,0.983316738,0.780441978,0.976599845,0.992391684,0.949151896,0.919812434,0.961282453,2.46E-06,1.87E-05,3.50E-06,2.51E-06,4.97E-05,2.94E-06,3.48E-06,0.00011683,3.01E-06,6.83E-06,2.74E-07,0.017595788,4.46E-06,4.12E-06,8.17E-06,1.68E-06,7.18E-06,9.93E-07,4.38E-06,8.98E-06,5.28E-06,2.10E-05,3.47E-07,1.31E-06,5.08E-06,1.15E-06,2.86E-05,7.13E-06,0.000156463,1.83E-06,4.53E-06,6.74E-06,1.38E-06,8.32E-06,1.75E-06,1.51E-06,6.33E-06,2.16E-06,1.14E-05,9.37E-06,1.66E-06,5.81E-06,4.89E-06,1.00E-05,2.67E-06,0.000126934,3.04E-06,9.49E-06,3.09E-06,2.96E-06,4.31E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57E-07,8.07E-06,3.13E-06,3.67E-06,3.93E-06,3.14E-07,5.17E-06,1.04E-06,2.82E-05,5.34E-05,3.75E-06,0.000110797,1.38E-06,2.08E-05,5.49E-06,2.04E-06,9.54E-06,-1685.383898,0
1.284210526,1,0.327270534,0.137994318,0.830762948,9.7,1.677344224,0.456331989,0.247394096,0.000311794,1,0.971301534,0.96772719,0.951462226,0.903907723,0.912577442,0.986271727,0.97233362,0.949231278,0.960834547,0.96670395,0.888898364,0.971954856,0.728751008,0.968172139,0.988106593,0.973694694,0.97898899,0.991477333,2.33E-06,2.48E-05,2.08E-06,3.07E-06,5.94E-05,1.94E-06,6.65E-06,9.37E-05,6.21E-06,2.03E-06,1.40E-06,0.01810592,1.14E-06,2.69E-06,1.43E-05,1.27E-06,5.76E-06,9.94E-07,3.56E-06,5.91E-06,8.45E-06,2.42E-05,1.02E-06,2.96E-07,3.01E-06,1.30E-06,5.70E-05,4.90E-06,0.00016666,1.66E-06,7.55E-06,4.09E-06,2.68E-06,1.08E-05,3.13E-06,2.60E-06,4.89E-06,1.97E-06,1.07E-05,1.81E-06,6.71E-06,7.09E-06,2.41E-06,2.94E-05,1.98E-06,0.000269151,3.83E-06,6.01E-06,4.71E-06,3.24E-06,5.46E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48E-07,1.05E-05,2.79E-06,9.11E-07,2.20E-06,7.47E-07,1.29E-06,1.04E-06,2.10E-05,0.000100366,2.28E-06,0.000167152,9.27E-07,9.76E-06,6.38E-06,1.96E-06,1.41E-05,-1685.400511,0
1.015789474,1,0.239754668,0.189898,0.90553394,9.7,1.648087714,0.465640569,0.266397433,0.000294037,1,0.935695174,0.960509735,0.976976947,0.960934681,0.956715257,0.984459367,0.971921997,0.931645196,0.965335749,0.94767189,0.900853899,0.989970367,0.826497291,0.973979298,0.98400444,0.960253415,0.940025464,0.969970639,2.02E-06,1.46E-05,4.22E-06,2.98E-06,5.10E-05,6.89E-07,7.58E-06,5.50E-05,7.52E-06,2.84E-06,4.23E-07,0.019259776,1.30E-06,2.02E-06,1.17E-05,2.06E-06,9.30E-06,4.71E-07,1.03E-06,4.87E-06,6.92E-06,1.48E-05,3.88E-07,9.11E-07,8.13E-06,7.94E-07,4.36E-05,4.81E-06,0.000136677,1.29E-06,5.15E-06,6.19E-06,2.37E-06,1.48E-05,1.04E-06,9.97E-07,2.62E-06,1.28E-06,1.10E-05,4.36E-06,2.55E-06,4.48E-06,6.58E-06,1.80E-05,4.01E-06,0.000352641,3.18E-06,4.69E-06,2.14E-06,2.77E-06,5.71E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42E-07,1.69E-05,2.07E-06,2.17E-06,6.29E-06,4.57E-07,3.65E-06,9.73E-07,3.78E-05,0.000108872,3.19E-06,3.92E-05,1.12E-06,1.86E-05,4.90E-06,1.91E-06,1.17E-05,-1685.522617,0
0.657894737,1,0.319875573,0.15537244,0.848860957,9.7,1.518623391,0.466286106,0.264715475,0.000246975,1,0.990365749,0.973026802,0.949871688,0.909686225,0.927703412,0.985770798,0.966377176,0.933322419,0.952894962,0.968781467,0.90818053,0.977772743,0.738346741,0.968728912,0.987741516,0.97342715,0.97459914,0.990066313,2.45E-06,2.51E-05,2.53E-06,3.74E-06,5.58E-05,1.84E-06,4.76E-06,0.000105557,7.59E-06,1.62E-06,1.31E-06,0.017892739,1.53E-06,2.90E-06,1.94E-05,1.90E-06,8.31E-06,9.43E-07,3.30E-06,5.53E-06,6.56E-06,1.65E-05,7.82E-07,3.38E-07,2.03E-06,9.24E-07,5.94E-05,5.05E-06,0.000162318,1.27E-06,6.57E-06,4.61E-06,3.25E-06,7.44E-06,2.92E-06,2.38E-06,5.65E-06,1.91E-06,1.37E-05,1.82E-06,4.51E-06,6.50E-06,2.04E-06,2.73E-05,1.96E-06,0.000260819,3.37E-06,6.01E-06,4.17E-06,3.84E-06,5.45E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76E-07,1.04E-05,4.33E-06,1.17E-06,1.87E-06,1.04E-06,1.17E-06,1.09E-06,2.76E-05,0.000118027,2.71E-06,0.000134072,1.25E-06,1.26E-05,8.37E-06,2.64E-06,1.19E-05,-1685.545215,0
1.463157895,1,0.239411005,0.17832569,0.839715958,9.7,1.716474232,0.465945591,0.262287459,0.000302117,1,0.992598577,0.966529282,0.975562134,0.955795945,0.948315931,0.981217778,0.978476449,0.953815468,0.962695896,0.942988499,0.835238113,0.988922461,0.849844242,0.975375778,0.978646101,0.969208869,0.95813922,0.968102883,1.76E-06,1.06E-05,3.16E-06,3.15E-06,5.19E-05,7.46E-07,1.13E-05,8.53E-05,6.73E-06,2.25E-06,4.72E-07,0.019306816,1.27E-06,3.70E-06,9.99E-06,2.10E-06,7.65E-06,4.55E-07,1.53E-06,5.86E-06,7.84E-06,1.14E-05,3.68E-07,9.03E-07,8.62E-06,9.52E-07,3.78E-05,5.63E-06,0.000154405,1.23E-06,7.48E-06,5.79E-06,2.12E-06,1.55E-05,1.65E-06,9.48E-07,2.35E-06,1.27E-06,1.41E-05,4.82E-06,2.40E-06,3.97E-06,6.63E-06,1.13E-05,3.83E-06,0.000358542,4.13E-06,4.18E-06,1.91E-06,2.07E-06,5.88E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62E-07,1.59E-05,1.89E-06,2.88E-06,5.75E-06,7.04E-07,4.02E-06,1.27E-06,3.49E-05,8.23E-05,3.56E-06,3.83E-05,1.65E-06,2.27E-05,5.56E-06,1.67E-06,1.28E-05,-1685.863436,0
0.926315789,1,0.302284501,0.154973183,0.857755169,9.7,1.587959137,0.466296144,0.260973555,0.000251143,1,0.990586303,0.967215205,0.975227854,0.907314525,0.939610392,0.981049567,0.971422794,0.961836691,0.98812395,0.977722217,0.917262899,0.971454083,0.762597348,0.974387721,0.966742526,0.975661871,0.87302418,0.957530625,5.31E-07,2.30E-05,2.46E-06,2.85E-06,5.76E-05,9.94E-07,5.40E-06,2.08E-05,8.21E-06,4.10E-06,1.06E-06,0.019161203,8.54E-07,2.34E-06,1.06E-05,2.34E-06,1.17E-06,6.99E-07,2.83E-06,8.44E-06,4.17E-06,1.58E-05,5.22E-07,9.33E-07,8.23E-06,1.15E-06,3.85E-05,4.99E-06,0.00019456,2.29E-06,3.56E-06,2.61E-06,1.86E-06,1.59E-05,1.23E-06,2.09E-06,8.18E-06,2.52E-06,3.17E-06,6.69E-06,1.83E-06,1.82E-06,9.02E-06,3.27E-05,1.59E-06,0.000499583,3.06E-06,6.89E-06,2.38E-06,3.04E-06,5.72E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13E-07,6.86E-06,2.42E-06,3.71E-06,5.64E-06,7.10E-07,7.38E-06,5.35E-07,1.80E-05,7.57E-05,2.42E-06,6.94E-05,2.27E-06,1.81E-05,5.82E-06,1.39E-06,1.09E-05,-1686.078972,0
0.568421053,1,0.162233049,0.276302201,0.813080813,9.7,1.673709752,0.518365442,0.316019797,0.000164482,1,0.934559591,0.978616353,0.963818477,0.885812044,0.922757381,0.965510283,0.939951422,0.976257219,0.990058861,0.971506546,0.920343898,0.976566044,0.668090195,0.952624185,0.99109359,0.931186506,0.899950276,0.986249967,2.99E-06,2.52E-05,2.30E-06,2.46E-06,3.70E-05,1.70E-06,3.41E-06,2.21E-05,4.77E-06,4.75E-06,1.10E-06,0.019102817,3.06E-06,1.23E-06,2.17E-05,9.74E-07,2.41E-06,8.34E-07,3.26E-06,9.39E-06,4.30E-06,3.09E-05,7.03E-07,5.98E-07,3.38E-06,1.64E-06,7.37E-05,2.21E-06,5.32E-05,2.07E-06,3.69E-06,3.64E-06,1.37E-06,9.57E-06,2.57E-06,1.88E-06,5.94E-06,2.75E-06,7.22E-06,1.07E-05,4.01E-06,8.90E-06,3.69E-06,2.81E-05,2.86E-06,0.000470291,1.66E-06,7.77E-06,3.84E-06,3.49E-06,8.76E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58E-07,8.39E-06,4.00E-06,8.93E-07,2.05E-06,8.77E-07,1.58E-06,5.96E-07,4.82E-05,8.09E-05,1.37E-06,8.30E-05,8.94E-07,1.50E-05,2.50E-06,3.55E-06,2.06E-05,-1686.204687,0
1.194736842,1,0.322225697,0.138186458,0.88342039,9.7,1.544097051,0.462733857,0.248370859,0.000280189,1,0.968273494,0.968854089,0.986030941,0.878784989,0.930263372,0.981181952,0.981727863,0.974257344,0.967330979,0.976935747,0.919746084,0.974733529,0.865354343,0.977383906,0.967365284,0.956540108,0.970184531,0.971853514,1.54E-06,1.59E-05,2.14E-06,3.31E-06,7.10E-05,7.14E-07,3.95E-06,5.11E-05,4.33E-06,1.89E-06,1.34E-06,0.025298551,2.95E-06,1.40E-06,1.34E-05,7.02E-07,6.15E-06,1.11E-06,4.57E-06,6.33E-06,6.38E-06,1.48E-05,9.08E-07,3.90E-07,6.19E-06,8.28E-07,5.54E-05,5.41E-06,0.000201743,1.42E-06,4.50E-06,3.70E-06,1.35E-06,1.56E-05,2.98E-06,1.10E-06,5.10E-06,2.82E-06,1.48E-05,6.54E-06,4.94E-06,8.12E-06,6.53E-06,1.89E-05,3.09E-06,0.000375713,2.30E-06,6.73E-06,3.16E-06,4.08E-06,3.19E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06E-06,1.54E-05,1.47E-06,2.15E-06,2.93E-06,1.68E-07,1.97E-06,4.88E-07,2.96E-05,7.65E-05,1.72E-06,5.22E-05,8.68E-07,1.33E-05,2.20E-06,1.71E-06,5.34E-06,-1686.541948,0
1.284210526,1,0.238927692,0.176969371,0.848151686,9.7,1.522740084,0.481420655,0.267763776,0.000227054,1,0.992528246,0.960188654,0.984749844,0.920248146,0.952253834,0.984233205,0.983415915,0.981856094,0.959273416,0.954949858,0.927677484,0.968856407,0.824708655,0.973810988,0.976443325,0.950461703,0.963713074,0.977987224,1.28E-06,1.91E-05,1.99E-06,3.45E-06,7.31E-05,4.80E-07,5.56E-06,5.41E-05,3.26E-06,2.07E-06,1.26E-06,0.02520318,3.37E-06,1.92E-06,1.11E-05,1.04E-06,8.10E-06,1.09E-06,3.11E-06,5.83E-06,6.88E-06,1.44E-05,1.20E-06,4.08E-07,6.83E-06,8.92E-07,6.24E-05,5.42E-06,0.00021437,1.40E-06,5.43E-06,3.57E-06,1.28E-06,1.76E-05,3.80E-06,1.60E-06,4.81E-06,3.12E-06,1.60E-05,6.91E-06,5.19E-06,8.56E-06,7.32E-06,2.10E-05,3.73E-06,0.000522246,2.69E-06,5.81E-06,4.11E-06,3.55E-06,3.46E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84E-07,9.55E-06,1.44E-06,2.83E-06,3.54E-06,1.99E-07,1.84E-06,4.11E-07,2.36E-05,7.14E-05,1.70E-06,5.82E-05,5.12E-07,1.77E-05,2.47E-06,1.89E-06,4.79E-06,-1686.974765,0
