omega,alpha,gamma,sigma,psi,g,R0IN,qua,quawh,qualow,rho,kappa,S1_0,S2_0,S3_0,S4_0,S5_0,S6_0,S7_0,S8_0,S9_0,S10_0,S11_0,S12_0,S13_0,S14_0,S15_0,S16_0,S17_0,E1_0,E2_0,E3_0,E4_0,E5_0,E6_0,E7_0,E8_0,E9_0,E10_0,E11_0,E12_0,E13_0,E14_0,E15_0,E16_0,E17_0,I1_0,I2_0,I3_0,I4_0,I5_0,I6_0,I7_0,I8_0,I9_0,I10_0,I11_0,I12_0,I13_0,I14_0,I15_0,I16_0,I17_0,R1_0,R2_0,R3_0,R4_0,R5_0,R6_0,R7_0,R8_0,R9_0,R10_0,R11_0,R12_0,R13_0,R14_0,R15_0,R16_0,R17_0,J1_0,J2_0,J3_0,J4_0,J5_0,J6_0,J7_0,J8_0,J9_0,J10_0,J11_0,J12_0,J13_0,J14_0,J15_0,J16_0,J17_0,P1_0,P2_0,P3_0,P4_0,P5_0,P6_0,P7_0,P8_0,P9_0,P10_0,P11_0,P12_0,P13_0,P14_0,P15_0,P16_0,P17_0,loglik,loglik.se
0.808947368,1,0.315040897,0.146472962,0.946273901,9.7,1.873719361,0.452341393,0.250540474,0.000396874,1,0.818392588,0.964972934,0.980814562,0.891855062,0.981915385,0.971872893,0.972327133,0.942614951,0.980026431,0.959649704,0.937020107,0.980951697,0.748453808,0.976229058,0.96683071,0.946953275,0.893915297,0.984225572,1.41E-06,2.92E-05,3.38E-06,2.04E-06,6.88E-05,1.07E-06,2.84E-06,8.62E-05,3.28E-06,4.13E-06,2.12E-06,0.013435596,5.75E-06,3.25E-06,1.99E-05,1.08E-06,4.08E-06,8.17E-07,2.06E-06,7.06E-06,7.38E-06,1.29E-05,9.33E-07,3.22E-07,1.15E-05,1.10E-06,3.78E-05,5.47E-06,0.000221825,6.31E-07,2.31E-06,4.23E-06,1.14E-06,9.72E-06,3.41E-06,3.21E-06,2.89E-06,6.80E-07,3.90E-06,5.93E-06,6.79E-06,7.23E-06,1.04E-05,1.86E-05,2.24E-06,0.000215447,2.29E-06,1.14E-05,6.15E-06,1.31E-06,3.25E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00E-07,7.30E-06,1.31E-06,1.45E-06,8.92E-06,6.08E-07,1.99E-06,8.55E-07,2.18E-05,6.26E-05,3.79E-06,9.48E-05,8.91E-07,9.78E-06,2.91E-06,1.33E-06,6.48E-06,-1698.551777,0
0.808947368,1,0.311409567,0.187300857,0.958323853,9.7,1.375145422,0.484325942,0.288558806,0.000195488,1,0.164035565,0.981032495,0.983199966,0.879271338,0.978538907,0.980713881,0.959304983,0.965812083,0.963214262,0.959244991,0.896144121,0.993639501,0.666121487,0.955484965,0.980739419,0.970592188,0.954431082,0.983113217,1.57E-06,3.10E-05,5.74E-06,5.36E-06,1.75E-05,1.48E-06,7.87E-06,8.27E-05,8.86E-06,3.92E-06,1.24E-06,0.017594451,2.06E-06,1.52E-06,2.24E-05,2.90E-06,8.02E-06,5.93E-07,2.97E-06,4.78E-06,2.58E-06,1.80E-05,6.51E-07,6.00E-07,8.28E-06,1.73E-06,6.13E-05,3.60E-06,5.73E-05,1.22E-06,5.34E-06,3.93E-06,1.97E-06,1.33E-05,2.32E-06,2.87E-06,3.48E-06,1.42E-06,1.65E-05,3.31E-06,4.67E-06,9.26E-06,9.78E-06,2.07E-05,1.54E-06,0.00038801,4.53E-06,5.20E-06,7.74E-06,1.01E-06,9.42E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16E-07,1.57E-05,1.23E-06,1.98E-06,8.03E-06,9.26E-07,1.69E-06,5.37E-07,3.39E-05,7.89E-05,2.16E-06,5.21E-05,5.00E-07,1.37E-05,7.14E-06,3.23E-06,1.71E-05,-1691.495644,0
0.808947368,1,0.324289384,0.189824251,0.970922221,9.7,1.511056538,0.480284051,0.293889341,0.000178187,1,0.350890155,0.984533808,0.968661631,0.966116614,0.982385064,0.963093415,0.955504445,0.955766978,0.975508756,0.930650893,0.859922704,0.988609246,0.742283222,0.953940225,0.988294641,0.977295629,0.929532064,0.959641576,3.53E-06,2.45E-05,3.50E-06,1.75E-06,4.30E-05,1.59E-06,6.05E-06,0.000123735,5.70E-06,5.77E-06,4.85E-07,0.016733946,1.83E-06,3.22E-06,2.28E-05,1.95E-06,2.72E-06,4.80E-07,1.82E-06,1.11E-05,3.34E-06,2.90E-05,9.04E-07,9.06E-07,3.24E-06,1.75E-06,2.73E-05,2.87E-06,8.07E-05,9.67E-07,2.54E-06,5.48E-06,2.33E-06,7.20E-06,2.02E-06,2.30E-06,3.08E-06,1.15E-06,5.82E-06,2.29E-06,2.79E-06,4.23E-06,2.67E-06,2.48E-05,1.45E-06,0.000230568,4.13E-06,8.83E-06,1.34E-06,1.54E-06,6.45E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61E-07,6.78E-06,3.58E-06,4.16E-06,8.23E-06,6.20E-07,3.95E-06,8.65E-07,5.40E-05,5.45E-05,2.93E-06,8.74E-05,1.64E-06,2.45E-05,4.95E-06,3.16E-06,1.62E-05,-2314.960374,0
0.808947368,1,0.333736917,0.15159466,0.919670921,9.7,1.521104929,0.475915808,0.260998794,0.00021495,1,1.045868004,0.980212135,0.962603391,0.900738539,0.939438883,0.977879515,0.955523679,0.977724524,0.985643631,0.975428495,0.903362003,0.981679177,0.698142045,0.957411598,0.989473829,0.93785916,0.910370736,0.983910763,2.55E-06,1.69E-05,2.02E-06,1.72E-06,3.01E-05,1.83E-06,4.14E-06,3.24E-05,5.32E-06,5.61E-06,1.17E-06,0.022525756,3.80E-06,1.40E-06,1.57E-05,9.64E-07,2.23E-06,8.27E-07,3.73E-06,1.01E-05,3.27E-06,2.44E-05,8.54E-07,5.02E-07,3.53E-06,1.90E-06,6.38E-05,1.76E-06,6.13E-05,1.85E-06,3.37E-06,2.12E-06,1.62E-06,9.10E-06,2.11E-06,2.04E-06,4.44E-06,2.23E-06,7.05E-06,6.35E-06,3.89E-06,7.05E-06,3.02E-06,3.14E-05,3.04E-06,0.000446004,1.70E-06,7.32E-06,3.87E-06,4.34E-06,9.77E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36E-07,8.66E-06,3.24E-06,1.06E-06,1.66E-06,8.49E-07,1.49E-06,7.19E-07,5.02E-05,6.95E-05,1.38E-06,0.000104429,6.97E-07,1.51E-05,1.83E-06,4.55E-06,3.20E-05,-3549.297558,0
0.808947368,1,0.334446713,0.169464003,0.930048483,9.7,1.786335535,0.444142974,0.269891783,0.000280742,1,0.830581129,0.946168874,0.977187332,0.968787575,0.958772597,0.973360702,0.983911319,0.962979022,0.977678907,0.940444826,0.911729997,0.984895868,0.835202426,0.960192012,0.971826556,0.948259992,0.915760845,0.97142971,1.26E-06,2.40E-05,4.07E-06,1.84E-06,3.53E-05,8.86E-07,1.42E-06,3.48E-05,2.17E-06,3.54E-06,5.96E-07,0.015210665,3.98E-06,9.25E-07,1.25E-05,7.67E-07,1.91E-06,3.27E-07,1.64E-06,1.02E-05,4.38E-06,1.28E-05,5.96E-07,9.50E-07,7.83E-06,1.84E-06,4.10E-05,2.78E-06,0.000151295,5.99E-07,3.39E-06,1.94E-06,1.52E-06,1.25E-05,1.37E-06,1.17E-06,3.14E-06,7.50E-07,5.94E-06,5.43E-06,2.86E-06,2.95E-06,7.88E-06,1.30E-05,3.12E-06,0.00046475,1.71E-06,1.07E-05,2.38E-06,2.11E-06,9.18E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.40E-07,3.36E-06,2.21E-06,3.50E-06,6.02E-06,4.32E-07,3.00E-06,1.00E-06,4.10E-05,6.12E-05,1.11E-06,7.61E-05,1.91E-06,2.01E-05,2.99E-06,4.91E-06,2.19E-05,-2328.819671,0
0.808947368,1,0.306760254,0.18835282,0.968772277,9.7,1.55678303,0.486805143,0.286702375,0.000168847,1,1.000869234,0.946276274,0.958055016,0.889575011,0.972554297,0.969627379,0.97549792,0.957783764,0.961645784,0.939921886,0.930684446,0.982436287,0.817300538,0.979528363,0.992767997,0.979741696,0.909040722,0.991751843,3.19E-06,1.57E-05,3.98E-06,2.21E-06,3.67E-05,1.96E-06,5.10E-06,4.64E-05,5.99E-06,5.18E-06,1.22E-06,0.020878693,1.04E-06,1.52E-06,1.19E-05,2.26E-06,2.02E-06,2.83E-07,2.07E-06,6.87E-06,5.13E-06,2.31E-05,7.89E-07,4.50E-07,5.11E-06,1.09E-06,6.13E-05,4.83E-06,0.000178475,7.24E-07,4.44E-06,3.63E-06,2.27E-06,8.35E-06,2.77E-06,6.40E-07,4.74E-06,1.66E-06,1.00E-05,3.13E-06,5.25E-06,6.94E-06,5.74E-06,1.62E-05,4.05E-06,0.000456896,3.57E-06,1.03E-05,6.06E-06,2.40E-06,5.01E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93E-07,4.58E-06,2.52E-06,1.24E-06,7.90E-06,4.74E-07,2.45E-06,8.60E-07,1.86E-05,6.10E-05,1.76E-06,0.000158789,4.92E-07,1.02E-05,7.37E-06,1.82E-06,1.10E-05,-2322.288021,0
0.808947368,1,0.298404675,0.145132247,0.932967869,9.7,1.788707278,0.447918305,0.244016383,0.000427952,1,1.537706827,0.971536341,0.983545127,0.958945388,0.945569112,0.983505074,0.981274102,0.956909021,0.970442286,0.933123485,0.851415115,0.988746961,0.853839069,0.965763956,0.96981614,0.958277337,0.95576356,0.970290409,1.73E-06,1.26E-05,3.06E-06,3.25E-06,5.69E-05,7.76E-07,8.91E-06,8.56E-05,9.50E-06,2.81E-06,6.09E-07,0.018814229,1.67E-06,3.38E-06,1.27E-05,1.72E-06,7.35E-06,4.91E-07,1.21E-06,6.03E-06,9.01E-06,1.26E-05,2.82E-07,9.21E-07,7.17E-06,6.88E-07,5.90E-05,4.43E-06,0.000204154,1.21E-06,5.86E-06,6.45E-06,2.10E-06,1.37E-05,1.15E-06,1.07E-06,2.15E-06,1.51E-06,1.52E-05,5.64E-06,2.07E-06,5.63E-06,8.21E-06,1.52E-05,4.93E-06,0.000310572,4.39E-06,5.55E-06,1.85E-06,2.34E-06,4.80E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05E-07,1.43E-05,2.46E-06,2.82E-06,7.05E-06,4.62E-07,4.10E-06,7.12E-07,3.70E-05,0.00010699,4.02E-06,3.79E-05,2.00E-06,2.33E-05,6.00E-06,2.10E-06,1.45E-05,-1695.095938,0
0.808947368,1,0.308948505,0.166353012,0.890763241,9.7,1.567640909,0.464098336,0.262814737,0.000250867,1,0.886447943,0.955925618,0.968936322,0.950959572,0.943393319,0.957208516,0.980545975,0.91575897,0.984610539,0.980111979,0.936590677,0.980968851,0.830060937,0.973047905,0.992193848,0.948521521,0.908810243,0.965970735,4.15E-06,1.67E-05,2.24E-06,2.11E-06,4.44E-05,2.09E-06,2.94E-06,8.16E-05,3.43E-06,5.75E-06,3.72E-07,0.024487042,4.81E-06,3.89E-06,1.22E-05,1.37E-06,4.22E-06,1.05E-06,5.30E-06,7.81E-06,4.56E-06,2.05E-05,2.62E-07,1.15E-06,5.55E-06,6.96E-07,2.69E-05,6.64E-06,0.000124631,1.91E-06,3.90E-06,7.12E-06,1.15E-06,1.22E-05,2.02E-06,1.63E-06,6.71E-06,2.92E-06,7.19E-06,7.23E-06,1.52E-06,5.36E-06,5.45E-06,1.26E-05,2.92E-06,0.000169344,2.97E-06,1.02E-05,3.84E-06,3.36E-06,3.77E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34E-07,1.15E-05,3.92E-06,3.51E-06,4.07E-06,1.92E-07,4.34E-06,9.48E-07,2.84E-05,5.87E-05,3.72E-06,0.000139985,1.16E-06,2.37E-05,4.89E-06,1.25E-06,6.73E-06,-1695.294426,0
0.808947368,1,0.32030502,0.166434606,0.943597274,9.7,1.783347372,0.455569676,0.261288636,0.000310913,1,1.271375273,0.962188407,0.976076104,0.981861252,0.983544817,0.990820592,0.966591032,0.962284279,0.965353881,0.950003496,0.939323577,0.978936957,0.755426005,0.968452997,0.985252635,0.954184467,0.961408969,0.96362682,1.87E-06,2.81E-05,4.07E-06,3.25E-06,5.34E-05,1.46E-06,1.17E-06,6.10E-05,4.75E-06,3.36E-06,7.50E-07,0.015079119,4.34E-06,7.65E-07,2.05E-05,7.94E-07,7.24E-06,5.49E-07,3.11E-06,4.89E-06,4.71E-06,1.52E-05,4.68E-07,1.04E-06,3.02E-06,1.93E-06,2.30E-05,6.52E-06,0.000201281,9.71E-07,5.31E-06,2.31E-06,1.77E-06,7.13E-06,2.54E-06,2.80E-06,2.96E-06,1.11E-06,9.31E-06,7.84E-06,1.33E-06,2.02E-06,4.71E-06,2.84E-05,1.40E-06,0.000384807,2.11E-06,5.45E-06,1.10E-06,1.84E-06,3.35E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05E-07,1.74E-05,2.18E-06,5.06E-06,6.24E-06,5.61E-07,3.60E-06,4.25E-07,1.87E-05,8.26E-05,7.95E-07,0.000149103,1.90E-06,1.76E-05,3.13E-06,2.60E-06,5.43E-06,-1691.997414,0
0.808947368,1,0.327881886,0.14834653,0.969818488,9.7,1.448063244,0.485192953,0.271923696,0.000168511,1,2.220692711,0.969159642,0.974950084,0.923222852,0.924918628,0.980899765,0.972205859,0.934918699,0.948468454,0.967479111,0.950547559,0.975770481,0.607632039,0.950873592,0.97945675,0.964134709,0.945657147,0.975916682,1.58E-06,2.40E-05,2.93E-06,4.89E-06,2.45E-05,9.58E-07,3.69E-06,7.68E-05,2.54E-06,3.07E-06,4.12E-07,0.021174187,3.00E-06,2.70E-06,1.45E-05,1.44E-06,5.83E-06,7.49E-07,3.61E-06,4.11E-06,2.06E-06,1.83E-05,5.98E-07,7.69E-07,6.45E-06,1.91E-06,2.90E-05,2.16E-06,7.83E-05,1.13E-06,1.03E-05,8.35E-06,1.19E-06,1.32E-05,1.27E-06,1.67E-06,6.75E-06,3.75E-06,1.36E-05,7.66E-06,2.73E-06,2.79E-06,1.19E-05,2.00E-05,2.73E-06,0.000254951,1.63E-06,6.47E-06,2.60E-06,3.22E-06,8.59E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66E-07,1.24E-05,2.04E-06,2.80E-06,5.89E-06,8.41E-07,3.32E-06,1.60E-06,4.59E-05,0.000114821,4.08E-06,4.42E-05,1.32E-06,1.84E-05,4.13E-06,3.87E-06,1.71E-05,-1700.364156,0
