"qualow","alpha","gamma","sigma","psi","g","R0IN","qua","quawh","rho","kappa","omega","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","loglik","loglik.se"
0.00015,1,0.334350101541127,0.152861141587743,0.939003569663021,9.7,1.47162847526353,0.47328625635328,0.275031868328009,1,1.07471033694618,0.985737109862862,0.986280219168885,0.970057254696597,0.88648283943226,0.918618304682486,0.963230964517351,0.957998712666539,0.973371048943343,0.985325720057503,0.966190752749655,0.908248284101742,0.981646231924391,0.725720620211,0.958214539184466,0.99238851284827,0.956190070272433,0.920553021548465,0.987170078827222,2.34631461686339e-06,2.39202421675729e-05,1.75907158101737e-06,2.05882375335459e-06,3.33181339148285e-05,1.81426540740033e-06,2.79560782275922e-06,3.47239300321442e-05,5.54707643638685e-06,5.24271556049534e-06,1.60625716354187e-06,0.0235433332023596,3.53676159028244e-06,1.62744587090607e-06,1.77958717070358e-05,1.28541556380521e-06,2.44011235908264e-06,7.73247710506445e-07,2.80005885304574e-06,9.87762437274709e-06,4.39482626081171e-06,2.6593585385919e-05,9.15626640335058e-07,5.27035210318275e-07,3.12234828370821e-06,1.42757625090551e-06,4.80255289524659e-05,3.19627095051088e-06,5.46255744793115e-05,2.19851943199063e-06,4.50687874654494e-06,3.8691891294295e-06,1.40613319318561e-06,9.05994072780198e-06,2.31879441562336e-06,2.6436697855778e-06,4.95524664167065e-06,2.09562591265819e-06,6.00596678771254e-06,5.98422886813474e-06,5.16172573957115e-06,6.5738459982336e-06,3.34767323184888e-06,2.46530595278982e-05,2.26795208957346e-06,0.000576212314971003,1.68867150931341e-06,9.02110998315978e-06,4.32025871030005e-06,3.46499513828975e-06,8.78674148427614e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93521438986689e-07,7.26470177751752e-06,3.28292704917653e-06,1.36583678702311e-06,2.47120568716504e-06,8.81122096352215e-07,1.53224545556681e-06,7.14393720951869e-07,5.12876957932059e-05,7.98865819484889e-05,1.52008625027483e-06,9.88890615371979e-05,8.09742617680368e-07,1.77981467663876e-05,1.98872343696961e-06,3.6912080858928e-06,2.28381336765918e-05,-4168.36843939215,0
0.00035,1,0.335554195584293,0.0957503214836799,0.939411954224727,9.7,1.65830926032073,0.505881636167078,0.240609390336137,1,0.995152642931883,0.972332982406117,0.97785335068518,0.948174228244046,0.90030283924143,0.919474851936513,0.967264776662018,0.940878673490047,0.976615941183913,0.989502089934655,0.971877495546823,0.92595979148746,0.981545701473477,0.689228689396355,0.956975192103006,0.98893299793115,0.950158932115748,0.889470212997427,0.98151395591026,4.04910243869722e-06,2.38135133331363e-05,1.59962565818245e-06,2.31513016168487e-06,4.39027131894915e-05,1.865233354067e-06,3.57391420800943e-06,2.49927364362327e-05,4.89758702544746e-06,4.89971604479064e-06,8.93374345290225e-07,0.0207540360564001,2.44060047997437e-06,1.26782918355246e-06,1.83933463113584e-05,1.0811033242854e-06,2.73018979298281e-06,8.95872694748146e-07,3.62039058361776e-06,1.41849541543144e-05,4.14954093400253e-06,2.29468785482679e-05,7.45679133371116e-07,3.90682708707353e-07,3.41298208114274e-06,1.80528581438178e-06,5.67516203859677e-05,2.2435451561055e-06,5.65741363511206e-05,1.92088542531895e-06,3.84902023562638e-06,4.14874558788657e-06,1.24964006857307e-06,1.2081740162907e-05,1.70018863463551e-06,2.14880804430912e-06,4.85673321479619e-06,3.21528793301532e-06,5.26980866691076e-06,9.55027794170271e-06,4.26959980614635e-06,6.54520759597822e-06,3.44530708531225e-06,3.11372072670415e-05,2.19974161134683e-06,0.000515702750252495,1.2969821366295e-06,8.78083831430845e-06,4.98178289177501e-06,4.65442275126645e-06,7.05877923749954e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31164144942283e-07,1.0176730036472e-05,2.54380965382529e-06,8.78639585746256e-07,1.92643722840401e-06,8.80086715525139e-07,2.17118946729737e-06,6.74226835891055e-07,4.2997672670229e-05,7.82126607398136e-05,1.22860385241005e-06,0.000124396722344499,6.8144295247698e-07,1.35091368201917e-05,3.4555502806775e-06,3.00895192981347e-06,2.34672882591796e-05,-1712.6217471908,0
3e-04,1,0.244592811497061,0.179596361487268,0.871971273897166,9.7,1.76789370600466,0.460804753883962,0.260928718337415,1,1.33657054318587,0.990885659149064,0.97007822386603,0.962685537923318,0.924466133150206,0.92286020900939,0.988166004743842,0.971593805275701,0.9456704129771,0.960382602624647,0.970250417240692,0.855974331647663,0.974428000270274,0.742488004109517,0.967893230669653,0.98707393292994,0.976719057007707,0.979048953653375,0.986630534249398,2.17537968832914e-06,2.54900262177959e-05,2.2201503390997e-06,3.01739568171295e-06,5.16293976233063e-05,2.21543110989552e-06,6.10577498325748e-06,8.30570204159422e-05,5.45336157447602e-06,1.94697350475641e-06,1.53481133317271e-06,0.0156554015099204,1.3316394018835e-06,2.47107287081274e-06,1.82920678014314e-05,1.81812221186825e-06,6.12690217910727e-06,1.06482120624527e-06,3.3595399410196e-06,6.48430259213657e-06,7.34975187924078e-06,2.03720393837996e-05,9.76325000775564e-07,3.75119309825408e-07,2.65670205310098e-06,1.75031451830999e-06,6.10084921656567e-05,4.57813523384235e-06,0.000159239511269308,1.16894233160724e-06,7.99740823492051e-06,4.26221180130168e-06,2.75322423485496e-06,8.01376565813935e-06,2.66644528459929e-06,2.3474855909921e-06,5.15149248893231e-06,2.52775461233282e-06,1.24354964627997e-05,1.54743090296189e-06,6.02627794068642e-06,5.96673797740064e-06,3.01065510808035e-06,3.3408447532746e-05,2.11111567388588e-06,0.000222177760799293,3.33349292176221e-06,8.70347358091842e-06,4.7244498016362e-06,3.70081291307871e-06,5.33908421431097e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88684160681136e-07,8.45708764896154e-06,2.76795588349542e-06,9.40414413463719e-07,2.03762376064424e-06,8.32422988250053e-07,1.11083143615468e-06,1.3336398132453e-06,1.92083437725578e-05,8.69115193445485e-05,2.28571684296004e-06,0.000168719473511811,7.91066274302811e-07,1.0111496461479e-05,5.23991185799185e-06,1.9467012765295e-06,1.2700827069362e-05,-2307.21405462617,0
1e-04,1,0.249975215092057,0.182052831407721,0.902577758480208,9.7,1.64314796021099,0.529309713006543,0.329928957182823,1,3.95232151996421,0.955348874900806,0.955504862487092,0.978561842805193,0.968616392384899,0.961910419319007,0.971779069029076,0.981242154134615,0.962100807634278,0.975638939244427,0.961604855878104,0.916448005766364,0.983009711068952,0.865241735002887,0.955686541604414,0.97604268774141,0.939254453323123,0.931724076433853,0.97389803468333,1.36304437192091e-06,1.40100573949097e-05,4.61236466663379e-06,1.96233376931974e-06,2.86586748154256e-05,8.18476970046203e-07,1.65659589719331e-06,3.27155167665685e-05,2.85775565893144e-06,3.8252861662656e-06,6.14431048457048e-07,0.0223589497691373,2.30092632647713e-06,9.99266447783143e-07,1.36080173785833e-05,6.77494954134756e-07,2.10941610287387e-06,4.86260249703246e-07,1.41179765515944e-06,1.12342067764798e-05,4.92751856431332e-06,1.11280165155387e-05,6.48045177832824e-07,1.02345503840386e-06,4.94850379898287e-06,2.3932734648086e-06,3.10792963166313e-05,2.95683244899002e-06,7.07883993055438e-05,5.64566901697904e-07,3.98045394971581e-06,1.55516956630198e-06,1.57938203410614e-06,1.90005158682529e-05,1.41761085021109e-06,1.13027614493326e-06,2.02843899419734e-06,7.34663046138426e-07,5.99779555296001e-06,6.22892265300703e-06,2.37351047767552e-06,3.66981985373062e-06,9.09623098526316e-06,1.6775833213934e-05,3.26174226821301e-06,0.000410716718392052,2.18069883011544e-06,8.69750296673013e-06,2.01729948735978e-06,3.42831456553605e-06,1.45773961198775e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93899076459912e-07,4.25044139349381e-06,2.10270671491764e-06,3.75599090271167e-06,7.87783205872114e-06,4.86585218367292e-07,3.71035132808798e-06,7.63090341824441e-07,4.53801607140514e-05,7.96673580681277e-05,1.40918931773032e-06,9.9046750028823e-05,1.82570184531294e-06,1.97558784883994e-05,4.14608705088111e-06,3.78841566900593e-06,2.61576440054806e-05,-1704.4362216635,0
0.00015,1,0.334839083722621,0.199405242472164,0.955855316804335,9.7,1.54103244011607,0.455364392723251,0.292250374531135,1,0.365535139609458,0.983146317184745,0.964481063791332,0.959218772952628,0.968712868435446,0.985852072680224,0.99473857053633,0.964734516781859,0.982378275183749,0.963602415593845,0.954565360254905,0.93239329087188,0.980783385666549,0.704686372146586,0.969613628711558,0.987029689451595,0.947332640453134,0.968500398487372,0.965917946596916,1.86941737345411e-06,2.85878239998588e-05,4.86041493993387e-06,2.70598170125134e-06,6.1283253307864e-05,1.36510578765244e-06,1.71604730125067e-06,6.11869630979457e-05,5.2112436164946e-06,4.87900202880215e-06,6.79698520201096e-07,0.0138705610877518,4.24744897261905e-06,6.87454889852905e-07,1.56810499002511e-05,5.89142454466997e-07,8.63506095556541e-06,6.86500680099171e-07,2.40475364407088e-06,3.9973679693902e-06,6.15571248527081e-06,3.00200699667958e-05,4.23648874621676e-07,1.11888155912795e-06,2.64478887168487e-06,1.51282115349907e-06,2.57240789613107e-05,5.39351798283429e-06,0.000171263793865027,7.28225761203259e-07,5.41270560431749e-06,1.8643468189561e-06,1.83046734545247e-06,7.46184748371117e-06,1.776450657279e-06,2.90482188410483e-06,1.77322301671312e-06,8.51156299945905e-07,1.88972806245318e-05,9.57104308513365e-06,1.47423100282541e-06,2.1709422520857e-06,4.22684279920268e-06,2.89888851946045e-05,8.41348845582668e-07,0.000310982040884148,2.86650017031581e-06,4.33348029517634e-06,1.51060657943575e-06,2.24251145213304e-06,5.88762254524117e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42029983282428e-07,1.20328526718426e-05,2.48589484191953e-06,3.16335990780167e-06,8.09586741744181e-06,6.07223349938094e-07,2.88800330743023e-06,4.80534435901943e-07,1.38898300035544e-05,0.000129411041179851,8.19852577122161e-07,0.000145835895649786,1.60734406807782e-06,1.97310841782479e-05,2.88037152859678e-06,1.87352560171496e-06,7.30133656611256e-06,-3556.73694547925,0
3e-04,1,0.31710281985219,0.157808717753459,0.916581283035519,9.7,1.738652669092,0.456581863756603,0.260564536024352,1,0.939074715173592,0.967754374669824,0.97360204915394,0.98409723812544,0.877739950008971,0.977819522557259,0.96527808832984,0.957172108932546,0.935341341903193,0.978913933644427,0.958658590051735,0.954688905743309,0.985096311442993,0.790243964538917,0.971793389586069,0.9751504743722,0.957186458008652,0.871774826110358,0.974322576135847,1.34481992587692e-06,3.42098475354596e-05,4.46727036681713e-06,2.38575247411718e-06,4.54255826611073e-05,1.42336945224641e-06,2.66973434841502e-06,8.98585489219092e-05,2.83666280039442e-06,4.14713704708256e-06,1.9101761981281e-06,0.0143588580799081,3.45594806657657e-06,4.64369698877437e-06,1.52838163102656e-05,1.11808469980244e-06,5.02897331461027e-06,7.02809225591455e-07,2.99875859978612e-06,9.63665103499563e-06,4.54554767832111e-06,1.83733335854471e-05,8.22103974040446e-07,2.3412376578732e-07,7.50924119473748e-06,1.12382011362846e-06,5.48591947632069e-05,6.46113300248585e-06,0.000175943243826035,6.95489734569702e-07,2.10216545030264e-06,3.94838350922605e-06,8.19737905131766e-07,1.40927245103734e-05,3.27832194527179e-06,3.4658928217308e-06,3.63942570913139e-06,6.41883338569217e-07,4.4846580154174e-06,6.64234343748716e-06,6.12728439785697e-06,6.84033078839449e-06,8.45611992908237e-06,1.57527961367297e-05,2.52410279432308e-06,0.000195864599334211,3.06716908157797e-06,1.13229890058422e-05,5.66501872402209e-06,2.19320843501579e-06,3.13033124053482e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95119342359335e-07,5.40921640240719e-06,9.95467388430903e-07,1.84976782311094e-06,9.17532568964202e-06,9.77181205908253e-07,2.49104642890355e-06,8.80862878030681e-07,2.53822807418047e-05,6.57840535636539e-05,5.32922446567162e-06,7.78859411793215e-05,9.68690654055578e-07,1.35872261835117e-05,2.98856190563839e-06,1.2324464759958e-06,5.56739989954302e-06,-1690.13118386111,0
5e-05,1,0.239822615936792,0.243270893890505,0.984820736346156,9.7,1.33963014527974,0.546432708040472,0.369427001917413,1,0.407523741549482,0.993473591833634,0.947126106527194,0.979237600820884,0.897799330845175,0.927861690967297,0.976933038811308,0.989576383632762,0.937597291903535,0.98147627917149,0.948564796861177,0.860800750457982,0.97526159775265,0.846341890341753,0.952731504636368,0.971096229987144,0.967256692041487,0.916843908108016,0.979288661384604,8.1391307554664e-07,2.11218018170224e-05,1.98406232682565e-06,1.42798680454578e-06,4.46104030665205e-05,5.07814554504929e-07,5.890958626608e-06,0.000105480617769338,8.72927392801838e-06,5.76770162579261e-06,1.2396272077121e-06,0.0270514376077076,2.46314509484672e-06,2.41164419955997e-06,1.44780762263873e-05,1.53092817530611e-06,3.78879245013383e-06,9.10019416555457e-07,4.79492319857436e-06,1.06255266619993e-05,4.01570983456575e-06,1.36565881752066e-05,6.69748230282948e-07,7.2828482637698e-07,5.80345781308923e-06,2.57141935350046e-06,3.67634089292411e-05,2.79538654723702e-06,0.000149874371279353,2.61745115579951e-06,3.17621416162943e-06,5.17860487851969e-06,2.53914474212653e-06,1.59122388594407e-05,3.89010821225185e-06,1.13972953765363e-06,6.19496318476614e-06,1.6639005334571e-06,5.96285650986605e-06,7.53654591696294e-06,3.8929685892104e-06,6.1554827395608e-06,7.81360397947479e-06,1.63754946939471e-05,3.61259905594912e-06,0.000136616163763047,4.35661974051039e-06,8.42762318874669e-06,4.47337581253675e-06,3.26288075424081e-06,8.62572448510727e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32408074983666e-07,6.88368369821754e-06,9.51558773755184e-07,2.30479293311259e-06,3.17213908909521e-06,2.54515333623243e-07,1.30531977152192e-06,9.75760239165671e-07,3.33692299489263e-05,5.26222698046477e-05,2.83415144926985e-06,8.23133556362883e-05,7.8046439132607e-07,1.28593260498081e-05,6.11538692471362e-06,3.98174578856337e-06,1.7613014622112e-05,-1707.57812547943,0
1e-04,1,0.244808583809095,0.180397700610957,0.895083434126519,9.7,1.4648704505629,0.532789872462917,0.329861825353613,1,0.909314523461698,0.997095218870083,0.932802819572681,0.980850708994269,0.933994819024354,0.944309314147519,0.981042424381903,0.987166232324933,0.938597407634684,0.978824254973233,0.964004575989512,0.880056555823446,0.969733709534188,0.902461688811078,0.957459985866273,0.968645486444337,0.971109531736866,0.910304565423616,0.983599749387658,8.91270190272081e-07,1.42035830255128e-05,2.26161004757365e-06,1.22181579107825e-06,3.8142076949995e-05,4.71517015567826e-07,4.86851454200726e-06,0.000112229164749741,9.23950818453656e-06,6.03656335412533e-06,1.75443685874257e-06,0.0265324842979647,1.78252545973138e-06,2.83806393581536e-06,1.40991505385243e-05,1.84137817957083e-06,3.24683548626399e-06,1.14571320647763e-06,5.44989840233248e-06,1.09227728715887e-05,3.37854720540548e-06,1.40588109532182e-05,9.17737091183595e-07,7.45522518417068e-07,6.83977537878977e-06,2.00067817873732e-06,6.19916245884931e-05,3.73359790985893e-06,9.52287343814685e-05,1.75569971015166e-06,3.46086592526991e-06,5.02955494727015e-06,2.45524656491154e-06,1.25678433718679e-05,2.75805984853645e-06,1.13426142745466e-06,4.89959931611406e-06,2.31224465262324e-06,3.6563101781306e-06,6.5535261328301e-06,5.07351476642339e-06,6.04340938323264e-06,8.75690986915839e-06,1.92833982822511e-05,3.06362759452667e-06,0.000159758401163961,3.73203282351324e-06,6.61387869074506e-06,3.97390702894478e-06,3.03146027983683e-06,9.92737762385353e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83251829857132e-07,6.84239374060046e-06,6.52209340703618e-07,1.95782810667199e-06,2.62204820474462e-06,1.62128772233518e-07,1.03295343899759e-06,9.03029421347985e-07,3.35296394198771e-05,5.13246143034091e-05,3.97993807892317e-06,0.0001098746654425,9.06154729137289e-07,1.11399445206314e-05,5.99540984402413e-06,3.28952908866975e-06,1.64589245275214e-05,-1703.72055590502,0
4e-04,1,0.334589152468286,0.136538830767623,0.953511941434287,9.7,1.86275178479248,0.439505335307815,0.242598028535596,1,1.41876990379647,0.903008445119941,0.956593100671286,0.959788365160582,0.920824838514335,0.934774587353074,0.989819143133591,0.988879981756033,0.951411841858972,0.959107355355967,0.985606518408993,0.883756844556648,0.974230045340958,0.89572317941381,0.965166116398475,0.985871714141814,0.969420311407421,0.921917377697069,0.962078184857363,2.12966428911311e-06,2.08462221931005e-05,1.65892510040851e-06,4.52793143975739e-06,1.97642511729556e-05,2.63410679490648e-06,5.68891637614768e-06,6.34626853877457e-05,4.8517916252969e-06,2.40517872205892e-06,1.33846497939377e-06,0.0174072918569771,2.6611305964414e-06,1.94367535931347e-06,1.22772231911254e-05,2.43392179233357e-06,6.28480563704761e-06,1.09549192259987e-06,5.1253502040193e-06,4.06843683149023e-06,3.51456446282742e-06,3.31573057613729e-05,4.28059341722098e-07,8.36013705859747e-07,5.4187099720834e-06,2.0049265910487e-06,3.67263256738224e-05,3.99922926546933e-06,0.000111433049676717,1.45050015866893e-06,6.52821689280655e-06,1.82097115852362e-06,1.74632314526064e-06,8.10929394150642e-06,2.4815139755202e-06,1.27573948691495e-06,7.88417336231335e-06,1.65572630260162e-06,9.53559394445275e-06,1.58057035615268e-06,3.5284676963482e-06,2.38827157947311e-06,4.89085660825529e-06,7.12159046953182e-06,3.57759956379424e-06,0.000397398129309772,3.69183476036726e-06,6.40671904144878e-06,3.22140334145003e-06,2.68034403642386e-06,7.16487798720799e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65529199654964e-07,1.17077843990571e-05,3.21107209570333e-06,4.93044087887505e-06,3.71023002541773e-06,2.54943399342575e-07,4.9385510051136e-06,3.29500182532309e-07,4.89358184212474e-05,7.84978755046596e-05,2.15442053262184e-06,0.000142320741795291,1.43252104742623e-06,2.41855316981506e-05,5.84068410826942e-06,2.57367656741365e-06,1.68030616344237e-05,-3552.35203497766,0
5e-05,1,0.4744286135004,0.152399801839183,0.971778505587198,9.7,1.10883376000036,0.537733575476591,0.335671235061941,1,0.292618725836532,0.996415351405301,0.94476539282411,0.960230147978094,0.947964387748228,0.943509610888852,0.965146129036104,0.977574179150044,0.950312529131555,0.984201287253991,0.986682244765246,0.950874635933162,0.982084460160103,0.838394649550642,0.979600313675997,0.993081857445156,0.942522403261842,0.892691743983022,0.967239781362073,4.10651245874771e-06,2.18522104332286e-05,2.78730680818344e-06,2.34279477345342e-06,3.8586853122534e-05,2.34823105181283e-06,3.00807014697737e-06,0.00012545364544036,3.7133661425378e-06,5.87536751279721e-06,2.35663664365277e-07,0.0302024421044544,4.36364333843268e-06,3.03441232325083e-06,1.11622066713441e-05,1.44193064915024e-06,4.16952959306109e-06,8.51253939781652e-07,5.82162784546472e-06,9.36203088176512e-06,4.96182736366117e-06,2.9475793312842e-05,3.51617520544603e-07,9.97041536370356e-07,4.20908532271687e-06,1.10222567200357e-06,3.11958293505265e-05,6.92214174046685e-06,0.000174355188405859,1.66338470781077e-06,2.44105953489023e-06,6.79979389895667e-06,1.29391663411527e-06,6.99154429601814e-06,3.16657095214849e-06,1.70854660886922e-06,5.82669831770383e-06,1.99930342392405e-06,6.5716379417661e-06,6.88569715299699e-06,1.85560123195887e-06,4.3402666347055e-06,4.49786796066146e-06,1.22491358786335e-05,2.36451196643186e-06,0.000150792786898053,3.3672639416303e-06,1.10595893245961e-05,2.59423497420715e-06,3.97517959566087e-06,3.77197216122535e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13154482056843e-07,6.25379292217758e-06,2.44811623790782e-06,4.54834174624321e-06,3.68335597924058e-06,2.81657756729731e-07,6.06948768532842e-06,9.1049087764648e-07,3.85415263953719e-05,6.86267835917342e-05,5.31639494040854e-06,0.000123549983326916,1.24068729818537e-06,2.12268840107177e-05,5.29584463970666e-06,1.55689597465903e-06,9.68377206312098e-06,-1711.22049554258,0
