"sigma","alpha","gamma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","loglik","loglik.se"
0.113157894736842,1,0.33508188196359,0.924526850251114,9.7,1.74890025469994,0.451874578974618,0.226942316601185,0.000421779147202689,1,1.16736813832778,0.974262508597399,0.971142723687003,0.976119846419027,0.937587114154564,0.897311940070232,0.980852469127666,0.97156496552032,0.960545997154556,0.987910052622815,0.972170798423553,0.879133458893489,0.971070655646966,0.776067161945666,0.971781706399056,0.97657340405811,0.966335498603961,0.855731452443508,0.957947146824836,6.22451227415057e-07,2.16439357945811e-05,2.77574314525347e-06,2.89027738891864e-06,6.07230105624101e-05,9.56130393746376e-07,5.40599379809053e-06,2.76025642513439e-05,6.75369238835422e-06,6.40854555463774e-06,9.87558259434891e-07,0.0193392955419803,7.92776259118386e-07,2.15723865242262e-06,1.53989994324322e-05,1.7121084247595e-06,1.17848956075713e-06,6.76217211757879e-07,3.08029119185708e-06,6.53902145938592e-06,4.38880525240166e-06,1.70296188164021e-05,4.43004504578705e-07,1.69335592897683e-06,9.27745647397101e-06,1.36364124076396e-06,3.14630587288374e-05,4.91003816534715e-06,0.000232495740662705,1.90144339431101e-06,3.5796648375107e-06,3.11947138595085e-06,2.70334576685876e-06,1.83309999597301e-05,9.61319220110868e-07,1.96480536353498e-06,7.18595550789214e-06,1.96948279326722e-06,4.14837551408738e-06,5.11486097277204e-06,2.00526954748256e-06,2.8915474742344e-06,1.24218043090161e-05,2.7235202693246e-05,1.98891125537116e-06,0.000532812230522932,3.37498034251144e-06,7.44696974707341e-06,2.8970264395807e-06,3.74892890064013e-06,5.76488933825464e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69726778581136e-07,8.29348686183824e-06,2.3837672825356e-06,3.05363571217382e-06,4.90849438132823e-06,9.64342259610684e-07,6.27826525211706e-06,7.36969058787471e-07,1.95954454189624e-05,6.21782042034702e-05,2.26215866604581e-06,8.05312795109209e-05,2.12784053430457e-06,1.91432546751935e-05,7.53282534343998e-06,1.5409081093604e-06,9.25021636888142e-06,-3548.97321231334,0
0.0657894736842105,1,0.92974437893156,0.957585880588744,9.7,1.54965817906355,0.516691449046469,0.263153100918341,0.000149049869795455,1,1.04811587647643,0.991641221012588,0.98209897960976,0.97275391470139,0.957756046634461,0.981607295529031,0.972863387926778,0.961390810376843,0.96105782064253,0.975287190195788,0.94563472429762,0.897235693717315,0.989335132721515,0.693002100466192,0.949489010416149,0.986690075054847,0.975592400215674,0.907819975858485,0.969342336449075,4.49556604930314e-06,2.79745483596311e-05,3.03540070278797e-06,2.24314437368187e-06,3.47464913932988e-05,1.87956319888674e-06,9.44380611418022e-06,0.00011003292171467,6.65005159315187e-06,4.89128855829395e-06,5.37151915375948e-07,0.0259998210438388,1.39318230799877e-06,3.94518242116465e-06,1.68873950795934e-05,1.83218996265143e-06,3.56168123955742e-06,5.65342121207822e-07,1.42171467380722e-06,7.00292617599603e-06,3.0732218626425e-06,1.79585790977047e-05,5.69252270256349e-07,9.02460502589553e-07,4.37714505955719e-06,2.67495531013814e-06,2.88788015794931e-05,3.10443856993561e-06,9.98455815549828e-05,5.13664652063657e-07,2.31005728755826e-06,7.30950382049643e-06,2.66561589833043e-06,8.99244350801672e-06,1.50777831657612e-06,3.86981753130347e-06,3.32793462949987e-06,1.81207638778247e-06,6.7502331544323e-06,2.37455757468334e-06,3.60331879632916e-06,4.44501187346055e-06,4.61559117547169e-06,3.01461915605907e-05,2.16538672108646e-06,0.000182516109683063,4.42895831539095e-06,1.15725324966779e-05,1.37380040610866e-06,2.07647326351789e-06,7.21162480240945e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33744814449979e-07,4.87284243265525e-06,3.35924404893467e-06,4.51166876168107e-06,8.05075421637191e-06,6.78945930242143e-07,4.8483859107063e-06,9.64757875825637e-07,3.86589004233934e-05,6.14050245399648e-05,2.59509272572379e-06,0.000125674077316318,1.3065951457992e-06,2.7179242559186e-05,6.78153719799825e-06,3.7666100890732e-06,1.13466257734203e-05,-1714.53141207869,0
0.113157894736842,1,0.335473810930428,0.972367599189761,9.7,1.84186294808615,0.467369665618137,0.23825266101708,0.00036307091461281,1,2.06155039966488,0.929537592890221,0.961924169712059,0.960470598541147,0.88329841152123,0.968034869849742,0.957736252202298,0.972746884495014,0.952337774543663,0.971256315228054,0.952008313540853,0.915555810113307,0.989862658249092,0.808870782945158,0.972134942722302,0.992089434088966,0.974553747217425,0.917947195287718,0.988613008061579,2.47615770638151e-06,1.19585639168097e-05,5.67644132612737e-06,2.86611419550613e-06,5.24403483028459e-05,1.78898803713874e-06,7.18383587636303e-06,4.28638600560531e-05,5.59151843046144e-06,4.28402811103111e-06,9.9199564223991e-07,0.0193366268959563,1.20364967134936e-06,1.32584543602621e-06,1.12470396557853e-05,1.8699748830146e-06,2.05978618764832e-06,4.08796317761299e-07,1.27156296335624e-06,6.01984132202814e-06,3.08425623873767e-06,1.71484223547414e-05,1.01006485883005e-06,3.28931893052e-07,4.39845277058436e-06,9.67675281267284e-07,5.53875976579102e-05,4.49145604350156e-06,0.000127637096192901,6.0454631004186e-07,4.69674518012551e-06,4.12601871672644e-06,2.03873142684502e-06,1.12518330812067e-05,2.38523559699777e-06,6.14113251491048e-07,3.46165544917974e-06,2.28994058146636e-06,9.00480178694049e-06,2.67736381331282e-06,6.00146928899388e-06,8.79293582209408e-06,6.22845139435951e-06,1.31773655547061e-05,3.9895149843852e-06,0.000655640748125445,3.49382414284855e-06,9.62765743559404e-06,5.65861695862687e-06,2.02049500715606e-06,5.93288426957188e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67294471359952e-07,3.17420865206354e-06,3.12634641585507e-06,9.20432808464008e-07,1.17523625227661e-05,4.35982901770322e-07,1.81919267360343e-06,7.37011480947983e-07,2.1275732128655e-05,5.66267143996413e-05,1.81828456543404e-06,0.000131672332112776,3.66349850907e-07,1.34465384937863e-05,5.80135882554189e-06,1.32817945280819e-06,8.63952213252751e-06,-2940.83754229352,0
0.0815789473684211,1,0.336001121770834,0.933595201876654,9.7,1.77060860583785,0.47091449719492,0.221869768212161,0.000440686781670344,1,0.593640564343234,0.993460269271425,0.960411914767627,0.97638005119475,0.926022253991417,0.931226552654753,0.980392852897867,0.977605753653253,0.967005274678012,0.987493571208852,0.981069695785738,0.913743903452765,0.974389963233678,0.799559542788774,0.974799298697586,0.967289959231671,0.958598600273635,0.89264586045362,0.978110588036614,7.80269716753538e-07,2.31330505513422e-05,2.72079739662645e-06,3.25853183612461e-06,4.39354356771215e-05,1.62226888172516e-06,8.38922023025694e-06,2.8041602232196e-05,8.91698742404546e-06,5.4834773391415e-06,1.00961643940551e-06,0.026073409393938,7.71855559442923e-07,2.08398448102193e-06,1.44560111184279e-05,2.40194610762478e-06,1.29451443728491e-06,8.36202603073678e-07,3.42750234745823e-06,8.43209122483015e-06,4.02635550750074e-06,1.75909695910288e-05,3.7116607136844e-07,1.29298377463395e-06,1.32337971229413e-05,1.60128277836438e-06,3.6364551246936e-05,4.11279827877156e-06,0.000177022291076434,1.99330552549857e-06,3.10231474850473e-06,3.4471291050613e-06,1.51999649237397e-06,1.88857392495609e-05,1.11667265902246e-06,2.31001151140157e-06,8.99402925529116e-06,2.41401678695046e-06,3.05798230133212e-06,6.30949936785314e-06,1.77055301876898e-06,1.90800233085927e-06,1.02224255330434e-05,2.64450645308417e-05,2.50023399111814e-06,0.000434540739282187,2.2214624790644e-06,9.50975085263769e-06,3.0424531651306e-06,3.62616407771159e-06,5.23756437571835e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93402613382535e-07,9.05191070648537e-06,1.92893445259473e-06,2.90443049724127e-06,6.57297820578398e-06,7.1579003489051e-07,4.32094129615782e-06,7.22208381369848e-07,1.40835774026527e-05,5.49786576864767e-05,2.83447308388657e-06,7.62039538687765e-05,1.79495124085822e-06,2.05945043453477e-05,7.51863848091296e-06,1.17911353814097e-06,1.24923342874796e-05,-1706.38717207715,0
0.05,1,0.500850123700073,0.887362883371783,9.7,2.43370367964613,0.478621324283465,0.217086143583011,0.000462237802611393,1,1.30410352643167,0.940776128976585,0.961990739383783,0.988129199355515,0.886405228283836,0.948208526884613,0.981002844645699,0.983284430601817,0.975043001073925,0.963920746354119,0.957117290656799,0.926486482070863,0.973032541675452,0.834342771701319,0.976344467934534,0.982715571660262,0.950186891045077,0.952947182557487,0.978328824690541,1.69189184518509e-06,2.43669622670484e-05,2.35525512070607e-06,3.76860034376503e-06,6.32986960778491e-05,5.20311691892184e-07,4.52166356752629e-06,6.37665059517033e-05,2.65683392338182e-06,2.35291648584358e-06,1.21410809026721e-06,0.031565415657497,3.79639303546005e-06,1.41499873787828e-06,1.05612694443573e-05,9.77909648609006e-07,8.36172014816487e-06,1.09394340104566e-06,5.86474194777722e-06,4.88635707721685e-06,7.32546016336641e-06,1.90491531450598e-05,1.04752047723055e-06,3.189054219128e-07,6.18873374649824e-06,1.17408984140778e-06,4.86196553286955e-05,5.17960429171821e-06,0.00015595180118809,1.68650316999634e-06,4.49789977148385e-06,4.78754506101043e-06,1.68342101945775e-06,1.23827640960774e-05,2.84232470359649e-06,1.63521750087267e-06,5.23783901336586e-06,3.19342224488773e-06,1.53654862260013e-05,6.95734942265212e-06,5.45894780055973e-06,9.36383996807843e-06,6.61775487353214e-06,1.66414172003828e-05,2.61129636030377e-06,0.000378588771524494,3.03497638859333e-06,6.56847266303143e-06,3.28443313411024e-06,3.40449311456119e-06,4.12836234371089e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33566514632219e-07,1.26273224663907e-05,1.23336968515859e-06,1.65350410142316e-06,3.53855981891983e-06,1.7777813511798e-07,2.57455209216268e-06,5.09725438777155e-07,2.19928932995367e-05,6.60442988963313e-05,1.41498969086339e-06,6.8675574378721e-05,4.78675649458098e-07,1.4976046262667e-05,2.84827995212002e-06,2.48039696513532e-06,5.17765616028868e-06,-1714.88491434108,0
0.0973684210526316,1,0.335143933729491,0.953698543612207,9.7,2.01813311932904,0.452116191726068,0.224395016533233,0.000458597216522131,1,2.0759208700114,0.926643095294199,0.971859530803569,0.964564067484568,0.970262148581512,0.985524996910358,0.991635891686932,0.970739368006363,0.964055993105766,0.965323250381834,0.948699936746736,0.91668446078164,0.979410123798724,0.720538974728776,0.974189279869096,0.9831600916145,0.938961193666244,0.975074925671845,0.964983450907325,1.68101553782002e-06,2.61599495640488e-05,3.3150273727808e-06,3.01279424216903e-06,9.64135012402739e-05,1.61784976835983e-06,1.53521489386507e-06,8.43248490172142e-05,3.45050025475736e-06,2.81058128562318e-06,1.02110001488985e-06,0.017247002380854,3.9051140357985e-06,7.5774664923974e-07,2.0663268169586e-05,6.34926874445836e-07,7.35512811091829e-06,7.07558153713573e-07,2.20081283321307e-06,6.56953336098246e-06,6.56310691880608e-06,1.6104162079717e-05,5.02595051709574e-07,9.64315152887774e-07,3.82309895525363e-06,1.04458364640093e-06,3.74059480738849e-05,6.98904078008593e-06,0.000208380897167177,8.57294563763815e-07,6.73080327035995e-06,2.31149960048742e-06,1.45628948391008e-06,8.62250268884185e-06,2.66103160476162e-06,2.49081446946439e-06,3.07927473882222e-06,8.57563704706953e-07,9.39051878813204e-06,1.03738880609523e-05,1.24194413760885e-06,1.61507550775135e-06,3.89255388671014e-06,3.13570518809306e-05,1.76915480843342e-06,0.000326731902365429,3.46449584611811e-06,3.3284157591387e-06,1.09953670432894e-06,1.83052491205881e-06,5.06017381261709e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09141378479618e-07,1.71534936239069e-05,2.99858713541382e-06,4.00652979776715e-06,7.82076166414989e-06,4.27634532272552e-07,2.88484695853255e-06,3.82855819725898e-07,1.55876502283025e-05,7.0937999568558e-05,9.83168428714457e-07,0.000130504105868153,1.88938508348441e-06,1.58560790174388e-05,2.55553546972561e-06,2.51797109389873e-06,4.67910328497665e-06,-3552.17935549243,0
0.160526315789474,1,0.333933984946,0.972234355225362,9.7,1.4809484310207,0.467971759671115,0.276721445221254,0.000155373110964474,1,0.887114820809386,0.977352776046889,0.979786920676236,0.966299979991196,0.881775296490063,0.934200336664973,0.964285310102178,0.952210804126174,0.977238684433226,0.983487431290073,0.973174686646491,0.926030909332665,0.973602130028628,0.716009048494242,0.952200591412088,0.990603654068848,0.937689684788795,0.891338037439895,0.986238224601039,3.71065449652741e-06,1.99435666884346e-05,2.11850308277127e-06,2.22671593162747e-06,2.67616293977726e-05,1.79426505573795e-06,4.14987232684e-06,3.33740775786257e-05,4.63823619720261e-06,5.44067548505089e-06,1.03106918989317e-06,0.0221531480177929,4.43164955881377e-06,1.2554753289843e-06,1.64487647742001e-05,1.07549151989903e-06,2.88356098167377e-06,9.86757871754414e-07,3.42189389546081e-06,1.02199534158695e-05,5.555762518528e-06,2.25391801579054e-05,6.94169370807446e-07,5.8066722647071e-07,4.26298062727613e-06,1.78788930397442e-06,5.92359991841504e-05,2.42022951289433e-06,5.43001234775146e-05,1.74273532123886e-06,3.66481913051589e-06,3.27625302525658e-06,1.41761430067444e-06,1.04860075091296e-05,2.08272112261468e-06,1.93660851977671e-06,4.50410060496767e-06,2.13521173634313e-06,5.99527706534324e-06,8.34764483292934e-06,5.1687808432845e-06,7.63039588879247e-06,3.23854580992969e-06,2.98398494843998e-05,2.38612442550163e-06,0.000537141993291467,1.79903164429172e-06,8.36784875657799e-06,4.89589591480886e-06,4.06463272082452e-06,7.0239780097635e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61933229424777e-07,6.89583858042634e-06,3.96739742590184e-06,8.45832349245422e-07,1.53941253175651e-06,7.9242605096382e-07,1.41734162862486e-06,5.78671456406958e-07,5.06142889490013e-05,0.000104108089311817,1.17928831007923e-06,0.000120853913744868,7.60995529139541e-07,1.34841607795935e-05,2.24821845078575e-06,3.87562428978534e-06,1.95576045573531e-05,-3560.96676936037,0
0.113157894736842,1,0.491692256260837,0.821284819529291,9.7,1.65953482822268,0.467283444267231,0.2637927211161,0.000203716461191592,1,0.896927905807532,0.965773181243011,0.978425149402675,0.966420947338216,0.952030935254179,0.98147620637392,0.979703169936195,0.961384245664105,0.948232651605046,0.97642029455695,0.942339404808783,0.841483761141594,0.987799126612992,0.702157172831038,0.942049883581967,0.988775575887267,0.975311833897141,0.918849412618857,0.960809016016624,2.73884620815122e-06,2.54530377175731e-05,2.91545953545231e-06,2.17960425420083e-06,3.75867175558183e-05,1.77046450069962e-06,7.72595937852437e-06,0.000118052242664433,4.42040072377233e-06,6.70330431901368e-06,3.68339026541504e-07,0.0176544947414418,1.87326458498458e-06,2.74229392710708e-06,1.69569301022766e-05,2.04570656890834e-06,3.63110093864445e-06,6.14871828859041e-07,2.04686325232376e-06,7.0234668399015e-06,3.51944117738745e-06,2.33228925219797e-05,6.65205227663442e-07,8.9230003558199e-07,3.0395859531609e-06,1.74441773381885e-06,2.31710083225065e-05,2.57689748244965e-06,9.37457465730125e-05,1.06337312333969e-06,2.25201033754446e-06,6.25945903305699e-06,2.21491987409887e-06,9.32886483950102e-06,2.13657190342584e-06,2.69660504822077e-06,3.08581095992236e-06,1.42731725840934e-06,8.08669945911844e-06,2.51919269750148e-06,2.93020265918605e-06,3.46164048580925e-06,4.37722395230145e-06,2.26965902659985e-05,2.10309191964256e-06,0.000219661046898672,3.66269187231517e-06,1.14646721202504e-05,1.09561162195355e-06,1.92591881963208e-06,7.56535359653942e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37098676760626e-07,5.11733528463178e-06,3.93789985126958e-06,3.86003659688356e-06,8.11553601092218e-06,5.75854182740529e-07,3.47720210195507e-06,1.03567232587644e-06,4.82491290944239e-05,3.48507178797333e-05,3.36333327532907e-06,0.000101534955285993,1.40085626531893e-06,1.79525445753736e-05,7.2723543700753e-06,2.94226893846932e-06,1.46200433888595e-05,-2319.98301323275,0
0.113157894736842,1,0.333130732020842,0.842405590960318,9.7,1.87902264001798,0.455054151306643,0.233731050503278,0.000428379152606588,1,2.41340918070701,0.974693028912407,0.980036380480342,0.978786302359477,0.84120737349851,0.978430684520902,0.976948141996659,0.960045269594598,0.943205281205242,0.958453672422565,0.950320935614546,0.889921977811917,0.99302309056377,0.667640345242241,0.960325715638998,0.977739134635694,0.966033558223395,0.936514516815068,0.977970777917303,2.15555457749897e-06,3.07979928203849e-05,7.11139309819302e-06,3.66503887376317e-06,2.14929871683146e-05,1.29228028042025e-06,6.83270799670077e-06,4.57168269085273e-05,7.27104580182377e-06,3.14157079057402e-06,1.16018048301443e-06,0.0154216106075126,1.70026844319857e-06,2.63642182869379e-06,1.45924510310631e-05,2.25867367146025e-06,8.16434525878534e-06,6.12421807183811e-07,2.46572230911525e-06,4.75928272743128e-06,2.61810689313951e-06,1.69900605565177e-05,8.966601477488e-07,5.72121334625701e-07,1.05205373428458e-05,1.648847879508e-06,5.84126475686241e-05,3.81748118971637e-06,7.16683022704152e-05,9.53695159581069e-07,4.78169902774279e-06,3.83261097894734e-06,2.79732338090254e-06,1.35905531146063e-05,3.25980377935123e-06,3.48659115743538e-06,3.78959423149861e-06,1.12313954727006e-06,1.1518056780613e-05,3.88255858510906e-06,3.52243018598097e-06,1.00855004171202e-05,8.7218009384604e-06,1.9189997710825e-05,1.145345499518e-06,0.000450096234582094,4.80864541198994e-06,5.26833910884357e-06,5.8580047775912e-06,1.46901667986724e-06,8.3051257622791e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.70383910102018e-07,1.51306041950897e-05,1.17221856721585e-06,2.09264244308565e-06,8.47379500245364e-06,7.59860612417697e-07,3.16619289321701e-06,4.60971449061428e-07,4.26353449374782e-05,6.60113887203989e-05,2.19600222553896e-06,7.27833869625545e-05,3.20526198414916e-07,1.38271738881085e-05,8.75966127404572e-06,2.94861341097088e-06,2.12213468282989e-05,-1692.65615277919,0
0.0973684210526316,1,0.334937084247953,0.913665125397207,9.7,1.59285712411596,0.502674394734358,0.233827513459869,0.00031419331701143,1,1.11234884669728,0.954442970797022,0.982142305428091,0.958846311753512,0.89323141322154,0.918330801362201,0.970484641480202,0.95537990694687,0.976127007118443,0.988190625745957,0.967320624535256,0.924801576500663,0.976233621190482,0.689367529790251,0.955166565027737,0.991057818384739,0.943188415346165,0.912300736780988,0.985624466971859,2.90721693243037e-06,2.26166144727682e-05,1.86585875786381e-06,1.17043927247172e-06,3.0599294532549e-05,1.94996845460764e-06,3.31704603986478e-06,3.35572773899416e-05,6.00468917555722e-06,4.81160313325036e-06,8.73407149382469e-07,0.024856429695194,3.48837245692857e-06,1.25926216608509e-06,1.66818333748193e-05,7.11437702431655e-07,3.07980603195967e-06,8.4242252413321e-07,3.15830532662383e-06,1.40495801326751e-05,4.40620067090818e-06,1.3857591293715e-05,5.75238656532577e-07,4.74679191112651e-07,3.78870260912514e-06,1.82505893817338e-06,9.61039036169206e-05,2.26592520049068e-06,9.15627685887826e-05,1.98013506895247e-06,4.24926539092523e-06,3.54467180362239e-06,1.23889290334979e-06,1.10616559934803e-05,3.27875525905037e-06,2.32097358590285e-06,6.76623964175074e-06,3.71092100865539e-06,6.44352776971657e-06,1.00097536082709e-05,5.08987945344936e-06,7.18051111389892e-06,3.32927489953007e-06,3.24996794540066e-05,2.98031770766493e-06,0.000548184131259768,1.20477907096828e-06,9.80209438971352e-06,3.2669249995093e-06,2.87799201404013e-06,7.93088922959664e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30249266921194e-07,9.68637984644606e-06,3.46150627740213e-06,8.9607792906309e-07,1.62987858098203e-06,9.33994426255808e-07,1.87615370362414e-06,6.37804507774439e-07,4.34102403488078e-05,6.30936916997658e-05,1.33317466787849e-06,0.000105030994784027,9.64515922154341e-07,1.19003019226437e-05,2.68990495559161e-06,3.87844598093989e-06,1.84736043045045e-05,-1713.38386451455,0
