"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","loglik","loglik.se"
1,0.24313108490701,0.181801927990694,0.786138850592771,9.7,1.64334287717876,0.474400191567911,0.273455751910016,0.000248007190572573,1,0.384517859783108,0.972650430477881,0.967861058531012,0.967857039490822,0.935547510776141,0.922873442872742,0.994729782633647,0.975093080858014,0.92937912665906,0.990016439220295,0.949828538473603,0.918565923989723,0.982972893148482,0.658346884045422,0.964227462000595,0.992930912621249,0.981011351321358,0.835693767558595,0.98043770481057,2.65152613347466e-06,2.60071786163485e-05,3.29032396627555e-06,3.21242137994862e-06,2.46251777731763e-05,1.26872793660291e-06,5.7210480509429e-06,9.73098991991462e-05,7.33661991470025e-06,6.26039905934211e-06,1.63014654995879e-06,0.0157499648815823,2.3886662756063e-06,2.6916253785928e-06,1.09184447633008e-05,2.34224034813686e-06,1.2736684160407e-06,4.23534124931136e-07,5.15684449992451e-06,1.3719505586835e-05,5.98520158970302e-06,1.41129750322987e-05,7.58536296830201e-07,1.95561026837468e-07,4.13462483219091e-06,1.89572183750861e-06,6.29559482697979e-05,2.59026095603263e-06,0.000146282838470124,1.28459582714299e-06,7.50144285749189e-06,1.14368685773265e-06,2.41682451751514e-06,1.10546519721926e-05,1.24762718212652e-06,1.73036117802792e-06,2.92554963427285e-06,2.62110464413537e-06,3.66796938480406e-06,1.33314506455898e-06,2.8455079166975e-06,4.80269280922063e-06,8.45744019218997e-06,1.74681515469607e-05,2.71365037432282e-06,0.000211319198291796,3.61164761205291e-06,5.19861553355477e-06,3.29761308529478e-06,2.81582002098811e-06,1.63904705748683e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55629126670753e-07,7.22613626121164e-06,8.34099912970468e-07,2.72885505821371e-06,3.67727693593825e-06,6.1272476097686e-07,1.97982766000117e-06,5.88113447010922e-07,2.22947794377593e-05,5.75058632494151e-05,3.15938624725213e-07,0.000151329763848759,7.32658425580344e-07,1.19337899282101e-05,4.30750074690982e-06,3.62761608847455e-06,1.77106277550693e-05,-1680.57277463384,0
1,0.244564588920817,0.178505530119258,0.840572532170355,9.7,1.88067422340423,0.454533248879521,0.259184700827745,0.000351589469758477,1,0.714753626960661,0.996616624716847,0.981124156661058,0.97252329156791,0.880023493074994,0.949363396616477,0.992562752473429,0.987842689780976,0.93200627866375,0.944886914984319,0.935990369506096,0.90180606620783,0.99398694198788,0.692510322494803,0.978370403229705,0.985913159275656,0.966735531130742,0.960963266672178,0.964549151399714,2.04469263557449e-06,2.07604240257607e-05,1.30206783672867e-06,3.87871872292532e-06,3.39282770976419e-05,6.84207913874526e-07,5.78083956662487e-06,8.2698642935561e-05,8.97191176632617e-06,1.68125687130332e-06,9.89464300913072e-07,0.0122382773059767,1.18110091026028e-06,4.95239399885799e-06,1.0669260677571e-05,1.01760622317994e-06,4.25670128869772e-06,1.05572597155225e-06,5.40259933482331e-06,3.08129376241105e-06,5.67500733039797e-07,1.22064341006874e-05,2.77611657229985e-07,4.01022144280272e-07,4.57494977137889e-06,2.37465841002691e-06,5.94451060434357e-05,5.77672395898526e-06,0.000157212939989968,4.42729279619114e-07,4.00654561374909e-06,5.09476713220502e-06,1.16959824349052e-06,6.88853018441585e-06,1.62654463040708e-06,8.08931544955736e-07,4.69687567875681e-06,1.13547937430901e-06,3.75447172162166e-06,5.82229057779692e-06,4.57903575108907e-06,6.47631546208153e-06,6.1098951719244e-06,2.60059079163184e-05,2.27709375794408e-06,0.000344547385863458,3.63913988392816e-06,1.08638207534224e-05,5.42756482768465e-06,3.37687132211885e-06,7.92599543253995e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41795167511434e-07,2.93729384194722e-06,2.19887816824583e-06,2.81687997995812e-06,6.57934910003967e-06,1.5065169724312e-07,1.53930292722026e-06,2.67524769110252e-07,2.29332115181837e-05,3.91922679187294e-05,5.17805184821379e-06,0.000102784919306378,7.18070316933078e-07,1.35364490757978e-05,2.31818314339584e-06,9.93144686145699e-07,1.22299332636894e-05,-1681.68263222352,0
1,0.243929131573228,0.162741532101538,0.769118500488238,9.7,1.6164413581913,0.472738624619443,0.256828518700447,0.000299113919805703,1,0.648692132828267,0.923742383879408,0.990113494407861,0.98631843900981,0.96210086707228,0.9871983982997,0.994220689342676,0.990008687213547,0.959396412810304,0.962208495209821,0.926419461396584,0.94825183092004,0.987525988493827,0.722654882872563,0.958152448026127,0.989608921749322,0.974069102405625,0.959498025450224,0.988398611968665,4.42467858832232e-06,1.95731474147321e-05,1.66185668261764e-06,1.90995351093809e-06,1.66658881639077e-05,9.64591847378989e-07,8.46354012805322e-06,8.65239335457792e-05,8.54159655392726e-06,3.13605665239745e-06,3.91379569497289e-07,0.0220848062175377,3.978179519044e-06,1.32035163368773e-06,1.0970114072096e-05,1.43304810054512e-06,3.33095055006925e-06,1.00463552236944e-06,8.5259235166502e-07,3.59978903816939e-06,2.5060799534019e-06,1.97969414097822e-05,3.93571600012508e-07,1.02562530762093e-06,3.21794093367857e-06,1.58917947059408e-06,6.47225911930074e-05,1.95835412620767e-06,0.000100271105003221,5.57523472608159e-07,3.60536395828467e-06,3.3837115915381e-06,2.35703932267999e-06,8.60157128735772e-06,3.25022054381849e-06,3.03999205737345e-06,1.83617142787035e-06,2.72960207668565e-06,1.30550667630876e-05,5.75466728080209e-06,1.29074518823544e-06,6.7897046816524e-06,6.33617089600815e-06,2.92283992483023e-05,3.99590181306399e-06,0.000583473501584961,3.93294970681815e-06,4.31938666047366e-06,5.18333139042567e-06,4.12728875503818e-06,3.21961790934457e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5048369369296e-07,8.97646120910528e-06,6.51392278359618e-07,1.27737665622958e-06,7.47796255742672e-06,5.65257421609312e-07,4.05099458635296e-06,8.30093307463854e-07,3.08169655287202e-05,0.000108365066545952,7.1914013096525e-07,4.40723979154278e-05,1.43691536696416e-06,2.24321221196947e-05,7.84262376879342e-06,1.67485646003609e-06,1.81134285628552e-05,-1684.56922245684,0
1,0.244429592478824,0.18008121044118,0.813349234782423,9.7,1.72894653105604,0.457358345571912,0.258609890892671,0.00030692091878486,1,0.948073448590147,0.991748560948426,0.951483512746529,0.975464228197502,0.916275117422698,0.980830247059017,0.965537194257,0.98379264281891,0.937680934748675,0.981708526989129,0.934770554126146,0.881823460836894,0.97224630436025,0.70794585006353,0.959291052916465,0.972005517436931,0.977419739042386,0.915657123871231,0.991591254002044,1.35234260363164e-06,1.80408849774977e-05,5.1133361211974e-06,1.5084035146819e-06,1.56807301610171e-05,1.87518205785658e-07,7.25682119153944e-06,7.11497864043227e-05,5.78199282782493e-06,1.85164702101337e-06,1.55583123263715e-06,0.0162500895928379,4.39031693274405e-06,3.9587143578523e-06,1.25736987733874e-05,1.94436789105244e-06,1.73997605303294e-06,1.09605546604047e-06,4.01878517420422e-06,5.28480616018583e-06,2.53628688517167e-06,2.7534680055263e-05,4.7287381946992e-07,1.04073470126453e-06,4.0775733728414e-06,6.90792337204619e-07,5.81920196258868e-05,4.44754057568946e-06,0.000142305624648264,6.96989088203547e-07,5.27408973344112e-06,6.32198475303297e-06,1.4559431875556e-06,8.02888499030042e-06,1.06973908237481e-06,1.75092083917232e-06,2.37525185326681e-06,2.27614066833217e-06,1.44268741234897e-05,7.86342605977376e-06,3.23330992964665e-06,9.02915370249973e-06,4.05886052632361e-06,2.67792663016429e-05,2.61465246382406e-06,0.000369024827771861,1.96788696691777e-06,1.25384195759336e-05,6.18321626333546e-06,2.82467927664555e-06,5.77169774254097e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55924682902259e-07,3.78042322733806e-06,8.83592947509644e-07,1.26768237598896e-06,4.67252652524309e-06,3.52526730673575e-07,6.41457145253011e-07,1.26892919141388e-06,4.22142419045486e-05,6.36148098765354e-05,1.74667681786047e-06,0.00013531564778217,8.42550827034771e-07,1.72083361254488e-05,2.3344334958967e-06,2.17218426263264e-06,1.26311202848855e-05,-1685.36351257541,0
1,0.32408431843214,0.141094962874232,0.899734396957434,9.7,1.92767983125728,0.434538317685388,0.237039279803582,0.000471813671192724,1,1.49680097261472,0.978284310724254,0.975689565093603,0.958851186857264,0.907635115835694,0.987530122093445,0.994150220870504,0.98279190933107,0.976188825255881,0.97427552792753,0.949273540636691,0.946943884482047,0.980239114440822,0.682940047956756,0.952224166988229,0.977335769626469,0.973050388456385,0.916611078942961,0.975786316348678,1.05976930012543e-06,2.38706140958797e-05,2.88441877439048e-06,4.23168456611398e-06,3.39004818570047e-05,2.44871455658503e-06,4.75754272222639e-06,5.85827975638544e-05,5.69388568161903e-06,3.53939254241251e-06,2.55636319205608e-07,0.0110887105553617,3.42441413167498e-06,2.05516424009274e-06,1.83176376532287e-05,6.02186331940398e-07,9.47408349756479e-06,6.47037707272962e-07,2.34236239735442e-06,9.37354757564361e-06,4.74872296201742e-06,2.66006601694192e-05,8.038767788787e-07,1.72069644909386e-07,7.94066808197103e-06,1.49412405422394e-06,3.93114458663054e-05,3.61454769398827e-06,0.000123851870679992,1.55335276307635e-06,1.95352275558789e-06,5.15159881686535e-06,2.56639626314469e-06,1.41799075899833e-05,1.16589608878523e-06,3.1014382684573e-06,3.81801176597521e-06,5.28335537678908e-07,1.48023091242897e-05,9.44787184331663e-07,3.63440303453886e-06,6.40236629871741e-06,2.53503255655131e-06,2.8003759460269e-05,2.03477158809671e-06,0.00025304411141856,6.42644887367191e-07,1.19161886163312e-05,6.60498178314395e-06,4.00234374028614e-06,9.03031004803802e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3098846179558e-07,3.76610348983344e-06,1.12738453946884e-06,4.04789256998495e-06,1.09105182531932e-05,8.68465710403195e-07,2.12640485480161e-06,9.27984378789187e-07,2.68029453656745e-05,8.40234000934125e-05,1.82634610967688e-06,3.7693283449743e-05,3.5828438930069e-07,1.54745113149251e-05,1.60838255453333e-06,2.55228734803697e-06,1.65566266330652e-05,-1685.95963134934,0
1,0.243119813955014,0.183105771966372,0.843435881035494,9.7,1.53786672139529,0.480749032694669,0.272964902049483,0.000211529216077281,1,0.660484297785065,0.965572237915595,0.981447751074183,0.957047807613892,0.969240624360316,0.967851801978488,0.982511144655144,0.992284615953586,0.983138159506879,0.985395509402845,0.95833408817005,0.886186700840162,0.970033122413666,0.883727514114524,0.954747863509039,0.98378394059541,0.941264054440614,0.919300916543372,0.982900125394598,2.18140240909229e-06,1.10118118831437e-05,1.55147235746958e-06,1.53977235294568e-06,4.34392045345286e-05,7.56868786008512e-07,9.36631651632649e-07,5.86377669164258e-05,8.53104745813847e-06,1.73460360340959e-06,3.99895144213911e-07,0.0273550141211338,6.11951274501951e-07,3.8061233562469e-06,1.21309283266724e-05,1.5355243298484e-06,6.59298392667747e-06,3.17382922893587e-07,2.94136561034346e-06,8.33062569966603e-06,5.89980807948352e-06,2.06931299299378e-05,5.02865275508236e-07,9.13428369641721e-07,4.15093906380199e-06,2.13241718095098e-06,3.44402091519655e-05,2.73167028571083e-06,0.000111747997901744,1.00863416752709e-06,7.28118841723391e-06,1.43096135995745e-06,7.85569978279575e-07,1.67929792094776e-05,1.70234217759233e-06,6.19696051368004e-07,1.87147484336047e-06,1.53549089280987e-06,1.77526505274333e-05,5.11660667055849e-06,3.55044861655159e-06,6.21934229757644e-06,1.13179659775011e-05,1.94283678289865e-05,2.01027282978998e-06,0.000374640567227129,1.34665600925602e-06,3.54596488547244e-06,4.87229549769645e-06,1.34217042140711e-06,6.70207934137559e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21683849032222e-07,3.82189181864541e-06,9.5569396628614e-07,2.48256072188109e-06,2.92659112818898e-06,2.90606811830742e-07,7.04809939551538e-07,6.78795083359847e-07,5.01345759697268e-05,4.76213021438545e-05,4.37517641925241e-06,1.94566166268447e-05,9.57609499839956e-07,1.40109286177615e-05,2.68616335568638e-06,2.71668231613582e-06,9.38297218323482e-06,-1686.1758348864,0
1,0.226695762313755,0.176208549312098,0.832094138722753,9.7,1.42452618553767,0.509130276582428,0.286143499682246,0.000175126527210654,1,0.501109319727076,0.981883865810774,0.978762215733215,0.982673855275558,0.934201331012191,0.946621856417914,0.972605623676802,0.987524917896065,0.918684457799677,0.952111141475898,0.948953767293528,0.905670093482696,0.971203668853875,0.591490341780745,0.939657853513121,0.96901374106315,0.972941986398499,0.951125171972271,0.985061599155845,1.08349731456319e-06,2.36955418465509e-05,1.71523575048616e-06,9.67072581989248e-07,6.40131708913471e-05,1.89684055155912e-06,3.89948638551504e-06,5.54617515232661e-05,4.0468825577398e-06,5.84570716700951e-06,1.05338158491449e-06,0.0197525387229349,4.8285984857611e-06,1.5193461372584e-06,7.63643841942325e-06,1.81778027534105e-06,4.46201667196344e-06,8.1616249252193e-07,3.86795710064643e-06,5.71109526381616e-06,1.04049027435246e-05,1.19787586915291e-05,5.41891888165571e-07,9.48839098546443e-07,4.51179531048286e-06,1.9114302537751e-06,5.42808257688572e-05,7.52286179488959e-06,0.000196490864859272,7.72299729099319e-07,3.39731237473136e-06,5.06354198028054e-06,1.60118522750409e-06,1.73806721662989e-05,3.49883318945147e-06,1.4006754136745e-06,3.67520222594036e-06,2.07103157035471e-06,1.29967542092286e-05,9.95447845708248e-06,2.18772762485361e-06,2.85367396102828e-06,7.20286499584332e-06,2.97045647068941e-05,3.73092761556105e-06,0.000283475753506575,1.76502651783944e-06,5.90441728981459e-06,5.28222176599975e-06,3.94131973211499e-06,5.32639021512429e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76134215631022e-07,1.75811688388928e-05,1.55535813244872e-06,4.60927729115536e-06,8.16409807502784e-06,5.15168371611514e-07,1.43783149987418e-06,8.78862428276397e-07,4.74450611067692e-05,0.000109230510371418,2.37119037394163e-06,0.000118788798513932,3.21074800994284e-07,8.08223247061002e-06,6.59058088321821e-06,2.14480268300947e-06,7.39369433943854e-06,-1686.2472070939,0
1,0.313158639878889,0.157247009437288,0.9264968447017,9.7,1.49486760104829,0.4575400985725,0.255164420258975,0.000280428648355707,1,0.987859159144958,0.982862651305409,0.951779805389021,0.985537019757359,0.880811795982772,0.93289237454105,0.983043720538729,0.974809299419526,0.942473926050359,0.968590494612738,0.982862655989971,0.969181291968115,0.974870277564523,0.718186602586143,0.964929799386627,0.978344888873143,0.960362419382408,0.946884839587769,0.985860856497088,3.30003728260775e-06,3.16861512132728e-05,2.13128330332929e-06,5.48960085558569e-06,3.80543515032116e-05,2.19084528538138e-06,2.80115862626244e-06,0.000118921460949562,9.05135658237883e-06,6.31632932972659e-06,4.28139888459549e-07,0.0176813184302923,2.83891643516044e-06,1.64209832300941e-06,1.04979761807717e-05,2.39457529336541e-06,5.61034018273056e-06,1.11271590005887e-06,2.7290699234002e-06,8.47660937645294e-06,2.62154366123505e-06,3.18349148772674e-05,2.85924495013821e-07,1.41275738199995e-06,2.83964641649011e-06,2.59081434943466e-06,5.63206773749071e-05,2.41483553100179e-06,0.000178240818702933,1.56290859500432e-06,6.06052628960114e-06,4.59232638394577e-06,7.24845050558596e-07,1.64581430845172e-05,1.57428452098105e-06,1.3055932430217e-06,2.66249785403888e-06,3.39793309144337e-06,7.10520634160926e-06,7.09947932314462e-06,5.9048317760125e-06,4.9359630294943e-06,6.09691190116328e-06,2.8337323155496e-05,2.55011778884976e-06,0.000124354536940164,3.31315897038654e-06,1.19662117740531e-05,5.26284257394178e-06,4.06482180095746e-06,4.56614971265646e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7904466188923e-07,5.5524937821003e-06,4.2815556287903e-06,2.79369678579239e-06,1.34876018541423e-05,7.3736206842049e-07,4.16758783337976e-06,1.27931653010278e-06,5.33354206433198e-05,0.00011336768208789,3.85851586468605e-06,0.000161309294167357,1.40996339786091e-06,2.18277247432071e-05,4.71751770026452e-06,4.03013554219212e-06,2.32154260479307e-05,-1686.41481980526,0
1,0.29325502475634,0.165631044381245,0.914413014237765,9.7,1.61691583251065,0.461451171223644,0.26347361789929,0.000269497192036621,1,0.90842472715252,0.93034580629268,0.939929469159315,0.960468888265635,0.870206414086987,0.974620243941213,0.990005221459985,0.95680053229637,0.964199111757749,0.984554275831095,0.985483136626309,0.96156855672816,0.991932862263127,0.785575343424264,0.951274528303333,0.994137125507978,0.959885636854624,0.927359950906066,0.957462084607073,3.44836948468114e-06,2.2656490332739e-05,3.27995295829954e-06,1.8556428467908e-06,5.47802242528663e-05,1.72688814223177e-06,8.56142458947035e-06,6.81919027437613e-05,8.25078360285994e-06,4.93583799846711e-06,7.29494182415408e-07,0.0180859329065859,3.51859379045621e-07,9.3509543038982e-07,9.5555166271816e-06,1.02220776010689e-06,9.32118871274325e-07,3.05695241719649e-07,2.41557500965235e-06,9.70680478366719e-06,5.29538097806802e-06,2.22716732731221e-05,9.41823241926816e-07,4.42522047734206e-07,7.53010855579356e-06,7.15741526396689e-07,5.11771601514012e-05,4.94693304618323e-06,5.3100922054277e-05,8.09857412870412e-07,4.6790390895808e-06,3.49479259029643e-06,1.51106619158431e-06,1.55841701327909e-05,2.86087513326889e-06,2.29885718510121e-06,2.47638773538923e-06,2.98816302045238e-06,5.17212825466986e-06,6.75975606417195e-06,4.50674452696575e-06,3.31296656211363e-06,5.24452644151921e-06,1.19429536623126e-05,3.19390511610497e-06,0.000280049414788222,3.92133018370408e-06,6.72528428660432e-06,4.94842493373675e-06,2.49828411036607e-06,3.71181438624628e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04507876665723e-07,1.0832242526563e-05,2.11815926376943e-06,4.08786750364034e-06,7.50148977729601e-06,5.37940956845147e-07,5.66892673294696e-06,1.14112155482832e-06,2.76952691702309e-05,0.000123663333106261,1.19819402199413e-06,0.00010010346548139,1.1882982231668e-06,1.64563517436563e-05,5.07147376743397e-06,9.47069944854719e-07,2.3216869721721e-05,-1686.5172234958,0
1,0.32317906577481,0.138365355995645,0.8071198284812,9.7,1.76113318777835,0.460600732798777,0.251526699874755,0.000320978043894131,1,0.988616748931264,0.987428569112939,0.964961146409676,0.962924506786001,0.867968734508404,0.929771024612035,0.977869672832571,0.941223670235153,0.933417199269403,0.966173747112262,0.932317968682596,0.843774292239823,0.989074221248328,0.926315866855341,0.957414186511254,0.972702278611945,0.986812079944056,0.947721282462438,0.952789646025219,1.52222631385856e-06,2.55585722359078e-05,1.51287758606972e-06,4.47080793489691e-06,5.2958326430299e-05,1.25139534304774e-06,7.26331727167409e-06,7.99047548798566e-06,6.45023910965313e-06,4.58897013709754e-06,5.17956066700506e-07,0.0197117344562684,1.09575265414998e-06,8.29680354960944e-07,1.08690134876581e-05,7.50525720561723e-07,9.05042435268222e-06,9.37353210122042e-07,2.73946122556128e-06,5.84068031772807e-06,2.79388259234128e-06,1.76604927233154e-05,6.52688207189893e-07,5.2674942543309e-07,1.06642222679285e-05,1.33556128386557e-06,4.06900876686719e-05,5.62678627887479e-06,0.000238632416445588,1.2696192794646e-06,4.09583316292953e-06,7.50990326707803e-06,2.4464899371236e-06,1.29940476417744e-05,1.09896084528416e-06,1.55386411173356e-06,3.64671822225932e-06,1.31529160753628e-06,3.24485939087825e-06,6.03579440339884e-06,4.65717802843027e-06,3.74172432440459e-06,5.5417116390055e-06,3.43089421097666e-05,4.86978044118348e-06,0.000388839080444327,1.49370643244419e-06,6.09787387172498e-06,4.9145772943515e-06,1.30766717616828e-06,8.15417927668056e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61037447314242e-07,9.43379397335612e-06,1.30618172182194e-06,2.89558829945491e-06,6.38330748652422e-06,5.46833255160316e-07,2.76975941760458e-06,6.90568555100515e-07,3.02251906113663e-05,6.71578798313235e-05,3.12552563498048e-06,0.000119734868697437,1.06042527869991e-06,1.20062191385667e-05,1.97109614650853e-06,2.647259314072e-06,1.03514984786829e-05,-1687.24049035967,0
