"quatar","alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
0,1,0.240819438803002,0.161569263072564,0.99847774663763,9.7,1.68806006620509,0.480769436980168,0.270908072858246,0.000308984592239336,1,1.13138987318751,0.945661458258069,0.983128821741704,0.889058164242926,0.743868243966734,0.713223598085218,0.993026475629925,0.846759629895588,0.974488229518464,0.91169204187107,0.777736783203814,0.588770250781719,0.981189950850109,0.805247890703321,0.866679874449798,0.969493308851063,0.778448356554162,0.843237181711691,0.883405523591589,0.893624453490819,1.48005639287739e-06,9.93317509218966e-05,1.26876465055255e-05,5.67561259222339e-06,5.7294140022283e-05,9.0193400379634e-06,2.16747414854166e-06,0.000248931614948659,1.26793596214287e-05,2.43423980605451e-05,1.55318844601839e-06,0.0142088477538037,3.282089158329e-05,2.8830654322976e-06,6.78700180410666e-06,1.17903769956501e-06,3.30221606646266e-05,7.94445180795755e-05,2.68868770471257e-07,6.43129094699587e-06,3.97231006996728e-05,1.64316334479442e-05,4.49534831359989e-05,1.36693081771506e-05,2.17864794876811e-07,8.50561321199221e-06,8.37721805884404e-06,0.000128605252600305,8.2086210704058e-06,0.000260990462594788,3.59752481918483e-05,2.08399404622626e-06,6.16743747981673e-06,2.35032202184943e-05,3.87351268820837e-05,7.64653092748068e-05,5.62597192516106e-06,4.32672955891792e-06,1.71632458449229e-05,6.45978556288636e-06,0.00011147835425122,2.36203192461303e-05,1.63102435923755e-05,8.65629031732752e-06,2.29112316791421e-05,8.26181807386234e-05,1.21686374865951e-05,0.00054522267656341,5.08150803799055e-06,1.87944477805602e-05,7.93975671974002e-06,6.28848259125319e-05,2.20845067674471e-05,2.4720828615162e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26972912666122e-07,0.000117001111668311,7.07852041268393e-06,4.21370027059409e-06,2.96933991527056e-05,5.0861396068706e-07,1.16502025369322e-06,1.00592430852895e-06,4.2670814965886e-05,0.000166126288036693,3.23483752889055e-05,4.6289257612264e-05,2.13843430664568e-05,3.98997240810027e-06,3.82399157100297e-06,2.19346283164212e-05,5.95713421918334e-05,5.18364864426162e-05,-14034.6618795861,0
0,1,0.298322251756141,0.162306205925465,0.999287738966287,9.7,1.73855370318983,0.479493179149038,0.25392067635249,0.000249384484080908,1,0.950409754264516,0.968289633993196,0.93973207676972,0.883823401716033,0.584397126833702,0.885068125747807,0.954738895235971,0.83986433724841,0.898756292393391,0.940715950754413,0.753271535521268,0.655543254520522,0.939761405135499,0.916020448264704,0.941555527458336,0.977460118541838,0.983938975066017,0.945570908799293,0.954011604972058,0.940864405551931,1.57546998189963e-06,0.000291599883134818,2.42015505905862e-05,4.09715991495977e-05,6.01577749063023e-05,6.43489727773429e-06,1.64961821308511e-06,0.000103334274520381,1.22006893724237e-05,2.11158296755335e-05,8.61963323763324e-07,0.0144337813670559,6.66078003866625e-05,2.7451354914165e-06,1.26520355099005e-05,1.04909712282061e-06,2.31995104060896e-05,4.1788757260632e-05,7.0934355911659e-07,5.66872141094515e-05,4.68709628423723e-05,5.43097980064977e-06,4.27072714984238e-06,4.26258567417002e-06,2.92951527393353e-07,1.40699666867751e-05,1.48381836945222e-05,9.09532212057867e-05,3.56785665861438e-05,0.00022732733202129,3.7168944891967e-05,1.20351197006579e-06,4.57598153532047e-06,5.15200626990557e-05,3.40111037508927e-05,6.89107554045566e-05,2.12853006303163e-05,4.43694703961284e-07,2.36463748424531e-05,7.46339630127698e-06,7.36410177398961e-06,4.49116097482359e-05,8.62874968131027e-06,3.22398994088699e-05,1.78323457678414e-05,6.13189330127362e-05,1.40643313265872e-05,0.000612555299945854,3.06530892759533e-06,4.89893285005457e-06,8.45597899492652e-06,2.70670118421047e-05,4.31549306776121e-05,1.16471851524256e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06306850261515e-07,0.000164303312620918,2.23512549329634e-06,5.2565048180359e-05,3.13049535053204e-05,8.88751981756385e-07,1.07067194950012e-06,1.41026694508654e-06,4.3596992314137e-05,9.02301309950483e-05,2.70893679116929e-05,4.32415837113477e-05,3.43762097617215e-05,1.81418136763391e-06,1.45474525094026e-06,8.66746408213746e-06,1.7577577546276e-05,0.000188595854609067,-14660.6408901212,0
0,1,0.26272527230896,0.15567372024935,0.999310219813151,9.7,1.6072702470295,0.450139249033035,0.27806066086067,0.00027230760260338,1,0.970518656367071,0.977607118119425,0.968034301751449,0.930936264458068,0.645732171884868,0.838201436385283,0.944663216184931,0.791597288718165,0.89546359947491,0.958130296084418,0.973458764664185,0.695607056763805,0.914904277706734,0.851888967571272,0.906613556054351,0.948248483008997,0.875149824089153,0.726284350754431,0.913134399962313,0.926831254144343,2.24336510505526e-06,0.000370769114046022,5.60216706856498e-06,1.91217027093184e-05,3.43850609501277e-05,6.72205758442642e-06,7.86524987324187e-07,0.00011951175679019,1.19127364530968e-06,3.29465804205759e-05,2.65914864162648e-06,0.0160083166598214,5.0840576278422e-05,1.77962590524881e-06,1.10524808628658e-05,8.32529494913284e-07,2.42909159903715e-05,1.46824639193116e-05,8.34057015679584e-08,3.00811371410926e-05,2.82865212713537e-05,2.44321088277946e-05,6.40983094824255e-05,1.00857948426818e-05,1.63256262137507e-07,4.45881068487734e-06,3.678333960169e-06,9.51367802496221e-05,3.68729120433497e-05,0.000350758810790784,7.32652738900178e-06,2.72434464707024e-06,1.92355496116005e-06,4.07443540526859e-05,5.13325218985933e-05,0.000111704563541595,2.77332595089097e-05,6.71628946966046e-06,9.75395556203127e-06,3.78349026051139e-06,0.000151140926623498,3.67226518628107e-05,9.48224900476196e-06,3.56089864219474e-05,5.49790855468272e-06,4.85393843772038e-05,7.113453913283e-06,0.000724776338916596,6.87368502500852e-06,4.2947800269891e-06,3.8099785182481e-06,4.37819917416374e-05,3.33220661862017e-05,7.47150929532478e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23098741495556e-06,0.000159047512515072,1.00590711323071e-05,4.71926761903851e-05,4.2585833973624e-05,3.29725480183847e-07,1.91980668723803e-06,1.07101475859111e-05,3.52613961798772e-05,0.000125648337614482,4.63723949614722e-05,7.06706488195938e-05,3.08329733902857e-05,3.16109963077975e-06,6.53170165107463e-06,3.15834750322639e-05,1.15784683111964e-05,0.000214711701573147,-14649.5968577449,0
0.023144372449032,1,0.240819438803002,0.161569263072564,0.998652007214477,9.7,1.68806006620509,0.480769436980168,0.270908072858246,0.000308984592239336,1,1.13138987318751,0.945661458258069,0.983128821741704,0.889058164242926,0.743868243966734,0.713223598085218,0.993026475629925,0.846759629895588,0.974488229518464,0.91169204187107,0.777736783203814,0.588770250781719,0.981189950850109,0.805247890703321,0.866679874449798,0.969493308851063,0.778448356554162,0.843237181711691,0.883405523591589,0.891736150573852,1.48005639287739e-06,9.93317509218966e-05,1.26876465055255e-05,5.67561259222339e-06,5.7294140022283e-05,9.0193400379634e-06,2.16747414854166e-06,0.000248931614948659,1.26793596214287e-05,2.43423980605451e-05,1.55318844601839e-06,0.0142088477538037,3.282089158329e-05,2.8830654322976e-06,6.78700180410666e-06,1.17903769956501e-06,3.30221606646266e-05,8.34367958794586e-05,2.68868770471257e-07,6.43129094699587e-06,3.97231006996728e-05,1.64316334479442e-05,4.49534831359989e-05,1.36693081771506e-05,2.17864794876811e-07,8.50561321199221e-06,8.37721805884404e-06,0.000128605252600305,8.2086210704058e-06,0.000260990462594788,3.59752481918483e-05,2.08399404622626e-06,6.16743747981673e-06,2.35032202184943e-05,3.87351268820837e-05,7.39702742366421e-05,5.62597192516106e-06,4.32672955891792e-06,1.71632458449229e-05,6.45978556288636e-06,0.00011147835425122,2.36203192461303e-05,1.63102435923755e-05,8.65629031732752e-06,2.29112316791421e-05,8.26181807386234e-05,1.21686374865951e-05,0.00054522267656341,5.08150803799055e-06,1.87944477805602e-05,7.93975671974002e-06,6.28848259125319e-05,2.20845067674471e-05,2.76620006104901e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26972912666122e-07,0.000117001111668311,7.07852041268393e-06,4.21370027059409e-06,2.96933991527056e-05,5.0861396068706e-07,1.16502025369322e-06,1.00592430852895e-06,4.2670814965886e-05,0.000166126288036693,3.23483752889055e-05,4.6289257612264e-05,2.13843430664568e-05,3.98997240810027e-06,3.82399157100297e-06,2.19346283164212e-05,5.95713421918334e-05,5.23078042106811e-05,-14034.6583027648,0
0,1,0.276416418250183,0.168201748748679,0.999197796883286,9.7,1.65776388401424,0.469283116499993,0.275378440359761,0.000359415452988775,1,0.789538537444077,0.978938187280315,0.985015636740486,0.841945301500892,0.878805343079299,0.760090287447742,0.938617808754307,0.895026678425833,0.925097835741243,0.894277696541064,0.818512196008058,0.976053672466781,0.917666180754374,0.869379371396753,0.901621845853782,0.956215292699772,0.887237507531027,0.828618077842033,0.924282728601334,0.976758582017192,3.86539611843324e-06,0.000382079004176193,2.9451122797048e-06,2.75255090325027e-05,8.30668539784576e-05,4.1376148241973e-06,2.1099346001576e-06,0.000146474227239871,8.37132738038408e-06,1.25116473155027e-05,1.96792351937142e-06,0.0126343124610382,4.85881156915305e-05,3.8485750184653e-06,1.69175145686597e-05,7.02588918168884e-07,1.44682657318346e-05,2.39532252785241e-05,1.52954352406695e-07,3.30373679153547e-05,3.54343834140532e-05,1.34314551805002e-05,6.17052061891222e-05,7.84609900863882e-06,2.3834299465405e-07,1.00231641596603e-05,7.41531398497088e-07,5.7484748855104e-05,2.61238029284958e-05,0.000137558983825295,2.76193712910181e-05,1.84386257090977e-06,5.99060904153937e-06,6.87611965332472e-05,2.14137087343831e-05,4.16414363135131e-05,2.86543964915658e-05,2.83325461470383e-06,1.62370845595615e-05,1.0139691603652e-05,0.000126351818890824,3.18092771315555e-05,1.80075509369676e-06,5.91925955134897e-05,2.36367868093279e-05,2.72401366513166e-05,1.91195148998994e-05,7.38943128862946e-05,4.85748591461331e-06,9.73215543457827e-06,1.25857571964184e-05,4.61698460129992e-05,3.19173712588574e-05,1.65145946839864e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04097835102466e-06,3.81641100806325e-05,1.11767776521657e-05,3.82387228737619e-05,1.8412518684402e-05,3.52086540246749e-07,3.15885515955311e-07,4.64500803754726e-06,5.10064111001458e-05,0.000130708081417259,4.11133875842597e-05,1.88601925040179e-05,6.03031879023488e-06,2.64305414495443e-06,4.16245533101192e-06,3.76140042296656e-05,3.35752021731549e-05,0.000152680023934706,-14664.4650036033,0
0,1,0.251772355555981,0.170412577307384,0.999484912838787,9.7,1.80924479496846,0.455244280357557,0.260179190854611,0.000253969107785402,1,1.05095426477729,0.961634288188747,0.975581561746576,0.951875314565639,0.792936280007666,0.77571251723525,0.968844845907428,0.874340800484299,0.934975914496687,0.842034660551047,0.745116452960419,0.96269907171902,0.970142338659546,0.921850582873198,0.886646715252075,0.95887089593003,0.923500557856648,0.667807935275802,0.927998838147675,0.865757132817554,2.6250194611442e-06,0.000325529553525334,2.33158656609662e-05,1.23986576507709e-05,9.16577586305157e-05,5.57341635765792e-06,2.3976323420779e-06,0.000141081733149935,3.10595464132952e-06,1.14361245204989e-05,1.00020834821434e-06,0.0151085822068126,2.38110492357239e-05,3.434785195822e-06,1.31852203922454e-05,3.12767187935687e-07,2.46280430473395e-06,4.58320882980937e-05,7.32526442729503e-07,1.82562140440442e-05,1.1131652128875e-05,2.84323465177199e-05,5.45258963092122e-05,1.12701150650982e-06,1.90560528507159e-07,1.45758170026645e-05,1.07266601081816e-05,7.84025440742808e-05,3.20955302145257e-05,0.000305874636692786,3.12004613913739e-05,2.40416934664825e-06,1.2162412080506e-06,1.48826533013985e-05,7.24163934080981e-06,3.54210136665379e-05,2.40487115782849e-05,3.13194960354665e-06,6.04931042058544e-06,5.12163791169888e-06,9.16470680650807e-05,1.70691529377901e-05,2.65522354737957e-05,4.90853344742573e-05,1.42045701169124e-05,3.1499986196494e-05,4.58586212662692e-06,0.00027589218303363,2.39324255746359e-06,6.71139131925095e-06,1.41344240219779e-05,7.24362429979791e-05,3.89408458955791e-05,4.82827577248864e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91365166457399e-06,0.000138024312091691,5.58824505287235e-06,5.43558388436835e-05,3.61396165631648e-05,2.40281239932241e-07,2.29719990401044e-06,1.23275181321415e-05,3.89661055728816e-05,6.49314119811666e-05,2.53363654526221e-05,8.28613444232589e-05,7.21139758071349e-06,1.08891768747845e-06,5.1778466110388e-06,7.46135824265712e-06,1.95772806246358e-05,0.000186835668497387,-14651.6081889628,0
0,1,0.295584022567896,0.158621491660957,0.997707187148667,9.7,1.64766515661729,0.475664405655646,0.274484366859458,0.000327323087057314,1,0.729211831136413,0.982931394762985,0.945392521766066,0.868119114135355,0.596664135843935,0.52575684063512,0.936602672944098,0.984665482839145,0.98765900119239,0.934911168977744,0.875597773933999,0.749025459754848,0.925951889897296,0.828568429137296,0.966514078461182,0.916381244245899,0.730097622786667,0.901713597190321,0.987456590889123,0.944585136752967,1.09840203678846e-06,0.000144571311442584,9.14490678704521e-06,3.92908378849608e-05,4.58396004862054e-05,9.78851450583944e-07,1.47699956793292e-06,0.000227361638588914,1.07646786254089e-05,2.86444892405605e-05,3.21212873943054e-06,0.0115096443947771,5.9850418625988e-05,1.22790614172441e-06,4.65426227472707e-06,1.00578359723915e-06,1.9925293653244e-05,9.18240195288541e-05,3.61600304922906e-07,6.55559064322376e-05,3.40048109855133e-05,1.24313957580189e-05,1.6236243616359e-05,8.29403817544743e-06,2.99777593985766e-07,6.48221194843478e-06,1.32889191083147e-06,0.000145339488775647,1.29860028992298e-05,0.000126337940300796,1.21013141894762e-05,1.12346814496029e-06,4.04549622048839e-06,4.93649209697817e-05,3.24364293738289e-05,8.45449218710939e-05,9.31051985578583e-06,7.91106942503173e-06,2.08678909863687e-05,1.04742285164488e-05,1.23219233205244e-05,4.32738181711509e-05,1.28962462985687e-05,0.000102990726683497,2.59568803393949e-06,9.96575789193332e-05,1.46962292732513e-05,0.000634999507740003,5.97759653149953e-06,1.63778364882983e-05,5.87486761899406e-06,3.42305746561902e-05,1.64657270580697e-05,1.47597319236281e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44308663047696e-07,5.39315103981681e-05,1.15493464921186e-05,2.57031882304896e-05,1.0354746921328e-05,5.98058200938665e-07,7.87627036920818e-07,5.85803594722003e-06,2.41472680008641e-05,0.000145887312825588,5.33844047977556e-05,3.4098562008599e-05,2.61086582283713e-05,2.74666324211949e-06,1.05932667711821e-05,2.67590516743425e-05,5.15725298783938e-05,8.26891071306935e-05,-13432.224365196,0
0.023144372449032,1,0.287369335003162,0.171149520160286,0.995870444812348,9.7,1.61736897442645,0.453968022526427,0.278954734360973,0.000304399968534841,1,0.869974145854297,0.984262463923875,0.962373856755103,0.946640552038746,0.927873379120232,0.572623529997644,0.946678351995139,0.867445507837121,0.96461015076302,0.824620315221041,0.785891865764663,0.922635269475738,0.928713792944937,0.799417756094827,0.961522368260613,0.988082531462871,0.742185306228541,0.536236000448885,0.96887604315742,0.958118855710973,2.72043305016644e-06,0.000155881201572756,1.35733314351455e-05,3.42485540910502e-05,9.45213935145352e-05,7.58353850450278e-06,1.87977640662135e-06,0.000211184156319106,2.62728439232456e-06,1.68137384955181e-05,1.41494342156737e-06,0.0153335158200648,5.75979580390964e-05,3.2968552549409e-06,6.25381692176176e-06,5.29334815843018e-07,1.01026433947071e-05,7.30262702305688e-05,2.45685886858344e-07,6.85121372064997e-05,2.97160936998936e-05,2.54321682502759e-05,1.38431403230557e-05,9.63785567587322e-06,1.01821662805791e-07,7.99976289610285e-06,3.09097344783461e-06,4.07505126797625e-05,2.23689378437581e-06,0.000361979854315283,3.23941580914925e-05,8.83336669643802e-07,2.45404027599213e-06,6.01406296161515e-05,1.51150112261283e-05,5.18679381778332e-05,1.0231656838442e-05,1.63847465933256e-06,1.25324394181156e-05,3.44895334771452e-06,2.71953879601287e-05,5.14627760565762e-05,5.21475238750351e-06,1.876355135656e-05,2.07345662885847e-05,0.000112437127554866,1.42637239330681e-06,0.000163671144062888,3.96139742110431e-06,1.21487667268401e-05,1.46506462971644e-05,3.6618428927552e-05,1.50610321307254e-05,8.37110312052969e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99298560216939e-06,0.000101233711350775,9.68650229235416e-06,2.42290960726946e-06,3.77511709157796e-05,6.20419261001567e-07,2.20285159981734e-06,1.2731860768699e-05,3.98922829211327e-05,0.000150947056628364,3.41013777479763e-05,7.98136705223425e-05,1.07546339521493e-05,3.05749053361468e-06,2.80860029097609e-06,2.31407341559015e-05,5.75716391134735e-05,1.54092445497088e-05,-13425.9807473529,0
0.046288744898064,1,0.273678189061939,0.152725948837744,0.997859027752314,9.7,1.72845497579288,0.48587446830469,0.253026602852187,0.000290646097421358,1,0.890083047956852,0.972282841475866,0.990676081736831,0.826241013920214,0.891072352089532,0.650734678935185,0.952723759425763,0.819178459306876,0.961317457844538,0.888472914764395,0.94083843442079,0.855862265736934,0.948047114278421,0.968491659741149,0.846713033647521,0.937626070087965,0.633396155251676,0.784760766233061,0.898269961776951,0.980919521314649,3.38832817332208e-06,0.000235050432483959,1.62303862240057e-05,2.58447477678658e-05,2.29305214140501e-05,7.87069881119491e-06,1.01668318086043e-06,0.000184221685869425,1.45940406174486e-05,2.83194216046804e-06,4.31808893503864e-06,0.0169080511128303,4.1830733930856e-05,2.33134566877321e-06,8.91974133348624e-06,6.59275392587418e-07,1.1194048978989e-05,6.61635885118592e-05,5.47063373826205e-07,4.1906060238141e-05,4.54413904138324e-05,4.43092037816846e-06,7.36707226556388e-05,4.71052484097862e-06,2.45169061246462e-07,1.86226195297794e-05,1.54255442068566e-05,4.49340717235979e-05,3.43123924158181e-06,0.000216106288496791,2.55174058852735e-06,1.76381874580427e-06,5.46012372670728e-06,6.66060548039733e-05,1.98390343573194e-05,9.32226551072122e-06,1.94142399453629e-06,5.52150951428919e-06,2.82771812692604e-05,7.79793321407385e-06,0.000131309640437359,3.01714855544705e-05,6.06825171095519e-06,2.21326383696374e-05,8.40012907542596e-06,0.000133736375280753,1.97514128465634e-05,9.6338520680443e-05,6.01065570445623e-07,1.15446139037746e-05,1.0004645820486e-05,5.33334088270846e-05,5.22816763931502e-06,9.92186546360206e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27898016381084e-06,9.59779112449297e-05,2.60769433324923e-06,1.13768629238926e-05,4.90320513840831e-05,4.19169720435453e-07,1.54241347046563e-06,2.62329485475931e-06,3.15566867868729e-05,2.4453461558956e-05,1.13123457800554e-05,5.8479953215929e-05,1.66600279045424e-05,1.91779046479897e-06,7.88555669111045e-06,1.71102049584998e-05,6.75701545052728e-05,2.2351653108303e-05,-13426.2590519461,0
0,1,0.265463501497205,0.165253977337072,0.997782034263689,9.7,1.8597384319532,0.464178085175471,0.257496970353702,0.000341076958170797,1,0.709102929033858,0.973613910636756,0.977468376745358,0.904762451823604,0.633465162874635,0.697601368297709,0.962799438476804,0.922607849014544,0.990951694110871,0.963935077861087,0.851132526251453,0.602124851529479,0.950809017326062,0.93934098669868,0.841721323446952,0.966837705620805,0.64548383869355,0.653188831406144,0.879689414045248,0.924051405991928,1.95712433798856e-06,0.000246360322614131,2.0658810872106e-05,2.08024639739552e-05,7.16123144423799e-05,6.9169114389182e-07,2.34009279369385e-06,0.000254324109038596,6.45664638436424e-06,2.54179208555489e-05,3.08983225959275e-07,0.0135340469140471,3.95782733439645e-05,4.40029478198969e-06,1.98833786300259e-06,8.75843020494749e-07,1.88338880689621e-05,5.28595617856865e-05,4.31148955761643e-07,4.48622910124031e-05,1.82795142715745e-05,3.34326436301264e-05,7.12776193623354e-05,6.05434234140442e-06,1.56430195545095e-07,1.20465654232177e-05,1.71876257438598e-05,0.000141155929731811,1.17916574420238e-05,9.26748097272978e-05,2.28445844905437e-05,2.80438847217573e-06,1.03941276977324e-06,4.28994957819598e-05,5.2907196275657e-05,9.21765056556932e-05,2.86256097719248e-06,4.0280345700751e-06,5.12314913522398e-06,7.72658045339545e-07,0.000146183105076963,3.83604434398957e-05,1.2042746975117e-05,9.96216396704194e-05,1.49301252470982e-05,7.83583311934459e-05,6.48155596661897e-06,0.000702332131122448,2.16922043408635e-06,1.69819893113638e-05,2.26131169268863e-06,5.57212630984464e-05,3.82347271197067e-06,1.34254664243362e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62765710293253e-06,5.91873105040133e-05,7.44850133484775e-07,1.67492349138665e-05,2.48587360948612e-05,4.41530780498354e-07,2.95763803336215e-06,9.49711967623833e-06,4.73017017071414e-05,2.95132053617323e-05,2.00773580754096e-05,0.000104195061729672,2.02032642759782e-05,2.22861775629417e-06,5.51631037104775e-06,1.34918874400588e-05,4.15740144865945e-05,6.99929501734385e-05,-13434.8468591266,0
