"quatar","alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
0,1,0.28367384654308,0.154466448399665,0.999116141347733,9.7,1.72672753867524,0.467131054410504,0.251024882215428,0.000258951314900935,1,0.877447806960326,0.972254273030396,0.985941604843374,0.944359510700657,0.913859234029885,0.851822894015668,0.93153747020823,0.914147932073279,0.949588750603326,0.887545296347445,0.933338625180892,0.91655326748896,0.853489439505172,0.943902175641399,0.694764090046874,0.916380679972535,0.851694003729335,0.734213602270043,0.801590650343939,0.979252633981648,1.4553082535361e-06,0.000215890469078318,8.48477068911458e-06,3.01075775673758e-05,2.17906142301514e-05,1.16624740072789e-05,9.78960659782036e-07,0.000256177648829535,3.07282219255032e-05,2.68869510409438e-06,1.68884429623494e-05,0.0171176264795864,2.94959059231563e-05,1.0754120102426e-06,8.3035014085653e-06,4.89413338246135e-06,1.39039720324789e-05,4.30063775191516e-05,1.22264942580383e-06,2.60306948497407e-05,4.41640812889761e-05,6.39127294129932e-06,7.46564502252006e-05,4.3597500243242e-07,2.7855422204129e-07,2.16500522775018e-05,8.99876385832677e-06,4.20173142758488e-05,9.94582376242668e-06,6.78549559198959e-05,2.19435917084029e-06,2.82335767366555e-06,4.93292233824502e-06,6.67743583191658e-05,3.07618610949374e-05,2.17087449237216e-05,2.20573798162432e-06,7.07148859997504e-06,1.36393521339339e-05,1.58971636400167e-05,1.04657278130738e-05,2.77029006087083e-05,5.71280140011433e-06,4.89775851982956e-06,1.64721944730449e-05,6.65542645164519e-05,1.12422683121675e-05,7.73205198895174e-05,6.89222600248382e-07,3.90800297986229e-05,2.4332232648966e-05,2.30835502310359e-05,7.19426877727894e-06,1.2912865281197e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15976857630398e-07,0.000151059998847468,8.75625292296716e-06,4.60553860740256e-06,3.55511824155095e-05,3.66923682794863e-06,1.0434033455983e-06,1.03345744273357e-06,2.31242324117328e-05,2.65825757645822e-05,4.9426079011311e-06,0.000149215732704307,2.51499650306254e-05,2.56981985740498e-06,9.31981579437298e-06,4.45622190645268e-05,8.18583797356917e-05,2.09899288627436e-05,-15288.5615162841,0
0.0402967813036141,1,0.28367384654308,0.154466448399665,0.999092044030689,9.7,1.72672753867524,0.467131054410504,0.251024882215428,0.000258951314900935,1,0.877447806960326,0.972254273030396,0.985941604843374,0.944359510700657,0.913859234029885,0.851822894015668,0.93153747020823,0.914147932073279,0.949588750603326,0.887545296347445,0.933338625180892,0.91655326748896,0.853489439505172,0.943902175641399,0.694764090046874,0.916380679972535,0.851694003729335,0.734213602270043,0.801590650343939,0.979561325311963,1.4553082535361e-06,0.000215890469078318,8.48477068911458e-06,3.01075775673758e-05,2.17906142301514e-05,1.16624740072789e-05,9.78960659782036e-07,0.000256177648829535,3.07282219255032e-05,2.68869510409438e-06,1.68884429623494e-05,0.0171176264795864,2.94959059231563e-05,1.0754120102426e-06,8.3035014085653e-06,4.89413338246135e-06,1.39039720324789e-05,4.91904446073945e-05,1.22264942580383e-06,2.60306948497407e-05,4.41640812889761e-05,6.39127294129932e-06,7.46564502252006e-05,4.3597500243242e-07,2.7855422204129e-07,2.16500522775018e-05,8.99876385832677e-06,4.20173142758488e-05,9.94582376242668e-06,6.78549559198959e-05,2.19435917084029e-06,2.82335767366555e-06,4.93292233824502e-06,6.67743583191658e-05,3.07618610949374e-05,2.39042296330217e-05,2.20573798162432e-06,7.07148859997504e-06,1.36393521339339e-05,1.58971636400167e-05,1.04657278130738e-05,2.77029006087083e-05,5.71280140011433e-06,4.89775851982956e-06,1.64721944730449e-05,6.65542645164519e-05,1.12422683121675e-05,7.73205198895174e-05,6.89222600248382e-07,3.90800297986229e-05,2.4332232648966e-05,2.30835502310359e-05,7.19426877727894e-06,1.24393728027359e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15976857630398e-07,0.000151059998847468,8.75625292296716e-06,4.60553860740256e-06,3.55511824155095e-05,3.66923682794863e-06,1.0434033455983e-06,1.03345744273357e-06,2.31242324117328e-05,2.65825757645822e-05,4.9426079011311e-06,0.000149215732704307,2.51499650306254e-05,2.56981985740498e-06,9.31981579437298e-06,4.45622190645268e-05,8.18583797356917e-05,2.23484208768807e-05,-15288.5623813916,0
0,1,0.268233355922237,0.152313042453312,0.999820929084554,9.7,1.55810306509312,0.454670190525115,0.266177557815766,0.000283249050846435,1,0.645262888728579,0.940283521765439,0.926688758170822,0.992845911421106,0.809816781544379,0.845322097660004,0.981607370675636,0.972422732321314,0.936644049115389,0.849240026094344,0.863672352161138,0.920541955616698,0.9543916615385,0.684142103396043,0.72291399054267,0.912749064842656,0.913525127236815,0.642469067755662,0.794025197494082,0.886273548556297,1.36007027881148e-06,6.67174121218944e-05,5.61320866999849e-06,1.53721692247303e-05,1.29305197849814e-05,2.30783565459239e-06,5.63728569751384e-07,0.000265320610985081,1.20832348408773e-05,3.61569117681908e-06,1.19657557575999e-05,0.00941448774721255,2.14665758951926e-05,4.38878725015291e-07,4.42842613882987e-06,2.54633196156641e-06,8.07578687422376e-06,6.52031618991863e-05,7.67435377448092e-07,5.8427324181975e-06,2.07702395964365e-05,4.3537484235183e-05,4.77924385910224e-05,1.03941738397178e-06,1.82169820084354e-07,4.31396630811299e-06,3.6386060890425e-06,2.2472411135847e-05,2.95611621835128e-05,2.60578628710723e-05,1.58471212613137e-05,4.0261399079571e-06,1.51349348437815e-06,1.59976572895496e-05,1.66998835309845e-05,3.43480842853104e-05,4.54432503441468e-06,6.68880683483217e-06,4.28006887046377e-06,4.06170281518264e-06,7.10014670250688e-06,1.75584421974324e-05,2.18121176694475e-05,1.43208650460712e-05,1.17718939809973e-05,6.4700878095446e-05,2.8851799817925e-06,0.000260424618517852,5.73392284320607e-06,4.95290323083417e-05,3.82706061523546e-05,2.81878473819608e-05,3.80895472344154e-05,2.67015637601959e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06309986009835e-07,0.000126168528133429,2.77657160896601e-05,9.00289213002779e-06,4.06188398903215e-06,5.25474372522738e-06,1.61748603384391e-06,2.71421122105509e-06,2.01747143972379e-05,0.00017870958393631,1.97898577635585e-05,0.000260315204706178,2.33787628251839e-05,4.49615089297794e-06,8.16412564190218e-06,7.30638762060423e-05,5.88879304567966e-05,0.000191046284061985,-12806.983816546,0
0,1,0.285879630917486,0.169540290024132,0.999740893541989,9.7,1.64803611767025,0.459417186290978,0.273308228686513,0.000311017891927007,1,0.788145915332731,0.980667628626438,0.969781737569041,0.949746888558485,0.902298961531496,0.897328468505319,0.91092045236871,0.947885974322142,0.902124845147558,0.893017477812173,0.784053754424277,0.952451460638599,0.768110636246203,0.767265326514557,0.797980391864792,0.941801985881687,0.951575049395264,0.789260322978672,0.854548820292935,0.970917519465394,1.61403821141046e-06,0.000392185900026818,2.3314235052944e-06,3.22126359020394e-05,8.3811275346341e-05,5.87150740799676e-06,2.55684260189852e-06,0.000192176913740713,1.91860870635919e-05,1.10316597586167e-05,7.59003379782264e-06,0.0116968992234715,3.43135039399344e-05,1.61401709774264e-06,1.47619601914577e-05,5.22953358544634e-06,1.7400883127432e-05,1.28269219571298e-05,3.62800667798552e-07,2.05248869138653e-05,3.3246955165791e-05,2.60569142145318e-05,6.4324138058209e-05,7.17581447150787e-07,2.67844844046075e-07,9.86151381831741e-06,1.11617890349696e-06,5.374425615985e-05,4.38268628533936e-05,4.83496458304449e-05,2.42488210092973e-05,2.95700014414239e-06,5.42141217451172e-06,6.89820409726273e-05,3.2770715032645e-05,0.000186612469269326,1.57695428878084e-05,3.62735271368916e-06,7.8455101136905e-06,2.07705886855365e-05,1.00917743563441e-05,2.91521089531763e-05,1.47613922397402e-06,1.03532412455484e-05,4.93742979173787e-05,2.02196039913057e-05,1.09079847789525e-05,5.1162791514041e-05,4.23919684529269e-06,3.28106282927917e-05,2.96931455348847e-05,2.0020971940481e-05,6.05588406577873e-05,2.06665847982114e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01776980602735e-07,5.97912728959936e-05,3.79040964452296e-05,1.4028439013028e-05,1.33920464857662e-05,2.71793268958139e-06,3.6494198676259e-07,1.67990120362646e-06,4.37708585131976e-05,0.000136743512716523,1.50387378075817e-05,1.79163567020965e-05,9.2091451816512e-06,3.46877434067236e-06,5.08228523531342e-06,9.83986825540561e-05,3.8469753320001e-05,0.000399466881264745,-6161.20131714355,0
0,1,0.274850709045455,0.157337656328135,0.999834540194048,9.7,1.59182795980954,0.450516569229985,0.275982230263043,0.000245066894360649,1,0.948889320262402,0.97898495750723,0.921302135746044,0.980275363086175,0.682653784062093,0.929832450283642,0.919756317157076,0.901879553073693,0.863290740683747,0.953211473924189,0.973147924049322,0.868689009956108,0.760348926859024,0.736094117845114,0.807363692030057,0.93090714049205,0.946818809125458,0.660817974658538,0.831852461743365,0.928707856735774,1.07435635463763e-06,0.00037862471303078,3.56209294205843e-06,2.16873442287213e-05,3.3604073490378e-05,9.88063813057668e-06,6.46774987757515e-07,0.000146462102962982,5.86823914600198e-06,2.8644585140386e-05,1.03248600226835e-05,0.015976420741457,3.59193699455272e-05,8.79555614788046e-07,1.00257570840033e-05,6.23573419440132e-06,2.78916164122913e-05,4.75142091788511e-06,2.11062651679975e-07,1.86896176019068e-05,2.54490079349444e-05,5.00926979929271e-05,6.63906004916074e-05,9.18728907663906e-07,1.50041686098708e-07,2.23363599178633e-06,2.69269589446293e-06,8.89250818118532e-05,5.98757761070095e-05,0.000101292630358955,6.39520904483211e-06,4.42706731938761e-06,1.67632342980039e-06,4.02821664776268e-05,7.09389398490886e-05,0.000430076268725449,1.53018254772504e-05,8.60221566054653e-06,4.72574902586711e-06,7.5427207048397e-06,1.19615416399924e-05,3.34997339865803e-05,9.10213114102658e-06,6.88157042009095e-06,1.02051271503147e-05,2.9486536096335e-05,4.55659764786751e-06,0.000809736914402857,5.92076359294524e-06,1.4002423775298e-05,1.14660417227612e-05,1.9000112510296e-05,6.33675023357089e-05,1.0264868396867e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07277636574105e-06,0.000250625881703621,3.4102203811891e-05,1.71694058149032e-05,3.08861011671424e-05,2.40083131012564e-06,1.25216068677852e-06,3.61923248630514e-06,2.70569230977261e-05,0.00013149775381405,1.6820407791073e-05,0.000189615540704988,4.64043914959244e-05,4.11088468586335e-06,7.77889559107859e-06,8.25644285865475e-05,1.03947597569071e-05,0.00044455667719115,-6175.40999915267,0
0,1,0.303525905912734,0.163797874167192,0.999824525647225,9.7,1.73796917024739,0.46416418205684,0.251916216074272,0.000227711368685291,1,0.931028941936883,0.967206259672772,0.840502799374382,0.964113229512692,0.624852421570145,0.949334839350635,0.934482758471018,0.923349216322969,0.867605641179726,0.936794929530003,0.704435156687417,0.856722945572895,0.830204311343635,0.850388549633071,0.873046793186914,0.970854906920717,0.989624971553713,0.936051578201683,0.915072443091786,0.945699585884477,8.52134413613525e-07,0.00028369640405851,1.21767789994067e-05,4.90531025793486e-05,6.01843568258878e-05,9.43517916140114e-06,1.89247125784948e-06,0.000119033216496344,2.62889392863066e-05,1.84476283404142e-05,3.21431183804532e-06,0.0139793106997304,4.71604319846763e-05,1.22230430683352e-06,1.13174488405817e-05,7.91273520932627e-06,2.67259793806402e-05,2.93146489811113e-05,1.57670479674717e-06,3.52070414095331e-05,4.57236707351454e-05,8.57634419388071e-06,1.47290396566491e-05,3.95745510329796e-07,3.53519868007796e-07,1.54090613285218e-05,8.68346046013358e-06,8.50161011838529e-05,5.80925635232745e-05,7.06414287898175e-05,3.2650520757281e-05,1.88786038032769e-06,4.11877261113387e-06,5.13205797449347e-05,4.88415465343055e-05,0.000203049180377948,1.20278036033439e-05,5.65898592546158e-07,1.14109513569172e-05,1.52009600620853e-05,1.11689139483237e-06,4.07457757089202e-05,8.25479870579851e-06,6.38561744502561e-06,3.68401632719182e-05,3.50466953593525e-05,8.23371651323252e-06,0.000678948272525475,2.74447084737929e-06,1.60922242772417e-05,2.11156849174148e-05,1.18540964990012e-05,8.30281340811594e-05,1.4484559558313e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97243975195634e-07,0.0002589230386083,7.48895537852098e-06,1.90539858960283e-05,2.27222089825002e-05,1.03283657965194e-05,7.82456669123029e-07,6.45591186197839e-07,3.59054771412109e-05,9.4777441496736e-05,1.0287617851605e-05,9.87159727034569e-05,5.17179981122491e-05,2.44139778836678e-06,2.00044482872467e-06,2.23942635100147e-05,1.80515761832055e-05,0.000290759374012604,-6184.62060642752,0
0,1,0.318966396533577,0.165951280113545,0.999006287719052,9.7,1.54686143352098,0.457637062878779,0.265286223956923,0.000314488997062078,1,0.591681753752021,0.945331535123064,0.899755646046934,0.973092192609071,0.728894874055652,0.955835635706299,0.978662082412847,0.963221448071624,0.880550342667663,0.975100199783103,0.77410142970717,0.852734257445157,0.977676789700037,0.777655729404371,0.844896892691119,0.974486522050596,0.927793848046233,0.440631091824022,0.922637895941643,0.909601019081354,9.47372388338142e-07,0.000432869461014933,1.92120035970639e-06,6.37885109219941e-05,6.90444512710578e-05,4.53513050047012e-06,2.30770334788013e-06,0.000109890254340798,1.65225174800739e-05,1.75206322676896e-05,8.13699904279479e-06,0.0125528035270686,3.80204983367264e-06,1.85883759206083e-06,1.51925241103172e-05,1.02605366302212e-05,3.25541645388954e-05,2.06667716835475e-05,4.13380006504745e-07,5.53950038410763e-05,1.92106501502672e-05,4.13524129826016e-05,4.15930512908274e-05,1.0796468760744e-06,1.07204174117848e-07,1.0554957257093e-05,3.9539094872357e-06,0.000104561004323855,3.84772251021883e-05,2.32713900011507e-05,1.89977586668075e-05,6.8507814603614e-07,2.32764321148931e-06,3.14514358637806e-05,6.29035240982585e-05,0.00124594180440957,9.68921655055349e-06,9.48580357689033e-07,6.50846964748048e-06,4.75790639311405e-06,4.48247250539928e-06,4.5155670972205e-06,1.92701203637633e-05,1.28330061208751e-05,4.1540463763966e-05,3.69000817803584e-05,5.89373178072751e-06,0.00049584417389714,3.67867459607516e-06,5.64322176752304e-06,7.17731141402623e-06,6.74979934807629e-06,5.21328556240229e-05,2.88546010010954e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2250428684446e-06,1.83054883725964e-05,2.90330136341063e-05,1.46566323734031e-05,1.68908574220414e-05,8.74285889924061e-06,1.87843271031918e-06,3.10207747759083e-06,3.88549951557059e-05,0.000110514718204156,1.44448478130846e-05,0.000310814964707028,5.34892003176908e-05,4.62457296201613e-06,3.15613498119545e-06,9.52318317605543e-05,4.10220254621005e-05,0.00031725209541101,-4239.39742531572,0
0.0402967813036141,1,0.268233355922237,0.152313042453312,0.999911612469698,9.7,1.55810306509312,0.454670190525115,0.266177557815766,0.000283249050846435,1,0.645262888728579,0.940283521765439,0.926688758170822,0.992845911421106,0.809816781544379,0.845322097660004,0.981607370675636,0.972422732321314,0.936644049115389,0.849240026094344,0.863672352161138,0.920541955616698,0.9543916615385,0.684142103396043,0.72291399054267,0.912749064842656,0.913525127236815,0.642469067755662,0.794025197494082,0.894291173937262,1.36007027881148e-06,6.67174121218944e-05,5.61320866999849e-06,1.53721692247303e-05,1.29305197849814e-05,2.30783565459239e-06,5.63728569751384e-07,0.000265320610985081,1.20832348408773e-05,3.61569117681908e-06,1.19657557575999e-05,0.00941448774721255,2.14665758951926e-05,4.38878725015291e-07,4.42842613882987e-06,2.54633196156641e-06,8.07578687422376e-06,5.20371303394172e-05,7.67435377448092e-07,5.8427324181975e-06,2.07702395964365e-05,4.3537484235183e-05,4.77924385910224e-05,1.03941738397178e-06,1.82169820084354e-07,4.31396630811299e-06,3.6386060890425e-06,2.2472411135847e-05,2.95611621835128e-05,2.60578628710723e-05,1.58471212613137e-05,4.0261399079571e-06,1.51349348437815e-06,1.59976572895496e-05,1.66998835309845e-05,2.6560957386095e-05,4.54432503441468e-06,6.68880683483217e-06,4.28006887046377e-06,4.06170281518264e-06,7.10014670250688e-06,1.75584421974324e-05,2.18121176694475e-05,1.43208650460712e-05,1.17718939809973e-05,6.4700878095446e-05,2.8851799817925e-06,0.000260424618517852,5.73392284320607e-06,4.95290323083417e-05,3.82706061523546e-05,2.81878473819608e-05,3.80895472344154e-05,2.55731411931273e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06309986009835e-07,0.000126168528133429,2.77657160896601e-05,9.00289213002779e-06,4.06188398903215e-06,5.25474372522738e-06,1.61748603384391e-06,2.71421122105509e-06,2.01747143972379e-05,0.00017870958393631,1.97898577635585e-05,0.000260315204706178,2.33787628251839e-05,4.49615089297794e-06,8.16412564190218e-06,7.30638762060423e-05,5.88879304567966e-05,0.000104768344141421,-5619.3203960748,0
0,1,0.310143259035953,0.168822488042015,0.999882544253461,9.7,1.77169406496381,0.46001056076171,0.261720888521549,0.000300604576521792,1,0.663123267054098,0.952062219599897,0.835116176949605,0.951542681177761,0.867618144036327,0.825819708593011,0.966880929361693,0.950953069072038,0.93232914861941,0.86565657048853,0.8139107285756,0.932508019999911,0.884536277053889,0.902340564082142,0.957496494674301,0.989012982570111,0.87071896480856,0.954400485104559,0.952899707341069,0.887513294958163,1.58229221983559e-06,0.000161645721094164,1.01256632714666e-05,5.53682775833395e-05,8.08579105312844e-05,2.75329462376793e-06,1.9755176758556e-06,0.00029274949745172,2.00739435914313e-05,1.38126479767908e-05,1.57341610312883e-06,0.0114115977889391,1.02255138560436e-05,1.66298119660628e-06,3.13673438225139e-06,8.69330946641453e-07,9.24142390587479e-06,3.13689671234033e-05,1.02033207097906e-06,4.80539265932424e-05,5.04024390736533e-05,1.51315579516249e-05,3.33272015572341e-05,2.75057034021925e-07,3.21391734022151e-07,1.33287310121952e-05,7.737550265554e-06,2.63813917638473e-05,3.13443747672479e-05,5.67090644402096e-05,2.31986085407994e-05,2.2887877917582e-06,4.28160255655609e-06,4.95924402224169e-06,3.87972768457677e-05,0.000123573864140618,7.8183469083212e-06,2.47930741826054e-06,1.18566315123206e-05,1.86819779517423e-05,5.9782863323179e-06,1.03124004750924e-05,2.26594501046756e-05,1.48168180211365e-05,3.52733964412357e-05,5.91407188324284e-05,9.90513417930753e-06,0.000391213260395234,2.93131159711847e-06,4.74392318063979e-05,2.8620962957701e-05,2.66636162733638e-06,1.84289154889649e-05,2.1003935576315e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63710354926847e-07,0.00011787137122875,1.38254431007519e-05,7.11831204890269e-06,1.22257761736744e-05,7.47445338141762e-06,4.17131322057645e-07,1.55061245144789e-06,4.27876858416992e-05,4.75656113744757e-05,7.31816787911948e-06,2.80163087022666e-05,1.80651562088591e-05,2.0561315812522e-06,1.61521477790107e-06,3.18948158905199e-05,5.12311140304983e-05,0.00014917165741317,-3819.84557510225,0
0.0402967813036141,1,0.29470276841511,0.172411497952602,0.999851674540314,9.7,1.60306959138168,0.452296692642183,0.276873564121887,0.000269364630306149,1,0.859587428634807,0.987398313103271,0.905142268471712,0.985662740944003,0.948540051525054,0.819318912237346,0.922701605419864,0.935617595322555,0.953903651099305,0.827351300235429,0.744244455555847,0.936496708127648,0.799157473794919,0.642580491836786,0.910579993847975,0.985381367440232,0.89450016615759,0.422282184921146,0.945334254491212,0.963760662502101,1.23308631251199e-06,0.000120962160106048,7.25410125235054e-06,4.0632869240694e-05,9.56247346065676e-05,1.12170150381033e-05,2.224656929874e-06,0.000301892459607266,8.53180872951997e-06,1.47396440495155e-05,5.40217281793398e-06,0.0151205164378599,4.07369679623054e-05,1.41816070228808e-06,6.15068181426784e-06,3.88793277350637e-06,1.27383350008279e-05,4.65022374293449e-05,5.65118022623322e-07,4.25481186573669e-05,2.70085973811137e-05,5.22777692455085e-05,2.29948893902424e-05,8.78499415561282e-07,5.36572841417717e-08,7.08774006321519e-06,2.37739249626973e-06,3.81083336478484e-05,8.16261117869157e-06,0.000104079103228877,2.84496708832892e-05,1.35329049842033e-06,2.16481326606708e-06,6.01513103587809e-05,2.47352992818147e-05,9.97043190881271e-05,6.41519467664697e-06,2.09662565311766e-06,6.06278949207714e-06,6.84651712690829e-06,2.612705221751e-06,4.65426090867921e-05,4.86546896488627e-06,4.40180554476422e-06,4.31072305946485e-05,5.72873324114226e-05,1.54804584893249e-06,0.000155793705015947,3.49183384633599e-06,4.11698303005667e-05,3.39818758436197e-05,1.59375342197411e-05,2.68549005227294e-05,1.05338150969665e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58576488713386e-07,0.000159357155752147,3.28349062674449e-05,1.4645718055274e-06,2.73872902308672e-05,6.52314924305037e-06,1.40872869266369e-06,4.26567624719803e-06,3.19727864552177e-05,0.000157726548326417,1.26631778295934e-05,0.000219915396705497,1.62939540034175e-05,3.98246261682515e-06,3.54136503201904e-06,6.03964730320354e-05,6.90970190251944e-05,1.09868232327923e-05,-3864.24504806455,0
