"quatar","alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
0,1,0.278276608604993,0.163727081319525,0.998252413640822,9.7,1.72240088868257,0.480637348503135,0.24822502508491,0.00027955645992736,1,0.736864049781558,0.966961286717818,0.870533347894973,0.84269878940913,0.785172311459094,0.968360088035248,0.918020166109891,0.8832036306553,0.855468217371353,0.902561288559469,0.828906014771398,0.647761568786772,0.711973818792595,0.849574840325108,0.891141453436865,0.982562323057222,0.991533790344714,0.952663007150174,0.951759675052294,0.966824727087267,3.26339156598479e-07,0.00021329289008226,3.97541282236529e-05,3.02458671513586e-05,6.9589895978776e-05,3.58630753356592e-06,1.59241751667302e-06,5.99784976881154e-05,3.5180988509985e-05,1.28456675011555e-05,2.92326686053294e-06,0.015225047456883,6.23088223084506e-05,1.87427201954536e-06,1.35083859708062e-05,2.48465712372318e-06,1.65166063441057e-05,5.55263994099371e-06,4.68641605417696e-07,6.79286636649921e-05,5.0450651989396e-05,6.93280268624536e-06,8.13537296998477e-06,2.33390521189384e-06,3.59901319546398e-07,1.58046701079714e-05,7.25015828696785e-06,7.04587417834267e-05,2.9548399822757e-05,9.08778263919476e-05,3.56481097458006e-05,1.38702717180037e-06,3.27545384435927e-06,2.69900582191857e-05,2.80542840273946e-05,0.000260579106999831,2.53397386655763e-05,7.98743342357047e-07,1.60931720222163e-05,1.0594937566158e-05,6.81893777324577e-06,1.71752408917518e-05,1.07206897220585e-05,3.58605055683471e-06,1.08600819061694e-05,8.24337075269605e-05,1.12427965863771e-05,0.00277112918409826,4.0484402726572e-06,1.50055579843219e-05,2.50631639469016e-05,4.23661173929888e-06,2.95916473171342e-05,4.3033756191936e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.988688513948e-07,0.000283537378663963,9.26450262772877e-06,5.04721227622383e-05,7.12144673453096e-05,4.64045071041793e-06,1.41199796962861e-06,5.35490439715839e-06,6.11762155059404e-05,0.000100151077569139,1.54269370073381e-05,7.69463588760179e-05,2.07479227605825e-05,1.68791051152951e-06,1.62011881214788e-06,2.00939327847333e-05,2.30464125895896e-05,1.8597893042833e-06,-16629.0196822371,0
0,1,0.270897823407448,0.172659237780862,0.996864848359612,9.7,1.58414264940747,0.456750432846505,0.273236582412743,0.000313263794867299,1,0.686007603371764,0.985847197402171,0.921992393694843,0.923297829508696,0.944782797816761,0.891860285707643,0.903316011408927,0.902366749235006,0.941771236803029,0.719281140199875,0.852206447103874,0.888101190262249,0.658378579679379,0.636692484167292,0.924726490140867,0.990343457688365,0.911050301049276,0.727019826451513,0.967557543847541,0.976059890872255,7.59311206696607e-07,8.47120971713428e-05,2.2167290704408e-05,2.50217897976941e-05,0.00011174685277181,4.20096334688666e-06,1.83679094430045e-06,0.000238723319420065,7.7500373637085e-06,1.02213151045895e-05,4.91694636506101e-06,0.0163624480605105,5.38537779832779e-05,2.26774654819131e-06,6.29162567899167e-06,1.24318833304772e-06,7.62404038720611e-06,9.67776381956744e-06,1.90384150217303e-07,8.20975042219533e-05,3.03028745447885e-05,4.21728977224031e-05,1.75715005215957e-05,5.27292347960486e-06,9.49985396141333e-08,7.40754813953107e-06,1.61148588750742e-06,2.84182473599645e-05,4.59960740722602e-06,0.000139148274064356,3.11203820744467e-05,1.04552479510589e-06,1.72355441423178e-06,3.16369153757968e-05,1.34562565772672e-05,0.000199050277548847,1.25222138608848e-05,2.11321517640758e-06,8.55214322904428e-06,4.76739616862427e-06,2.68864869575821e-05,1.95772103949187e-05,6.03146188861027e-06,2.10207757027349e-06,1.26332304325416e-05,0.00015687820603818,6.30046855009094e-07,0.000617288024939212,5.24990186559615e-06,3.91383950436585e-05,4.43882062471656e-05,5.53479118809196e-06,9.66035339558739e-06,3.40416148788515e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03603335069935e-06,0.000175449973441344,4.39986185520326e-05,2.39240899610987e-06,8.59273334670981e-05,2.89900338008677e-06,2.90303019575526e-06,5.38087521280978e-05,5.41341548593108e-05,0.000154555465534032,1.94464569326635e-05,0.000168630606430995,6.67401420822598e-06,3.44707569221941e-06,2.6813981994075e-06,5.11470555879838e-05,7.22403553601464e-05,2.08914340171946e-07,-16629.6902444314,0
0,1,0.254295556712972,0.157027963973522,0.995550299446647,9.7,1.57262112946788,0.453167395498011,0.272343312508177,0.000293601182819001,1,0.749578161384007,0.977978067950357,0.934857155144811,0.903148069483805,0.813674184022963,0.956885117686107,0.899639972733686,0.849668173140814,0.851153066399769,0.930053310813408,0.986183933015615,0.683812512008094,0.591384530787858,0.732489544438309,0.832367639204863,0.961164202821577,0.955316220161767,0.831782731775891,0.908315535865362,0.957031511902837,5.78906185822388e-07,0.000288298352613627,8.97716256497422e-06,1.3267615751949e-05,3.79721783840001e-05,3.73997148689611e-06,6.76017163070141e-07,8.67902209479078e-05,3.63539469176703e-06,2.0062636591712e-05,9.40272525024914e-06,0.0172154985132311,4.75124947393983e-05,1.18569159441493e-06,1.17041958978525e-05,1.96737846094174e-06,1.72576535071807e-05,1.58789616575412e-06,9.29940408971648e-08,3.60487724118291e-05,2.86238930910713e-05,4.04108929705952e-05,6.71111701675531e-05,5.51784166858078e-06,1.80145861735218e-07,2.50922699127421e-06,1.89341950748044e-06,7.39621163187151e-05,3.04394281233116e-05,0.000135125736758322,7.34981179983861e-06,3.00916346109917e-06,1.33557955669991e-06,2.11814867734217e-05,4.14358091900113e-05,0.000409356490564801,3.28166281349798e-05,7.69972047112236e-06,6.66688603075128e-06,5.25302461841875e-06,0.000152308669359684,1.41727790127932e-05,1.18929966804206e-05,3.95704380347501e-06,3.32420066908751e-06,6.38225828991556e-05,5.40578423412471e-06,0.00330958947388803,9.15465204264776e-06,1.29944882293772e-05,1.05693822217036e-05,6.50842577468677e-06,2.26156944445928e-05,3.48702128761052e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16160802559503e-06,0.000274530094895411,4.57353243482478e-05,4.53207248587246e-05,9.69619830584393e-05,1.01243543889469e-06,2.5302721392236e-06,4.51562793190014e-05,4.53315790510238e-05,0.00013188697054866,2.6480616801983e-05,0.000145709544542251,1.8636836477729e-05,3.59367279061023e-06,5.59991651437149e-06,6.92613772232133e-05,1.56673211740061e-05,2.34893146274824e-06,-16622.2643777344,0
0.0981246935280875,1,0.261674341910517,0.154050578486409,0.998014955525501,9.7,1.71087936874297,0.486609077417292,0.247331755180344,0.000304836961132314,1,0.698721714974213,0.971682764388907,0.986316200944682,0.768816335984528,0.927681674278439,0.910985236289544,0.91434412743465,0.86883129172052,0.937456085831445,0.820085221797652,0.962883500683138,0.82801628489338,0.752170248127507,0.945371900596125,0.731612529092858,0.953383068190434,0.874832730866329,0.8640174718757,0.892517667070115,0.98970226826517,1.01187823592052e-06,0.000159717559702711,2.65640000842192e-05,1.84916931056135e-05,2.39198594529886e-05,4.35462730021684e-06,9.20390590697575e-07,0.000194037113987078,4.20387262965541e-05,1.69216981575003e-06,1.53837637638333e-05,0.0183528991168587,3.90574504142256e-05,1.57916612306089e-06,9.29860913391437e-06,1.55355553071658e-06,8.36508755028108e-06,9.87803465308396e-06,3.71251496097558e-07,5.02176129687905e-05,4.87716705356787e-05,5.17079793443747e-06,7.65472977191639e-05,2.57882340086976e-06,2.93675624563332e-07,2.21025115843016e-05,7.53209190694088e-06,3.1921621895253e-05,5.49063570778069e-06,8.68552890859136e-05,2.82208412848468e-06,1.98465633101572e-06,3.92207860691238e-06,3.51220582432552e-05,1.71057634397991e-05,2.98912937548402e-05,2.90907025736618e-06,6.38524863707183e-06,1.92352673527047e-05,1.10805660159525e-05,0.000132241120175348,1.17708095096264e-05,7.20376884697233e-06,2.47307081691379e-06,5.09734919545971e-06,0.000187896747084521,1.60185339654928e-05,0.000294211851065355,7.44420892075077e-07,3.71273252887138e-05,2.98944245219676e-05,7.80660522347986e-06,2.68440052304602e-06,4.15606346575501e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59309326012302e-07,0.000166442689672792,1.1001208423944e-05,1.09780721686328e-05,0.000111674849180228,1.5929178823384e-06,2.03326139718138e-06,1.05463880826162e-05,3.82895184043942e-05,4.12129906071722e-05,6.38301717535592e-06,0.000115148128690592,1.01924913463151e-05,1.83450760992034e-06,6.66119590163113e-06,3.82082544199627e-05,8.45388410527857e-05,2.77250644054147e-07,-16626.7270849622,0
0,1,0.276431912305607,0.160005349460634,0.997780049943969,9.7,1.61870720922624,0.47705431115464,0.268770232889915,0.000327308517758939,1,0.597008822154625,0.984273371511808,0.88339810934494,0.822549029384239,0.790872685971868,0.880385315358502,0.884935818032721,0.983810003198758,0.971977293604115,0.893397281141489,0.916282636018185,0.731880436303189,0.644979769901075,0.689913073206746,0.933122749316867,0.937820798928147,0.907026126584504,0.928486952075318,0.987304879841601,0.96928630687954,1.4593413572426e-07,7.39970310954331e-05,1.48394417380559e-05,2.89398478129425e-05,5.20244973150116e-05,6.6669242029243e-07,1.40913744595244e-06,0.000265535042679858,3.10663458380436e-05,1.7438284195146e-05,1.13964047547772e-05,0.0115284954950935,5.5967539064571e-05,7.9221706576897e-07,4.48743560603804e-06,2.38120139116689e-06,1.42934648548808e-05,1.1579483517947e-05,2.59948514017401e-07,7.8555294082713e-05,3.53398189059404e-05,1.92668359489006e-05,1.99305324094984e-05,4.53816891267711e-06,3.69362133115407e-07,5.30826764742098e-06,7.65685027588353e-07,0.000116002610742177,1.26188621122181e-05,5.46749906376413e-05,1.18775394711925e-05,1.30165157762675e-06,2.8874789868274e-06,2.58283439300329e-05,2.6837781739884e-05,0.000366647198982573,1.14540867938272e-05,9.01419230517291e-06,1.42079148239233e-05,1.49655936143083e-05,1.18358250693299e-05,1.65747485159601e-05,1.65822245138688e-05,1.13769087362811e-05,1.55105214271529e-06,0.000138267081410375,1.17734340729455e-05,0.00287882124205622,7.9531904497088e-06,5.32158833282715e-05,1.70110629884583e-05,5.21024632589369e-06,1.06569180916647e-05,7.0281822872867e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24443526290483e-07,9.43844195243798e-05,5.26821475331086e-05,2.47151332446695e-05,2.33976524494975e-05,2.75388276922584e-06,1.03923991309695e-06,2.43903445771703e-05,2.42053971111349e-05,0.000150021766536957,3.05001367273085e-05,5.40252969872735e-05,1.58220547672577e-05,3.00728439704693e-06,8.78375467615038e-06,5.89103362887964e-05,6.4861263944563e-05,8.43642560232992e-07,-16627.7943473606,0
0,1,0.293034179000083,0.1577723103453,0.996759547573956,9.7,1.8145730481993,0.451973049715179,0.255371184321433,0.000302028016553985,1,0.838576942601146,0.954370679594917,0.90483937842822,0.896431482808841,0.830775307561284,0.876560325242122,0.94742847551182,0.844877393495887,0.959031840689364,0.975873347903306,0.968708608766257,0.743897417376963,0.819164297019028,0.934727782788234,0.958311526844869,0.935875515270361,0.894953603190188,0.759254566551322,0.983355412642789,0.945304496248097,6.14987189997232e-07,0.000127572361474982,2.80295698774896e-05,4.06940218586876e-05,4.14852581167529e-05,4.81561916020739e-06,1.10367066141815e-06,0.000274472283766455,2.26384713445321e-06,1.80943722942875e-05,1.48853438877013e-05,0.017499848664138,1.15785563574142e-05,1.08732296225344e-06,8.69721244292983e-06,3.31230298417348e-06,2.24449836487054e-05,8.56543382229385e-06,3.57338623337538e-07,9.62663447789145e-05,1.01550971001811e-05,4.92209167296346e-05,2.70076280732066e-05,3.7455970008649e-07,1.32841793890171e-07,2.14027514202649e-05,4.99468932718368e-06,9.84857380657348e-05,8.16372060944473e-06,0.00012305812484022,8.48174371767708e-06,7.04022418411405e-07,2.24085422427427e-06,1.76963439059633e-05,3.77863023274795e-05,0.000394407957016565,1.67947221291153e-05,8.68557434666027e-06,1.01111443587224e-06,6.70990996780219e-06,4.69540361419185e-05,2.76342387275065e-06,2.0099145388955e-05,6.18104583712266e-07,7.31378485342497e-06,0.000132063373201106,6.99769669382992e-06,0.00190959272043464,1.64551708677929e-06,6.32712321029951e-05,1.21798024133923e-05,1.64025284171271e-06,5.67409461127804e-06,2.40363977769809e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20346625056026e-06,0.000211479108515551,2.31581489974503e-05,9.26093953412822e-06,0.000100640199588886,3.47948582353049e-06,2.40601945371304e-06,4.68867738808207e-05,4.70920942126812e-05,6.38814855925441e-05,7.38789715668728e-06,0.000138069190579336,1.51183593396399e-05,5.15133724402912e-07,7.98779513570567e-06,4.07960146535669e-05,8.20791439142578e-05,4.95858457284093e-07,-16622.3626946188,0
0.0490623467640437,1,0.263519038209903,0.16968185229375,0.997714845719372,9.7,1.63022872916583,0.471082582240483,0.269663502794481,0.000346971129807237,1,0.63515115696197,0.97955189384072,0.973451439494714,0.78896609600942,0.921981299765666,0.937760167104206,0.888611856707963,0.921529867814712,0.889989425144023,0.829249229215632,0.875506879436351,0.936169114557345,0.604783340566162,0.764421897861982,0.823971380028862,0.967000053794935,0.959340394626539,0.888193526950556,0.920163937461798,0.987807794301973,1.19228325679474e-06,0.000299013418689537,4.58045318516299e-06,1.97977124440296e-05,9.76945338407988e-05,2.35699590692445e-06,2.08116437192789e-06,0.000131476426380895,2.42086080514744e-05,7.59696270802353e-06,6.91062586958907e-06,0.0129502462496279,4.53987336581051e-05,2.66122107683727e-06,1.83195594986825e-05,1.65701126327287e-06,1.0588229039506e-05,2.6983801724642e-06,1.34732659177224e-07,3.95909825510695e-05,3.70188003596577e-05,2.10288407007084e-05,6.47521382796503e-05,4.29325072370119e-06,2.84214810994322e-07,1.02065887956778e-05,4.83751407615331e-07,4.24317455011185e-05,2.24201734183196e-05,5.86975279436754e-05,2.65926544030928e-05,2.07003192518934e-06,4.31005346444425e-06,3.6283772532408e-05,1.83222657273097e-05,0.000160199589701023,3.38847552020374e-05,3.42768701045812e-06,1.1065819493435e-05,1.44799651645138e-05,0.000127224232879264,1.23713018854181e-05,1.34223405516204e-06,6.55399652995715e-06,1.44063789589138e-05,3.28040418528143e-05,1.54878964789244e-05,0.000186519793107402,6.4513634585351e-06,3.10941160238797e-05,3.79465254804109e-05,6.83297063688504e-06,2.16191297485155e-05,7.03898448130012e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33734651116619e-07,6.73625682187249e-05,5.09454417368934e-05,3.67350616862017e-05,4.17887351017329e-05,1.15755604975562e-06,4.17976485544175e-07,1.91988608917125e-05,7.52603367991998e-05,0.000136420669545734,2.34659768579889e-05,1.58235271726996e-05,3.85923249775467e-06,2.86068729865611e-06,3.74267758666713e-06,8.22001783912344e-05,4.27239896978124e-05,1.59687937495781e-06,-16630.2442419214,0
0,1,0.283810697503152,0.168937505921972,0.998322082824405,9.7,1.75696544850134,0.472276928023314,0.25805099403513,0.000338544296072253,1,0.546152375744831,0.952796853704554,0.866245094078317,0.795682682684384,0.904880176227344,0.895685275824023,0.958456591537543,0.926320647459639,0.92019548194511,0.783429192125733,0.892982203685708,0.876084209188475,0.805765487240724,0.902795429364562,0.966707786020869,0.992288741346151,0.890929428725416,0.960721692175126,0.971507011046353,0.90974295133216,1.15620225261989e-06,0.000116857295399072,3.24262792573009e-05,3.4163925166607e-05,9.4181454108046e-05,1.28134823361316e-06,1.65351087357988e-06,0.000229786078333468,2.55801556087883e-05,9.56522700544802e-06,1.4280072321369e-06,0.012665896098721,1.36923174387074e-05,2.75958970899876e-06,2.08184884209987e-06,3.1208674004113e-07,5.40089889798122e-06,7.45313026817956e-06,3.15600005057479e-07,9.27241346396742e-05,5.54875963505478e-05,1.2218816941669e-05,2.93666599611093e-05,1.59915064496608e-06,3.3151887883937e-07,1.37053896158613e-05,6.40435742704879e-06,1.79081237540989e-05,1.61829753144368e-05,7.07651398617775e-05,2.54607224852543e-05,1.64315395432123e-06,3.40477879686989e-06,2.59405814697697e-06,2.19717725898415e-05,0.000195207292012527,1.57265950620577e-05,2.44183313492022e-06,1.6721591088314e-05,1.30230798151304e-05,7.20384726223389e-05,4.5649010001258e-06,3.06499080142135e-05,9.8929357497199e-06,1.04167947745763e-05,0.000163081914247448,1.38959840192192e-05,0.00158651654656079,4.34880567089194e-06,4.51716043084927e-05,3.63361052887223e-05,1.31570797951444e-06,6.67065930735537e-06,8.63033591466267e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91876426151392e-07,0.000130413554598586,1.79480316088047e-05,1.78466027066512e-05,3.81105185712859e-05,3.33436521266956e-06,5.42229171054729e-07,1.74683663298932e-05,7.34998216375423e-05,5.93477865954697e-05,1.04025371006813e-05,2.34638811356144e-05,7.37770963584381e-06,1.24811921635703e-06,1.35479896533297e-06,2.78572134855459e-05,5.50224753904516e-05,1.04013711347007e-06,-16629.3450568202,0
0.0490623467640437,1,0.269053127108062,0.151073192999297,0.998417516544123,9.7,1.84913760801807,0.462722161760662,0.250904834798606,0.000361015852698879,1,0.647865268564419,0.965387460827456,0.900551124611564,0.956880762883516,0.950483172329535,0.987485038617149,0.929048282135614,0.964646884619052,0.885674274172439,0.710117132781896,0.939583068350662,0.779948360598285,0.698575009014291,0.817642486901436,0.899537712612866,0.94560193355929,0.987509615879942,0.767313251576274,0.939911273455858,0.977970495484605,8.6755421922114e-07,0.00020257782400635,4.41508376034642e-05,2.3715770459278e-05,9.86754052197712e-06,2.51065986025464e-06,1.16476401832501e-06,0.000158288149640688,1.46077751502776e-05,4.31652221231603e-06,1.33900842593052e-05,0.010391094891466,6.44225833897438e-05,3.98742537123012e-07,1.65153694257289e-05,1.13973260049143e-06,1.13292762025809e-05,4.68027010355116e-06,4.26902987137636e-07,6.43864535257517e-05,1.51920414613329e-05,5.45069309850583e-05,1.04944048578875e-05,3.55849615677343e-06,1.04459353183143e-07,1.93034709281548e-05,8.65982638683297e-06,4.59351200364071e-05,2.33112017188742e-05,3.85848414135052e-05,1.64052671425464e-05,9.60149200932268e-07,2.3701791767849e-06,3.0475201086644e-05,1.22397542897566e-05,8.0989589433943e-05,2.42716115985187e-05,1.03286641392234e-05,1.63953350196991e-06,1.36799702006293e-06,3.19033742536662e-05,1.8976718019127e-05,2.5145410135241e-06,6.92498977659746e-06,6.87049772183193e-06,1.41929172250095e-05,1.1606843415775e-06,0.000724980082897165,1.94588248501403e-06,2.90830462689349e-05,4.92194668222316e-05,3.91206687710061e-06,3.05882120132115e-05,5.56532465308409e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26742225873212e-07,5.83552844501734e-05,4.05438523908319e-06,3.15836637826879e-05,8.68478632770919e-06,4.495330099557e-06,3.52429362330803e-06,3.13123228244473e-05,3.12474577577645e-05,9.56173785720647e-05,2.3634972500305e-06,0.000206832376245569,1.74814621490119e-06,2.42089600348363e-06,7.72247528889075e-06,7.15513161671224e-06,3.53448982822288e-05,1.74341891044439e-06,-16624.0923293902,0
0,1,0.263519038209903,0.16968185229375,0.997561044299404,9.7,1.63022872916583,0.471082582240483,0.269663502794481,0.000346971129807237,1,0.63515115696197,0.97955189384072,0.973451439494714,0.78896609600942,0.921981299765666,0.937760167104206,0.888611856707963,0.921529867814712,0.889989425144023,0.829249229215632,0.875506879436351,0.936169114557345,0.604783340566162,0.764421897861982,0.823971380028862,0.967000053794935,0.959340394626539,0.888193526950556,0.920163937461798,0.985942409731744,1.19228325679474e-06,0.000299013418689537,4.58045318516299e-06,1.97977124440296e-05,9.76945338407988e-05,2.35699590692445e-06,2.08116437192789e-06,0.000131476426380895,2.42086080514744e-05,7.59696270802353e-06,6.91062586958907e-06,0.0129502462496279,4.53987336581051e-05,2.66122107683727e-06,1.83195594986825e-05,1.65701126327287e-06,1.0588229039506e-05,2.77322333949803e-06,1.34732659177224e-07,3.95909825510695e-05,3.70188003596577e-05,2.10288407007084e-05,6.47521382796503e-05,4.29325072370119e-06,2.84214810994322e-07,1.02065887956778e-05,4.83751407615331e-07,4.24317455011185e-05,2.24201734183196e-05,5.86975279436754e-05,2.65926544030928e-05,2.07003192518934e-06,4.31005346444425e-06,3.6283772532408e-05,1.83222657273097e-05,0.000147790393523769,3.38847552020374e-05,3.42768701045812e-06,1.1065819493435e-05,1.44799651645138e-05,0.000127224232879264,1.23713018854181e-05,1.34223405516204e-06,6.55399652995715e-06,1.44063789589138e-05,3.28040418528143e-05,1.54878964789244e-05,0.000186519793107402,6.4513634585351e-06,3.10941160238797e-05,3.79465254804109e-05,6.83297063688504e-06,2.16191297485155e-05,6.69402805962676e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33734651116619e-07,6.73625682187249e-05,5.09454417368934e-05,3.67350616862017e-05,4.17887351017329e-05,1.15755604975562e-06,4.17976485544175e-07,1.91988608917125e-05,7.52603367991998e-05,0.000136420669545734,2.34659768579889e-05,1.58235271726996e-05,3.85923249775467e-06,2.86068729865611e-06,3.74267758666713e-06,8.22001783912344e-05,4.27239896978124e-05,1.64833422156301e-06,-16630.2463232595,0
