"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.241758939412123,0.180424500326901,0.727251056663763,9.7,1.75670360883526,0.449201528993916,0.25437906626388,0.000370513704740898,1,0.963895897935714,0.954435315459792,0.485490957485634,0.98038364583461,0.995263814511925,0.90682771700968,0.856591076419819,0.982152743218751,0.824926090721448,0.969603640397569,0.992841784050713,0.609430224618217,0.931253285625477,0.938469819780703,0.952726089246947,0.766056769095015,0.97203354852531,0.945656207525016,0.43518086632567,0.996012074810097,0.921330986547584,6.63757322182955e-07,0.000416450265575961,7.70898623935575e-06,4.30475412847038e-06,6.67654824158959e-05,1.65237868980069e-06,6.24942516341294e-06,0.000124717778991651,4.22959472828554e-06,3.90063730369407e-06,4.93845654689162e-07,0.0157363598452503,1.55239386369378e-06,1.2465468894598e-06,2.58286050476109e-06,2.58743813502142e-07,1.67450607689805e-06,1.68257376560776e-06,5.71969042123223e-08,2.39277677938751e-07,7.23685591822728e-05,2.90954087790548e-05,5.58027961071969e-05,1.02828742229222e-05,1.07270351460864e-06,2.55239320607158e-05,1.18584433428949e-05,0.000140047837095504,4.36994220435391e-05,8.434909002193e-05,4.48806979078304e-05,1.89532827385646e-06,1.42455784399566e-06,1.77154066816014e-05,6.30285457501193e-05,2.88338859328116e-06,7.8361977432404e-06,9.88952926657423e-07,2.36643995890889e-06,1.77773907503773e-06,6.62903227149377e-05,1.19273396951982e-05,1.38317931578138e-05,8.14225544489575e-06,8.14143052351332e-06,7.23035218779332e-05,1.47183760876594e-05,0.000331055331871392,2.3159316296154e-06,4.02366518187298e-05,5.51233430921668e-06,4.78231423248431e-06,1.99687220646194e-05,4.59667503274534e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10738832236193e-07,1.00575859928152e-06,1.05999472680585e-06,3.06851705285296e-05,1.43988526506335e-06,1.45134010957161e-06,5.13905107583146e-07,2.46270753509886e-07,2.39557639429002e-05,7.07574122028891e-05,1.43398861129888e-06,4.72156341099245e-05,1.318654902819e-06,1.64590387426365e-06,7.94263323134413e-06,2.60897063469296e-05,3.49473626784106e-05,4.71875948230526e-07,-1763.53464228888,0
1,0.310551752235695,0.142866556096172,0.701122687270466,9.7,1.70124492266846,0.458177738905925,0.269191762294671,0.000313385520112016,1,0.465176047978608,0.955272013545543,0.501917956001651,0.974874091443061,0.94007743878277,0.89221267968836,0.947812165648112,0.968412035894098,0.993795115683628,0.677023891175552,0.993018819269659,0.993979413058751,0.311269748174287,0.997934895495895,0.879274743672177,0.961163811523168,0.998105808926076,0.975958523874976,0.890993822901501,0.98753523927417,0.842594945942713,3.69402146538077e-06,0.000419278669714668,9.45879088850666e-07,4.13529216837307e-06,3.18598659738822e-06,1.09983530312812e-06,6.87240548229397e-07,0.000107635869838929,4.88997776661054e-07,1.73030065245349e-05,4.63159333877169e-06,0.014725541225381,4.23920410390387e-05,1.96671569468837e-06,2.15431914060986e-05,2.78793019322662e-06,1.27611789990965e-06,7.36414474117961e-07,2.86361031197926e-07,1.82164273695223e-06,3.8891099405809e-05,3.24676950605613e-05,5.10008487876383e-05,5.92971654219783e-07,2.41309749564215e-07,9.15688131402759e-06,1.16569062468698e-05,1.56694821677778e-05,1.72626929144368e-06,4.8843164810301e-05,1.55845212369463e-05,2.61959265719329e-06,1.18835503550708e-06,4.16228020419903e-05,3.76389614906299e-05,1.80180673466882e-07,2.00997280478564e-06,6.19191292974341e-07,3.37612955731326e-06,4.37907409654185e-06,1.94444208402118e-06,1.14670039673294e-06,1.6684955319935e-05,9.81594495608165e-07,1.55851154979038e-06,0.000106959813055364,1.72529454646657e-07,6.83105167384962e-05,3.15729562814536e-06,7.79945207389408e-06,1.55246187594124e-05,2.0189954031349e-06,3.78295916059019e-06,6.73336594172646e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65780991529531e-07,2.74371573966578e-05,3.4767552021215e-06,1.51456080314289e-06,1.65422122294041e-06,1.96187312451463e-05,2.67741810293738e-07,7.72961713612666e-06,4.30471633884703e-05,3.29261884504551e-05,7.12755907519274e-05,5.90611714237713e-05,7.36306939647947e-07,4.56787387561778e-06,1.23995056265153e-06,7.14525085006944e-07,1.29049641752829e-05,3.68482764216163e-06,-1764.15733152194,0
1,0.267719907036377,0.154587750275157,0.756179710381072,9.7,1.5722219654404,0.464713816612501,0.272950380494053,0.000314954522735317,1,0.604641191913194,0.963305130198139,0.498286884237372,0.975848870894432,0.976369220588158,0.9061818951826,0.903177790550813,0.958250657138968,0.992921862107622,0.893523018645643,0.93075738721003,0.675480773159147,0.932077216995841,0.884489745958037,0.903821727157512,0.64858852606539,0.941802580467223,0.947943141566177,0.871236904364007,0.857515275773983,0.98736840919684,2.50034358058111e-06,0.000503719533057212,5.65871113919554e-05,8.46030836822008e-05,6.37240250858727e-05,5.72618738009834e-05,8.60530439675435e-08,0.000108359722440537,3.18805938980287e-05,2.00267938211185e-05,7.73970445580506e-06,0.0152481295108113,1.24007595133258e-05,7.94765586295874e-08,2.28063739601442e-05,1.30281785423633e-06,1.48513687391456e-05,4.9288430581794e-06,3.64518276958048e-06,1.21625505882411e-07,4.44508948394945e-05,2.30352386856831e-06,3.43105523561794e-05,1.70332508538725e-07,8.33510765806411e-08,2.26032053955135e-05,3.99685436456035e-06,0.000120137116464013,3.3335069052996e-05,2.72778063292573e-05,1.37494869070701e-06,1.93542654987743e-06,1.25798061097163e-06,6.89566728605702e-07,9.56114168657408e-06,5.54698495720491e-07,3.55095159336435e-05,5.04336762030289e-07,4.41647016246577e-06,7.98132980127795e-07,3.9598986855859e-06,9.15899948350256e-07,1.88774863759306e-06,9.79903886031554e-06,7.54782157514797e-06,1.07166499954656e-06,1.14796858625461e-06,0.000328065789251303,2.13068897919033e-05,7.70185226304396e-06,1.31169542322732e-05,4.91144901948631e-07,1.22162182455276e-06,1.86333525016103e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10949419727725e-07,1.56676676033412e-05,3.33412217611641e-07,1.3598401557696e-05,3.27256560847065e-05,1.2816835343997e-06,1.07227618180341e-06,2.15063049964962e-06,2.59656956826557e-05,4.97541275613312e-05,9.56317483109618e-06,0.000137173355274282,4.46584671893469e-05,5.26266934834097e-06,4.25559528874974e-06,0.000147806344103697,8.72031936461119e-05,1.58248477064195e-06,-1765.37881502117,0
1,0.317870499560746,0.141261496817629,0.764199114173623,9.7,1.58284161003355,0.468445369551686,0.274307669693453,0.000319376301201162,1,0.734449588194639,0.938588940070939,0.492404212146013,0.823833416220525,0.979777979671549,0.822645270646442,0.971455640071615,0.954523855782793,0.967815687078862,0.992531572223741,0.809018889438774,0.958466163671891,0.997937922445406,0.796094583894422,0.895097848154371,0.900695679244722,0.99785869651101,0.873917196814207,0.921503608396716,0.926004732223502,0.988256202877674,1.9971957686586e-06,0.000475565644736111,1.95027676002366e-06,2.57667682133709e-05,2.54874793751625e-05,1.53398070479379e-05,1.47390342904604e-06,0.000230640445772741,5.94150897936444e-07,4.78209565906785e-06,3.34941734619391e-07,0.0151686081975572,2.34086871008814e-06,4.51221091317639e-06,8.34973465501209e-07,3.99777046263986e-07,2.06556630776396e-06,5.83220032445083e-06,6.83755817948172e-08,5.72626674989094e-06,5.20514534598133e-05,4.61617110712523e-05,2.26048286652744e-05,1.15023082312869e-07,2.39858263436672e-07,8.22154750989605e-06,3.53117643334329e-07,9.18593883462676e-05,3.96042158128388e-05,0.000151958001989259,4.58211147231406e-05,2.7398724100032e-06,1.09550011763314e-05,9.17215546472277e-07,4.80070168831553e-05,5.95333741892885e-07,7.72582635664215e-07,1.80516606778526e-06,6.36598259085187e-07,7.06558931340854e-06,2.95001397638043e-06,8.89032630295261e-06,1.96005666078005e-06,3.38472576616786e-06,1.46182374686722e-06,3.16597136301036e-05,3.30277233339755e-06,8.11731469449541e-05,4.36292886773976e-06,2.1308318320908e-05,3.57167483898825e-06,1.38133135312085e-05,2.56190955857875e-06,1.54470870093581e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43106782182947e-08,3.82967357800758e-06,6.01871901042849e-07,2.88194784373645e-07,3.15830809048162e-05,4.34798988744148e-07,3.20714083568687e-06,1.94115225649933e-07,6.48019611161776e-05,0.000123063927284026,3.51355865910554e-07,0.000155067814944806,3.30351004182264e-07,7.46068206316729e-07,3.39888641333563e-06,0.000135186800562609,4.75537779057667e-05,7.31976780350959e-07,-1766.97006928293,0
1,0.28183418698445,0.150973614534678,0.724734691330386,9.7,1.89917604205818,0.444732721748838,0.247355833117062,0.000413810199855749,1,1.07798262636028,0.963388591898106,0.484265953512745,0.975291244065936,0.982759265397842,0.92349436483668,0.91447454135887,0.994225741692116,0.750394778621442,0.872504074352787,0.989451655948631,0.949093205517104,0.982430638405832,0.973319866251728,0.891051558184377,0.96653359183113,0.99409078140778,0.651711033050016,0.923223015512656,0.991715261352501,0.885918005364111,2.09239706170948e-07,9.32164877951272e-05,7.73986333984329e-06,6.7777922340693e-06,1.28932404744521e-05,1.03526778359602e-05,6.69908565489117e-08,0.000111540224705157,5.02872047187538e-06,7.55423928208376e-06,1.21378146620947e-05,0.0122121663061912,6.89110598616123e-05,4.3225017126895e-07,8.25612739931705e-06,5.38275427483837e-07,5.03066786350946e-07,1.07910100427973e-06,1.16692429086433e-06,1.4985322891616e-06,4.54466916104145e-07,1.6925447648859e-06,8.01718101162892e-05,6.07120841778288e-07,1.35458239028009e-07,2.32927325163119e-05,2.50015324118571e-06,7.36923382292006e-05,4.57063382929202e-05,7.38395457166949e-05,3.12653491208269e-06,1.5708732547651e-06,1.71928886049502e-06,8.45073837555743e-05,8.3218162377086e-05,2.97826454950822e-06,4.94750941559291e-06,1.01236282222268e-06,3.23692809942385e-05,4.67336879707622e-06,9.36581138786696e-05,2.18858639068995e-06,7.48230426146972e-05,1.38357494343853e-06,1.23660142876631e-05,2.24443638540364e-05,5.36545302201663e-07,0.000148383434657412,1.38262221870258e-05,3.64831055730847e-06,1.08676104299797e-05,5.95474576537274e-07,0.000124636140068442,8.01881638283249e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92879064111895e-07,0.000193374636355834,7.84926500357892e-05,4.6579015964382e-05,1.59784371701411e-05,1.28833115040055e-06,1.03654608697178e-06,2.56900201000198e-06,4.65101319456671e-05,0.000113553358247613,2.89831060078946e-06,0.000172060797368063,3.86553632195885e-06,1.92768853228996e-06,2.03312642995615e-06,3.41637622553567e-07,1.57989164033432e-06,2.19647416542656e-07,-1767.04188766867,0
1,0.278630250662264,0.163092477322437,0.769548950181459,9.7,1.61405571071744,0.448258400051458,0.26223898870663,0.000356121042408693,1,0.679255708720201,0.944575791531808,0.48147433076952,0.931541478467115,0.988633347022134,0.9923958342724,0.796426337699729,0.974479222067692,0.975220810874284,0.987603241051364,0.973114221126867,0.997625183489115,0.967779526242522,0.972452612155661,0.894596966293957,0.468183181955159,0.987844099726427,0.908790939047096,0.663276024036568,0.788420013833049,0.85111410114287,4.45595822522549e-06,0.000455822994782015,1.35094538793129e-06,4.10057098348335e-05,3.00123837341974e-05,1.31594613258748e-06,1.68157154292976e-06,8.35022600109208e-05,1.5289448019533e-05,8.28318436195327e-06,2.0138684694951e-06,0.0147317739238449,1.32925191747608e-06,3.44246156727454e-06,1.13441731618925e-06,4.18589319573617e-07,1.69337290362747e-05,1.19702576103237e-06,1.36754328428632e-07,7.2152830760842e-06,7.97285669437825e-05,1.2580294766337e-06,2.17908525290411e-05,2.27696845388953e-08,5.21310235614608e-08,2.43743348547372e-05,9.38024645545278e-06,0.000122136357437077,4.16592332298341e-05,0.000393959133480704,2.32216669310495e-05,1.71211689263399e-06,3.62625449982115e-06,8.16468264420141e-07,2.37364834967607e-05,2.16643265154175e-06,1.09456195719178e-06,3.34593201459798e-07,1.12261694657997e-05,4.52452034159196e-05,9.17446012346263e-05,7.70673127114238e-07,6.09356287994203e-06,6.39175042201638e-05,2.08173237467875e-05,3.37375814181774e-06,1.55644485051953e-05,0.000107958054590812,1.5278022766309e-06,1.2246324705213e-05,1.17847575993944e-06,7.50909556495194e-07,5.75286460927419e-06,1.3077232200369e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44922441729066e-07,3.2411483363859e-06,4.17851431054955e-06,3.10046398410626e-05,2.5672562890996e-05,2.63101826841822e-06,4.03533538420764e-06,9.50807827323055e-06,5.28083035756576e-05,6.12065524373607e-05,7.16421767011398e-06,4.94039388146912e-05,1.06341278932638e-06,4.06698977746174e-06,1.1846798525319e-05,6.88513276056359e-05,4.6562929080152e-05,8.34291970684105e-07,-1768.66416683944,0
1,0.240671811724172,0.152460961467125,0.756720210735946,9.7,1.89076217514059,0.471867461962042,0.277293576862978,0.000373671203743963,1,1.18916272314465,0.994286988558213,0.492949572013132,0.955363898923448,0.995484638575044,0.824978759270529,0.497148970403585,0.994226450883169,0.65790831847016,0.976951333998984,0.835475112684895,0.98642698810633,0.672661287185185,0.982290831913363,0.798203439158173,0.860836564455851,0.934374315651709,0.909054736800765,0.239587195105846,0.902836431416817,0.951413102231626,1.89701774729648e-07,0.00018903274890047,2.2202397551426e-07,3.01466497015712e-05,5.46448161661112e-06,1.35188538610029e-05,2.195258361135e-06,0.000125985811727403,9.31350757907928e-06,1.88461965740506e-05,1.16097512392752e-06,0.0110802148495272,3.35052090808595e-06,7.41895982314881e-06,9.09449443047256e-07,1.99525810473671e-06,1.96926133232841e-05,3.50383689539288e-06,1.17167730941437e-07,6.92913126598163e-06,1.37687254544158e-05,2.77759490718393e-06,9.7099809033325e-05,5.26328805363044e-07,1.05346947265292e-06,1.8973750229892e-05,2.62891202025396e-06,8.15177690220271e-05,5.80477530270456e-06,7.81741951953596e-05,7.92738757999824e-06,1.21686089910493e-06,4.88503710547681e-07,1.13215009639867e-06,1.46846878112764e-05,1.93668804587263e-06,8.5627596753717e-07,3.11397958225099e-06,4.70439996323494e-06,2.20679667523451e-07,1.10901479123476e-06,1.70031287616904e-05,6.24077266299415e-06,2.54885648618608e-06,1.42099569737692e-05,1.11091838454435e-05,2.2664083181319e-06,0.00205167676999405,1.53152405907951e-06,5.62536455597981e-06,5.79981277479933e-06,2.09603605941474e-07,2.95256171219131e-05,1.39136221778289e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17451963386942e-06,0.000140434428500483,2.73006634216055e-05,7.7482992496451e-06,6.60360015800955e-06,1.15277007982618e-06,6.02885073471074e-06,1.18749536677729e-06,4.46026437050436e-05,5.3184404054499e-05,4.60638135093386e-05,1.39047283231763e-05,3.77737554584949e-05,4.12333630817852e-06,1.18300013638854e-05,2.85226183224137e-05,4.52153646008456e-05,4.99882330787586e-07,-1769.3798166633,0
1,0.237148830091102,0.176540992479631,0.748360552055273,9.7,1.80344395878082,0.463879624829566,0.273314132233237,0.000329666260849828,1,0.520814373145481,0.930566428360446,0.50671206594368,0.98473022147664,0.970371094525555,0.85138639992195,0.986320197832874,0.926288454135047,0.98932579219941,0.75506352935924,0.829281271011703,0.57433120913666,0.934390968062331,0.99359923459156,0.665594280208567,0.943304762758347,0.96104053316382,0.928623360309137,0.951506392859159,0.987793829914013,0.987711471595236,4.12212328864376e-07,0.000401413257267067,3.1430645046796e-06,1.44031812522679e-05,0.000112441428518496,1.3762197337209e-06,2.01878119857293e-06,0.000267125275524897,2.82951019204648e-06,8.28213940743276e-06,2.98410059259699e-07,0.0098130783477438,3.49691129532357e-07,7.01657009399035e-07,1.56143656805103e-05,4.75249085489792e-06,7.26262964424216e-06,9.79351576127546e-07,1.85647362456342e-06,1.07787380011551e-06,4.39197651955145e-05,3.47911117264703e-05,1.11086263922365e-05,1.16769984706469e-05,2.12214735106518e-07,2.27052375415342e-06,1.55926084568495e-07,1.93035157979918e-05,2.79757062109061e-05,5.05291619818609e-05,3.31857416816812e-05,1.38238294150672e-07,5.41638772660036e-07,2.60656803162835e-05,1.78724809927869e-05,6.88077026896671e-07,2.91757898562579e-06,4.29382501528064e-06,6.98325384298727e-07,1.17783356724444e-05,1.10748898117133e-05,7.71364024397269e-06,1.06165786024737e-06,1.74590589223022e-05,7.91426253787712e-06,3.60739783145321e-05,7.59023682473057e-06,0.000583283284043049,3.88888371082043e-07,3.70165709942033e-06,4.23721461325796e-05,9.78539489409748e-07,2.89035990875734e-06,1.00336049504396e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66283878191056e-07,2.27941898903907e-05,3.02704899400533e-06,4.21115915624154e-08,2.21692694821369e-06,4.47883426679203e-07,5.02468544880436e-07,3.22348297422452e-08,3.70472226000258e-05,0.000188034058590434,1.40227133671749e-06,5.21650371460742e-05,2.57719594206749e-06,6.12064499407892e-06,4.11485022439382e-06,1.31542844974688e-05,6.04250719986622e-05,2.88187045234332e-06,-1769.71822472176,0
1,0.316479847486696,0.153567301274918,0.787328847956893,9.7,1.77074318052448,0.461770308522799,0.267725030873713,0.000371136820797363,1,0.795567417175068,0.983019249239874,0.476441401055867,0.994872495682296,0.990161919454744,0.325284732530681,0.86792522333397,0.99253994659105,0.96443815374904,0.980995077533507,0.991134033564138,0.946801826025654,0.870864849919766,0.995749140416122,0.640028595638875,0.995832061586177,0.941865704130153,0.997911345564275,0.944723303848963,0.979855816170268,0.940475113755489,8.06791089443249e-07,0.000402127469124469,1.94055752632484e-06,4.23562621665556e-07,9.71297197005075e-05,3.4794495132862e-05,1.87495318460887e-06,0.000220256632569392,4.62874762876912e-06,2.14641952935052e-05,4.25027098063011e-07,0.00732948302165332,6.93347635497814e-07,2.85706230625974e-06,1.83278254624167e-05,6.41696036090868e-07,5.40115632041583e-06,9.7242118369877e-07,2.90552543345539e-07,1.00366096839151e-05,1.87548834196845e-05,3.18495028182869e-05,4.70951652333739e-06,1.73936067392424e-07,3.40258808924903e-07,1.01265013136299e-05,1.19671249581243e-07,5.13640473365511e-05,3.64190135246102e-05,3.53886306277664e-05,4.41555046882875e-05,3.89039607782772e-06,7.71935582033613e-06,1.31760510013882e-06,6.58244568105707e-05,2.02461447094443e-06,1.67256085907908e-05,2.22080054455445e-05,8.82154929699684e-05,2.77418450974179e-06,1.43188116014634e-05,3.2701515863654e-05,3.77027808879779e-06,2.71764963674501e-06,3.62423550244897e-07,3.06223226036332e-05,1.33750093550417e-06,0.000462353327725083,5.7957067244804e-06,1.04959788037625e-05,4.61041446019961e-06,8.90155530637299e-06,1.67539571294442e-05,4.79261925582015e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50293437771512e-07,9.88565314418194e-06,1.0445335922503e-06,1.19648914408303e-05,1.19764007925757e-05,3.515418522468e-07,9.85831249480757e-07,1.51233745840374e-06,4.93045858875004e-05,7.71521346891364e-05,4.09517330825806e-06,2.95925698956667e-05,8.03152755010589e-08,5.81063413391013e-06,2.30999395109503e-07,0.000112264252567369,4.02351406086591e-06,1.09566051118396e-06,-1770.37444681598,0
1,0.290160094360001,0.147590583392986,0.77922453463238,9.7,1.83543055661147,0.462125543628468,0.246659778923008,0.00040718361316892,1,1.01607171393692,0.927308249754579,0.483540019841992,0.953250890499695,0.997140275411977,0.973775369365906,0.808762877083048,0.989864761724073,0.965869284830402,0.906945942505018,0.910531843671731,0.97983999485026,0.746185552187758,0.998793508393519,0.951697673411703,0.940736955298429,0.96879192738795,0.98876819211727,0.90146951044907,0.984717248239875,0.993056046720564,2.37661226936999e-07,0.000368467877921211,1.76344539258425e-06,1.79331863864285e-06,5.5029319380266e-05,4.50529477771917e-07,1.10293852152496e-06,7.99877023433882e-05,4.73063564060122e-07,3.74665184634487e-07,9.69705494748132e-07,0.0143105421546159,4.73167199255491e-05,5.07476807746768e-07,5.83799372072007e-06,9.14094209339981e-07,2.37659775604613e-05,2.64293912914527e-06,1.16356198375965e-07,2.09012387583836e-05,4.34262962262551e-05,3.42634780774183e-05,4.23980822784109e-05,2.32972033437838e-07,3.16813565829454e-07,2.32134438966411e-05,8.39083876311175e-07,4.97506454385884e-05,9.56230823551746e-07,8.72176400089945e-06,1.55807895617036e-05,1.76254066706142e-06,1.93559732547301e-06,8.45494882540868e-05,3.92338507970625e-06,5.6632346383364e-07,1.78854133079243e-05,9.00346845297007e-06,1.62448161646792e-05,1.23158424059871e-06,6.3885067496184e-06,2.20296823584772e-05,2.13126970795963e-05,3.95225608987831e-06,1.7461972185467e-06,4.14256196228051e-05,1.3030722656228e-05,3.09878428043519e-05,1.13977282416081e-06,5.90127484723832e-06,8.81643384974491e-06,2.11266618846398e-07,7.29468345129446e-05,1.17046935704237e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19069946352026e-08,6.31582393263358e-06,1.42166358969345e-05,8.5411486501922e-06,4.10384979367471e-07,4.66570884939026e-07,4.36460150616981e-06,1.84153704195112e-06,4.82864734672752e-05,8.21352863649804e-05,4.50225928068193e-05,5.1286844862147e-06,2.03763510139875e-06,1.60703749529473e-07,4.25938889132451e-06,1.83832062955503e-06,5.92906565040153e-05,2.07266436015847e-06,-1770.67363659351,0
