"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.322115921175096,0.169137466110581,0.712331575585486,9.7,1.58673733795611,0.460605593489683,0.276567596277013,0.000271273192135659,1,0.437955324758578,0.970423348419786,0.607633312987099,0.958459580013758,0.838085069043182,0.690598875830544,0.958710813176864,0.99424568250283,0.981729822420584,0.991959117664503,0.976179892886785,0.928504502580226,0.9477874117971,0.988127375739159,0.831481226732762,0.926411762663715,0.963399314676738,0.980856961242794,0.978142104163588,0.896359643457095,0.977914150990455,1.79433743797473e-06,0.000183908044425507,1.66302972989879e-06,6.42688498073369e-07,4.150693097698e-05,3.17430445102135e-06,1.93714421897685e-06,8.26663344730747e-05,5.40128167656134e-05,5.54089544016002e-06,2.32380316771891e-08,0.0117124431027035,3.08371172034025e-07,5.1757909005672e-06,7.86565069241009e-06,0.000174886265277992,1.47096384730036e-07,2.90839297260004e-06,6.44897363188929e-07,8.47464822081938e-06,1.24642076527362e-05,3.76477813801329e-05,3.26361880327719e-05,3.87565790759703e-06,1.13088520482477e-07,8.97710286731711e-06,1.04851996646653e-05,4.42498465447947e-05,3.79905817996397e-05,0.000107095751423866,3.19605046219833e-05,1.88678999825669e-06,8.80063804142897e-06,7.14489927696703e-07,6.39401398742876e-06,9.39143242303963e-07,1.35808138113994e-06,6.78768137261329e-07,2.16906601700601e-06,1.18541675955454e-08,9.17104391630473e-06,1.57163318398144e-06,9.58650513445559e-07,6.21638734700894e-06,8.38894695915737e-06,2.33976934284419e-05,3.83055919729049e-07,0.0010475378894493,2.38057201517546e-06,4.03054750756359e-05,8.29560293151963e-06,1.33027134221063e-05,9.17303159309367e-06,5.26729708590771e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28058418236704e-07,0.000236339063751572,5.11585024405061e-05,2.5148215768144e-06,7.81940393177079e-07,9.78333464521562e-06,1.9807288889174e-06,9.46640396498564e-06,1.09709937695627e-05,0.000150960752458869,5.44936185447486e-07,1.76855179288708e-05,2.72399905427731e-06,1.18455804109072e-06,3.78046679370681e-07,7.13961334875354e-06,9.30873039116627e-05,4.84457423417952e-07,-1744.12080458001,0
1,0.246054647743099,0.172697495662958,0.736655934483595,9.7,1.54689735017716,0.465626270373185,0.262009243831993,0.000289066274098994,1,0.675123313951082,0.956402258516059,0.637165998933946,0.995067855973116,0.878188436582236,0.75418777605791,0.985264329869621,0.954594670579949,0.989096495609417,0.944148666427955,0.994808042371571,0.865381086702177,0.884795620723103,0.991594135241669,0.922110223319806,0.927628556038551,0.98374625756296,0.961962727676059,0.955778407625221,0.991751702584911,0.989003487192291,6.12557104232891e-07,0.000417772560462498,5.93813403796423e-07,1.85024843068974e-06,2.83515015499787e-05,2.93724908323218e-07,1.81488813862876e-06,0.000111670056582244,5.93579992700628e-06,6.07975227020904e-06,1.29224092430277e-06,0.0193239153831683,8.80783768773329e-05,1.09476384217988e-06,1.58576105538143e-06,2.49335496261532e-05,6.49330749218502e-06,2.70869161401333e-06,3.20265915765657e-07,2.06655098438053e-06,5.84360354977141e-05,6.40105699436579e-05,7.85926736323439e-05,1.5695197784576e-05,8.33240924910948e-08,2.65671883788792e-05,1.05399579192333e-06,2.86894499389441e-05,2.14786323733402e-05,0.000179088167994638,8.46913663121295e-07,1.1738771326068e-06,3.91285720337458e-07,9.0275248435863e-07,8.00295018769365e-05,7.86605005086789e-07,2.55919401891994e-06,3.42434340142713e-07,2.68315281997665e-06,4.54423412794081e-06,1.20100382891908e-05,1.2291295573802e-06,8.90366006247487e-06,9.35781411158195e-06,6.87361084389563e-06,3.26623676330428e-05,7.67591231411819e-06,0.000297162241970505,4.34082439029266e-07,8.03925973690045e-06,5.7517031847599e-06,2.06407349712158e-06,9.61873391192221e-07,9.45114696523241e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59067157241521e-07,2.78987887246284e-06,7.98633725588474e-07,2.42873669600004e-07,8.92943506331536e-06,8.53938508775073e-07,9.10210204779837e-07,1.33266200041825e-06,6.64242849806746e-05,0.000215519774905658,2.6891228490903e-05,8.58804291803546e-05,6.61343199928254e-07,2.25729551036349e-06,1.82888915564964e-05,5.08837749907967e-05,4.21451232054732e-06,1.86515469270001e-06,-1746.84554986316,0
1,0.298456798515463,0.1543937034195,0.735399904690054,9.7,1.90051242877513,0.455065562889442,0.269229905479917,0.00037973418955874,1,0.705919717468961,0.991531516448378,0.619429897955837,0.948464502798397,0.987797339437232,0.955765823445245,0.977785200989282,0.901648981614314,0.986228096907783,0.954317908905515,0.972918213945161,0.900528837876902,0.955557525977601,0.982491738416584,0.632449689225318,0.99258602341325,0.993193324484838,0.980115910191114,0.616515021347932,0.971737674782818,0.965954391067756,5.9851696146499e-07,0.000121169365478375,2.57368216652807e-07,7.58657047127214e-06,1.67288172915614e-05,1.06522387050352e-06,2.58629597220253e-07,0.00010836056110847,3.35553127940365e-06,4.73787022952569e-06,2.15634401895687e-06,0.00699825172449804,6.44461400744258e-05,1.24450672663099e-06,1.09165021813514e-05,6.45298575731863e-06,1.61658110656621e-06,3.18237576163235e-08,1.95549575820165e-07,4.58418462949354e-06,4.61303567375571e-05,3.64325382857926e-05,2.5750482095444e-05,7.14179262119338e-06,3.26057744076823e-07,7.69632289219593e-06,7.99588919137243e-06,2.35467825244487e-05,2.15344897316995e-05,3.0857347159498e-05,6.04945124667458e-07,2.30122996984576e-06,3.1216620861004e-06,4.09044585684273e-06,3.75682704191244e-05,1.61760155271747e-06,5.40068002539102e-06,9.22211269665658e-07,2.84453656575297e-06,1.73137940615974e-07,1.58204196217338e-05,1.91445300751033e-07,1.33340395971505e-06,2.52600597790976e-06,2.36134887265549e-05,5.44957078802078e-06,2.59723292562949e-06,0.000218202417826815,5.59553254465493e-07,4.52946562661387e-05,3.73873131139313e-05,4.14457573645472e-07,5.99094692747555e-06,8.5095258731914e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66390314224299e-07,0.00019411940673109,1.1378217209027e-06,7.54309137408378e-07,3.20786502432114e-05,6.57455308269921e-07,1.85882668534065e-06,1.64602318068207e-06,3.23648026999107e-05,0.000132610868124045,1.67795809499036e-05,0.0001635132729213,8.38902761334178e-06,1.08210951951858e-06,2.96017308832296e-06,5.56967585780028e-05,2.90112818004799e-05,6.54656386118584e-07,-1747.32577404915,0
1,0.24983431727108,0.16566927344832,0.740891936832868,9.7,1.70963091176348,0.474586871304191,0.27367866693015,0.000318676140068285,1,0.472862236671323,0.975972110474379,0.684216581107666,0.983086467042955,0.824313702969304,0.682545699135602,0.971988428946474,0.843506493289883,0.967679925601336,0.9483040860544,0.980549637195111,0.970107507187448,0.746533266086172,0.976509521838482,0.782265077204752,0.969887078417201,0.906656380278749,0.994761080647583,0.887286969309825,0.985181036692936,0.992643381903652,2.65962894142092e-07,0.000333551096501642,1.91158308807491e-06,6.30722859022427e-07,7.42387679355887e-05,1.85942235328902e-05,2.17967707323906e-07,0.000201389570262156,1.95181388631477e-06,3.89193008957365e-06,9.10685126659021e-07,0.0126521729584373,6.97654385735659e-06,4.06214347080903e-06,1.28301650698455e-05,2.68876267196992e-06,3.64064284048073e-06,1.03852044951233e-06,1.05065091116012e-07,2.56710714623391e-07,2.64382607372749e-05,9.28422235594403e-06,1.83794044519674e-05,1.49856984076607e-06,3.34235482077973e-08,8.19455075510259e-06,1.2901470725805e-07,5.0083885131224e-05,7.89833121984393e-06,1.38561371559617e-05,2.6160917314692e-05,8.21516552789926e-07,2.28572494816488e-06,3.85269430057463e-05,4.1129895915421e-05,4.29838545651346e-07,1.43628059291175e-06,3.85142455828908e-07,1.79979239810673e-06,2.62588325203773e-06,0.000209822550443391,6.3510650405544e-06,5.89653053445986e-06,5.65590152326753e-06,3.80201395661644e-05,2.66979297703502e-05,5.02435158390158e-06,7.97171495367158e-05,4.50891104480948e-07,2.2995771171138e-06,5.76808125392668e-05,3.0784350850213e-05,7.33250310155211e-07,9.58425712739924e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02412107770468e-07,2.33631608861637e-07,6.70188190532528e-07,5.66713208498299e-05,2.0591713074741e-06,4.83630328986652e-07,7.47944710581572e-07,3.11167813146955e-07,5.81250373717908e-05,7.07710634813271e-05,3.94044174767208e-05,5.87798270000384e-05,1.17644421983412e-07,9.68939500618107e-07,1.25886332538534e-06,2.3727005600543e-05,1.72411251323939e-06,1.60007189922538e-06,-1748.82682431677,0
1,0.243233065502524,0.161799179284493,0.763787974939594,9.7,1.69279365261325,0.460338132415283,0.252857723127117,0.000359697815151797,1,0.834135320382552,0.981742692738758,0.652400446617175,0.938099282168838,0.997394676788431,0.965262765910956,0.888235135508231,0.966816545497457,0.965040033670624,0.908404032867066,0.969625320591807,0.979039627740978,0.985343646039674,0.976376049903967,0.971473198996123,0.899351023612031,0.9841501760483,0.971560181766484,0.863907129308258,0.992715679626521,0.937830806303173,6.1517032326861e-07,0.000374873752907998,6.43050709611499e-06,9.55908472322054e-07,8.8772895313065e-05,9.53074227377881e-08,1.09337890879357e-06,0.000109430593069219,2.3335430125002e-05,9.10432517217547e-06,6.41740594676148e-06,0.01794608843237,6.99468301322862e-05,9.37932927520777e-07,4.31109445679894e-06,1.85478925483984e-05,1.13772823628715e-05,6.96113445586432e-07,3.41359501659828e-07,1.57937247035526e-05,3.22921649712819e-05,1.98539216735778e-06,2.08633970509056e-05,1.33912857429805e-07,8.89618448729479e-07,2.52044710964305e-05,2.88622117888678e-07,4.27892955180692e-05,1.08138099600414e-06,0.000291453628093559,2.94517919798487e-07,1.63861445804443e-06,6.54154217277852e-06,2.46115105593861e-05,8.73526563586017e-07,5.32090090122713e-07,1.15807510838605e-06,1.20155444385123e-06,5.46974872464665e-06,2.80474477794809e-07,0.000432208053740544,4.30422345058968e-06,6.36818498955081e-07,4.1046048269164e-06,7.96774092258077e-06,0.000299891213607042,2.03270495564856e-06,0.000143223428366097,3.70281030121579e-06,3.18105294018614e-05,4.00452201831197e-06,2.03701682103971e-06,1.74975156714761e-06,6.74008003232929e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59736247958012e-08,7.82858937036913e-06,1.22225025481078e-06,6.51713360794454e-05,1.23110039829326e-05,3.3234233631802e-06,3.78066742944706e-07,4.64338833035964e-07,4.54848868256995e-05,0.000173892452777396,4.44671907215612e-05,4.73976061351102e-05,8.59097200640052e-07,3.0291411814452e-06,2.05174985673727e-06,2.44375299573799e-06,8.85804598117158e-05,2.56610569131349e-06,-1748.95555425491,0
1,0.312853106086995,0.141950683161485,0.753256342449358,9.7,1.83427885298506,0.466629972263624,0.27370937826309,0.00033807815465215,1,0.845808930320362,0.931852265254012,0.624997489105442,0.98697726021799,0.916345092624722,0.978198692871626,0.964091375351288,0.897704084965755,0.86350416855466,0.98479555592864,0.901275188262971,0.969679332044245,0.967299823480411,0.949766543019691,0.961760974570949,0.707117552309142,0.979206616933932,0.977880854830979,0.984020848098791,0.981645942361951,0.993034981280553,1.15217036869356e-07,3.35595987674342e-05,4.011256820607e-07,1.62922631914921e-06,5.41153946707559e-05,1.50088671558382e-05,2.09067826213707e-06,0.000248084828741743,2.21090810015007e-05,1.330220275848e-05,3.82953292463353e-06,0.0133484336623604,3.7367192395549e-06,2.63564452269663e-06,1.30086506168624e-05,1.32337544773464e-06,3.59408844285949e-05,2.40398018216328e-06,1.14031826034127e-06,2.98726057294464e-05,5.82713539368772e-05,5.25734218622641e-05,1.77268854558094e-05,2.28491663191308e-07,1.09495184286329e-07,1.49111651830678e-05,3.79843887660485e-06,9.48345059459778e-06,1.0603323366474e-05,7.22651438632525e-05,3.01634501116966e-05,1.91059142137116e-07,3.07592592510131e-06,6.1617066717828e-06,3.08129572361156e-05,1.80535637942705e-06,2.58106047198975e-06,4.91998229428705e-07,5.86786583906619e-06,6.9452485176955e-06,2.3177915536307e-07,3.99413862861095e-05,2.14940432425671e-06,3.43115819212662e-05,2.48897126159067e-06,4.01037490792066e-07,4.39216083149173e-06,8.85203757787084e-05,2.76438290901669e-06,2.30734012487227e-06,1.24685198922509e-06,1.56146431361909e-05,1.02533403034249e-05,3.92486176679826e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52199877947452e-07,0.000200473860360553,2.68560277941757e-06,2.41106872321459e-06,3.80120470280546e-06,8.48116057771475e-07,8.03322469683732e-07,1.23418417817556e-07,2.84641184972785e-05,0.000175422108403675,3.81121021851133e-05,7.87945459921694e-05,7.37425202982888e-07,2.03365383898758e-06,5.19599793247833e-07,8.87642340364627e-05,2.32504033958411e-05,3.36945737534453e-08,-1750.2729777446,0
1,0.312107032820739,0.180670735946553,0.749476670170624,9.7,1.65134583688918,0.45100694162483,0.277840772181627,0.000304112850788996,1,1.1236763134872,0.928483210762151,0.567825390264431,0.974376011416375,0.950116690975072,0.524146054348459,0.954309984502259,0.993538304857837,0.997253971505019,0.908984116165136,0.998882281165004,0.877372641660963,0.882818706272469,0.91307459309395,0.868181691164349,0.95554751259732,0.981887795790472,0.948709424097048,0.208654326100541,0.990398693951693,0.953252477704178,1.03196202554129e-06,0.00047001109654358,8.06790898374338e-06,1.83292746927969e-06,0.000109715410452314,3.05899369986834e-05,1.80079197002016e-06,8.88955729116449e-05,1.40309835826049e-05,1.19267956237854e-06,2.41745573382829e-07,0.011353089462342,5.44341468437823e-05,7.61542829065612e-07,6.77741717021251e-06,3.06241016116273e-07,1.33660235529804e-05,8.88291331272394e-07,3.17055730665319e-06,8.48899375193963e-06,5.32365662022141e-05,5.67241622028588e-05,7.50287650311876e-06,6.02454487901842e-06,1.10092250069688e-06,2.58358486590839e-05,5.95069596652081e-07,0.00013104018443026,6.21114741623384e-05,8.13501037012693e-05,3.07306441952982e-05,2.57379701570198e-06,1.77374956797757e-05,1.90924787613948e-05,1.23138088830787e-05,1.92707926022831e-06,1.36245131955257e-06,1.62239934786549e-07,1.0265288673756e-06,4.2247614776629e-07,1.00321090818092e-05,1.67303353957645e-05,1.08717714966102e-05,7.36481644084683e-07,2.57737310458275e-06,2.73201352213797e-05,3.08966337967533e-06,0.000211326670117107,3.0410668764909e-05,3.48444174855734e-05,9.12302612369977e-07,7.86946283408837e-07,5.63525864169172e-06,5.29472541094405e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81946218529205e-07,4.5482777130733e-06,9.73233384397503e-07,3.12984989843674e-05,3.66556194669239e-05,1.62506891608848e-06,6.3654984425129e-07,1.07250801098003e-06,5.26362915757237e-05,9.70559685725495e-05,1.80788391141786e-06,8.40975006718807e-05,2.2894726088095e-07,1.9662892306398e-06,1.03158347754684e-05,1.3425351261182e-05,9.6820892383151e-05,3.48942716556396e-06,-1751.6706481695,0
1,0.234776603105744,0.179891843285977,0.762367813194842,9.7,1.57766897663136,0.474227423056532,0.280249003114578,0.000278920656276563,1,1.05501837410652,0.9518097414912,0.642877107399873,0.991039139484159,0.972610564161187,0.900074010720971,0.93382364282076,0.938229899266964,0.990432143922911,0.95629899854323,0.978277709895013,0.901493265817586,0.866866355024063,0.980609690070519,0.955981810765229,0.979062569183028,0.962677969207429,0.89368285304076,0.393052323134539,0.993363887578836,0.976293572574707,6.18976138166693e-07,0.000138041388350513,5.51044075617448e-07,7.66592954521795e-06,5.88932586384279e-05,1.03372124006235e-05,5.40238192514739e-06,0.000268656891088364,5.57640792772104e-05,6.12301682715059e-07,5.38839123113052e-07,0.0187705954647856,1.29179819058034e-06,3.0133998568266e-06,3.35585392561336e-05,7.63594762345661e-06,1.14729142355447e-05,5.01070321898655e-07,1.35204893545048e-07,3.98619988695708e-07,4.84546426058163e-05,7.58364834129327e-07,1.99174586863277e-05,1.13209350861343e-06,1.55559923575389e-07,1.19086159013528e-05,5.8345934465993e-07,1.63095575286952e-05,7.41609553300849e-05,5.98834466047591e-05,4.08213532472893e-07,4.29177354400814e-06,1.65292314029858e-06,9.00097801566888e-06,9.50387107786699e-05,1.71143761115605e-07,6.31251920755143e-06,2.77051732147973e-06,5.40626649137673e-06,8.73792979723486e-07,1.27229503194378e-05,2.13124640473917e-05,4.49363247017305e-05,1.14408379899972e-06,1.32481137387704e-06,8.19091620701815e-05,2.76486706575381e-06,0.000139240718278858,1.47914576942112e-05,2.03118888863189e-06,4.98037490590306e-07,2.36127358617889e-06,1.03406983142332e-05,2.41927117420717e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86491660678376e-07,0.000256158235019246,1.15734786828175e-05,8.01330525129503e-05,5.99404324664237e-05,6.92064995959666e-06,2.09330359047055e-07,2.51466124946239e-07,2.31066513631873e-05,0.000228942054821885,5.48472350008663e-07,3.41859442051289e-05,7.31387747318692e-05,2.17458145883894e-06,5.66571914430424e-06,3.56840243721837e-05,3.21703014960696e-06,5.22136283407774e-06,-1752.84366886654,0
1,0.290099646411978,0.169380336336154,0.753038661830435,9.7,1.70956424326111,0.469745265198628,0.270578878720895,0.000272772842081938,1,1.02230172300359,0.984659487605608,0.598539521616926,0.992773471890748,0.943482155838819,0.983667824357965,0.99478174706314,0.965116942092182,0.882403845005336,0.984333529504247,0.917645339682203,0.989428036829895,0.64021862483526,0.966180255808156,0.546764150347949,0.972443485228393,0.982267217422968,0.982882693882138,0.377427708868019,0.839407105431892,0.988267115152529,1.38903373889147e-06,0.000393745022737353,1.83385381773769e-06,7.31633569045998e-05,5.04220632711644e-05,1.59772932287186e-05,5.96854328352696e-07,8.28557490914642e-05,2.07443804438966e-05,1.90560879041225e-05,1.09861767780034e-06,0.00730479059118296,7.77459063424412e-05,4.08524162443898e-06,6.96480378452732e-06,6.51515336228834e-07,6.26105260245636e-07,4.90534138787373e-06,6.40664334804366e-08,4.97685353466564e-06,8.27644286731558e-05,1.18568457336066e-06,3.97907777801812e-05,4.23791028745174e-08,4.29129840899746e-07,2.25144315943859e-05,5.01297979421221e-06,6.11506568760886e-05,5.42105576203319e-05,7.77548154321582e-05,2.1509334968383e-06,9.22550827956827e-07,1.8398970227337e-06,1.04440852762227e-06,9.04316539919086e-05,5.11062941966088e-07,7.27343166419398e-07,3.37583011966667e-06,1.08340399582904e-05,5.56715544722794e-06,1.45091155951825e-06,5.13331943700348e-06,5.30784027407037e-06,2.51728567270723e-06,2.47805266827467e-06,4.14937846099746e-05,1.00025999919839e-05,0.00109433710604745,2.11805440056351e-06,2.08452488643085e-05,4.98929252787505e-06,1.54646624225638e-06,1.09105416832371e-05,2.72941799040835e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6478044976162e-07,5.4993364028665e-06,4.82844568482433e-08,9.63171582220286e-06,3.13742980336914e-05,5.037172422818e-07,3.96493795529716e-06,9.35442460202637e-06,4.22196446014513e-05,6.79508146473464e-05,8.28213057324175e-06,0.000139354793979527,1.94328053337867e-07,1.91021175227224e-06,9.153679126846e-06,3.71641359725466e-05,3.38036729349568e-06,1.015214016627e-06,-1753.78439619051,0
1,0.255146322729951,0.144614260290777,0.747054870555659,9.7,1.7515662203465,0.47804486401542,0.279588105914456,0.000305970843642086,1,1.0336639904628,0.99198810140214,0.638717065805233,0.928098344450961,0.937099105749675,0.485421872404907,0.544063182191143,0.977381455295778,0.910159871745186,0.994087447513212,0.988732848261872,0.942264415625368,0.719290101818305,0.98102290066254,0.76327944990275,0.901908435498072,0.982773723504716,0.994536617128631,0.797292509175508,0.989216801401579,0.985245026021712,2.24653943229037e-07,0.000393669237450465,2.33847816493136e-06,3.95007452462146e-05,8.16578270548966e-05,1.3032263277809e-05,3.84535958107405e-06,0.000110244980138276,2.23149886005259e-05,6.50976885599405e-06,7.40162169518094e-07,0.012771590638563,7.49206195595642e-05,2.50216356158449e-06,1.50084254961585e-05,1.02351813799484e-05,1.39133771139822e-06,3.65085400707586e-06,3.35583743350674e-07,4.61810358072947e-06,4.55763091573391e-05,6.09496591232655e-06,2.80573301602604e-05,1.46798997407877e-07,1.34941937267029e-07,4.24708443476907e-05,8.68492698473838e-06,7.09211577099679e-05,2.44384156056803e-06,8.91487218650715e-05,1.62436812505935e-07,1.62940958594969e-07,3.6497155634084e-07,9.75222370668608e-05,6.77202931596731e-05,8.55843160048762e-07,2.27883301367782e-06,1.68010731197856e-05,2.93943547522378e-06,4.40921285681287e-06,3.06004053893849e-05,0.000100412180229714,4.29095492103494e-06,4.87689311086118e-06,2.17107805132022e-05,2.25074471266235e-06,3.65895237878797e-06,0.000255047994123887,9.15920243546111e-07,1.81878200832188e-05,2.30678276848366e-05,1.54793306287977e-05,1.07834122455836e-05,4.34716383043958e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2360016047721e-07,2.77314975877971e-06,1.48293669010863e-06,1.65507642565014e-06,3.68736476332005e-05,6.54674156460282e-07,3.38937412118078e-07,1.51196142478717e-06,3.56235506571849e-05,8.26598437110308e-05,4.74184541715759e-05,0.000116398472679925,3.85164181436777e-06,6.25079966577269e-06,3.95391136712016e-06,9.54391285094181e-07,2.91099167686955e-05,7.07647064221217e-08,-1753.97160844927,0
