"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.242348367345413,0.153944525401993,0.762377827336258,9.7,1.59035429499275,0.477944077992495,0.259597546353764,0.000309650753503521,1,0.727671028796775,0.990173827859854,0.679995245683587,0.779568951622791,0.99624425634599,0.967093222321559,0.973926853540884,0.993480016557435,0.935442933792405,0.977713788404061,0.942938053954013,0.985670258992922,0.906988822511492,0.971212162914309,0.72143399914179,0.993729557938181,0.939357824709963,0.997686440874006,0.829280446305871,0.99913743079374,0.999029805124345,7.36196609932447e-07,2.65668051626055e-05,1.86087419216196e-05,6.67981421851934e-05,1.5819166959499e-05,2.31614748377274e-06,8.80038596102507e-07,0.000112837364936234,3.39137548436323e-05,2.76338523575175e-07,1.74200204865861e-06,0.0149322411789152,1.87798548138917e-06,1.68775535802681e-06,9.93482812208663e-06,2.83076420947497e-06,1.06042065567414e-05,5.31749535381101e-06,8.73751512854782e-08,9.96564401143265e-07,2.5243046232543e-05,1.2183606322724e-05,7.76707073308545e-05,2.01285308547854e-06,3.2381678947255e-07,2.31122991813956e-05,3.79646059655352e-07,1.43719137331552e-05,3.6078957161608e-05,0.000103481564412078,4.37317262058311e-06,4.41491636957023e-07,3.860375939656e-06,6.96339171563117e-05,5.09468703941447e-05,7.63336286453144e-07,1.61752186419006e-05,7.54514762884675e-07,4.91817172905876e-07,1.11369360149672e-05,5.6877470147756e-07,5.32712568425492e-06,8.61547592766538e-06,4.25558616806347e-07,2.60528789620056e-06,3.8304793268605e-05,1.74521699060311e-05,0.000139806445995942,5.07104831919584e-07,3.22015874846156e-06,5.80352728344127e-07,1.64662211703883e-06,2.35360729075821e-05,2.3870926129321e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13776539993181e-07,0.00032552717416417,1.2549945812958e-06,1.62815893615753e-06,1.48550871613643e-06,1.00872589595147e-07,3.12029850855601e-07,2.96933017837258e-07,3.99364014121578e-05,0.000213082859435025,1.24419683593361e-05,1.71490219130274e-05,6.26803923402112e-05,6.13234872454689e-06,3.57528221600867e-06,2.15417528285553e-07,3.23695976090256e-05,1.8013879265541e-07,-1759.2320258491,0
1,0.322083325551778,0.146967457237337,0.73722468923187,9.7,1.72043217160852,0.459137578993145,0.266294332087281,0.000324607978837043,1,0.542769651548359,0.959264839610976,0.654632682422915,0.733158362007623,0.854552074687924,0.97553173641967,0.982026379883712,0.997233614718681,0.999542257840051,0.991698276018417,0.891541888355226,0.98542308756318,0.653541379324466,0.997816052848541,0.932268395053143,0.959166846614595,0.999042037025941,0.997958548092282,0.902038447162547,0.975715378904008,0.986635219665286,1.16054820369515e-06,0.000393895847708556,1.67723918889796e-06,1.68674551883393e-05,5.1997408809839e-05,3.78371650432966e-07,2.12642844542063e-07,9.44187231406413e-05,3.8198914556779e-06,1.42045335725111e-06,1.47451381549235e-07,0.0137112744743864,5.95582137516743e-06,1.56646075529119e-06,1.54175527157157e-05,5.10899113048234e-07,2.21176428954824e-07,7.99996735774661e-07,2.19239780708257e-07,3.93421345176219e-06,4.31597957977289e-05,3.50592700449265e-05,2.23487403631824e-05,1.04863668832806e-06,4.04160329017445e-07,1.36516857258226e-05,6.48713432886615e-07,6.41210175278488e-05,5.54179704147992e-06,5.29230767058719e-05,2.82271682010439e-07,1.85644390709655e-06,8.75961036613902e-07,5.33324701142562e-05,1.57208340886626e-05,1.28359493762996e-06,2.00000151148186e-06,4.06438402353399e-08,9.36718310596892e-07,2.64720229776599e-06,7.53843969093545e-05,1.54168555281945e-05,1.03677681764144e-06,1.12284997169342e-06,4.51770283297666e-07,2.98222696787872e-05,2.46482640887657e-05,0.000997080393025147,4.78651722421285e-06,1.43085993831295e-05,1.46885483146439e-06,8.68190433195093e-07,2.06549754836238e-06,1.91074065136696e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71301119695207e-07,4.57532896937181e-06,3.1825775421403e-06,4.80436770623648e-06,2.73266118280753e-06,6.73274553480589e-08,2.91074238023689e-07,3.15161908460666e-06,5.66107412239347e-05,2.65923723786738e-05,5.92757035947791e-05,2.47906257887445e-05,5.34872160190166e-05,9.79289054559936e-07,6.13774857946428e-06,7.84822519709859e-07,7.18735864814883e-05,1.47944063112463e-06,-1759.62449807017,0
1,0.287459275349794,0.14855178481684,0.720737012027928,9.7,1.7861908107845,0.463859475092775,0.249152538553724,0.000332484684021773,1,0.45127126615977,0.936626411544311,0.686617787407457,0.84644607412702,0.969395012111553,0.716127430824374,0.993728470209514,0.947943937375654,0.982699901075144,0.951044166269264,0.983437235400046,0.990617603307653,0.916060681219794,0.989523665476195,0.775016754769485,0.988791829268074,0.989087504725065,0.958452687527649,0.937466240439435,0.993390236739545,0.942758130268784,1.62545860690409e-06,0.000112474300805825,4.36854206321301e-06,3.32663250716219e-06,0.000113372541264496,1.88701339355744e-06,5.54364546152794e-07,0.000112254749151382,1.7939362916108e-05,8.57956099002275e-06,3.98365987083337e-07,0.0129088304493949,3.73485282334287e-06,1.52142552136905e-06,1.33760729105513e-05,1.11707449219743e-06,1.31852436000988e-05,6.41271525911427e-07,3.56651759453122e-08,5.22258119858931e-05,2.03756134154113e-05,2.59153418611323e-05,6.3521195213558e-06,4.29279828610408e-07,3.30534601660142e-07,1.16031473569447e-05,2.62293908721126e-07,5.84194664340298e-05,2.44125509427985e-05,2.50043088809146e-05,2.87798743899323e-05,9.09787859000591e-07,1.38130258507055e-06,4.0694330463594e-05,1.50202937604518e-05,8.61430842028487e-07,3.88099586703572e-06,2.9595722717047e-06,5.21216280676234e-06,2.94730970636591e-07,7.16634649523991e-06,7.06608221261935e-07,1.26868858146189e-06,3.92941201094476e-07,0.000106451486875922,3.08819116529689e-05,2.46353431012339e-06,5.26297708876256e-05,3.35206500344638e-06,1.36762095943053e-06,2.12742197178665e-05,3.30475140300885e-05,1.03719011937363e-06,6.96775606673264e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1706855345208e-08,9.94244780435218e-05,1.24518635020365e-05,7.80128150106224e-06,1.16208623232765e-05,5.07609527806193e-07,2.93683876516284e-07,2.22340915618389e-06,4.72635978964832e-05,7.38217113348496e-05,1.59983152093777e-06,3.10883079905102e-05,1.55764309943983e-06,4.73013109110647e-07,1.69803177768525e-06,3.61591334387316e-06,4.97977080333614e-05,1.12206263246519e-06,-1762.35724206436,0
1,0.26556315572855,0.18055840126493,0.720556957569299,9.7,1.88745624963382,0.453246190427684,0.275274168285957,0.000343900800281351,1,0.909505063978004,0.937673137696652,0.649623920196176,0.951151570725509,0.875663769943321,0.35379116800041,0.979119783035659,0.98424832702008,0.850728917720304,0.798586210152985,0.996135072022534,0.980562907945411,0.908186991923509,0.548353859369298,0.947556208454709,0.978029722907828,0.997658548116023,0.815648154538173,0.973758359895991,0.97658759575789,0.963159159560409,1.8300707111586e-07,0.000353913182268619,3.39921378235637e-07,1.70412640898305e-07,2.73876507178841e-05,1.13830456066869e-05,1.65945316960882e-06,9.83309304303045e-05,5.72642183015216e-05,3.07787140327698e-05,4.15266089813328e-07,0.0121237250661986,7.69190778864587e-05,3.20140562544407e-07,4.37271853870725e-06,7.86993669777995e-07,7.94158471615693e-07,2.60980702144281e-06,5.36002813023703e-07,7.71073663241841e-07,4.13884809111129e-06,2.80340727602006e-07,7.02081093351045e-05,7.96839707004711e-08,1.74926373119001e-07,2.57363313661064e-05,4.40218052492647e-06,6.44181487654916e-05,6.90594886667599e-06,2.73307464196617e-05,1.68143307633668e-07,1.31115647409269e-06,4.35775051571606e-06,8.71719984353731e-07,1.13744569597119e-05,1.96753574349802e-06,2.57084133790596e-06,1.28322808816367e-06,1.07272445258916e-05,1.20372685437583e-05,0.000258349253478633,2.81131515255293e-07,1.0725888806266e-05,3.77808054052022e-06,3.07677788089884e-06,0.000211759453079008,2.1070536840688e-06,0.000174315358868593,3.58073671378247e-06,1.30701661037761e-06,4.64833011367762e-06,3.79879233678072e-06,2.09815747121271e-05,1.42915179876246e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33131520912712e-07,3.99562007725597e-06,2.04403665837561e-05,6.17484828701448e-05,8.58540972096815e-06,8.88430551321817e-07,1.92308700415245e-06,1.4105757290586e-06,1.03056721943564e-05,7.80980237775377e-05,2.06294344279691e-05,7.79409266008375e-05,1.31337079079721e-07,5.26287100892452e-07,4.00734816638819e-06,8.16368858454515e-05,7.645224668302e-05,1.69640041152692e-07,-1762.7705916016,0
1,0.247390278896603,0.179945455543806,0.750124154835754,9.7,1.54578576165021,0.472926148192146,0.263363488937971,0.000272106276208834,1,0.510622606784547,0.984020225441491,0.663269321350502,0.922711262230229,0.86769910128446,0.983734816160147,0.97863877824884,0.971283027935977,0.620969115163592,0.703959235032024,0.934115278635473,0.967189038346797,0.968761353185112,0.979474405839861,0.927176104053433,0.932102444036127,0.999132823100962,0.763115980489785,0.771830702679512,0.985518844463054,0.904992625197194,3.12164815037636e-07,0.000127155702463405,2.71360734684494e-06,8.93338783098306e-07,8.48115549847376e-06,1.05488867900395e-07,5.02769486705771e-06,0.000309873366620701,1.16555559499717e-05,1.34221907018394e-05,4.32708638779723e-07,0.0192179011443031,7.82938209832388e-06,9.21217762763424e-07,2.32197397759413e-06,5.20344707461873e-07,5.15665124384836e-05,2.08077310702302e-06,1.08581291776262e-07,4.43863505206427e-06,2.79652731628239e-05,4.09564203220493e-05,4.96124582333683e-05,1.99050469080867e-07,2.67860459941408e-07,6.56737731983376e-07,4.90104832690393e-06,0.000115592706565001,3.18765691509514e-05,5.57633215709391e-05,3.14003696060907e-05,1.90917066513225e-06,1.1572522722273e-05,2.27277215355565e-05,2.15648770869163e-05,1.10281262246706e-06,1.24653976063893e-06,4.64170035375981e-06,3.51959813105813e-05,2.07682738820222e-06,9.69560478892093e-07,4.06653079530314e-06,1.53055874864573e-06,4.8310639243556e-06,3.28025989658518e-06,6.26227540264733e-06,9.41186338243601e-07,0.000716537896677903,1.61848350722747e-06,1.2507984791897e-05,1.72482093358009e-05,3.25232814797011e-06,1.81697715498764e-05,1.15219002206975e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58887115530341e-07,0.000193027721756353,2.30943065253812e-06,1.0371681528151e-06,2.37831502709476e-05,1.75892014519276e-07,1.03560817371506e-06,2.08831325114844e-06,5.09519878268384e-05,3.95475425639015e-05,2.93448328865361e-06,9.55440949054856e-07,5.91883984900909e-07,2.3897809020064e-06,4.18287380562916e-07,1.16824963231728e-05,2.48968282133408e-05,1.38213115928973e-06,-1763.1527519244,0
1,0.264918481259625,0.139676394426924,0.729571253003816,9.7,1.85463626700308,0.474650906839041,0.270855600578426,0.000305711369524172,1,0.900247955326285,0.940003024542449,0.679117361191796,0.974170510111151,0.974483911238906,0.502870985412756,0.684426911285594,0.987944569004683,0.990520261719923,0.91166680867859,0.935207271580465,0.977146877543157,0.674940505974571,0.90997642526925,0.543557721044932,0.967026767551148,0.987212853843666,0.830317647012644,0.953517474822382,0.747461628703074,0.994044844558642,5.41943227816902e-07,0.000375982395530172,8.64862397585379e-07,1.10201953838774e-05,6.80854862151221e-05,1.46281846125083e-06,1.07592686558374e-06,0.000309737198202662,8.17631188511964e-06,8.85515398314375e-07,6.53390343495992e-07,0.0090983480091521,4.71675475033399e-05,1.11024624028776e-06,2.30564824579383e-06,2.78348956082337e-07,7.44935899665214e-07,5.43923015557516e-06,1.46320631381804e-06,2.01398629211888e-06,4.3122989754694e-05,3.63874678310699e-05,5.12562095290673e-05,4.40432361398713e-06,3.34137564004509e-07,1.90477367021389e-06,7.09550154894974e-06,1.45128810778115e-05,5.09507806071845e-05,2.10450603753107e-05,6.54031525116204e-08,8.62631346543141e-07,9.42577282458925e-07,6.11282505196262e-07,4.05058767862291e-05,2.50734906633035e-07,1.76906136226531e-06,1.43173449035857e-06,9.68569003009765e-07,1.04946977302808e-06,1.53222454391977e-06,7.2579422963885e-06,1.47932053221864e-06,1.30989007130789e-06,3.18187340522421e-06,1.27194575328031e-05,2.51629556752147e-05,0.00197348593275828,4.83904969420974e-05,1.56035982439407e-05,1.39602987247189e-05,1.01336209516331e-06,2.19113225455746e-06,6.1644735902244e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32200521153749e-06,1.61154489928967e-06,1.85313827305316e-07,2.20582527273166e-06,1.85642273791863e-05,7.9003924519824e-09,3.48450771965734e-07,1.90373381245956e-07,4.82345303374064e-05,0.000132561850816424,6.85176829677418e-07,4.69275176879724e-05,2.4697974476041e-05,1.44601783343552e-06,1.28336581416206e-05,0.000105614301511082,2.22843025041113e-05,2.53021255271253e-07,-1763.2979538823,0
1,0.235523534756483,0.148362457388435,0.731313317677247,9.7,1.66062010683065,0.449596176551242,0.258509918749629,0.000410002022225985,1,1.09781041643555,0.93147906916386,0.696247675039902,0.919855559937473,0.920720197906295,0.546234879985649,0.99068463422536,0.997763754432071,0.991389646135224,0.802430530954827,0.997175687422199,0.786551999748238,0.937008166890181,0.921396155948115,0.831495251613861,0.728908930009894,0.880534395581956,0.990006003720133,0.969364209293619,0.911576065683408,0.992072061108298,3.42009919073624e-07,7.60064006193648e-05,1.55326132186062e-05,1.73224383216705e-06,7.09636753474515e-05,8.62131851342053e-07,3.44786091931285e-06,0.000100805215343192,4.2343540433548e-06,2.80459915984368e-06,1.54330555147455e-06,0.0149987428105876,1.07320712130681e-05,7.15512561349427e-07,4.66192081751989e-06,7.62157510566533e-08,2.34657211567138e-05,7.47786543673259e-07,2.49973597309799e-07,3.90894987198787e-06,4.83062503877753e-05,7.99569053409528e-05,7.67618257905637e-05,1.77024049517467e-06,2.33336927419897e-07,3.93780819854994e-05,4.47466520054505e-08,0.000111917019599978,1.54808688479858e-07,0.00187174298077618,5.62605363592285e-05,6.38580266225858e-06,3.13500637178718e-07,0.000152955639241908,1.27046269575635e-05,3.96174352195093e-08,1.49126845542243e-06,3.56910553916346e-06,2.39726079498615e-06,9.69202589327901e-06,2.30624424744895e-06,2.03615529263839e-05,1.47913653940755e-05,8.15689650093801e-06,2.9508361227349e-06,9.75632712232077e-06,1.36482994789072e-05,0.00132391526266366,1.29623467176922e-06,4.57751532890142e-05,1.88103309881155e-06,1.69044153116216e-06,7.6921817016859e-06,4.34927581366158e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74988863096002e-07,0.000287337836636599,2.48741720967134e-05,5.3945023961309e-06,2.05690110173143e-05,1.24770452223084e-06,1.94263282144259e-07,7.92746791112428e-06,5.97060118339526e-05,0.000151475899698102,4.64870413561909e-05,5.11498308243066e-05,2.49061794769194e-07,6.29487023067246e-07,1.37592483358451e-05,2.10205625883043e-05,7.81740113569322e-05,5.32232369327084e-06,-1764.15392437463,0
1,0.319570685776103,0.173782902005977,0.807026424733725,9.7,1.66068454140374,0.444250049327469,0.257067391568815,0.000353123848793427,1,0.477683016932298,0.940390528042241,0.625213462242181,0.967787520594082,0.986816120322231,0.779790218716198,0.946559948122189,0.898260150080021,0.9329243873071,0.970337331152431,0.961591718493306,0.960549905756615,0.71694307449129,0.87128132653111,0.977330059780946,0.909323129160626,0.97627260220849,0.995430938648125,0.996733402429199,0.991497265771171,0.99271811758556,1.32960602386213e-06,0.000426139489251283,8.24939800227281e-06,9.98005330910909e-07,7.60357615814406e-05,4.51773554151197e-07,1.08514624431628e-06,8.87766435118377e-05,3.64077177493768e-05,2.21287153022049e-05,4.01379562862814e-07,0.0134782176685988,4.76004321832408e-07,3.22937285493124e-06,1.08523136720648e-05,3.0284088915194e-06,4.43699929586147e-05,9.13848680372328e-07,8.41332090720879e-08,5.62035116984894e-06,8.96709931291265e-06,3.41600945877053e-05,3.90824315478339e-06,1.06585221783765e-06,1.04775151028812e-07,1.26562433864041e-05,4.04439408728176e-06,2.75570935201886e-05,2.50788686278243e-05,0.000178906445110506,2.95471350879666e-05,1.16109347268784e-06,3.88413591671476e-06,4.44266685471298e-07,2.66715021391052e-05,1.82403319091924e-06,1.05696307543892e-05,4.59435432501213e-07,5.35859502535093e-06,2.31759129437938e-05,3.24437541025246e-05,2.73318189067333e-06,1.87139210833638e-06,1.16950685184173e-06,2.06686397302847e-05,2.74616343090033e-06,1.74431496739116e-06,0.00205036626749905,1.44967954491902e-06,7.21219693726865e-07,7.82262130690915e-06,3.93524105682252e-07,2.4575303386783e-06,4.32722080929065e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67880730978582e-07,5.17042770145603e-06,7.48370671747184e-06,5.2040885920543e-07,6.44819425600013e-06,1.62954255486841e-06,4.35436650113781e-07,1.72697369188411e-06,2.04004135728825e-05,9.08094463101658e-05,8.49246293280381e-07,5.19873281661604e-05,2.5716329454819e-07,1.8082053486133e-06,1.02914918448037e-07,4.13810634123609e-05,1.65343448537769e-05,1.1458163663454e-07,-1764.27895962743,0
1,0.294737346501898,0.140339386065598,0.77534596861152,9.7,1.63389701566718,0.46627703327096,0.249075273471046,0.000356725324000032,1,1.12411199166453,0.965852636724237,0.649611364707823,0.936791806744044,0.974395561608744,0.919158839699391,0.73468478985038,0.993442576049825,0.981851133543665,0.805327439920367,0.978418144929168,0.905026902919023,0.345670258090778,0.988093401971195,0.808400509958807,0.988076263364296,0.997916179555527,0.958326376746428,0.656044884839759,0.998010760067099,0.935086466783285,1.08393784855222e-06,0.00040546350942223,3.60100690295911e-06,3.10228464374241e-06,0.000116223869013631,1.62782168109205e-05,2.99591871965581e-06,0.000298916418355203,7.22889825306296e-06,1.39218589320462e-06,5.45825855580866e-06,0.0137112581256629,3.06659217845173e-06,2.70566287702244e-06,4.44345948774203e-07,1.97893546581051e-07,3.16853653633428e-07,1.06816522482043e-06,1.45473159124035e-06,4.313603621497e-05,3.69404046339058e-07,5.39385041640988e-05,1.8792976266807e-05,5.04765627578936e-08,2.68495857553358e-08,2.2663384246715e-05,2.51424363068071e-05,4.23235921232134e-06,3.19437062735237e-05,0.000193931339200092,7.18494536875936e-05,8.7214516937318e-07,1.09472321246876e-06,8.6629480282539e-07,3.24902118567489e-05,4.30498264932508e-06,7.23236398728317e-07,2.76357669632435e-07,1.85414056969943e-06,2.21149126272398e-06,1.57868059737626e-06,7.32402835731319e-07,1.22777746665006e-06,3.65436831471189e-06,5.46565140866499e-05,7.24106364333763e-06,2.33718827686789e-06,0.000197777953397243,5.06549017957958e-07,3.45184941002942e-05,2.06750077642976e-05,4.66111877890336e-07,1.26782950045099e-05,1.79214390534078e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.032396862339e-08,1.45604308188e-06,7.05213356935189e-05,3.24189370746242e-07,1.305699036906e-05,9.249157888768e-08,1.1104423979051e-06,9.95519855295023e-08,2.6936916120077e-05,7.07210841957936e-05,2.96063336137153e-05,8.86139764704837e-05,8.88313436803412e-08,1.78199190939733e-06,1.45919246698474e-05,8.76023330385013e-05,8.14085731646547e-05,1.62360249661303e-07,-1764.3454542629,0
1,0.241892468147038,0.172905778056619,0.745651210754992,9.7,1.86469383810936,0.467824987735948,0.249297033229465,0.000362260810489227,1,0.529877549557,0.977553408193536,0.686287451861766,0.996391662700251,0.932511325086984,0.61109151894358,0.819524169494978,0.997920627905923,0.981081865056579,0.977298042791733,0.939896341384751,0.95286887945618,0.974687269239347,0.989952421019916,0.903978724673491,0.881326489317736,0.976235149349065,0.943958858843818,0.915683856495479,0.973095513373903,0.811393676464149,2.85920624327639e-07,0.000297802946949191,2.82088665548573e-06,4.46527247422415e-07,8.87536967558647e-06,4.63545130227921e-06,5.48463486906971e-07,0.00014049994024817,1.82892611603998e-05,5.1742816286969e-06,4.07730605770266e-07,0.0139859979147854,8.78462599791073e-06,2.12293594914695e-06,2.2511389341741e-06,8.96968252671916e-07,1.42332526057465e-07,1.57313225232739e-06,1.1639175139422e-07,1.21406586554171e-06,6.57915949243091e-06,2.57388182245532e-06,3.32255566040252e-05,2.95969814038302e-08,2.60166847790023e-07,1.40960081828529e-05,5.00931947567557e-06,3.8576784751893e-05,7.83734516907082e-06,4.21722488157116e-05,1.64930430219851e-05,1.96762524187141e-07,7.33897967012725e-06,1.43111984175512e-06,3.71185660633466e-06,3.87722908906507e-07,4.92772947668257e-06,9.62557764761589e-06,1.18523691044163e-06,7.27934805138811e-07,6.60522864679221e-06,1.38593355835187e-06,7.76183876139216e-06,8.3990624297514e-06,7.43891047107106e-06,2.05975179476633e-05,5.97145142931465e-06,0.000311879784957884,1.88837134050635e-06,3.20156854952994e-06,1.01482950128125e-05,1.55005099751004e-05,7.39200202356192e-06,6.48145283376288e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81490779775131e-07,1.13486533212502e-05,7.91749061495936e-06,4.35979789521579e-05,1.67409490125267e-05,4.56976059289527e-06,8.56197373189391e-07,2.04542616927948e-07,2.27584501308907e-05,0.000116660466755617,2.48382057421698e-05,2.69487075910364e-05,6.20236506796223e-06,1.76064871905039e-06,3.87665831987246e-06,4.02185328823528e-05,6.95709467266592e-05,1.69745400301584e-06,-1764.80304812894,0
