"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.315636532531331,0.168134381406439,0.739893201435935,9.7,1.49894519064362,0.478784910602329,0.27663065140628,0.000193683437271933,1,0.748525526491484,0.967314983874678,0.612218057567602,0.976061114185701,0.995731116271388,0.784972470801145,0.9973048728675,0.992684398275318,0.96445030282814,0.757188942115956,0.633505111426944,0.945422115674345,0.969289985372503,0.999820578991496,0.9075599033316,0.756120184186436,0.967144491721409,0.982458923133328,0.991258572018327,0.99058058446604,0.96057404377207,9.14326189113271e-07,0.000559841615653965,3.42578617525623e-07,1.94890304102389e-05,3.76517891093335e-05,1.13649906636322e-05,6.06361675767282e-07,6.538550811439e-05,1.3321505918606e-06,4.03117799495189e-06,2.34699699422348e-06,0.0176333519068787,5.48624540369869e-06,1.94927226807144e-06,1.65829226251264e-05,6.84384366332755e-07,7.97646096965091e-06,2.66632022824228e-07,3.76262899028188e-07,1.865673540571e-06,6.52655488450173e-05,6.67030156935995e-05,5.12330578448507e-05,4.74588069884444e-07,2.41237303419144e-07,1.49686038662983e-05,6.79855765807686e-06,0.000141933403620289,5.8178214632674e-05,0.000116840130032707,3.37072014866409e-05,1.00890229824962e-06,4.94685584764538e-06,2.62348785484296e-06,2.48928384616161e-05,2.14609581046868e-07,2.81559186111091e-06,1.5666949254903e-07,2.84087242449565e-06,2.26742393681733e-06,8.8515723258362e-06,1.67836283500404e-05,1.04937145739363e-05,2.43511656933702e-05,3.51176490584817e-06,4.43039360363616e-05,1.80004606984685e-06,0.00609366247317774,1.26300982401824e-06,6.4040151291275e-06,3.62034457544966e-06,1.36668817338666e-06,1.33228415360858e-05,1.18220454056765e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77804111316159e-07,3.13845099817083e-05,4.624906455869e-06,2.64076446218988e-06,1.30214603153323e-05,1.16442519950534e-06,1.22142896119642e-07,4.11405999611075e-07,6.3001442847721e-05,0.000110878041592958,7.4653093198628e-06,1.40410890054037e-05,4.62002527266769e-06,1.93061657730279e-06,1.77827939616833e-06,5.41981328805112e-05,7.7865874506835e-05,8.85278365280588e-07,-1736.06598666944,0
1,0.24273509420041,0.139825352537641,0.762540936473197,9.7,1.66611560650242,0.489653096353406,0.276535429921799,0.00034060733521181,1,0.466865963051397,0.927374599561369,0.614298000627425,0.990156678596108,0.994885673545821,0.383458332374385,0.988758859611533,0.977770536362265,0.982147653060528,0.978937988430242,0.993136163845607,0.868264775022634,0.944957864320129,0.778590499500205,0.648949628351942,0.811128251607496,0.958951370417913,0.969610239073962,0.970365218077126,0.980038074503569,0.957037623640213,3.340362637412e-07,0.00033464739744887,5.30740079590065e-07,7.94936909871717e-06,5.12114383527842e-05,7.52785331182407e-07,4.02207212314128e-06,0.000303352309969706,8.61557316744266e-07,1.44196809431821e-06,1.05942349174237e-07,0.0125373931690014,6.23225514296482e-05,3.27341512209039e-07,1.32011072245991e-05,0.000138653260645866,1.193480065982e-05,5.51571479383927e-07,2.43763169145465e-07,1.40852643240381e-05,1.26263124608556e-05,3.4758251885108e-05,1.66569116981006e-05,9.02017638651365e-06,2.46778128578822e-07,4.33664716820374e-06,9.98871374253217e-07,0.000111856060725638,2.33438481030888e-05,5.94648634259347e-05,1.66260575163274e-06,1.03629152638812e-06,1.05446407898821e-05,8.41311119624645e-07,3.9071705294881e-05,1.97801727194564e-07,3.13282811700264e-06,7.11961604284261e-07,3.42210631408012e-06,7.3972248986675e-07,4.60329579970586e-06,5.28564294744623e-06,6.17416066962485e-06,2.48214557087954e-06,1.57319231241766e-06,5.6807040043056e-06,3.47085190658848e-06,0.000159136185555354,5.3102290018863e-07,4.42223924250159e-05,2.02258250572308e-06,1.25538327604303e-06,1.5176848946071e-05,3.97128024781868e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02964589430622e-07,3.89219887200324e-05,1.18246395514965e-05,4.92187493114294e-06,3.53665030741834e-05,3.76705010099059e-06,2.17584338996516e-06,2.56747957046426e-07,5.81578646094341e-05,2.18776031728405e-05,7.32967338956064e-07,1.29045647650444e-05,5.88075580415196e-07,3.80183309335815e-06,5.79599086032807e-07,1.21609643262264e-05,1.44912125231425e-05,1.08592009756087e-06,-1737.93118475269,0
1,0.320169683222664,0.159589665296122,0.724689344841896,9.7,1.86156687450642,0.447125462917319,0.266975049743853,0.00033550501535013,1,0.621931695395419,0.946519023090302,0.563956965460079,0.975109621616278,0.838133501188819,0.756857207976065,0.980994155993434,0.995857929598563,0.590546997492411,0.902098963849119,0.856024645766401,0.974927159897482,0.994929218679398,0.94792381441082,0.77163017577209,0.996627413889505,0.9953710209302,0.992399818306829,0.555526576136144,0.991804011982653,0.993496589091954,3.35734146935221e-06,0.000350897240017126,9.30343920476363e-07,9.15152592233861e-07,4.41794679906146e-05,2.44146072816937e-06,3.07734218212662e-06,0.000108083822180275,1.8696856693404e-06,1.11533521509815e-06,6.35041507939475e-07,0.00936148321483002,9.10244835483695e-07,4.26608845677956e-06,1.18552284617009e-05,6.89499058748178e-07,2.99517840982384e-06,2.76579891815963e-07,3.16504941494028e-07,9.17716652374673e-07,1.41035529807753e-05,3.67027074119134e-05,2.65437797273212e-05,1.76355641519294e-08,1.30890277157246e-07,1.22497937398228e-05,3.99103678548053e-06,0.000100306241455647,1.61504259518161e-05,5.2000477946583e-05,3.33313416644211e-05,1.54787542886631e-06,1.19074856725781e-06,3.37747304320951e-05,7.52045265023811e-06,7.10493696879543e-07,2.65209739794269e-06,2.74766149413365e-07,1.15724420424303e-06,7.03754800188557e-06,1.1517660345636e-05,3.78528331064506e-06,7.8330615511971e-07,7.16770654124335e-07,2.51642399569006e-05,1.60897626547233e-05,2.82260347950373e-06,0.000783132509641238,8.02227268664602e-06,5.32539696836257e-05,4.97956593474223e-06,6.45220959130485e-06,2.61015300364284e-05,9.76722732327917e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02698637428284e-07,2.44816870184658e-05,3.9326592102596e-05,8.14607111531917e-06,3.9781788007399e-06,1.84350810358145e-07,1.10957715442701e-06,1.64306032448471e-06,4.523271527109e-05,3.76888428643185e-05,3.90091916056857e-05,4.17967553717005e-05,2.68624599230618e-06,4.78369231402378e-06,5.51914445438246e-06,7.6824732959015e-07,6.77167752569478e-05,9.15581172030532e-08,-1738.37509633996,0
1,0.284787109894067,0.161673955692233,0.756370958621309,9.7,1.86179213248426,0.457639998476574,0.249708261271366,0.000394138097342916,1,0.439626745554853,0.939223153887218,0.573370316767007,0.97927936071762,0.973730201900389,0.764705867880864,0.924082818586017,0.982738233400198,0.853948236551323,0.9768536539068,0.997500265525475,0.927879478648446,0.881020932474212,0.984335506671031,0.952964904430771,0.311064330636678,0.966328214269668,0.995866858796126,0.92899019114302,0.703766653426586,0.976967929835465,1.35929485954936e-06,0.000150301289790888,1.2909224047466e-05,2.45910302068293e-06,8.20093733900165e-05,6.14909693637197e-06,3.12535988015216e-06,5.80628105123292e-05,2.29349453542984e-05,6.36346884659604e-06,1.13254281149133e-07,0.01244492562126,6.33903724324222e-06,1.2390234657228e-06,4.7206262411537e-06,0.000117562611802622,1.25217440584248e-05,1.44522752917737e-07,1.283920241216e-07,7.38297147522588e-05,1.65303354348705e-05,9.00248269127109e-06,3.98481495419066e-06,1.52277403271548e-07,3.30780795109254e-07,1.4832314786792e-05,5.84634624285594e-06,4.47050470731008e-05,1.97467844095097e-05,1.90477231802143e-05,1.31090113906011e-06,1.63931216011839e-06,2.90828464556025e-06,6.70813974448632e-07,2.28983907841229e-05,2.32665951147948e-07,6.81769986403487e-07,1.10562631714942e-05,1.12044203261646e-06,6.14473435267762e-07,4.02898853506174e-06,7.66153629639063e-07,4.9862086944331e-06,1.78278101624266e-06,6.38704614156591e-06,1.52375930691366e-05,4.00556332441911e-07,0.000267099037547666,1.97248321082767e-05,2.88491947254288e-06,1.5103905650185e-06,2.40862163413543e-06,5.11260528953238e-05,4.34935991711979e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02285706617851e-07,3.47988305226636e-06,5.97181728042853e-07,3.13661552418424e-05,2.2664135258609e-05,2.22638713208021e-07,2.87973399691037e-07,4.6575788836766e-08,1.83061428502059e-05,5.75141290377631e-05,2.66186350313138e-06,1.66269399267406e-05,1.00717488543419e-05,1.52243420879391e-06,3.44597887522544e-06,1.76336815348803e-06,1.21215287561969e-06,9.20902053515972e-07,-1738.8150162375,0
1,0.322921431043034,0.169605786247353,0.769357077156705,9.7,1.78607673600662,0.456416481292459,0.273095319549583,0.00033513479245372,1,0.620053083783066,0.954127106237916,0.540185989980477,0.99748361172261,0.941794653744987,0.982513199144415,0.955227200746664,0.87848551202765,0.999204612161316,0.938612169177082,0.998535987765592,0.962853023657326,0.984929364616486,0.987181949162701,0.843638487076796,0.738510647095464,0.986478622644259,0.965923927290067,0.899940161018259,0.98040610370563,0.964952524161077,1.98494765882089e-06,1.3531707407379e-05,1.58156580176589e-06,6.98549598393983e-06,2.88067687110766e-05,4.19028079380114e-08,1.07169240294967e-06,0.00011211266432303,2.18759067298949e-06,1.96830547690656e-05,2.94398892271774e-07,0.00977244896460866,1.10140408401495e-07,6.6836979811729e-06,1.85400631191254e-05,3.0365276550004e-07,9.74345589216317e-06,1.11711611354925e-06,5.82798342229506e-08,4.71033163419663e-06,3.95060018178019e-05,3.36786865214861e-05,1.50402371464332e-05,5.29533614672058e-07,1.95644825672283e-07,1.55334137338394e-05,7.55973061728474e-06,0.00010357962698742,3.09596347581255e-05,6.03193572629294e-05,2.44500283625054e-05,3.14654763199418e-06,8.61384406850568e-07,4.84053878333393e-05,2.98461637764689e-05,2.12319157658872e-07,2.66078920140493e-06,2.02038960950708e-06,8.81235199222335e-06,4.28909138842464e-07,1.17373850229334e-06,1.4202334283203e-05,6.1848284882808e-06,1.10732954414805e-06,2.83319486290868e-05,3.08036431026123e-05,2.41977844050682e-05,0.000233266483684594,4.16280076551379e-06,8.42232737838811e-06,4.40259396803224e-06,1.84330079412455e-07,8.83862009952387e-06,5.90285535187767e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65083111204502e-07,0.000317791789791986,1.5439383246781e-06,2.01185599465262e-06,1.24751212788922e-05,9.72585427257541e-08,4.16441126885086e-07,7.22326361659152e-07,3.63991307575232e-05,1.13078619795226e-05,8.94716214035828e-06,1.90534325092222e-05,4.56667660271044e-06,2.18514746903134e-06,1.1744772957655e-06,5.20359125726184e-06,3.17437868900675e-05,6.25557789563829e-08,-1739.34449982923,0
1,0.320375932607218,0.141268438626282,0.745727771154992,9.7,1.81296932593772,0.477568531114154,0.276125686462812,0.000293941975809314,1,0.679975038565143,0.942688658047037,0.596686544552764,0.969900043383239,0.927615875372189,0.892651296471023,0.975040577535029,0.974418021693977,0.995659383130018,0.952396351189157,0.95661499368377,0.922688165025948,0.98092532217877,0.976128386365517,0.911052991437178,0.629814607156363,0.991503898433255,0.985046176633231,0.948336010798879,0.991752843587012,0.952440770110169,1.21715164445324e-06,0.000294463063758222,3.50236400012979e-06,1.72594850925263e-05,2.74235554618418e-05,9.17251336490837e-06,9.61763271940674e-07,0.000116503363341107,2.55156210834055e-06,0.000156771242683353,1.90195709990368e-08,0.0122277932356582,1.44107381435895e-05,1.63589051374114e-06,5.65980444480016e-06,5.93377085117266e-07,1.13506189481021e-05,9.74508738485157e-08,9.48805144636834e-08,3.2890032318369e-05,1.42146272632928e-05,3.69255229740848e-05,1.96702707488716e-05,6.38248640656324e-08,2.54612358824319e-07,1.02367345864515e-05,4.30049408533841e-07,4.6634220341034e-05,3.24564101744197e-05,0.000147947338063076,1.52766611592816e-05,7.05883840668465e-07,3.35553989425713e-06,2.11803247704042e-06,2.07695474416974e-06,9.51908682168563e-07,5.90476080850112e-07,3.47032199925041e-06,7.8343854822867e-07,3.44315380137408e-06,1.21579794138593e-05,5.58689999978584e-06,2.35078023245699e-06,3.32841890343269e-06,2.61351623915132e-06,1.09970053896101e-05,8.22460768807785e-05,0.00136667919041044,8.11374551017354e-07,2.31847525100091e-05,7.05684254739214e-06,1.34666345131155e-06,1.54483880023262e-06,3.6642104569295e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32050886191223e-07,3.05414359224157e-05,8.38373281647471e-06,1.81976103808449e-07,1.879913989599e-05,1.00828030856245e-05,3.52704583411152e-07,1.36212509185889e-08,4.60603401618022e-05,2.39726581492174e-05,1.16990557457713e-05,3.44155647067673e-05,6.67186890101691e-07,1.80561895633613e-06,4.46354659639131e-06,0.000105284692590804,8.21121671534566e-05,1.18803261550377e-07,-1739.35287000748,0
1,0.239094190113808,0.143366785911571,0.718346776728673,9.7,1.90062517609257,0.47381567204928,0.279562777957871,0.000344066936220956,1,0.546304487150123,0.988325087759119,0.611109341719884,0.826784231976184,0.941534158587103,0.940443454923041,0.989186213153243,0.823328849524288,0.774853371990851,0.993684417371821,0.991325115365382,0.962252457938102,0.714791055838664,0.996885650178527,0.903685270743102,0.794174196611842,0.998275563547353,0.993622809229356,0.658512597168914,0.985354004124638,0.985616309211776,4.29992673195813e-07,0.000389316692666015,5.01769005875412e-06,3.35065852645008e-05,1.17038818421942e-05,4.63413819429408e-06,1.42951330685459e-06,0.000142984063979101,3.45084336681008e-06,2.11159242813823e-06,7.71355620036301e-07,0.0137908753365061,6.18804690865722e-05,9.98373263159435e-07,1.20956296814887e-05,1.47526115304936e-06,3.6147515883894e-06,1.01923894301344e-06,4.01069668426669e-07,2.03407380463022e-06,4.62545902203293e-05,2.52455905192537e-06,3.5719622368688e-05,7.41920599068823e-06,2.37202473702335e-08,6.76201522358768e-06,2.06456993467228e-06,7.40298816253303e-05,2.22972991007629e-05,7.19108295876877e-05,2.63239336184045e-07,8.18978285386718e-07,1.37593224370095e-06,3.87006315812559e-05,3.31609008637451e-05,2.003782140966e-07,6.64365990989996e-07,1.2042998137232e-07,3.19311029390055e-06,1.82393224835375e-06,2.7213819732535e-06,1.74912675582881e-06,1.42031898303633e-06,1.22615274416981e-05,4.98184633085501e-06,1.96398187807577e-05,1.87151597049735e-06,9.12227821491269e-05,6.85437379338515e-07,1.21820909552269e-06,4.70309650411133e-06,1.00008348354193e-05,2.09437190324906e-05,1.97145166441246e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94043050049109e-07,1.26117336113842e-06,7.63503701310927e-07,4.64947746660004e-05,1.73972349419989e-05,8.64738378688495e-08,1.11966530177906e-06,1.44101895322848e-06,5.19574550456996e-05,2.7178147941078e-05,4.61200341906484e-07,5.92659007964707e-05,3.55175806841639e-06,2.89424596932961e-06,3.57440820930369e-06,5.59171025313993e-06,2.75892595094822e-05,2.07112058991457e-07,-1739.41543487514,0
1,0.309906803841348,0.162951630058313,0.774989670204362,9.7,1.54104085288235,0.465525618824668,0.267243961942976,0.000272995520074843,1,1.12611422703952,0.983288801085331,0.59489746338995,0.944803026253605,0.985212502874288,0.995515504565174,0.968611435075957,0.996465828083607,0.948678714030248,0.946330175260003,0.936038209228502,0.983439159239584,0.987611260988581,0.993565868182385,0.814575482915417,0.589462640336456,0.996409109032591,0.88932677179909,0.953054187078395,0.869543608087039,0.97737101147908,1.18559014576893e-07,0.000495923745836426,8.88410322754126e-07,1.71362002834043e-06,1.80946536310929e-05,7.03968499112729e-07,7.21499274797208e-07,0.000309565959586884,1.84045522524221e-07,8.50823932330212e-06,1.0730523363284e-07,0.0141191387507838,5.29757013669712e-05,3.50308708854677e-06,2.97955586028261e-06,1.7159214620565e-06,1.18281498798524e-05,1.02917305523491e-06,7.86316571617354e-08,1.44583168807563e-07,0.00010085035157873,9.19418700109991e-05,9.78222419461397e-05,1.28382124691674e-06,4.02763197473844e-07,3.05025679624138e-06,1.87201118270488e-06,2.31510923850569e-05,6.94638265775053e-05,4.66177873700381e-05,1.39569263314327e-06,2.30281786962028e-06,8.30728979895432e-06,0.000124568214301623,4.23236251076369e-05,5.68228976213599e-07,2.67731643802378e-06,2.68077729739415e-07,1.13061443107271e-05,5.77825667483751e-07,6.03138770662786e-06,1.23141312996012e-05,1.7081489694004e-05,5.22255312274136e-06,2.56077251609864e-06,8.15024496074812e-06,9.18885851003469e-07,0.00182140854000308,2.03492909077421e-06,6.74405658671348e-06,3.70060133564016e-06,1.49465651672086e-06,3.33067839600021e-05,8.06372098863859e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32930577124022e-07,9.3795678528914e-06,1.60841356951046e-06,1.49026581084696e-07,8.67318737833146e-06,6.50195762975478e-07,2.45815688789326e-07,7.5156166988937e-07,6.37382690595524e-05,0.000223481496033492,1.34156785276207e-05,6.45365390662518e-05,4.26160544959783e-07,4.44287507758329e-07,4.26862484505453e-06,1.64607358303974e-06,5.3497775200191e-05,2.54203526070823e-07,-1739.47006248665,0
1,0.323499621171294,0.168124193476159,0.734989680599653,9.7,1.64178291717672,0.448379996388724,0.254016027835049,0.000309467343793805,1,0.629162147271341,0.979036161758028,0.587986339707479,0.985087835641691,0.994478067913094,0.55557290596648,0.996266495726742,0.960017182220007,0.992477263600194,0.688551956870781,0.984243154186576,0.992818903726537,0.985613089218246,0.844606969743841,0.635290029767128,0.986011679577921,0.779881892605378,0.966917974150461,0.939460066486955,0.911578615494643,0.979858698469998,6.87620711706295e-07,4.91395752842279e-05,1.03808980227045e-05,1.83767728141159e-07,8.32244405375373e-05,4.75033453092519e-06,1.20938382809734e-06,0.000283708067402009,1.31717394275505e-06,1.68846548022439e-06,5.66907477172151e-06,0.00994416779113063,6.2767301099508e-06,8.08353138944087e-07,5.38493884659006e-07,9.05347368485928e-08,3.74468705720477e-06,2.40745527874507e-07,8.53486152190762e-08,7.91444577070185e-06,2.37668993490428e-05,4.58220073374886e-07,7.72045740907878e-06,5.21232326247784e-07,1.43215782870836e-07,2.75636596909373e-06,5.30968762928134e-06,0.000135724866468595,2.88259996457752e-05,7.03235674560206e-05,2.09143116347541e-06,1.10127658242747e-06,8.19369127444183e-06,1.41313257586109e-06,5.22080329258113e-05,1.13392252020354e-07,1.17541903776098e-06,2.36096061980569e-06,4.74959864691758e-07,1.82620258457266e-06,4.81725283222292e-05,1.13920423857145e-05,1.43429702881033e-07,1.02738870938246e-06,1.18292620792243e-05,0.000134013580041539,6.19646355180051e-07,0.00224671106416957,3.94359575898914e-06,2.92110104069489e-07,7.86944960578066e-06,1.15122036197068e-06,2.15566415154728e-06,6.30391571904268e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47226848723515e-08,0.000299209088536739,4.98189682731244e-07,6.916836825974e-05,4.57519359801242e-06,7.0800837160694e-07,2.3593777996831e-06,1.72620169523433e-06,5.71662552435379e-05,2.03332359905716e-05,8.38900826375412e-06,2.96329043999381e-05,4.75430262327608e-05,4.40894351390801e-06,2.2702236198007e-06,9.13276524118075e-05,7.10956396185333e-06,7.26934579187752e-07,-1739.5383478168,0
1,0.309492663960258,0.154903547060311,0.729233127248551,9.7,1.59295636543019,0.454126674318381,0.27352479383867,0.00029189006903645,1,0.654571348840425,0.989960087677275,0.595283710594951,0.904418153072244,0.713230220411118,0.994002821709476,0.695872634657593,0.995141103926825,0.630940241248859,0.98794617160286,0.990226798680706,0.995904335016931,0.723590229351856,0.973791850723408,0.94605406874022,0.883371773937231,0.96415223629807,0.85719922796327,0.819319380029171,0.931412880864171,0.998116724373835,3.76506202035551e-07,1.92242838382499e-05,6.73418732025213e-07,2.27966821165017e-06,9.54340164384208e-06,1.00879839608385e-05,2.83476546004885e-07,0.000295230953137346,1.0075050011476e-05,3.08106110371587e-06,2.81676982967294e-06,0.0170458657492736,8.33268003750887e-05,1.81737474720583e-06,1.28674440879995e-06,1.47270208115271e-06,6.85823101480849e-06,7.8424407999612e-08,5.78872922722822e-07,8.54083740385877e-05,6.51966640078221e-05,3.91011763445461e-05,1.50832245140069e-05,2.20776325362488e-06,3.1199619395293e-07,3.13917876123746e-06,3.77296905437249e-07,4.2250144804002e-06,4.04651194248323e-05,1.18805623213797e-05,1.7055496852905e-07,4.09225804763662e-07,9.87619648731017e-07,2.36429040965645e-05,1.99333534424808e-06,1.29302477122877e-07,1.02839621594219e-05,4.06783573001649e-07,5.33664445765036e-06,2.74356816733652e-06,3.6647786261784e-06,3.62393559773457e-06,4.72196909235226e-06,0.000110810681623548,6.15520488448737e-06,8.09463205859187e-06,1.3657309831082e-06,0.000122839767848576,7.7088423318882e-07,9.06500776682571e-06,1.71991835541554e-05,3.29015205199779e-06,9.89322226200057e-06,1.11113664295217e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70475863572213e-07,0.00014333066728389,1.80772558417091e-06,4.46296227945949e-07,9.49115741506823e-05,8.85850617471145e-07,1.31673069876702e-06,4.25004261988544e-07,6.39921537917162e-05,0.000184730262150019,1.71066911852274e-06,3.4224800847077e-05,8.24846311330824e-08,8.40592632489584e-06,1.34377000915891e-05,2.17186902397662e-06,8.8784319793492e-05,1.12113054680305e-06,-1740.07894117504,0
