"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.240584866122373,0.149309512103979,0.739637845034761,9.7,1.58899254549793,0.486653226280835,0.266789801600209,0.000303647683409236,1,0.615431806434754,0.927513232642184,0.701126393343374,0.965295220997442,0.999210346886871,0.955956627922832,0.774450786244727,0.989371647320958,0.952534418077231,0.965781208343529,0.994725193561904,0.982399913320137,0.959529388690914,0.823746202284424,0.89438502283685,0.87112885661232,0.996789118827021,0.963391133401769,0.762755326475771,0.933938620880178,0.972356557814553,1.05067635630145e-06,0.000445070529171559,2.86334883169086e-07,2.06412882196912e-05,2.47255278819148e-05,1.68494094787287e-05,8.21664040118751e-07,7.47699988368753e-05,6.26663798952193e-06,5.95580538452553e-06,3.82266707295089e-07,0.019553973748997,7.27423566525884e-05,4.53151513511636e-06,1.32115460331641e-05,2.22055557157794e-06,4.06249662578667e-05,2.29118836789753e-06,1.26236646132298e-07,4.32177237999712e-07,6.17842251849855e-05,3.52798485299157e-05,1.94094112764842e-05,2.09255701366689e-07,4.3381716965553e-07,2.56123174891732e-05,7.32066897875249e-07,6.38693353583022e-05,2.4599470151253e-05,8.16834798962358e-06,2.25585616575284e-06,2.12359363811754e-06,5.24382810861433e-07,5.69114481475477e-05,2.72034926158759e-05,8.9218083301995e-07,2.56086580304005e-06,8.75231386591195e-06,3.42898483496094e-07,1.8041649731501e-06,1.05187945659968e-07,2.30262189955024e-06,1.61531459023431e-05,1.48085029823404e-05,4.28592768811323e-06,3.33107013248912e-05,2.51697631749949e-06,0.000389862736663758,8.57350180126249e-07,2.58526622968193e-06,7.46308597932468e-06,2.29681233003561e-06,3.48452483278971e-05,1.35032720991797e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2167726437386e-07,6.665799949815e-06,1.145052543052e-06,4.73777094007996e-07,8.5868588446993e-05,2.52266399958351e-06,3.2131421643354e-06,1.21101644291511e-05,7.02638862437611e-05,0.000189173422415732,1.6958723515376e-05,6.50849117558126e-06,3.90991909238655e-07,1.75924760971545e-06,7.78176916808369e-06,1.26392235911396e-06,3.51301975263551e-05,1.9217315235391e-06,-1784.55357507926,0
1,0.248905232056729,0.172467417632796,0.706987152263328,9.7,1.79436039635639,0.460700661681444,0.25984340141669,0.000295685317751365,1,0.575476766307134,0.9943803303997,0.683454220588481,0.867594427270354,0.852050462097358,0.965282175098986,0.959623080933541,0.988257697153261,0.829575604148716,0.937215508518228,0.964733969960501,0.977974617720318,0.985647504380205,0.960108916569657,0.879783860424223,0.875000403595544,0.986808678366806,0.865959562359409,0.914994917629239,0.990279646830458,0.895297064179689,2.32588757431638e-07,0.00012192436892052,1.73422122430024e-06,3.42670495483446e-06,6.86785908395485e-05,2.10616903160814e-06,1.30904944453306e-06,0.000121082349958151,5.00659131818293e-06,9.9844875867646e-06,5.57441856822898e-07,0.0147875103413764,3.29959493047216e-05,2.27508911210506e-06,1.29587430061923e-07,6.51752533058696e-07,2.50844398591831e-07,1.89861644370701e-06,9.3455369858246e-08,3.75122261128033e-06,4.89000203244362e-05,8.86721145962408e-06,2.64146348602497e-05,4.62891455173129e-06,1.74234056279637e-07,6.82232419856989e-06,4.0280089104833e-06,2.08724419964211e-05,1.88042407060264e-05,3.25725333389166e-05,1.45430363313104e-05,1.18109997256297e-06,4.52238550132163e-06,2.5164066333209e-06,2.14403995226199e-05,6.42834737321014e-07,2.10359985651664e-06,5.37779649405221e-06,1.70052803821808e-06,1.47038968956622e-05,1.4357780513924e-05,4.01683467629144e-06,1.91254596867997e-06,9.72911878380464e-06,7.89799784060643e-05,5.39214388726046e-06,2.6201194868795e-06,5.54572409460656e-05,6.93940572219707e-06,1.4037496610097e-06,2.74418067139595e-06,4.01197016296824e-06,8.05989728337111e-07,2.40360949880055e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06912975028665e-08,0.000138324339294679,6.25078931091743e-07,3.72095203600422e-05,2.92673798257704e-05,2.00342165547081e-06,1.00744191647537e-06,5.13079899337044e-07,5.08781740162664e-05,0.000165599242900955,2.63853265244865e-05,5.66104023268635e-06,5.33102460247399e-06,3.78291228099348e-06,3.05759919405987e-06,5.93401465702848e-05,6.39340398687358e-05,1.41905207528251e-06,-1786.18779440742,0
1,0.297190989516848,0.158099755804926,0.731989404811333,9.7,1.74217327921675,0.455319848005403,0.252418514827452,0.000328840751990931,1,0.505173117878845,0.992325673166837,0.653505963408073,0.972290676770638,0.982501097256998,0.948659508220844,0.8617783572072,0.993465539673304,0.985922088421185,0.966931890701354,0.994055620542827,0.738711960895206,0.953604886251669,0.935054737825357,0.87814947437743,0.826644344605067,0.996794858765843,0.938460560284377,0.885032364547997,0.930700465742436,0.962253194003698,3.62567818584792e-06,0.000392027252547737,1.35938273358897e-06,5.52082963133594e-05,3.88621548106577e-05,2.82105375305461e-06,3.05244630113759e-07,9.93522082490035e-05,2.25507498125528e-06,1.45146473375123e-06,5.6769532826358e-07,0.0125941122867677,5.01877321168391e-06,3.18398391430842e-06,1.14545136322144e-05,3.94505418345715e-07,1.70816850577066e-06,1.7520384325553e-07,1.9242418787996e-07,2.03869536888234e-06,3.86320383646255e-05,5.65725432580179e-06,4.27060590508836e-05,3.05589157688756e-07,2.55934920215833e-07,8.81865001179577e-06,8.73321575462168e-06,2.00208046726779e-06,2.20498764398295e-05,1.88620556674624e-05,2.39300357535771e-05,1.95677717278256e-06,2.32006263047605e-06,3.30540932834651e-05,1.34232334691626e-05,1.44638660135713e-06,1.8379318711959e-06,4.10280317435109e-06,2.14572187600415e-06,9.94468386612023e-07,2.64148566893971e-06,1.94407212319909e-05,3.11305670849925e-06,9.22258937795499e-05,9.124512346675e-06,2.29491529349791e-05,4.7979724589172e-06,0.00031627481074607,1.02826645600173e-05,5.10732669350365e-06,6.79963312974888e-07,1.90230787828728e-06,4.47097985294114e-05,9.88337994080847e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19820664766114e-06,2.69189499149178e-06,2.06063215150669e-06,9.12054290133155e-06,1.53550954030703e-06,7.33698772827668e-06,1.16023374885249e-06,2.00881595530133e-07,2.33274308558544e-05,0.000196787324860581,1.31631011286605e-05,1.56818876395989e-05,4.39828251631219e-08,2.26250368553067e-06,4.8419097556303e-06,2.39754666182777e-05,5.92777621502707e-05,1.32813803428722e-06,-1787.07222064465,0
1,0.264401349591819,0.141812545113054,0.756245079317376,9.7,1.60278340992478,0.456005765051878,0.248115912936033,0.000376629137450168,1,0.599135351108926,0.939848496692366,0.615710319716262,0.978286779091132,0.996945505981985,0.942691107760755,0.973066969580697,0.983865209042027,0.975987867462411,0.910456508490514,0.95241768736576,0.849722493265567,0.982463102503796,0.969242927729856,0.684311844825962,0.885635540314659,0.967753942351558,0.973193098158917,0.973186775786584,0.935441392344891,0.967259692174404,3.30991145069304e-06,0.000444723887288713,2.16412272103677e-07,1.26443046444739e-05,8.0297728533004e-06,1.70573083107223e-05,1.51550953815165e-06,0.000101212883146045,1.16909291801867e-05,3.14341975143333e-06,1.21014215846325e-07,0.0139397908604465,1.00244996233913e-06,1.0444942508155e-06,2.32729899869022e-05,2.95161192092065e-06,3.39269594970625e-07,9.27292127234637e-07,2.33153689643237e-07,3.82442952320603e-06,7.69615638650359e-05,1.70871801579416e-06,8.31004221125286e-05,5.63541044147364e-07,1.40209364970521e-07,2.31570931814894e-05,4.40641491705609e-06,6.59549642578765e-05,3.57904365667751e-05,6.15874250798501e-05,4.28756564639479e-05,2.51031435586041e-06,2.15504358611232e-06,6.86306829274843e-05,3.84828116108116e-05,4.40106548162119e-07,9.11110108561679e-06,5.01640319313797e-06,1.20264727650432e-06,3.06289443581325e-07,1.39834752450511e-05,5.21946816099719e-06,9.07567041533271e-08,1.69928915616162e-05,3.88996861733966e-06,0.00010793704565174,4.75567407240365e-07,0.000412626211877293,5.03280316785671e-06,7.82711847296373e-06,2.08655873277943e-06,3.83997813293767e-06,3.01168983318346e-06,6.29774019098992e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65413917200591e-06,8.72116364252754e-06,6.75135820991263e-07,7.22415700155384e-05,3.33721197711562e-06,1.14751105061522e-06,2.85952053666722e-06,2.41976772240548e-06,5.68848521068005e-05,0.000147607838790922,2.98476272709034e-07,3.01363419236206e-05,6.62699675133671e-07,1.70180267391861e-06,3.93308552044407e-07,3.39231512224139e-06,4.40166324031759e-05,3.46241209876919e-06,-1787.42407117819,0
1,0.320422814258969,0.146902179585958,0.759459583882177,9.7,1.84931553945125,0.455292746677186,0.26826495484154,0.000322475963584617,1,0.906124079911562,0.960929514306598,0.651194571934704,0.972536645852209,0.972474443418546,0.989664763802257,0.976537022207642,0.989538818294121,0.996831967499907,0.994991988357291,0.973746687176757,0.990231379236436,0.994414859409336,0.995514344973025,0.912452010348436,0.976992622487727,0.992789719822597,0.957970678657408,0.888788328758998,0.99991316145486,0.930522520585674,2.1293124702138e-07,0.000285645803028118,2.67298662994419e-06,2.9888424573916e-06,3.89360076182332e-05,1.4688368701002e-05,8.81537817727093e-07,0.000131231263590356,1.64528823341773e-05,2.07064733604187e-05,1.96935840887323e-07,0.0123354864318379,3.85218245005595e-05,9.26049445081112e-07,9.39173360557539e-06,8.93447424522091e-07,1.84230137676795e-05,3.61599895291101e-06,5.63168408186971e-07,7.1384157871983e-05,8.89723908597268e-06,2.51386765855102e-05,9.96782526391196e-06,8.07631000506012e-07,6.40588872228773e-08,1.24636939219516e-05,2.39689557898623e-07,7.51476347856997e-06,3.79974547833101e-05,0.000163258567002781,1.90642230632199e-05,5.53003828451911e-06,4.42205502210684e-06,2.7860044646835e-06,3.17219890709088e-05,4.41209146537904e-07,5.61343742215626e-06,9.93721623661707e-07,3.12656999414126e-06,3.64064146159657e-06,6.49763643096457e-06,5.29324360348874e-07,7.0165799313733e-07,8.81327386364663e-06,2.82436792590924e-05,4.84540656536178e-05,2.66650078697158e-06,0.000162544610341617,5.5508675954464e-06,5.83393227341678e-05,6.64959475943146e-05,4.12823907245372e-07,2.30429161552264e-05,2.66902539640068e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38771992025244e-06,7.75738115475704e-06,6.86769068398281e-05,2.60622755015852e-05,3.7953661533907e-05,3.90471707079222e-07,9.34214339896237e-07,3.19725553819872e-06,4.33272004641858e-05,0.00017005612926109,6.69733708217165e-06,5.64766710284905e-05,6.2318263836947e-06,1.98694994571485e-06,4.65625638940797e-06,3.37958220075528e-05,7.66403169443911e-06,5.49409698162732e-07,-1788.16117316578,0
1,0.289098694656298,0.151135837193298,0.708318992431616,9.7,1.71236047596808,0.451462431755385,0.264860315537545,0.000329626817025976,1,0.451923358005494,0.97523243008558,0.658304599152487,0.976507585724329,0.971985759069398,0.946838259304623,0.996945077470833,0.99537639659238,0.991968745138543,0.943822940202344,0.989517601095879,0.968914626244881,0.978838436782645,0.998584474895215,0.902880919097536,0.881868525942271,0.987712910949047,0.988414386008793,0.98333067650828,0.97790262435057,0.982710890052184,4.52811450913943e-07,0.00010359068186708,2.54476347756679e-05,2.80062813613782e-06,4.10320717813929e-05,4.60034748074603e-07,1.15265261475417e-06,0.000105262517693152,4.71561002032868e-05,2.23393021574123e-07,2.05403912825912e-06,0.0158030960816887,8.41974770664797e-05,1.20744305798589e-06,1.52368388577636e-05,1.75861464948431e-06,1.2472225897358e-05,4.18293422250926e-06,4.13097423202618e-07,4.83849189406634e-07,1.39365175954949e-05,2.94074211757374e-06,5.08846382153671e-06,7.05512590064326e-06,1.15445178056806e-07,1.31777852440318e-05,9.24186641288651e-06,6.88681141104044e-05,2.7021441479787e-05,1.9834947387249e-05,2.77234982569561e-07,1.22705512355055e-06,3.34397235655343e-06,4.21385197152526e-05,2.77398761437316e-05,4.37102067490722e-07,2.92175363780694e-06,8.84573137943386e-07,2.6467172760524e-06,1.84298256294357e-06,1.61451691292691e-06,1.85348447303238e-06,1.13869546939783e-06,6.18382610750044e-06,4.14107991103371e-05,1.73667372591975e-05,2.6822305087698e-06,0.000111725256660437,2.59610859185234e-06,1.66979087230384e-06,7.13630084837038e-06,5.17091666459059e-06,2.80898044123832e-06,3.31248883492784e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46464256926074e-06,0.000261789053850197,7.07226409152609e-05,6.94291214943243e-05,4.28088285170713e-05,1.61001093763629e-07,3.94160910813152e-06,2.99180635322484e-07,8.58815129323488e-06,8.65808404480557e-05,2.57090970348771e-06,5.08443548882125e-05,3.33852251372422e-07,4.31753639372692e-06,1.07858251574444e-06,9.6507360715313e-06,2.76016617699263e-05,1.01232796055609e-07,-1790.24042522665,0
1,0.26348961270939,0.149338344265492,0.70993971817019,9.7,1.77595181326964,0.466582619930802,0.273614037265361,0.000298368978097759,1,0.811290108911757,0.94494785530038,0.692346923535681,0.942486003604768,0.945206931772739,0.943070878275509,0.943736869526815,0.990521003130361,0.987854895754528,0.959952857080388,0.976820446683613,0.880829824895328,0.511723102989528,0.999258556114669,0.914725205275077,0.8872944837462,0.997196504952079,0.983999608448348,0.97037019068482,0.939242010550413,0.945289517159113,4.1765546911905e-07,0.000424011761502666,2.45119886568361e-06,3.84951186895081e-06,2.67563723068887e-05,2.39195835034315e-06,1.73744051740667e-06,0.000108310788329482,3.2775407397136e-05,1.47699411601232e-06,5.72255867247757e-06,0.0150132366495647,9.47562995981671e-07,1.34516075023041e-06,2.51215936919704e-06,3.58907884490402e-07,1.26227203473702e-06,1.58940010892839e-06,7.83983213457916e-07,3.00920012842693e-05,9.56431552830917e-05,6.3702005374317e-05,4.06703703736466e-06,1.01074001693371e-07,1.24758214656119e-07,2.43813111515599e-05,3.47409232800193e-07,3.91594177119628e-05,4.58113622937593e-06,2.72485514758238e-05,4.65962504240797e-05,1.44088767206706e-07,1.46192723926315e-05,8.95885876738643e-05,4.62028669993627e-05,1.56534796453149e-06,2.34341064934732e-06,1.61777893430546e-06,4.93699659334047e-06,4.54689380993918e-07,2.8173590387185e-06,1.63155548590381e-05,1.26875645611381e-06,2.76824753514655e-06,2.81216482062315e-05,2.05609769407105e-05,5.23764955184419e-07,9.2818200270117e-05,8.36790298023761e-06,2.21796992800846e-05,1.82173846273496e-05,5.75030790801563e-06,2.20671507030584e-06,7.35247722868109e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.30816560373662e-09,4.08904354393288e-06,2.99064621846872e-07,9.96137266503e-07,0.000118159703483432,1.6376368329554e-05,1.10249857415463e-06,2.13648222719349e-06,4.11788467107244e-05,7.76875963599373e-05,6.96074828663043e-05,0.000210183237749833,6.27771459391931e-06,9.22182915482146e-07,2.7984744429228e-06,1.42997403591005e-06,3.44235545311548e-05,1.12394790401604e-06,-1790.548347949,0
1,0.237783511580415,0.1818258964058,0.797203235675321,9.7,1.65039470781631,0.456182796821942,0.269379540641945,0.000389039362028961,1,0.481769432512246,0.962672508076985,0.616338766878245,0.934911333575212,0.976405517619529,0.898886367048635,0.937977361532678,0.860891533779853,0.970989679611904,0.980547144944937,0.657623617577143,0.997312213857733,0.984153699130692,0.960727651190885,0.651319722964931,0.969909744791424,0.997932240965713,0.881538528531753,0.96979104934266,0.999217755590253,0.960033512081954,5.3174772211666e-07,0.000181216181661134,7.16001229890053e-06,3.13993731111291e-05,1.72628455018077e-05,5.20113455602079e-06,3.87797052299823e-07,0.000157504449982682,1.65647025618985e-05,0.000179966758078519,2.36369750157771e-07,0.00987893697655027,7.15994050928179e-05,1.09193021999334e-06,7.12702728004586e-06,1.39557832716133e-07,3.06492146111e-05,3.75441113385428e-06,3.5794591618245e-07,0.000100932696812234,1.9133128794057e-05,4.27879718655077e-05,3.50046640279004e-05,7.15681244764804e-06,1.40050906658717e-07,1.06849104526596e-05,4.16258268199049e-07,6.91047428006088e-06,5.0976613866163e-05,1.39086371836948e-05,1.173469557144e-06,5.73240665153787e-07,1.68150953021497e-06,4.89363312916868e-05,3.81701523824468e-05,5.07829968118572e-07,5.64555335848613e-06,3.36156527727489e-07,1.12073121070693e-06,1.25807220719784e-06,1.176581422315e-05,1.32657797516033e-06,1.17058536738357e-05,9.38240659723491e-06,3.03819851882559e-06,8.7221260279406e-05,1.6168357306809e-06,0.000487873216372842,6.61690925387648e-07,4.43126344135187e-05,2.77213245990739e-06,7.88583547804534e-05,3.14004921605273e-06,3.03505393129932e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00664035601885e-07,5.90959300191196e-06,3.70495896725784e-05,4.80795750873449e-06,1.76914606458565e-05,1.40560706270414e-07,2.19919921971199e-06,7.63869827469955e-07,5.46544240463668e-05,0.000123786618709567,2.30754676114096e-07,5.1272524782729e-05,1.75578757302554e-06,2.9474199104457e-06,4.97805428729357e-06,4.49146534520314e-05,2.29634514501672e-06,4.59389519184637e-07,-1790.65528905271,0
1,0.316009211113145,0.162770983073921,0.769827748891569,9.7,1.88657188206944,0.451857012985614,0.271087492536029,0.000379370236302798,1,0.847349749064501,0.964615742142185,0.623684679694605,0.994306352738444,0.923731708624452,0.807853148078809,0.735547909115068,0.998213706710143,0.93971897294582,0.927462764293925,0.981779241693871,0.975012454431084,0.973476689861202,0.97241729608717,0.937474219323118,0.694096361504942,0.992889431844385,0.853778284572589,0.871283827169977,0.71991788028127,0.939198048545726,8.85140814775567e-07,0.000257430688704642,3.7118884487901e-07,5.98067937013736e-06,1.09830719213607e-05,2.09579196166076e-05,5.75638674608577e-07,0.000109966126823105,3.59675604415748e-05,9.0768407337746e-07,1.25212123754887e-07,0.0097838897751737,4.02571977382067e-05,2.46490192421267e-06,2.86367686780271e-06,1.36541573735399e-06,3.06289551850479e-06,1.6239950379483e-06,4.52276568324434e-08,1.14135773633522e-06,1.01631229860551e-05,1.37372350731154e-05,7.62809706876924e-06,4.49075596251309e-08,1.49502783126426e-07,8.78316238210791e-06,7.08433353902727e-07,2.9706173041652e-05,1.87849837027547e-06,0.00015481240607992,7.53446907436124e-07,2.22792871352693e-06,1.63033942146256e-06,1.32456832903949e-05,3.88927154616326e-05,1.42956571061042e-06,6.84255549547488e-06,1.37328732236107e-06,1.87274623695329e-05,2.01371825190814e-05,0.000126801610134163,1.78970974060047e-07,7.82515261864938e-07,3.0217368104275e-06,1.06710998383456e-06,0.000102406183140056,1.70147336093572e-06,0.000402220540424983,1.69795176888661e-06,2.28055447946764e-06,8.15935350813151e-07,3.30633146846338e-06,2.82913893049073e-06,4.10128129320968e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03937607503532e-07,8.01873406613654e-05,3.64162922320613e-05,2.35167153137198e-05,5.82174207289065e-05,1.38988794523074e-07,4.55727078193697e-07,4.93745294066763e-06,2.49065759586659e-05,0.000129230666567529,5.46460291910993e-05,3.30142120351468e-05,7.75976319234385e-06,2.44431004310536e-06,8.64375928839936e-06,3.8193202425782e-05,8.88868882633325e-06,9.81032079300871e-07,-1791.308600431,0
1,0.269822743304724,0.168398798489403,0.811457280992248,9.7,1.4868960272887,0.462424390259785,0.258293413332752,0.000290762630341418,1,1.14667627787909,0.974061507396828,0.596219635227107,0.992330081716159,0.742396055300809,0.635090731085272,0.733413501062026,0.988089540079001,0.916639751615234,0.792496741852389,0.977112531116621,0.994930734886895,0.978674564913156,0.991767701492913,0.991905070053322,0.854553049236526,0.985239475633802,0.966825102408833,0.917351061497355,0.992904998215766,0.99827220758015,2.23407973228076e-06,0.000296308478993513,3.57892704551243e-05,4.75502730124851e-06,9.10438143580338e-05,5.33875153182955e-06,4.17647180201514e-07,0.000337930168964815,4.83018708622378e-06,5.65292292947499e-06,1.22854224611532e-06,0.0188149084136809,8.331621155707e-05,3.24092370789338e-06,2.00387008305675e-05,3.99514285049283e-06,4.54554215001117e-05,5.19491656460545e-06,2.05075699995231e-06,2.10790054446326e-05,6.69693793676633e-06,7.15860180703511e-07,7.12439543340225e-05,1.37676626864757e-05,1.48069148634467e-07,3.00345380175465e-06,4.39638143937612e-07,9.62113993635094e-06,5.28781665081753e-05,3.64169269103768e-05,1.02052143095823e-06,2.16461078483024e-06,4.36966333246053e-06,1.2479627582125e-06,3.792227875278e-06,1.12415695679959e-06,3.70112650224001e-06,3.27736785309857e-06,2.0535371545195e-06,4.47648183870854e-07,5.15923018512262e-06,7.64746635669854e-07,1.02813366420921e-05,3.21792067824105e-06,2.4988283347976e-05,9.37696652894315e-06,5.9593033996161e-06,0.000126877963887956,4.48715129458503e-06,2.67625587657969e-06,8.78168351378028e-06,1.5416421712825e-06,2.67550644496305e-05,9.73340213752795e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39467981917761e-06,6.25580436898529e-05,1.24887634371223e-05,6.40684335593807e-05,1.79193619712919e-05,1.730478650359e-07,1.88240023051991e-07,6.60409292392087e-07,7.21629931091509e-05,0.000248791319398235,3.6252666354423e-05,0.000126934108652881,8.53245971279845e-08,6.48671417590072e-06,1.73772308208833e-06,0.000141267047149318,8.38679694935011e-05,1.43276740995956e-07,-1791.57639159686,0
