"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.241544083717183,0.168953461557678,0.750620891479736,9.7,1.80915912620722,0.444685915307828,0.260219908636497,0.000388832967552475,1,1.09917517545721,0.972393857745909,0.605897034287062,0.96193849596626,0.990149127807759,0.905873071476656,0.991548272559843,0.962940857605294,0.970972566076329,0.949551988856174,0.954706180690955,0.994059464428127,0.926887941057706,0.998970386601013,0.973169740681239,0.581775323518368,0.966513114781642,0.961566119096726,0.90525083088621,0.962625425537161,0.991465963434379,4.07776043898189e-08,0.000406265605779009,2.56863734360995e-07,1.64435010872128e-05,0.000109038184800848,1.01342767349999e-06,7.16550551109197e-07,0.000119453520714569,5.77305446409333e-06,1.12273869965116e-05,4.69252682206901e-06,0.0140733326529938,8.58738682109626e-07,1.36818087820436e-06,1.91443067168117e-05,6.12997509697709e-07,1.23243337217608e-05,5.97661460862916e-07,1.12081338857759e-07,1.3177748026696e-05,5.76402030630603e-06,1.12972860589773e-05,2.39602651775461e-05,2.5836044611674e-06,1.0801056742106e-07,2.60682910279631e-05,3.65173938017781e-06,0.000166275562335667,5.3489768582531e-05,0.000305560898281942,1.31901562272059e-06,2.93283545835597e-06,4.32913764383753e-06,2.26255655602866e-06,3.90841026892636e-06,5.30612541402325e-07,3.52662867871687e-07,3.61794358418081e-06,5.42523433942151e-06,1.41932415381985e-05,3.03870263837554e-07,4.70754512892369e-06,3.26617020796075e-06,6.41806899193156e-06,2.62610743381712e-06,2.8427976519128e-05,1.35196938425031e-06,0.000326281479621279,1.3541125674573e-05,1.17129648726623e-05,1.02565409455506e-06,1.22221355207763e-06,3.37797207694616e-06,0.000510511706122271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9100296940616e-07,7.17165223711066e-06,9.98963195254875e-05,5.6143762549108e-05,1.76063656086095e-05,1.92240571031896e-05,3.47620141985922e-07,1.6928133940563e-06,5.79715141491972e-05,5.41522926826611e-05,3.6182635203825e-07,4.07527479919638e-05,3.67768285443929e-05,1.70077400413157e-06,9.95682336151082e-07,0.000101642984790188,8.21988099726532e-05,4.16235300770335e-07,-1731.37025200038,0
1,0.322997323028156,0.143253618551518,0.7899789659072,9.7,1.82478640632272,0.47119473976487,0.254706718099408,0.000331935139885685,1,0.764523441803318,0.94705124026128,0.591105725343051,0.990242588209695,0.942135225689942,0.958209570477659,0.990125681083782,0.978566103630019,0.925456407108144,0.943977447235196,0.926370360980013,0.924230622127402,0.940366806706214,0.992223972858199,0.916316119332902,0.970410387700112,0.989513519377767,0.991042951993611,0.781724849798565,0.976261534112459,0.929806045278238,2.90531298016922e-07,0.000405030107593005,4.11178990542351e-06,5.51249068467916e-06,1.59427112526308e-06,3.08758313963601e-07,9.21782772175999e-07,9.36265496891072e-05,6.35370927964828e-06,9.07159018732102e-06,1.58878376636437e-06,0.0122505100545916,2.40895191142341e-06,1.74337206568444e-07,9.25366740618654e-06,2.25348184920042e-06,4.33913863996253e-07,7.79191303963115e-07,3.49423119975811e-07,2.55744361875138e-06,4.49091874347391e-05,4.26205163902251e-07,1.7208439547896e-05,9.27768088642553e-06,1.62984288598857e-07,6.66674924474084e-06,5.88496924572481e-06,2.84132417658696e-05,4.0806984559633e-05,2.04992576413578e-05,3.23598212866583e-05,5.61011633593873e-07,6.54101280131696e-06,5.06152138914419e-05,1.36659164879233e-05,2.20028604063484e-08,1.48460631259331e-06,1.64089694364588e-06,1.15931653908711e-05,9.4244532337211e-07,3.56088820382832e-05,1.81765527466086e-06,2.29858319097735e-06,2.4479651693808e-06,0.00010763160071412,4.35385665520725e-06,3.99639939215177e-06,0.000132166923085239,1.27971435807911e-05,1.10439054469902e-05,7.07763469559147e-06,3.4906216346799e-05,1.07802024476523e-05,2.74205700638504e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47507261195529e-07,5.57518269166104e-06,1.86440628379724e-06,5.68710080820148e-05,3.98729900679864e-05,2.55391019693984e-07,3.07539979666445e-07,1.15968503775465e-05,2.90761986705746e-05,0.000131194944680176,1.77567696294124e-06,2.84450306027011e-05,9.08890752134981e-07,4.86156285840571e-07,1.4117787726512e-06,3.34410494421414e-06,6.24317982983556e-05,6.06213081958444e-07,-1736.31638405526,0
1,0.271547533204429,0.143560989618399,0.737237784718004,9.7,1.80876305647127,0.450079716427243,0.271010774930488,0.000410186143315163,1,1.25123099318051,0.933015198251558,0.571450833064946,0.665734925855862,0.977551412473082,0.962847459898824,0.893294295401138,0.962849658607591,0.881624980880926,0.628770887185472,0.861937819342017,0.977903777948125,0.89335842526441,0.929612152492046,0.955702570708754,0.91411221066327,0.993252215109027,0.971138905387253,0.977668805052548,0.986698151866023,0.980429138680306,3.76882221044278e-06,0.000449082663912928,2.04915012860681e-06,2.40204156663401e-05,0.00014351631920071,1.78961651670325e-07,2.80641841318891e-07,0.000241427000248979,1.16869050647573e-05,1.01307729062769e-05,6.71721573957842e-07,0.0150905714034971,2.4606970215324e-06,1.12639490845467e-06,1.08547125061675e-05,1.0390565376757e-05,4.150872698954e-06,4.97157250638024e-08,9.13133269845497e-07,3.30689820043691e-07,0.000120762861061078,4.8408844325908e-05,4.83303259238649e-06,1.65751859692541e-05,6.26459625329492e-07,1.83285054126532e-05,3.42580918503213e-06,0.000225064983144515,6.10850640191547e-05,0.000133774442845556,4.07287284001801e-07,1.32784721177884e-06,1.2506568420271e-05,0.000104668975196736,2.74923209648826e-05,1.83076940100126e-06,2.44152296165524e-05,4.48021331676514e-07,3.21974000655611e-07,5.16466465447875e-06,2.31416363438728e-06,8.32218363422874e-06,2.25312040390718e-07,9.17514080088033e-06,2.16767044470174e-06,2.4589908654748e-05,5.67617927808767e-07,0.000506062521746222,1.38561799146406e-06,2.26241361272234e-05,1.71704904349767e-06,1.14561916978721e-07,2.89686183789661e-05,3.28455650488658e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97490223317792e-07,1.35542914775085e-06,3.77554540661054e-06,7.80543083949904e-06,9.70270229588536e-06,1.11992235898141e-06,7.1558906142993e-07,2.19668465013363e-05,5.5605166650313e-05,6.25739458720425e-06,2.85493180461751e-06,6.11494022487086e-05,5.9928770962064e-05,2.65789422542278e-06,9.08553123605825e-07,1.41572055636196e-05,6.70701034598916e-05,2.01624519764253e-07,-1736.60840690612,0
1,0.243909991289785,0.172009808490079,0.75195715895243,9.7,1.78988667370524,0.46787521812119,0.253129208072121,0.00032449904413674,1,0.560540120315242,0.929669351851036,0.621499092833585,0.976860910028713,0.941684278586082,0.911838232747543,0.970610880548873,0.971393822672787,0.992746841203641,0.87401215079944,0.840056923529639,0.978542408673614,0.965912920230612,0.986080378461005,0.941571225764742,0.779089591101202,0.581025088441835,0.960095283657691,0.22052906043425,0.989445965330164,0.669918289362297,6.94511923004133e-07,0.000341746682481372,6.41118039536005e-07,7.79275492430428e-07,7.28840899074279e-05,3.30683284987952e-06,3.34568319707424e-07,1.17937414068425e-05,1.05941735318451e-06,3.79156978548232e-06,1.44046260909579e-06,0.015942833892152,1.86701134535091e-06,1.61221551829091e-06,3.19156769407182e-06,7.62806439078053e-07,1.72840014424725e-05,2.21123464459975e-07,4.86389168163978e-08,6.7064781439017e-06,2.25105240976309e-05,3.96735211987465e-05,2.53872293568296e-05,1.32437212495263e-07,4.19665278730075e-07,1.19901008281566e-06,1.54525210557741e-06,0.000123164301655284,1.81489800367916e-05,7.53881112671342e-05,2.6016334436191e-05,3.09293678214441e-07,3.42747144451327e-06,7.33106090981451e-06,2.71450806907937e-05,4.096746702336e-07,1.02256479923467e-06,7.17788790363143e-07,1.17047794803133e-06,3.75228424943403e-06,2.7770415786714e-05,1.17445135386263e-06,2.56135935826282e-06,6.70593203987762e-05,1.26512431977469e-05,1.27938824641883e-06,4.71536676289476e-05,0.000516602160605941,2.17403284688203e-05,3.98622985690784e-05,3.22075455812969e-06,7.48854541490317e-06,2.07104895637951e-05,3.17358556464195e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76100261123453e-08,9.760193929658e-07,6.02519707547811e-06,9.42567738008444e-07,7.09943575249476e-06,1.31796956257084e-07,7.71023351705067e-07,0.000115871613345745,5.65519469459653e-05,8.41508724328949e-06,7.1227350883584e-06,0.000109115859376983,1.05896267731276e-06,3.52520577259985e-07,6.50084432305121e-06,4.06540480956513e-07,2.71130917065435e-05,9.79327179770923e-08,-1738.06241754191,0
1,0.27264835309589,0.152616343020061,0.710750806626207,9.7,1.60870842630248,0.476920998148009,0.273651084285748,0.000230165171585945,1,0.661875695192147,0.932427929406758,0.605642967044206,0.606583105794957,0.816999117702206,0.552618040279687,0.936231795914907,0.986744716883121,0.958795776722017,0.947477133393522,0.968559900072515,0.970063502127619,0.934802189906166,0.99175396995799,0.958049322182242,0.988537696330356,0.988092656959424,0.926144239548518,0.974291988544486,0.995060575644746,0.981462921266777,9.63930194432422e-08,6.69373266835864e-05,4.7539124361314e-06,7.18716427314372e-06,1.84424745849186e-05,1.00243985281735e-06,1.69672650377845e-06,0.000103586525546985,5.09196690874495e-07,5.18520840725895e-05,7.14539779534714e-07,0.020256694499077,8.43142562861591e-05,3.03096299243856e-06,1.68889506170192e-05,1.54424513656335e-06,1.9548775608344e-06,1.5786465405057e-06,2.32426742058643e-06,1.06281074070552e-06,4.2891578121514e-05,5.34489628483787e-05,0.000101352555959463,1.65529692266678e-06,8.43285566221275e-07,2.45731499058803e-05,1.34911009053913e-07,6.28770087291819e-05,3.36610215878775e-05,2.53351552553171e-05,4.47723902516176e-06,2.93851422810989e-06,1.02495555081693e-06,1.85062429305148e-06,5.51381498994302e-05,8.78017701763552e-08,3.78513833469736e-05,4.06466193711812e-07,1.44805244928713e-05,2.65034786904395e-06,1.54494276213625e-05,7.49497533955988e-06,4.18167178587865e-05,1.5026300748817e-05,1.17553184234109e-05,9.99779278097184e-06,1.87004525890642e-05,0.000161558071370513,4.14653885157519e-07,7.29126687663704e-06,4.09562478671975e-06,1.34152091591678e-06,7.51924108427336e-06,2.79404316809394e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87689245172831e-07,0.000234668454563334,1.84144999540328e-06,2.46994687940087e-07,2.61667577192761e-06,1.4284905621854e-06,1.04767541431931e-07,1.81195657209721e-07,7.69817163693219e-05,0.000145014593797499,3.18963710094212e-05,4.44910471273063e-05,5.71894590898574e-06,6.58689816796406e-06,1.19594132166186e-05,0.00012067521223032,2.11373278724541e-05,7.54357587657997e-07,-1738.41179321827,0
1,0.240414868197518,0.164637631387034,0.744009850525167,9.7,1.48905572038218,0.488842905558868,0.271553959446369,0.000238150139223444,1,0.496737253331775,0.954667075010345,0.657994673368719,0.984007659010021,0.997372400429415,0.979192484902444,0.985109828588828,0.977191431469026,0.988120642054566,0.953765471198807,0.83318569711374,0.774469929395335,0.785536174356469,0.998323823546582,0.756188110582991,0.828509913396386,0.968141401872565,0.566380737106191,0.935077351662749,0.994548994273771,0.987929921582211,1.47046189868106e-06,0.000399390706664416,1.0129649290367e-05,2.10113556289796e-07,4.86549435265766e-06,1.98228098646505e-05,1.23062885461443e-06,0.000309941315834662,2.20468384450022e-05,4.30171003884922e-06,5.94029274454952e-07,0.0172907831021205,3.4612089172444e-06,8.13580179204196e-07,8.70684160621833e-06,0.000147793184859588,9.21944834982374e-06,4.08678386821066e-07,5.0450573110477e-08,7.09057103677778e-06,6.41033067541936e-05,5.46095242977817e-05,6.63485577923041e-05,2.76670376805629e-06,8.47217874906452e-08,2.80087679447016e-06,6.08871188652862e-06,2.50171218501284e-05,3.71745839516143e-05,2.37871329119415e-05,9.80498682488766e-06,4.48277307010509e-07,3.15900371713627e-06,1.38590948924188e-06,4.79070779850162e-05,3.61205022336494e-07,2.65512969907818e-07,1.92546058688522e-06,6.55030437427951e-06,1.05601288033476e-05,5.48514377711809e-05,8.44470174499757e-05,3.25959453468886e-07,5.30861300803194e-06,0.000111845435983913,1.65209334117786e-05,5.79361294358013e-06,0.00762992942468302,1.00521032649958e-05,1.54779653867239e-06,1.06476817144722e-05,1.64659250213146e-06,5.93042669008083e-06,3.66910038669926e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16406903323573e-06,7.18956217366759e-05,4.07653075094806e-06,5.21714602879502e-06,2.06293735792666e-05,1.8433464744794e-06,8.10990901504027e-07,3.571656268236e-07,3.68240013104404e-05,0.000226019275379347,6.74064150002661e-07,6.23493765880078e-05,5.40017431347587e-05,2.45979183295341e-06,1.43756833078389e-06,5.30216729172307e-07,3.47510533166974e-05,7.13112565640375e-07,-1738.66944481478,0
1,0.245486529672373,0.164345417566166,0.766688243289266,9.7,1.83590873092883,0.470816366378123,0.259416219755724,0.000272496332724866,1,1.22168684826982,0.928008830388564,0.645541744012185,0.977943912712956,0.990759717437525,0.86445875773216,0.983817094814821,0.979651205386415,0.831325480790944,0.796159832965299,0.974031263908307,0.776727780277378,0.808358416810192,0.93178989305362,0.511608396759538,0.986048792044535,0.989361395441436,0.984163351015246,0.758087639505596,0.947086123982322,0.968183193883867,3.23583969853664e-07,0.000232863726754669,1.46385374687088e-06,9.31440017775668e-06,7.86791364525699e-06,2.46777250922726e-06,1.5528998951814e-06,0.000122913511899712,8.8183352371053e-07,4.88298762870592e-06,1.91702806897324e-06,0.00941502438741388,8.36654675768695e-05,2.20578724969862e-06,1.20219107093189e-05,1.66100520866373e-07,5.9174401622441e-07,7.37881759821908e-07,1.868548849055e-07,4.46140698170636e-07,5.43437729080128e-05,3.74058951953827e-07,8.35172332967521e-05,1.80126202000339e-06,5.21659556774532e-07,2.3115456826435e-05,7.90714962373836e-06,1.29086983484899e-05,5.23188539806648e-05,5.89588685022371e-05,3.36541765938353e-06,3.61457920400396e-06,1.83488762243406e-06,1.17441137562436e-05,6.9584020228823e-05,8.13504434869614e-08,6.86225779782883e-06,5.17761253683817e-07,1.40990136989306e-05,2.82459994138016e-06,3.41242830038007e-06,2.25046768447867e-06,6.76024045663193e-06,2.15032590069202e-06,3.33086988601825e-07,9.58768775634529e-07,7.40122939044046e-05,0.00148501819295195,2.2343087764423e-05,0.00019228573046426,8.43219520270491e-06,1.612098510474e-06,1.53468703605549e-06,5.4528060303819e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21009671180902e-07,1.4084007334556e-05,5.55625693170623e-06,4.31393147448958e-05,1.10834263967625e-05,1.17732699814443e-07,9.37053705450642e-07,5.47339755378643e-07,4.23423781585977e-05,0.000162075323205183,1.36548706366509e-06,2.56136355207156e-05,2.60369584558241e-07,7.13391285496776e-07,7.3953168717113e-07,4.67354030937945e-05,5.85041986392748e-06,5.90869011150826e-07,-1739.52359009033,0
1,0.234265175853496,0.140488150735866,0.759981593026808,9.7,1.50103411929579,0.487776503530616,0.251992890127035,0.000288694965620777,1,0.658900574875143,0.927080879587781,0.621307456376774,0.970171239447295,0.764499147141424,0.948521875789525,0.929708821974272,0.991230550913374,0.971160644117108,0.987861906562646,0.993952699553686,0.941712621341744,0.783904355089654,0.992335615356188,0.555375560094798,0.65521513015885,0.964900994550474,0.765921354322703,0.986779986814534,0.983698142996647,0.903389621917102,1.97313991571578e-06,0.000119510734973041,2.01929278375948e-05,6.37572677975645e-07,0.000150748916705454,7.53374468552931e-07,3.7946702367965e-07,0.000348213990360552,2.53875394483809e-06,2.3218600184031e-06,1.18637853335162e-07,0.0161872419970583,6.16868946582698e-05,1.58576448439276e-06,1.48781388568669e-05,3.64147305684226e-05,3.21299934187757e-06,7.58948770885619e-07,4.0219400394362e-07,6.74997588972717e-07,2.10845573761233e-05,3.8467257312173e-05,1.73684102505162e-06,2.32998680902268e-06,9.88823112845423e-07,1.28678803789986e-06,4.58457645752713e-07,4.72011323249139e-05,6.23196421343312e-07,0.000147938124388138,2.42010736771087e-07,7.95442725516681e-07,8.77893273440718e-06,8.55941330601838e-06,8.06959149942729e-05,8.25525136594278e-07,2.83495663240237e-05,3.51158054531546e-06,1.76363395478261e-06,2.25221363593728e-06,5.09410690647553e-05,9.78004919037766e-06,8.35773222081104e-06,1.72583896637542e-06,1.11314276404518e-06,0.000189606317474825,5.09320025989051e-06,0.000179222904098829,4.82120626683772e-07,9.19174831457351e-07,1.33945502232269e-05,6.63916947869223e-07,2.52696334742387e-05,1.36612154464997e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27396742422819e-07,5.28842988891741e-05,4.18328497939146e-06,2.47504260948524e-05,1.10859828377409e-05,1.48512037428705e-07,4.08637790705254e-07,5.17818085456712e-07,7.78266327769658e-05,0.000194848913941425,4.86330087040854e-05,9.4935164271845e-06,1.02754212666268e-07,2.68528283531688e-06,1.34955764386608e-06,9.94435357285194e-06,1.37099505994299e-06,2.57962644038161e-07,-1739.62881156461,0
1,0.246025303722173,0.153268341034742,0.771596905078178,9.7,1.52160179098871,0.457733969104303,0.250601449081325,0.000350460759674513,1,0.968829388766793,0.981607419337403,0.617431893840207,0.892054973433356,0.971346220343275,0.93998075329879,0.997649601281357,0.950210289441072,0.979455428716612,0.988947349389399,0.961549309982314,0.960517499530825,0.661349127791135,0.992636602064268,0.89109700538425,0.813428369794007,0.891240682666007,0.997243876397884,0.958146874326363,0.96754696837997,0.901748871173056,1.43122000922178e-06,0.000417294489419749,1.9603659954266e-06,1.50536957112191e-05,2.46460765303004e-05,6.18452261467262e-07,2.71974797193989e-06,9.63759374760876e-05,2.08344901709812e-06,3.28703396006821e-06,7.04280853885557e-08,0.0214457443105863,7.36636702322125e-05,8.16353503862152e-07,4.05065316607174e-06,1.23182366332633e-06,4.45147413875838e-06,2.01577119662634e-07,1.17010937444784e-07,1.41562578231747e-06,4.46245577635602e-05,3.48588681950823e-05,0.000113745232590057,1.03074935878067e-07,1.02835945867065e-06,3.68832844657249e-05,2.03868574012564e-06,0.00011515199181152,4.5791015370475e-05,7.74980551678051e-05,1.92198080509505e-07,2.52936015276357e-06,1.48160762317094e-06,3.33933834329227e-06,3.15569263063888e-06,1.13963949758552e-07,3.15085521659195e-06,3.05901172794635e-06,3.45523235534314e-07,1.87513266164508e-05,6.88825999252755e-06,4.56852238531758e-07,5.60899491237826e-06,1.28368614887246e-05,1.64800334246297e-05,3.05632807585792e-06,7.74775131522841e-07,0.00189501823327111,1.09216227873038e-06,1.88349417959418e-06,2.91265161081281e-06,8.20790780121444e-06,2.00608210588261e-05,9.53901917167017e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57281349781572e-07,2.67733683626492e-05,1.26264859239656e-05,4.67717855587328e-05,1.03103769923113e-05,2.6762002294536e-08,2.42446099005493e-07,8.09952021040345e-07,7.06065441230115e-05,7.32555399478937e-05,7.96169602560067e-06,2.6199445570966e-05,2.78212353004664e-07,4.58048164722016e-06,8.29005812071135e-06,6.95460132414914e-05,0.000110716415160129,1.20311269687126e-06,-1740.17829093132,0
1,0.235799137272691,0.162543887224864,0.715959097673751,9.7,1.76837304751864,0.478538255021163,0.271827505290863,0.000266075293621673,1,0.934903637980443,0.945022293647719,0.612187923206173,0.960308218485576,0.994208601223027,0.912159148477097,0.665203855362916,0.996746421394059,0.908549624201046,0.919496216101726,0.914017517378001,0.409813625657956,0.947368195709476,0.990212877319876,0.847664495004317,0.828737040965199,0.994732349659733,0.974531974818829,0.853335311831012,0.985428153682253,0.999303499299388,3.94393582628983e-07,5.05237530971389e-07,7.28715524381791e-05,8.86259534125546e-06,1.52613702178312e-05,6.52920005150153e-06,3.2356016548839e-07,0.000114844802632498,2.36805350287291e-06,6.71386492356017e-07,7.78279048143562e-07,0.0171449504558778,5.89299687394555e-05,2.91361396630027e-06,2.31383918796296e-06,7.88464056276287e-07,1.23450685823854e-05,3.41256351772373e-07,3.58808680281262e-07,3.29646316437832e-06,1.46833214074523e-05,2.46786711588612e-05,8.99053903993682e-05,1.06074888933701e-07,1.74102980543039e-06,2.48611149508776e-05,9.16530620904814e-08,0.000181742001049169,9.21586485477143e-07,0.000124800159716377,8.17613060027962e-06,2.90745926594708e-06,1.91200621351408e-06,5.52491422340479e-05,7.74985763566828e-05,2.2723491588282e-07,8.48630601867913e-07,2.09769958275365e-07,8.13036251583273e-06,5.59646600703785e-07,3.34503310759468e-05,1.60295990532203e-06,1.04668149700478e-05,0.000115920331023266,2.53969622409139e-05,1.0374277317976e-05,4.68107158772726e-06,0.000257793467937537,5.2331391542903e-06,5.10683602742737e-06,1.15204809650947e-05,9.1380270396766e-07,2.15436824057552e-05,5.85027005817374e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35799794998967e-07,0.000198531141067411,2.41368701507733e-06,3.7707021101366e-07,1.71724843355171e-05,1.92633094787923e-07,8.36130529385602e-07,2.62919240954828e-06,2.63070800742788e-05,1.04188020188965e-05,6.35718382406601e-05,0.000109826762866408,8.89096890951211e-07,3.15585715567336e-06,1.1611067351183e-06,1.63758205170477e-07,2.28328717638082e-06,1.31845432223954e-06,-1741.75714629001,0
