"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.317856254604438,0.153047687137421,0.798388859766978,9.7,1.74428187074558,0.450313462969493,0.245849346653204,0.00035179273194646,1,1.24470450308324,0.986429124915524,0.124460349599827,0.961138574967392,0.907551526131157,0.946656261628432,0.910327419667062,0.960319186036668,0.957199397951865,0.886601202773485,0.899325646338806,0.980792216097744,0.946139922499395,0.992314300560205,0.97498259169807,0.996184734405375,0.982796459887647,0.925846453352941,0.834504857815368,0.985060876548245,0.986824477647544,9.98685940301143e-07,0.000344192310964222,3.4328828678418e-05,6.18164572234362e-05,8.56887298588628e-05,4.96274749567262e-07,8.468826382714e-07,0.000113973569373337,2.98430308999086e-07,1.64621861547792e-06,7.13797919296476e-07,0.0146582009377493,1.15849148890582e-05,2.77208727552202e-06,1.23840541110746e-05,1.21029101019658e-06,3.73220490327381e-07,9.83532750606498e-05,3.39355508158042e-08,5.54249928131998e-07,3.6234892472302e-05,1.45832715687904e-05,1.03374017906703e-06,8.06061637470646e-07,2.10331665264368e-07,2.10803085394074e-05,2.26467310584066e-05,0.000116155938960133,5.79124230918121e-06,0.000141518993566725,6.94755275903202e-07,2.73239384439777e-06,1.03538323760127e-06,2.85366954281286e-05,2.09235286228843e-05,5.67539643823792e-06,1.6495765504834e-05,1.98388993856641e-07,5.89158468981462e-07,1.24066876920908e-06,5.63208919725198e-06,2.45617265150942e-05,1.3541817360951e-06,1.06262715082192e-05,2.14028697623261e-05,2.65219722506e-05,1.03105918690769e-06,5.88726149694461e-05,4.90862626163006e-08,4.98013042724308e-06,1.19282786725807e-05,9.03180769723288e-07,9.61875175534808e-06,1.82193427819592e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67452077425735e-07,2.55496937791948e-05,9.08257830878329e-07,2.57768496331987e-06,5.32537241241475e-06,7.66303075727063e-07,2.31426021521501e-07,1.01932390399731e-07,3.19104331498406e-05,8.59021916064149e-05,4.7774418347017e-05,4.36693676676301e-05,3.83090801949032e-05,2.6326179070496e-06,6.88204158991072e-07,2.67981162933857e-06,6.43376873628228e-05,4.54710898116745e-05,-1732.11128055092,0
1,0.322599292431619,0.150548026637404,0.800033115714591,9.7,1.80906562245251,0.446345637757603,0.258399247782495,0.000352531876062863,1,0.808894909395703,0.984572254180503,0.111885080517128,0.966269678955962,0.769697401538202,0.552934577328198,0.975519215573443,0.949959550861991,0.991313119610553,0.995663270168251,0.981332283599508,0.966228429377381,0.434237943287429,0.972401924541408,0.784438892457734,0.996693107603961,0.998207006705907,0.989062806041932,0.714871563335404,0.97027500449215,0.866731344459254,9.02529092009086e-07,9.51653653336542e-05,2.16647099234592e-05,4.91097756854214e-05,7.78996148984461e-05,5.62478935382111e-07,5.27906733334427e-07,0.000119263971846707,1.89624847071208e-06,6.50358947237654e-07,1.8674676897219e-07,0.0109776562529411,1.8984843926625e-05,1.62336520510173e-06,8.22090605104519e-06,4.80992592715461e-07,2.0371621004159e-07,3.77277024090831e-05,4.1125811330458e-08,3.48579036852435e-05,1.39861747245043e-05,2.13350666095795e-05,1.33986881492964e-05,4.23247874068856e-07,7.06230549190378e-08,7.93632944940611e-06,2.21312323405167e-06,4.05223823087091e-05,1.46082513928008e-06,4.53724865392915e-05,4.4806650391832e-07,4.58954688070802e-07,9.53260335684226e-07,9.60848870785557e-07,5.19675801724529e-05,6.74163588200204e-05,1.61014724330498e-06,1.71570625837637e-06,7.35347405918113e-07,3.26321907570549e-06,4.7501689402187e-05,7.13733714832863e-06,3.39328674300998e-06,4.1384941809209e-05,3.05151793820425e-06,3.66904489717435e-06,2.65650419614102e-05,6.29425522079651e-05,9.81103485936996e-06,1.89785314712931e-06,1.81755610048343e-05,0.000132279430876094,4.2414110817684e-05,1.26497460733849e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65175963438474e-06,1.51344449218782e-05,2.40075049672861e-07,3.64905822179005e-06,1.32424292120663e-06,3.67324068747749e-07,2.48903622469665e-07,4.65821633482176e-07,4.77855917908975e-05,3.41368555883455e-05,6.25831634257724e-05,1.27067565790504e-05,3.74432267243569e-05,4.27320917879836e-07,6.48616671617953e-06,7.87164051611489e-06,9.78400274416578e-06,1.20482163234585e-05,-1733.3794282517,0
1,0.316347344303363,0.158580204492949,0.799865806772684,9.7,1.86274300717963,0.463532207072729,0.265933548028594,0.000319547249577791,1,0.581516107899482,0.941659000164886,0.139743076531608,0.989603300276792,0.908112017148448,0.966486557673677,0.237946839450757,0.969468271715225,0.986923446761777,0.899886477802075,0.949280385717423,0.997113513712541,0.987380199377391,0.998724532525846,0.962164700855736,0.778451430871564,0.948882095629434,0.946164610354366,0.80889998874089,0.849804575322297,0.991708712303403,1.11311291196424e-06,0.000134565732636748,6.57698988542192e-06,8.4580346060855e-06,7.77562633289401e-05,3.29467636171689e-07,1.26417667836909e-06,7.89224551369688e-05,1.41875496080187e-05,4.57903312133005e-05,2.38949211801339e-07,0.0104960579391573,5.63657437807087e-05,3.77204173396374e-07,1.52834503667131e-05,9.00336686444348e-07,6.71431726389028e-06,9.11597857508621e-05,7.49990619782199e-07,1.15690135040518e-06,3.73777760781562e-05,2.57252098993404e-06,9.28992960195206e-06,1.05781601540893e-05,1.2478425779535e-07,1.24481890142994e-05,2.44384237695773e-07,1.75067971770441e-05,3.47162067205387e-05,2.47962550348701e-05,1.45324191577127e-07,3.00882739509497e-06,3.88217618830957e-06,2.07239461395912e-05,1.65276662209512e-05,2.75759402531549e-06,4.00879413934333e-08,1.58807499119568e-06,2.13744615725957e-06,1.74435312565104e-05,0.000139285723597127,7.64505285488525e-05,1.68970100275603e-05,0.000122633692230454,7.18988177241496e-06,0.00022623201463848,1.0896117002149e-05,0.000207125717646065,3.41359250623888e-06,3.04318078389098e-05,3.10473997565986e-06,2.98603506933052e-06,1.00262711264808e-05,2.01482596149188e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17828323041238e-07,0.000180636996004424,3.74523414355324e-06,6.34696867092314e-06,1.12256047298636e-06,4.79393945915491e-07,9.12062607557014e-07,1.00173029821218e-06,4.41153349327417e-05,0.00013348186895337,1.24221397593996e-06,2.85442740808781e-05,6.46671296365714e-07,1.49434659886958e-06,2.35749271577108e-07,4.56644462367352e-05,3.36871095336422e-05,2.21931251726438e-05,-1735.01907025825,0
1,0.235698300698319,0.182370907900039,0.77570417334788,9.7,1.86256254648279,0.45944170378802,0.280309954132418,0.000370640404598769,1,0.691393429383497,0.961225593736733,0.119409429016941,0.935989916480675,0.878963619853302,0.771480715588783,0.884718620282286,0.978345918508294,0.998988620785616,0.97058953699941,0.917165748058098,0.958150524029248,0.718289289951358,0.870577599450297,0.878581721752181,0.973829486004006,0.989124502934404,0.986223810715191,0.994460481153789,0.929819116489814,0.945845250110654,1.10917276771057e-06,0.000101181761351381,2.87541404941166e-06,2.21401246766841e-06,0.00010465487538098,8.05547623362722e-07,1.95232244473703e-06,0.000220845477806988,5.01125010101126e-06,7.59876734746471e-07,6.48662656500583e-06,0.0116936713659056,1.44815230009402e-06,2.31199642994616e-06,4.04544716535441e-06,2.36239581859659e-07,2.41238130837676e-06,1.47669683427141e-05,3.54745208210149e-07,8.01666491065672e-06,1.69036254979436e-05,3.38704211517168e-05,7.36665578892153e-06,2.07286983524724e-06,2.60773754011976e-07,9.93728529201394e-06,8.10127658042886e-07,9.69403113738861e-05,2.50497666805558e-05,0.000310575447888449,3.41678983139952e-05,1.78823035299625e-06,1.44346236733336e-06,1.42755739335559e-05,8.7244003098239e-07,7.53453926764378e-05,3.08614026812106e-07,8.71664616185631e-07,3.31178651759556e-06,2.8521165877884e-06,2.38192399343509e-05,9.93080742865631e-07,1.79540711257291e-05,3.27233598780869e-05,1.05524671685948e-05,8.71758718218536e-06,1.82287879457889e-06,0.000782845828696904,2.75025099192131e-06,8.83356740083271e-07,2.45945642736218e-06,1.90775507389355e-06,1.71287150598175e-06,3.73008771682463e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4200641015846e-06,0.000156019477609621,3.25000477434799e-06,9.81468662170791e-07,1.17723908149015e-06,7.43879167313325e-07,2.13446367413698e-07,9.71242891798554e-07,4.75000788966847e-05,4.3146931519333e-06,5.29480553688825e-07,3.52172535594959e-05,1.63817816880814e-06,1.43705108514314e-06,6.1433390737037e-06,2.27226425055506e-05,7.74865479067679e-05,6.76608956382235e-06,-1735.75128033417,0
1,0.320385382116457,0.157957684254151,0.823669369135302,9.7,1.60402762590476,0.482297267735303,0.268890874549415,0.000242668293569025,1,0.527504675884306,0.983182759105589,0.122587132758836,0.994131817147687,0.872084262267594,0.595591333984355,0.808092487471527,0.994375415225482,0.955152814083495,0.987840128802765,0.98837715540292,0.928588376782609,0.942383404460619,0.990460004347534,0.884116241773158,0.976617946031155,0.988878872658598,0.993721272739728,0.969245967876816,0.907957306825876,0.922398445590851,1.61004775818422e-06,6.16137386571062e-05,1.48574029363463e-05,1.86256933977999e-05,3.40275785219049e-05,9.06294112753837e-06,1.62721530858975e-06,0.00010025298070876,5.65330682637354e-06,3.19432214355304e-06,1.13493811946768e-06,0.0142477058774077,6.7600494298645e-05,5.19576046282164e-07,4.87053887526732e-06,4.57475144255273e-07,4.82835283786172e-05,5.47480691577447e-06,4.08341808743144e-08,0.000144422104575453,3.59768844685143e-06,2.37585275047548e-05,1.18327728049363e-05,2.99581320210092e-06,2.65482825456064e-07,7.78183547025058e-06,1.7357278545298e-06,6.35844106366389e-05,3.21013500372148e-05,9.69469007372848e-06,1.87597517606045e-07,2.15803462943925e-06,1.58090815642139e-06,3.16296899293938e-06,1.37935713984291e-05,7.0578542674948e-07,2.43442313526176e-06,2.5428531331973e-06,7.70547873442233e-07,1.62211010387812e-06,8.85272841949863e-05,5.85254734575212e-06,2.28408966678096e-05,9.39563777397827e-05,2.33682194539839e-06,9.20749200757543e-06,6.00905113698784e-07,0.000753554552714657,5.73169915991262e-07,2.69542738960633e-06,6.55385137217826e-06,6.56477669351529e-06,1.96232323668572e-05,1.18055936144003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31453223811997e-07,1.96744146671352e-05,5.33866702692912e-07,3.46287356305422e-07,2.90517820589732e-05,2.66496076299174e-07,2.64654644542048e-06,1.05126580526768e-06,4.1945205605913e-05,9.66461945686278e-05,2.25036545307222e-06,7.58514243486814e-05,1.07521723160716e-05,3.63238762895164e-06,9.67106225864549e-06,3.04548103087591e-05,3.37773931687838e-05,0.000186325116191688,-1736.31185825696,0
1,0.29305162812536,0.15670210533478,0.816954261031532,9.7,1.83290153414088,0.476304557130993,0.277437614228834,0.000247405108696554,1,0.551648266609805,0.977988565195452,0.0925961211619233,0.932502126103765,0.952833823630463,0.852389486942759,0.877429111403711,0.993544151559737,0.933318927427496,0.891661226916734,0.996707757842029,0.934396887407084,0.81923293701488,0.996584169437194,0.804769401410177,0.990093073240365,0.993412194367547,0.987722944486289,0.88872215898931,0.93788720142869,0.958000421882538,5.88416039322288e-06,0.000188916849106669,3.68913739269761e-07,8.38589127409429e-06,8.84996598644791e-05,4.51434673608466e-06,2.43128435567956e-06,0.000106877784708511,1.35747649923286e-05,6.94268152428451e-06,1.62608644624476e-07,0.010602002176472,7.05664621254552e-05,1.4571920603147e-06,2.04334992607895e-05,6.94783666041911e-08,1.13851138295433e-05,3.05868653532708e-05,8.62226045624936e-08,1.39849386722177e-05,3.39236808805633e-05,1.29519608485374e-05,2.90903724011598e-06,4.51152599305553e-06,3.22360041981955e-07,9.70697625542204e-06,6.00979409264513e-07,5.38836291644081e-05,2.12597091785432e-05,3.40589477923089e-05,2.78134417934204e-07,1.28372813690373e-06,7.88394873523585e-07,1.19230565943796e-05,8.02766348809357e-06,1.18318101095526e-05,7.55060946359683e-06,1.0131757796905e-07,5.28783672452822e-06,1.69299117179477e-06,3.36478384113371e-06,2.10976693868523e-06,2.19354417095562e-06,1.53329366470684e-06,4.52556662668338e-06,3.96188140443197e-05,1.06051572099218e-06,0.000523660028707696,1.138958384195e-06,1.8794807787928e-06,1.42407435893992e-06,9.90725457522481e-06,4.96201480730046e-05,2.03971073107646e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95765920191351e-07,3.48022354740668e-05,1.21495582228626e-06,2.43039955922639e-05,8.43200349471722e-06,1.37519791766927e-07,1.88143811579746e-06,3.99935968951413e-07,3.5061151873441e-05,5.1279508864607e-05,1.06761366996783e-05,0.000110904569006847,2.28632542364326e-06,4.65930212618575e-06,4.19278718248136e-06,1.98739261109294e-05,3.3391205543281e-05,0.000256326243706317,-1736.3408882629,0
1,0.268802692572518,0.157927814010533,0.961787273442927,9.7,1.49975536543759,0.48732256739488,0.263368145035004,0.000281691506032632,1,0.528878307498879,0.944637488545782,0.11218854742996,0.943699583784131,0.997666993844605,0.74461899814324,0.956333406805626,0.91834655170143,0.951699249840324,0.978736223039043,0.960665760243877,0.710424574380258,0.991067606354029,0.967018551280674,0.866756403355026,0.98769356226959,0.984726148344305,0.485246227204503,0.761532649182139,0.98996540844168,0.957291498350746,1.54033181734982e-06,0.000487773282485605,9.93993762928745e-06,3.95336371888858e-06,2.35862471359363e-05,2.6330519453613e-06,2.01597999049548e-06,0.000291520251118886,1.66672432579092e-05,4.3028677403654e-06,1.80674326588445e-07,0.0136963976143404,1.15413605775745e-06,4.28587113488475e-07,1.63012087506375e-06,1.91655679182153e-07,1.92200693887797e-05,2.44386757664805e-05,2.81439649128673e-07,9.71928816333316e-07,3.61534966788644e-05,3.48927518806094e-05,4.99355454594861e-05,1.78272989844139e-05,3.02514897956704e-07,1.21764012722359e-06,1.06117018335455e-06,2.26755089182479e-05,3.57091036281153e-05,1.95453900338919e-05,4.17947042741595e-05,6.32617976144566e-07,3.81869983373488e-06,6.44243559704706e-05,5.06591795732517e-05,0.000145576263350074,9.92323813955894e-07,1.29370997019354e-05,4.13129813409152e-07,7.73622015376858e-07,1.62204999808121e-06,1.71269974366977e-06,3.26924193094269e-05,2.26833365296568e-05,2.67837282663036e-05,1.09757361342269e-05,1.37388395088362e-06,0.000251184523363395,6.92143048919434e-07,5.3069635806748e-06,8.94025678098808e-07,2.53418640680724e-06,7.371799395182e-06,1.87939783944662e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57036219100872e-06,1.75285970196264e-06,2.71177624694461e-06,1.46599514527809e-05,5.27434559025219e-06,2.73080831670231e-07,3.72679462818589e-06,3.13724934875379e-07,4.11046621972764e-05,0.000211234426569508,1.11803715800326e-06,7.89543008276913e-05,8.63939504857532e-08,1.97336353551828e-06,2.49437064048618e-06,4.86125563175404e-06,5.7750198538218e-06,1.17422882346771e-05,-1736.48074189372,0
1,0.323266605192936,0.159072141484813,0.848824650783825,9.7,1.72453430662701,0.449103628009094,0.27647398551687,0.000408581157910528,1,0.550808554546476,0.961602299151951,0.118988252759374,0.984526686136676,0.965704540249916,0.684681132305929,0.989219784449036,0.99925056436159,0.650569429238974,0.992510196526255,0.953065573539507,0.751272826510176,0.957399634286806,0.97881749798305,0.984381386716373,0.960628584755483,0.976993017572945,0.997912883227297,0.961722369055725,0.993569822790751,0.834032312555259,9.13741906975539e-07,0.000378562554355489,1.17084501949338e-06,2.43640712384894e-06,2.89926212141693e-05,9.92249447932417e-06,2.05028060044894e-06,9.72209820560887e-05,6.67213095061519e-06,7.18220332176938e-07,2.22906380227919e-06,0.00988512116844194,6.74966997021304e-05,4.72604228339985e-07,1.31199743068911e-06,3.93104899545495e-08,1.11824996133894e-05,2.71938023703519e-05,4.71317862924954e-07,7.81483818991977e-06,2.79029555493754e-05,2.31484925042822e-06,2.96408202906842e-05,4.11290299875512e-07,1.44060157920721e-07,7.48404977904518e-06,1.25425444165223e-05,8.68273546801172e-05,7.0032184453414e-07,0.000424439902345419,1.37718958955095e-06,2.11818698679023e-07,1.75792696112084e-06,6.32815300753809e-05,2.61140594306481e-05,3.14046065212813e-05,1.71337025461143e-07,2.25877271494333e-06,7.78142984438746e-06,1.63620410223793e-07,5.1816259739209e-05,8.25406191654624e-06,1.02532417511096e-05,2.38845505685291e-06,8.44919410661528e-06,1.72157794474627e-05,8.65308683909136e-06,0.0002768902152685,2.38977768560772e-06,4.9518646465246e-07,5.64242385426715e-07,7.16697292271551e-07,3.28155212519195e-06,1.39835349777687e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24179487911e-06,2.86934932740744e-06,5.69567577645333e-06,5.78850847889304e-05,3.27761077809796e-07,6.33789603608541e-07,9.17895748707718e-07,2.76481904816609e-06,1.44276697944249e-05,2.80680660525143e-05,4.99325996260498e-05,2.70811370785118e-05,1.7201814461036e-07,1.5290801707949e-06,1.25785750451083e-05,3.76802787984259e-07,3.73093232100433e-05,2.1254969505268e-05,-1736.68954762318,0
1,0.239842869634853,0.146468508606367,0.769001886030129,9.7,1.87564146567148,0.474508245160792,0.279285184640991,0.000334078005373419,1,1.08226711265964,0.947504892306188,0.100368983615079,0.994709807305338,0.922629723585583,0.863692998884289,0.891043892272549,0.979955464715874,0.992252552297363,0.953011016448637,0.821402591206847,0.937228351415738,0.866290459437609,0.956806204252865,0.924190316828239,0.907958502815605,0.968126214920847,0.912595520887892,0.983277679497069,0.983084409883507,0.962296197177588,1.17053235976089e-06,0.000373303380565638,2.21902378496784e-07,5.42480623404931e-06,8.76420346770437e-06,5.37290194847061e-06,2.57933359780041e-06,0.000112894276907731,2.72912530601139e-06,1.05596515130276e-06,2.28207638486101e-06,0.0150767933216161,7.56550439834221e-05,1.29669308500502e-06,8.68254167831242e-06,4.96724912949353e-07,3.44788816216065e-06,9.05197887422208e-05,2.95785293214246e-07,2.62190647154849e-06,6.76342286361846e-05,5.5668449938996e-06,0.000101792606882685,1.38409558371912e-07,2.49923302596249e-07,1.78670010330756e-05,8.03599621811065e-08,0.000184429880602286,4.21681933183816e-05,0.00018556685221202,3.20430029723947e-07,2.39423405197581e-06,8.68020922114937e-06,7.62279601378354e-05,5.65390174093034e-05,7.16532204054247e-05,4.02771618128123e-05,4.34576041274167e-07,4.37821551715977e-05,3.44302255769303e-06,0.000178869080177928,4.44274241181867e-07,7.82481823130791e-07,4.2620945315394e-06,1.59853629323715e-06,2.2599264969413e-05,1.42320792469241e-05,4.53771424652647e-05,2.8005306500481e-07,7.25613136731284e-06,2.40357677240945e-06,8.65510510999775e-06,3.15235766484337e-05,2.25989576142521e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45837042525867e-07,1.06313177060526e-06,1.76935092229462e-05,5.79802400278439e-05,8.73880148890608e-06,1.02959392316747e-06,4.36843730611186e-07,3.50449388774443e-07,5.53255857136237e-05,2.65797615996444e-05,2.21616453343059e-06,1.9608449965831e-05,2.63859649680159e-07,1.59350209936009e-06,1.65655560762305e-06,1.79332377283575e-07,3.31639386646436e-05,0.000106789434428444,-1736.70961700656,0
1,0.23505226384049,0.156056091111306,0.782338877154818,9.7,1.68091890225093,0.489330597525919,0.25782514487182,0.000320879683427408,1,0.728579207282874,0.952133198279282,0.137157774734472,0.993531886945102,0.932045951627903,0.962459554289798,0.998681511378724,0.985055818779089,0.997805170447582,0.966698872679889,0.795590552450826,0.979340852703175,0.814409540316252,0.971220424638899,0.922927411227931,0.994721748468378,0.880132899549341,0.760745252012116,0.363499441960537,0.995967981319938,0.864551303374974,1.28095683907285e-06,0.00028611180932812,1.28678351289166e-05,6.25824354279149e-06,3.2814919081213e-06,9.19175263937635e-06,2.12453014916107e-06,0.000203007368067463,1.81162742273035e-07,2.20287640961519e-05,1.26788722903518e-06,0.0192242933538318,5.87954385191688e-05,6.48480969208742e-06,1.61747658272448e-05,1.62597799720973e-06,3.09780795723281e-06,6.85008849187068e-05,8.02538965551523e-07,4.89848965113256e-07,2.03411254325361e-05,1.28868048038361e-05,1.81119338474437e-05,3.44462035084603e-07,2.88563065588905e-07,6.17201774027923e-06,1.44311226638651e-05,8.2669687810134e-05,2.16395204597145e-05,9.13507126622918e-05,4.10292951918332e-07,1.88091156726298e-06,1.24706960655007e-06,1.20166812501081e-05,2.3927221702374e-05,5.4468497305408e-05,8.83517968063767e-07,5.75074338227596e-06,1.34429299902325e-05,1.4507577431731e-06,1.26450969712919e-05,4.34831613350315e-06,1.14864615005141e-06,1.68297612151296e-05,7.73157166565742e-07,1.42002148117743e-05,5.20183904648634e-06,0.000136882925846119,4.27924466468787e-06,5.69256508968583e-06,1.607822026764e-05,5.72500132946321e-06,4.46176311544279e-05,1.67473972920905e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74658220916099e-07,7.26927630180224e-06,1.73721039858125e-06,4.49993263926413e-05,7.12397421141361e-05,6.73630391590012e-07,7.5054427042771e-07,2.16218815156035e-05,3.24413188580315e-05,5.72953894633512e-05,1.64214468363844e-05,0.000115329140689709,6.85716637609559e-06,2.00115547595666e-06,1.93306840632348e-06,2.80200885042466e-07,5.47442730013286e-05,1.13327126654218e-05,-1736.92506303641,0
