"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.267482168702229,0.14624203762343,0.814516657040533,9.7,1.8301135414401,0.443999587311301,0.277294580920214,0.000407114084951236,1,0.447141980765199,0.991004571494562,0.560589504185423,0.899934294288787,0.771151119223334,0.95299217276303,0.802668123197824,0.976330208931676,0.965954146067047,0.974402509231345,0.943916975079397,0.887465699941184,0.902225870254662,0.987220951852267,0.936279867627084,0.869522617500127,0.826125101128652,0.991480532813518,0.346742992726768,0.93228567083471,0.988210812156668,1.06646980115982e-06,0.000342101180225741,2.44347877978999e-06,1.06460965052881e-05,1.38648691924937e-06,4.00142903374845e-07,1.15564926770957e-06,0.000105006937036702,4.19308367987356e-05,1.57819700885909e-05,6.84260533644595e-06,0.0102461336185223,9.80191330428163e-07,4.72538583454253e-06,5.55002582521408e-06,8.01532558538846e-06,7.96383618800278e-06,4.18543301391452e-07,6.1213434263361e-08,3.30845811505068e-06,1.06492513895345e-06,2.75906194833775e-05,5.50223064990043e-05,1.32855993505014e-05,2.9383056560695e-07,8.02073928935656e-06,4.52203854634502e-07,3.20310101084171e-05,1.03263040352676e-05,2.72707660301013e-05,3.01951337449366e-05,4.36397688077517e-07,8.0733748397415e-06,5.16933202807387e-06,1.7972117844482e-05,6.43755887366621e-07,8.07059477873306e-07,6.36347307650154e-06,9.84485714620574e-07,1.24110812828616e-05,3.44348009260814e-06,1.70081270478828e-05,2.42396943860814e-05,8.42101254326902e-06,1.49278839780082e-05,1.82441503254774e-05,3.18352048151147e-06,0.00133040245959243,7.0326453046431e-06,2.67955567108745e-06,6.91574131760302e-06,3.50817757305301e-06,7.74160390940389e-06,5.45663250259352e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93169077574285e-07,5.8914396536356e-07,0.000107628234343534,5.5657826958445e-07,9.58055239881335e-06,7.0310328021432e-06,5.59575578432829e-06,3.85874972229218e-06,2.61710478051546e-05,0.000114826053122124,4.07378121872427e-05,9.03818332689511e-05,9.66600128612665e-07,2.2246469363652e-06,8.19849806488525e-06,3.52344900013868e-05,4.8507809461052e-05,3.48397294445382e-07,-1731.39378249634,0
1,0.293764426419902,0.1793847070219,0.775543530784747,9.7,1.60203604560954,0.455132333835941,0.264853429402303,0.000316906348472223,1,0.471913585615557,0.935784652482599,0.584474073783659,0.996041135067306,0.884261393377938,0.933205359359541,0.986038767569841,0.933913073440377,0.949662815700226,0.705608381103426,0.995462696732005,0.991317927975323,0.902083269970435,0.994300689293114,0.713888517175174,0.333651858493584,0.979146556040901,0.993199898460011,0.979052606815605,0.992045022727956,0.972445841851338,9.85327111654642e-07,0.000117567287092562,5.08385982467544e-05,8.80874348636623e-07,0.000113215048996234,4.90320228740644e-06,4.17105040894134e-07,0.000313895380887521,1.10164530661824e-06,6.06916920403583e-06,1.14918396312728e-07,0.0102840778049035,7.09041939496658e-07,1.19960501029441e-06,9.86140285040167e-06,0.000110871717054789,1.89015555728653e-06,9.98246352869808e-07,1.90940163369144e-07,0.000126134860320194,2.45959130526329e-05,3.59550523976739e-05,9.95279479492259e-06,8.74951784505382e-08,1.88821955091697e-07,2.90866423397437e-06,7.24460437574478e-07,1.47776873023428e-05,7.13196641456736e-06,0.000102091732035542,3.70721309127978e-06,5.85932084685415e-07,6.70161540791722e-07,2.8585615058153e-07,1.11015760979743e-05,2.70946576374169e-07,1.03138090594438e-06,1.28489913248238e-05,2.53684406527079e-05,4.34459111835569e-06,1.67664014086656e-06,0.000278136261037296,4.40200108269619e-07,4.1341580737661e-06,4.39706900552301e-06,8.9134960365522e-05,8.38022429695402e-07,0.000801844940021883,6.14034663402586e-05,4.23064018608682e-06,5.00961496168547e-06,5.44132345798645e-05,2.59094152916256e-05,3.74119142473436e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24483002771809e-06,7.86020593683179e-06,1.64675707347593e-05,3.16212442243552e-06,1.30112308388614e-05,9.83046426611667e-06,1.07341259193115e-06,8.46155736595884e-06,7.40551038692713e-05,0.000192997001291677,6.5065581880519e-05,0.00011590182070148,1.58371236345023e-05,8.58935091217358e-07,1.02755841086182e-05,5.31359609722814e-05,0.000101514359057542,1.1221043023886e-06,-1731.90322090078,0
1,0.27596693479991,0.168626599908876,0.714715078664791,9.7,1.78699027645392,0.458192500208668,0.259398315589452,0.000299085291657732,1,0.475742753474269,0.989959559093424,0.612503919408016,0.939915228028103,0.996218566041406,0.922517493880251,0.995665173232738,0.907992996795835,0.959523226480647,0.97353061036708,0.98627449366235,0.908723725887661,0.95665821603029,0.9850577886769,0.987821413455294,0.994112934190343,0.95917044463572,0.994473012083759,0.821023290727392,0.896575304073581,0.938442891512189,1.04649492066375e-06,2.29471830182151e-05,4.03608471429614e-06,1.30235499494406e-05,5.1479058615584e-05,2.95040903826456e-06,1.02848919523595e-06,7.3959232494085e-05,1.02544645550011e-05,1.58543397134001e-05,9.14839255252934e-07,0.0147933176952166,8.40559143337842e-05,9.78052890104795e-07,1.62786143926691e-06,1.46640097084301e-06,4.64669237052791e-06,4.53578288844668e-07,2.26516411759817e-07,3.8365521609589e-06,3.45564849980854e-05,2.7461019397925e-05,2.8550339357375e-05,3.70560105902507e-07,3.52549794050563e-07,8.08505098099029e-06,1.8081081567771e-06,1.99321861644533e-05,2.54866143072017e-06,2.15654532919874e-05,1.06453108189316e-06,3.71680724755093e-07,6.89852195522622e-06,2.66040864776275e-07,2.53895382891249e-05,2.39242954205147e-07,2.69477389589756e-07,2.72025904949578e-06,5.67759937200791e-07,1.41604147691853e-06,3.667773770656e-06,2.19387621391658e-06,2.19300373543638e-05,1.81056842733867e-05,2.42985096854715e-05,6.4559699741787e-05,4.22424976884714e-06,0.00012885059834163,1.11306384916095e-06,3.2001550146079e-05,2.28438333547822e-05,1.21620394481034e-05,2.20991424327226e-05,1.27213534374735e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15437245011983e-07,0.000260734712790726,3.39956940703435e-07,1.98133655946853e-06,1.01756128926705e-05,9.70426144169112e-06,2.21400594830614e-06,2.28011425567796e-05,4.39014532987989e-05,0.000145689222116711,4.25826886811383e-05,2.01723079643777e-05,2.26416255038629e-06,1.14529379080899e-06,1.31506190340107e-06,7.70695714961035e-05,2.38851822736288e-05,7.41411728629691e-07,-1733.09592746949,0
1,0.314481775593741,0.171829036486489,0.7653052165222,9.7,1.89704450486192,0.453522271417405,0.267061071017838,0.000306991527069219,1,0.992683264273392,0.97161300900245,0.56169886294862,0.979852981582342,0.981599915141171,0.74351651384763,0.921996371431598,0.97357417530594,0.984246422847717,0.934538297079385,0.988177595561736,0.946194633829745,0.71037225318474,0.981589453519084,0.736783703553795,0.998408532290424,0.998476736962488,0.910647143007258,0.996069480030873,0.99829717721061,0.986364894361402,1.05505018286735e-06,0.000286699322835916,1.36478529111725e-05,5.10787206156044e-05,4.19517553077144e-05,3.07162645471193e-06,1.06785461042771e-06,0.000111723838190345,6.77267202663998e-06,1.94603861993037e-05,9.45136085671728e-07,0.00821204754415901,4.70136760448615e-05,2.28539422808654e-06,4.00563861035129e-06,2.17913093677329e-05,7.43867796763554e-05,1.01107882536941e-06,3.23532423550448e-07,1.64731974465325e-05,3.7324632880321e-05,1.67047455660137e-05,1.59036630992699e-05,7.38081810583302e-08,9.50360727446402e-08,1.18290178775588e-05,1.94813653758926e-06,4.18224847593852e-05,6.05756730646749e-06,2.72795549488846e-05,1.13272038129021e-06,3.00854731225606e-06,1.10311172695463e-06,3.33935533014212e-06,1.79980597156929e-05,9.6632517682031e-07,7.36936955921819e-07,5.50071961738494e-07,5.14785501022336e-06,2.84988044287311e-06,3.79335458009003e-06,6.06506590281691e-07,3.01268382884484e-06,1.42303900892104e-05,2.00764761805826e-06,8.13829220572102e-05,1.60700422513881e-05,0.00199633067033668,2.05105626137038e-07,3.79182668562434e-06,1.44843420169366e-06,1.97728983244796e-06,1.95483706041639e-05,1.94626148871113e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71850328427232e-07,7.92577374933151e-05,5.18891811823585e-06,8.0712036282152e-07,2.22998001347944e-05,7.54266184734233e-07,1.36490226096374e-06,1.70896948921958e-06,3.75155210088121e-05,6.7034961554142e-05,4.32349346261697e-05,7.75562001486597e-06,1.18150537452427e-05,1.91870534377649e-06,8.67966352643051e-06,6.36105105479183e-05,4.18605775566083e-06,2.58995111106535e-07,-1733.71331102315,0
1,0.248484534214977,0.178253292184821,0.743909653062476,9.7,1.50591791953614,0.480092112880685,0.278245569019926,0.000213556625222693,1,0.629987832897314,0.932509441677881,0.630454552380557,0.997650696495486,0.9687846967552,0.902561809247143,0.940562301644656,0.922413322395841,0.979353458584771,0.984988972992034,0.877066991047192,0.976316453815215,0.866756443247884,0.940821911996063,0.712656977772335,0.886382595925013,0.784626500130104,0.989599138342413,0.791178692321845,0.985755154633574,0.861308169455811,5.78704492749712e-07,0.000487469488043737,4.37318925417031e-05,2.63282691046691e-07,4.21018426231059e-05,9.63443643389499e-06,1.03803682042382e-06,0.000291542321778796,7.30300739854905e-05,6.62450170796663e-07,4.66436908449596e-07,0.0175958347351573,8.38850496500836e-05,1.08919393888744e-06,6.17091711421239e-07,2.12455555121911e-07,6.651032506046e-06,6.57223240679972e-07,8.3019229948399e-08,4.76276854041029e-06,4.88234512341107e-06,1.89612109862395e-05,3.18642132035545e-05,6.31619696720889e-07,1.02747753476075e-06,9.37154483791899e-07,2.57495947292762e-07,0.000156819099285415,3.95054632769787e-07,9.58404001713407e-05,4.02856364686314e-07,2.72900494655913e-06,1.22179237724977e-06,4.60377157067326e-05,4.78344642236083e-05,2.73991806835496e-07,2.18485980568054e-05,6.2645681129988e-06,3.65789017414766e-07,3.79004982638257e-06,4.28214185925114e-06,2.14131886598257e-06,5.92613448539802e-07,1.27737797583048e-05,1.01537010617408e-05,4.427613283071e-05,2.06559721646344e-06,0.00660526570202107,8.06391989910084e-07,1.18704364507216e-05,1.12033868574024e-05,7.05844294177504e-06,2.25995655909871e-06,4.88331401718134e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25769249739504e-07,1.23113235523743e-05,1.85419821714977e-05,6.51227565542102e-05,1.61356082921218e-05,9.06076530788474e-08,1.80737510716634e-06,6.81476719145294e-06,2.68346670109327e-05,2.50146297289849e-05,5.80120931517139e-05,2.08177855429983e-05,2.11015998380117e-06,1.33892796511556e-06,6.08452810139522e-06,1.95859485571736e-06,4.26601406126004e-05,1.36021346623052e-06,-1733.76337423558,0
1,0.293710099553618,0.172944196559111,0.777537671511247,9.7,1.69803986611988,0.45076844763419,0.267503772195189,0.000362177699332102,1,0.788054104134089,0.927879936033225,0.568682297792375,0.95368549187554,0.983884844011949,0.857946697281548,0.957367215696506,0.980082576698227,0.301005313535121,0.986712122042209,0.915138070241821,0.967412494709368,0.991154765494977,0.928807888736127,0.846821941305706,0.987168060243155,0.974204598571487,0.97869118162608,0.775205150725364,0.979182469112729,0.835205028330756,7.41244952149322e-07,0.000366286523075655,1.92000055238508e-07,7.97092446660981e-05,3.19582302663489e-05,1.93348810276864e-06,2.58277432948814e-06,0.000264193232103157,3.31793881724793e-06,2.03955520780762e-05,9.88863464267844e-06,0.0114623568447471,4.25739602855975e-06,2.54717547758019e-06,7.74094203552432e-06,9.48263604176882e-06,6.96810479324866e-06,4.90364108146129e-07,1.76209115840712e-07,4.26511426509439e-05,6.36301140473077e-05,2.56530780918499e-06,6.58399870137216e-05,1.30061868612565e-06,1.4806672946282e-07,3.90553978109167e-06,1.81428093776313e-06,3.67198845812689e-05,4.078392951156e-05,8.01554388852312e-05,4.48559373886161e-05,2.79572158353038e-06,4.58054815526943e-06,1.97841954398544e-06,5.20214674237675e-05,6.75519412851944e-07,2.91311760392424e-07,7.99827268029642e-07,5.2702350617813e-06,5.04639377852073e-07,4.19427964463663e-05,4.58602221081687e-07,1.44826893376325e-05,1.25906318287882e-05,3.71246086505224e-06,1.65760625056144e-05,3.79289247946027e-06,0.000193242071242135,8.84861414592859e-07,5.65264359329894e-05,4.64071209139914e-06,1.01666725996683e-06,3.00192431511939e-05,1.87880146671377e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71616032737381e-07,1.05313129219355e-05,7.02965591523787e-06,7.6512478214069e-07,7.55449992767904e-06,4.72241955000022e-07,9.73456066253237e-07,1.74554954392646e-06,5.63119701773298e-05,0.000149587458924395,1.62585501373412e-06,0.000206502211148541,1.15635727690734e-06,1.60595500794356e-06,4.75181375413587e-06,9.30434446908175e-05,2.59640943310504e-05,1.17768225531954e-06,-1734.08668985404,0
1,0.313958466294409,0.165696334502862,0.798130504048049,9.7,1.70383855712629,0.458038038640945,0.257597498347591,0.000294228486033473,1,0.550044422848359,0.949127669085401,0.588380246714004,0.943632829896665,0.877313763251598,0.983676006242094,0.961371699177088,0.970900321510629,0.909348948180628,0.981978192800608,0.993793165440346,0.865588433607747,0.912035236010214,0.649082478347054,0.944259937142019,0.838045767109364,0.97659089056042,0.983219336235769,0.143754140698998,0.9585411768649,0.989235240039778,4.59025967775277e-07,0.00032633635553728,3.29495121152559e-06,6.89549357252529e-05,8.73657113889577e-05,8.54780568837664e-08,1.27161997939683e-06,9.37007208554704e-05,5.51908195027119e-06,8.60973656380721e-07,6.49707772837564e-07,0.0139455500115391,1.03389231377137e-06,2.46836281101815e-06,5.46824914877996e-06,2.19685886523196e-07,1.45947248267249e-06,7.09729130373152e-07,2.85524797167613e-07,1.66678397572877e-06,1.52135127326351e-05,2.4962220208403e-06,4.73832609717587e-06,4.95769427229101e-07,3.43788731729855e-07,1.45765707521565e-05,3.51183696430986e-06,0.000107969930556562,2.12691479102405e-05,6.71180435101677e-05,2.12766066068303e-05,1.0926913244276e-06,4.84700649297484e-06,5.3563391478858e-06,4.86812528844277e-05,4.53367622660119e-07,9.5478922100008e-07,3.833739952897e-06,7.46634044502399e-05,5.84094506604293e-06,3.83675591367105e-06,2.36955113722386e-06,4.52969126895593e-06,4.59957578717678e-06,1.69256304058692e-06,6.34053832446305e-06,1.01252500789928e-05,0.000536427787611141,2.33111382766336e-06,7.76800634834851e-06,1.15339352987124e-06,3.22739545942282e-06,4.32921619212686e-05,1.32856978543602e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94266358174652e-08,3.72575070691087e-05,3.01623852984464e-06,1.40168328856208e-05,2.8588217470025e-06,4.67515293687766e-07,8.57341531405515e-07,4.96295287784608e-07,3.88918329492785e-05,5.16030194763724e-06,7.27536075977527e-07,8.37520072220831e-05,1.42036036626015e-06,1.51332058243504e-06,1.41609443362818e-06,3.22018755310381e-06,1.20744333723201e-06,1.58927954861773e-07,-1734.14327629407,0
1,0.310681456861584,0.160967395077929,0.811153189937563,9.7,1.88542006090092,0.458030810020432,0.272398645449244,0.000284366703507278,1,0.615374277780733,0.964486237648346,0.612554636223805,0.940602967924292,0.979480536516962,0.271485750293476,0.967869991976456,0.99162681452584,0.972023724626728,0.982736105091142,0.760872677218969,0.966019168480472,0.969359456199891,0.983055398205595,0.779823729978944,0.995829857825385,0.973731073534484,0.976541401839732,0.772041102925588,0.963840843844573,0.935871849180395,5.49413466657756e-08,0.000185333177346196,3.84603730025761e-06,5.61012504323657e-06,3.27675152150026e-05,5.83700261106127e-07,1.13144221423229e-06,9.77652861900695e-05,9.91755723632129e-06,6.66902379054093e-06,4.07840596380619e-06,0.00991691839547047,4.82550623486249e-05,8.07208422664346e-07,9.8275015884982e-06,4.2922645552295e-06,3.34986395637123e-06,1.32840757965869e-06,5.98590148217497e-07,5.7677758598042e-06,3.6731589811688e-06,3.07460431373418e-05,3.04029880716568e-05,1.14904527399857e-06,2.27155344266203e-07,9.88087998505385e-06,5.25089187937796e-06,0.000100929385578724,3.74626987046177e-06,3.74836235485235e-05,2.64510074152251e-07,3.1776542699014e-06,8.53985461727567e-07,1.90692865597277e-05,1.604064549231e-05,1.86130610988922e-07,4.30504693450495e-06,1.41840855263542e-06,3.33878368221148e-05,3.38956633656814e-05,2.05486593432781e-05,1.33634205473197e-05,7.64425498548009e-07,4.78013755897046e-05,1.4025196067726e-06,7.79384418493551e-06,2.43093678944362e-06,0.000531604444965586,3.00997788771941e-06,2.71702254253258e-06,1.66222142208885e-05,3.53791003951718e-05,3.45185258433854e-07,1.11330224890861e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60330812227762e-08,2.91817289607564e-05,1.13780338962632e-05,4.58828624740922e-06,2.10987346135634e-06,1.26760912857692e-07,2.24040285571829e-07,2.61718591564923e-07,1.97011600190454e-05,1.1304877469001e-05,3.7872400184596e-05,1.10104740351946e-05,5.11891469146519e-08,1.41634429097656e-06,4.10952408398548e-06,4.58211884966244e-07,2.75188074289846e-05,2.0379225156619e-07,-1734.95920375489,0
1,0.294339687223243,0.156988068375646,0.838107229111833,9.7,1.79764209906554,0.456473084576579,0.258853000234791,0.000362390204077305,1,0.840009963428649,0.973847636518707,0.566847365389653,0.979441511210728,0.738264626214163,0.988112070857447,0.946462508257882,0.975832571302826,0.903945154506692,0.990530070402625,0.957339063382059,0.974185704319247,0.964171391566367,0.980066302076857,0.970612441789601,0.991675853256878,0.988461814272954,0.994384613285452,0.957131897201184,0.895277526545854,0.955298246201568,3.45873011473595e-07,0.000277550911943121,2.49297090462071e-06,2.27070042568469e-06,5.19236127732106e-05,2.88471459699087e-07,6.10302667305117e-07,0.000255611143071723,3.18563556284555e-05,1.88118945772839e-06,8.24421505559722e-06,0.0125012049600596,7.03186574383951e-05,3.47065083750998e-06,4.88074236396298e-06,2.98208041785055e-07,3.60425820276968e-05,1.02065145095019e-06,5.52501981906629e-07,7.03336749796218e-06,4.10497968991267e-05,1.85836927277373e-05,1.85493619510308e-05,1.98917883130033e-07,3.79583129455929e-07,1.17372320528681e-05,1.25024504491908e-06,4.89284757771409e-05,3.85053855978939e-05,0.00015388452584608,6.0192586556328e-08,3.2492217239178e-07,4.46577611182024e-06,5.21995509102678e-05,3.34815156840435e-05,2.0366198599902e-07,1.34183114923332e-06,1.14757649571906e-07,4.29617242712674e-07,3.10983809708849e-06,5.44127072182085e-07,4.54787927804105e-06,5.56778595805646e-05,4.15078765462318e-05,1.41291240748773e-05,0.000260869755050536,1.19644699736315e-06,0.000452567778158354,2.29283782069327e-06,9.6879014923133e-06,5.09548083553354e-06,1.30932278483488e-06,6.8490875988615e-06,8.32520003224737e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75963656686472e-07,7.93589455663423e-07,1.89028172614632e-05,2.99955506567115e-05,3.57653886650705e-06,2.37821968757328e-07,3.78827670896068e-07,3.86087122718008e-07,2.44595517784794e-05,0.000123736252608817,1.52430374554621e-06,7.74191304849711e-05,1.89828561002853e-06,1.54696781236521e-06,6.79672260774886e-06,5.43652840025162e-06,8.23079961127735e-06,6.34147598254484e-07,-1735.20091017426,0
1,0.248780595426612,0.176328663917432,0.714586617298554,9.7,1.78549639085518,0.448078466947463,0.250913065020815,0.000315603496726816,1,0.472588796516382,0.973668629204478,0.594327871527543,0.963209062464555,0.989014535266569,0.372347208865751,0.94108101369561,0.996085569682887,0.921246252533785,0.901813760197861,0.959373014798955,0.950316969449944,0.848799004071773,0.943061911662077,0.827799978907101,0.948544558571456,0.865816426702,0.953013786841259,0.998040609066458,0.984316400112216,0.917140912494321,2.16907226204014e-06,0.000285934005029378,7.26468490014373e-07,2.9117398782224e-07,1.02993586673844e-05,8.99457312960699e-07,1.42716785402048e-06,0.000192456512353056,1.5335292282398e-05,2.52614914613115e-06,5.39402703994372e-06,0.0135288867046095,2.52611147757349e-05,2.98301932470924e-07,2.27399278646603e-06,2.78615947500078e-06,2.37693506762586e-06,1.66316744010474e-07,8.96755864359741e-07,1.64178543216781e-05,1.88179478804538e-05,3.02593293818132e-05,5.54535382554807e-05,5.53594911151992e-06,2.55539829392756e-07,6.66320180149701e-06,3.08802784503784e-07,3.08230410894575e-06,2.55549614016627e-05,3.25652848497323e-05,2.32127505953013e-05,7.58421433663225e-07,6.56761412784275e-06,3.60985031126839e-05,3.41202444709576e-05,6.10632125115783e-07,3.76902270432421e-06,1.38412970575692e-06,6.10268039941805e-07,5.09350701987423e-07,3.79143049587959e-05,2.75891017003447e-06,1.92734007472673e-05,4.84626921100897e-05,1.97062734647425e-05,0.000173416061395923,8.80175076455845e-07,0.00390528916410916,4.60884170457964e-06,9.21780065240802e-06,2.02760870458794e-05,1.43820111820399e-06,1.01991541757608e-05,2.05217494764777e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53859551141331e-07,6.90585314527444e-05,1.45884972993968e-07,1.04860828083224e-06,1.78091161961965e-05,1.0595571665445e-05,1.52784456867997e-08,1.36355260480935e-08,5.94068581898076e-05,0.000198019154999785,9.5963765292795e-07,4.47441699875297e-05,9.50450212904315e-07,2.02737291170263e-06,4.3093518125989e-06,4.81924832537834e-07,2.49292477993496e-05,7.41382935561373e-07,-1736.11774950503,0
