"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.249850957558121,0.163914527365978,0.717765377925859,9.7,1.84058664788218,0.455830719883252,0.256562796319276,0.00037698980711747,1,0.533702055048084,0.975601899021992,0.0695890201869225,0.929969906931435,0.9805093897438,0.411057540906934,0.777956879616696,0.959444299086234,0.961028083199346,0.984088158143771,0.901981763586873,0.982790323632332,0.924517038563467,0.902898790752003,0.803055393949361,0.758917807284984,0.97022867709293,0.990825053345923,0.840996317406245,0.924534727119832,0.989557745110792,4.56675360016219e-06,0.000335538704311592,1.6237663821853e-05,1.12572170533964e-05,0.000127529534445683,9.21615756094755e-06,3.02007288478428e-07,9.06650356328113e-05,7.78035502408668e-05,6.62000513880462e-06,5.55990142383057e-06,0.011633274135225,4.18845432767607e-05,3.99344660116494e-07,4.08798795406948e-05,6.23111526250479e-07,2.25003522310683e-06,5.89396819841996e-06,1.1250200036988e-07,2.32464197152734e-05,1.46404187351513e-05,9.32969004100233e-06,7.72477219389205e-06,5.86024364766059e-06,4.26368776868942e-07,1.1165628169307e-05,6.18427109606947e-07,6.58474383677238e-06,1.02398795127028e-05,1.50663952306748e-05,3.59452436964038e-06,3.79581125211253e-06,5.46409995846029e-07,1.56770112316598e-05,1.07204387453492e-05,4.81324931249564e-05,3.51114641221618e-06,1.10597934358421e-06,8.21932295879493e-08,2.61070704458005e-05,1.11983109559355e-05,1.58441035716651e-05,1.73893494404963e-05,3.46858126302631e-05,2.41497272750676e-05,0.000442160013888374,1.50871455476743e-06,0.000291185591021308,0.000191967094040616,4.1952479048946e-05,1.82703696333261e-05,5.86061881423201e-05,7.71318689219247e-06,0.000110910054974803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68074884557282e-07,7.37398328207395e-06,6.73689290126215e-06,3.16556715497909e-05,5.73111180890525e-06,1.54877903691017e-06,1.94027792392405e-07,1.36699843872294e-05,1.52106709800784e-06,0.000187062903965972,1.75732715996241e-05,5.53726282678128e-05,8.1399695236651e-06,3.26546069853498e-06,2.59210845420139e-06,6.16734765184341e-05,6.4404250832982e-05,0.000372865368077516,-1740.13235285886,0
1,0.271525722013563,0.166444488280332,0.737383479402254,9.7,1.61928244976523,0.458794795807521,0.264290849752453,0.000304539173399891,1,0.658558804356523,0.955290704936079,0.0807497974154293,0.949720368679094,0.992009540571157,0.898567703287123,0.70534996422042,0.815030082491152,0.986666470982606,0.964308585428194,0.904878659393676,0.733845270146805,0.997588851507411,0.938341542466562,0.835903927006654,0.589861214470323,0.70752807326452,0.864581686815559,0.46021047235291,0.945866479454148,0.856662666363708,3.19365656364301e-06,6.20900401497174e-05,3.72267072108739e-06,2.32506959150515e-05,0.000112167137339129,1.56301274628302e-05,4.53903695003087e-07,5.4291904462915e-05,9.61379189146895e-06,2.61382476095606e-07,1.79112531305266e-05,0.0138743562374483,1.94088616951986e-05,2.27780339053093e-06,1.60088385599463e-05,9.23340191916338e-07,1.52715735498535e-06,2.62755040232745e-06,2.12981659894075e-06,1.09705829618958e-05,2.86508790938442e-05,1.55952669046219e-05,7.88803557364432e-06,4.51876346070383e-07,4.51289534993387e-08,2.38159768118605e-05,2.48507268306879e-07,0.00012148913219787,2.11984732290412e-05,0.000118202839624352,2.14668565921463e-05,1.07140718931089e-07,4.8499378051513e-06,1.63731604153035e-06,4.83788954585239e-05,6.09486198750134e-05,2.61037309378374e-06,1.67085406280001e-05,2.23745035375469e-05,3.37011170357028e-05,0.000243505250008807,2.12205384846253e-06,5.43239259241294e-05,2.88528155349712e-05,2.13489402429739e-05,0.00122255395726342,6.18309230109372e-06,0.000596849478928707,2.88580769568163e-06,9.37538278073677e-06,7.48580537444031e-06,0.000256967591174065,3.3484211664952e-05,3.05625273938628e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79775772586599e-08,0.000377654887670974,7.8910247303822e-05,1.76557231460551e-05,2.59491065662669e-05,3.73491858777131e-06,2.90463780406107e-07,3.43449981547996e-05,5.14308835473021e-05,8.37648396402446e-05,1.64910376629086e-05,0.00011002363636557,5.02075534324254e-07,2.61355842974455e-07,3.2303513942436e-07,5.64203167506753e-05,4.46843387345128e-05,0.00038201047539441,-1741.36045643857,0
1,0.307597382066371,0.156449894173263,0.749581358285728,9.7,1.64689979380491,0.449312258173893,0.260635414942223,0.000343102156554507,1,0.647111759076328,0.982451673941983,0.0676372216152639,0.977357687775462,0.85135652500957,0.801031985320816,0.960597303483626,0.951304030605925,0.972438744256491,0.796658681700411,0.610709053265935,0.889562783181823,0.9221323954042,0.959673142630415,0.607134515926554,0.756127770248807,0.997049377335384,0.95316455500177,0.363930313574818,0.775576802714146,0.839894578199183,5.8630580601065e-06,0.000129960247513076,5.22545541507359e-07,2.65470892756296e-05,3.62134755216699e-05,1.3302893692183e-06,7.84623253117962e-07,9.66997244440634e-06,5.24852215320372e-05,5.88682694367964e-07,2.02105032445873e-06,0.00878608349945561,4.86900448507606e-05,1.68755716381793e-06,2.11010345774272e-05,4.61886811379387e-06,8.44657256085028e-06,2.65223017299846e-05,8.87023792551856e-08,1.10080534021267e-05,4.82823503632789e-05,1.03712994820212e-05,4.96468374569989e-05,7.5874754860715e-06,1.49409635291901e-07,4.72731747093298e-06,6.63155354982159e-06,0.000140728310667225,3.31200466662276e-05,0.000101815151636895,1.15109702602379e-06,7.4546600345654e-07,2.67474470588004e-06,7.40505020197222e-06,3.07660058620093e-05,0.000136721442096351,2.18354990221545e-06,3.16606884930182e-06,3.37887536689962e-06,6.91730885038542e-06,0.000157217670790663,5.18197040162174e-06,2.41254792920911e-05,1.77786405729315e-06,2.08080356987786e-05,3.48942433197273e-06,1.18709740506023e-05,0.0258734971348046,0.000147440188755331,3.35165431485587e-06,1.40624510718645e-05,7.49827675419407e-05,7.12123090179188e-05,4.60109419552592e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32013957224974e-06,0.000252571938523305,1.81722927626117e-05,4.71524981074579e-05,1.4634178684916e-05,7.78023522319286e-06,5.5482308793954e-07,6.05840032704423e-05,1.63536960143064e-05,1.84699102692779e-06,1.80309616902424e-05,7.33479522512101e-05,1.69659385575103e-05,3.92955128888917e-06,3.53729545125215e-06,4.00581720355458e-05,2.75603617436446e-05,0.000233860694670716,-1742.20075161238,0
1,0.247784805820232,0.153816801891297,0.808354393538761,9.7,1.53049467749971,0.46050356297124,0.266254402889664,0.000358627648543905,1,0.608283033541875,0.97102938876877,0.0816563423119225,0.98953138757197,0.768422331569954,0.934705569712474,0.838021003743433,0.958078183045585,0.441237785977878,0.899596592123389,0.940734140412336,0.838947461812395,0.973787800021474,0.720061277895924,0.646683152425028,0.404671229905239,0.978355273940916,0.689904096328451,0.615672378355974,0.947893496636026,0.698127151464353,5.77979971951333e-06,0.000307017287423065,6.50097020588663e-06,6.41801142638517e-06,3.20145170248031e-05,2.27664401019615e-05,1.34307803027196e-06,0.00027212134150056,4.81548137720162e-07,1.35750860435185e-05,2.90076473555261e-06,0.00987243871586181,1.81789466144408e-05,4.17926126437921e-06,2.4319033781699e-05,9.79458365998891e-07,8.19775714374597e-06,3.32770979141256e-06,3.06832008125754e-07,4.27598513519526e-05,3.33273071295387e-05,6.69563288019351e-06,7.48259332640526e-05,3.13756105836213e-06,1.51761952029049e-07,8.05484411624764e-06,7.57225896498875e-07,0.000109105061411215,3.36875239033307e-05,5.64774067579654e-05,1.34053115949702e-05,5.00656287049602e-06,6.21424533965832e-08,3.94749932597149e-05,7.66971391696348e-06,1.81600949065991e-05,1.01414202297388e-05,7.4491149103271e-06,6.08321022726982e-06,3.1278527567804e-05,3.23495489790657e-05,4.07347572125346e-06,5.88102697180313e-06,8.07834453852219e-06,2.78276177637278e-05,0.000487217059677027,4.58795265378332e-06,0.00398108146923388,1.05582092953312e-05,4.23103108536661e-05,0.00011340319663317,3.61929262203115e-05,7.84723223568635e-05,6.62172144434616e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69154925079188e-07,7.58086870095857e-07,0.000105736584072782,0.000114477616946638,1.19030470956015e-05,6.8417129558146e-06,9.40973584942319e-07,1.06803577220633e-05,7.63133937971302e-05,0.000111101595328057,7.70621404046614e-06,4.48126957593163e-05,3.49217674676507e-07,9.30876906697883e-07,2.3742480248811e-05,7.6723612522726e-05,0.000103798563883993,0.000352797012627762,-1742.2581913246,0
1,0.286934034440032,0.159145172545871,0.783308866660571,9.7,1.61059642001302,0.468377262969719,0.273045795050083,0.000298812904560402,1,0.49360669269112,0.955882808472363,0.0728140643992925,0.981796061543609,0.808769835557317,0.993323393941149,0.910876406704447,0.98558532144611,0.962553184471428,0.745333091903999,0.868181812272218,0.405670988900078,0.919503471402932,0.540517571745497,0.616330861966904,0.982193033159015,0.978428250416286,0.670624878452853,0.251899581114156,0.966459797707549,0.930587857116128,1.17578035292103e-05,0.000117555577368894,1.59375413235158e-06,6.83360022839411e-06,8.87734508899413e-05,1.42864206793292e-05,8.39884333035102e-08,0.000247083803299166,2.68499297323867e-05,2.01758479756974e-05,8.4312358635633e-06,0.0087861982637857,4.72326366467147e-06,1.4675116225994e-06,3.53919860891583e-07,3.66115413152382e-05,3.85388998455721e-06,2.36947946381113e-05,7.22687433602112e-08,6.92068713247962e-05,6.63632307279054e-05,3.40436295081402e-05,2.72748323225389e-05,9.99146438745077e-06,9.82285186329777e-09,4.52858661417328e-06,2.79483372783717e-06,5.86116831442889e-05,1.25907172575695e-05,1.19659625582806e-05,3.62417932452958e-05,3.6525028019204e-06,5.66391286011544e-06,2.65976123031999e-06,4.17885620299687e-05,2.38169700854709e-05,6.58472864340333e-06,1.38156251297904e-06,1.15824468373315e-05,4.20047299665997e-06,0.000103887671696527,2.67435409952836e-05,0.000185867664996412,4.68201422928701e-06,0.000446230297158884,0.00156021911192335,2.72778338285097e-05,0.000123685300519902,1.0171332032099e-05,0.000137884990495793,1.03368703712768e-05,0.000784061346567271,0.000114937681781854,9.5338335679576e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48739096609751e-07,0.000169903804333034,4.10638837197169e-06,8.56223299342764e-06,1.81748468662093e-05,4.32064831725739e-07,1.7961655446699e-07,2.45541148062981e-05,3.86152139824963e-06,0.00010112932673349,9.94834061880389e-06,5.84295839642076e-05,3.78415530778846e-07,1.69092103395288e-07,5.2281252584468e-06,5.03645620147078e-06,2.55296557441544e-05,0.000598911139520731,-1742.53050919348,0
1,0.247539205623666,0.167799910548364,0.750738525341273,9.7,1.59551809279484,0.471424937985221,0.261430115208093,0.000293600405859401,1,0.563907572228435,0.941273838247674,0.108828470980921,0.983858694728674,0.906070541684796,0.72167299775737,0.828273231792978,0.995018150236172,0.986036285708557,0.469200004770124,0.980681248102902,0.871108704845094,0.973542750995843,0.935796244985852,0.950645078262922,0.957976658071921,0.812720244619737,0.965014648803068,0.43604308475555,0.995459299300097,0.865677061306238,3.06721256553311e-06,0.000107500879090382,2.47790299691064e-05,2.66631107634848e-05,5.53716493977402e-05,2.6984500207803e-05,1.6122661187355e-07,0.000282962104423764,5.07013179338034e-05,3.24101995890425e-05,1.97552708611246e-06,0.0181311482254678,1.84448838432696e-05,1.68365089005723e-06,5.26149023146153e-06,5.29090610946921e-08,8.0724180103853e-07,2.06643015590964e-07,3.6855216819314e-07,9.10362600426428e-05,4.09579100448952e-05,3.49302452569908e-06,1.89067198392092e-05,4.3323354648468e-07,6.05250494209895e-08,9.10473408551985e-06,1.28015405493442e-05,0.000131178516293263,1.85641934633572e-05,3.7021092765486e-05,3.10433155444797e-05,9.32498561966654e-07,2.76114933183157e-06,3.08623302646862e-05,6.02097297243919e-05,5.58775637268406e-06,2.34498610170294e-05,4.50738632330683e-06,1.72575849090847e-06,5.3752188318041e-05,1.63860937298423e-06,2.09281839783528e-07,8.49347062731392e-06,5.5626745735133e-05,0.00253875880188052,6.3135131718367e-05,1.06434308575608e-06,0.000524537689884269,4.72520961545792e-07,1.55888143669372e-05,2.64369941240443e-05,2.99986515686619e-05,1.03267920512269e-05,0.000103982287278649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17471432189507e-07,0.000129498404577526,9.5019794248759e-06,5.39469977615031e-05,7.06540462437347e-05,2.41959113987935e-07,1.43504703288567e-07,4.08032706603725e-06,7.28061604364832e-06,1.83283654011683e-05,3.24590234039835e-05,3.26379925759484e-05,5.73315825534441e-06,1.37380470819858e-06,1.21983805409454e-05,7.14018424499462e-06,1.61939541542615e-05,0.000320737376700624,-1742.61973139108,0
1,0.246636894788813,0.145727160974047,0.778131311547378,9.7,1.53995232196982,0.446538100308815,0.266419166984418,0.000392403562396717,1,0.644735088696711,0.980093059016763,0.0603189552689422,0.971870313559502,0.873702588559592,0.633184126601561,0.500454020673744,0.949009203783154,0.965519724599242,0.567651875150753,0.611721080606067,0.974928850084411,0.982845269146662,0.988708007170518,0.823387598698756,0.984944536479774,0.994858764185425,0.887945264985319,0.427111054991594,0.642885014666809,0.965422140870576,1.50654789628724e-05,0.000262172018329284,1.93956379149384e-06,1.59818464997378e-05,9.68131895020655e-05,1.10478668077562e-05,1.99068761167223e-06,7.74714589332614e-05,3.12941048350333e-05,1.56959462170809e-05,2.40494522891747e-06,0.0134057610677027,6.92002729913207e-05,7.06316453974075e-06,2.18156635139906e-05,1.71471396405044e-05,6.8938904693684e-06,1.53995613463668e-05,2.01784531971669e-06,0.000109948253555003,8.0952250554474e-05,3.15263078354558e-05,3.62848036781629e-05,1.4532766508762e-05,1.52440689702432e-08,1.53353339105907e-05,3.54822290055574e-06,0.000160730619510337,5.73612907075672e-05,1.98539706431352e-05,2.56969647776648e-05,8.44617659989095e-07,6.43449096697974e-06,1.34296286610111e-05,4.84767230745348e-05,0.000293279181523627,7.6146602897675e-06,1.40334265886756e-05,6.0370843272561e-06,4.90266245113654e-06,0.00016858085440851,2.63959149841466e-05,2.87063070577908e-05,1.83331376509269e-06,8.94735352416498e-05,0.000350033699231254,1.36042031612184e-06,0.000156118247405663,1.24049105260812e-06,3.418221867796e-05,3.21923534914714e-06,7.70321160823455e-05,6.26875873116668e-05,4.7945001371975e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32992424322376e-06,4.58159424420327e-05,2.45543815157045e-06,1.7942579425206e-05,3.29078794019105e-05,2.57513364198719e-05,2.10842639627282e-06,2.95441931167011e-07,6.74661260753852e-05,6.76413706415105e-05,1.84404221561924e-06,0.00013438587235455,1.05331973234236e-06,9.23119197165539e-06,6.84067577479067e-06,7.48007296509509e-05,1.02211170275187e-05,0.000293302030634097,-1742.97559403992,0
1,0.302816041406986,0.147483008650467,0.735955627828798,9.7,1.51920011633034,0.467603138528,0.259307841213564,0.000305425372914509,1,0.724090503354902,0.951587786920107,0.0831663321880842,0.875533708523292,0.689341624571258,0.962299439105816,0.789882932371618,0.966573792576339,0.959539385934529,0.959131906429934,0.951766651616394,0.973653081005823,0.966998617332311,0.872119414050174,0.847686963199782,0.324051465156884,0.996061582716245,0.514618671183725,0.950245090901378,0.995694560637652,0.966982993070195,1.38005341102753e-06,2.94550783455799e-05,3.84858091866129e-05,2.30389883996572e-05,9.02523946831676e-05,7.32368452465164e-06,8.20911944902696e-07,0.000109085869384814,3.55503047759966e-05,2.80482436860153e-06,2.50019720459444e-06,0.0161621937149615,5.05568234824571e-06,2.86198301334555e-07,7.00748267940295e-06,2.29725894298466e-05,1.26683017014212e-05,6.62142780301055e-06,1.39590020997515e-07,4.26945818988024e-05,5.40265511271035e-05,2.1899784215739e-05,3.69414626000308e-05,7.37265206273466e-06,3.19310906892676e-07,2.04388506481648e-05,6.46904776141485e-07,0.000152581414730866,4.33622453844626e-05,1.14822452095699e-06,1.44628040069345e-05,1.14215373622811e-06,7.40070885196859e-06,3.72865135800686e-05,7.61451258390276e-05,2.49979939027531e-05,3.39749161537093e-06,6.72065960198073e-06,7.58804269196008e-07,5.67116900289506e-06,0.000200900860975039,0.000127330624404466,0.00011982406048719,1.90842035900313e-05,8.74159036708427e-07,0.0036166003278281,2.17800140898852e-06,0.0002949551510967,2.27246723334017e-05,6.85394887372096e-06,9.26710125071848e-05,2.35125919869592e-05,4.13806438849089e-05,3.5131053187406e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30818054226611e-06,0.000238458464433636,2.03861208614415e-05,1.97941466973141e-05,1.2540676772447e-05,1.8132083443925e-06,1.99834552878209e-07,1.17247798661956e-06,4.7472923706843e-05,5.98288344802933e-05,1.27170206985465e-05,7.12459224655658e-05,2.73770856276833e-06,2.8105982096779e-06,2.23469512158719e-06,8.349896409163e-05,1.38853430265994e-05,0.000538706028268087,-1742.98249578368,0
1,0.244949351152082,0.14972163373608,0.719000625756075,9.7,1.74579734381371,0.46062194989195,0.253468999160837,0.000314346095807419,1,0.458804524168667,0.988986543003969,0.0710109995757907,0.985572110670353,0.585824803420315,0.618004548662549,0.923238654069015,0.989137000539846,0.956028489860618,0.767560588434958,0.882799041588596,0.860145899871456,0.96698961694114,0.856720684539946,0.866899928009679,0.706042462722245,0.986457870832739,0.964875797213129,0.920371822853792,0.789364367946438,0.726337178393681,9.67187339833505e-06,7.34458002493461e-05,2.66351981914054e-06,1.07655669842773e-05,7.30062464793357e-05,5.05095844206368e-06,1.60422267378012e-07,0.00010238151169853,3.99361057919207e-05,1.01809431981827e-05,4.22405052776383e-06,0.0162129499025268,7.40928546802077e-06,8.95237110088965e-07,2.40452529603978e-05,2.88899410376954e-07,1.48836748525611e-05,1.23261123689998e-05,5.62948503269865e-08,3.70995185037962e-05,3.3712029533914e-05,6.84306000215913e-06,6.73247479188477e-06,6.07781777586383e-06,1.14887227378701e-07,1.15057112493025e-05,6.8935482076011e-06,6.47732299297791e-05,5.27812996580556e-06,1.35936228052826e-05,2.03789237879228e-05,4.92217270074865e-07,6.75935717529349e-07,3.00478187456464e-05,1.53366336162784e-05,5.96486893404064e-05,1.24139113010594e-06,8.46565938120856e-07,8.743978378316e-06,1.43696988238029e-05,0.000126332083281819,2.86880877765113e-05,3.73605007093072e-06,2.16123558453032e-05,0.000172698281895773,0.000645168790695781,1.32235509988756e-05,0.000467337858976642,3.96157103506715e-06,1.20329263239878e-05,1.83918856912728e-05,2.5497627859135e-05,1.26057367615324e-05,1.68716107017041e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02517328316823e-07,6.32673404021758e-05,2.33210276717011e-07,4.66822626233764e-05,6.94592975941792e-05,7.65795039844439e-06,2.08267473133998e-07,1.1653399460019e-05,2.49297811039273e-05,9.05117196458567e-05,3.47014769886712e-05,8.03175424432279e-06,5.63827380177806e-06,1.21832495624839e-06,1.3497390423759e-06,5.01150417030633e-05,3.72567011260128e-05,0.000339181585724032,-1743.5791307954,0
1,0.299635358960828,0.159146754180151,0.727164833137708,9.7,1.64859560727928,0.457115421609805,0.268407596334203,0.000315504693765212,1,0.713522623652684,0.959466623309733,0.07318707322847,0.99450231952335,0.962472398953156,0.359991096291527,0.979414979630173,0.991214058820616,0.975336374618955,0.940117554128068,0.79117953857954,0.969113194948661,0.729657733480154,0.963399140502387,0.933930894806667,0.885390622337087,0.975666892947091,0.647915461114715,0.983179628920202,0.918650590542561,0.952394917251876,2.7828284308827e-06,0.000434721623090473,1.04631201503521e-05,3.9980284082032e-05,5.97562922102736e-05,4.30847109785732e-06,1.79402204678703e-06,0.000225968085007443,1.1176193224525e-05,1.17677036133321e-06,5.04021951842647e-06,0.0142235079035794,3.56855597174882e-05,1.6736873765566e-06,1.67380608947446e-06,3.71272433083508e-06,5.95609898297059e-07,3.04246810176066e-05,7.5039788262099e-09,5.14584278367928e-06,2.55626978621807e-05,3.31291481296169e-05,6.04294848602596e-05,4.30072403420661e-06,2.91557603195043e-07,3.11539862832585e-06,1.96995519516259e-05,7.54599365329258e-05,4.52027680765504e-05,2.1590495906229e-05,2.9706243648222e-05,5.64863933853724e-07,7.3618349279706e-06,5.20980724512457e-05,6.35318326464634e-05,0.000184948941989017,3.14414619999175e-05,3.07261588045772e-05,3.60993154241169e-05,8.96545448397012e-07,2.93130242733026e-05,9.72480148191055e-05,0.000572452078155928,3.93276142524994e-07,0.000193698437904393,3.48361792547192e-05,9.3955078599116e-06,0.000730073403445871,3.3030005463347e-05,1.38229753062786e-06,4.40665067679739e-05,9.04512642501756e-05,3.23657238607559e-05,0.00010267263896089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14832425089617e-06,3.524755882735e-05,1.34993307880731e-06,8.78985705895765e-06,4.49976855090451e-06,1.03443264025085e-05,2.4275066671209e-06,7.84940285681924e-06,3.76431533438662e-05,7.5807978568313e-05,2.44622019955101e-06,8.28503626706548e-06,6.66645721324835e-07,6.24450901417461e-06,5.18280861601452e-06,7.57782520316998e-05,3.65236714830534e-05,0.000286028235186136,-1743.58164373845,0
