"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.241772387978036,0.164703404807645,0.722910887425678,9.7,1.66167559704732,0.467394073818094,0.26824714396772,0.000301837144838214,1,1.26554613735659,0.938192555643551,0.42949154527773,0.996874736303735,0.918052100180534,0.92544358668724,0.806438243287688,0.996574988760794,0.897080120609369,0.95418143848444,0.94715645328612,0.974869279057149,0.56916209055221,0.995253170362028,0.811564418514928,0.943978514549234,0.996644811340757,0.942848308643344,0.737402374401722,0.995678960062311,0.991610506782496,1.89805603275162e-06,0.000383209883893159,5.79199932548496e-06,2.5201831497258e-06,1.60225322158431e-05,2.30225424321171e-05,1.55905162714219e-06,0.000109476906781941,6.79308880660664e-05,3.78952918389129e-06,2.313002694942e-07,0.0158280908828084,1.72789436137845e-06,1.93565554644603e-06,3.35709215366757e-07,6.54302069480345e-05,1.21477096590325e-06,6.40026851930376e-06,5.61916152101667e-07,3.67410900544101e-07,5.78797471369697e-07,9.05064264965289e-05,0.000138586495767862,2.27224740749547e-06,2.8630143329571e-07,3.76727704785423e-05,4.6206335406017e-07,2.70991913235321e-05,2.10795939183419e-05,4.18837536399133e-05,2.07049609459586e-06,9.3501859956624e-07,2.33644524367999e-05,8.49399309285204e-07,4.29248892128919e-05,8.41342975540403e-07,0.000138618665393032,2.01192687339952e-05,1.90801854711615e-05,3.99449516360678e-07,2.34774186323421e-06,9.11638455231786e-06,3.49327980850198e-06,2.77171439979416e-05,6.20863823131299e-07,0.0001220709963215,1.71545348241056e-06,0.00103980146894322,4.81927533968776e-06,4.80942676810478e-06,4.86348771786559e-07,1.26605529962941e-06,8.04165696431349e-06,1.24591518793413e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93814070548832e-07,6.86979855012742e-05,5.95599417302255e-05,3.16252073120945e-06,1.33222799330466e-05,1.56434929232953e-07,2.69349713814621e-06,4.28677390680141e-07,2.43399872837803e-05,0.000126696790464022,4.33526707514044e-05,4.13148872635768e-06,7.15989516233313e-05,5.46458880074908e-06,3.27162024695737e-06,7.37605883588036e-05,8.70076566404331e-05,8.98814774066865e-07,-1741.67459433826,0
1,0.236471373787144,0.178414041947585,0.731439602717892,9.7,1.89950125203989,0.46178859958812,0.265903945017895,0.000340315135268649,1,0.657271211330399,0.993556506802263,0.416631759561016,0.841073082433254,0.928200035688554,0.951703946321145,0.994481366910219,0.998480880016609,0.793131964219192,0.920323563913788,0.988548238746615,0.956173118229098,0.910328987410788,0.944550285163009,0.882066390634237,0.652662634758084,0.995030847417028,0.989841718089108,0.995700283401176,0.997904274464048,0.999106801382652,7.31917089470216e-07,0.000327651495205402,8.90769972088621e-07,7.84155066416574e-06,7.58073032899684e-05,2.54818670174322e-06,1.53666860035855e-06,0.000239341385121716,1.25329866107654e-05,4.77076443162457e-06,8.15853534148877e-07,0.0127061582265688,1.03969963003875e-06,9.21598273428152e-07,2.22552006634961e-06,9.09665054511686e-07,2.7712988778297e-05,4.43006069043812e-07,2.02048927361898e-07,1.56968412537347e-06,1.88207274525193e-06,1.23450360512713e-07,3.00956589589682e-05,4.21323442044758e-07,7.90879380174425e-08,9.79082226446464e-06,5.45793726243333e-06,0.000101937821729187,2.21518395402892e-05,8.53551708713086e-05,2.99040010928556e-07,8.36387039908279e-07,1.20526014136564e-06,7.51961099772663e-07,1.27177991753198e-05,6.81311964258225e-07,9.71258092006026e-07,1.94743534890836e-07,1.89693282422333e-05,2.73861455151106e-07,6.23900887461467e-06,3.17235400219887e-06,2.45994942277315e-05,3.23893421764579e-07,1.46747711500506e-06,0.000204321384858334,9.15902956618299e-07,4.35266642048367e-05,1.51355919783574e-06,8.49520792613812e-06,8.87693816971144e-07,3.09462240181346e-06,1.40035944837987e-05,4.33558557595445e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29797631190523e-08,2.87862578443417e-06,6.20990755804618e-05,5.61897166862125e-05,2.27230520993533e-06,4.77210222823014e-07,1.96709659256517e-07,3.37053169974579e-07,3.41639703178434e-05,1.49656553812122e-05,7.12755280911508e-07,3.7927296750903e-05,3.36202609042217e-05,1.67927721432798e-07,1.59227045067757e-06,5.11737675222171e-05,3.61855797901215e-05,3.47550800856645e-06,-1744.26052347784,0
1,0.313426819541281,0.163858418028079,0.771673835798365,9.7,1.86614788584446,0.452295320191794,0.253618647042741,0.00037536135038683,1,0.866183855756285,0.988972148095814,0.380399121355906,0.969920219089359,0.952120111452697,0.980676916301508,0.972777374312048,0.993447055969467,0.994276103246262,0.993744154557145,0.954081823370037,0.967628413950774,0.939974893649753,0.994850007991611,0.896516113651501,0.991257594765185,0.961643236681194,0.928846677286692,0.979743665185236,0.976131444346434,0.893547555673868,7.60705420283245e-07,0.00031938228518653,6.74322814952474e-05,1.69145983407142e-06,1.99722161106242e-06,1.40743011560351e-05,8.56288682694078e-07,0.000108344036449523,3.05846784984149e-06,1.05787682806948e-06,3.009484338631e-06,0.0100811713756143,2.3922795866735e-05,6.03226109208779e-07,2.44277292042858e-06,4.26333235049728e-07,9.20655120144337e-06,2.52121018266555e-06,7.13192444903687e-08,3.15311861097778e-06,7.76363708542467e-06,3.91507577755502e-05,3.16941097282561e-05,8.48201474312376e-08,1.74551784854377e-07,1.18178159598453e-05,1.22601848358754e-06,7.2371161388888e-05,4.23188854890234e-05,2.58651141149162e-05,2.07082981016347e-05,2.06921270099423e-06,3.46596443529287e-06,6.24168811410342e-05,7.27809856743657e-06,5.20252322595507e-07,5.94010591582675e-06,5.48297182755736e-07,3.32759033531275e-07,9.77504599697109e-07,0.000241743755191607,4.61859857844972e-07,1.41026503896793e-06,1.73299365522554e-05,5.39597945156178e-06,3.59542920300553e-05,4.93218276147158e-06,0.000157980928557961,2.45292186276216e-07,4.12488116832078e-06,0.000221161163644301,9.57675112721523e-07,1.85733753961631e-05,1.28147349757145e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5195290878039e-08,2.52473797983265e-05,5.64960081245702e-07,6.63218015290661e-06,3.26922663783147e-05,1.6811346282777e-07,2.64639758593842e-07,6.77713932154972e-08,4.2796646592028e-05,7.50810758161253e-05,8.55048278672358e-08,0.000107386331325397,8.08418832719041e-06,7.01376695623201e-07,2.84517630486193e-06,1.33339676123127e-06,6.17132915864717e-05,1.36076545278862e-06,-1744.43028791865,0
1,0.297243002430881,0.14554270988294,0.767188951500256,9.7,1.82313294393672,0.444415213478907,0.252166383619061,0.000414510351245144,1,0.538366455567585,0.992816164091342,0.386227468978971,0.57589701850621,0.861655691329965,0.98119836707401,0.834328894157985,0.983943134845182,0.970787347291661,0.901772279260581,0.919951154804416,0.983027787624979,0.897644338835021,0.959129596156007,0.804403119895604,0.981824696189336,0.972899149493132,0.988185357163995,0.944242264259132,0.88778203476361,0.945552038615626,3.06154305218648e-06,0.000239426932166211,1.8141703959334e-06,4.22772958167519e-06,6.41840390021542e-06,9.1985956204848e-06,1.75045567476185e-06,0.000104450855459082,5.0794949675108e-05,3.64149954935491e-06,1.72571462214749e-05,0.0107049250139414,7.83473511879256e-05,1.14574037296229e-06,1.68200265838682e-06,3.48685852785008e-06,5.00071468030144e-07,2.02605453549689e-06,1.01461061834174e-07,4.90321069538327e-05,5.08923474363649e-05,2.50161112148235e-05,5.3333557849557e-05,5.50703362600359e-07,1.94999281222266e-07,8.30789424665729e-06,3.97992278407359e-07,7.67348448399925e-05,1.88298989657304e-06,2.60567111604538e-06,7.31174368608548e-07,6.50294983833447e-08,8.65781834008312e-06,4.937154372318e-05,1.89153743213277e-05,5.24967056862952e-07,4.31270102172258e-06,9.05321611410063e-08,6.03066957493006e-06,8.17935679466037e-06,5.56472815942336e-06,5.71133705008004e-07,3.45917958377001e-07,2.04871632887919e-06,4.37225968683383e-06,0.000312208133245819,1.91227705730518e-06,0.000223474686198847,3.44534847644479e-07,4.21301674188181e-05,1.25041944486356e-05,3.90235119938157e-06,3.9832564277577e-06,9.88361245683454e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22993031986982e-08,3.25019041752915e-06,1.30075655770119e-06,4.73247246543414e-06,1.63954511010136e-06,2.75838273097539e-06,1.1553170324174e-06,1.09354449580344e-06,2.0767629100025e-05,2.88671273894851e-05,1.58430596424974e-06,0.000178911599794562,4.32065750495469e-08,8.93164941538963e-07,3.23221462120552e-07,4.91388359405298e-06,4.37830801034059e-05,1.84496162035756e-06,-1745.11888203843,0
1,0.246831658770604,0.177503750122154,0.749822922354442,9.7,1.84766389461653,0.470454065794707,0.270374634564737,0.000355809940270045,1,0.585820977747439,0.980025603676071,0.411473520882796,0.967465170597867,0.728161301060925,0.901172815979307,0.984609821860166,0.987731437974851,0.769875434252126,0.711402833382248,0.964683072768953,0.968259521809314,0.583163032895661,0.971056422083688,0.885159497457466,0.935558594052341,0.986138919421254,0.907108990810978,0.799355867588027,0.974619065578701,0.99704431353007,1.51076555006647e-07,9.68261645677635e-06,4.23352004938691e-05,1.8904315006739e-06,2.92329559028156e-06,8.79284245197438e-06,5.19457359645176e-07,7.2319293823823e-05,1.91090322163814e-05,1.99386002619704e-06,3.61189242401815e-06,0.0110770420732887,1.81229650501053e-06,8.59712275212468e-07,8.4994379286264e-06,2.09728079233695e-05,2.54852158313569e-05,4.81748272288872e-06,1.86152298766144e-08,5.36256425003523e-06,1.06863656952425e-06,3.45656014708835e-05,4.97463743761732e-05,2.46915099470539e-06,7.49817910779844e-07,6.85595705693005e-06,2.02560872452081e-07,4.14680419044395e-05,4.5536037098904e-05,9.86623166774136e-06,2.70190049709409e-05,3.12966263822143e-07,2.19550701876193e-06,6.09319148834224e-07,8.98971212843089e-06,4.78609236407035e-07,3.24167858327962e-06,1.39596190260393e-05,8.3753553335072e-07,2.59398084599087e-07,2.33647460692571e-05,2.99107262890048e-05,7.67189862151907e-06,1.61749858660998e-06,4.76490569649315e-06,0.000826581459934456,4.78145243119191e-07,0.000200109787642164,5.31876648144418e-06,7.34526764487413e-07,9.52605744778033e-07,4.19533166151298e-07,2.14305551489565e-06,1.71622516209227e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38123782226793e-07,0.000231947021272896,2.86248248821392e-05,1.89467262320046e-06,3.0203459541742e-06,1.25312541598944e-06,1.67311707437917e-06,4.3833422488489e-07,3.42750509350712e-05,4.17558528098246e-05,9.72020718491138e-07,5.31783437575535e-05,1.77654885718355e-06,1.41354505020184e-06,2.73084248179188e-06,9.28381465992206e-05,4.69073101948859e-05,8.56843097653468e-07,-1745.57098090398,0
1,0.273850211230241,0.141199586159424,0.754653060762439,9.7,1.84004675225692,0.451737005091934,0.259538576714459,0.000383566595697479,1,0.963781161860045,0.9705833003398,0.384069558099855,0.981793949888863,0.996829841849626,0.381132214811645,0.989760895094352,0.997651091757269,0.848108805730938,0.93142918184477,0.998850562059819,0.974759244459887,0.831053189401922,0.978417749769129,0.877353154182272,0.971558458296681,0.986992231542017,0.981279797059811,0.796924683534799,0.890841737824544,0.869737506616674,8.65806726783802e-07,0.000362190907032795,5.27413776681502e-06,6.16406003540998e-05,8.01900430922891e-05,1.92727729613076e-05,8.55097044133726e-07,0.00010736801132952,1.71810599296767e-06,8.1015548321106e-05,6.28523025135694e-06,0.0128649899580429,7.72037763533762e-05,5.86446340241188e-06,2.318955040071e-05,0.000132689257734211,2.79266812494853e-06,4.37756876378831e-06,1.01662813255092e-07,5.1686715103043e-05,1.751792711349e-05,2.69116907584537e-05,2.30840220439817e-05,2.11811648777567e-06,6.49493582063046e-07,2.23495059192398e-05,1.21006394091282e-05,6.90073404788293e-05,3.47103788879603e-05,5.0966900904057e-05,1.02727215224722e-05,5.07308568943361e-07,8.02785685218672e-07,1.23663100670974e-06,5.94462083664077e-05,1.42744984917877e-06,9.68781039619419e-06,3.81618951193659e-07,1.44428096789113e-05,9.81409410004328e-07,4.09112434314196e-06,3.35258072160487e-06,3.27760357910337e-05,3.18129718397698e-06,8.99759730577011e-06,4.14385362240802e-06,1.08562815169043e-06,0.000558965807423741,9.26932760387741e-07,1.73728574987336e-06,1.07907879523667e-05,7.21157293641507e-06,0.000108772815807133,1.32680497464939e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00004040835452e-07,8.81084604616773e-07,1.99344673442134e-05,2.7273100494904e-07,3.55064233296449e-05,9.82077061966055e-07,4.51610613685191e-07,1.29228242091076e-07,5.12385065895202e-05,4.99353019904593e-05,2.37906702940711e-05,1.84718157649507e-05,2.97967937473294e-07,3.2018482973875e-06,4.21906445388109e-06,7.34443593037637e-07,2.23643212475739e-05,1.7258211703804e-07,-1746.09517316668,0
1,0.300929152772722,0.146606372080297,0.823851991641991,9.7,1.82831210328541,0.451260318897102,0.271108845732706,0.000409200257440713,1,0.521000798997905,0.98866946757913,0.379834317979534,0.967386259475813,0.93954967775019,0.982465457285661,0.939132823088206,0.980286214790699,0.977943782663541,0.978242029685065,0.988400492275378,0.965568976532465,0.510806272175824,0.998021457111586,0.944994210400284,0.782919433904672,0.9836825015083,0.912490166433224,0.479934705042751,0.942589471451871,0.99207495399338,6.62783147603124e-07,0.000401250610772112,1.53057906320309e-06,3.24275346349188e-06,1.35106726568615e-05,1.53058153733827e-06,1.10238849557766e-06,8.82697044623645e-05,3.37758534458698e-05,1.17346442817775e-05,6.72817757883374e-05,0.00944330563566189,6.202293780049e-05,1.1050109522582e-06,1.12686256685952e-06,4.4878443636402e-06,2.00920820755888e-05,3.12299882318887e-07,1.03681072878657e-07,5.1744335210211e-06,1.83778864469646e-06,2.89988420323981e-05,4.15682622104886e-05,3.72531740706366e-07,1.20145476769623e-07,7.59589998793933e-06,1.70861899756534e-06,1.52559246805327e-05,3.37840286828404e-06,7.93384513914049e-05,3.37417959148677e-07,2.26840354973196e-06,7.75008965277207e-07,3.00559483455154e-05,3.24318772777083e-05,1.32594398448833e-06,1.70524573254875e-06,4.1367805272759e-07,1.03226641745604e-06,3.99202094012761e-06,3.68998455096023e-05,2.80482075199182e-06,2.23432164529344e-07,5.74949321830673e-06,7.38252354475974e-06,1.92052612721439e-05,3.77665535491599e-07,0.00661697837845093,1.99749835069246e-05,1.65666066300378e-05,3.87762327253797e-07,1.97032716210645e-06,7.3828986300144e-06,9.45497864997885e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45290059687192e-07,1.05327671544146e-06,9.54405946736788e-05,8.70046984690701e-06,8.57746119948688e-06,1.8275498506694e-05,9.96817622529495e-07,4.06798218686961e-07,2.5676532586953e-05,6.04914983984244e-05,4.5915328164367e-06,0.000114819592832445,4.43636075963493e-07,3.19206671876602e-06,1.65462443111074e-05,3.46378149166197e-06,1.09754419992017e-05,1.82764357150538e-06,-1746.35599097147,0
1,0.285317277028557,0.160691628882295,0.758828967954772,9.7,1.81104478994409,0.4583022026695,0.277556439270605,0.000302003479492168,1,1.17426365050352,0.963104172008008,0.402846827652367,0.864308363810226,0.990608407689095,0.941987736506729,0.91232224720322,0.979434214810359,0.996583624363222,0.961808171857615,0.990701365327578,0.972922450120046,0.987841139990902,0.9913408490148,0.911564947264484,0.926328131899759,0.978932012286704,0.80552520047761,0.71376034305653,0.827119366524796,0.986653692707351,8.51595752910573e-07,9.54764709494043e-05,2.2166649464412e-06,4.51524342105505e-07,4.36039966693722e-05,8.47224768623769e-08,1.78065975602744e-07,0.000103253474170084,6.85595573562186e-05,6.53226020691426e-07,4.65982060304228e-07,0.012089883194586,1.0712912089275e-06,3.30218550009756e-07,4.90312583438155e-06,7.70324326912755e-06,3.12632064718432e-05,4.72735128806989e-06,1.56737580950171e-07,1.16957292363252e-06,0.000120196128288609,7.70801252954623e-05,5.07104733180341e-05,2.72617469234765e-06,3.66995350491912e-07,2.34019285746468e-05,2.86875986874894e-06,0.000116530876189107,7.85977928243719e-05,0.00019104597021375,5.90432252797906e-05,1.89156709548155e-06,9.10342321527925e-06,3.17934898205435e-07,2.15220465881444e-05,1.4292340963065e-06,1.07686194126522e-06,2.90598842650448e-06,2.23321146215898e-06,6.44736884813431e-06,2.7003176236487e-05,5.45558529416765e-06,1.96300688874715e-06,5.24356223613236e-06,3.40569400530897e-06,9.35237572058463e-05,1.24061781109155e-05,0.00243076024478239,1.82837600691e-06,4.04601126162644e-06,2.02406974270131e-05,1.46570336080195e-05,2.47016579046506e-05,1.20745515765135e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50334005524063e-06,0.000214246963630726,5.56985071177148e-07,4.30597919106496e-06,4.20062616985778e-06,3.246823695835e-07,1.4412562561116e-06,8.25628411612378e-07,6.13086608481466e-06,0.000117564193315016,3.43402135178654e-06,8.61675251090861e-05,5.98969146478212e-06,2.50975429809322e-06,5.86001070644763e-06,6.773494021436e-05,4.09992158780228e-05,3.15069351719507e-07,-1746.45041522586,0
1,0.238461193207432,0.156734811032599,0.749847589882232,9.7,1.70429964243519,0.468796891815754,0.247809324906844,0.000357477774341009,1,0.816023226600067,0.935263226553992,0.414100642862046,0.982278633733626,0.824482141706776,0.560887856715681,0.975348772024998,0.981319296790029,0.977024697078083,0.992360215235219,0.958982555535775,0.792367224849765,0.916873509255828,0.98894240654913,0.832741442928876,0.98533592738463,0.98798078004716,0.960898383745059,0.878549772038994,0.935947890966685,0.914300672519762,1.09391674730097e-07,0.00011182998280299,2.50563824923664e-06,4.62144094986718e-07,0.000133892012323548,1.00030560408578e-07,1.57343661644617e-06,0.000115588844870199,5.10199217761501e-05,5.08934488882743e-06,4.40403827608978e-07,0.0165835967673184,2.73149594136082e-07,4.66960742465215e-06,6.42994938061203e-06,2.24799994886932e-06,7.1800607859811e-07,1.53985322323723e-06,3.38717573733494e-07,9.57612058546991e-05,3.29320740341837e-05,5.8433044204788e-05,3.2792355657613e-06,1.46599765151479e-05,9.57533918077604e-07,2.35538010072085e-05,2.64155192456592e-06,3.49197741335645e-05,4.40062132785698e-05,5.23203596708778e-05,5.28822456518519e-05,1.39221631479833e-06,3.08606106475003e-06,4.39084628074365e-05,5.70955746991209e-05,2.17707701711622e-06,2.76500512591133e-07,1.18480697290342e-05,2.67812294286705e-06,5.42923675987848e-06,1.54075056826184e-05,1.21157563445078e-06,1.05127128148702e-06,5.93796569710945e-06,3.35863398410732e-05,2.74462036612594e-05,1.05224339855947e-06,1.11434132738433e-05,1.59654637227727e-06,3.58376321814908e-06,1.18186450071203e-06,8.34601244941788e-06,5.97084405752973e-06,6.75059021281027e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.12080251052218e-08,6.33125278418451e-05,1.86328553794549e-05,3.21251604854261e-06,1.14596557861074e-05,1.80909702388239e-07,1.06485344971362e-06,1.00130776216582e-05,8.17889656659012e-06,0.000176959153893275,2.600715932829e-06,1.20802758087349e-05,1.68398256529399e-06,1.80252599855328e-06,1.885192097349e-07,2.39058826188671e-06,2.41723033232097e-05,2.36793221388141e-06,-1748.05789794273,0
1,0.304706512040563,0.153558705822771,0.789611353003805,9.7,1.45686691708807,0.461063945622804,0.27455771711282,0.000262948699887563,1,0.995950371464003,0.976124701224195,0.398429456118171,0.966350947050516,0.984571574404905,0.971744531584523,0.857469950521194,0.998749400039197,0.98558653026183,0.996958845361419,0.990273960086586,0.96590678053838,0.851439450396883,0.989377464818151,0.42904882064164,0.194440806725273,0.985196433115957,0.839889942940814,0.474130349695402,0.686734482327625,0.986485562716883,7.06133386737011e-07,0.000565873510135017,5.43705555942571e-06,0.000102378966740836,5.10217906624211e-05,1.02597989468646e-06,3.22377227403158e-06,2.53991426516025e-05,3.49322662754035e-06,1.08022861284415e-05,3.63210609654226e-07,0.00834283296715964,4.25489512857005e-07,4.67746907266413e-06,1.50335629862578e-05,9.38646873259062e-05,2.64997648996049e-06,2.55905233262849e-06,2.55029211638529e-07,7.06269064278373e-06,5.1900209132288e-05,1.50509610461623e-07,8.01696399608901e-05,2.08068725462545e-07,7.95230457587349e-08,0.000152060792091175,1.93389914535819e-07,0.00011198192654069,9.80794918611587e-05,8.06603954360288e-05,1.61814116622669e-05,3.88903164015913e-06,1.16646758139157e-05,2.44359490327365e-07,1.42137721310466e-05,1.52438115417953e-06,4.240100190579e-06,7.4489149270941e-07,1.09351713459474e-06,1.09265175995342e-06,0.000103141117487862,7.59100730947225e-06,2.47168805760403e-06,8.39962325433246e-07,3.0490693181268e-06,5.01675090224531e-05,2.7045995715425e-05,0.0027762811688451,5.97604250076044e-06,1.73345623873984e-05,2.7911236532748e-05,4.90845439623352e-07,5.42413003946826e-05,3.17078601536597e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06700479181908e-07,4.37309501879756e-07,3.77117529450476e-05,5.70878304056185e-06,8.10719044277636e-06,8.38352906612431e-06,1.71747694603747e-06,1.47986879202607e-06,8.81586581150603e-05,0.00014624003473008,6.8538469911948e-07,3.97629344126938e-05,1.15303841599276e-06,6.05822956658191e-06,2.79528638373706e-06,4.62562313710937e-07,7.58325320159313e-05,3.86967973199272e-06,-1749.4182873625,0
