"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.234645731251342,0.178667559613204,0.744743025233663,9.7,1.80468460005454,0.459773531663795,0.247252839184691,0.000395844198857215,1,0.451849187579475,0.976517287140953,0.509189806922964,0.928694529602533,0.977110134770436,0.917389925799255,0.834075620126439,0.995033675157129,0.988734662772878,0.97051576391776,0.991679232309235,0.995654059732877,0.612679179829038,0.925055132241542,0.951854475986047,0.994850396379028,0.996382039966618,0.933721633410323,0.923462976156612,0.980763533083273,0.995127276311748,8.26796586248059e-07,0.000285215000370413,1.68827144381054e-05,2.01196076675642e-07,8.61630057077574e-05,4.56169552660949e-08,1.29482008006e-06,8.05898476667919e-05,7.16244430093181e-06,1.77666861362257e-05,4.28976858639397e-06,0.0165127944853369,8.55331651791733e-06,1.3977231032307e-06,1.48428027898127e-05,2.48014857529371e-06,2.46000268065361e-05,5.1544342508716e-07,9.80884365986215e-08,3.96244758518919e-06,1.60398835616114e-05,3.02477289560262e-07,3.57691012754463e-06,4.95125118964279e-07,1.88382441363533e-08,7.76445805513123e-06,1.21876333450485e-05,3.46636412436991e-05,7.60753749645313e-06,1.32142413548264e-05,2.78688157927972e-07,1.87131156839442e-07,2.04225156286148e-06,1.59055709821594e-05,6.32190670474017e-06,3.70366267032328e-08,2.04766552754275e-06,1.33051481995022e-07,3.07040763545697e-07,6.96985680657661e-08,3.3411019355994e-05,3.63810095032179e-07,7.87080389686311e-06,3.52831595730366e-05,7.85596081605315e-06,0.000145149233760286,7.37608071748224e-07,0.0107140688581121,1.78601629214737e-06,2.37264581012346e-05,4.81013986907638e-05,2.92463829388986e-06,8.82842926998465e-06,1.86062068068974e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09154719864409e-07,1.71077288483816e-05,1.5177023194725e-06,4.34981444841657e-05,1.25998883036699e-05,3.76334316638589e-06,2.69967620435786e-06,4.22764944911065e-07,1.76674758564432e-05,2.90266013891423e-05,1.52518446076224e-05,7.7318519618624e-05,4.08576704873587e-05,3.6651911239399e-06,1.48979569660592e-07,1.87622044667364e-07,4.08700427980762e-05,3.27013293754021e-07,-1773.5303885336,0
1,0.309079878124318,0.140750294556244,0.748427877658874,9.7,1.82674773540935,0.468915108250571,0.268179634583154,0.00035173115335607,1,0.783381620410565,0.976145222552578,0.510083851381605,0.924491256244137,0.925996775028111,0.968739033600552,0.941386120792888,0.99645922451582,0.918624579337389,0.739962914039334,0.807164807927803,0.997494333715911,0.966697278877651,0.993839623263881,0.593761851066632,0.931858954138785,0.9683980671944,0.981039953037717,0.981106244887484,0.986437253187434,0.928087279681354,1.39142140960754e-07,3.6253354492127e-05,7.5888615530843e-06,7.08791723166506e-06,0.000114458560688298,6.70586733514746e-06,5.78534458716843e-07,0.000102206537667914,1.9816671221478e-05,1.98355912198674e-06,7.80667307504005e-08,0.00795040601518214,6.89973415501197e-05,6.27338164797558e-07,6.410725098277e-06,2.0796844595233e-07,2.49185383852409e-06,3.02341892329358e-07,1.15574136028609e-07,9.57389540894167e-06,4.34520262740409e-05,2.81809715523854e-05,4.1899022972716e-06,1.19970102785346e-07,2.38994589058501e-07,6.87582526878024e-06,1.93761502249525e-06,9.81488290433041e-05,9.70757311521928e-07,1.16128975569542e-05,1.99026539787127e-06,3.31623038005401e-06,1.14263846863079e-06,5.94124566216576e-05,7.03991122825113e-05,3.30440042456807e-07,8.78020103604961e-06,4.67551388048437e-07,7.53120761728721e-06,6.41719891245848e-07,3.75905393516103e-06,4.78150258390988e-07,3.17080614167824e-05,1.31207295078206e-06,2.13046427328871e-05,2.2954138863143e-05,1.69476887652072e-05,0.00051240494612766,3.23698207633923e-06,7.03492270738991e-07,3.93108993349665e-05,2.43757988682897e-05,0.000194299570233233,3.66387103089718e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65227216130106e-06,0.000251343435568351,1.63530656518168e-06,1.93680802906839e-05,7.20230339455328e-06,4.88390145878187e-08,2.8940391139454e-07,2.09317387503914e-07,3.77683800905313e-05,5.37988613967986e-05,5.13579789235733e-05,2.12556878691459e-05,4.20686690060007e-07,2.2049349648766e-06,7.57582241323298e-06,4.47797695639213e-05,5.17231223659504e-06,8.40039090780909e-07,-1773.75948248072,0
1,0.261835444087549,0.153294682117026,0.755365991255531,9.7,1.71744123851773,0.461403519354844,0.26678653100686,0.000373800998552796,1,0.692329163995211,0.99343669801,0.499371068381056,0.993459900604476,0.991801223828117,0.698418234354848,0.995404969055228,0.965674045146243,0.993338337342462,0.971874459855351,0.953228876913771,0.931779465723504,0.953003142827191,0.998033907798054,0.828128501514373,0.358498123166812,0.994782739313015,0.960685364061021,0.944486314554894,0.913737774414666,0.812272455584983,6.31188356289305e-07,0.000141304732954295,5.10527352211152e-05,3.71258820200918e-06,0.000112904542708242,6.48561236949982e-07,2.00309706175496e-06,9.44798700995071e-05,3.99799070460301e-06,9.2537819433412e-06,5.34411995378259e-07,0.012985398506963,5.50076928786357e-08,4.9568566395817e-06,5.0801907771143e-07,1.57301542539432e-06,1.1054879215435e-06,6.44662290255573e-07,8.68013408493394e-08,8.52577306075963e-06,1.36417217305218e-05,6.20674014641213e-05,1.39113805105939e-05,7.5114072386221e-06,2.03898168097223e-07,2.11001621532481e-05,5.50510313017778e-07,0.000116873954130337,9.4616758656806e-06,3.62877503304153e-05,1.53318015040955e-05,6.83588344872389e-08,1.7446585574331e-06,3.5524167431628e-06,8.19407253625953e-06,3.30357049041428e-07,6.29137713054245e-07,1.03880660799666e-06,1.24563990747753e-06,7.72270252462069e-06,3.31594334882115e-05,4.1917615382791e-06,7.75050957326969e-06,6.73223898523195e-06,1.7765922885245e-06,1.06022171794662e-05,1.44354124644799e-06,0.000506374786133523,4.08149055152385e-05,3.10041352595308e-05,7.8582103845808e-07,3.24725409733692e-07,5.53015333485852e-07,7.48446815450495e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22947686515242e-06,0.0001898548494714,4.46082357988805e-06,1.54156392336317e-07,4.89759459881801e-06,3.32081129992908e-08,1.17747542751001e-06,4.38860426182357e-07,5.47370528376751e-05,1.74212309369538e-05,3.91314917942588e-05,3.09455868090132e-05,7.18060151919434e-07,1.85837751286248e-06,1.12479741245414e-05,0.000124374256465958,7.80255939421487e-05,5.96214930321938e-07,-1774.24017969578,0
1,0.239303617967754,0.171448752082538,0.767963544872117,9.7,1.64213721468963,0.455327490072613,0.261210280815828,0.000374079779352336,1,0.490654033526078,0.958496763652944,0.517606322775319,0.965011147019953,0.983024009826135,0.665909060160905,0.981101221624255,0.99555304666806,0.625320092142382,0.966217539298115,0.988042315239691,0.992501575507735,0.9811641332426,0.959121659763355,0.794608027068346,0.930944994091896,0.996988004920954,0.939659949207311,0.600334393204997,0.920275803389232,0.961899557375832,1.69104351103985e-06,0.000369209740760505,4.86137205275945e-06,2.71118698943924e-07,0.000148697835348293,1.64177772645578e-06,2.71811871512324e-06,0.000343338271827098,2.23862581984423e-05,6.11507181722876e-06,7.15277393173939e-07,0.0138009592680916,2.72156793326992e-06,1.56438121390423e-06,1.65113397283078e-05,7.51889005907896e-05,1.86967269756647e-07,7.60128734591961e-07,1.68422014157653e-07,1.28338953173899e-05,4.35256813754281e-05,3.534761820929e-05,3.23720380118457e-06,6.25216298664552e-06,3.42897838544961e-07,2.99069903692959e-06,1.04975857428059e-05,7.3207676417452e-05,2.57109823248079e-05,3.46705204256454e-05,3.23719709429692e-07,2.60371863415418e-06,9.5555535349499e-07,1.7173937247204e-06,2.86565464471757e-05,1.6750928223321e-07,1.77260701669101e-06,3.46067133354507e-06,0.00017240778321178,4.10116359525038e-05,3.72574018313003e-05,1.87236296918699e-05,1.41063437577623e-05,9.48838672416486e-06,9.34603416925892e-07,0.000302180651285043,2.48910430492346e-06,7.7141236559231e-05,3.60695579318688e-06,1.10243270799547e-05,5.7849785832985e-06,1.83050465126601e-06,1.97997563879586e-05,2.75137632903895e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5856042613781e-06,1.89572301750721e-05,2.39133863094387e-06,1.08690805805666e-05,5.97237776300344e-06,3.66460232196828e-07,1.49894768252812e-07,8.57393073066103e-07,3.49762507699331e-05,0.000103047477418827,3.51453881865606e-06,2.29060347340722e-05,6.80779489981521e-05,8.14708115451265e-07,9.3114702606528e-07,2.72141279451592e-06,4.82675286770667e-05,6.78421646156341e-07,-1775.39809163221,0
1,0.304369198457234,0.169925338525663,0.748915555631423,9.7,1.74906151105828,0.450950645378718,0.261306149062733,0.000306569197826149,1,0.515752942427168,0.936952139265964,0.509515705547023,0.982297874211117,0.907769281500141,0.858031287495665,0.975420606486923,0.996232855438317,0.999487043473127,0.963817354101265,0.985372679309528,0.95271955335425,0.814674596976975,0.967776969642538,0.825891991485893,0.430070081506112,0.977912415428507,0.941530717155672,0.958284004290408,0.988740155339865,0.984602290859052,1.48278053118475e-06,0.000352304606277728,9.88394082254574e-07,6.57410178405308e-05,5.55313691518092e-05,4.80468640771711e-06,8.09183382797992e-07,0.000107677711329736,1.13525046267452e-05,6.23836972152703e-07,3.17662749030954e-07,0.0124855916739058,1.50557969189815e-05,2.45141668785282e-06,1.4322359112963e-05,2.14908322484244e-06,3.72815777347186e-06,3.7119894745547e-07,1.22469676123912e-07,6.29506939371056e-06,6.20847804427863e-06,7.48120408486501e-06,1.60493134242232e-05,5.90597130873094e-06,1.25634183200237e-07,1.07036718363106e-05,8.06436027251036e-07,3.70980148838149e-05,1.48517402590371e-05,2.85898330423166e-05,6.82178605210932e-06,4.47154781974351e-07,1.95256411434388e-06,9.7338500648809e-07,3.31059478774116e-06,1.96520010609853e-07,4.92434194552012e-06,1.452348020032e-07,4.00870932097899e-06,9.50265382772446e-07,2.41877774404913e-06,6.7041265804245e-06,1.72811927566779e-05,6.98775098388576e-06,1.79626050659456e-05,0.000205738889560921,1.98110604270707e-06,8.29668960268606e-05,3.37675989942541e-06,6.40649345215756e-06,3.04420774445982e-06,1.4946702713707e-05,1.95934443912674e-05,5.28371338706296e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28512198570037e-07,7.96568319305041e-06,5.92763431740796e-05,2.1545438620899e-06,9.58863895742335e-06,6.96492978581162e-08,1.16287040013097e-06,7.42397394768074e-07,5.02414210236257e-05,0.000123759750378643,2.12927368518915e-05,3.99337290648348e-06,1.81716967829027e-06,2.92600046495072e-06,7.56240062757488e-07,2.50824256419671e-06,8.33798577222829e-05,2.37593050459066e-07,-1776.01074298007,0
1,0.279587060562754,0.167182645951733,0.736527619197992,9.7,1.79581601303229,0.450206417159188,0.277668296956206,0.000340424266734605,1,0.522230552181222,0.986649155242773,0.510349922910121,0.943206941348975,0.873807437631327,0.761059349248862,0.823157256443316,0.881644717599913,0.889529738943118,0.837710751863984,0.787696761023134,0.979238303394753,0.982088401842045,0.99432973889073,0.750488894994449,0.995861486555584,0.992163552330005,0.989410949713992,0.909542690064315,0.924187638849293,0.985942521337347,1.16822786181202e-06,0.000364215532446926,2.41781700540678e-06,7.78879665777791e-06,7.65767555771516e-05,7.2937148790846e-07,4.64917950039033e-06,0.000187124400504542,9.48291625569391e-06,2.53279785957749e-06,2.10394223352765e-06,0.0099778386286837,5.85526501016934e-06,5.30292975304889e-07,1.35682523153189e-05,1.20244575040722e-06,2.2048717019765e-05,4.80413455679186e-08,4.32969032033018e-07,9.2037337185193e-06,2.85639550476554e-05,2.17150603757521e-05,2.06734305541443e-05,3.94708990991243e-06,1.08445194632821e-07,8.73132962942424e-06,6.03328117447039e-06,9.52707623249947e-05,2.70694099770711e-05,3.65790511723177e-05,4.63941558302245e-07,3.50296717744238e-07,3.21924756969886e-06,1.54291178632497e-05,2.4369068329885e-05,1.96815070083491e-07,2.19592378707269e-06,2.53083875124194e-06,3.65518378003196e-06,9.53487658521362e-08,1.60855288436554e-06,1.038175636984e-06,1.37476481653946e-06,7.13008430080663e-06,1.12228460847877e-05,4.36345392122963e-05,8.84749135207224e-07,0.00196928275170379,1.94298702167128e-06,1.22994280441668e-05,4.0953593999976e-06,9.85521690419379e-07,7.7167452841792e-06,1.81822271355473e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97182438121556e-07,7.92152784925899e-06,1.36066078122934e-05,4.55534285489837e-06,8.32273438114337e-06,4.12975934123975e-06,2.15693212296395e-06,7.50901657574312e-07,4.20058031419246e-05,2.09470302205333e-05,1.05296887414033e-06,0.000136985569103189,5.87664869406636e-05,1.02018938441728e-06,1.25421643244593e-06,1.10670219341605e-06,2.47951086053705e-05,8.88208499551489e-07,-1776.28899947746,0
1,0.320963437805991,0.17791414290486,0.712218935652467,9.7,1.61374120734376,0.450666082317941,0.260868242641822,0.000246486631542962,1,0.741126518958687,0.982817931424171,0.504711522659207,0.991300350761702,0.961216763808782,0.248514877756994,0.769203519973904,0.997219386261533,0.988870873411933,0.84903868571607,0.940124914928296,0.90838340423556,0.966902067322195,0.998621416217492,0.785425745608116,0.716109477308308,0.977550706901088,0.984051217722932,0.841154550972562,0.915681626898214,0.953479828269549,4.94427674778889e-07,0.000438377192663343,8.45235527923294e-06,1.64385513407794e-05,2.68748159515932e-05,1.1362815116144e-06,9.69325259022454e-08,0.000262525705964624,4.07186999406393e-07,3.52983072060714e-07,3.06406729501886e-07,0.0131210393838355,5.38315979670736e-06,1.20424127852156e-06,8.95386089356634e-06,4.84860682983935e-06,5.40884440695964e-06,1.02344238420692e-07,3.59701134520179e-08,1.17833159720444e-05,2.13165768448931e-06,1.15670057407505e-05,5.43232924141721e-05,5.45591751041e-06,1.16790468476841e-07,3.57057209574222e-06,7.66751332973163e-06,0.000177807157306047,2.1144324816379e-06,4.99934172614366e-05,2.39653360776552e-06,2.40310721611356e-06,4.96634072154181e-06,3.70333527490509e-06,2.3090262363578e-05,2.62027290169299e-07,6.75481705394235e-06,5.76593580232037e-06,2.51059237095974e-06,3.03047862330789e-07,1.10739109309705e-05,9.81220851664295e-07,6.20484738729478e-06,7.75883231888696e-06,2.81481551958359e-06,4.48480137050182e-05,7.79798846915657e-07,0.000648294880332968,1.10627529564977e-06,3.80990383096708e-06,6.84302104130213e-06,5.20722303281603e-06,1.31752312570122e-06,2.15943178814614e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4034794610165e-07,4.51516021406126e-06,8.51263863943867e-06,2.8487744226747e-05,5.39338714214885e-07,1.22736379737899e-07,2.61767634370531e-07,7.21682095422155e-08,5.61286219112991e-05,1.79448918550291e-05,6.950987609017e-05,0.000188219724004213,3.25555667137309e-05,3.57618200319763e-06,2.30637118721047e-06,1.78984776601054e-05,3.90186022421515e-05,5.69817237854929e-07,-1776.45289680156,0
1,0.279826125365946,0.144386375368594,0.708975737735684,9.7,1.57894418189212,0.453404103574904,0.245578198234152,0.000347401800236015,1,0.563566529637713,0.951608460408983,0.524916672152993,0.956762092028915,0.97700022722886,0.782969747658452,0.91737966641599,0.93864545413888,0.964282877559876,0.96820415898144,0.964166948630873,0.985160605462553,0.916301219158405,0.984164205053332,0.878213312746679,0.665252068645566,0.929504422861351,0.998140021575641,0.988615371336968,0.991221909114592,0.842978880262906,4.2556590091627e-07,0.000399392701357444,1.37947916592935e-06,2.6832012536262e-06,0.000171663128888527,1.11842495753122e-06,2.20269435119797e-06,0.000391532151969055,3.35927276939623e-06,8.96383110754336e-07,7.62241229320196e-06,0.0186624801448295,6.6320705385173e-05,3.89941895869693e-07,7.39045026279425e-06,2.68824831130653e-07,2.11897441234854e-06,1.68550927038529e-07,3.56908872817197e-07,2.49368499892797e-05,1.17931733616212e-05,4.48942467664928e-05,4.75109540370712e-06,8.09155878322424e-06,2.53859810052672e-07,2.18285753829154e-06,6.80205665775234e-07,4.0114700072979e-05,1.96042599152696e-05,8.25914170033281e-05,2.82988633666234e-07,3.95153790271607e-07,7.74286954291396e-06,1.87452696589166e-06,4.85454882923498e-05,1.84879207762172e-07,6.25669880765309e-07,2.59280186924623e-07,3.67825786787084e-07,1.00592577138657e-06,2.58763598619435e-06,3.4635789060544e-06,2.93625092878924e-06,7.21878742367928e-07,9.56686399573026e-05,2.73472236450956e-05,3.22207508616969e-06,0.00201164570536784,1.25588101632297e-05,0.000239314132124847,4.7132349098057e-07,4.41520529997117e-06,1.70546784990483e-05,9.03513291354087e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04390321624067e-06,5.62095488359312e-06,8.3858580481091e-05,8.52954502953943e-07,6.94220828798304e-06,5.89052563999269e-07,1.20995010848179e-06,5.65278430270365e-06,8.30939434265617e-05,0.000189132374490269,3.27667381441792e-05,3.88973448235161e-05,5.09889054324831e-07,2.58235134974853e-06,3.10790864917552e-06,0.00012174791151801,4.34655967111511e-05,5.27074093782094e-07,-1776.77706294982,0
1,0.257127103299679,0.154835472522889,0.747365167864585,9.7,1.80269880784333,0.472624867000924,0.253943039600901,0.000308942686773352,1,1.22207853231922,0.987911961295901,0.523798826452446,0.967506420011065,0.988630268520345,0.816459103585578,0.825225494530492,0.992921724416419,0.993263800371838,0.960768599559082,0.99541658585901,0.740224370389299,0.976031515803669,0.962878348148444,0.903288932955108,0.661144317002845,0.995832057327615,0.725962639519131,0.277615225824451,0.980776660140699,0.971782124912059,1.51914738620974e-07,0.000346491998201191,1.78525480425489e-06,1.43736100806048e-05,0.000112892031443423,3.86962319312714e-06,1.20782535561916e-06,6.95325153445841e-05,1.12371508235934e-05,5.41449631337609e-06,4.49567162524828e-08,0.0151572215417378,2.15981265325807e-06,9.00968658341815e-07,3.15669434960357e-06,6.24768942709704e-07,5.34347912512555e-08,2.44596488309191e-07,5.77042603331057e-08,4.80976698777987e-06,7.63957505966445e-05,2.53201542184019e-05,2.57743388564009e-05,9.49842158236098e-08,2.69003081212711e-07,6.51387318314822e-05,1.13775146493046e-06,0.000105298477618515,5.20444676036171e-05,7.81348806684319e-05,1.56024184744806e-06,1.02948118463076e-06,1.92532747312797e-06,3.4055512154356e-07,7.5398641608138e-06,6.35373279147477e-07,2.97615344699895e-07,2.01170012760083e-07,2.10156434407036e-06,1.59996315557754e-05,4.16228536817926e-06,4.36021005356481e-06,4.33640136003811e-06,3.12802602426302e-06,1.34060121578589e-06,1.77718257816986e-05,5.18619457157587e-07,4.1779857421963e-05,8.10465964122701e-07,7.58120065716693e-07,3.33050641547417e-06,3.25356025855747e-06,2.28631366761559e-06,1.03956097709106e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14289544444636e-06,2.19788220474334e-05,5.15069309836863e-07,1.50546236202239e-05,5.8503305680257e-06,1.40063653673933e-06,6.68718499983305e-07,2.72533790359123e-05,3.20415396201285e-05,0.000105514565437019,2.48592732260522e-07,1.44340409925538e-05,3.70908930291238e-05,3.34771382709396e-06,4.44381893284002e-06,2.60284234818264e-05,8.33474025643042e-05,2.7423870707364e-07,-1776.78908236152,0
1,0.315118095233005,0.169958700931568,0.756704928763046,9.7,1.60990089670026,0.460658766606411,0.270143695218725,0.000271654610133943,1,1.03612162865032,0.960848449111973,0.503176139455208,0.973261665699651,0.956872557578077,0.836621439438228,0.994078923940343,0.997910471644811,0.864987640847871,0.929686663732024,0.988843551805756,0.628502994627076,0.98113934092867,0.980696590427479,0.861978757356383,0.986905433290327,0.99235241470876,0.964581532921118,0.911999362843182,0.903978136094566,0.980322473593916,2.81440513088247e-07,8.68218185246636e-05,3.81279351974839e-06,1.67266973180076e-06,9.78161521249177e-05,2.20598298892059e-06,1.63840492160994e-06,9.32990264509785e-05,1.53440337594292e-05,8.8895718796389e-06,2.00301561358639e-06,0.0147418907756518,7.67676673363719e-05,1.20334345851137e-06,1.31491980267342e-06,2.5317654505238e-06,1.0594775348011e-06,8.6254410791021e-07,2.7523104220064e-07,2.77711094342517e-05,1.84037528598874e-05,2.28232181407347e-06,3.93556721162069e-06,2.68482094985947e-07,3.40823487311597e-07,2.56115522658982e-05,5.93251634560125e-07,2.30232946000316e-05,5.76873231650819e-05,0.00026641734940551,1.59129061587596e-07,1.97130083774371e-06,2.94104377346163e-06,1.65393871891765e-05,1.24397503211052e-05,2.79891869579178e-07,2.82830092753094e-05,1.08099360286606e-06,5.14521861472768e-06,1.12017788275134e-06,8.81752014457371e-06,0.000248835217120883,5.64196659624373e-06,1.33142214624786e-05,9.31867867758905e-06,3.48222230596701e-05,3.69750527645358e-06,0.000169772690476977,5.76686198529288e-06,1.46504220404925e-06,5.22518504270892e-06,4.31796250403302e-07,2.68005056688602e-06,1.36873767732178e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84362325973448e-07,0.00025097392695918,1.40629286344875e-06,6.61290134696379e-05,1.18404607792962e-05,2.85590535967475e-08,2.82076576836312e-06,3.89445297620914e-07,2.48117433467044e-05,0.000208664818445794,9.69398065370189e-06,0.00011452162747982,2.0729238960319e-06,1.94652542156302e-06,1.11963043432152e-05,7.77441373207899e-07,7.88209239605837e-05,1.42290343012023e-07,-1777.05846395255,0
