"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.297685538211346,0.14078349502386,0.726482041907878,9.7,1.51801451275888,0.47055380505969,0.256624392552774,0.000268835969340028,1,0.720374108524734,0.977346254246456,0.550887916415883,0.985394226444465,0.997908759694,0.811855109697739,0.985325006276238,0.991602873803925,0.983181423450059,0.966725516159281,0.854833191869991,0.99348441512873,0.892675070878,0.994707976912738,0.837565233371268,0.977322488257808,0.99828811782587,0.929930350527446,0.996098775187185,0.988949872263426,0.97826422794167,2.04436669086969e-06,0.000303928556864338,7.39714959100825e-06,2.60985275567672e-07,0.000141832702728814,1.73081964975735e-06,1.95247957270936e-06,9.30832655252269e-05,1.20969177020217e-05,2.14179684108153e-05,7.76387469420645e-06,0.0185826285766851,2.98761495520734e-08,3.97810118825429e-06,9.84999310648721e-06,2.13286390038338e-06,2.00512073384677e-05,2.46691711287515e-07,1.00936121758915e-07,1.71469323386274e-06,6.01767641002295e-05,6.5949997096531e-05,1.94974734062162e-05,3.31504792641194e-07,2.57240311774372e-07,1.8051793495912e-05,8.46486039274868e-06,0.000153389989274869,3.76055951094864e-05,0.000124442274236372,1.15883525325153e-06,8.39577251506459e-07,9.12445077644755e-06,8.68919987083311e-06,7.44109563631373e-05,1.06055667450026e-06,2.66252942948459e-06,8.66449472336789e-07,1.35047994182607e-06,9.71209115464476e-06,8.41165606893026e-05,3.11706236965263e-06,1.51234857548484e-05,9.69708330444928e-06,7.54607788424964e-07,2.38047939701989e-05,1.46090997769341e-05,9.99743383924517e-05,0.000104663399730491,7.2803916703846e-06,1.29438228783027e-05,7.09431515161002e-06,6.79194094194035e-06,3.43508106073006e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19223322361802e-06,0.000189944187148534,4.09865242910896e-07,1.75231890990375e-06,1.31669788902055e-05,1.21806333272175e-05,1.54162583681544e-07,1.29354380250795e-06,5.57761069353426e-05,2.47677976673605e-05,5.92587493030802e-07,1.07172395565373e-05,7.36318379755466e-05,6.50932385240966e-07,2.76470756028863e-06,3.5146862075837e-05,9.47815932310146e-06,1.26305561123619e-07,-1763.48811842127,0
1,0.305704047363004,0.149635077416933,0.696460631699293,9.7,1.9022459800159,0.457408241845633,0.270637793291381,0.000328753994454477,1,0.791796752117219,0.973695476244375,0.530619639397975,0.943343308229695,0.997620893771053,0.929422789163499,0.9871650330832,0.997506227221564,0.99489018547135,0.931638002402078,0.980697104844073,0.991612782949411,0.97389089215956,0.897492043342954,0.917781197410806,0.402565634763559,0.995931843535404,0.866716553345862,0.987408122611825,0.998540669083584,0.954251247467812,7.79926085620827e-07,0.000368766151083671,3.02209607865958e-07,5.74469037988625e-06,2.57722456180246e-05,4.90543021556223e-06,1.08357466486107e-06,0.000123935926986583,3.82765580079593e-05,6.58744070223397e-06,2.83119183360877e-05,0.0119303886934377,8.52128337048312e-06,8.58244014494651e-07,8.26102973712231e-06,2.49752877078231e-07,6.68332878012148e-06,3.54308674183536e-07,2.27243788105529e-07,8.39658279010572e-06,7.24233071854906e-06,3.43102915522856e-05,5.08796545757855e-05,4.18597495524125e-06,3.19691672809042e-07,1.34524412424804e-05,1.69958557690102e-05,5.57825454965076e-05,1.57297661667648e-05,7.12042699694036e-05,2.07466506679712e-06,2.28640572900024e-06,9.89574852533482e-07,4.33021886718724e-06,3.75869669083896e-05,2.39211673102445e-07,1.92431875824347e-06,9.38353386357139e-07,1.23832719789843e-05,2.8843294802231e-05,9.75118786796455e-05,1.32419274341842e-06,7.90468268260743e-06,1.01634583404209e-06,1.93389876448977e-06,3.83020996725207e-05,3.73988230182119e-07,0.000366166446827005,4.76408983001594e-06,2.23985644421545e-06,4.95737088042153e-06,1.61845234157381e-06,3.56518949348554e-05,2.2052726620049e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23565159550565e-08,8.20403535747242e-06,6.21720427764913e-05,1.56308295735756e-05,1.59993723919828e-06,1.62216465061447e-06,1.05518444055455e-06,5.88057219368206e-07,4.80452390911218e-06,0.00012163536970848,4.72758520066231e-08,6.95443962413933e-05,1.36456876717482e-05,1.16663020226846e-06,5.00416893201694e-06,8.43122835427568e-05,3.24558743945923e-05,9.71455524301238e-07,-1764.05836458502,0
1,0.314034633811125,0.146398931200063,0.740392427065421,9.7,1.70520845603284,0.447748808372398,0.259375657517603,0.00040707683214663,1,1.1097959909978,0.993095350168902,0.508873587280911,0.960329091262052,0.945020930020836,0.977575056158469,0.96049540426243,0.954556324863198,0.923742875200399,0.992444317978973,0.890000967289888,0.964740779223593,0.966388522365159,0.992956941721646,0.963988173623114,0.870992911838937,0.931651158316515,0.976880882919138,0.925631115980701,0.964747064823487,0.919745333527349,4.69617274959531e-06,0.000409086383083316,2.50170580338829e-06,3.10812375122798e-05,1.40663894362127e-05,1.5353446183669e-06,1.37983141902413e-06,0.000101642440686167,1.96400985787825e-06,3.23857084917417e-06,3.09242586142814e-07,0.0137319080177467,3.12053019795053e-05,4.27862605756832e-06,1.67132121223981e-05,8.32584569876136e-07,5.06599891747288e-06,3.94604898221314e-08,8.20880977468635e-08,1.84904647077991e-06,9.95196028883057e-05,8.83184443443907e-06,2.44340307374585e-05,8.9957232725936e-06,2.99121158625358e-07,2.21563936586573e-05,3.72901422730861e-07,3.11970320511648e-05,6.79408707761114e-05,3.55153386127565e-05,3.16950671757405e-05,3.05827857223425e-06,1.86086029869627e-06,1.43323502196698e-06,2.05484169407332e-05,1.66420714959866e-06,3.76602575593042e-07,3.30435547663035e-06,6.93461984086362e-06,7.31994413459954e-06,4.46174923350981e-05,8.05589044056512e-06,9.67339268817885e-07,1.36910653222151e-05,2.6331639209582e-05,0.000125295810518431,2.16910794229229e-05,4.99370759078081e-05,1.54908452826017e-06,0.000113478964039424,9.28947336624685e-06,7.08661086615553e-06,8.29056221623391e-06,3.02153401731863e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6690230292803e-08,6.78957299245413e-06,4.18846788673241e-06,3.71629785536072e-05,7.54309726365925e-05,4.61924921566253e-06,1.29046266137699e-06,4.04137504152637e-06,5.90507608270434e-05,0.000160952506013297,3.36870813205318e-06,7.6189651671666e-05,1.46408013034183e-06,1.8257339598539e-06,2.17570446309325e-06,0.000120227936182389,7.26052944775993e-05,3.38122091811782e-07,-1765.32464489159,0
1,0.2355754061396,0.182225684134455,0.721147121353019,9.7,1.86627429709175,0.473229395103059,0.270026382320034,0.00028006933281119,1,1.04045859425655,0.97173088151425,0.550655804154411,0.988609335652522,0.998283401627777,0.877592124081664,0.999124097358827,0.987239629786709,0.985423259199603,0.93869873715547,0.932533395630576,0.964195139054849,0.985632552487882,0.991308025956818,0.939558451893571,0.982741339880086,0.896022341850906,0.958205761453823,0.695738993664154,0.867021066126716,0.950236420610185,1.88518901518436e-07,1.08259411450486e-06,5.13946173070943e-06,1.64748937308026e-06,9.6764922683444e-05,2.55979403675837e-07,1.44373799388411e-06,7.06702191139983e-05,4.19503221803442e-05,3.94035180507614e-06,4.13618641679534e-06,0.015587493144302,5.40908768177487e-07,4.3350850826174e-06,7.63339550492985e-06,3.10528363462656e-05,2.40075759679078e-05,6.12290978501598e-08,3.80295689048923e-07,3.19473371012054e-06,4.28401782710472e-05,6.98937031935902e-05,3.06938218881062e-05,2.76259923934631e-06,1.76983964706945e-07,2.08665624563649e-05,3.87686163379642e-07,2.08371464712528e-05,2.04331622530615e-05,5.92576604259071e-06,2.78942054551691e-06,3.67744423290366e-06,3.7848121738759e-06,1.05126739864093e-05,1.38945725009293e-05,6.986090903753e-07,3.13165540649271e-07,9.6578600301895e-07,1.22443372357377e-06,1.09797162289346e-06,2.32571228724219e-06,1.77693234782082e-05,3.01015896154301e-06,2.17588118157821e-05,2.19659253140526e-05,0.000229672289466938,2.04297225441986e-06,0.00722408913143057,9.93185307172634e-06,1.98916685954191e-06,1.58221317323432e-06,1.6088468172268e-05,2.43134673327485e-05,1.67543376257267e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04687658374951e-08,0.000160243682298669,3.00660312367034e-07,1.8528574824972e-07,3.56770662290128e-06,2.0829818918544e-07,1.54343322503838e-07,2.89239459377114e-07,2.14498013827455e-05,0.000195472127217942,3.39084300145787e-05,1.97093367939858e-06,5.31919187564446e-05,8.85984520738836e-07,2.19670466287635e-06,2.4279605191486e-06,3.92561904151676e-05,5.54532371802199e-08,-1765.83023176741,0
1,0.262198982650794,0.160148671104976,0.730432977066761,9.7,1.83037423600575,0.457256536597415,0.263902843329014,0.000352088948205231,1,1.22854877946602,0.95527711226398,0.543629729420378,0.986775001008428,0.987176414461691,0.789591441077036,0.953956081729639,0.98660042801618,0.644931580905787,0.929665110576582,0.964530338343642,0.897145725781311,0.975060517071467,0.980918406448001,0.777595950445776,0.966927451338317,0.976011716870231,0.989703083145187,0.755727933160157,0.984896190562539,0.993149214087105,1.98385609320137e-06,7.23313077751549e-06,2.39678479718646e-07,1.65776490687701e-06,0.000144521103092494,9.07469259360089e-06,9.03401950699964e-07,9.32610251551464e-06,1.31746623399502e-05,7.35279525015583e-06,4.16096494114784e-06,0.0118650151505202,1.04975648000453e-06,2.10095452401811e-06,2.63701821749288e-06,3.24095076455298e-06,2.77236596292185e-07,9.02891756490665e-08,5.76929528023992e-09,1.29681566630794e-05,8.36284171460252e-05,7.5430189244237e-05,7.6789079908231e-06,3.09564572116515e-07,3.46562370585766e-07,0.000140286743982912,4.2253374058966e-06,0.000191747334848648,3.80142805426648e-05,9.5474583647932e-05,5.33175473112065e-07,4.07969382603671e-06,7.27720390439371e-06,1.47450946562612e-07,3.59542154431337e-05,2.21913437696436e-07,2.70146726129803e-06,5.88027883326077e-06,3.60373514418624e-07,7.01574594462506e-06,9.23094472797737e-06,1.97149951378824e-05,9.19814915823031e-07,2.8814298100774e-05,2.38724654002864e-05,1.10930353205922e-06,4.89121193470213e-07,0.0112783449536603,7.39480041712769e-07,2.00907426802664e-05,3.25173823414534e-06,4.54123492385032e-06,2.28700981840411e-05,2.45537978222197e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02448965606298e-07,0.000271851859496753,3.32208946489654e-06,7.94440563638793e-07,3.26265734264865e-06,3.74823844439349e-07,2.55300258186618e-06,6.19063094948266e-07,4.27578460841275e-05,4.08396283469376e-05,1.22313538135378e-05,2.17870009116379e-05,5.90027272901537e-05,1.72625036197862e-06,6.79442448095338e-06,7.61403931898941e-05,6.71872571349748e-05,1.32811654729117e-06,-1766.27288663301,0
1,0.321938010055442,0.171275786817766,0.700708244826053,9.7,1.54077187343269,0.448966192642921,0.264993768923536,0.000248398576579386,1,0.872708658609552,0.951336840499706,0.541366222395,0.912765820890527,0.938220735625852,0.79466922059068,0.932168828247898,0.950508485109977,0.983893935205774,0.806427378140983,0.989156402191184,0.960841923039737,0.801518699481065,0.99514890746968,0.912842821443887,0.690312456029761,0.989902283764759,0.963057457629986,0.209539018573891,0.994599183743379,0.997888281206338,1.71297880858248e-06,0.000527792061003876,2.18967085506274e-06,6.98422419957861e-05,0.000105536316425127,6.6601954219921e-06,2.01710295119092e-06,0.000419857337923732,2.12168050336534e-05,3.04955607240608e-06,4.33652812867837e-07,0.0169584114055707,1.14990074969988e-05,3.39254689435151e-06,2.29368673815335e-05,8.2192711450361e-07,4.2914841390903e-06,2.13598978610821e-07,1.59691640280412e-06,1.37675104526356e-05,8.49932901820335e-05,6.0444795244662e-06,1.37495714159597e-05,1.54898031493787e-05,3.61572207460341e-07,2.10694462472397e-06,3.66358183104869e-07,7.76688306494694e-05,6.46785441730987e-05,0.000340742655721622,4.10654659041462e-05,1.73457525726497e-06,2.62832103617002e-06,2.53778222356478e-07,6.03584245923397e-05,7.21912940024624e-08,2.84871423392388e-05,3.62018449421775e-06,7.12458989343366e-06,3.57544173030774e-06,0.000200174787943718,1.44662597707442e-05,1.00863655100064e-05,3.3086572313311e-05,2.57286936000551e-05,0.000818195460974731,2.20909252706056e-07,3.97376774587027e-05,4.17584644548077e-07,3.76737473203287e-06,4.89959933822818e-05,3.60972302119098e-06,6.30300327113346e-05,1.66997062156715e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44558747899395e-07,4.90796972194593e-06,2.91864844799799e-06,1.6633518836231e-05,1.77238025137638e-05,2.53655022489971e-06,3.72229727419713e-07,7.42496427444668e-07,6.58654888603168e-05,0.000160103297450371,1.80113973893667e-06,1.63731424235051e-05,4.6252428608366e-07,3.7933238209994e-06,7.08111591153669e-06,2.6319462233297e-05,2.59023353779254e-05,8.23029437378713e-07,-1766.95914748728,0
1,0.23852569427965,0.182136188458443,0.707934382924864,9.7,1.73236605005754,0.474855045656236,0.272923262740729,0.000276400496863791,1,0.69942432401988,0.970799061778592,0.558833139646047,0.994878677829463,0.96052051208575,0.935968995330755,0.547826711559416,0.964732433225496,0.91982491591221,0.980013044020657,0.63551920512131,0.649657306005674,0.947659407525186,0.963750357607457,0.748418543997528,0.76219507318742,0.963870082282183,0.979957497602574,0.990836249734092,0.992058451299862,0.948022109654033,7.63037786000379e-07,0.000379849776316331,2.17704208465148e-05,1.75762263861117e-06,9.22510212980804e-05,8.7487421619177e-06,8.99135633621509e-07,0.000152670727965227,2.13418609400042e-05,4.5631098576954e-05,4.25759267008927e-07,0.0137962578241462,5.54563101709621e-05,1.94374613360263e-06,4.25357355200307e-06,4.00775757581912e-05,1.73123479670443e-05,2.20633117938291e-07,1.41947269103952e-07,5.48043465841506e-06,1.09231838458859e-05,2.75136363779943e-05,1.7843531956992e-05,3.07575494165077e-06,2.00831962863652e-07,8.07948296809242e-06,2.56077705753241e-07,4.86237483233684e-05,9.39752780930453e-06,9.73465592900828e-05,7.52313169471111e-08,1.16199946483199e-06,2.34311164986361e-06,2.09383962455961e-06,3.39653683600189e-06,4.04872807009997e-07,3.22721399893466e-07,1.52400545651532e-06,4.99013909157889e-06,1.22402344185123e-06,1.12110339751396e-05,8.72395211107481e-06,2.94822183980582e-06,2.39543576181154e-06,5.6230747009718e-06,4.59682330056083e-06,5.80904869850055e-07,0.000602078567788156,2.88825386756803e-06,7.29135782347859e-06,3.8485672789302e-06,1.22443363281062e-05,4.58343437870508e-06,4.04174347249575e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34708715379113e-07,6.84675090211029e-06,4.31262554795397e-06,2.35956446724682e-06,1.05400543170022e-06,4.68661843836286e-07,1.08021389065839e-06,4.33409734517175e-07,2.05004203551763e-05,0.000128204493741596,2.18137296483566e-05,4.78664054325939e-05,3.62868369211375e-06,3.40037086120263e-06,1.19079119297751e-06,1.08444885581607e-05,6.54868393124012e-05,1.56790277716675e-07,-1767.9675983451,0
1,0.285207565787832,0.182305820590864,0.764876030292377,9.7,1.80508327731703,0.456418390462549,0.26009219568986,0.000331130330288878,1,0.524666178791277,0.990725766893482,0.526422253837401,0.952826206782337,0.983880699132262,0.379423610889491,0.989093856549895,0.99723726446559,0.94927448126698,0.966624888632026,0.793410048662412,0.989541619159709,0.554766743147394,0.792875863740583,0.848096594615738,0.935836453557898,0.996711400718387,0.921378840640331,0.691096796520446,0.95916955808964,0.988444783595411,8.06901892267338e-07,5.4521365897201e-05,4.38492468312382e-06,1.51632322677245e-06,1.96216802788482e-05,8.61523461109139e-07,5.43839663680913e-06,7.01819478061735e-05,5.2149808498589e-06,9.07762970888697e-06,8.41694067071525e-07,0.0105578217751795,6.28616199241489e-07,2.92161320184272e-06,3.86640250559399e-06,9.06219783114035e-07,3.13028091979669e-06,4.95431108395967e-07,1.18051783590669e-07,2.5657480669598e-06,1.00187911208297e-05,2.85907807647079e-05,8.10117394380658e-06,3.19230043443149e-07,1.83220507678377e-07,7.92794384647737e-06,8.21154368007244e-07,3.59136784100343e-05,2.08228503799323e-05,2.07594331452851e-05,2.62208041353837e-05,3.73403239992469e-07,3.82158040922563e-06,2.10490497274425e-05,3.1471640155781e-05,4.72114294897907e-08,2.60756277632904e-05,1.25162869199536e-07,6.12157917321085e-07,3.27713057664667e-06,4.70995789411958e-05,2.15282358216921e-06,5.45036224346672e-06,1.62592272390568e-06,3.41322228596666e-05,2.33370338590444e-05,2.52094680160881e-05,0.000182727588905934,1.44861500572516e-06,1.52145969543647e-05,6.40342257017838e-06,8.12068755832375e-06,3.9322719390933e-05,2.42923304836478e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3883695854228e-07,0.00024131471096306,2.0332581854521e-06,4.07842621146963e-07,6.74552931207817e-05,1.01372184359129e-06,2.16261473710279e-07,1.59992676180732e-07,4.00727231927575e-05,2.49652864627806e-05,1.71427136107849e-07,6.97318314752296e-05,1.13377870637815e-06,1.2909403219311e-06,3.45539032848184e-07,1.06899113940059e-05,2.09934568959752e-05,4.91271131504756e-07,-1768.26979193878,0
1,0.247857984839689,0.17278508516849,0.711923775931608,9.7,1.89347090608043,0.470430183390748,0.259233020938017,0.000321224159727808,1,1.25826720958062,0.992899571258633,0.551356403178676,0.980542476606326,0.818027871243529,0.982896655564974,0.950655321180774,0.989829485115458,0.977365337855307,0.98726058374428,0.87013781562693,0.988340541961221,0.973286497606203,0.400835730749581,0.481336497792353,0.991586826036732,0.954864755463332,0.97722074715951,0.6064504156358,0.994876124607891,0.958296281864281,6.81308862891459e-07,4.04117564624093e-05,1.06955080295663e-06,3.35745822045462e-06,6.12425006198194e-05,3.78055755612739e-07,1.90682956415374e-06,0.00012050254519169,3.25200346570782e-05,1.06456880699256e-06,7.62635770398587e-07,0.00750019469958454,4.11562727478386e-07,7.54995051461587e-07,7.6041533274114e-06,8.31406674596254e-07,1.06607794598622e-05,2.12783955196689e-07,3.96431515198111e-07,2.29292426447516e-05,5.02356392843363e-05,1.99025305933367e-05,4.75755724578085e-05,8.53512608410714e-07,2.57126029750331e-07,2.10387035595495e-05,3.2537177089583e-06,1.74421584662926e-05,1.98473237023307e-05,1.90282991808676e-05,3.79944037413257e-06,3.2895692735134e-06,2.26865291455051e-06,1.55939759964438e-05,2.82540971317481e-05,2.98849707579846e-07,6.90795387696643e-06,4.24749552339366e-06,2.74510549864637e-06,4.60142483808054e-07,2.45120711588307e-05,0.000133786728921179,6.67840753961569e-06,1.72024858221785e-05,8.73666246315654e-06,6.73028971950808e-06,2.47789872112875e-05,0.0018193786181286,1.01027891272793e-05,9.92793888773844e-06,2.83839067455531e-06,3.69404725805688e-07,4.89629213438966e-05,8.66420366920705e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13092822003402e-07,0.000146637367164307,6.42201471172516e-07,2.43781123124506e-05,2.03013386306764e-06,2.04690590410679e-06,1.00591078651341e-06,4.29284147932242e-07,1.94345015988572e-05,0.000171578200422824,7.25937260058732e-07,2.05736046796833e-05,4.18006553962843e-05,7.73564126632105e-07,1.50709038568283e-06,1.73597613757291e-05,4.45090176495098e-05,5.0922028613208e-08,-1768.85115506997,0
1,0.273996704906266,0.162440780757037,0.749314324058396,9.7,1.58362185395002,0.449650362702771,0.250779395523621,0.000372015209424655,1,1.24104064198364,0.94928844815527,0.51865531093345,0.691013067164596,0.773416488997326,0.755893143170168,0.802885847439343,0.969311607577958,0.982641946977655,0.796055365523636,0.832824979481372,0.993531869525958,0.666552186691413,0.98713234175895,0.309482848998111,0.719373338700408,0.981070828285824,0.996021091144261,0.547278503107012,0.982099831723074,0.943752511711503,2.20001013087123e-06,1.03795319487679e-05,1.26476470986336e-06,5.90870821838056e-05,9.67414220690988e-05,8.74310376434452e-07,3.18887798624205e-07,0.000292726011972926,8.92129268831009e-06,5.88247839123982e-07,0.00014118154512816,0.00554783778740417,4.30555407422526e-05,4.38391446631119e-06,1.61714113784242e-05,4.74818876734574e-06,7.778990995792e-05,9.31722441354714e-07,4.22464263512327e-08,8.92173832062523e-06,0.00010830655177399,1.52636145047249e-06,7.48626338832869e-06,7.40754665247994e-07,1.66481923339064e-07,1.19009179880341e-06,9.57101124188499e-07,7.27890002552051e-05,7.39846533738845e-07,1.70717881187166e-05,2.32761608114309e-05,3.92731811297096e-06,5.97453434615515e-06,1.3357500913843e-06,3.74901451541409e-05,6.84061861009191e-07,4.3234326286152e-07,5.87857674765079e-06,2.6928676582499e-06,3.78828383136597e-07,4.84689184814035e-06,1.77930209498176e-05,1.93152953947279e-06,1.37230537546229e-05,2.24785245019837e-06,3.0966541785126e-05,9.5024477254662e-07,0.00119157857156273,8.7250497740068e-06,2.70526874963996e-06,1.01627330361903e-06,2.15682525262954e-07,5.78151858718573e-07,1.52865100263956e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20465237801618e-07,0.000299946832177733,5.59668381244167e-06,2.61607132418003e-05,4.99415475116817e-05,1.18614920117994e-05,1.8173794578402e-07,2.96436702294969e-07,6.98439042754113e-05,0.000135989816033908,4.88624981926427e-07,1.95679493130887e-05,2.61442259482131e-06,7.67996516245605e-07,1.33124891919064e-06,7.71318843154074e-05,2.10124786295364e-05,9.72927361829154e-07,-1769.59430274309,0
