"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.242864847136631,0.156935904547529,0.763653116378144,9.7,1.7261550192219,0.46526897003873,0.247696669298602,0.000359823908175126,1,0.854400322035953,0.97692515360523,0.477213565481607,0.993458624579225,0.970443164050725,0.914826230062585,0.997450054469569,0.913112382770435,0.973030085078669,0.936232090865494,0.980653678241169,0.942637510681966,0.978016619752666,0.984803703084067,0.512204977487715,0.78260650185968,0.941176609304846,0.956929099712921,0.934709383019505,0.891777821394031,0.944911563265552,3.05792188604037e-07,2.32669422152016e-06,2.67073085226669e-06,1.37257543377677e-06,8.49290072563801e-05,2.09984189470198e-06,3.75034775840113e-06,7.42136508431782e-05,6.93348294498728e-07,4.65818648408933e-06,9.03119654336642e-06,0.00955181726279588,1.2351151639194e-05,4.66876436333072e-07,9.38575130505797e-06,1.55652868627716e-06,2.7743661517275e-05,2.33398701110641e-06,5.30819218696526e-08,5.3373751259996e-06,2.73863095564358e-05,5.86201537154925e-05,2.50594246173097e-05,1.8433825239475e-07,3.45220994175852e-07,2.11210813150193e-05,7.34247180940708e-06,6.89928588830498e-05,3.03849440220356e-05,5.04204904553625e-05,3.14984971814829e-05,2.00052580469713e-06,3.3515596631987e-06,4.58298476577942e-05,1.20131312912947e-05,3.25832615371675e-07,2.15333279232209e-07,1.2400316395388e-05,7.61345603729592e-07,4.73331053402163e-05,8.77043965530404e-06,3.04535167913409e-06,6.93906066017571e-06,2.12268917555479e-06,6.69153870568917e-06,1.69742961055586e-05,7.13419529570074e-06,0.000226027983441898,5.03881516008171e-06,2.3687050195947e-05,1.0169537860161e-05,3.40889671980258e-06,7.51329539132393e-06,1.33938791625295e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08460310366517e-08,0.000280950106619979,6.78385511998938e-06,7.48538897640231e-07,1.1596370771252e-06,5.06869535050393e-08,3.69879269761191e-06,2.87767270500403e-07,4.86160281736924e-05,0.000142378323960057,5.15157143785538e-06,4.28143216179794e-05,1.47563037101416e-06,2.52885802747317e-06,2.26576786834637e-06,4.3130948481544e-06,4.88913751153111e-05,3.80005392968171e-07,-1752.16103434996,0
1,0.249620790882061,0.170349019542858,0.721639673191445,9.7,1.74793102152889,0.477702054878811,0.260686690728685,0.00027412746441891,1,0.48021557676516,0.986579607115856,0.487324230544465,0.994275406110277,0.804772425303628,0.928400539474781,0.965980977480621,0.994468647874515,0.95974653656146,0.983422647003598,0.990481208876397,0.992936143426169,0.962619333828624,0.884383923595012,0.682201623458452,0.902713604633243,0.96098206119713,0.95221227397261,0.981092047928578,0.986818018448095,0.989320802564249,3.72216605734075e-07,0.000269052864772422,9.19232294865953e-06,7.40897307472643e-07,4.12289604278888e-05,8.42073067234361e-06,8.38650749644633e-07,0.000125665808733013,6.73183883751924e-06,4.05477333895171e-06,9.21855775543543e-07,0.011877278709876,9.12972090141791e-06,1.65523450244569e-06,6.79168300136476e-06,2.06220492450289e-06,1.06998675663914e-05,7.3646936778432e-07,4.07629017989434e-07,5.47482163340108e-06,2.09014026306815e-05,3.41091692905111e-05,3.62437146461163e-05,6.19635183317168e-07,2.45140538947842e-07,1.32731201634294e-05,2.26279471110252e-06,2.26915812653852e-05,1.69017186845922e-05,9.03402067592679e-06,2.39253957534754e-06,3.76859681682829e-06,3.43009448036974e-06,3.26888199220826e-05,3.69483502131443e-05,4.96241476079047e-07,1.7827758677728e-06,6.22398454289219e-06,5.94620157721331e-06,4.68962461027313e-07,5.93144978842764e-05,1.95696266809065e-06,2.1335150548747e-05,3.23504978361579e-05,4.68008329771274e-07,3.3458286189024e-05,3.18433046859458e-06,0.0062173068935573,5.50951468386135e-06,4.45997894207438e-06,0.000276390369034516,4.05188002654502e-07,0.000136570712251733,5.34857053959811e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51384623324005e-07,2.07171743754347e-05,6.40128335866186e-07,1.48580591941941e-06,5.26536282217456e-06,7.65763040877757e-08,3.43220004725209e-07,6.60002842972028e-07,4.85599333740112e-05,0.000187430407195271,5.48154533933594e-07,1.01909907119273e-05,4.12301762329279e-05,1.58539317935958e-06,9.01977214545354e-07,5.85518761380567e-07,8.21123641917817e-06,9.67552912914149e-07,-1753.12737466286,0
1,0.234950214188682,0.140853117054892,0.719752258004359,9.7,1.70528118387832,0.476271033598253,0.266955207762998,0.000307386552497315,1,0.761988303983914,0.960037761267812,0.497311863515749,0.992753369886457,0.983040611623536,0.939031717918046,0.97422382830518,0.836722903978092,0.99371309175293,0.982152518745237,0.960244344518817,0.952564467841628,0.986165977467498,0.995882825879555,0.955550827398436,0.971843761793533,0.991286924813388,0.640501564544521,0.700401114241584,0.995498725889522,0.954008874679521,1.1880338747972e-06,3.39027021507496e-05,5.89208830780023e-06,5.7737686280091e-05,8.78555440129978e-05,1.01879706215113e-06,7.03779182068757e-06,0.000120056639009844,1.13631625054401e-05,5.93676005612011e-05,9.00795960238187e-07,0.0209908276549946,8.72158456945276e-05,1.8444964668879e-06,5.32494505895617e-06,2.62092951070523e-07,6.93754603621322e-05,2.22487481594222e-06,6.75386052076715e-07,2.97630972120036e-05,4.44166271166857e-05,9.37759052395788e-06,3.0363582148162e-05,1.30329117776425e-05,1.42719125738186e-07,2.62261990248667e-05,1.34594057386137e-06,5.45645103107617e-05,4.05161481671896e-05,0.000156029261396588,2.04636225648597e-06,3.61130356704442e-06,1.98911269229987e-06,4.50609117082152e-05,4.63080015834735e-05,3.10400291008907e-07,1.60414092835366e-06,2.59559730846108e-06,6.93329767997702e-06,3.29384096550755e-06,4.31058160313856e-06,1.19749882809549e-06,2.06106724968497e-06,1.55556202738429e-06,0.000168965828336354,2.09043296852805e-05,4.35061100241492e-05,0.000211507601327173,2.5329368438585e-05,1.52370447612114e-06,2.23234825642252e-05,1.09304151228934e-06,3.78082898671168e-06,4.07596116015845e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48449219146694e-07,0.000286292211398324,1.69821115427086e-06,1.57405810722636e-06,4.45570617301827e-06,4.18787519821194e-08,3.93444603139408e-07,6.09684992443276e-07,6.41997762070604e-05,0.000155434727866727,1.30414535943537e-05,0.000143951302058412,1.26604675787009e-06,3.55766625502498e-06,5.15058516565346e-06,1.83008013844023e-06,5.53884580158143e-06,7.49407861932099e-07,-1753.8429328603,0
1,0.249391256918843,0.154739089627308,0.749608378816608,9.7,1.81110492128051,0.455873684863963,0.256154853405017,0.000359264691658936,1,0.535716190775289,0.944524730060666,0.488569218084596,0.887375053617934,0.909593226544517,0.965757575439371,0.995571986549548,0.961004023592998,0.646246901122969,0.937023296675249,0.934933858513739,0.96801448937228,0.923225141917613,0.99617439047538,0.962363254240411,0.811372626849377,0.983923688171547,0.765148947723367,0.875697934318754,0.800355985404202,0.966804760427602,1.18384587092891e-06,1.50472284939214e-05,7.68320487976976e-06,1.41289264762367e-05,4.78861142724318e-05,9.07649856726759e-06,1.9497668035725e-06,0.000170587857350784,4.29292250724772e-05,1.47230737285026e-06,1.3978911045514e-06,0.0165587364599555,4.43275442805722e-07,6.52906241363236e-06,5.96788473891181e-06,1.61596349378653e-06,6.89483252266148e-07,2.19078368265006e-06,7.74828480143252e-07,1.97754817997278e-05,4.76043168383581e-05,2.48421348776075e-05,4.57398157082777e-05,2.08152461175274e-07,3.01322805883654e-07,1.18730113373354e-05,2.65912114532987e-06,4.21315060405447e-05,1.67412390954134e-05,6.32931028834765e-06,3.50616971041275e-06,6.2454478759578e-07,3.93961360412998e-06,3.69845549861774e-08,1.80731231497662e-06,1.40676976395171e-07,5.4602425178349e-06,3.8154812187861e-06,7.11235034481783e-06,8.27626781324626e-06,2.13482617728638e-06,1.43547901752525e-07,3.32674666850514e-06,6.5447741560327e-07,1.67143409883208e-05,3.49641637566839e-05,2.07898743781306e-05,0.00251981288596921,2.55692601936156e-06,1.97089742769074e-05,3.69810243411422e-06,3.1262661855073e-07,1.52866309358147e-06,8.24574940553418e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11761181103367e-06,0.000138299612699068,1.40212194164887e-06,4.20587881123129e-06,2.14006735635722e-07,3.55897453965239e-06,1.55773775641899e-07,4.29966971479452e-07,3.20992261808507e-05,0.000132849429477313,3.26676427116456e-06,9.14497706768659e-05,5.07116138845053e-05,2.27354769287725e-06,4.25004767057579e-06,4.36580935887404e-05,6.574555827289e-05,2.75375747348366e-07,-1754.13458503951,0
1,0.287511829877715,0.174565495680562,0.744415691570895,9.7,1.52783784959146,0.456137582870802,0.274255383832512,0.000296264966452925,1,0.485030841698526,0.942376026144786,0.470690969086415,0.993751295107077,0.997252126041698,0.701789980196639,0.972772027683055,0.981411044127059,0.971349751174286,0.942477303530012,0.977724840296634,0.902367610192664,0.954878163672572,0.982981903769223,0.711373151734269,0.899257301779851,0.970290336863754,0.979401111777927,0.792505906773255,0.963446161627809,0.989857891749226,2.72822785247253e-06,0.000513350686682548,1.77700089176512e-06,2.67018958178068e-06,9.4262499585721e-05,1.21182158395089e-05,9.37393315026529e-07,0.000330723445020622,7.05834988418079e-06,6.5804034121133e-06,9.52986860838723e-06,0.0122390054055852,7.98933682476649e-05,2.58454491577162e-07,3.15532042891931e-06,1.52249024273852e-06,3.08885826131459e-07,2.65326684409905e-07,6.65279157492804e-07,8.3205572523984e-06,3.99617813006355e-05,4.237291191861e-05,2.58920781092145e-05,1.76473690786433e-06,2.93836625827443e-07,1.59656630030691e-06,2.95907874095406e-06,0.000109185653561681,3.42129160983722e-05,4.31058262065469e-05,5.58151645570504e-06,7.55403741956625e-07,1.64857336522519e-06,2.56664543498692e-05,2.83439773728426e-06,1.16641410426462e-06,6.63805079351125e-06,9.58627108489467e-06,8.50093467539523e-07,6.02960413948877e-07,1.12572427861003e-05,2.1301449027378e-06,9.88175035602636e-06,7.33236983859342e-06,1.66349672931587e-05,9.21234939991474e-06,4.15033764042362e-06,0.000234809710390221,3.05953090708596e-07,3.57268080926642e-06,1.45891167594832e-05,4.24365036196803e-06,2.13916179843224e-05,1.24472189276658e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08541277199834e-07,4.28583561128755e-06,3.99931113111759e-06,3.12129721944957e-06,1.98934175618236e-05,1.0689267287994e-07,1.0589661733486e-06,3.80813988105584e-07,6.50036700895073e-05,4.60722596921301e-05,3.30313528269519e-06,0.000414840478072208,2.693927363163e-07,9.56229654051648e-07,1.194661375866e-05,1.15002312805375e-05,0.000121725314896563,6.23578606579189e-07,-1754.3440066228,0
1,0.242872696877184,0.157100543317835,0.716109489410322,9.7,1.6626589889661,0.466057944562164,0.264986949653896,0.000390042978247784,1,0.74475410982729,0.944575227065803,0.471074933022785,0.82737368422304,0.927071372935846,0.934164516854478,0.613431651514328,0.941542511100575,0.870921771681022,0.97438829337429,0.984996883634718,0.987527649588376,0.915252105398071,0.994133774480351,0.954500615719994,0.975650512806336,0.911738893155336,0.986364531986806,0.313338171262889,0.995142345194802,0.864196884306285,2.01816853712483e-06,0.000401145516571469,1.05890625321043e-05,2.14188397245026e-06,6.70184654765412e-05,4.03797061247855e-06,1.37149562551437e-06,8.35318265084314e-05,5.38737740598265e-06,4.68886614376068e-07,3.66618856314061e-07,0.0163605627722545,1.93323570697699e-06,2.07806562542838e-07,1.38724515322586e-05,1.15629637456322e-06,3.03580381557055e-06,1.19040953699163e-06,1.27328869752186e-07,1.60592024910993e-05,8.14119138147967e-05,8.06427786680746e-06,5.15071511888843e-05,1.30498749325394e-05,1.46078657733303e-07,2.69744434880898e-05,5.00880662658809e-06,0.000131392799131103,5.29227340435711e-05,5.94111890258217e-05,5.68740687039538e-05,4.94562273270769e-06,8.74834546755663e-06,4.2491976068942e-06,2.1662603663422e-05,9.55496805092166e-07,6.64159821392171e-06,1.99494842989363e-05,1.19014949439496e-05,7.29531307403396e-07,5.95714499426896e-06,3.38290773616568e-06,3.14891401168777e-06,2.41557352782575e-06,2.45900616154054e-06,8.65194447303371e-06,6.4013392053037e-07,0.00016541685358506,1.10486806176319e-06,1.50176825199421e-05,2.64216635762671e-06,1.43177234891446e-05,1.07400439309021e-06,6.63933047682018e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60676381075448e-07,6.26039992392605e-07,1.58635024916102e-06,5.57588768000418e-05,4.10180513196841e-06,2.04993165484933e-07,8.47832393447335e-06,3.04503570116538e-05,5.73621047535684e-05,7.14623493876511e-05,3.47774560404538e-07,5.33771026404372e-05,9.37877106983086e-07,1.05037516973336e-06,1.1419349020161e-05,6.0516501608579e-05,8.4719763760904e-05,5.04937884045255e-07,-1756.15157769365,0
1,0.309718536601078,0.153309686179791,0.723592305195461,9.7,1.87590408453049,0.465609618459148,0.273563382081977,0.000312993155496962,1,0.746364195172425,0.939266080672353,0.470435595690823,0.770316791130553,0.975964621204855,0.995831258478391,0.80172465910813,0.970388851437285,0.614077518285546,0.876262553934395,0.923420122989323,0.995757374676008,0.827063602040927,0.96695310961882,0.592938924209098,0.966967083663039,0.968992683681544,0.98942263380205,0.991356083742831,0.959709726232725,0.803560057218061,1.51019167947794e-06,0.000377338520752773,4.126197850053e-06,3.23036458225683e-06,7.25362267045694e-06,6.05768865421813e-07,1.32651974597113e-07,0.000115158839584864,6.79438466596384e-06,1.40935985456852e-05,1.31456177882069e-05,0.00739018784608357,2.39438191986151e-06,1.29063992122394e-06,9.12084961933162e-07,3.39164128646174e-07,8.69040842833048e-06,3.80290587336951e-07,1.85366168793181e-07,3.31234248310248e-05,5.42784150835247e-05,3.84859082781848e-05,6.5004821608234e-05,3.65475854787724e-06,6.51605971530585e-07,8.40159773992351e-06,4.91668712108899e-07,1.36928479386631e-05,3.48948555561435e-05,2.31438179968077e-05,8.86574676588701e-07,2.77179531744278e-06,9.00896432549619e-06,5.66602141767836e-06,5.12867384610717e-05,6.91839239043207e-07,2.25013020742599e-06,5.17272630225797e-06,7.94932772469583e-07,1.01601123334438e-06,0.000201111419076021,1.73234930382273e-06,5.63584984099232e-07,9.80327360217041e-06,6.92528941636539e-06,7.45296085167128e-05,3.10154282158942e-06,9.25562271956797e-05,2.84161108021148e-06,9.74424116456904e-06,1.28247334701506e-05,3.00829931401257e-06,3.95319632916315e-05,1.03428421337736e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61359790419332e-07,1.66071537609633e-05,1.99143270383186e-06,3.80635458293602e-06,6.55846370967089e-07,1.40450320927128e-06,9.52336263222224e-07,3.51889068982594e-06,4.76255255468102e-05,0.00013632619325345,8.2774752667986e-07,4.56858568681825e-05,5.15133167911293e-05,2.47628306071319e-06,3.52323451814725e-06,6.54990094365242e-05,5.80525103621407e-06,6.941363537592e-07,-1756.33723799563,0
1,0.236249203978895,0.174310199342256,0.705878319153092,9.7,1.87130271596802,0.464643891863564,0.25817017559916,0.000365430597391415,1,1.00846530543241,0.991152508742118,0.479691172327548,0.817815692201198,0.990863574756271,0.775482747066965,0.980419942347314,0.995059543987576,0.839345696798049,0.80502484064121,0.914883307264767,0.917197753476078,0.791315863959227,0.963263545683496,0.742343345227129,0.518073733934444,0.998483115158059,0.990871280836,0.971829997713917,0.976442198862951,0.997004644615621,1.57777197919713e-06,0.000172629520255222,6.05312827975762e-06,1.38052809214787e-06,8.66356968774163e-05,2.9172134866128e-06,2.40773934164372e-06,9.44701010783464e-05,2.38178004663566e-05,4.03778936893179e-06,7.39273995748128e-06,0.0119287337679882,6.83355503437118e-07,1.10512809494655e-06,1.54134366198787e-05,2.5337437870179e-06,4.92954651948999e-06,2.40654837957898e-07,4.28331418130274e-07,3.50394799962129e-05,4.60092839142565e-06,3.61452186374514e-05,2.66448220766358e-05,7.13673777964816e-08,2.23986460060022e-07,2.39060707173742e-05,1.30220691145269e-07,0.000115127331522213,3.34557019333324e-05,6.59312287479668e-05,2.21536067925398e-05,2.25305470786511e-06,1.17974350431639e-06,1.48320183321368e-06,5.53905007992937e-05,9.82373149903791e-07,1.61915003308966e-06,9.67027927456027e-07,1.24967865607599e-05,1.56704135553998e-06,1.11688161312198e-06,3.56568227647422e-06,5.81914519024389e-06,1.94903088895414e-05,2.03859198583711e-05,3.98304124141539e-05,7.20650810308903e-06,0.00449083413381926,1.23194928499647e-06,5.02293735041104e-06,8.76341856186154e-07,5.51807666150628e-06,1.04539045546587e-05,3.42508385959168e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22343444032302e-07,7.428296458056e-05,1.88586858082953e-05,1.51459955737631e-05,1.05530300648685e-06,5.66681194562548e-06,1.65441558874682e-06,5.68017467883404e-07,2.66532199902988e-05,3.37100222580752e-05,1.30725930875209e-06,2.19847017850281e-05,2.27813699467282e-06,5.91262540036077e-06,4.96998443924122e-06,4.1352093681965e-05,1.73968275316203e-05,9.20910644254562e-07,-1756.50893894085,0
1,0.317381561790049,0.16814047353629,0.750894959029054,9.7,1.74887230610902,0.454591189742978,0.279922074025112,0.000249628800468742,1,0.805911901275862,0.970378896690422,0.462007055483647,0.989652772921234,0.991942880654989,0.805258867573491,0.973896186892674,0.99388456226846,0.988216918087776,0.970405275040848,0.938087241980386,0.917305570890868,0.944058180864351,0.989276400923768,0.757965090191055,0.973281435621811,0.790046154725442,0.857783338901963,0.897386471180712,0.984912847142109,0.968677193891821,1.65752565890166e-06,4.10718489002739e-05,1.4786624571011e-05,4.04541965728837e-05,9.91682024323085e-05,4.14736061533538e-07,1.93828150009801e-06,0.000280404981489806,2.58436660183649e-06,2.60942826272111e-05,3.17043921290089e-07,0.0115330267494655,2.41384412738493e-06,1.17774638459968e-06,1.2228665044219e-05,2.17469306531114e-07,3.28541555731428e-06,1.15251004983354e-06,3.24159159982859e-07,4.62057499972074e-07,4.43437716567937e-05,3.01654882219966e-05,1.50940477467797e-05,1.08633114773461e-06,1.27548401099434e-06,5.22283286842509e-06,1.62578573503613e-05,2.44606777382359e-05,5.05999553148447e-05,5.86731825237012e-05,3.08154913850115e-05,1.63999544555947e-06,3.71455179687363e-06,2.90829409344316e-07,2.1165024864904e-05,3.1561123639663e-07,5.94785572027588e-07,4.53794484409288e-06,3.41054674304623e-06,1.38713135913704e-06,2.70926267076351e-05,3.3035313593573e-06,6.84941808206852e-06,9.2839606997537e-06,2.45130905392338e-06,3.15508359399405e-05,0.00012416469636386,0.000567592249638838,9.1102410694462e-07,9.18282060827739e-07,7.21873059027985e-06,3.30173723273341e-05,7.41626766914768e-06,4.58078830154481e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26206420234998e-07,0.000173477664268906,3.64532815275781e-06,1.14690302410872e-06,1.89948060476987e-06,1.52660572458977e-07,1.36660796969313e-07,3.33354846817398e-07,1.80365289450084e-05,0.000161146072130276,7.82576849302956e-06,8.7063486154868e-05,4.33041815273065e-07,2.84213192121791e-06,1.17751689709896e-06,4.45425829986538e-05,4.10904042240458e-05,8.37052301317705e-07,-1758.08040376451,0
1,0.266809495997211,0.142480005980674,0.740741349216075,9.7,1.84293451378043,0.461235830899606,0.24749283755759,0.000374689610356548,1,0.43967797998952,0.989000439565811,0.476077678028323,0.803463410372374,0.986167117012206,0.755758825376559,0.829085105359824,0.993851551574777,0.838818735913415,0.997287500191989,0.922707186647164,0.912337085295913,0.96120143355504,0.98756954531418,0.74567087884003,0.959260754028021,0.991211380474634,0.978717787318672,0.977200503549983,0.97847870230266,0.948143656666898,3.14043665505373e-07,1.7492472038283e-06,9.08418833461364e-07,2.98794449506937e-06,1.49055720880989e-05,1.01747748499299e-05,1.02096891127393e-06,0.000104354162225016,1.20061545652641e-05,6.14959251713649e-06,8.5339817883164e-08,0.0124758390281112,2.43116755741681e-06,6.42614964461836e-06,2.94097065321097e-06,1.1271683606044e-06,8.76382947785249e-07,5.16198792501382e-07,4.2153848028866e-08,4.34953287213282e-06,1.64402087068044e-05,3.53182155286988e-06,4.19544409717818e-05,4.63509136520888e-08,1.0769365663462e-07,8.06258346144034e-06,2.44992625506628e-06,6.12329873764508e-05,1.46960177035785e-05,2.59033223054968e-05,2.41705117885754e-05,2.57462657803522e-06,1.60821403872606e-06,6.66354580824868e-06,2.79674176753486e-05,3.86820894891336e-07,9.62147719678412e-07,1.08022545800361e-05,1.86844935690546e-06,1.02465933034029e-06,1.09907390104205e-05,2.01372585617927e-06,1.89057672785867e-06,5.71627176411578e-06,1.09639568931594e-06,9.96724925502896e-06,3.74793164179112e-06,0.00094987018742522,4.56618945938246e-06,7.72652481553814e-07,6.5319138798562e-06,1.20992532395386e-05,1.32475388187001e-05,2.16413606083327e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17167556212545e-06,0.000254742450883133,1.89643445309032e-05,3.76051650953625e-05,2.91824369189836e-06,2.96767482454106e-07,2.03541017218703e-06,1.16447649190661e-06,3.80100799642906e-05,4.48383078703978e-05,4.99384185311582e-06,1.17482200416128e-05,2.6247178644581e-07,2.13522000899121e-06,4.71796998537774e-06,8.76397369492068e-06,1.42147911960405e-05,8.99821610895385e-07,-1758.4087079846,0
