"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.316476493694186,0.180650411916638,0.738508789761473,9.7,1.82575825919204,0.45133963643869,0.262524821929608,0.000296960459931642,1,0.723906653700984,0.987443718047572,0.456182665832969,0.94220951498775,0.991492033797649,0.974715717962958,0.929710166030736,0.976571278296606,0.952168015447766,0.994722729878455,0.976644884761349,0.840274048088454,0.976707260308096,0.940243382814813,0.94718762323271,0.99224614013601,0.979220787609795,0.987124999850509,0.733469281443938,0.997627452485379,0.959720647471987,4.60798142765393e-07,5.99721403921628e-05,1.71467072558379e-05,4.52882348588179e-05,4.32841576108017e-05,1.76277971933041e-07,6.67012209857276e-08,6.05702916142723e-05,9.31345889085028e-06,1.44224543569103e-05,3.70620300477982e-07,0.0119920399234479,6.9853425172736e-07,1.34294265794144e-06,2.39721605117577e-06,1.44796447651031e-07,5.43398219862731e-07,2.26673348390892e-06,1.11193918605366e-07,4.61926696843274e-07,5.67870809037516e-06,9.13821139092924e-06,1.84894884479378e-05,3.48936640211741e-06,1.61052784387792e-07,1.21171708570272e-05,9.99349918873841e-07,1.46614131894736e-05,7.23688008706596e-06,1.28390536255602e-05,7.89452046798589e-07,9.96577568405218e-07,9.66414320145328e-07,3.6811893508117e-05,3.48010910990133e-05,6.97848601250535e-07,1.11441451340429e-06,3.39179698203077e-06,1.5184689187912e-05,3.38916693513069e-06,8.68472738272253e-06,1.10683784135794e-05,7.66757409443896e-07,1.08377494714682e-06,4.41223456696849e-06,2.48047164662377e-05,5.47892466288981e-06,0.000288398069977453,9.85577207762978e-06,2.16090998926851e-05,1.73425251012688e-05,5.52994251278586e-07,6.14382364673863e-05,6.40174286139912e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.160785283823e-07,0.000267212459592159,6.18838726254883e-06,6.75783131419156e-06,8.41589385942101e-06,7.43140394105141e-07,7.8358491453148e-07,8.19947688845657e-06,3.07991677371321e-05,0.000140093875901144,3.53346805003015e-05,1.86117397508757e-05,4.00267745844122e-05,2.2473543353071e-07,2.33207522760619e-06,3.14306923163519e-06,3.79614323972522e-05,1.91789217221265e-06,-1762.05159346094,0
1,0.30957785693581,0.155924442717596,0.75344429747273,9.7,1.76641770374771,0.460158253991479,0.263013232828729,0.000273695528366734,1,1.26238878191502,0.928827061588409,0.473475540306171,0.991174372952917,0.979966551506911,0.919340986151786,0.995706429067401,0.996584563183977,0.948348887739709,0.983188410911634,0.995284214364574,0.918173168611052,0.901294071434668,0.995497143577894,0.958992457231553,0.818854929053531,0.980588100277521,0.959079371979491,0.980590980750135,0.950788671296597,0.989093350724932,6.50043221956986e-07,0.00019714422802348,2.29514213674196e-06,7.50976809603856e-05,8.06364635275871e-05,9.97526555505588e-06,3.85195894809564e-07,0.000106933502236997,2.74313020023348e-06,3.63840296327783e-06,5.73538521307181e-07,0.0155011148110525,2.53920015012051e-05,8.43741298900065e-08,9.93120347863924e-06,7.7485777815904e-07,5.44079000795226e-05,5.43776130321651e-06,4.85845746174765e-07,5.66801185582588e-06,0.000101472947966713,1.48473876715789e-06,2.40892834068039e-05,3.39844608559294e-06,2.33083163381804e-07,2.29228081145511e-05,1.27404618335706e-06,4.13452135124813e-05,6.68455564049628e-05,7.23106981948518e-05,3.99303954119336e-05,3.99474444420858e-06,7.66642470625163e-07,1.15654827088978e-05,3.93737805983879e-05,7.54954057072225e-07,8.70103699825829e-06,5.31485969218654e-07,6.47935529729097e-06,1.48249808981527e-05,5.46322372008619e-05,4.5478155641426e-06,9.19097681760934e-06,1.12751297033373e-06,3.55115137945489e-06,2.04387639428076e-05,6.70619744616685e-07,0.000164226645221228,5.73863884325005e-06,1.94490083441484e-05,4.7915646437711e-06,1.78235589579943e-06,3.15940806068821e-06,7.49010234805627e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24020704494316e-06,4.38429172169277e-05,1.69123974127067e-06,2.33239803800815e-05,9.02101527968997e-06,6.783873152896e-07,3.98040550671776e-07,1.39786550864921e-05,5.20237647985313e-05,0.000155875486065823,3.92469107734911e-06,7.52620100464318e-05,5.19692215299851e-08,3.56547194386471e-06,8.72201712571372e-06,3.50338802078631e-05,2.21849623562126e-05,9.0018927386017e-07,-1764.87359380608,0
1,0.29970059323014,0.155958636422712,0.778695963287593,9.7,1.55444403133523,0.47515600995816,0.272809776008859,0.000239983321223389,1,0.808035862820343,0.960693404517889,0.477411935963987,0.997617315366675,0.99517377065324,0.968980345168999,0.982399419029196,0.982566853920585,0.900898906397308,0.783848316432347,0.55579245863039,0.997515384041633,0.711337141881986,0.970512437006866,0.964025566089779,0.961002813217687,0.985538373850594,0.98851448075699,0.936865745305389,0.899229096534756,0.980687103239592,8.32267551891283e-07,0.000530132236051518,2.60900467886174e-07,1.36001171627223e-05,8.41276554261321e-05,6.82943972133337e-07,1.64813531088633e-06,5.35497945509931e-05,1.87095179122677e-05,1.15406951120392e-05,3.25393129101793e-06,0.0179707400053938,5.64353525628951e-07,1.64412306320077e-06,8.12145103010318e-06,1.35436911978908e-06,7.12712172793122e-06,2.36051469873062e-06,1.6857000907478e-07,4.38785144567693e-06,2.59946275827258e-05,1.76241171302497e-05,3.126675398852e-05,1.68057953032432e-07,2.95964463184977e-07,1.2251329198256e-05,1.8781841134134e-07,7.87056013446869e-05,5.01660974086781e-05,3.64205255983841e-05,5.20517698617831e-05,1.60195608588487e-07,3.29382284018881e-07,1.14675913554987e-05,4.87936089362782e-05,6.36410258214354e-07,7.89638122491272e-06,3.52177369184339e-06,2.59688745264417e-06,2.16513694316785e-05,2.69673287326053e-05,4.41580091701809e-06,5.47173790838792e-06,1.04004543215993e-05,2.21282671192923e-06,0.000124090935034459,5.24747287381373e-06,6.48551085043774e-05,1.94590757928393e-06,9.53969461373796e-06,2.01529555876863e-06,1.78430942476466e-06,3.29581082039239e-06,6.06648883069089e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7894582928372e-06,4.50943345461703e-06,7.06235948138336e-05,5.37546628849116e-05,5.86194355254795e-06,1.36297600911237e-06,1.69126901940059e-06,1.38985411433549e-06,5.9087062100135e-05,8.36297280150124e-05,3.66149604214054e-08,0.000182240262867367,5.39285718371921e-07,2.53804115783345e-06,1.71018515042623e-05,3.15483677792704e-05,3.72611422234351e-05,4.50938064750078e-06,-1764.99729626096,0
1,0.310948170881667,0.155357063041104,0.768548559254991,9.7,1.83725670000023,0.458781969095715,0.280178493088928,0.000382128711943103,1,0.746092942687342,0.94882034118345,0.440618507124923,0.953865272638576,0.995466778551381,0.980140989494117,0.863732669261361,0.920819660307236,0.946055100494428,0.989517153489555,0.993295540368023,0.978786280531835,0.980817882697148,0.98666302170672,0.930355726885973,0.814781792580971,0.992911665954914,0.867766300607432,0.740464842123678,0.983701649743844,0.762891352861232,1.09047248558525e-06,0.00042426527385477,1.97426975691725e-05,1.58039737858461e-05,5.40476538615249e-05,3.55533214777781e-05,2.30751508084343e-06,0.000130708516564857,8.06257652174148e-07,3.92934396262867e-06,1.86148325871647e-06,0.00988516028852424,2.69015873075517e-06,8.60231004577964e-07,2.68303253245096e-06,9.86917138035019e-07,3.2882045602745e-06,3.82812200523539e-06,1.99422215571156e-06,1.32325770954614e-06,3.62776631697112e-05,3.16272617407863e-05,1.05927780584036e-05,2.4808370509186e-07,1.36202974994804e-07,1.29366175503493e-05,8.46678763180865e-06,9.3464386776872e-05,2.15538523991843e-05,5.17387355938163e-06,2.38935411283519e-06,4.25573999972975e-07,1.26704602496755e-05,6.20774009418183e-05,5.39114036880394e-05,7.55023871484677e-07,8.39771537854798e-07,3.22160059647822e-07,2.54104160503486e-06,4.4528837501272e-06,1.67583771967948e-05,1.05771753430187e-05,1.60301474796115e-05,2.24242691743281e-06,8.56413688124915e-06,0.000116181260846141,4.71614832441516e-06,0.000817308332668082,9.38505733128756e-06,8.42960932338678e-07,4.40735672009583e-06,7.18447146966849e-06,4.90210502688013e-07,1.58985296003238e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18456836114255e-06,6.31404147076396e-06,2.39335596408015e-05,2.24257709524974e-06,3.4452122823517e-05,1.68231125324632e-07,3.02112517950414e-07,3.89536985716318e-06,4.15728668129005e-05,5.46927987231368e-05,2.93539988678441e-05,0.000114484323391042,4.64869400554153e-05,2.45238719780742e-06,3.36886940276326e-06,3.26296778164983e-06,1.42370675371077e-05,9.03236850078457e-07,-1766.12088165377,0
1,0.237547781504256,0.160015178275824,0.76714430746789,9.7,1.52078020674569,0.477466604444717,0.252869215879877,0.000303230240232307,1,0.898485644926603,0.978022349425426,0.482832674629032,0.98556573254404,0.935043193768818,0.305777986482486,0.949571972479378,0.971544828784393,0.988870592888656,0.934839424276096,0.756122490699124,0.947352194032187,0.898022876412174,0.984752481541564,0.854603282682891,0.975041702249418,0.97528098354092,0.956306740605065,0.885039792301558,0.84345506189752,0.97957437753207,6.54870556269386e-07,0.00025226050564634,6.33915706741777e-06,2.28792600375009e-06,6.28690197380877e-05,8.22807137902801e-07,2.65063356130108e-07,3.74588655597261e-05,2.89564268136842e-07,1.63400551164729e-06,5.28697148170109e-06,0.0196033913137418,7.92085479826999e-05,2.5848379663931e-06,7.07694534743236e-06,3.93072984194607e-07,1.40337612241968e-05,9.99475827585004e-07,3.66116225805682e-07,2.48636617737244e-07,1.32300508348159e-05,7.11602474074613e-07,4.90940901916173e-05,1.05864886403023e-05,3.67358015979498e-07,2.72289337079916e-05,1.69652670927829e-07,0.000189238367284604,4.87372812676172e-05,0.000472793253882258,1.11118750990859e-06,8.09239147661088e-07,1.3632505387438e-06,5.03512622930641e-05,6.55939250539454e-05,9.39902215121957e-07,9.14363274261109e-07,5.57465530472891e-06,5.18729105919954e-07,3.52170398786046e-07,0.000163924231443045,3.41473150940462e-06,3.98443873720373e-07,3.56327557584182e-05,1.48875031828411e-05,2.48990078809307e-05,2.14146749348623e-06,0.000266251144570217,1.7993440118936e-06,1.32256898109494e-06,2.72573277980296e-05,1.56635434888561e-06,1.08178640816863e-05,1.39245089871461e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68032745532023e-06,0.000108017432212181,8.79052400464223e-06,7.51085671998487e-05,1.04928162920162e-05,5.14347222380536e-06,1.6371785196844e-06,5.0536274986366e-05,6.68163445617748e-05,4.12819426215864e-05,2.60527471670545e-06,0.00017798261655415,1.47011835733295e-07,2.15883735403793e-06,2.84527185056134e-07,1.09801686521431e-06,1.16045873128726e-05,6.55883749706098e-06,-1766.25898544779,0
1,0.307619801746399,0.151300691631466,0.736610148702202,9.7,1.77181561599382,0.465884054295799,0.261717823982867,0.00025763831951945,1,0.62970301337587,0.952472530728912,0.477538209562247,0.998985150401969,0.998923144766921,0.549286697707136,0.987759221976794,0.989110328967455,0.976505203630338,0.932837678275309,0.995494890920796,0.910826818682573,0.969113181240191,0.982187363131685,0.792711452484624,0.965384932880452,0.994890762643118,0.945536577983913,0.721065998641483,0.953189506969701,0.839913542176496,5.82617720812814e-07,4.68984532518469e-05,1.68253188973656e-06,2.4001107528597e-06,2.26818643790356e-05,2.3669616292952e-06,1.93723876272222e-06,0.00021092036334265,3.5502176003603e-05,1.07252821996612e-05,1.09204169475994e-06,0.0137676660864008,5.06259283961097e-05,1.05399124982836e-06,8.16546373031573e-06,2.83097531007859e-06,7.15458455820764e-06,4.0261983874856e-07,3.28042234059527e-07,1.10761600360864e-05,2.83172586877404e-05,1.25343987706916e-05,4.61983095574223e-05,2.11760180659091e-06,1.14950757943214e-07,1.52020676788608e-05,4.82917341310381e-06,0.000122028849209556,2.36731760372162e-05,3.60779185926686e-05,6.97611154605707e-07,6.36539481179241e-07,3.9820379590272e-06,1.84634406329648e-05,3.47971594561345e-05,4.2123465084298e-07,1.46197671809627e-05,2.78754168608934e-06,1.95164551745387e-06,6.38995472898335e-06,0.000117421939049112,1.16355847173864e-06,1.86406072480829e-06,7.16156874960469e-05,3.12495010931554e-06,6.19155512413877e-05,6.09271842322273e-06,8.85571712060093e-05,2.3652896052885e-06,4.28521572157903e-06,4.05785658987199e-06,1.68200107644948e-05,7.68515116641231e-06,3.81718149393527e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82964685040012e-07,0.000133063427280647,5.97080207910169e-07,3.28202102242079e-05,2.27780622896417e-05,2.70082290765353e-07,4.17217993541717e-07,1.17402263727242e-07,1.94030527042893e-05,6.04660363517204e-06,1.86032441195162e-05,3.40865502140367e-05,5.98646187453847e-07,1.44988511846078e-06,1.14341656593803e-06,1.3400466353442e-06,4.17475362683503e-06,3.72834555100969e-06,-1766.50422691137,0
1,0.314679563181715,0.164052693794098,0.747028676381166,9.7,1.70790288626028,0.461065322343604,0.278552753447694,0.000286533459852864,1,0.748857766296962,0.977737848169864,0.460476551042817,0.98930653231813,0.994562536602798,0.865698391785911,0.943000773047384,0.994656378163618,0.947962821782466,0.97595137210133,0.934447049004474,0.857188052403181,0.989585605928202,0.923971162490244,0.803913984908682,0.988959583068764,0.997639740596271,0.769967436823528,0.622266823144961,0.993721830471563,0.625314217332676,3.67004276234749e-08,1.40432429416572e-05,3.07980853493282e-06,3.62850248424941e-06,9.43567352751387e-06,2.28111154336273e-05,5.68840107199023e-07,0.000271683657297263,2.29604443222623e-06,4.75785175872977e-06,2.2914835237571e-07,0.0109003591597933,6.59339682637479e-05,1.24872665009914e-06,7.67204964910965e-06,2.02138047527849e-06,4.39872510077727e-05,2.10678551015784e-06,1.05770325246264e-07,5.64597474907572e-07,4.99395111438579e-05,5.14259028394852e-05,5.79556252325272e-05,3.88965466223717e-08,4.14093639885504e-07,3.51466642285604e-06,1.62268192568599e-06,8.20769129452146e-05,4.31394564238991e-05,4.79792803619679e-05,9.47894968552003e-06,1.63257915163311e-06,7.15963075114559e-06,4.12293076494672e-06,2.88503098614411e-05,3.94498558276864e-07,1.553745715557e-06,2.9712973060263e-07,3.37431163953504e-06,7.09149721730919e-06,3.29869962519041e-06,2.47865167984017e-05,1.29044576639373e-05,5.43978338493625e-06,4.33103875270304e-05,1.64148205510303e-05,5.22044036949892e-07,0.000185532559958694,9.29037902404229e-07,0.00030151080942581,2.981402274997e-05,1.01817416366179e-06,2.36927056534201e-05,4.02508528190371e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23827556367471e-07,0.000341734988940412,5.11632543103258e-06,1.8992478601757e-06,6.20376546299663e-06,9.07298451451444e-07,3.50901719589612e-06,9.18006428837877e-07,4.72047615978378e-05,9.73371808709619e-05,4.49194183718796e-06,3.84098487202033e-05,1.1541967142125e-06,1.92158782323708e-06,1.67842179952609e-06,5.69867004736598e-05,2.12688540757221e-05,1.63802287489536e-06,-1766.84664057814,0
1,0.314681956462201,0.140723166649562,0.818150048888776,9.7,1.77932815122051,0.445154998594633,0.25707273129536,0.00036137187667659,1,0.734660146725758,0.970633790486969,0.4582118886,0.909520174153058,0.948081633980645,0.997348911989107,0.984923620373592,0.995294292782176,0.883793821265301,0.927682733523964,0.986951438689181,0.997609856312505,0.849142253508429,0.996366086590538,0.87567081962001,0.822493276633748,0.983985528944809,0.977199848097097,0.720871877425929,0.996647190946116,0.968187463257062,6.23959012491733e-07,0.000192662250019378,1.88298262729514e-06,4.22340555262884e-07,2.95689978393649e-05,1.56682717014669e-05,1.40488105231011e-06,0.000140444481115256,1.73941386692425e-05,1.18214469869335e-06,3.64296994775488e-08,0.0128476824257648,6.25240343580029e-05,5.78469163442316e-06,2.41564670987178e-05,1.38917860907085e-06,4.99080979339113e-07,3.06406456447667e-06,1.19694657243278e-07,4.55834915643856e-07,4.91520131944656e-05,3.84956831972927e-05,3.75706003783347e-05,1.2529233406862e-06,4.84061238890986e-08,7.08890381845049e-06,9.36266408410314e-07,9.4331456652773e-05,4.02385637976416e-06,0.000111375139540484,9.98095942009258e-07,3.03259981922228e-07,1.03633863615433e-06,5.25758873666024e-06,2.84142479206314e-05,6.65425612193599e-07,7.88910957009366e-07,6.38628962359779e-07,2.22167586588827e-06,2.16533460854472e-06,1.14366898901106e-05,2.51639417587919e-06,1.58347935080633e-05,5.00225363229277e-06,1.12128703277572e-05,5.59687081270977e-06,1.75902855344174e-06,0.000115100123892771,7.02347646171934e-07,9.97478929732452e-06,2.6211928327437e-06,1.88479436740374e-06,1.69374905028319e-06,7.92935175645717e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76351006501323e-07,4.07853723119473e-05,3.55800862161228e-06,3.51597857698503e-07,1.35479719565735e-05,4.54089283722574e-06,1.14424964263498e-06,4.18441996766595e-07,4.92973212828484e-05,5.13480697719533e-05,1.40270464193287e-05,5.27826551076717e-05,5.3926481568035e-06,1.56235253831845e-06,2.50661735917297e-06,6.27955880014741e-05,2.62326292985614e-05,2.02817850011183e-06,-1766.87589776964,0
1,0.307386433181885,0.160149677445057,0.757962146546625,9.7,1.84685769329122,0.446384968434947,0.251531489402144,0.00032138001313472,1,0.669604446787108,0.979963355486362,0.46219454906915,0.992938411843208,0.946976449701511,0.918052594350364,0.985197129225136,0.982860491583065,0.952121738985541,0.902012808564822,0.995099807643574,0.876199374661481,0.507351877654525,0.982325538879994,0.785158630152374,0.976472225497254,0.911328388298604,0.982974712541324,0.790292771193667,0.911628541253471,0.945785209515176,1.00018949224823e-06,1.42029211456205e-07,3.81560765863025e-06,2.41250822613266e-05,6.39673731127553e-05,4.49722875275373e-06,1.1143262222363e-06,0.000125732826458033,4.83206577077856e-06,2.89948356160064e-06,1.28114150437256e-05,0.011452283469488,5.90740215682424e-06,1.79872408201061e-06,3.03283773929224e-06,1.22497785403464e-07,2.01855187298246e-05,4.65070645583561e-07,4.07332034886817e-07,2.17761621423763e-06,4.42727453862727e-05,4.16047070252819e-06,2.25987522519799e-05,2.78465647733208e-07,2.00336851712245e-07,9.06762928314085e-06,3.29102812923504e-08,3.52795374835465e-05,2.39407946705474e-05,6.55085143324246e-05,1.85852233628787e-05,1.57627260725855e-06,8.10664032870605e-07,7.83098902377537e-07,1.58965123539555e-05,9.73753339884896e-07,7.09395530764185e-06,1.69069014259904e-07,2.29569578765339e-05,1.37061408965115e-06,1.66764425564834e-05,3.69799116455645e-05,2.83746464270446e-06,3.45637140284468e-05,2.91480489262606e-06,0.000250192865277992,7.5405221435177e-06,0.000253632677076471,7.06985695869147e-07,1.17652303220568e-06,3.88355103724249e-06,1.23722082404618e-05,3.04092118783831e-05,6.21466566632926e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94434571963401e-07,0.000228087528904039,1.94557494454449e-06,2.70524138690044e-05,8.84314727565542e-06,6.80681184295311e-07,1.73983353958094e-06,2.25558222779933e-07,4.37182910655351e-05,4.33002752784015e-05,4.19006181086953e-07,2.68628183020277e-05,2.94048277084608e-07,8.53128979332337e-07,6.24061666846614e-06,6.6959757058849e-06,1.42964965919224e-05,2.59274302353332e-06,-1767.45273583705,0
1,0.291023684239627,0.176768278720864,0.736313573407503,9.7,1.75040478903549,0.445716522152526,0.264453666681782,0.000312939835639222,1,0.506394785875578,0.936076448914204,0.462965713078679,0.883988972230445,0.98848708014979,0.99410253974226,0.900563553629392,0.973548774601166,0.985771791984231,0.96029245778287,0.98695432381075,0.993916040458948,0.583156018453259,0.995692964176876,0.988912828494884,0.951743634792944,0.923912943770438,0.991606584572165,0.659554696598186,0.99296502349555,0.972878543753603,4.12051224487096e-06,9.28194257239458e-05,1.97144608150978e-05,8.14007038029236e-07,2.96508606708543e-05,2.9189131204104e-07,3.09426730310609e-06,0.000310210647565284,3.96612808975369e-06,1.49534555548553e-06,2.08419986659309e-06,0.0150351036862815,2.80596225180913e-06,4.15116204854001e-07,6.70457564117563e-06,1.18391962935288e-07,1.21890967395087e-05,1.91779362866132e-07,1.2378661912821e-07,1.60078351563093e-05,3.53436326985797e-05,3.10757624158916e-05,2.12876870423136e-05,7.41604794593622e-06,1.80764671312626e-07,7.31183254709884e-07,1.93653069984397e-05,2.92792117899279e-05,4.88756301454496e-06,3.16122457033306e-05,2.8675112102411e-05,1.1370595945746e-06,7.57938885110141e-06,2.93497136269169e-07,1.53337431419106e-05,2.14376808909609e-06,1.54056561119856e-07,3.53837946717172e-06,4.15208658245771e-05,4.44745406565441e-06,1.41929174290275e-05,2.15486897718485e-06,2.654807757354e-05,3.10426633366954e-06,8.73393314391254e-06,0.000113364316805111,1.8160779268394e-06,0.000236005673157729,1.88301133451666e-05,2.30914166943779e-05,2.14660635755226e-06,8.16386877388568e-08,4.66040342459596e-05,1.26099404329293e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84027226591467e-08,0.000204219101297929,6.46354254165172e-07,6.71345607977821e-07,1.89149179342154e-05,1.80108686281504e-06,1.49003767175823e-08,4.97358415532102e-06,2.65331133467015e-05,7.97738190717647e-05,4.88524379904181e-05,3.40221989256819e-05,2.67812052272607e-07,1.22947023232301e-06,1.11396411784375e-06,2.47103775571084e-05,5.82136606640283e-05,8.45868391846314e-07,-1767.58969355182,0
