"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.241090678508397,0.169914520931979,0.723424529491472,9.7,1.74477892645755,0.448657537177223,0.268291550248134,0.000369326595018421,1,0.642960548152396,0.963345587562746,0.529808060428463,0.995107382364723,0.937330211073487,0.904278021079621,0.915955254198186,0.959842988372163,0.932789006105799,0.994553499938787,0.993659012810928,0.981702863404101,0.89936596930343,0.980188716970002,0.974075287586429,0.987937163995501,0.998520684919222,0.970841157429796,0.810058673805191,0.988314446632556,0.990745025069348,7.12588573026776e-06,0.00041893598119503,3.72230810207487e-06,8.1075238126234e-05,3.65036990928441e-05,2.4440113928568e-05,2.96520605697198e-07,0.000309591974743178,9.34174501407847e-06,2.18368740213879e-05,3.92587217061228e-06,0.0150595649901455,2.1051703905033e-05,9.81318338215958e-07,2.37830257039235e-06,3.05130484527768e-06,1.62654995107002e-06,1.4101188552374e-06,2.45445337542572e-08,8.33461198308674e-06,7.50869833512619e-05,6.40466835031451e-06,5.31977318275282e-05,3.46923601643415e-07,9.93526876117301e-08,4.66857197548631e-07,2.41075507805822e-06,2.7266625497212e-05,2.30644491033823e-05,5.99653583341086e-05,3.59807339047371e-05,2.31476252554508e-06,1.21825745761365e-05,8.66536964227375e-05,1.16535518505455e-05,2.81863609924338e-07,1.98359126195524e-06,5.11617477611851e-07,9.85554879062811e-07,3.98864296899058e-06,8.23002638925952e-06,1.98291144679216e-05,9.68932311229319e-07,3.86252459278388e-06,1.66905645162538e-05,5.42858989445257e-06,6.75105874372323e-07,0.00604069710182121,2.84530621543958e-06,4.30152434275011e-05,8.30624633044068e-07,8.95741582464739e-07,2.09105472796058e-05,6.67153917224585e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05913782949732e-06,6.69191583121217e-06,3.50977885540744e-07,2.03780685607111e-07,2.23017067244811e-05,1.9233540213008e-06,1.81574939101124e-06,1.36497281180893e-06,6.61775054312674e-05,0.000166076087245501,3.25827432700613e-05,6.13681347131981e-05,9.78008297486093e-07,4.27355235865093e-06,1.89416423578887e-06,2.71528371159495e-06,8.77317053314054e-05,2.73629707774767e-07,-1735.36311093385,0
1,0.30820731343244,0.157037778123579,0.748706189253001,9.7,1.62409373722316,0.467188563593153,0.26982679670784,0.000302796666221944,1,0.838083266813468,0.963391984953013,0.526330527373862,0.989909191523044,0.969670375605324,0.866038226391032,0.653327271570756,0.974372497506654,0.477637382219769,0.931421195151992,0.887993212747459,0.985427126393172,0.953445508802581,0.945338917501652,0.845273017922516,0.615293945868418,0.993155226835972,0.953575385121335,0.987115235046829,0.962581766186556,0.984538749807576,8.99817193974973e-07,1.83892029810343e-05,6.08031489555302e-06,1.78080164639905e-05,3.15212141706484e-05,1.52722757340865e-05,2.43004658582944e-06,6.14480756767877e-05,3.52444433574939e-05,6.85416215229798e-07,5.02278418010512e-08,0.0120991880739457,5.05294247822298e-05,5.66798009864825e-06,2.4751565647453e-05,1.4256867628628e-05,4.84859408087163e-06,6.23446234487204e-07,9.23685080333838e-07,1.46737072785744e-06,5.78736270455523e-05,2.66623981306401e-05,7.62345915272871e-05,1.32474541341713e-06,1.87735429740148e-07,1.93632598754177e-05,4.46731756241402e-06,4.25852335823572e-05,2.55969959552787e-05,3.64948095682817e-05,8.87672197218503e-07,4.35965077608519e-06,8.19278642170333e-06,0.000114557704059216,2.41089180018357e-06,1.0897553013345e-06,2.80239880331224e-06,2.350675098693e-06,9.78453568142585e-07,1.46883718248845e-05,5.37017037444201e-06,1.82575486812581e-05,4.71915301629906e-06,1.46649759686437e-05,2.84259580118601e-06,3.9319954746646e-06,2.34601331858227e-06,0.00166799068909203,3.57121189565579e-06,6.16184430236515e-06,2.8930334803287e-06,0.000110594684195511,4.67484430163238e-05,2.14391316856423e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00073823044749e-06,0.000395472938407667,4.50388652809389e-06,5.61354758636224e-06,1.62997710444641e-06,2.77461221514008e-07,4.03352134928597e-07,2.11574396319771e-06,3.27694006913667e-05,0.00017337396325179,3.62688955627871e-05,0.000160344538704357,2.81867695072375e-06,3.10575128353601e-06,6.27180603475989e-07,1.29315238783956e-06,0.00010311112829836,1.91783393137522e-07,-1735.37255604766,0
1,0.246306657712706,0.159027316560463,0.740825311507841,9.7,1.84075534382252,0.483002427757168,0.278978874488689,0.000294954831534336,1,1.1669262704337,0.928095364458515,0.542312709484757,0.975551659356459,0.874671150486864,0.9935533243424,0.835759296275589,0.989096848352402,0.92726391795771,0.983837491601223,0.966929725114064,0.955510036402732,0.94246107404293,0.997449337984097,0.894007119849292,0.75091992427768,0.99871546739579,0.757540307880293,0.603238679800468,0.666435929964101,0.973082455159275,2.61503869806855e-07,1.86593455332671e-05,3.40859541459701e-07,6.12946717733836e-07,7.15831907885887e-06,3.06308163139438e-07,3.10560398026177e-06,0.000245753879165795,5.83599366642324e-05,2.04460850338148e-06,3.66716964930847e-06,0.0146053041560353,5.3768580828693e-05,3.77692500137508e-06,2.46174459443595e-06,1.56972463729386e-06,4.73294500290251e-06,4.35783931177718e-07,1.27225604716545e-07,2.90595902590193e-05,6.20157634866969e-05,5.57534639315826e-05,2.87994527249897e-05,3.69680538375795e-07,1.13410556568989e-07,8.44728675503426e-06,2.56181119677261e-06,9.31516161129464e-05,4.85853492021672e-05,0.000121761220648123,8.6217159197538e-07,1.96145020653e-06,3.10754856585722e-06,4.62062783493775e-06,4.68154638382735e-06,1.44157338469894e-07,9.90629844974685e-06,4.56521941634935e-06,2.40887406976527e-05,1.32031246271026e-06,1.37396074299802e-06,1.08237368472178e-06,1.52187544500113e-05,5.50542493549988e-06,3.02444189588284e-06,6.01750837026906e-05,1.04585301484159e-06,0.00124736749700362,1.86230057074035e-06,1.09304625126473e-06,5.79728001882933e-06,4.42100090695066e-06,1.5376603152552e-06,2.05570205033986e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42232549416949e-07,0.000194120076701194,1.24065755063364e-06,7.92826001761001e-06,7.12165018810778e-05,3.3193478040374e-07,2.27188369190284e-07,6.04643290364627e-07,8.15149114770596e-06,0.000130502787761998,9.88346754665882e-06,0.000200358012798923,2.36575948979832e-06,1.54355610000047e-06,7.23428248399668e-06,3.44385645739225e-05,5.11329365611351e-05,1.28792966069985e-06,-1736.685675793,0
1,0.240474446580428,0.178700236937091,0.749258143548783,9.7,1.54957865825896,0.450366844082488,0.245096738515702,0.000330155676646866,1,0.447144487925808,0.985083320098965,0.535466695816314,0.928973404530521,0.953882058457842,0.775208539405033,0.98145937912512,0.983752592649751,0.996275296121931,0.985249952861156,0.974186577763,0.994933506489221,0.929246301347596,0.928117312463607,0.457016060385205,0.892636000353874,0.998130362171896,0.972720642092771,0.981113828591007,0.925521658921624,0.980101916741253,3.71755223270168e-07,0.000381354031354815,1.08882448756414e-07,3.09747192592834e-05,5.90320818620889e-06,3.4248843136472e-06,1.37980813871612e-06,0.000348519022146271,2.53198447801342e-06,1.18916285668302e-06,1.60422316449294e-07,0.0103679651056018,7.7849974262517e-05,1.64394378842568e-06,6.28157853323506e-07,4.7993028270362e-07,1.75773332103924e-05,5.98000253938872e-07,2.99605579126758e-07,1.40698926724642e-05,1.99681336878735e-05,2.01857291572259e-05,5.60115273001294e-05,6.50047749933115e-06,1.82884498209064e-07,2.59239487985345e-06,4.26729479745794e-06,3.25925543754987e-05,9.26117220141123e-06,1.70878057924393e-05,7.12368884169531e-08,8.88281720229465e-07,8.60628834728938e-07,6.50233472319009e-07,3.01127050076054e-05,2.16441620392835e-07,4.95309363060468e-07,5.7099247624653e-06,1.81105633077217e-06,1.05475772290411e-06,6.2540696132318e-06,4.0095305131223e-05,1.14393190959944e-06,2.79253274088965e-06,1.72453878417359e-05,1.40170180235553e-06,1.11379493874769e-06,0.000635374395747451,7.2405888631538e-07,7.22911772187614e-06,8.65387223865182e-07,1.705694573542e-06,9.71066661240016e-06,3.92236267991883e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57796035801939e-07,7.45165619771346e-06,2.67909920116849e-07,9.81046654171207e-06,4.70135431211923e-06,3.59115338075055e-08,1.11762368511641e-06,1.29231467932098e-06,7.02598259407336e-05,0.000197295835679989,2.43334212160166e-05,2.22403713687588e-05,2.19446148977689e-06,2.43635892438447e-06,1.1006271722497e-06,4.59665772104506e-05,2.98172335960198e-05,7.99444813757898e-07,-1736.77831141381,0
1,0.26677088974259,0.171897604654354,0.72521868297141,9.7,1.71177144853334,0.467116245189916,0.279592078107233,0.000254645324449226,1,1.13308049760633,0.951721354366571,0.548309479563339,0.954295894632878,0.995861768394306,0.984035356612366,0.857787554708951,0.994467114950556,0.98537965354386,0.928199071459925,0.955966239154383,0.995932950205179,0.947799229021357,0.996187777981045,0.889638871246035,0.974108980039088,0.988423190943187,0.963454964324248,0.912383666897125,0.972296272691739,0.931109992127623,1.51610577080385e-06,9.07711279280327e-05,5.2918331579719e-06,1.45127913915544e-05,0.000126844788614977,1.25369617402637e-05,5.3939927762595e-08,9.57330095439304e-05,1.44358974079719e-05,7.18109930237031e-06,1.88227814921044e-07,0.0149929875361723,3.49498368636345e-06,5.34477226861812e-07,2.30975549754423e-06,5.05820569702376e-06,5.99088383362339e-07,7.03378788120539e-07,6.14334430260762e-07,7.26912089957858e-06,0.000104293946450473,6.31308783449903e-05,4.90527051927091e-05,6.66243745717576e-07,2.01424220948341e-07,5.48214242994049e-05,9.64363470744937e-07,0.000210664770434756,1.9423032851784e-06,0.000179205273211251,6.61720052448966e-05,1.83227099898451e-06,6.55794581570889e-07,3.15018851967015e-05,8.94690228506981e-05,4.33497980524367e-07,1.16378388037244e-05,1.77574972736662e-06,1.39715626606441e-07,1.90142548646396e-06,1.26739555576564e-05,2.50435086106468e-05,4.50935697241868e-06,8.10814062311877e-06,9.17886173622331e-06,3.2607529687924e-05,4.46015421435022e-07,0.000346202643263919,2.10434713206731e-07,8.43162425270297e-06,3.44941179160734e-05,1.97963155263616e-07,3.71385016078067e-06,1.3798175834186e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63153376437736e-07,0.000280092862572323,1.97788302746335e-06,2.24507050636608e-06,1.2045552807042e-06,6.1145293512618e-06,3.08473797881173e-06,1.18881329364269e-07,5.71541764046559e-05,4.16895445156666e-05,6.36698858033742e-05,3.1665101500864e-05,6.04920458301346e-06,6.27940518863959e-06,1.47956031616279e-05,5.40714520467158e-06,2.16847363389287e-05,6.36376320759249e-07,-1737.18652064978,0
1,0.305655531274273,0.152733569621249,0.790930349692204,9.7,1.61740768473627,0.464297079512135,0.27609923632663,0.000326962356182914,1,0.746382413305207,0.991484470719938,0.527216385635975,0.998133528749939,0.995518992380933,0.910026716232675,0.810284680839126,0.981746865604113,0.624108392638176,0.978111476524838,0.984875474377442,0.984786857163983,0.954380698866475,0.989783580231687,0.978246929677536,0.99817297390532,0.989332482736226,0.96106720036975,0.176054129803721,0.996485883503451,0.985119342467197,9.19282339893734e-07,0.000432502426928797,5.52683758936965e-06,6.46544920141293e-06,7.62855608352797e-05,2.52808430382731e-06,2.6854166753114e-06,0.000298994681712311,9.11310146113038e-07,1.34341123332068e-05,4.24359378403596e-06,0.0140796178835534,8.05524146363416e-05,6.18563025105939e-06,4.04848733731627e-06,1.88905607747662e-05,1.55217775815808e-05,8.01780967035407e-07,5.52955617079131e-08,6.23468619259299e-06,6.66472252145365e-05,2.17318812395577e-06,3.38180536891658e-05,2.02342319168959e-07,3.77694640377082e-07,2.80319566318819e-06,9.39405004602069e-07,0.000114195912762436,4.40646876019047e-05,5.24743178089774e-05,2.09831764238534e-06,3.17112764981129e-06,9.0773841003735e-07,5.15334768123511e-06,3.87265347879397e-05,9.61771106451701e-07,8.03059896502521e-06,3.94197580230607e-06,1.16460655909803e-05,5.14739055903418e-06,3.16318117319449e-05,7.80355769272221e-05,4.58305992354015e-06,8.61483851554571e-06,2.85218172136985e-06,1.71816973800572e-06,1.17270497676378e-06,0.000972237424412753,2.73546055452454e-06,4.43102444880532e-05,8.14454059596565e-06,2.14794780709692e-06,2.59541241135165e-05,5.79082347732076e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84937450808381e-07,1.19022954688851e-05,2.33973986897343e-06,5.25508223124566e-05,1.5541033325005e-05,6.3722217275323e-06,2.09275927433149e-06,2.9120097811742e-06,5.64016671417242e-05,4.98803268161061e-05,5.5350150840351e-06,0.000356060122730975,2.66915494918962e-06,2.20013384479221e-06,1.35765918184105e-05,6.62263078363197e-07,1.80639654366911e-05,5.00959274473036e-08,-1739.33975599423,0
1,0.282582547502946,0.154627697172075,0.762652822309206,9.7,1.54576994390007,0.481654652739558,0.271601194507474,0.000273470639762285,1,1.10318828522935,0.932896263495583,0.543706441106301,0.993656715205041,0.998890844514384,0.892806428733385,0.79682709518793,0.989867868215697,0.901800115618838,0.877326281356579,0.79991386172248,0.971829134202379,0.978516298350908,0.996817362296073,0.953552874047376,0.807882906515455,0.982370201821102,0.997645754030339,0.620058975726859,0.896624138272216,0.965854797617568,3.38843839061401e-07,1.9057823639991e-06,4.9319335805038e-06,9.50785720808912e-06,5.40872966994481e-05,1.35413129658932e-05,1.6161211417739e-06,9.10277283977059e-05,5.56300253164846e-07,1.18345893498259e-05,1.15016015143165e-06,0.0171467941611296,3.83418948417232e-06,1.46999499092679e-06,9.23314149656878e-06,1.42808825537022e-07,8.19657233321491e-07,8.94140261394248e-07,8.1382654548699e-07,6.35481938153825e-07,0.000123566750158586,8.28144827760422e-07,9.07627463082546e-05,1.72516007240387e-07,5.51713400927801e-07,7.11163452869151e-05,4.26260385525237e-06,9.19363065168778e-06,3.03742078030897e-05,8.01004083611398e-05,3.74906004201895e-07,4.82428970542592e-06,8.07428787663429e-06,0.000106971873013459,0.000110812508801222,7.57151591785299e-07,3.73967035233406e-06,7.38053314868302e-07,7.34756558772146e-06,4.07088298250589e-06,3.36700633703756e-05,6.05693131181499e-07,6.77431700579326e-06,5.73072662194448e-06,7.33655061286284e-06,3.29325121285009e-05,3.10845228664258e-06,0.000366200188335534,3.74543719310273e-06,3.34758918777548e-06,7.25028287987895e-06,5.27072820016505e-06,1.0840599171103e-06,2.50326519103484e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07466798869043e-07,0.000419729299863853,1.05619158252926e-06,5.54239612042468e-05,7.09304762976727e-06,5.46719753925001e-07,9.59369307836418e-07,9.39447973631457e-07,6.13307108601253e-05,0.000227121686709515,6.28703206900866e-05,0.000284075550960854,6.02123604349934e-05,2.6017224920218e-06,3.31875327610634e-06,6.86829446582484e-06,1.79447387582447e-05,8.37447942302592e-07,-1739.39086836982,0
1,0.245400211604263,0.172379213615281,0.777059504175232,9.7,1.78606540823937,0.452066972451428,0.253655345268179,0.000358358543169084,1,0.630016347882209,0.943182046581564,0.528927136359313,0.998952488859263,0.937799298104368,0.868919535762586,0.587130186812572,0.938494473536121,0.830410921075887,0.993127498042815,0.97616705937454,0.974057233107754,0.810549218315931,0.991581069390405,0.424191206921198,0.981236524044499,0.976691857574115,0.97058251154715,0.982771214870527,0.977477400683337,0.953132624988394,3.82595820774921e-07,9.65530321143003e-05,6.26799139526237e-06,3.16261174680909e-06,8.32179446332031e-05,1.25035960373314e-07,2.95458340739937e-06,0.000293233795847504,1.39280220717757e-05,6.84684550556899e-07,1.00975645798767e-06,0.00762654945237637,9.54659896638834e-07,7.4427322367167e-06,3.48801385500703e-07,7.33040104045185e-07,1.02477399320659e-06,1.16537633183833e-07,1.39953640187654e-07,1.11061890337361e-05,2.28829321339797e-05,1.69604299725274e-06,2.14995286394627e-05,2.82553610421981e-06,3.66928228843081e-07,2.36638132645299e-06,5.90033209156789e-07,6.69049228755685e-06,4.7547248718705e-06,2.55222008490931e-05,1.76025192999879e-05,5.00042296741452e-07,8.23518890375685e-07,2.5550569161193e-06,2.60350430332771e-05,9.33020944697505e-07,6.86681088633251e-06,4.66632740651358e-07,3.02637284302565e-06,7.79280999896473e-06,2.29183735026205e-06,7.5015186316236e-06,1.14338401929425e-05,2.97276013774121e-06,1.24942420888694e-05,5.46025937680171e-06,2.5646027896651e-06,0.000473133246369106,2.85150501594087e-06,3.47304832292248e-07,1.43590310530119e-06,2.52211928766811e-06,6.43242974668459e-06,2.2998994726799e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97740365295409e-08,0.000178216316152602,4.02206919253341e-07,2.37650325257531e-05,1.10877792838536e-05,1.25797407531643e-07,6.02689972933367e-07,8.55828176375415e-07,5.23714081746397e-05,0.000181397586884736,3.27226306504559e-05,7.28301670526035e-06,6.42644389011285e-06,6.53773367184637e-07,4.21698524624938e-06,5.36437236270631e-05,1.38923614354563e-05,4.50946518143875e-08,-1739.58412837329,0
1,0.302116840356185,0.160152292663983,0.753282417122376,9.7,1.73385002709732,0.45558750499871,0.256787659995092,0.000321770474926901,1,1.04659196385388,0.974323627269472,0.526420145847684,0.873747153442316,0.889800421134569,0.988887262304481,0.938802547515697,0.814389162520095,0.996432466382997,0.939350962986708,0.952968466845511,0.57262183956072,0.991776523472771,0.993528783761917,0.927997303758616,0.747945020580059,0.933257529023972,0.979655499287638,0.993853324837879,0.999127808518497,0.980225980765237,6.97439614448626e-07,0.00030025226538471,2.08250133083171e-06,1.38301029247402e-06,1.90122856545057e-05,1.4643633110716e-07,1.20795276778357e-06,8.95161813949193e-05,3.26795923009799e-05,1.19532792153443e-05,2.47720510828813e-05,0.0152188440409763,8.37918791657671e-06,4.95020878780647e-06,5.47803061756618e-06,2.79265822092877e-06,3.50455763836182e-06,2.27225962051465e-07,2.50199962253664e-07,9.09088990899662e-06,6.75931379479492e-05,5.07125504319287e-05,3.07052238907384e-05,8.5144569374562e-08,5.25798765236698e-08,2.40889827722789e-05,1.17795504791089e-06,3.74924619760029e-05,3.83293878139641e-05,0.000131861728261154,3.55499230491511e-05,5.472754644391e-07,3.21967854024048e-06,1.26975283681168e-06,5.32967761703404e-06,6.55422536595217e-07,8.97524678033148e-06,8.23691997973086e-07,3.58956914918996e-06,1.82375698980453e-06,1.32905589035669e-05,5.85483515609533e-05,6.25142276953138e-07,7.03832549289371e-05,3.50941632186959e-08,3.64146044862342e-05,1.96994221670302e-07,0.00145150785397235,3.4483728797075e-06,1.42100190346228e-06,1.42267313297722e-06,9.19690074020294e-07,2.10627381720034e-05,3.31083897598596e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02507042037088e-08,4.99205326875373e-05,2.31475842336139e-06,8.337281153558e-06,3.22317887347442e-05,4.24891524694972e-08,1.85531473661421e-06,2.77453711416069e-07,6.19728159966395e-06,0.000159937107523602,1.36250288856401e-07,5.32573097811954e-05,4.84569114730017e-07,1.59542899355587e-06,2.19565481028878e-06,6.45404959581415e-06,7.92615339266349e-05,6.65244002863982e-07,-1740.24766213515,0
1,0.322182230442958,0.147239486409355,0.79120832472827,9.7,1.78531805262707,0.48153995758119,0.260507067494921,0.000255817018931126,1,0.618945486949694,0.967588347268788,0.551196843489518,0.992408349827286,0.861962631200104,0.949966645800662,0.950049373856649,0.995813134786522,0.983718511920825,0.935073552673512,0.974779326916451,0.947573418713149,0.850730700573741,0.975827155117478,0.82348261879367,0.936063410187254,0.958757616461319,0.979943556279677,0.993264558235913,0.973218381019311,0.838064231980932,6.84139516620697e-07,0.000114015794325989,3.20114257652073e-06,2.39527894271686e-06,2.15322165604466e-05,5.90498017399117e-06,1.2537136583504e-06,0.000122501169745555,1.68548011257584e-05,3.5415236599912e-06,1.38799032777412e-06,0.0128372615728521,1.77174836161108e-05,1.13061678172479e-06,4.05423680935285e-06,8.70383366399332e-07,3.9413838877522e-07,4.58407880921772e-07,6.51973994719723e-08,5.92878890054567e-07,1.48475626404573e-05,1.70880793100149e-06,2.52050376639672e-05,2.81426679258741e-08,2.40964379280615e-07,1.08961381019702e-05,1.54771809483167e-06,4.00875449640989e-05,3.0296747927586e-05,3.74229077274335e-05,9.65976523328562e-06,6.5170554247559e-07,4.95084762139766e-07,2.08672912562616e-05,4.01279066018002e-06,1.05217422966135e-07,1.16700694236196e-05,2.06383294405074e-06,1.10344287016691e-06,3.25830792818946e-07,1.27134471268197e-06,0.000111706302741556,6.26785975968549e-07,5.32993320857884e-06,2.09011153338121e-05,1.5794920118463e-05,1.99774785719901e-08,0.000381262111774177,2.06343866227833e-06,2.04148929828399e-05,1.68206749236286e-06,7.48067100857797e-06,2.69681277796244e-05,1.59154267261139e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85953635643422e-08,0.00010844599220691,8.52726637379555e-07,4.70845415610876e-05,1.11329025605931e-05,6.47073725112244e-08,1.5854522468631e-07,7.00563237124056e-07,2.90048046256775e-05,8.72642248705577e-05,2.63515829495837e-06,3.03436178948265e-05,1.09861631630518e-05,2.11741152167207e-06,4.52730594302715e-06,7.64904226681778e-08,5.87670439005923e-05,5.79384443286034e-07,-1740.45767274086,0
