"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.247363176529305,0.163597268644523,0.78467265234938,9.7,1.61677718580175,0.468169383987878,0.256899407809211,0.000353114374653667,1,1.21966297363728,0.958583700356604,0.523809237537388,0.899665971158912,0.65060753352537,0.928688289937933,0.996862625478441,0.981826602001255,0.962686703204623,0.934171154494461,0.923417247189101,0.886188451752135,0.854184963567511,0.793753849541964,0.815867240619508,0.90226185135325,0.992602579584951,0.962893995938297,0.798979698137026,0.997305690285947,0.977748376794364,1.37345632362546e-07,3.7191189178646e-05,7.10797658366231e-06,7.91534751190915e-07,3.67414956718311e-05,1.60168529192885e-06,8.35130790386742e-07,0.00011120461076262,1.84741429189517e-06,2.14250968333312e-06,1.31275332712531e-06,0.014996920672882,8.19735914119909e-06,3.49253148151466e-06,9.23385638950457e-06,3.49006593280033e-06,2.37596663860499e-06,8.44476923487651e-07,3.63838177807447e-07,7.12754989636521e-06,4.55042780594228e-05,9.13311503848589e-05,9.60071974749717e-07,1.08473938305204e-05,6.78083705367103e-08,3.3833592912069e-05,3.3873136682536e-06,4.31207655018513e-05,2.4711634623337e-05,6.45883319602053e-05,1.40346823497374e-07,2.48017360654635e-06,6.85769652516606e-06,0.00012463258261534,6.19104310616445e-05,4.24796162698396e-07,1.28056883462165e-06,2.49399383114193e-07,3.19119217077256e-06,3.63541735002598e-06,1.16048083095706e-05,7.01266264763406e-06,2.95248358977801e-06,4.29841118235813e-06,4.77479933299451e-05,2.27081619253022e-05,2.84878535976594e-06,0.000605319136675434,1.53356902031493e-05,6.26024132410482e-07,2.03275600028676e-05,1.29824819533643e-05,1.36528461339909e-05,4.83060169477053e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57170130627373e-07,0.000206437639002942,3.32700519718847e-06,2.40216930170739e-06,8.16995815589628e-05,4.47204252752866e-08,9.25581784810444e-08,6.56276120933164e-07,5.38740555318185e-05,0.000174159104190344,6.31778131327355e-05,1.74208951432935e-05,5.46405910333696e-05,2.62774491296352e-06,3.34124862354306e-06,7.09419787211548e-06,5.27069510347755e-05,1.45761895332896e-06,-1754.81129121909,0
1,0.239574018654386,0.14675021629716,0.731046990803303,9.7,1.84636486490113,0.493165595315433,0.272978741167978,0.000290580773479265,1,1.12111089680755,0.931973879473542,0.527678218023957,0.989246347376974,0.992395641180817,0.915872395637744,0.957890889285606,0.99950790153949,0.778525377044213,0.970924948533418,0.977039691304041,0.993744595688986,0.588584386866349,0.997283916662459,0.794257019775691,0.898352050685903,0.983991852880744,0.913519935925168,0.976583466659442,0.935020197716832,0.983912015484205,3.00413574478241e-07,0.000388290988108658,1.43271823947138e-06,2.08760105698924e-05,3.1456485015274e-05,1.76092827465804e-05,1.49704134365247e-06,0.00015977050756173,4.69897048081121e-06,4.95774872438086e-06,8.49343386810562e-07,0.0134277390546757,2.00190539129277e-07,1.70732599634126e-07,9.92543457842546e-06,5.49701905094627e-06,2.21483827714883e-06,2.52558041210918e-07,8.36212728679103e-08,5.78588204858198e-07,7.41433669634316e-05,5.2590289669281e-05,3.19067669826894e-06,6.99487373817369e-07,1.09861270391331e-06,2.16581645872981e-05,1.35139002758154e-06,5.23128978939687e-05,5.76719649854656e-05,0.000149053522246662,5.92553074574796e-05,1.74036346098382e-06,5.17934202396461e-06,0.000107735044953281,1.03938334178635e-05,2.01360129162743e-06,3.26096177143175e-06,1.78517671914746e-06,4.97293446979759e-06,1.58316386235062e-06,7.32815690355429e-05,4.33544425854964e-07,1.38912891583245e-06,1.52834969833205e-07,7.21212137170521e-06,1.32176139352379e-05,3.16771318710445e-06,0.000200875792618857,9.48952756380651e-06,3.34479031744279e-05,5.84189842060755e-06,8.85152256341104e-07,1.31801962939345e-05,1.31155787640922e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18460822209736e-07,1.04577891436887e-05,8.37659907763311e-06,1.06429285743578e-05,7.79812792694251e-05,8.88571126069846e-07,4.49512579723478e-06,2.60320814687411e-06,5.31015135411901e-05,8.6199591537555e-05,9.50084578423305e-07,0.00019961022778994,7.03763389140736e-08,6.72645014063401e-08,1.47071020253851e-06,2.57020092394872e-06,7.39082911499276e-05,2.66615749693092e-07,-1757.50791860067,0
1,0.280931416820833,0.140218601039649,0.798989131052097,9.7,1.63359027825162,0.460071793723767,0.253674784587267,0.000318646942225905,1,1.16174400738465,0.941961273081747,0.512637836014699,0.996852541891026,0.945350080939573,0.867642982607256,0.839349418325028,0.996921683165473,0.973068485944969,0.937362117758591,0.941251741570868,0.963258639223613,0.92611634111749,0.993884115287076,0.911848518323006,0.995319312238977,0.994594462744191,0.962333135593921,0.997236125681626,0.948197593255145,0.578042912749883,2.40494494888169e-06,1.56194638193573e-05,1.03115063896807e-05,1.94788639107481e-05,9.92215479303766e-05,1.14364999598854e-07,5.05299030689314e-07,9.88303507830704e-05,1.83116149551641e-05,6.72643371972786e-06,1.24870680744179e-07,0.0196942067463825,2.35995029653858e-06,2.82961168031323e-06,4.99931873962313e-06,4.14400358239707e-05,2.51961911489281e-06,1.18527602909946e-06,2.1752563632581e-06,2.06347483499486e-05,8.08135448604359e-05,4.7403252872164e-05,1.30530859606671e-05,5.98929287076689e-07,8.28641140558186e-08,4.12529168606394e-05,1.75930625226888e-07,0.000107496507037464,1.66756721361928e-06,6.06478542885795e-05,9.63818680278096e-07,5.19516633772578e-06,6.32989089135045e-07,9.12930645312407e-07,1.53841826900334e-05,1.58684243944166e-07,3.01299676641795e-06,1.58876131526558e-06,3.56528797787491e-06,1.98539373467796e-06,3.06687184493595e-05,1.43369595382719e-05,3.38035272473171e-06,1.77852031982743e-05,1.90380174902448e-05,9.11144427394274e-05,1.48123812214883e-05,0.000439698128230055,2.78884218716923e-06,1.53245942152791e-05,4.12722909496054e-06,7.3018093422513e-06,9.66066046462023e-06,2.08556711411153e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32406963834634e-07,0.000155938757905762,5.77951037526381e-06,8.95323942538083e-06,3.28657141101466e-06,4.38425994156335e-07,1.15685008920378e-06,8.08656664307443e-06,5.41301192774136e-05,0.000145844027034577,5.55534467203285e-05,2.71610145066457e-05,6.66283777066485e-05,6.48669951912562e-06,1.63044582188302e-05,8.73446657941974e-06,7.48841175064776e-05,3.41696709144654e-07,-1760.67006896171,0
1,0.241179502727116,0.173863280105536,0.785512139189416,9.7,1.48244771931848,0.474831124585043,0.274824504431654,0.000214526675464854,1,0.643466546031065,0.929275709744034,0.536608738201191,0.936287880106322,0.892318922785559,0.99012090910733,0.695736794918715,0.979275299941315,0.936978970784498,0.944710675590768,0.975356066923457,0.997436671725616,0.995031258551883,0.992273476475993,0.970758514084992,0.968705625978328,0.945306342587014,0.996821298221066,0.829610066990369,0.973255285159374,0.910480461393093,5.76925701724532e-07,1.71849804418673e-05,2.21576009207314e-06,5.51295973781708e-07,4.50465327825428e-05,8.89150408346452e-07,2.15581950951373e-06,0.000340655824442737,3.3641244455617e-06,1.16815544949673e-06,2.10195560615739e-06,0.026867716500575,7.43109163498591e-07,2.44164589944343e-06,1.5089193301965e-05,5.1664061393105e-05,5.6513354887982e-06,1.54192232450597e-06,4.39603826349299e-07,0.000167810127021612,5.62573040851858e-05,4.61319832454078e-06,3.36241158829198e-05,4.73529891085106e-06,5.40469076806346e-08,3.50685902038332e-06,3.2619713578e-07,4.57981747916145e-05,5.16002890453065e-05,5.26832741761839e-05,3.97478400241242e-05,4.10321978502703e-06,7.9827060543314e-07,5.21815969715706e-07,3.97455251189478e-05,1.14850293147019e-07,6.90020088715197e-07,7.53343880681156e-07,2.40157345291071e-06,9.35730374027105e-06,3.34945835878675e-05,1.06584051091539e-05,3.27991277904018e-07,5.99243526401219e-05,5.74155079016067e-07,8.31915864244484e-05,6.56016182195676e-07,0.000474159127424898,3.1690359938225e-06,6.56042534147657e-06,5.13355541204232e-06,5.53057463684986e-06,3.1638779005014e-05,3.74692596542896e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19480208419472e-07,1.74434651134799e-06,2.86840712719747e-07,4.49636523594595e-06,2.2685453748818e-05,2.19673731883506e-07,1.09586364996456e-07,9.8937809958097e-07,9.89369169188384e-05,0.000248035907320314,2.40545549911383e-07,0.000165335823132585,7.85977327241001e-07,2.98388280976372e-06,2.69722820626261e-07,2.80000040578322e-05,3.26062801896466e-05,1.22044943202601e-06,-1760.87220026278,0
1,0.311231866379697,0.166444559851223,0.761237498355165,9.7,1.48561345210599,0.466552051871041,0.27752262962541,0.000233004339155998,1,1.1434765366001,0.990264402581909,0.504176609324993,0.987521124285574,0.944594689963797,0.965718430593512,0.941671735909423,0.94335755772306,0.988177876013533,0.979883641306638,0.770221428071519,0.357607360846772,0.994691155479266,0.993453758131894,0.913518808484432,0.974627533896458,0.937287901103371,0.976766579721536,0.979637490290178,0.799552989646012,0.979386649825172,7.74238755382528e-07,0.000541977445278439,2.37318024317314e-05,5.80756468509197e-06,8.7683181643843e-06,1.89168794073472e-05,6.14568818650044e-06,7.35037181084515e-05,2.45781572104398e-06,3.14256962594163e-05,2.14685546036764e-05,0.0192472711007683,4.93122307216586e-06,1.00633235294378e-06,6.98611991890495e-07,6.78899780556168e-06,2.53543265412685e-05,2.22667494494659e-06,4.35227720011187e-07,1.49875490392907e-06,1.56989201709931e-05,6.81938909450519e-05,0.00011294395679957,6.90082844204576e-07,2.77737199604245e-07,2.95375243699752e-05,2.95901320132872e-07,3.16526652573629e-05,6.35858549422134e-05,0.000109795949576061,4.774832290497e-05,4.26887344158109e-06,9.68435729079571e-07,2.02599748702761e-06,7.21953932196342e-05,5.59340769055843e-07,1.03158368520916e-05,4.08362815654027e-07,2.1822082955268e-05,5.15430623189914e-06,1.54171985522907e-06,3.37374473982985e-06,6.56917604932442e-07,1.79885538002669e-06,1.69413205108178e-05,7.08421064889211e-05,2.0834562373781e-07,0.000211629882981469,0.000198776636473463,8.0643157862828e-06,2.09733822135147e-06,7.40442544526147e-07,1.68110356488589e-05,9.50564093997908e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09603793783511e-06,2.63968230317715e-06,3.11945310078826e-06,8.26643842311683e-06,8.84232201048558e-06,1.64106349923563e-07,1.63748990591663e-06,1.71550124653098e-06,2.34944378781091e-05,0.000233891939264827,1.07472062142237e-05,3.48708005191334e-06,1.42258020392052e-05,2.4858996342781e-06,9.17858845006915e-06,8.81597697283416e-07,6.19404060986477e-06,4.11101302604694e-07,-1762.21068213002,0
1,0.278645911574371,0.157415351253004,0.814631808193725,9.7,1.78300045035539,0.457950847988044,0.266183054805059,0.000386648540008081,1,0.518025287203137,0.96101365133518,0.035285319802955,0.988331312091633,0.995303562743678,0.986579204907646,0.993946245365493,0.806580442915093,0.988577278427573,0.878027962594294,0.901192772204622,0.986099511828188,0.895254874525023,0.98088541334815,0.79122551697586,0.991321560044223,0.994234526346741,0.999371864921126,0.90822812961399,0.896373580777739,0.99645006156709,1.16510271341848e-07,2.61946255323484e-05,1.49589507433025e-06,3.85271445049249e-06,7.09800431230641e-06,1.48977672359566e-07,1.86726142331297e-06,0.000233566228181882,3.77065139571937e-06,8.97074105654833e-06,8.64781336775704e-07,0.00957992778647565,7.87524824609245e-05,6.59751488826143e-08,1.70143263683754e-05,1.94824444897637e-07,3.3702487625217e-05,1.52931994757303e-05,3.85709782126344e-07,1.2324008125001e-05,4.8940467842654e-05,3.28658707609292e-05,2.93253464984331e-05,1.19606464211277e-06,3.3125956705579e-07,1.30301140932124e-05,1.79495805215135e-05,7.1438006478301e-05,3.01181016643985e-05,7.26492588543341e-06,2.06395268410049e-06,7.67787046788973e-07,3.67509930882805e-06,1.57879157634823e-06,5.99986935237684e-06,0.000743812703092284,6.98398246326133e-07,7.95003874088354e-06,7.24299685690768e-06,6.71123944363621e-06,3.07440696138639e-06,1.23853218314733e-05,4.44937606978342e-06,6.90763752345197e-06,3.49924783547526e-05,9.52333700920837e-05,4.19583598817561e-06,0.000422161856017971,2.47681559465163e-06,1.95458399724154e-06,7.76538202899384e-07,5.72203493301033e-07,1.42365826322126e-06,1.33185516840658e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36884204664196e-07,0.0003002415734442,7.95827879386774e-06,2.84952773802712e-06,1.50064578792088e-05,3.46155318946878e-05,2.74499641924284e-07,1.51804531960002e-06,2.4758823785803e-05,3.78037671563909e-05,2.74360496749614e-06,2.14824266936266e-05,9.17126978395219e-07,1.18780300159159e-06,2.2469253019761e-07,0.000120810748183331,4.98589026503343e-05,8.18294205197862e-06,-1762.34410560848,0
1,0.286218734198291,0.162594107883454,0.775349782008688,9.7,1.90245211658672,0.454485479034542,0.263451598293841,0.00029467710708616,1,1.24790057708832,0.950338268228958,0.515508361843988,0.992803575933829,0.961450984421365,0.920549568919868,0.96826281936475,0.989532362913892,0.993318215698142,0.993826027382753,0.989221048397797,0.980374219956715,0.943324190595427,0.995746062579448,0.820911477319879,0.992107371680787,0.993848823067815,0.978715672054392,0.899045464230991,0.962622391109478,0.962911247527788,2.03711764483054e-06,1.79162215717634e-06,6.9362513330512e-07,4.99462047413293e-06,4.02811283346111e-05,6.43816907773951e-07,3.99081808960618e-06,0.00011898738098882,6.57169416758255e-05,9.23958265489412e-06,3.89549191787328e-05,0.0123538733448397,4.54799464418922e-05,1.46118894744733e-06,1.14045712857509e-05,1.91028927286157e-07,3.3749434975326e-06,7.32134297783187e-07,5.02987836730816e-07,4.94696987339729e-06,9.22698904009918e-05,6.6506078039389e-06,1.17387133339319e-05,1.11225977445473e-06,3.96801429442229e-07,2.59296834267677e-05,6.47550424722804e-07,6.13446374921487e-06,2.80785879485914e-05,5.9044272779087e-05,2.03900443849325e-07,2.08186305545884e-06,3.79869526303078e-06,5.77669372893672e-06,1.42246764839918e-05,3.99359813469457e-07,1.78923941898334e-05,1.58307970167674e-06,2.91893879529286e-06,3.03184916321547e-06,1.04359038666268e-05,1.6969575860645e-06,0.000139068557885427,6.58260413697237e-06,1.77408398095417e-06,7.24927582917488e-06,9.96420352960759e-06,0.000683492573970712,5.00098448977206e-06,3.71675858904903e-07,1.41236247180292e-05,1.48997929998698e-06,2.43590261506124e-06,1.69194736114613e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66482290115987e-07,0.000150648756156783,2.70657118865573e-06,3.58174076282356e-05,3.55465408625814e-05,1.72372970745327e-07,2.07249673579618e-06,9.294102048542e-07,4.99463041288545e-06,0.000172160705943561,2.32270661808876e-07,8.43377010484383e-05,1.01453285110355e-06,2.89375380846905e-06,5.66903409556776e-06,5.46635361452037e-06,3.84965713998435e-05,8.39151160871197e-07,-1762.52307179271,0
1,0.256817090289509,0.147931578617536,0.802670944429684,9.7,1.73457017679593,0.486557864899445,0.276566351381695,0.000253192969097259,1,0.684431860420132,0.988731327024488,0.53456711979915,0.995135141836422,0.949365094782425,0.887127136237167,0.987465845764525,0.991655836058056,0.978858338514669,0.995235045757647,0.983249356241799,0.997153395938463,0.686823451760266,0.997041137341485,0.794216580924192,0.924834985167835,0.929304529655045,0.993672829838452,0.941830432686715,0.90265682687332,0.987500740580587,8.21979575752547e-07,0.000381805750523166,3.40691338596521e-05,3.14791564476798e-06,6.45466451075076e-05,5.43499153353029e-06,2.81221036646507e-06,0.000112442272129291,3.56933139894485e-06,9.86776616510363e-06,8.27890347351927e-07,0.0135228696691979,3.51466295526219e-06,2.16966737096279e-06,9.80179918684873e-07,1.79347155544125e-06,3.09247219975926e-06,5.52423680024509e-07,1.62782067645553e-06,3.81098721938304e-07,4.60048710600051e-05,4.73374512652356e-05,6.79649525196896e-06,2.39908602468478e-07,3.14949664776464e-07,2.42186391386313e-05,2.20804365285671e-06,6.50161394114232e-05,4.89558072772625e-06,4.18825529764543e-05,1.25448515271827e-06,3.25142415973456e-06,9.63794731257602e-06,6.54318723560924e-05,5.42052607008371e-05,9.19774499714637e-07,1.92282331196857e-06,1.40460618790338e-06,1.43387465845497e-05,5.17221678428116e-06,1.36309296488368e-05,1.32582648124988e-05,4.84180205499949e-06,5.50957544212578e-06,1.92227288484493e-06,1.33678550685457e-05,1.74592848845736e-05,7.90086609409286e-05,1.35992330843804e-06,1.78796893243445e-05,1.35430325004319e-06,4.31453267827084e-06,3.39040704289646e-06,2.31860452003288e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01905826157333e-07,2.82717856736761e-06,1.59754817230202e-06,2.8647718291545e-06,1.69754283956418e-05,1.85032848330002e-06,1.23488920721383e-06,8.79833649016983e-07,5.83057823996008e-05,5.55328391392783e-05,1.6524981844732e-05,2.86548008503747e-05,5.63036775297771e-05,6.69212622177533e-07,2.02994919918738e-06,7.46032876923012e-07,6.43004664695342e-06,3.84514660277221e-07,-1763.07403373023,0
1,0.266656666450377,0.176825715582709,0.827193064693983,9.7,1.85249174386743,0.457014264815535,0.270222506091927,0.000382791751097359,1,0.46390739761884,0.976907213868519,0.493761068440379,0.99193360790792,0.85337620624536,0.982133684826558,0.975053669403029,0.994849249241756,0.918074871319838,0.952088321059751,0.948990468267945,0.971585550445137,0.931365497071517,0.937178951087577,0.907271283426842,0.991511518283584,0.985340212474386,0.963510044942364,0.819270660031506,0.96879334474081,0.921180971445426,3.6140876426568e-07,0.000188759526014714,2.54029790462018e-06,1.14038747561538e-06,8.18210003101613e-05,8.09782221868298e-06,2.93169658256165e-06,0.000107720537707115,4.43302034519412e-06,8.79382303461513e-05,1.42556289902385e-06,0.0100920479126446,8.45033549434517e-07,3.53056204145887e-06,1.7893545117227e-06,4.24538131276192e-06,3.06797197618769e-06,1.04352560789407e-07,1.83138188614909e-07,4.58752046491355e-05,2.8860138027401e-05,2.02756087279886e-05,1.33066807853506e-05,4.8775847151515e-07,1.33304930155486e-07,1.31202764606643e-05,8.91518479293938e-06,3.15413539696851e-05,1.81573785990418e-06,7.04375578215688e-05,2.4085199265591e-05,4.90078058765484e-07,3.57349380028722e-07,3.95024105862754e-05,1.95282377343706e-05,6.57185496125339e-07,9.82424833976688e-08,4.59149166880387e-07,2.21792004829737e-06,3.31588995596867e-06,9.33723836350245e-06,4.96047175430873e-05,9.40770378800117e-07,4.05865825087387e-06,9.21988036929575e-07,1.5851994438485e-05,1.83971272017032e-05,0.000220111614536747,6.4419288213882e-06,1.91303845902864e-06,8.85965648793347e-06,2.99722762588945e-06,3.67374295805627e-07,1.05546383276375e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05961036235171e-08,1.13302253436262e-06,1.66783725884484e-06,1.00548911717194e-05,8.51963962277702e-07,3.71576324166166e-07,2.46160400495838e-06,1.95820179493534e-06,2.81903666751558e-05,2.36724690976888e-05,2.97830975216163e-05,4.56961425038012e-05,1.9576845954095e-06,2.21434228568954e-06,8.97044819159391e-06,1.60871640867161e-06,4.02437632377899e-05,2.25097251270573e-07,-1763.15303769388,0
1,0.24145247376954,0.163398554981813,0.817837105191339,9.7,1.67911009480343,0.467535254408447,0.275916596808598,0.000267643405848796,1,1.26239925138115,0.969710190602254,0.527265438635977,0.99280785886543,0.99779904007602,0.702100938655753,0.964491527527507,0.982419336246602,0.975976715251975,0.975077005472828,0.673405733327941,0.923519743050935,0.856033385833602,0.981645262262331,0.948325082143416,0.981787036401627,0.766364336340554,0.979496256723833,0.894466666404175,0.976492392874371,0.996008409613653,3.45380921772742e-07,0.000228973209100509,3.66737833138363e-07,3.4084878957379e-05,5.70549833442759e-06,2.26198867829767e-07,4.35215240942649e-07,7.59792893981466e-05,3.87556911875684e-05,3.29891618929093e-06,3.90811755171285e-07,0.0210346924740574,2.37962226317652e-06,8.65093932407132e-07,4.48346764428537e-06,8.25875551277595e-07,2.54584532890798e-06,8.90228615265376e-07,5.08599689652099e-07,4.70347304116577e-06,4.8603484589743e-05,1.43365217830764e-05,8.2406510958138e-05,2.9531264657962e-06,4.25821679692897e-07,2.58763609427195e-05,1.74036555965635e-05,3.82111167939624e-05,5.26010661477803e-06,0.000140120371215686,1.93507628659839e-08,2.70555386243202e-06,2.51189210631507e-06,3.6351566584475e-05,4.19322377579694e-05,2.52665347903099e-07,5.20402556354171e-07,9.37156704066973e-06,1.47761398954326e-05,6.27576521124424e-06,5.19355237244846e-07,1.75023218756949e-06,6.69297041108301e-06,1.37669139831479e-05,3.6864468278306e-06,4.86174068681724e-05,1.33692428513329e-06,4.34145892093717e-05,5.25201380701785e-07,6.5968770065999e-06,1.64416830240448e-05,8.18585802857266e-06,7.63391446322828e-06,8.19658874330845e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06477468984737e-06,4.47734486490606e-06,6.43243210623379e-06,1.80107175124752e-06,2.27705991924296e-05,3.05181119551694e-08,7.0287008563772e-07,1.48962180287542e-07,1.15289454195367e-05,0.000162274793260504,5.07163092409796e-07,3.26054904384392e-05,4.1708238136138e-05,1.20557005336633e-06,3.76209011628217e-06,7.14507378420335e-07,3.65218625424034e-05,1.3636626090611e-06,-1763.15805923986,0
