"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.238330359796874,0.165184095168801,0.698385056262675,9.7,1.76312398909443,0.455533875180623,0.262739468366001,0.000379124462151433,1,0.851583703383124,0.961736506462363,0.693968158220079,0.731235443160535,0.999204718313667,0.745232330330864,0.541890497950695,0.612121232275415,0.990658462659606,0.954531483680148,0.998697824083557,0.99235773964785,0.840995307493551,0.949339793274981,0.895516725819807,0.853661460464201,0.998218965663668,0.986407268954658,0.932239030914378,0.978379227195019,0.760302677710804,6.94165583414527e-07,0.000360640782315256,7.58003707558497e-06,4.03646576642166e-05,1.02264752838626e-05,3.44928986678091e-07,2.98457273255602e-06,6.80004968660493e-05,1.07110415390241e-06,2.09594085173407e-06,1.20395449526112e-06,0.0153402150477539,8.64567178789112e-06,7.90657461328736e-07,1.44967256179532e-05,2.54752193515508e-06,8.45644023995863e-06,2.56502808980779e-06,2.96335553491133e-07,4.9541810995858e-07,7.31432347871634e-05,4.39368047460466e-06,5.02722671926925e-05,6.2609693052169e-07,1.59640840750253e-07,2.50265925422403e-05,7.16226615105828e-07,2.29238578577894e-05,3.90736412137844e-05,6.41392805856133e-05,4.15527336219716e-05,5.91246928570144e-07,2.97004054130061e-06,4.5970992067149e-07,5.64113156280219e-05,6.07046520438492e-07,1.56814873607707e-05,4.13713763948939e-06,3.45623191495688e-06,2.19914888685619e-06,1.50078317104102e-05,8.87499250613347e-07,1.86989489437611e-06,5.0539209809129e-06,1.05823054458897e-05,3.88763062983117e-05,5.32887039292191e-05,0.000287837987255032,3.45229819531895e-06,1.81417166759788e-05,2.20436377094232e-06,6.88491469374023e-07,7.09443731477189e-06,6.83410908041987e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73121845425451e-07,4.67364251564759e-05,2.4030601426206e-07,7.00835804891095e-07,1.24695040370324e-05,1.79962295538958e-05,2.68212991871476e-07,1.18833701164271e-05,6.52666567609107e-05,0.000170826781223211,4.09427479429779e-06,0.000124400010678306,2.00210194964055e-06,3.2129374524236e-06,1.82547379766565e-05,0.000128204076075327,2.31749536446358e-05,2.94044235706087e-07,-1745.19528764568,0
1,0.239660585116033,0.174158410584617,0.711984344883497,9.7,1.84539180347659,0.466327922794799,0.275376972508219,0.000316269208754963,1,0.450714681536041,0.964277865883677,0.724589953113205,0.970507285037836,0.58137381706958,0.969302142144488,0.988575926323077,0.968431112924653,0.938178310441434,0.991024572571394,0.934809198309544,0.979904207903207,0.961189883067791,0.990252118165379,0.852272817297452,0.998536008903354,0.984904891128497,0.959978302001394,0.987707494357672,0.989018183161687,0.98231607951222,4.71187280583097e-07,2.10076680369139e-05,9.36801603287438e-06,1.31115226660868e-06,4.67275014453016e-05,6.44079774080501e-07,1.42142142533965e-06,0.000104148792498167,1.6629813738465e-06,6.97399954795614e-06,1.41110644733927e-06,0.0122869807462955,8.98584320211926e-06,1.83048157674184e-06,3.14020209173159e-06,2.89270672303077e-07,4.72695009959518e-06,2.35627353819691e-06,2.79616812380347e-07,5.79629976169894e-05,3.49589923887563e-05,3.1819678026019e-05,3.48646950469384e-05,9.58388049535493e-06,2.86192366713317e-07,8.24230856899456e-06,1.21634584138441e-06,4.38545414449348e-05,2.59150950824728e-05,5.55674143755143e-05,2.64401710491958e-05,5.03897472846419e-07,5.88352662339429e-07,2.61349217357528e-06,2.59613982889225e-05,4.37815373228827e-07,7.19903266787125e-05,5.22297908658706e-07,1.18643399526735e-06,4.60469256387867e-06,5.59271234653034e-05,2.40195632025643e-07,1.81184290630281e-06,6.4186725486017e-06,7.77907190136739e-06,0.000376423359485636,8.68077602997664e-07,0.00119680329903635,4.5022891837209e-06,2.35724545446556e-05,3.14784242073421e-06,1.28956526852121e-06,6.57725799369675e-07,2.70705985209712e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61657375834258e-07,4.77409395449851e-05,1.01322935679273e-05,4.75769309504205e-06,1.55120079937413e-06,5.41947340052134e-08,3.01660339293884e-06,6.52677526312865e-08,5.9165397541095e-05,0.000129956803401778,2.48949577711856e-06,2.09366739115326e-05,8.86620627565181e-07,1.91483588808857e-07,1.621908804496e-05,6.62170558795143e-05,3.28139307927784e-05,5.24677723337749e-07,-1745.26174780943,0
1,0.304451295545692,0.16162202368283,0.710409010633863,9.7,1.74678806383258,0.460300434432385,0.276036769946064,0.000293324106117124,1,0.476656881532219,0.941101850809235,0.721843214723658,0.954296534310434,0.901601246322166,0.764513152725381,0.997155964355285,0.920387706766199,0.982173706228804,0.952528375158374,0.981458251629156,0.978368760223122,0.925781766463121,0.992015025499267,0.832646541831141,0.979314050555944,0.977272631069232,0.992713952019073,0.725146368339853,0.985852168248052,0.989295446328296,2.57326891974112e-06,0.000113294831989684,8.23270857124841e-07,1.53038383870078e-05,5.69207074275639e-05,2.27202016259896e-05,1.26503366641282e-06,9.17998656785405e-05,3.08800992539753e-05,1.82439236809961e-07,1.88051342403433e-06,0.0115801099317836,7.51549381127919e-07,1.50620666595232e-06,6.40623085303799e-06,2.54634970906464e-06,3.90185366025286e-06,1.02613303327655e-06,3.16782642502074e-07,7.0467403587347e-06,3.41843499885058e-05,2.86902407078279e-05,2.5662358038645e-05,2.8436457445756e-07,1.71388229107984e-07,1.23105750816478e-05,1.61037029792799e-06,7.72978889022478e-05,2.66591069585828e-05,5.63317356882227e-05,2.9600492421096e-05,1.40024798276802e-06,1.52596434424532e-06,6.77751344333784e-07,4.09631285208809e-05,1.3122740203174e-07,6.2708587763577e-06,3.68849844614662e-06,2.22058454567835e-06,9.8013113119947e-07,6.57452226347827e-06,7.78266231779149e-07,1.10932895756817e-06,2.42126479567354e-06,5.52899733389305e-05,1.99050140014877e-06,6.79087363650137e-06,4.48574026718806e-05,2.51859896102653e-05,2.50971248926467e-06,1.62283314064606e-05,1.52863898070612e-05,3.42570218789145e-06,2.62939963141067e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02056912907044e-07,0.000226708775554775,2.80921609979085e-06,1.20375430720323e-05,9.22624834100532e-07,9.93701370160723e-07,5.04643161410794e-06,2.9806194831667e-07,3.63137013504422e-05,6.63077203615465e-05,6.70179660872356e-06,3.31060291410681e-05,1.67771412374971e-06,7.93842017193713e-07,9.86339472571589e-06,8.72299840470855e-05,2.12647745616959e-05,2.20541969264849e-06,-1747.41890025442,0
1,0.284310728867207,0.143801274108348,0.720066912379174,9.7,1.90490637472395,0.450509549273675,0.268830892516138,0.000406724969655487,1,0.577454338582995,0.93983163584814,0.703414480669432,0.907037652728233,0.993481357906493,0.913499328984448,0.923555781297706,0.993284449055353,0.970284536379688,0.98537608786063,0.958172565414787,0.921680157650542,0.980719855916204,0.967603040349433,0.965957497568512,0.960950894709313,0.989753752572738,0.976551530462259,0.7197170856915,0.925313035268916,0.907359133346557,7.79722353387682e-06,9.60484867249915e-05,2.16872786693306e-06,2.45895692278078e-06,9.84723482709111e-06,2.37731432198034e-07,1.17390045744283e-06,0.00011911808027643,8.59205499087882e-06,1.4291883480697e-05,2.07396082540286e-07,0.0121639608150867,3.31396301373799e-08,3.74737229824331e-06,4.5886207881151e-06,7.22161404789637e-08,2.17557688203944e-06,3.22073594079348e-06,3.44554944306194e-07,1.96729984369578e-06,5.14411473382428e-05,3.50586199583199e-05,1.76931213605083e-05,8.89477337980789e-06,2.54824665133248e-07,9.39470496497626e-06,8.03952906766771e-06,9.10848173649795e-05,2.29149743565387e-05,0.000117747016566317,4.58550826868506e-07,6.16827108371808e-07,5.81862585827556e-07,5.37449487566564e-05,4.48154153806246e-05,3.26858704502556e-07,3.84139442133975e-06,3.18080370719647e-05,2.05284507933348e-05,1.63994414251296e-07,1.85105784528815e-06,2.65199725210939e-06,3.34940891566841e-06,1.13380532168367e-05,1.1868339081861e-06,4.06539132650133e-05,9.03810199337379e-07,0.000222284637243994,8.11020764919543e-07,1.02293850571966e-05,3.25127891053814e-06,6.18472032009909e-07,4.69630216818257e-06,2.34700722771446e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74233667906114e-07,0.000236649741903392,7.81611259103844e-06,3.90037357130215e-06,7.40127753003584e-05,2.19424909467561e-07,1.10818935056132e-06,4.26804220180287e-07,3.41113006147521e-05,3.23829503631602e-05,4.27078284143738e-06,0.000167317618394043,5.96169895027849e-05,1.4526904569285e-06,1.48944874519851e-05,1.54331118612135e-06,5.3433921807865e-06,2.76769633168679e-07,-1747.59691321809,0
1,0.303938194619963,0.167528909182858,0.717803468507656,9.7,1.75012081431593,0.465156099939379,0.274047457878446,0.000279636920381786,1,0.439922970180094,0.92777409066435,0.704421705007711,0.993327085383975,0.998669966141761,0.855909765418489,0.837883241818134,0.984203368047693,0.891955384510402,0.865720499331979,0.974128419762497,0.971530491772586,0.908365952125122,0.997991750991799,0.887353323523036,0.872967944259867,0.973506634725121,0.95686528550914,0.934559258556695,0.813423282778095,0.68451557078839,8.10835534058239e-08,0.00040823924657537,1.99113606582633e-06,1.32634073938487e-05,1.57849352978506e-05,1.81819367483193e-07,9.97358980952139e-07,9.45481889382936e-05,1.00473956600696e-05,1.20301260703818e-06,5.53267995210321e-07,0.012591198438838,6.48751992511685e-05,4.76381138515374e-07,6.36334342076573e-06,5.13214313704312e-06,1.04180100360268e-05,8.38963998037782e-07,1.48535436679232e-07,6.17692978584995e-07,2.99353467054078e-05,2.11579543653837e-05,2.57375083462859e-05,8.85476313039352e-08,1.32359843105312e-07,7.94472827711964e-06,4.33548019962773e-07,2.15791192376636e-05,2.85594332511567e-05,9.21019825338706e-05,1.44436636178686e-06,8.022594694948e-07,9.15958329657554e-07,3.94506550983396e-05,2.17775015586847e-05,1.35052102501264e-07,6.99946941918426e-06,2.11986447456991e-06,5.69623644990027e-06,1.06481168315847e-06,1.17376550289611e-05,5.08966302508151e-05,3.04434659308072e-06,3.52036984256123e-05,2.23665230962513e-05,2.23350143535262e-05,1.35834607458815e-06,1.40607559345547e-05,1.02332639142201e-06,5.63927366086031e-06,1.70393792843104e-05,1.92969289474816e-06,1.64901150592687e-05,1.43247415430496e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99906030716894e-07,4.35644859997613e-06,1.81441032988767e-07,5.07013512280375e-07,1.09186046356593e-05,1.72637831818339e-08,9.73614112653723e-08,6.90512262791184e-07,4.89344689864521e-05,0.000170866035921167,6.10785875790734e-06,0.00021347070490774,2.13545345797117e-07,3.19454691092586e-06,4.9283707007431e-06,5.60400072445916e-06,2.32300893851438e-05,1.92934021303714e-06,-1749.19043908843,0
1,0.236228786063561,0.154109060391073,0.75847275203071,9.7,1.62082321506527,0.462078152480827,0.25421487306611,0.000380568950090021,1,0.653755981740074,0.946242178796223,0.732123653392144,0.82743560643287,0.988200889446806,0.825628582074719,0.97985554876456,0.97333637424588,0.98790616045906,0.917715320268693,0.850968266498911,0.79838712616521,0.724773832505225,0.992251555236915,0.651521378907947,0.948168973660499,0.995766864167183,0.712015171966162,0.964977980169296,0.908144801949696,0.969557670395866,1.06960825796381e-06,0.000319842910695981,3.50144171744953e-06,4.08722013162394e-06,0.000114601174295305,2.1576499158524e-06,2.67087690864546e-06,0.000106559474366215,4.57294751233262e-06,4.66478167078274e-07,3.11235578784063e-07,0.0123210091924657,6.46395524693666e-05,2.38030795209165e-06,2.44413666271784e-05,1.31111629898551e-07,2.85971161818179e-06,9.16779568587066e-07,2.95881608341824e-07,6.07720202755484e-05,4.87980213368001e-05,5.25509895185551e-05,1.5702499800462e-05,1.01513136248478e-05,1.7329825275124e-07,2.10353283550954e-05,1.54141905217939e-06,3.71168903035509e-05,4.24389895209313e-05,9.0343483680664e-05,1.1542015781737e-05,1.27849973567919e-06,5.31846756050831e-06,9.86313793177056e-06,1.89529322056565e-05,6.08491768475172e-07,1.20739685052632e-05,4.49973436700095e-07,1.40266151282735e-06,5.74964396427376e-06,3.19446792845625e-06,5.34780563405673e-05,4.10108780365668e-05,3.59623382339934e-07,1.69371904116226e-05,5.79693513790862e-06,3.68309158292629e-06,0.00054841349847356,3.35489095169498e-07,1.41480613539891e-06,4.46444485279105e-06,1.17141695519782e-07,2.80986755437485e-05,8.39799915694699e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11617500865831e-08,9.24023864802833e-06,1.84324002061118e-06,1.21362901648341e-07,1.8086839181637e-05,4.82950652702737e-07,3.53403934687709e-06,1.48615245018603e-06,5.43375048817119e-05,0.000141103199625407,1.90082872567527e-07,0.000347225652586617,9.72880960992439e-07,3.65415746778938e-06,4.23758377397476e-07,0.000104191675140003,7.3294730015998e-05,2.28423865474377e-06,-1749.56382439097,0
1,0.312628473015029,0.169163901289576,0.741301132157204,9.7,1.86618862220797,0.445875331041476,0.272314165535551,0.000369195723265246,1,0.980838389683542,0.937578171352147,0.590771766955881,0.933378583588039,0.945044918046289,0.898068764836531,0.991571346373299,0.961419604509937,0.905786321444746,0.989880136048095,0.993286944466777,0.879415027190376,0.989224498680753,0.993700386538846,0.824704696292168,0.538750505170023,0.996514441746548,0.943140132070912,0.812675145879996,0.993593580643537,0.986745173033569,3.47578073810606e-07,0.000157301206416231,7.10205955924599e-06,7.83771714159209e-07,2.31175903442414e-05,6.05299657062342e-06,1.86640423128764e-06,0.000261537994668722,1.04862865605809e-05,1.51456048289083e-05,6.75807974787283e-06,0.00906374013543949,2.34064550917068e-05,3.11446249213579e-06,4.07204933177133e-06,1.5005743613463e-06,3.51713769482305e-06,5.89278506178644e-07,8.9763605763375e-07,1.3075239904224e-06,5.28734568999601e-05,5.92845523445898e-05,1.51726238489705e-05,5.73144540665783e-06,6.90336677379477e-08,7.02064025755586e-06,7.65888578738943e-08,1.93395430455057e-05,1.54359370870468e-06,0.000139696898067725,1.32808313572771e-05,3.32731427396264e-07,4.609597081815e-06,4.82180100515181e-06,5.90738169687519e-07,5.92130260203919e-07,7.44771571288438e-07,1.37441099507624e-06,7.7676374550983e-07,9.14480239369855e-06,1.29258478671872e-05,8.47161478715649e-05,1.44316941083485e-05,4.10674932151144e-06,9.52930211905941e-06,4.93148678313806e-05,2.29606238298893e-06,0.000102333989547862,5.50263178414049e-06,7.74245620027994e-06,5.1030104491256e-06,5.61041990680428e-07,1.88042993484081e-05,7.78817926805949e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27362103352987e-07,0.000179032692672991,3.23854724521121e-07,1.59647646077027e-06,4.11931374865972e-05,1.04908354265612e-06,2.20559005185722e-06,7.70132499428279e-07,3.61588634059417e-05,0.000159092960310788,5.23998001246289e-05,8.88650503419733e-05,8.01910167448963e-07,2.70111464847599e-06,6.41884113119195e-06,6.14111517715205e-05,8.36628995647915e-05,2.96516702922454e-06,-1751.28981235315,0
1,0.248345538924053,0.162348182258243,0.728909123771129,9.7,1.51216834795055,0.486239714069616,0.264797120194855,0.000237578949022233,1,0.487159799373957,0.949239554164847,0.760373764109392,0.991859185847953,0.985092710174805,0.840886639929021,0.99542386276437,0.923657860877055,0.978896371983405,0.927447859449406,0.967688098965789,0.981341337537805,0.610088081676668,0.967969250667628,0.769943312560014,0.980095390318977,0.973109498856085,0.984106066954545,0.249522136850449,0.903527778022959,0.995481431900818,4.53524139805384e-07,0.000339177547414732,7.19379966862698e-07,1.12848010559432e-05,0.000142252968285169,1.66260818215915e-06,4.78238281834354e-06,0.000361454536635256,8.41210661453439e-06,1.6932090239271e-07,2.9510853427945e-06,0.0184244554853716,8.6653553988253e-05,6.1877660181875e-07,1.91138749456801e-06,1.09452858426636e-06,1.93379100000461e-07,2.03502957683385e-06,1.04227454951654e-07,2.23497388855334e-07,3.1911345375033e-05,4.43314646343717e-05,1.19207067503138e-05,2.43581997961719e-06,1.15494119507693e-06,1.26313784116209e-06,4.31421672785224e-06,6.93177361704642e-05,2.39673063764127e-05,3.59109654292912e-05,1.47409819058537e-06,3.31612744750331e-06,1.40050352145479e-06,1.35472373082643e-06,1.9309883019753e-05,7.18242235777048e-07,5.65455861789359e-07,9.50338215003026e-06,1.79658935799484e-05,5.67784660263119e-07,3.29879848214172e-06,8.43385491766357e-05,1.45378110226377e-06,2.61692362764548e-06,2.03710988630955e-06,4.56318689210544e-06,1.43764428772081e-05,0.000168409231584703,9.59133326169656e-06,1.65554553401675e-05,3.76776965390437e-06,1.09835222022427e-05,2.93641686542386e-06,2.82069819963583e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4235083017534e-07,0.000138722279428642,5.34459341522717e-07,2.09998027582872e-06,2.31913030593995e-06,2.58824681003878e-07,3.3161525764532e-06,5.74661629958616e-07,6.40419948472537e-05,3.96161915603012e-05,2.08874208916032e-06,0.000135305031277446,4.71166169271093e-06,1.73965626744574e-06,1.7602613425983e-05,2.01105752661867e-05,7.85039600490459e-05,6.05933267772984e-07,-1751.66343634888,0
1,0.313561424307484,0.154059924897923,0.78805191170881,9.7,1.7539256377268,0.467718580476152,0.265201608711299,0.000304283871952062,1,1.20638992004746,0.935705930805656,0.624374973561002,0.962616743178014,0.987766808186892,0.352099882563306,0.974562080434221,0.982012639990565,0.926427625667434,0.931216367036258,0.964671552009061,0.996587109050094,0.831119236642429,0.913988259851536,0.961557376757108,0.971783019822699,0.989432737734497,0.947841025272885,0.782272925313399,0.976391393368821,0.979961532543087,4.38149072496748e-07,0.000473901134294849,1.38308370124359e-05,1.21962722020578e-05,1.26096730976731e-05,1.95849718427636e-05,1.25622175840149e-06,0.000105397270108035,3.00030630949386e-06,5.68036819902593e-07,1.48544558306705e-06,0.0135174987569751,8.89833009311721e-06,8.12224937930863e-07,1.67515404426381e-05,1.05857017053838e-06,1.1148270745973e-05,3.0090864816548e-06,3.19956637836332e-07,3.57716266976595e-06,2.18285514680807e-05,6.8493926605994e-05,1.57454832660257e-05,2.67736281868672e-08,3.01877211956772e-07,2.17957832356066e-05,1.85400707442156e-05,0.000142898028466125,2.11667093963437e-05,0.000103429951734005,5.73104280839296e-05,1.12138479338708e-06,1.03175707584387e-06,6.30546169382933e-08,6.72591579607018e-05,8.63800613822642e-07,1.70088967655778e-06,6.57844425858623e-06,1.42760161171679e-05,6.3508052975467e-07,2.57534116065622e-06,2.94238691377632e-06,2.5382927128307e-06,2.19180634340833e-06,2.26134240783016e-05,1.60376139402226e-06,3.04762072947791e-06,0.000252967241864258,4.07795769389052e-07,9.2850768363651e-06,1.67624622722174e-05,9.29050495772341e-06,4.6717791547656e-05,3.7391160333532e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30565821996949e-07,2.45372691532196e-06,4.33965700868665e-07,9.97283188865364e-07,4.86300328935995e-05,6.62757104404014e-08,3.23502007504306e-07,5.24564095512907e-06,3.51963765070028e-05,5.77133571089525e-05,3.63164581671339e-05,1.28171723703576e-05,3.32775823989534e-07,8.49019259167503e-07,2.35210763391198e-06,6.59336632472747e-05,2.66560539767173e-05,9.54105060856062e-07,-1752.17825835043,0
1,0.318455737720021,0.162656249400916,0.760583224635854,9.7,1.6148108500083,0.458357633219699,0.274407009989083,0.000272112512142125,1,0.444865478739203,0.944979218951176,0.727467322160117,0.894049771720264,0.704903538921395,0.96333916539122,0.948584553142017,0.994932792704694,0.938863234675839,0.997270680846009,0.941357819295969,0.354308656272107,0.990301940843865,0.951327984891918,0.940920567141027,0.923250827363739,0.99226089125844,0.972900849412667,0.961018170411482,0.970845398363172,0.934483494200921,1.04199726341556e-06,7.71599794879533e-06,4.59141524706187e-07,1.51784174348438e-06,6.02508747403323e-06,4.57862912443779e-07,2.87409152653334e-07,9.53448168968099e-05,1.22821551537096e-05,6.25957172895612e-05,2.40597146478963e-05,0.015996050224271,7.82048031572813e-05,1.7010611102521e-06,4.72813485225179e-06,4.26017027411069e-06,3.04210575808302e-05,1.07281440745411e-06,1.11939131854747e-07,6.21888023161313e-06,2.23672004016579e-05,2.19821329989341e-05,1.94595197899669e-05,8.17066417622127e-07,3.69436672952343e-08,1.30850224040143e-05,4.10583211177373e-07,3.46417166297532e-05,2.31027846942494e-05,0.000158518784283942,4.4573168029937e-07,1.71891428101208e-06,3.72746694722782e-07,8.24214325214595e-07,3.42971236747746e-05,8.30983905825054e-07,6.75663961183939e-06,5.13757916847613e-07,1.73079187762077e-06,2.35550281720881e-06,3.81630220197978e-06,4.60203849051809e-05,8.8673618972769e-07,3.76913877993593e-06,7.51584712025769e-06,2.91305249028232e-05,2.38156971881658e-05,0.00292045325088611,2.68454695163837e-05,5.11344647262469e-06,1.37287526300928e-05,1.63387476252986e-06,4.73088738410028e-06,7.55295677367086e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25509240217964e-07,0.000199185117194402,4.51170529829948e-06,1.17653163475099e-05,4.9140305020933e-05,7.75695897611449e-07,1.13820066755344e-06,6.97557143691418e-06,1.56255054218495e-05,0.000119753188565829,2.28497217428116e-06,7.38160101476863e-06,8.72199198212612e-07,2.12279192217008e-06,1.58638867476775e-05,3.92267099570583e-05,1.39582848407294e-06,6.64580471288425e-07,-1752.49645563518,0
