"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.303651355049663,0.168186911916893,0.797204079363425,9.7,1.89180263328335,0.446966141330853,0.258407231353283,0.000357511155665536,1,0.603025992006861,0.987140388199492,0.0087669606098819,0.982742897419514,0.971928783896204,0.86927776567969,0.810736837026853,0.977595700872208,0.903909134926581,0.929669090593601,0.932594588735989,0.975176317995308,0.992524009416204,0.953900591988711,0.977079311611305,0.903891797795712,0.99354170484115,0.972789129945632,0.640045737188078,0.910534880618465,0.949247362284365,3.06593819869964e-06,3.72190035116106e-06,4.22174083953688e-06,6.58832380379268e-05,6.73940642313868e-05,1.58658366661536e-05,1.76839341636338e-07,9.23252546143618e-05,2.19421105796457e-05,3.16109114023931e-06,3.12194167380946e-06,0.0105202661427668,8.15429473069847e-06,2.4438904212373e-06,1.21534463346247e-05,9.06307776396208e-08,9.11125314267332e-06,1.48520519493963e-06,1.06630076704522e-07,0.00014982467391509,2.77896934416779e-05,2.16757308860163e-06,7.74118098488679e-06,5.44503318106439e-07,5.42034215487511e-09,1.44446604989777e-05,7.75425829404239e-06,7.70431478939781e-05,3.10980801473692e-05,3.10189535488121e-05,2.16077971909015e-05,9.71785982811793e-07,1.54714824254339e-06,3.28379979389673e-05,3.68621957787564e-06,2.09193938472131e-06,4.6616233854e-06,5.93861674015598e-07,1.27907525979133e-05,1.16547122078412e-06,6.71463458039341e-06,1.17716588362807e-06,7.46212003664611e-06,0.000114881432009023,3.80371476462599e-06,1.8005141543838e-06,7.15681004799511e-06,6.24263306127897e-05,1.42042962368145e-06,6.49732020344682e-07,7.11405542871302e-06,6.53062779035979e-06,2.16614047940839e-06,2.71648087627022e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01644221433868e-07,5.71774228038593e-06,1.25592614357121e-05,4.94391415625454e-07,6.00593798038608e-06,2.24565561043347e-07,7.31873890205114e-07,1.17508771818217e-06,2.04905468604586e-05,5.31786823540034e-05,9.27700614382631e-07,5.51881405204462e-05,5.0841343681129e-06,4.10921338743026e-06,9.07803557480105e-07,8.34130734969243e-07,5.94126265470256e-05,0.000817701974273353,-1725.59933152351,0
1,0.246473794940014,0.166989244070808,0.817480060998024,9.7,1.70666971231851,0.450469081270478,0.244840443996366,0.000409425360612417,1,0.857910378817522,0.955088273160851,0.0122278877320407,0.951093400105971,0.972260852234818,0.982374712890761,0.966584035646734,0.842478800028407,0.565604051485962,0.957513921094302,0.913723894543139,0.949584871482884,0.732605761759219,0.979860917045715,0.955485689851475,0.960382372411353,0.976266956197022,0.962727953472941,0.73681821688531,0.970207129235107,0.976990293514499,1.57722904612807e-06,0.000300928116241467,3.16094509377383e-07,3.84819167660431e-06,8.85959428089132e-05,1.41799411227562e-06,1.0617495057458e-06,0.000101752814574193,2.80380973108081e-05,3.72208358057179e-06,4.21494829117656e-08,0.0165904898049134,6.85195675192042e-05,4.45582966828781e-06,5.46644597932645e-06,7.92087973835204e-06,5.36743499808267e-06,0.000107410510477661,2.640238990596e-07,4.74439848084241e-06,3.72857920780059e-05,5.380305626007e-05,1.60151274530606e-05,2.1970830096897e-07,6.1794881788253e-08,1.90369854346479e-05,6.28579126568595e-06,4.3095815571876e-05,4.41762464077218e-05,0.000358957889995335,3.59062836819043e-06,3.08564291169752e-06,1.86697870672108e-06,2.11302769115336e-05,8.47005819087011e-06,2.72233424164714e-05,5.34929956571919e-07,3.74175466835922e-07,1.08230111897329e-05,1.96733076896265e-06,4.98643707040755e-07,1.36095899808716e-06,9.00695091102907e-05,6.81104903026108e-06,4.19615559682299e-06,4.27041122367918e-06,4.02294414927746e-06,0.000690395482206179,2.81323729754571e-06,7.74886113812145e-06,5.63955790247032e-06,2.15960022917335e-06,9.27300544844769e-06,2.42080869159047e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07481821365427e-07,5.46897659785902e-05,2.36701087586516e-07,6.07849762197257e-07,2.93879510478728e-06,4.64132402459623e-07,9.45251435415544e-07,3.1991216794764e-06,3.09051907111169e-05,0.000111264849031369,1.12522877988985e-07,5.56194913212136e-05,6.43386695904647e-07,9.47957334703634e-07,3.32808890502015e-06,6.01112950654084e-06,8.10213609966747e-05,0.000981808262975243,-1731.00093472963,0
1,0.30185924879107,0.160422493091672,0.819379148542718,9.7,1.82077745934146,0.458183118152816,0.249394709534939,0.00037239328756826,1,0.568857366519268,0.973984508835762,0.0133996035012481,0.996983637986502,0.806895876445205,0.784129988932222,0.859568943507222,0.995980970604364,0.940720230794853,0.986541309427638,0.953547742655662,0.980996914930547,0.941700861128937,0.982916585040315,0.824794859318038,0.953901319364941,0.995739515401421,0.99445083348154,0.686565282383074,0.99577892321343,0.949385792050539,8.12865461858138e-07,0.000119433209214061,1.79589711008181e-07,2.11178671599177e-05,7.19473471172712e-05,7.13000018750214e-06,7.26887387488613e-07,9.50928868408833e-05,1.40095042211255e-05,8.96057525724932e-06,2.07364925190116e-06,0.0105551567966061,2.55611856176266e-07,1.00648502583271e-06,8.24824806419574e-06,1.22232942978335e-06,1.95967271626823e-05,2.63042688648606e-05,5.51188524853962e-08,5.12821241604696e-05,2.18060823177785e-05,1.01210098043909e-05,6.73425156923428e-06,5.46768030110265e-08,1.71027812461062e-07,7.39501556339174e-06,8.10962888105326e-06,8.20257105528339e-06,2.5215209666205e-05,3.7426625237578e-05,2.51248787282117e-05,1.25237503800371e-07,5.94962303357401e-07,4.78338085654486e-07,3.57810748581121e-05,0.000331198551903446,1.00491861790241e-07,7.64874549108192e-07,1.4567276921382e-06,1.04186042404753e-05,8.60145259774849e-06,2.21546067806244e-05,2.2018643315607e-06,7.57034466784994e-07,9.13627926928134e-06,0.000126698327933872,9.2379473486023e-07,6.8108116271811e-05,1.31393216991653e-06,4.02214613504247e-08,5.22986739540252e-06,1.26416944005796e-06,2.91115726657265e-05,1.31582652500339e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05482142493308e-07,2.7349299013963e-05,5.62057159657159e-06,1.31742872958616e-05,7.57333648643664e-06,9.57078572482658e-08,1.60519268145421e-07,1.63012466054417e-06,1.94519278070673e-05,0.000146554422068463,3.05358005327099e-06,9.21779846892213e-05,3.08895245098783e-07,1.46857316695282e-06,3.6454390736947e-06,3.95503064559489e-05,1.97570869327215e-06,0.000216848674875114,-1731.53013119849,0
1,0.235263073107097,0.156787868634545,0.846038149482803,9.7,1.66445796051894,0.471909764199116,0.25463762424564,0.00032179586180412,1,0.614359368677998,0.958763448914775,0.0173722574671961,0.970665894517638,0.945009815118521,0.961095306835192,0.861956883503955,0.9780657721753,0.952218864447081,0.995415472584693,0.96649658734995,0.943711181572391,0.559892570384262,0.992501139218393,0.951770921971159,0.905362416335173,0.945975670907474,0.994893804761838,0.921169616389899,0.991568925773392,0.988167128374303,1.32963114550297e-07,4.04386210898826e-05,4.86842953756301e-06,5.14601600693921e-05,1.3916698723189e-05,6.26284227164343e-07,5.2360195727754e-07,0.000313085673542083,2.26622716793663e-05,4.27972744643799e-06,2.74824778103434e-07,0.0197102856134129,4.36426537396082e-06,2.68038038145394e-06,1.7645426910473e-06,5.01392319104789e-05,2.70853933252153e-06,7.06411084138616e-06,5.64307422232058e-07,4.2803853718852e-05,2.36073192731229e-05,7.4359866863053e-06,3.20289009298689e-05,2.16186134274635e-07,1.45850355890295e-07,4.37053812671042e-06,5.86223495256893e-06,6.17294948708554e-05,2.59042413900923e-05,4.41250309940821e-05,1.32277374286333e-05,1.54270494648733e-07,4.13747730730005e-06,4.60277209266089e-06,7.61552382899085e-06,0.00085263303622737,1.46013093006287e-05,3.75463136169895e-06,8.7874480640843e-07,2.86765290989941e-06,4.59982955716575e-06,2.99562749453922e-06,1.54855718016301e-06,3.68312784264177e-06,9.75206854331892e-06,4.23348278263951e-05,3.30890073008642e-06,0.00028658671017793,9.15143745768869e-07,4.90811052913137e-06,1.03999055197502e-06,1.49683615418507e-06,3.09876043722519e-06,2.51695499886118e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57000019387102e-08,7.86385047524403e-05,1.49003334808206e-05,3.43139026799815e-07,1.7184543529088e-05,1.30716561498679e-07,2.89276635245851e-07,6.99429930938897e-07,3.77517072518673e-05,4.05555476803323e-05,8.17373639543168e-06,7.451090364561e-05,3.95565107137238e-05,2.16236922078731e-06,1.08039954860906e-06,1.2144865129677e-06,8.5237995111519e-05,2.86484929526668e-06,-1732.93836836481,0
1,0.241529447125953,0.178040813857439,0.833954474976337,9.7,1.58098572712711,0.45600237753651,0.248027283886422,0.000313334121510763,1,0.774455712396953,0.937060548584976,0.0256537123875048,0.987978558682537,0.853826731965023,0.949701201422674,0.995573087852686,0.997809541222341,0.990224327444614,0.720310987898971,0.999194897622637,0.628210429872361,0.917993528360847,0.937760338320468,0.588261535806939,0.699701427079957,0.995540069772655,0.983355891218958,0.954284158710638,0.987927160163192,0.901470063408363,1.04737948089187e-07,8.23637307210626e-05,4.70302864217907e-06,7.657856424621e-06,5.98561645518818e-05,2.5078854801324e-07,6.07285396415069e-07,0.000338761290038577,1.18047509830985e-05,1.04055177251724e-06,3.73899527847806e-08,0.0132688316231181,4.39153958496477e-05,4.13471025090445e-07,5.85303022717346e-06,1.07588568619401e-06,3.88632393598195e-06,1.61255455073731e-05,1.42599201091821e-07,1.42748885477965e-06,3.7991681974487e-05,2.18837602433301e-05,2.39677199488979e-05,5.99584073455682e-07,9.67725728282986e-09,1.87943444701145e-06,1.15461851728335e-06,3.79288496904535e-05,3.84473347959816e-05,5.76885807190757e-05,1.12098132890043e-05,9.94111888333559e-07,2.34863883241448e-06,1.25872051270418e-06,4.84210091290427e-05,0.000861913742505932,1.21381167188627e-05,5.57186492913172e-08,1.51216407716554e-06,3.85928544764322e-07,2.87582801189231e-06,3.80321159178328e-05,3.87223502889317e-06,2.86482856511106e-05,6.24421035875798e-07,2.59783317488068e-05,1.34123934639459e-06,0.00471255256118555,7.2604412805138e-07,1.52113825203307e-05,1.39251457928035e-06,7.64687731695914e-06,1.55314572725143e-05,5.99191737038485e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58478900320919e-08,9.18803260920493e-05,1.13112499638667e-06,2.05945690402041e-05,3.52862693517388e-06,4.98130649170399e-06,1.26444244982488e-06,2.1120966749029e-07,3.79621777983309e-05,0.000205821898036821,1.79333394976624e-07,0.000106961720513717,5.19366948196782e-07,3.43363606303833e-06,3.87584376685685e-06,5.51199532244212e-05,4.87212343904251e-05,1.18602798127648e-06,-1734.07281783853,0
1,0.310790106234541,0.181377103000476,0.83773247524008,9.7,1.79411064568495,0.448112064838376,0.259954653388204,0.000373392821900478,1,0.520977842494125,0.958559695968387,0.0441659018524665,0.959997903806924,0.715401979166352,0.969085729933118,0.969216746027051,0.982228035307736,0.992922624105827,0.928261290839576,0.986777500828952,0.989365047003235,0.948143963290849,0.982119122966034,0.696537625754791,0.767329768353266,0.943068590439891,0.987496190425579,0.956685936770854,0.93430287188543,0.979920295769698,2.06342813095824e-07,3.75670609287173e-05,1.04465817588546e-05,4.08181328431455e-07,7.0484005785706e-05,2.48352474387921e-06,9.20216918675061e-07,0.000101619435671829,2.2215842627599e-05,4.17438734613653e-06,6.81488679165257e-06,0.00730501614430266,6.08306722032783e-07,3.10723122144003e-06,6.12268339708109e-06,5.61157894902764e-06,1.60704190424454e-05,8.66304901296021e-06,2.02284647870995e-07,0.000103929307982906,2.76489899057222e-05,2.63576566762249e-05,2.90854497785799e-06,2.07830160860362e-06,1.96944640432266e-07,1.26549027277289e-05,6.96891383911995e-06,7.61500305317918e-05,2.36534972333728e-05,1.79692202396219e-05,1.96883583971061e-05,8.60699061145402e-07,5.85197775401828e-06,2.4246792586734e-06,2.88424656756419e-06,0.000199617493248074,3.53222956922294e-06,4.91643909150149e-06,2.16062428086483e-06,1.08956601806961e-06,9.76913039139345e-06,6.46069668261701e-07,1.15093966137427e-05,2.6519704775781e-06,3.53452895695284e-05,8.17545467481209e-06,4.42917206706586e-06,0.000324650787382508,1.57915825982479e-06,1.79982965778687e-05,5.64113251288061e-06,6.71992716439045e-06,9.54534793631255e-07,1.14908328255818e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54692094661299e-07,9.55001798386617e-07,2.58940459372879e-06,6.67079613045061e-06,2.76787830141126e-06,7.46177299158416e-06,1.12963362602309e-06,6.45263081326151e-08,1.96724067497377e-05,2.62698928570167e-05,1.20649939336845e-06,7.13284825713626e-05,2.01448187166708e-07,8.67626962681817e-07,2.89608495801363e-07,6.64565508718335e-05,6.57459337806329e-05,6.60617144857913e-05,-1734.07983360208,0
1,0.239901387756169,0.161613648755794,0.815022996053407,9.7,1.51508747098901,0.46932563047855,0.268487147277409,0.000274923115828084,1,0.469553213494019,0.932877790666104,0.0257830622970497,0.988025963219095,0.980504900261806,0.897265251421047,0.991279461123532,0.996987234955164,0.979768900653436,0.89792815740714,0.817628844905917,0.747752214635873,0.896045174845468,0.994545068773567,0.888035151329833,0.840330917056814,0.974681359304868,0.935878047238546,0.95730426198034,0.958751833909251,0.980028557070635,3.00254301583021e-06,0.000239540144407083,8.3018698421211e-06,8.47691720348945e-07,5.19964374440533e-05,7.26932675217921e-07,4.35210146686972e-07,0.000300410984194786,3.13327239222616e-05,8.86590840344389e-06,7.83888856540419e-08,0.0224556093544424,1.0794602389798e-07,1.87183203303182e-06,2.05302412627511e-06,2.73758573327081e-06,5.39322354469154e-07,2.45040692944407e-06,1.24011692363014e-07,9.17313280591856e-07,3.18334722963342e-05,3.1278752378419e-05,2.63597020105753e-05,6.20527879771946e-07,2.9638838890952e-07,2.69823580444632e-06,1.08721703849311e-07,0.000113871994179226,1.88148649107781e-05,8.54138814923409e-05,3.59962782324989e-05,2.83631412427048e-06,1.28301152540443e-06,4.14465762318073e-05,4.90043543980442e-05,0.000803412890039084,2.62792333714685e-07,3.1023069583001e-06,5.28662062229604e-06,6.86312911279549e-07,1.34273884432429e-06,8.19715009452919e-06,4.37155440569849e-06,6.67904524171337e-06,2.384324006788e-06,4.81892817146862e-05,3.78740256981057e-06,0.000401190775881922,9.00556746854131e-07,2.29217140573585e-05,1.1299765853357e-05,1.036266484608e-06,4.80756460972238e-05,7.72919522436298e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5592723428988e-08,1.72545897330917e-05,7.10967548536267e-07,7.17430515021741e-06,4.6600861492513e-06,1.10132700306101e-05,1.94418554772926e-06,5.00119662711086e-06,3.36807005911124e-05,5.01323633911758e-05,6.38086706773197e-06,3.98572484428243e-05,1.37990603435523e-07,6.79779215766184e-06,1.22946095306169e-05,3.69217712110085e-06,2.08929796082773e-05,5.59182821112932e-06,-1734.17180300036,0
1,0.305750331914908,0.163441080708265,0.860028523618603,9.7,1.90292308203896,0.449721772303018,0.249755428496683,0.000353006098560024,1,1.15635172106276,0.938732682369976,0.00653985118066877,0.948673483341718,0.985687297080601,0.917200184836926,0.983040033934738,0.984886762217834,0.973725273962141,0.971362796116346,0.989391526865319,0.992463651499713,0.940376097948074,0.997160242326745,0.965964360003482,0.980320899614815,0.918381560347104,0.998064451490361,0.926791617951932,0.984562981079502,0.924765070830644,1.08009000803058e-06,0.00014169573477361,4.63251284437373e-06,2.47320359439507e-06,8.75186769796381e-05,4.05828547190386e-07,4.11442393348698e-07,0.000285669963595649,1.55341847809895e-05,3.85802348032812e-06,2.05556565401311e-06,0.0115539303217569,8.87031901996037e-06,5.76159833750328e-07,8.01795789782801e-06,3.90137763153264e-07,1.25879104659543e-05,9.02906871283582e-05,2.18907252683264e-06,2.39320395380049e-06,6.72542947874949e-05,5.40772276740616e-05,9.87129652992597e-06,9.35217773795538e-07,2.00644202569494e-07,6.39015131105077e-07,1.45612444170984e-06,0.000126751715464528,2.63740430306059e-05,1.07204176063021e-05,2.95048500236106e-05,3.86739010501053e-06,3.34498721756898e-06,7.87894201590218e-06,1.21452485702127e-05,0.000956554069665874,6.29503796441885e-06,4.46263508418131e-07,7.96985557865145e-06,1.81014762789631e-06,7.56830899425339e-05,2.13203668080073e-05,3.40596429163014e-06,8.23164255304059e-06,4.8079421222008e-07,2.1181375146105e-06,4.42570611766454e-07,0.000864350992149359,5.25755289955368e-06,1.20661303114063e-05,3.65168445526239e-06,7.56117475604886e-07,1.01960547736272e-05,3.88148192729917e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18605275516198e-07,0.000144677528561297,2.23167475025164e-06,4.11542051957176e-06,1.52220389625013e-07,7.83380134034461e-07,5.50873626093978e-07,8.20260642664829e-07,3.71062640557288e-05,4.80959055593342e-05,2.45343070128552e-05,8.8102935724558e-05,4.9083635112146e-07,2.13515033342483e-06,4.3549378208953e-06,2.59519395542132e-05,5.37896789206907e-05,2.59270419794816e-06,-1735.36668715284,0
1,0.247955357379709,0.167919575437268,0.81464330125793,9.7,1.7452151372969,0.468752709642692,0.278132657849089,0.000351182406026072,1,0.596231785689785,0.955303581295794,0.0168867826091499,0.956579812208674,0.904653754482834,0.707476013388674,0.992738312643258,0.962816989110156,0.977364099849031,0.513884697587344,0.965854615127535,0.983584041485662,0.308457230972177,0.969170033367045,0.944843162110902,0.991601112603507,0.989105258861634,0.996563013824499,0.982963845970942,0.984451384362083,0.542070534714097,8.4568519988833e-07,0.000357328990022937,2.43563805566483e-07,4.68794823116054e-06,3.39377340436547e-06,5.89117891974742e-06,2.15074588971109e-06,0.000286650753616335,4.50502985979344e-06,6.83810331901776e-06,4.97200516704998e-08,0.0143923998871407,2.20258673028581e-06,2.1302270480522e-06,6.02306446365263e-06,7.88374071701243e-07,1.13718933234879e-06,1.52089706690841e-05,1.84788422033448e-08,1.13167704305504e-06,2.79602030520878e-05,3.87198598189272e-05,3.74362429645723e-05,1.11183377026211e-07,6.34666994355332e-08,2.80384371395964e-06,1.40497918057456e-06,1.44910821249197e-05,3.19444276127554e-05,0.000131945503580605,2.03738892427499e-07,1.86753132869019e-06,9.01875164346257e-07,1.71102724510806e-05,2.86706593593594e-05,0.000339023651637802,2.35137463019969e-06,8.05110350132329e-07,1.53816494875931e-07,1.61705788295981e-06,1.18742581665311e-05,8.85057013360244e-07,6.15706901617756e-06,1.45205336887321e-05,7.39450178633587e-06,1.04414697977681e-05,2.56551131747526e-05,6.13322987348776e-05,1.41068047899886e-06,7.6553666643992e-06,7.16987068603781e-07,5.84711978763647e-07,1.52805150041126e-06,4.50707563527975e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66937391014823e-06,1.95555263120676e-06,8.74984815868153e-06,3.6842410871807e-06,3.95941777092598e-05,1.37218635757706e-06,1.11234464049084e-06,2.280084765986e-06,5.38938758800458e-05,3.9838642542516e-05,1.43880701628694e-06,9.23486682301112e-05,5.94476682990656e-05,7.08004717111495e-06,5.55994406564007e-07,3.05855507994979e-05,5.06601533840705e-05,7.40465965540602e-06,-1736.07405055088,0
1,0.243802884134475,0.18185720637406,0.771509240311527,9.7,1.67329333104183,0.461777849986327,0.248294755401427,0.000320928258683821,1,0.833827224286036,0.982178993775979,0.0227674097896366,0.973601492702265,0.954946147179797,0.778332077605529,0.910129563636191,0.957166287579154,0.59096330489832,0.970042379537715,0.574804735294368,0.985318428181963,0.955922760410942,0.991680990404206,0.903901576635961,0.988497714557548,0.98767080312798,0.991058037824407,0.87908162640536,0.887593792978912,0.992672847936685,7.26063503198261e-08,0.000318515188725956,9.953326975813e-06,4.54117226697198e-05,0.000106010507137273,2.55386360165139e-07,5.55345355629089e-06,3.52571386690209e-05,1.40889351909061e-06,1.13113242596867e-06,2.71847808931156e-07,0.0180363986986462,4.41183419647943e-05,2.21248594242287e-07,5.53000022836484e-06,2.23624687472867e-06,3.8236312079353e-06,3.69243497363883e-05,3.88907388531486e-07,9.45477293444335e-06,1.37843912123067e-05,1.51232231263627e-05,1.3564546311746e-05,4.69308067159666e-07,8.50949750088682e-07,1.25112349006702e-05,5.6952161574354e-06,3.16759087195309e-05,1.14539081512148e-05,0.000204768987115918,1.66989575400094e-05,9.13831584826575e-07,1.33188554588593e-06,2.99092340489385e-06,3.23590216638711e-05,0.000833998831084414,1.27956908825245e-06,1.4125321455686e-05,4.33508696923826e-06,3.14147660044508e-06,1.50672362285054e-05,1.93053407298263e-05,1.12744488504098e-05,1.15760303407035e-05,4.72700042235292e-06,7.02283405814975e-06,3.30384648731485e-05,0.00478475365856192,1.13815476464687e-06,9.16010946874645e-07,4.60739424330218e-07,1.41583857099662e-06,6.37065378611651e-07,8.45340931145926e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55262389511496e-07,1.46329367694375e-05,2.5975635330488e-07,1.96375416667808e-06,1.5842128356623e-07,1.77019069659697e-06,1.63890857933823e-06,3.17979281821861e-07,4.51406529835939e-05,0.000182023753243691,3.4261502803392e-05,2.93386493554788e-05,9.5787663744797e-07,1.44753252449894e-06,2.36577711646019e-06,1.56351197140839e-07,3.92783328025666e-05,8.47912842121228e-06,-1736.18852532049,0
