"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.239618938189105,0.154554363393113,0.755458898328378,9.7,1.69147155979316,0.494262130274073,0.273165506597551,0.000284545830246005,1,1.04665094114979,0.956566114133755,0.565664986372154,0.995241694863184,0.971305554215654,0.954744925547456,0.726010171688646,0.990496289308783,0.998742774417515,0.992543432744807,0.988054382629207,0.853147646708853,0.929000388360217,0.997831954792617,0.635139564677536,0.976812042083301,0.996102553504851,0.97405935609713,0.965760487616896,0.992360987066426,0.98929358806507,4.00364978099095e-07,0.00036672590555762,8.04525861990294e-07,4.39309886403988e-06,5.58047511994957e-05,5.87127681062719e-06,7.25681552564165e-07,0.000276591161141691,1.5777622720722e-05,1.38989780498055e-05,4.88313597105998e-07,0.0117396012451517,6.65641618634409e-05,1.38363448355027e-06,8.06841412922689e-06,2.79478047445486e-07,2.20165540123729e-05,2.6635080874114e-07,3.70086210275338e-07,7.66741191056283e-07,3.91881057277046e-06,1.87946926218665e-05,5.89123058689918e-05,8.17213192798834e-06,2.23831359808267e-07,6.97779461723606e-06,5.17825721580006e-06,7.07913771567962e-05,2.73046515649695e-05,5.85223579211176e-05,3.90283153248772e-06,5.99484323870672e-06,7.69273753679509e-06,5.47775920381367e-07,1.42595277369524e-05,1.15005848800846e-07,3.4747726816925e-05,7.64694348319606e-07,2.05707283977033e-06,8.61741648105726e-07,1.14607110220307e-05,1.53267508272729e-05,3.48789739418813e-06,3.9243724620888e-06,4.77342147898833e-06,2.42630444344056e-05,4.38764723831694e-06,0.00543532499566076,3.10313029591999e-06,9.51929367001587e-07,1.71674543487518e-05,2.82109895521566e-06,9.12965724592111e-07,2.83133120139033e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66301880838661e-08,2.26278475410011e-05,5.13914113893246e-05,3.53815247599289e-05,5.55151023005113e-06,4.52213011142497e-08,1.77064181595046e-06,3.48421139735709e-07,3.45500790440766e-05,0.000154020269636158,3.30043295828351e-05,0.000142447354036056,1.16333675538279e-05,2.44039931948562e-06,2.41368921989285e-06,0.00010937139119309,6.92611957604796e-05,1.66782475712477e-06,-1746.46627495272,0
1,0.288641760707354,0.150038398204715,0.728246389874235,9.7,1.51703502583865,0.460975940781108,0.268344248764622,0.000278323991770139,1,0.461300989753412,0.99378823207874,0.544320605707242,0.99594261547122,0.932724228143471,0.951107968589924,0.918097228283254,0.99539686443402,0.987057077178359,0.986038695698159,0.995396734809115,0.990667185925158,0.670203624935872,0.99182259371058,0.502940397536442,0.987180604680102,0.842440475239714,0.895976982753009,0.662526573614965,0.99515774856353,0.988465124069962,1.50336859651134e-06,0.000528362015235364,4.24469013363892e-05,5.67994473183914e-07,0.000158140097443294,6.17678370201184e-07,1.28419713545137e-06,0.000374982880999026,1.83255286969636e-05,1.13285801823679e-07,8.93559663374335e-06,0.00909296534611133,2.27972522803937e-05,1.30958175897266e-06,1.07790336896187e-05,3.83783013411161e-07,4.7430702773562e-06,2.96461319739979e-07,3.92122121950395e-08,1.66236216450457e-06,4.72850104866856e-05,3.79183419474721e-05,1.91999713837161e-05,1.16583319796886e-05,2.58763705583627e-07,4.48893861452524e-06,4.02394374873089e-06,2.56637871408521e-05,3.41167889665771e-05,0.000140281085184549,3.43683373281863e-05,3.0117557562098e-06,8.01281032519543e-06,4.93549363352622e-06,6.18417052989325e-05,3.63351405328699e-07,1.7790706311447e-06,6.32832469644541e-06,1.78481578504154e-06,2.1097378542005e-06,6.91956509204236e-06,2.14331033340907e-06,2.36336838680952e-06,1.17453241051173e-05,6.19062761235674e-06,0.000109325100310193,1.25399175908364e-06,0.00172678270306071,1.01717957503089e-06,3.83219889651681e-05,2.5540930996992e-05,5.35893972217703e-06,3.07982101197023e-06,2.81192645650091e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88159082508489e-07,2.26483198770395e-06,1.77249521343673e-06,1.4969688471153e-05,6.15099016422821e-06,2.16254101599627e-07,3.90596599045401e-06,1.17096484889039e-06,6.50787237826849e-05,0.000147877404202029,8.79005786657783e-07,1.97154554274245e-05,8.53404296575754e-07,2.40049610477306e-06,1.45672178957845e-06,9.89920845761879e-05,4.1341606212796e-06,1.14257823723451e-06,-1748.14856363023,0
1,0.287213374029734,0.162781034561474,0.748771690884116,9.7,1.56861189662322,0.478465557509308,0.261189021907547,0.000221538518870881,1,0.732921156635193,0.972087268786145,0.565278988486983,0.972975318202189,0.528375615808663,0.890159906408832,0.970828787248062,0.969259817192463,0.869445263204772,0.650392087589376,0.991722456841675,0.633753306514641,0.881604984976364,0.95124588298256,0.908355467674148,0.987991024363058,0.986601082798296,0.988113312580093,0.738002735999809,0.989434646853548,0.942486020680291,7.85124385145247e-07,6.67396142553737e-05,3.26689744859261e-06,9.56729217454699e-06,9.31225708513056e-05,2.37438450380885e-07,2.78988076606193e-07,9.84631268903145e-05,1.65434243293271e-05,2.12091716217288e-05,9.77194651888522e-08,0.0184625209294018,8.74042667330522e-05,4.1589255838496e-06,5.46473958906849e-06,6.13714739218252e-07,6.24858517002069e-06,4.59457241124603e-07,1.34715509364058e-07,6.66814080825602e-06,6.40000110612718e-05,4.14467261573065e-05,2.76108506258451e-05,3.52185162117819e-06,8.51727626892904e-08,2.57050191279755e-05,2.15055912858593e-06,0.000134204119921115,3.32114645733733e-05,7.55792987853571e-05,4.31354532516931e-07,5.20899639095993e-07,8.34026657331719e-06,2.23267616632159e-05,6.49703587578535e-06,7.66294845745912e-07,3.50036921214729e-06,8.25225666582743e-06,2.91859821665331e-06,5.79174032819163e-07,6.4227127987179e-05,1.3511062126791e-05,4.1414402859223e-06,1.80215833078147e-06,1.60706739579889e-06,0.000169554689717085,2.82210231744413e-06,0.000155043476791008,3.04040034553184e-06,3.90991069758374e-06,1.76862720310029e-05,7.97883364532282e-07,4.96415540510877e-06,8.94955775329385e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83998814563674e-07,0.00012955453271352,1.00908153396239e-06,1.20239874633197e-05,2.57883178754228e-05,2.58262452949394e-07,1.68878554357529e-07,1.80782413207748e-06,3.02573893183121e-05,3.0900402284136e-05,8.87855793728351e-06,3.47672818427056e-06,1.94018060027419e-06,2.89016970587453e-06,2.0929552276728e-06,3.14646381089232e-07,9.78546570598927e-05,3.60765955807603e-07,-1752.94346664592,0
1,0.304460867249198,0.160935174495376,0.719378684655478,9.7,1.6569906938951,0.45291222228852,0.2733881825641,0.000269339142247816,1,0.496012013391732,0.955706937313461,0.555543102751202,0.992623861686261,0.864625557788033,0.912758245485341,0.913870124881176,0.992003468155033,0.961267532460291,0.962891787355708,0.912381109622954,0.854331056286863,0.981618576341061,0.966016692094541,0.837439876069172,0.968941946014712,0.916597908966258,0.698804697603197,0.777751640762886,0.981903249772059,0.977156752113588,1.99776637296921e-07,0.000106263097619799,7.17383256055348e-06,1.11689103356624e-05,2.34484384618913e-05,8.74194888123356e-06,4.19578151106736e-07,0.0003602128298291,3.62746526444698e-05,1.33447322659553e-05,7.81984309469657e-07,0.0149685529307652,6.92915090441288e-06,9.80831847223718e-07,1.52985086847038e-05,2.65288021657172e-07,3.1554042505311e-06,6.72959930937765e-07,8.32221954701602e-07,5.11519674943974e-05,4.55923627022922e-05,3.09328663026041e-05,4.13523614248473e-05,4.11538399862959e-06,3.09678544713071e-07,4.09737745350547e-06,1.40179157943245e-05,0.000129147646531796,2.84540534765728e-05,5.08808910357722e-05,4.58057491985293e-07,1.1792244933875e-06,1.34247866319016e-06,1.74181625791978e-05,3.92766530082825e-05,3.35216104708611e-07,4.60979313125888e-05,2.37601830051466e-06,2.60840796617569e-05,2.45357044256903e-06,6.07952125408813e-05,4.11253438044004e-06,1.24380373396418e-05,9.73082944158504e-07,1.49494677329116e-06,3.27311742469557e-05,1.53679002122624e-06,0.000195102531941204,8.43519700107005e-07,8.45462477590076e-07,1.28215547031201e-05,5.29787705458185e-06,1.4551346949946e-06,4.67484472132136e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98771184959963e-08,1.33424693334159e-05,2.8654863829309e-06,1.20889260368189e-06,4.68496456468116e-06,2.3359016941429e-06,8.87472909541701e-07,7.99429135041026e-07,8.79771554218599e-06,2.04560947550793e-06,7.76380360419767e-06,3.43838563334045e-05,6.92734736362169e-05,2.60661267997226e-06,2.71668360793952e-06,8.4376035882688e-06,2.03662266650992e-05,4.38665733484935e-07,-1753.91399126955,0
1,0.27113497160686,0.181870331430961,0.738356143199472,9.7,1.6299951486071,0.452228450658606,0.263204654870477,0.000307805852887092,1,0.524686857254406,0.92675320251611,0.546057952639371,0.945856293433841,0.996343583956609,0.731063178133639,0.990478300030667,0.666434738807662,0.983703732002986,0.985218108758884,0.99088309476313,0.554629200817246,0.736474729275306,0.981783144225875,0.86003217003988,0.794978271564581,0.950532202957286,0.912766532274496,0.146103237669631,0.978032325540421,0.980908766707077,2.71990852973172e-06,0.000213027272952851,6.00124438681795e-06,1.23380145114925e-05,1.71631534373167e-06,1.07748241623981e-06,1.0720187501202e-06,0.000334606796960032,2.84814374012602e-05,3.80362554956838e-06,6.54380088116448e-07,0.0144567845567319,1.43706801562832e-07,1.51441742551401e-06,3.64976781594869e-06,9.00063043602831e-07,2.60042184872945e-05,1.41001383990872e-07,5.77041478410063e-07,0.000130827074038124,4.44137788398756e-05,4.19338438604791e-05,4.92659504731329e-05,5.31156737585703e-07,1.93053751707003e-07,1.91704056560815e-06,2.29609925200005e-06,3.27721437852114e-05,7.87530251650737e-06,2.17510126722709e-05,3.3645777209061e-05,8.17047989239454e-07,2.48174555551515e-06,6.39518669389603e-07,1.37379048815573e-06,8.3073223157642e-07,1.22353925934451e-06,1.37633158308247e-07,1.31397810959746e-06,9.27879509117274e-07,1.4702881979475e-05,1.90453433772059e-06,6.47955001799743e-06,4.02776422167349e-06,1.857906440221e-06,4.20240531928443e-05,2.35571887249329e-06,0.000109828018209604,2.24079006265129e-06,5.04417706982134e-06,1.08946025674173e-05,1.71488347937192e-06,3.97467328206375e-06,1.60155459209354e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07254055430264e-07,6.78935240289274e-07,3.96542514032561e-07,1.52101318491814e-06,8.84933599677692e-06,9.1961340656141e-08,7.08882623360967e-07,5.28489638901845e-07,1.65621594922853e-05,0.0001347622549269,5.64521987962861e-05,1.07166767327334e-05,3.77737468453196e-06,3.98753238210892e-06,1.07216118066061e-05,1.98628318969897e-05,9.19924094158373e-05,2.19026111188791e-07,-1755.23557575824,0
1,0.319125268835035,0.167183158871252,0.750574864475739,9.7,1.78094487692534,0.458207464145428,0.272841240610102,0.00024479463653538,1,1.0319048215609,0.944226295714432,0.555642683599725,0.993894240925733,0.914022664628997,0.666787955451656,0.991957809471178,0.957193446594888,0.824252624598181,0.834736894202906,0.999005656982791,0.981026071800466,0.780446277997878,0.993652491412594,0.559116587336631,0.955043245156971,0.994883114827181,0.926728777864133,0.883200128631591,0.994773911165804,0.86925199368594,2.22777277272402e-06,0.00020358639207363,1.17647382020351e-07,7.80621262836686e-06,1.5497426900324e-06,1.66459988833871e-07,9.03192615441159e-07,0.000308835443347353,2.41700196670042e-05,7.3163361234761e-06,2.14780110969028e-07,0.00884471408878634,2.88637485498218e-05,9.29412381800524e-07,1.0864083274556e-05,7.76424922480617e-07,1.07122123149087e-05,3.15320156934717e-07,7.00958802517691e-08,1.72197661822471e-05,2.33593757684266e-05,3.30789685289225e-05,2.77775495059051e-05,7.28524256811343e-08,2.57631023443726e-07,3.9234173099371e-06,3.3673981412535e-06,9.92601600549345e-06,1.29494781688811e-05,7.37754847408539e-05,4.92057785444087e-06,3.76731155368868e-06,4.2418437203628e-06,2.34925855508586e-06,5.97239025971143e-06,5.37913939188321e-07,9.17519455954144e-08,1.55976162707498e-07,3.80931917568363e-06,4.82806811578197e-06,1.66209268904299e-06,1.68817800034422e-05,1.21495144778187e-06,3.38958391376067e-05,6.8746884670132e-06,0.000336414094580289,3.91212039767173e-06,5.73200137118318e-05,6.00261364537444e-06,5.61245593763373e-06,9.56377879591728e-07,6.37790368850129e-07,0.000184902229134077,1.26175106330778e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0619077663749e-07,1.51903776376285e-05,3.6879476436462e-06,9.55297976448168e-07,5.68091765013811e-05,4.57575706636586e-07,2.8048022609227e-07,2.68113500658523e-07,1.91974323598602e-05,0.000139572192474397,3.04976038120698e-05,2.56971068874085e-05,1.10575166044915e-05,2.29247890439308e-06,6.38937152086274e-07,3.46512299311614e-05,5.38365241153512e-05,4.86685310384002e-07,-1756.67278336853,0
1,0.264974772287161,0.15420987882468,0.755080862804292,9.7,1.51016110100081,0.480116040962159,0.259757982130589,0.000265653022312816,1,1.25019064769879,0.976702083668593,0.55526783704255,0.777794993278315,0.988408540999121,0.992118037614361,0.820332650887711,0.975620961220315,0.994559456616046,0.888371896947238,0.991365340685479,0.994911051866659,0.570742598931787,0.921426361772445,0.872880706575574,0.919798076976372,0.896164012366751,0.850355480583442,0.960175557974492,0.992113582143329,0.988121037021236,4.40787836605151e-07,1.75986044869766e-05,6.1069528707482e-06,1.20460122699553e-06,8.81050154969958e-06,3.00101085116153e-07,4.12562522484628e-06,0.000252357036242402,3.30854138219276e-05,8.09971586163853e-06,5.00067311476923e-06,0.0214457447950907,8.29838460834349e-05,1.30519913671546e-06,2.95367827344875e-06,1.90046878616744e-07,5.31898441819205e-06,1.50518748505043e-07,8.19074228530447e-08,5.29602376506842e-06,0.000100474080691077,5.53828238329274e-05,0.000146173199607824,4.32949820485283e-06,1.10277851256461e-06,6.79959342150359e-05,1.16521509920586e-06,0.000135835367063087,5.82822125376746e-05,9.67639885559748e-06,3.98081933078401e-07,4.90547727649274e-07,2.91749397296789e-06,3.58405982391682e-06,7.52624853116526e-05,4.71556973358598e-07,3.18070042601754e-07,8.96670505712419e-07,2.15926921217641e-05,2.47427632230686e-07,1.65016556660701e-05,1.71655625943369e-06,4.2951104492855e-06,9.79614401697843e-06,1.6075366895247e-05,1.6600301955525e-05,2.90144995426712e-06,0.000329667101411467,1.36489646537012e-05,4.36327795791674e-05,3.70460511725006e-06,2.83475581415743e-06,1.75820022975396e-05,1.43545092362387e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66488718113886e-07,0.000317589508440954,3.3613321617634e-07,9.05020350460299e-06,2.37002618098123e-06,4.94942010329372e-08,1.08710474387496e-06,1.4846330203701e-07,4.39010421350323e-05,2.95813237853648e-05,2.49457870985481e-06,0.00014654176395641,4.46485899667012e-07,3.89937242178795e-06,7.12965061185716e-07,3.05470255791637e-06,5.14285385595437e-05,1.61684056285989e-06,-1758.3903534032,0
1,0.241710304028579,0.144772726126994,0.775139456174028,9.7,1.55455249984714,0.487404067261543,0.258193010159106,0.000318918441800959,1,0.633555125159987,0.986233547724128,0.559011539299141,0.964451580365225,0.978833011509429,0.910222138226672,0.865285107459577,0.994083346244801,0.591390264954316,0.992318439740711,0.984916626941789,0.944590079816903,0.893232070396319,0.980934522489346,0.749035713573908,0.270128665460918,0.976091229674802,0.986309515861124,0.959761288661636,0.922165331736009,0.991351059274113,4.33680453524542e-07,0.000328206698010187,6.60640762257488e-07,7.25523908095577e-07,2.49706438098333e-05,2.65144130769662e-06,7.90432899745573e-07,0.000369720534182716,5.55868716896159e-06,4.53298224695432e-06,1.72377312108394e-06,0.0158946264099716,7.21093653348417e-07,3.41587269208935e-07,2.5978220496726e-05,6.93010522107005e-07,4.46254956737279e-05,1.73594907104446e-07,3.51592810789621e-07,3.04339272964317e-07,6.83112404325499e-05,4.28451653996318e-05,6.72415213004199e-05,6.4155635681599e-06,1.06771288007787e-07,3.79479512873577e-06,6.36709024926087e-06,2.40541810744173e-05,3.71001182116089e-05,8.20496671803242e-05,8.81573841095891e-06,2.29299983519203e-06,1.054384631089e-06,7.10367490845924e-07,4.58220195326335e-06,7.27559579982623e-07,1.6020214408228e-05,1.507970610468e-05,1.78396395292999e-06,9.77815993451974e-07,8.14449911580943e-06,9.23902798261495e-05,1.19800844048948e-06,1.0270690262117e-05,3.00634907474556e-06,3.85104270859091e-05,2.49527584196107e-06,2.34312167653622e-05,4.08774029577968e-06,1.03011155136678e-05,8.38448231847172e-06,7.85800928633588e-07,4.39750381470958e-06,2.38329993546874e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33967917039542e-07,4.48987941440301e-05,1.72229340924659e-06,4.47657215162537e-06,1.4780157014495e-06,3.28243014913294e-07,9.86203795554501e-07,1.41589352024874e-06,5.02065458146541e-05,0.000201919685364296,1.84259825600549e-06,3.97860965798626e-05,4.26358803087216e-06,3.31236786910255e-06,6.99761855943128e-06,6.72645491352505e-05,5.50691026103027e-05,9.14790571483459e-07,-1758.39543164228,0
1,0.273830825416335,0.143301534755187,0.734156669084551,9.7,1.84588434519395,0.486275306963517,0.272116059165951,0.000247364939536363,1,0.440033719104082,0.983732638068477,0.584944270462152,0.976824645440069,0.964557662056411,0.288972935952327,0.848515924144114,0.997033857402262,0.947968224414274,0.954571344390294,0.978961661454868,0.974618750273961,0.975999974990635,0.967396866870698,0.824428191630151,0.995418060063441,0.99562903383049,0.763977903642523,0.95999740603808,0.956415063231834,0.953445325373921,3.25413091936889e-07,0.000275169382419997,1.24481455774001e-05,3.54458998437767e-06,5.69749514583904e-05,3.53016425875414e-06,1.20008711716596e-06,0.000110169445357851,4.19899233967492e-05,6.14135367332627e-07,4.3562530762174e-06,0.0139958391025222,7.3396939979945e-05,2.04517249632577e-07,1.47930803851843e-06,1.9700521593317e-06,1.73290981046834e-06,8.96993512861181e-07,2.9784748411742e-07,1.66094299985298e-06,8.73811342670575e-07,1.08930125230412e-05,5.91448155349365e-06,9.77049576335462e-09,3.76881175191615e-07,7.78035334241516e-06,7.47495344881539e-06,8.331108700322e-05,8.85188576350259e-06,4.06188316525945e-05,2.94308518336535e-06,2.64202877712559e-06,2.80019260805009e-06,7.90878783428894e-07,2.62364881898485e-05,3.23217179493082e-08,2.14748769284931e-06,8.70715735090808e-07,8.83225422502833e-06,4.67678011165558e-07,1.53127180717604e-05,0.000150400869838661,2.6699615104711e-06,7.24929440783022e-07,5.5828682496286e-06,4.24201793504082e-06,1.82372728244096e-06,0.000374148844377264,1.95244112403844e-07,9.98386429530318e-07,3.21424614947753e-06,1.51774332834988e-07,2.3770380672878e-05,9.24207107188672e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16111730025641e-07,2.44824953521073e-06,1.01169721529803e-05,1.87115676591393e-05,5.40497804567376e-05,8.19445430497499e-06,2.45222582355853e-06,2.30863953464828e-07,6.32472078438843e-06,9.00826905680623e-06,1.44801181224204e-05,8.85860703939283e-05,3.35379071579159e-07,2.08058552572909e-06,4.12820550595285e-07,2.97921855121563e-05,1.04890024390387e-05,5.94170504791166e-07,-1758.75944685906,0
1,0.244679703952816,0.168122547888103,0.770755578733781,9.7,1.57713723404264,0.454963658345435,0.243695178956449,0.000309792718710361,1,1.11204599444933,0.928999631871314,0.55067568752742,0.890288442791263,0.930000002172242,0.602900683131284,0.949355938056007,0.949158156763377,0.913404618806145,0.724303907911081,0.956239349654377,0.979205764301922,0.992042101212408,0.938701431895161,0.406028035170792,0.986612973955462,0.994397733113413,0.968418725290897,0.917676272013806,0.990377180166566,0.985994276999893,6.27503292960099e-07,0.000162859335942236,2.28317819261059e-05,8.78207111562888e-07,2.39376597627604e-05,2.93948536843235e-07,6.04756124246908e-07,0.00010693358009619,2.55853206108691e-05,1.76371380688393e-05,4.00374908573948e-07,0.0111034194156399,3.97665359317468e-06,1.86464544861585e-06,5.76410706513394e-06,2.11885254965783e-06,1.77013961171001e-05,1.19704631058187e-06,2.96465729271015e-07,4.30099659050678e-05,1.04897404305015e-05,1.12725120744554e-05,3.5890708944526e-05,1.2097261939502e-06,2.64254868839246e-07,3.32284947176879e-05,5.21555679391089e-07,4.39288661645179e-05,1.11936620741531e-06,1.65036786075223e-05,1.1171388381986e-06,4.74275693868232e-07,2.92987397697391e-06,5.84480849076514e-05,4.76891066158088e-05,4.7010013887863e-07,4.87246596925167e-06,1.85983895314627e-06,1.21656831720738e-06,3.13491157128583e-06,4.92337935192089e-05,0.000327187496553131,9.93870561559605e-06,8.47061085176343e-07,3.65063988376004e-05,7.24469209862179e-05,1.22248495565675e-06,0.00328402122132025,4.62709455337711e-06,3.73699357252362e-05,9.14180545681333e-06,7.36643598103537e-07,3.66728372621655e-05,2.63523749975169e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1829709787504e-06,3.68460637270969e-06,1.63459469784019e-06,1.02500835834992e-06,2.68141881942821e-05,2.1240261481399e-06,1.7219985010705e-07,6.37456441663783e-07,3.87316655557901e-05,0.000199223909367068,2.90975362002872e-05,1.34841877917795e-05,7.32472856134765e-05,1.06086285952187e-05,9.24871122517339e-07,5.44309972818503e-06,4.66664341106031e-05,4.79607921758624e-07,-1758.92505203106,0
