"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.240932326335531,0.159428285799994,0.781046002589311,9.7,1.49411213787363,0.471223668070708,0.258124129050939,0.000314795973702168,1,1.12541794851997,0.937168364224614,0.587033584794563,0.954773377141556,0.846242323512545,0.854621146769309,0.997392816082794,0.860738147114101,0.965181366123825,0.941283095255806,0.992664054560106,0.990640035775367,0.864192186674533,0.992320065197417,0.691213514912834,0.963956159918638,0.841336017693546,0.969660139448684,0.907231077855389,0.994607054030118,0.988769812136035,1.58604837611444e-07,1.16522051593659e-05,1.73059510170332e-06,4.94404976701696e-07,4.34631716323899e-06,1.50424085863012e-05,4.74932053641306e-06,0.000321814711406319,4.77505366392401e-06,3.4895390867969e-06,1.51229955263454e-06,0.0170037298046212,7.4249053636286e-05,1.21341274546731e-06,1.69724493730383e-06,2.13856635913855e-06,1.44516832790574e-05,8.4381538492196e-07,3.30782173453334e-07,6.90895920419876e-05,5.76203361701566e-05,2.81247110520024e-05,0.000140761581981142,8.19146985792194e-07,2.29138601421568e-07,8.58742649334821e-07,2.33359416192631e-07,0.000126953775641914,7.78495246162266e-05,3.12951621997059e-05,1.46662159743156e-05,2.86442097997557e-06,4.90339100777328e-07,9.19694272717214e-07,5.45502283832518e-05,1.91156104745481e-07,9.50649644543974e-07,9.82147351041802e-06,2.89690379812402e-07,4.50214011872567e-06,4.41983823251259e-05,2.55908240842808e-05,3.13135620181791e-06,3.2560161674133e-06,3.24474296149626e-06,2.57586659723331e-05,4.6241548839924e-06,5.95769553848445e-05,3.48464393995393e-06,1.01170964903871e-05,8.91974337509705e-07,3.42188202143684e-07,1.23904422689575e-06,2.67725541043586e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84945092909672e-07,0.000273935375294924,1.18347325646523e-07,7.10327470604586e-05,3.27047199213842e-07,6.23793393042747e-07,2.20303378758906e-06,9.41601506237574e-07,7.5474589790218e-05,0.000135999061228768,2.33205530898052e-06,4.57673145976826e-05,6.59437477942195e-07,2.18342885141915e-06,1.43980835159193e-05,0.000123814644157117,6.27335932597936e-05,1.65352799745792e-07,-1730.50468320629,0
1,0.24317161463535,0.17464508107905,0.774245378189702,9.7,1.89083625120773,0.444075434099659,0.250780728577131,0.000412042332570886,1,1.12131564567707,0.983788987963658,0.556042005022845,0.982968190362276,0.990694479799849,0.961791907903113,0.85567290953407,0.985210228011214,0.88544570576255,0.866666056159223,0.975178748210066,0.994977175802444,0.978143400752735,0.978848218680977,0.37542726139855,0.984669036242055,0.992648226881,0.981540487674468,0.839346550416849,0.977243716918339,0.948518850019114,5.58395702585614e-07,0.000271335963371485,1.13244185727488e-06,3.43473519915863e-06,0.000109765178155227,4.43525501122585e-06,8.21816974322419e-07,8.50877973736064e-05,5.10460818980212e-05,1.42451733906784e-06,2.02879444553852e-07,0.00503148320098169,6.63593740679611e-05,8.38585560982929e-07,1.11314985608983e-06,9.07958833337805e-07,7.74577527151812e-05,7.34078105716688e-08,4.78867883099867e-08,1.37014573709258e-06,7.64094880250793e-05,5.31414100732741e-05,1.94776810079562e-05,9.715506650979e-08,1.80341247852674e-07,2.40171471953606e-05,6.62791204329512e-07,2.51444529356551e-05,9.02130866803263e-06,3.05056091766707e-05,4.04379904861431e-06,2.84254763539617e-06,1.15191965437225e-06,4.36160104028757e-05,2.44790253074496e-05,3.60789857619765e-07,1.41800499499592e-05,2.86641251534149e-07,1.72363059879126e-05,7.68777040787334e-06,2.45633781957376e-06,4.11200873890861e-06,3.91483080351581e-07,1.21075050670794e-06,5.38624051962259e-06,1.40732806981158e-05,4.29332177921731e-07,9.41188764270978e-05,6.63645633757512e-06,2.04924098672966e-05,2.32641107563543e-06,3.52749746201128e-06,1.00464205175001e-05,1.65517908127563e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91157288903456e-07,7.63036406438798e-05,1.40277161025735e-06,3.08458585770936e-06,9.60381287479156e-07,6.93185932399175e-06,7.08745755072633e-07,2.26793238084105e-07,1.6635701276737e-05,0.000168744539684342,3.05123668460837e-05,0.000118346492344237,1.55651833046598e-07,2.82850705383884e-06,8.31926212232235e-06,2.03405461689697e-06,2.27637567926638e-06,2.76983235144358e-07,-1735.1055015912,0
1,0.240599260431866,0.139888173240461,0.779148748190213,9.7,1.73211260137072,0.484029278062847,0.268624431157425,0.000339402819629217,1,0.785806821288531,0.946399740501307,0.591604504690548,0.984555953585975,0.998280989121204,0.844444678765822,0.981051406756148,0.968788170918567,0.924740613021154,0.979699664170406,0.97220758621997,0.954068775168347,0.92253117353517,0.871084694094536,0.881607234588862,0.488749472292108,0.961188214944226,0.964460798939887,0.858026917855154,0.995725707395951,0.987534376640882,5.56056352453953e-07,3.5215074154573e-06,7.64243926115923e-07,2.86495310525285e-06,7.5714197710508e-06,2.58387848346517e-06,2.93152263589041e-06,0.000351340395671431,3.30913975003381e-06,3.24793936758936e-05,2.42630092201981e-06,0.0164640043462291,2.28070047143633e-05,1.40210143401408e-06,1.74733262001765e-06,3.41633540083597e-06,1.1473326702746e-06,3.45038399313636e-07,2.205771343261e-07,2.82156946889637e-06,6.01300474220255e-05,1.24412993076965e-05,5.88445181769863e-05,2.52714458884073e-06,1.26053288769563e-06,8.67800214726166e-07,1.32103011206373e-06,0.000124813433541603,2.51897677626649e-05,5.8262674874087e-05,8.020316132555e-06,8.43051621271219e-07,7.13145012141946e-07,1.04545885546651e-06,1.81278169149252e-05,1.28820844244275e-07,1.83901635114953e-06,2.79296415600525e-06,8.02169099783381e-06,1.11452776839107e-06,4.67012907038624e-05,1.22000920614785e-06,3.68365719159123e-06,8.78794354952353e-06,2.88564460907218e-06,2.8597613010097e-05,8.05284042117962e-07,0.000248714057874641,7.59629412505619e-06,5.15960505868195e-05,5.53508195695076e-06,1.80600949647986e-05,1.03905596291268e-05,9.23400589671393e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26821135959335e-07,0.000328779695107186,3.19507132077059e-07,6.29950450700685e-05,3.52393481140937e-05,9.46985236558346e-06,4.03024875337962e-07,7.8281791008107e-07,5.73694581710427e-05,4.48430876998284e-05,1.43290204343325e-05,0.000142423917863648,4.57145602538499e-06,2.75918873941458e-06,1.2489866817846e-05,5.82559652125809e-05,7.60117496547086e-05,5.03112265470196e-07,-1736.0285448963,0
1,0.30934595255399,0.160774028067255,0.786890827118389,9.7,1.81117877631396,0.447288769209004,0.253810509008289,0.000340916753097568,1,0.681280650773079,0.951416394387211,0.595978019098483,0.986760749777546,0.992861277769184,0.977318342514975,0.992971903354674,0.899533280434402,0.986894469136974,0.988997162124354,0.946895332027681,0.961297710965846,0.970914966318489,0.964090034607934,0.98235594466382,0.957013066853796,0.96589921270183,0.997288751142659,0.730065645212412,0.980361102708773,0.971786982305744,1.17887941912265e-07,0.000210067118262878,2.69500978289774e-07,9.95779814254981e-06,3.0140033217903e-05,2.20406906222385e-07,3.18138888688693e-06,0.000112921214525246,1.82332143759577e-05,4.12885112762452e-07,5.45998649191948e-07,0.0144218946751257,1.24269783698591e-05,1.54765567676375e-06,1.34379865671778e-06,1.41716296014153e-06,3.76156611860748e-07,3.26541035247001e-08,1.30410538735768e-07,5.98907424863584e-06,2.01524186726162e-05,3.00292993088448e-05,3.44680496547323e-05,1.45353127117081e-06,1.12867658529499e-07,8.87661812057415e-06,5.95783305292944e-06,6.14401853834704e-05,2.64375626464577e-05,3.8517899721238e-05,2.58687522606373e-05,9.13319167054857e-07,6.55942826797647e-06,1.46331094216386e-05,1.34906116175041e-05,3.30249721288918e-07,2.53831776270964e-06,1.00888227360763e-05,7.88566799972201e-05,3.04942707413645e-06,8.09076708001897e-06,3.47523552406242e-06,3.47799269476269e-06,7.40651519997425e-06,5.35768826822782e-06,4.54401812419476e-05,4.53373476038268e-06,6.30967160806406e-05,2.79060704187538e-07,0.000135785508613585,3.96137620668939e-06,1.15986941771209e-07,1.80032158315376e-06,1.34372963127185e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57399768753701e-07,4.23195441313761e-07,5.30204261684149e-06,4.70576507417958e-07,8.78632086840699e-06,9.62177101606017e-07,3.93967247626927e-07,1.68410022714461e-07,3.07566763193992e-05,9.34813648348268e-05,8.91404688957147e-07,1.22527252686046e-05,5.88571020877772e-06,2.7822987163619e-06,2.93064101982036e-07,2.03519892209217e-06,5.76391154254121e-05,1.98216504745953e-07,-1736.19743594248,0
1,0.248459705437024,0.148380414308912,0.765392106033092,9.7,1.61061357392904,0.490629846136223,0.24711058104655,0.000329763097095883,1,0.952825080737244,0.986182357638484,0.598326867109551,0.890016885280017,0.787342583150504,0.906390016070023,0.984754751365575,0.99698100920118,0.969380835381558,0.835574317037927,0.935380267951147,0.541921535510228,0.987232806481521,0.989496907433136,0.855656719227423,0.932986862506985,0.991530344798493,0.864326462600779,0.20868196409731,0.989129268858146,0.994979535514369,3.9819989710634e-07,0.000110351128686134,1.43895178619312e-06,1.06044171137793e-05,1.60533382993302e-05,1.17976511286981e-06,7.11600255757692e-07,0.00027387778060373,1.18561262579949e-05,1.08254048436844e-06,1.65894163587569e-06,0.0195516487335165,8.26545211530429e-07,1.61890003963992e-06,8.22129796551877e-06,1.2750121576999e-06,1.32161270474493e-05,2.63587312242309e-07,9.73905851779987e-08,6.02046355532682e-06,2.97361820973844e-05,4.59760588366235e-05,6.62665810223815e-05,7.49804103469359e-07,2.06539561478899e-07,3.98295496326378e-06,4.71370133179168e-07,1.80470388620651e-05,2.8022296954119e-05,0.000148008636286402,4.41555482743536e-05,4.24370402015856e-07,3.02383335962821e-06,1.10647594473126e-06,5.96699824371824e-05,5.69582566470376e-07,2.48878284306624e-06,5.84105447538696e-07,7.51629060145715e-07,2.19092249634956e-07,9.37673671705807e-06,4.76768104980963e-07,4.25335481977754e-06,6.26615582317089e-06,3.85376418315043e-05,2.77528512105703e-05,3.1563971807035e-06,0.000590874185651584,4.49965614473854e-06,1.7283159172571e-05,7.92333037514084e-06,1.45436395790056e-05,5.08744052049228e-05,1.29508172861184e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35093517756896e-07,0.000173542700771832,3.46027880051251e-06,8.78340295953099e-07,3.29797703078621e-06,9.10121208971669e-07,8.09326830782457e-07,3.05568720259909e-07,1.59113449019978e-05,0.000202976560480354,1.1252086342884e-05,4.70198427475144e-05,2.48014846803344e-07,1.23611325791308e-06,7.11225244100833e-06,7.74215115189522e-06,1.12773341508779e-05,2.19750879842301e-08,-1736.64516499809,0
1,0.247112902623594,0.158483691151243,0.790970114266928,9.7,1.6227714721268,0.472441728206112,0.278502626071558,0.000262826425308174,1,0.518790466583219,0.944413031313019,0.620164738752681,0.976732109775525,0.938134801068347,0.972392672846841,0.960388951018551,0.989472939529979,0.998250538434815,0.902847771767511,0.893701157884373,0.755405332244762,0.96218810197925,0.984435943181478,0.958501222038694,0.943077613636227,0.998139327691108,0.715620640053003,0.525544870410774,0.976848127791143,0.938445987360698,6.07121404678167e-07,0.000466967016266655,3.85903424686034e-06,1.1479208510328e-06,0.000165560624579575,1.58200872536423e-05,1.33322317599078e-06,0.000316251965232279,7.15752374140211e-06,6.77951435262182e-07,6.93140008561541e-06,0.0185444453860827,0.000102661778236133,6.24525134627032e-07,4.60725300841828e-06,6.73109184461153e-07,1.88747791765049e-07,1.70414436359766e-07,6.26291617901192e-07,2.98052188211694e-06,5.94251044597603e-05,3.4699752065767e-05,8.34663031255851e-06,6.12308548138308e-07,7.69797571696528e-08,3.62615757199848e-06,6.54179181978131e-06,2.09718833607799e-05,3.19428981274761e-05,8.57840585351829e-05,4.75446107457087e-07,1.2196011057301e-06,2.46527725154651e-06,2.94978380718741e-05,4.00567384022846e-05,5.74363163720716e-08,3.08135008237455e-06,5.17766858760014e-05,5.83269237389111e-07,1.27003466818281e-06,2.49629851510043e-05,5.47728825956959e-06,2.20243326950407e-06,1.24793334916707e-06,1.62755947163659e-05,1.50391481251334e-05,3.05716320753892e-06,0.00265442210532839,1.64116825087022e-05,1.67599851474305e-06,2.7706001605093e-06,1.32625875935611e-06,8.01099063975398e-05,3.00888913947131e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31572185365902e-07,1.24683247822708e-05,5.15216690884781e-06,1.8482626945699e-05,1.28827457122391e-05,1.86573917891926e-07,9.43300492324636e-07,2.30369657007627e-06,3.77357648146725e-05,0.000237211872192538,2.54507510361496e-06,4.5139126541414e-05,1.38583577943959e-07,1.717271570049e-06,1.06562958325705e-05,2.49376468501867e-06,8.84735387848512e-06,4.23778629642851e-07,-1737.54036046427,0
1,0.247991913219528,0.164692011110225,0.771610827234563,9.7,1.79465930385247,0.476767423639107,0.276660688682788,0.0003344143766775,1,1.074857273597,0.952249809918062,0.582730526721143,0.965351452985737,0.991120831735362,0.98468173931493,0.960841636350068,0.999397910318293,0.99811482733016,0.978714663831548,0.992151527000354,0.927552807304825,0.993422912935993,0.915274116226032,0.752852410701926,0.791171932302475,0.989365583074181,0.974636957659566,0.816641396627646,0.947715002460468,0.973129053585196,8.34472019264816e-08,0.000361351521015166,2.65272178608849e-06,3.36195984841506e-06,9.53773846763626e-05,9.05437951016014e-07,4.59287821279533e-07,0.000148515389415108,3.48298601088787e-06,1.65449333975524e-06,1.44869320607886e-06,0.0117683467432606,5.44631718990624e-05,7.22442307912976e-08,1.81705128891579e-05,7.2471350780472e-07,1.87352253026628e-06,2.20329311691371e-07,1.8851604249634e-08,7.18742180290165e-07,7.04480123837129e-05,6.57760490393482e-05,2.51758573466213e-05,5.93240835523134e-07,9.49032657233506e-07,2.68495263107698e-05,7.3612434950142e-06,9.76999794240387e-05,4.84116674520433e-05,6.06765077985619e-05,1.60865831246031e-07,2.50571995144395e-07,9.39934630008586e-07,7.55435165681329e-05,4.83885952879874e-05,4.21958177588924e-07,5.60603789611185e-06,7.51417899668764e-07,3.04488494362985e-06,6.24661373346538e-06,4.81861669681801e-06,2.42890112332184e-06,1.12619815638019e-06,7.19438342514014e-06,1.54613346907862e-06,6.10454643813242e-05,8.18612544713814e-07,0.00615714183794351,1.4965898465289e-06,3.86199948405204e-07,2.96509207632763e-06,1.23982243797537e-05,1.34595928078051e-05,2.3971357626648e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49452510193562e-08,6.29222028376862e-07,6.77490492004013e-07,1.81859729001871e-06,5.16393766004993e-06,6.20819462796856e-07,3.45954189658181e-07,4.0081560947907e-06,3.88361296290107e-05,0.000121425063267642,3.44041232067826e-07,6.21619730600934e-05,3.1090589417851e-06,2.73843622852386e-06,1.00760380315687e-05,1.01529452984669e-05,3.4178358029739e-05,1.81746069437612e-07,-1737.87960023404,0
1,0.236692724071941,0.182456234187297,0.80407030335551,9.7,1.6051736362358,0.481567499942174,0.269703129525029,0.00027104005017064,1,0.876206004071356,0.934040846523766,0.592852814376035,0.799886220989397,0.9886431841474,0.971304014921816,0.983348896424814,0.991887365464376,0.884679832645041,0.951140122014307,0.878509288531383,0.965326542719636,0.808434046051985,0.918600022339814,0.721149726920415,0.995813914544459,0.993662322260584,0.961764381217948,0.580040873895021,0.945935883394139,0.981391388974136,2.67702146706398e-07,0.000271857215879568,8.61559301890315e-06,6.27529883841063e-06,2.15897546768105e-05,5.63846669754826e-06,5.400735732626e-06,0.000295469755129653,1.10612727783486e-05,8.61684177208978e-07,6.9570144796652e-07,0.0129888960786574,8.55961193642367e-05,7.51509818184186e-06,8.54208931512517e-06,4.84916729717359e-07,1.08401617707262e-05,7.57229504941315e-07,1.46716585728872e-07,8.73025601371532e-07,3.0308663726505e-05,6.79627398379774e-05,8.33776804577645e-05,6.10548734663562e-08,1.568390290811e-07,7.40602152081165e-07,1.94055532275146e-05,2.93786031515667e-05,7.39510761855886e-05,0.00021080500715022,1.3473174346435e-06,1.73539230544246e-06,6.15534734317676e-07,1.55786639797223e-06,8.10462830486622e-05,1.1788289436155e-07,1.70071105648766e-06,3.59126207507884e-06,8.68104430600327e-06,2.17993793614404e-06,1.69374192714771e-07,5.54577981937963e-05,5.17624737842084e-06,3.52053805210276e-05,2.74235894420557e-06,8.6412072476903e-07,1.72497549271767e-06,2.75638026895377e-05,9.74475531731848e-06,1.70462177087815e-05,2.18952852026495e-06,3.57537577714567e-06,7.83718440202378e-05,7.97047550103052e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35262722869052e-07,0.000185242796086665,1.05141412499749e-05,5.29938141839804e-06,4.30247509083603e-06,3.28747631746695e-07,8.47473577836199e-07,4.84512171523101e-07,3.76852301109489e-05,0.000184061706636472,1.12234189048992e-06,1.78109104697437e-05,1.66511841330868e-07,3.91570026908162e-06,9.82422011382305e-06,7.14197300838841e-05,4.44773100760882e-06,8.5273109659135e-08,-1737.92007448106,0
1,0.237355197039139,0.164178849748335,0.813729184609176,9.7,1.52632185768712,0.464275821314631,0.267096942386753,0.0003357674324207,1,0.661919035825058,0.971494906520099,0.578061534518197,0.82386679445585,0.995598466605532,0.856021460501297,0.953188049647119,0.930852317055625,0.986555876234721,0.838265566335141,0.994001912778313,0.977717480885565,0.910761020786065,0.941267956283473,0.937840664806128,0.811840703662991,0.976626968933324,0.995795267155032,0.988455979695238,0.962936503871491,0.997967475835116,5.59660183470793e-07,0.000307430270432699,1.48084057966412e-05,3.86937899801397e-06,9.11982878799981e-05,2.13287425332257e-05,4.52192838613844e-06,0.00036519826350795,2.43763993436747e-05,2.72066828187822e-06,2.28199848235825e-06,0.0187618167471807,4.00031879780605e-06,5.57007012328362e-07,1.95585287357385e-06,1.18664145964569e-05,2.84213233628041e-07,2.12539676223689e-07,7.25432820236098e-08,8.92099099832839e-07,2.81285213745975e-05,5.67760326623626e-05,3.50535712248169e-05,1.98724516584358e-07,3.36198139333403e-07,7.42674618367656e-07,1.04160971059572e-07,1.61603986687051e-05,4.07718960211438e-05,0.000385798213684474,3.22584399326863e-05,1.81448964725295e-06,7.69496956596743e-06,4.15622905470847e-06,7.28443233632056e-05,5.85833483550107e-08,1.24998259329163e-06,1.22302909636883e-06,4.67362611519193e-05,4.05767109408001e-05,7.2563436132514e-07,2.43660134493853e-05,4.39584186125938e-06,2.37449675445829e-05,6.33639890838537e-06,1.50668507434951e-05,1.53820475642755e-06,6.63287836621626e-05,1.04932071840062e-06,1.64333751647941e-05,2.13546246029803e-05,9.70115199675814e-07,2.61962826170293e-05,1.42824643889208e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67747888418517e-07,0.000138560029832764,4.79083720971265e-06,1.73530172877393e-06,8.36399218390372e-06,1.16733122378307e-07,6.1176432748896e-07,3.33194665669332e-06,6.15286586076541e-05,0.00023374280499116,6.37771402577428e-06,6.91325043339086e-06,1.0960307106762e-05,3.89569178019785e-06,5.48123802054808e-06,0.000116941260527463,8.61540398791915e-06,7.10766359494744e-07,-1738.6941548087,0
1,0.304841839083773,0.156312298733524,0.797812885177643,9.7,1.85275262035597,0.461286650505115,0.250569055204483,0.000390983307185621,1,0.562844417649513,0.965740039141256,0.601249857274848,0.961684423284283,0.992039387729852,0.839440002369154,0.975466400422098,0.991864857860207,0.993803165476856,0.990783382072697,0.947098348005862,0.982036602334255,0.888491548433056,0.977927400618906,0.889566052334478,0.996324045094807,0.976504851502474,0.972366778838607,0.900909231143311,0.952243232849249,0.984110074096456,5.79457818403222e-07,0.000378071367195157,2.15499980952884e-05,3.40840285604874e-05,2.34287370833828e-05,6.59775771699582e-07,2.63671364490898e-06,4.7808964465637e-05,1.26897153259018e-05,1.76373666046792e-05,4.46905092802112e-07,0.0109376120597695,2.02106177809996e-06,1.63031740183478e-06,7.98025798296221e-06,1.15168881252426e-06,2.47560144329655e-06,1.98304543293502e-07,1.03099999798511e-07,2.36907817143976e-06,1.58981223108544e-05,1.22642006546733e-05,2.65308538371156e-05,4.8026028891983e-06,2.49125884569526e-07,8.37097916807282e-06,9.15660378395409e-07,7.36680331469355e-05,3.77716618336532e-05,5.10900370189558e-06,2.59095409754766e-05,1.14949751052691e-06,1.06717240681636e-07,5.395471219246e-05,2.76802945665086e-05,1.79852989843233e-07,6.02417814879458e-06,1.86430746835883e-06,2.16193737119257e-05,2.47595691819078e-06,1.79553234527654e-06,6.62994596376535e-06,1.00969189570576e-05,2.64318716483044e-06,1.17855809831169e-05,0.000131968742369739,5.93779794691543e-06,0.00558161634850077,4.12142651787398e-06,1.71199808136099e-06,6.0456026798717e-06,9.39889576207665e-06,0.000111618300064056,1.73442566469507e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25561213129301e-06,9.77620014411772e-06,1.40301726992607e-06,4.27292174954942e-06,3.62227336901966e-06,6.30960380852211e-08,1.06200571205543e-06,4.37658148060834e-07,3.49506687932893e-05,6.54950157575238e-06,1.71306550473276e-06,2.65143501877227e-05,7.08655829987239e-07,1.0495630785723e-06,4.42015288191662e-06,5.14048625850904e-06,2.48582739183371e-05,1.70349627912203e-07,-1738.97341301472,0
