"alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","omega","quatar","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","S18_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","E18_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","I18_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","R18_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","J18_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","P18_0","loglik","loglik.se"
1,0.306967742033667,0.158497702106435,0.730426451291464,9.7,1.56951774314758,0.4709666504456,0.277772157986379,0.000278433881489601,1,0.859206064751654,0.974525511064663,0.600499823321727,0.994332555332023,0.980341178764664,0.912785553615539,0.897430432604176,0.98920017773598,0.973280429004795,0.820371996292273,0.985069101122701,0.769198376614905,0.983139768009678,0.985159131392552,0.535553162985173,0.960680224859525,0.994832997881794,0.974028064400569,0.932768098061542,0.924961201348066,0.91154025846325,1.75450528678808e-06,0.000124541640775964,4.02274013371782e-06,3.82978723626033e-06,1.03209265920878e-05,2.91349366384002e-05,3.26807186525728e-07,7.42477805553681e-05,1.52823400831859e-06,8.32337374240458e-06,1.10815959563332e-05,0.00828714926255853,8.85067602814061e-05,1.69143499082758e-06,2.54704739754501e-05,5.71165088967058e-06,6.14316678031313e-07,2.5459573715888e-06,2.4010175179519e-07,3.02971361062408e-06,6.28490299667102e-05,4.59285667613074e-05,5.18149563313811e-05,8.6344100607394e-06,2.91544769459806e-07,2.44376992908434e-05,9.65640553664478e-07,0.000123723547314513,7.15167428178644e-05,0.000105755079889639,9.77193649559932e-07,1.21423902502458e-06,5.83080698080698e-06,0.000128087546763299,2.09209032470567e-05,8.38141839941445e-08,7.05107815850051e-07,7.43070996466709e-07,9.01595019783819e-06,7.31923004812529e-06,8.87727538349648e-06,4.92802398452146e-06,1.89844924526402e-06,6.57466629456229e-06,1.07781397337922e-05,0.000176055010431425,2.24236512530301e-05,0.00137317664556979,1.57242508562758e-06,7.27021857067238e-07,2.0316270276511e-06,3.77135371822043e-06,2.00677688722184e-06,5.10081036293638e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38603963793977e-07,0.000334596243413751,5.48766993499143e-06,2.08657901563559e-05,3.77963443846e-05,3.83234977108043e-07,8.2988454722456e-07,2.21736625611912e-05,5.28530058563433e-05,9.62185260711813e-05,2.4988990997355e-06,1.00581780357853e-05,9.01809077948537e-07,5.91350431633833e-06,3.31683428870825e-06,5.64183969432697e-07,9.13792964504356e-05,6.66547141727644e-06,-1774.87720707462,0
1,0.308781465204947,0.152515830413255,0.714768859565819,9.7,1.72152573446003,0.467283467018713,0.263970630899552,0.000277922685957412,1,0.497374251513317,0.964269167267691,0.611084515071703,0.943089269827448,0.916112401263292,0.990129885328424,0.917631775216974,0.980996633342098,0.960293459976593,0.997539966084644,0.996114561059398,0.936796780370147,0.957902415306362,0.991767923931929,0.970839335957244,0.986364416735908,0.954871895626183,0.85832637781601,0.278742965043445,0.991368926890668,0.978604047122872,2.25771593124572e-06,0.000393656496388187,2.26424439204591e-06,5.65533953715015e-06,3.68049591814091e-05,7.7369413782219e-06,3.23143660596161e-07,0.000115586804423943,1.79922100043052e-06,2.0330361782826e-06,3.49844623690552e-06,0.0155053794293457,6.77705550051989e-05,8.57095741021809e-07,8.64674748713301e-06,1.30955234151828e-06,2.18483064241321e-05,3.50516480037435e-06,6.44306000456158e-08,9.85175168635419e-07,3.93021541221314e-05,2.7019028546548e-05,3.42255516153372e-05,2.73115703493477e-07,4.37954121282146e-07,1.47128478934398e-05,1.60317374003069e-06,3.28072106898626e-05,2.38285175914516e-05,8.37723509903789e-05,2.71807146525094e-06,2.52220103394023e-07,4.27754339569512e-06,1.16360373928429e-05,2.21152151587184e-05,8.11258126898767e-07,6.6202786688597e-07,2.60740376883173e-06,3.79479783919918e-05,5.19697145883463e-07,9.83922522279373e-06,7.00411766147123e-05,4.82338845412155e-06,2.19138193389063e-05,1.95668354325619e-06,7.62779494695395e-06,8.13918519974842e-06,0.00114613573599736,2.49755424526806e-06,2.34855657306634e-05,1.78403764642501e-05,2.31820479002186e-06,1.66606994326406e-05,4.63529730110947e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82566791134864e-07,1.87297920668962e-05,5.21510415027657e-06,8.56045831802661e-06,1.58707061678758e-06,6.03147163147398e-07,1.11845965775517e-06,3.22653886226e-06,5.421825157997e-05,0.000149172771191741,1.6099867527305e-05,4.20515848035221e-05,6.56271067745817e-07,1.39656994784111e-06,3.26958053917904e-06,5.83792456170832e-06,3.24543408101868e-05,3.5882494677169e-06,-1777.5836679183,0
1,0.248006580098583,0.152887955438099,0.730390531767248,9.7,1.87642645667455,0.470599273410239,0.278492543970061,0.00032375362247975,1,1.22209014351487,0.931059171694124,0.615885599066548,0.991148975732648,0.912979051882669,0.733486741315636,0.991871126972847,0.994380446737452,0.968512407803127,0.953912521451529,0.994637064410813,0.993898519481368,0.955189948300127,0.992871099138571,0.823595626392564,0.976105299622749,0.982234514283812,0.661039032783728,0.986251546140563,0.859460057238184,0.940194422792344,2.41920732195678e-07,0.000418380909028866,6.51085863049711e-06,5.61043550459816e-05,0.00010372020919906,3.0053245615368e-05,9.6880827929425e-07,0.000123720300368119,2.98550159571463e-07,1.20906148749256e-06,2.20710097615263e-07,0.0114309637245973,6.64284546290408e-06,8.81612385771774e-06,1.80062414125065e-06,2.2329767659806e-06,7.80161898621512e-06,1.16789079343051e-06,1.21467815589909e-06,2.28208010293463e-06,8.21896009014328e-05,4.20374213315644e-05,1.17145889886627e-05,1.75271154552411e-07,9.84216240947761e-08,2.13412662628341e-05,4.50468942376883e-06,0.000155853610743342,6.32349930428508e-05,0.000222632393962458,3.15848521322278e-05,4.75858304429434e-06,1.70871033377856e-06,0.000133982459846616,5.66297147341595e-05,5.87936648165225e-06,1.63238119059448e-06,6.09280048142561e-06,3.50718121825905e-05,2.13820164096856e-06,2.19715774420556e-05,1.09690835090313e-06,4.90308023711836e-07,2.26843154167084e-05,4.31699137999054e-05,2.3806136912665e-05,6.48950322640956e-06,0.000691394414332871,1.59495878953057e-06,7.67451392479045e-06,1.06977722663743e-05,1.31838108147636e-06,5.11516256439397e-06,3.13008106393341e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3567365843572e-06,4.1362085912694e-06,1.56461401759885e-06,4.89087462373524e-06,4.29994215729678e-05,1.03613666566687e-07,1.06109835924716e-06,1.42662701139164e-06,5.9466112371714e-05,7.95029413387054e-05,5.64987820358278e-07,0.000115968311536408,3.69517198655691e-05,1.7852521364658e-06,1.2873815247322e-05,4.24863222236602e-06,3.59041887093395e-05,1.91961970901512e-06,-1777.98837443362,0
1,0.24249989249243,0.15237626751176,0.704786739702903,9.7,1.86897502174652,0.451387444304492,0.271602056204857,0.00038480019941612,1,0.550158769187885,0.962754745747777,0.595175817709631,0.946960864267444,0.623629842752162,0.740528383146689,0.996527302642749,0.964517469524463,0.325792814494375,0.965888198187122,0.989130265602687,0.987513257009969,0.977450562580917,0.919803244840846,0.85209880155722,0.995002205938401,0.985187968671398,0.947385508626603,0.842451528560281,0.894714632508404,0.992283096027696,1.98134538413427e-06,0.000130169109216363,1.35218845391424e-06,4.09613921989446e-06,7.42756371210173e-06,1.48286883717001e-06,5.42012199901421e-07,0.000110794039949788,2.06053263944915e-05,1.27456353975461e-06,5.02235743448143e-06,0.0136751862084392,8.04609653878706e-06,1.24722653593034e-06,5.96237955977967e-06,1.77913041288843e-06,1.44090207050456e-06,9.89636537698812e-07,1.50385676341522e-06,5.37783263055402e-06,5.01939820031608e-05,3.05137464036825e-05,6.01910411816266e-05,3.45881100371414e-06,3.22697515551673e-07,9.1978558780478e-06,2.10939181912473e-05,3.32990726144148e-05,2.57884679355798e-05,1.07326424584899e-05,3.49069322369971e-05,2.20433521713487e-06,3.34625554558632e-07,1.83831110208666e-05,1.22794613977676e-05,3.59939239735164e-07,7.22972696402604e-07,7.65216468228431e-05,1.88076980092778e-06,2.28826105937574e-07,1.43923321707923e-05,1.64015945065684e-06,1.48375026670561e-06,1.16585350973353e-06,3.43798247739228e-06,4.46124677989289e-05,2.41077937476427e-06,0.000178328681448273,4.85275218891225e-06,3.85113941294037e-06,1.18295612095749e-06,1.56812022639243e-05,1.0634356512448e-06,1.68359508894699e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33937468174163e-07,8.82611738084688e-05,8.05020783188525e-07,2.6283781109277e-05,8.46567739228345e-06,1.32269669494466e-07,3.44374304388077e-07,7.87772525167729e-06,1.61387305648541e-05,0.000177930282512402,5.02504247897522e-08,2.28749962002094e-05,4.57912109697374e-07,5.12054481603737e-06,1.49255182911849e-05,2.96722631841976e-05,6.93509553181391e-05,6.89511635989818e-06,-1778.39089550742,0
1,0.245883679898637,0.166475218478357,0.706494140605894,9.7,1.55588870118099,0.461192666717736,0.270993522695243,0.000304770308613895,1,0.484164539915885,0.943071062702269,0.598616355275696,0.984821417310228,0.988432341305141,0.190441085267076,0.992758882637739,0.978790884130721,0.850421574934497,0.899783819303105,0.954882685228028,0.996730665198383,0.952904796010338,0.992586219355905,0.582091322668263,0.944101349447316,0.985983375385843,0.969799332724592,0.986591227951202,0.981184794962672,0.999273174931284,3.20264568297073e-06,0.000285980894425802,1.31292879449539e-06,1.87037240960386e-05,9.30399503666182e-05,1.67043624496601e-05,1.81309779611181e-06,0.000358155624646651,3.85569890714029e-06,2.02709487353819e-05,6.61115678639178e-07,0.0125922859321248,1.24645001827791e-06,1.87715462851891e-06,9.70984547372813e-06,2.22239576404389e-06,3.85576155487856e-05,1.4305985821696e-06,6.95512782544777e-08,2.96563901447229e-05,9.22652223288655e-06,3.61823215265535e-05,2.72724696724014e-05,1.52763823819752e-06,4.34115078951667e-07,4.28287599794483e-06,1.23858825362523e-06,7.96711321107989e-05,2.17394962375982e-05,1.93495881494749e-05,4.21874898720841e-05,2.29658340751598e-06,4.33319534428562e-06,3.57598987574968e-05,2.38648824144092e-05,1.0654420703024e-06,1.51928049612844e-07,1.50510407545288e-06,2.33275097052181e-05,2.06611984183166e-06,1.3632483932766e-05,1.51732867616966e-06,3.52119552619119e-05,1.78819081189982e-06,4.41685616722831e-06,1.08177377513168e-05,2.26566697595271e-05,0.000157750218569688,2.53293843246381e-06,3.43298684009286e-06,2.08847794537295e-06,6.75171952045544e-05,1.206634123416e-05,4.89959278669436e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07850398562507e-07,0.000106117165275935,4.48931235381686e-06,1.55612983074031e-05,2.64548390494173e-05,3.75886232618296e-07,8.46951525350381e-07,7.39737446238494e-07,8.85852429718573e-05,0.000126375934385967,1.04787844275375e-05,8.23357920753923e-05,1.60137717537763e-07,1.52135107651282e-06,6.93528365948849e-06,1.19333778956489e-05,5.37678587032787e-05,7.65258324422321e-06,-1779.35620387488,0
1,0.286877678759082,0.15032091492733,0.744032420457868,9.7,1.83133689552999,0.444214430335646,0.252694059333538,0.000380545356908686,1,0.446413515923061,0.94143858419908,0.593974499858908,0.957954522699996,0.656372997045134,0.82640483081989,0.983995225374451,0.984131305253899,0.989088136890079,0.90682124930508,0.88011538630204,0.991406005545658,0.974280192639498,0.883647879272365,0.843143950171103,0.980046311971136,0.999018861377473,0.902040982563364,0.843257936803114,0.971665475220634,0.976652193000544,4.85338949069636e-07,1.42733989122418e-05,7.97313373670797e-06,3.46949470095959e-05,3.27650383458341e-05,3.48682044097911e-06,9.16897018833404e-07,0.000103010087007881,3.24363100903156e-05,9.88224697284999e-06,1.46277788206275e-07,0.0131912774329167,7.29607584062486e-06,3.81593194094426e-07,8.17082614519627e-07,2.47115019855339e-06,6.22895747723789e-06,2.3776315189005e-06,1.23044882750987e-06,2.79849073227722e-06,3.23061032151857e-05,1.47896953267913e-05,1.36973504437764e-05,3.11919058196095e-06,2.61437980956223e-07,1.50805609317629e-05,1.19233671037729e-06,8.3412782510892e-05,1.44325395006926e-05,4.68727739330319e-05,2.27091173192332e-05,4.11156636907273e-07,1.57093198392408e-06,3.95734434883727e-06,2.77740365438477e-05,4.84634943768781e-07,9.7896207866921e-07,1.97556207138492e-06,6.33054064285529e-07,1.00019240446263e-06,5.43539567242152e-07,1.00458354133631e-06,6.85507940045001e-06,0.000102028389418899,1.81201343664913e-05,3.6576190646808e-05,2.94722264098501e-06,8.88992002939723e-05,1.0577557188007e-05,2.98289419989959e-05,2.75843718014913e-05,3.05969500034889e-06,4.73949889308709e-06,6.61152993936093e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87309607643609e-07,0.000145153403188953,1.27412513939006e-06,1.14470353673619e-05,2.74210955955741e-05,1.85257178208587e-06,3.18887556478386e-07,2.02042672481933e-07,3.96481364744722e-05,2.94373807086006e-05,1.86111504741418e-05,2.83158243466883e-05,7.55849394537888e-06,1.0155028125208e-06,1.40956518695111e-05,2.29758463385675e-05,6.60469260969425e-06,4.76499836434339e-06,-1779.86265482517,0
1,0.245441783041083,0.155848205293052,0.762423623557321,9.7,1.86764705853147,0.459940780463726,0.252196503009412,0.000415618451710738,1,0.456122860926287,0.938245508337513,0.584389992722195,0.973913088266928,0.824938364866234,0.858033237914875,0.974505364542293,0.974058076720117,0.93598303275274,0.774184013313333,0.970340312168668,0.982402592611031,0.950935557925537,0.872704791838205,0.718951987917377,0.903639516979614,0.997596301893716,0.865594589207112,0.985161689501218,0.988817124449093,0.992105811864466,1.69196449290703e-07,0.000294964553693912,2.82765327201254e-06,1.18450527476553e-06,4.57771145612045e-05,5.96873519175384e-07,9.5379184865513e-07,9.27364691910643e-05,3.5383161054495e-06,1.70276321343358e-07,1.5566646529697e-06,0.0115109513760533,8.46308059895577e-06,3.45987020358623e-07,2.38846035267564e-05,2.26814416425939e-06,8.60364784780985e-06,1.16604628393845e-06,2.48132372296378e-07,8.15173144894268e-07,1.40001859445334e-05,1.84952862484383e-05,2.78879563946302e-05,1.12096579931873e-06,2.01197390852575e-07,8.7906412360375e-06,2.0264559517054e-07,1.2390544662457e-05,1.09686644983762e-05,2.9901584690504e-05,2.17564429429014e-05,2.43610292596816e-06,1.20197047058538e-06,7.63713356733519e-07,3.61292762387943e-05,6.52469346992906e-07,4.1456937945898e-07,9.31167385334456e-07,2.71184952148467e-06,8.94116094886285e-06,4.44584538742826e-06,1.96342252489406e-06,1.30997312930596e-05,4.94703930380858e-07,1.62106616181312e-06,1.27875820782525e-05,4.5938730112624e-07,0.000235148230567124,3.09840799221891e-06,1.80331923810691e-05,1.72515769359859e-05,2.96240233811577e-06,2.89493798144222e-06,1.04463418872373e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9733159912631e-08,8.14472602040354e-06,4.93029739933973e-06,2.75483023403671e-05,8.52794324546946e-07,3.4938767820263e-07,9.63440205433535e-07,2.00562339682882e-06,5.27911173043279e-05,0.000173521137546024,7.46391135700717e-06,3.77578564262641e-05,9.03815213264129e-09,5.65621872227576e-07,4.89043516991272e-06,5.38502014999987e-05,5.8086057622371e-06,5.85720388289009e-06,-1780.06231730949,0
1,0.245858689356167,0.146255828263392,0.745262277612299,9.7,1.8682233331188,0.479990809535918,0.275524334231213,0.000388389692879581,1,0.498108563558678,0.963359068736928,0.600629399779076,0.981202853952862,0.987361307171976,0.96689413820636,0.967840082371249,0.999514245796171,0.974496949781604,0.970854172821469,0.917400064868855,0.94861585446087,0.98773592616826,0.994373330559966,0.584891730975982,0.96665979827185,0.97071617403203,0.729043212757742,0.950045139831195,0.854332375926385,0.94381424871349,1.24330704899615e-06,0.00028286349375628,8.57694235941407e-07,3.17843532506094e-06,8.5725530719905e-05,1.49191196554319e-05,8.36848345715011e-07,9.59963838632237e-05,8.23385516763264e-06,4.42455659046677e-07,6.62811386796978e-06,0.00805511787956649,1.45973276274637e-05,4.31327317442571e-06,2.78238872150329e-05,6.1920771154099e-07,4.44194232907602e-06,7.31557462495233e-07,9.37638170941425e-08,5.7643972125808e-06,4.80768454879731e-05,8.39585843803031e-07,1.34059338241172e-05,2.78199626339792e-06,9.32447976573845e-08,8.88541016365833e-06,9.07092815671397e-06,6.96825700954158e-05,1.15855861450662e-05,1.56241484494283e-05,1.8012219771228e-05,2.49516152711177e-06,5.79118586223119e-07,5.36731199774573e-05,2.78035693004407e-05,2.97458489130713e-06,2.96793399582791e-06,1.54609854123427e-06,4.54110708952367e-06,1.06101279696383e-05,5.10216587879135e-06,1.75887414597046e-05,3.9761200984326e-07,2.90011468111213e-05,3.21104456828766e-06,0.00010109146160598,7.37391436298247e-06,0.0014510714569007,4.29526996985388e-06,1.14682046660082e-06,4.88724179901822e-06,4.827943147589e-05,1.78207766317845e-05,1.50249283658019e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74012041417872e-07,7.46141107044056e-05,3.74397335311941e-06,6.3296344914962e-05,9.77391191225782e-06,6.76381300229813e-07,1.68270050233815e-06,6.27726475617136e-07,2.49602099042873e-05,6.32499297296198e-05,3.18424201994275e-05,5.24394372055561e-05,4.70576431826339e-06,1.68015609669351e-06,2.28645107626507e-07,3.06674281810184e-05,1.16605511256742e-05,1.09677958055785e-06,-1780.11351765643,0
1,0.313381286052333,0.146366561112179,0.767133581050165,9.7,1.54868745972577,0.465638095413578,0.250687962342927,0.000287400821018825,1,1.22350086276137,0.956143220614555,0.60372027519287,0.921935455338564,0.9848884512238,0.721863481376992,0.547380120018149,0.968649756463023,0.99649538827989,0.92408211588697,0.938961534039477,0.981046010835119,0.963659700620383,0.997384517080284,0.929610631148984,0.991879086868485,0.909043834310703,0.922844583440467,0.843125121752982,0.965045953134044,0.924747204948826,3.97509887168875e-07,0.000395011351922835,0.000102869342944319,1.84917088052708e-06,3.22250193626936e-05,1.22264081225056e-06,1.79428102774136e-06,8.98088033399597e-05,4.50648919625201e-06,3.94742399311608e-07,2.61002417238254e-07,0.0181155181593896,5.92273532691534e-05,6.48056014544736e-08,5.78325656505207e-06,1.79939614109403e-07,7.20597786683053e-06,9.17631562617841e-06,3.47134867761968e-07,5.91887511122149e-06,2.9489294507586e-06,1.01886260272342e-05,0.00010337476766525,1.87005740684249e-06,1.51084453747205e-07,3.63143928588392e-05,1.34122971606706e-05,0.000289383356557883,9.13033675236293e-05,0.000108299861963655,3.11187689041338e-05,5.24647437967087e-07,1.64232291873054e-05,0.000125887339010927,8.015823393817e-05,3.01220460754822e-07,1.10536881011893e-06,4.30310328507707e-06,7.94711557392121e-06,2.5614873243689e-06,1.70431469766426e-05,3.56963501346228e-06,3.98266024366359e-06,8.66626492452524e-07,2.32972639297893e-07,0.000248004848365005,3.04233479474788e-06,4.39464350539387e-05,4.47929047953496e-06,3.80694341901358e-06,1.26412862487906e-05,8.87239063043278e-07,3.30534613046406e-05,3.90485008615863e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9011200569808e-07,9.69458436429107e-05,2.0173809949542e-07,3.74149614330605e-05,1.4830589042972e-06,3.88910936056353e-06,2.22479080781324e-07,1.08859862881522e-05,5.41718600380412e-05,9.72900882484443e-06,5.50714990549518e-06,5.42122409592344e-05,3.41503141138131e-07,6.76663427343232e-07,6.23665277159826e-07,5.03953829435145e-06,4.06804166925187e-05,1.37326211965977e-06,-1780.1970057172,0
1,0.302793482414115,0.150011030393897,0.749016287871325,9.7,1.7095054989426,0.471345367163934,0.276833862605663,0.000262914787306308,1,0.535383006624043,0.98684893245916,0.62216254613813,0.950442765173475,0.806600738276195,0.935041563469333,0.970748076624722,0.997940515696476,0.973290911896938,0.99337553912766,0.992167336603772,0.978742703379785,0.931777680787681,0.986913585940709,0.909726285284907,0.731464994867876,0.990939664788834,0.964716817459415,0.326659514738709,0.857512198315818,0.998297954659473,1.88191149093277e-07,7.00253821589695e-05,4.36049693334606e-06,3.7263158102467e-06,5.75357005922348e-05,2.11874082497732e-06,3.07567495711935e-07,0.000116066974845877,5.02763139809676e-05,1.87584609801108e-07,4.04836628803173e-07,0.0145375993649783,4.70255736145878e-05,1.49770187676587e-06,7.59890239980305e-06,4.89192478535302e-05,4.94315344444171e-06,1.91912171764045e-06,9.90563785857627e-08,7.24495898837039e-07,4.27056818055162e-05,3.72936819913893e-05,2.09814116944144e-05,5.38644427139008e-07,2.93351554579846e-07,1.33812783531103e-05,1.17879080064359e-06,4.38274838970399e-05,1.3258457159388e-05,3.34960459392022e-05,4.6792833842103e-06,1.00485033624734e-06,1.45606130863069e-06,1.53361715395159e-06,2.51305706465824e-06,3.37968822197245e-06,1.68885991171482e-05,2.39235043259043e-07,5.50384902095082e-06,5.40660054739961e-06,5.68666313270766e-05,3.26634834747407e-06,1.53462745901092e-06,6.89186587062277e-06,5.1519171683551e-07,6.72815017869729e-06,7.88933658194457e-07,0.000283012917327069,2.12625812528693e-07,3.49104903741596e-06,6.95953609583987e-06,1.88173670826679e-06,8.88516277582734e-06,6.30701641668553e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08727871558941e-06,0.00017252191603613,2.39245904060638e-06,2.43565886462685e-06,3.04704977905433e-06,3.24741189537986e-07,1.25531347358565e-06,6.84126044200233e-07,1.93586603461634e-05,0.00012088550454813,3.02728887950683e-05,6.15499581712216e-06,2.46041310785492e-06,1.79818899726244e-06,7.24863662173712e-06,2.53122604165818e-07,6.96366624966213e-05,4.47293102866715e-07,-1780.31856937479,0
